Chowan,Error,Hampton,2261
16:48,2261,Branden Aughburns made Jumper. Assisted by Imani Miller.,28,38
16:41,2804,Marco Haskins made Three Point Jumper. Assisted by Tim Hewett.,31,38
16:24,2261,Lawrence Cooks made Jumper.,31,40
16:07,2804,Carlos Arroyo made Three Point Jumper.,34,40
15:44,2804,Foul on Kevin Kuteyi.,34,40
15:44,2261,Official TV Timeout,34,40
15:34,2804,Foul on Trevis Buckhanon.,34,40
15:34,2261,A.J. Astroth made Free Throw.,34,41
15:34,2261,A.J. Astroth missed Free Throw.,34,41
15:34,2804,Carlos Arroyo Defensive Rebound.,34,41
15:23,2804,Carlos Arroyo made Three Point Jumper.,37,41
14:57,2261,A.J. Astroth missed Jumper.,37,41
14:57,2804,Kevin Kuteyi Defensive Rebound.,37,41
14:49,2804,Marco Haskins Turnover.,37,41
14:44,2804,Foul on Kevin Kuteyi.,37,41
14:32,2261,Branden Aughburns missed Layup.,37,41
14:32,2804,Trevis Buckhanon Defensive Rebound.,37,41
14:17,2804,Tim Hewett missed Jumper.,37,41
14:17,2261,Branden Aughburns Defensive Rebound.,37,41
14:08,2804,Foul on Marco Haskins.,37,41
14:05,2261,Foul on Lawrence Cooks.,37,41
14:05,2261,Lawrence Cooks Turnover.,37,41
13:24,2804,Carlos Arroyo missed Three Point Jumper.,37,41
13:24,2804,Chowan Offensive Rebound.,37,41
13:21,2261,Foul on A.J. Astroth.,37,41
13:12,2804,Andrew Lopez made Jumper.,39,41
12:53,2261,Jermaine Marrow Turnover.,39,41
12:42,2261,Foul on Branden Aughburns.,39,41
12:42,2804,Carlos Arroyo made Free Throw.,40,41
12:42,2804,Carlos Arroyo made Free Throw.,41,41
12:18,2261,Kalin Fisher made Three Point Jumper. Assisted by A.J. Astroth.,41,44
12:00,2804,Tim Hewett made Three Point Jumper. Assisted by Carlos Arroyo.,44,44
11:42,2261,Charles Wilson-Fisher missed Jumper.,44,44
11:42,2804,Andrew Lopez Defensive Rebound.,44,44
11:33,2804,Marco Haskins made Three Point Jumper.,47,44
11:22,2261,Hampton  Timeout,47,44
11:18,2261,Kalin Fisher made Jumper.,47,46
10:50,2261,Foul on Kalin Fisher.,47,46
10:50,2261,Official TV Timeout,47,46
10:50,2804,Carlos Arroyo made Free Throw.,48,46
10:50,2804,Carlos Arroyo missed Free Throw.,48,46
10:50,2261,A.J. Astroth Defensive Rebound.,48,46
10:38,2261,Kalin Fisher made Jumper.,48,48
10:01,2804,Marco Haskins missed Three Point Jumper.,48,48
10:01,2261,Imani Miller Defensive Rebound.,48,48
9:42,2261,A.J. Astroth made Layup. Assisted by Charles Wilson-Fisher.,48,50
9:35,2804,Foul on Carlos Arroyo.,48,50
9:30,2261,A.J. Astroth missed Free Throw.,48,50
9:30,2804,Carlos Arroyo Defensive Rebound.,48,50
9:25,2804,Tim Hewett missed Three Point Jumper.,48,50
9:25,2261,Charles Wilson-Fisher Defensive Rebound.,48,50
9:22,2261,Lawrence Cooks missed Three Point Jumper.,48,50
9:22,2804,Trevis Buckhanon Defensive Rebound.,48,50
8:46,2804,Kevin Kuteyi missed Three Point Jumper.,48,50
8:46,2261,A.J. Astroth Defensive Rebound.,48,50
8:24,2261,Kalin Fisher missed Jumper.,48,50
8:24,2804,Kevin Kuteyi Defensive Rebound.,48,50
8:12,2804,Tim Hewett Turnover.,48,50
8:12,2261,Official TV Timeout,48,50
7:58,2261,Kalin Fisher missed Layup.,48,50
7:58,2804,Carlos Arroyo Defensive Rebound.,48,50
7:27,2804,Kevin Kuteyi missed Jumper.,48,50
7:27,2804,Trevis Buckhanon Offensive Rebound.,48,50
7:24,2804,Trevis Buckhanon missed Two Point Tip Shot.,48,50
7:24,2261,Imani Miller Defensive Rebound.,48,50
7:06,2804,Foul on Marco Haskins.,48,50
7:06,2261,Imani Miller missed Free Throw.,48,50
7:06,2261,Hampton Deadball Team Rebound.,48,50
7:06,2261,Imani Miller missed Free Throw.,48,50
7:06,2804,Tim Hewett Defensive Rebound.,48,50
6:48,2804,Marco Haskins missed Jumper.,48,50
6:48,2261,Kalin Fisher Defensive Rebound.,48,50
6:26,2261,Foul on Charles Wilson-Fisher.,48,50
6:26,2261,Charles Wilson-Fisher Turnover.,48,50
6:15,2804,Jeremy Smith missed Dunk.,48,50
6:15,2261,Charles Wilson-Fisher Defensive Rebound.,48,50
5:53,2261,Jermaine Marrow missed Three Point Jumper.,48,50
5:53,2261,Charles Wilson-Fisher Offensive Rebound.,48,50
5:43,2804,Foul on Tim Hewett.,48,50
5:43,2261,Charles Wilson-Fisher made Free Throw.,48,51
5:43,2261,Charles Wilson-Fisher made Free Throw.,48,52
5:29,2804,Kevin Kuteyi Turnover.,48,52
5:18,2261,Jermaine Marrow missed Jumper.,48,52
5:18,2804,Jeremy Smith Defensive Rebound.,48,52
4:57,2804,Jeremy Smith made Jumper.,50,52
4:30,2261,Charles Wilson-Fisher Turnover.,50,52
4:28,2804,Carlos Arroyo Steal.,50,52
4:24,2804,Tim Hewett made Layup.,52,52
4:07,2261,Foul on Lawrence Cooks.,52,52
4:00,2804,Kevin Kuteyi made Layup.,54,52
3:41,2261,Jermaine Marrow missed Layup.,54,52
3:41,2261,Charles Wilson-Fisher Offensive Rebound.,54,52
3:38,2261,Charles Wilson-Fisher made Two Point Tip Shot.,54,54
3:22,2804,Tim Hewett made Three Point Jumper. Assisted by Kevin Kuteyi.,57,54
3:10,2261,Jermaine Marrow missed Layup.,57,54
3:10,2261,A.J. Astroth Offensive Rebound.,57,54
3:08,2804,Foul on Carlos Arroyo.,57,54
3:08,2261,Official TV Timeout,57,54
3:08,2261,A.J. Astroth missed Free Throw.,57,54
3:08,2261,Hampton Deadball Team Rebound.,57,54
3:08,2261,A.J. Astroth made Free Throw.,57,55
2:37,2804,Carlos Arroyo missed Jumper.,57,55
2:37,2261,Hampton Defensive Rebound.,57,55
2:19,2261,Lawrence Cooks missed Three Point Jumper.,57,55
2:19,2804,Marco Haskins Defensive Rebound.,57,55
2:12,2804,Kevin Kuteyi made Layup.,59,55
2:10,2804,Chowan  Timeout,59,55
2:04,2261,Hampton  Timeout,59,55
1:53,2261,Jermaine Marrow missed Jumper.,59,55
1:53,2804,Kevin Kuteyi Defensive Rebound.,59,55
1:31,2261,Foul on Jermaine Marrow.,59,55
1:31,2804,Marco Haskins missed Free Throw.,59,55
1:31,2804,Chowan Deadball Team Rebound.,59,55
1:31,2804,Marco Haskins missed Free Throw.,59,55
1:31,2261,Lawrence Cooks Defensive Rebound.,59,55
1:15,2261,Jermaine Marrow Turnover.,59,55
1:09,2804,Tim Hewett Steal.,59,55
0:47,2804,Jeremy Smith missed Jumper.,59,55
0:47,2804,Carlos Arroyo Offensive Rebound.,59,55
0:43,2804,Carlos Arroyo Turnover.,59,55
0:43,2261,Jermaine Marrow Steal.,59,55
0:42,2804,Foul on Kevin Kuteyi.,59,55
0:42,2261,Jermaine Marrow missed Free Throw.,59,55
0:42,2261,Hampton Deadball Team Rebound.,59,55
0:42,2261,Jermaine Marrow made Free Throw.,59,56
0:40,2261,Foul on Akim Mitchell.,59,56
0:40,2804,Jeremy Smith missed Free Throw.,59,56
0:40,2804,Chowan Deadball Team Rebound.,59,56
0:40,2804,Jeremy Smith made Free Throw.,60,56
0:31,2261,Lawrence Cooks missed Three Point Jumper.,60,56
0:31,2261,Charles Wilson-Fisher Offensive Rebound.,60,56
0:26,2261,Charles Wilson-Fisher missed Jumper.,60,56
0:26,2804,Jeremy Smith Defensive Rebound.,60,56
0:25,2261,Foul on Jermaine Marrow.,60,56
0:25,2804,Jeremy Smith missed Free Throw.,60,56
0:25,2261,A.J. Astroth Defensive Rebound.,60,56
0:21,2804,Foul on Carlos Arroyo.,60,56
0:21,2261,Jermaine Marrow made Free Throw.,60,57
0:21,2261,Jermaine Marrow made Free Throw.,60,58
0:21,2804,Chowan  Timeout,60,58
0:21,2804,Chowan  Timeout,60,58
0:15,2261,Foul on A.J. Astroth.,60,58
0:15,2804,Marco Haskins missed Free Throw.,60,58
0:15,2804,Chowan Deadball Team Rebound.,60,58
0:15,2804,Marco Haskins missed Free Throw.,60,58
0:15,2261,Hampton Deadball Team Rebound.,60,58
0:10,2261,Hampton  Timeout,60,58
0:06,2261,Jermaine Marrow made Layup.,60,60
0:01,2804,Marco Haskins missed Three Point Jumper.,60,60
0:01,2261,Hampton Deadball Team Rebound.,60,60
0:00,2261,End of 2nd half,60,60
4:45,2261,Lawrence Cooks missed Jumper.,60,60
4:45,2261,Kalin Fisher Offensive Rebound.,60,60
4:30,2261,Jermaine Marrow Turnover.,60,60
4:28,2804,Marco Haskins Steal.,60,60
4:26,2804,Marco Haskins missed Layup.,60,60
4:26,2804,Jeremy Smith Offensive Rebound.,60,60
4:19,2804,Jeremy Smith made Layup.,62,60
3:56,2261,A.J. Astroth Turnover.,62,60
3:41,2804,Foul on Tim Hewett.,62,60
3:41,2804,Tim Hewett Turnover.,62,60
3:29,2261,Charles Wilson-Fisher missed Jumper.,62,60
3:29,2261,A.J. Astroth Offensive Rebound.,62,60
3:25,2261,A.J. Astroth made Layup.,62,62
3:08,2804,Jeremy Smith missed Layup.,62,62
3:08,2261,Kalin Fisher Defensive Rebound.,62,62
2:59,2261,Jermaine Marrow missed Layup.,62,62
2:59,2261,A.J. Astroth Offensive Rebound.,62,62
2:57,2261,A.J. Astroth made Layup.,62,64
2:46,2261,Foul on Kalin Fisher.,62,64
2:46,2804,Carlos Arroyo made Free Throw.,63,64
2:46,2804,Carlos Arroyo missed Free Throw.,63,64
2:46,2261,Lawrence Cooks Defensive Rebound.,63,64
2:28,2261,Kalin Fisher missed Jumper.,63,64
2:28,2261,Hampton Offensive Rebound.,63,64
2:28,2804,Foul on Tim Hewett.,63,64
2:28,2261,A.J. Astroth made Free Throw.,63,65
2:28,2261,A.J. Astroth made Free Throw.,63,66
2:19,2804,Kevin Kuteyi made Layup.,65,66
2:05,2804,Foul on Marco Haskins.,65,66
2:05,2261,Lawrence Cooks made Free Throw.,65,67
2:05,2261,Lawrence Cooks made Free Throw.,65,68
1:48,2804,Jeremy Smith made Layup.,67,68
1:23,2261,Kalin Fisher missed Three Point Jumper.,67,68
1:23,2261,Hampton Offensive Rebound.,67,68
1:08,2261,Jermaine Marrow missed Three Point Jumper.,67,68
1:08,2804,Jeremy Smith Defensive Rebound.,67,68
0:51,2804,Jeremy Smith missed Layup.,67,68
0:51,2804,Chowan Offensive Rebound.,67,68
0:48,2804,Jeremy Smith made Jumper.,69,68
0:36,2261,Hampton  Timeout,69,68
0:29,2261,A.J. Astroth made Layup. Assisted by Lawrence Cooks.,69,70
0:11,2804,Chowan  Timeout,69,70
0:00,2804,Jeremy Smith Turnover.,69,70
0:00,2261,A.J. Astroth Steal.,69,70
0:00,2261,End of Game,69,70
