St. Mary's (MD),120,Maryland,117
6:34,120,Kevin Huerter made Jumper. Assisted by Justin Jackson.,10,39
6:21,-1,Jr Chris Craft missed Jumper.,10,39
6:21,120,Damonte Dodd Defensive Rebound.,10,39
6:13,120,Anthony Cowan missed Three Point Jumper.,10,39
6:13,120,Maryland Offensive Rebound.,10,39
5:56,120,Damonte Dodd made Layup. Assisted by Anthony Cowan.,10,41
5:56,-1,Foul on Lavonte Sanders.,10,41
5:56,120,Damonte Dodd made Free Throw.,10,42
5:51,-1,Ochae Bynum Turnover.,10,42
5:51,120,Anthony Cowan Steal.,10,42
5:47,120,Justin Jackson missed Three Point Jumper.,10,42
5:47,120,Damonte Dodd Offensive Rebound.,10,42
5:42,120,Anthony Cowan missed Three Point Jumper.,10,42
5:42,120,Damonte Dodd Offensive Rebound.,10,42
5:38,120,Damonte Dodd made Dunk.,10,44
5:19,-1,Ochae Bynum missed Jumper.,10,44
5:19,120,Anthony Cowan Defensive Rebound.,10,44
5:08,120,Justin Jackson missed Jumper.,10,44
5:08,-1,Marsalis Hurley Defensive Rebound.,10,44
5:00,-1,Lavonte Sanders missed Jumper.,10,44
5:00,120,Justin Jackson Defensive Rebound.,10,44
4:41,120,Justin Jackson missed Jumper.,10,44
4:41,-1,Alie Kondeh Defensive Rebound.,10,44
4:32,-1,Alie Kondeh made Layup.,12,44
4:31,120,Maryland  Timeout,12,44
4:21,120,Jared Nickens Turnover.,12,44
4:12,-1,Delaszo Smith missed Layup.,12,44
4:12,120,Jared Nickens Defensive Rebound.,12,44
3:54,120,Jaylen Brantley missed Jumper.,12,44
3:54,120,Ivan Bender Offensive Rebound.,12,44
3:38,-1,Foul on Ochae Bynum.,12,44
3:38,120,Official TV Timeout,12,44
3:38,120,Ivan Bender made Free Throw.,12,45
3:38,120,Ivan Bender missed Free Throw.,12,45
3:38,120,Jaylen Brantley Offensive Rebound.,12,45
3:28,120,L.G. Gill made Layup. Assisted by Ivan Bender.,12,47
3:07,120,Foul on Dion Wiley.,12,47
3:07,-1,Delaszo Smith made Free Throw.,13,47
3:07,-1,Delaszo Smith made Free Throw.,14,47
2:59,120,Jaylen Brantley Turnover.,14,47
2:58,-1,Jamal Murphy Steal.,14,47
2:53,-1,Lavonte Sanders missed Layup.,14,47
2:53,120,Ivan Bender Block.,14,47
2:51,-1,St. Mary's (MD) Offensive Rebound.,14,47
2:27,-1,Jamal Murphy made Layup. Assisted by Alie Kondeh.,16,47
2:03,-1,Foul on Donovan Robinson.,16,47
2:03,120,L.G. Gill made Free Throw.,16,48
2:03,120,L.G. Gill made Free Throw.,16,49
1:38,-1,Donovan Robinson missed Three Point Jumper.,16,49
1:38,120,Dion Wiley Defensive Rebound.,16,49
1:28,120,Jared Nickens missed Three Point Jumper.,16,49
1:28,120,Ivan Bender Offensive Rebound.,16,49
1:23,-1,Foul on Alie Kondeh.,16,49
1:23,120,L.G. Gill missed Free Throw.,16,49
1:23,120,Maryland Deadball Team Rebound.,16,49
1:23,120,L.G. Gill made Free Throw.,16,50
1:13,-1,Tre Mouton Turnover.,16,50
1:05,-1,Foul on Lavonte Sanders.,16,50
1:05,120,L.G. Gill made Free Throw.,16,51
1:05,120,L.G. Gill made Free Throw.,16,52
0:51,-1,Jamal Murphy missed Jumper.,16,52
0:51,120,Ivan Bender Defensive Rebound.,16,52
0:31,120,Dion Wiley missed Three Point Jumper.,16,52
0:31,-1,Jr Chris Craft Defensive Rebound.,16,52
0:22,-1,Alie Kondeh Turnover.,16,52
0:21,120,Jared Nickens Steal.,16,52
0:18,120,Jaylen Brantley missed Layup.,16,52
0:18,-1,Alie Kondeh Block.,16,52
0:16,-1,Jr Chris Craft Defensive Rebound.,16,52
0:13,-1,Tre Mouton made Layup.,18,52
0:13,120,Foul on Ivan Bender.,18,52
0:13,-1,Tre Mouton made Free Throw.,19,52
0:06,-1,Foul on Darick Kerns.,19,52
0:06,120,Dion Wiley made Free Throw.,19,53
0:06,120,Dion Wiley made Free Throw.,19,54
0:01,-1,Tre Mouton made Three Point Jumper. Assisted by Donovan Robinson.,22,54
0:00,120,End of 1st half,22,55
19:41,-1,Tre Mouton missed Layup.,22,54
19:41,120,Kevin Huerter Block.,22,54
19:41,120,Maryland Defensive Rebound.,22,54
19:26,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,22,57
19:04,-1,Delaszo Smith missed Three Point Jumper.,22,57
19:04,120,Damonte Dodd Defensive Rebound.,22,57
18:52,-1,Foul on Marsalis Hurley.,22,57
18:40,120,Anthony Cowan missed Three Point Jumper.,22,57
18:40,120,Justin Jackson Offensive Rebound.,22,57
18:34,120,Justin Jackson missed Jumper.,22,57
18:34,120,Damonte Dodd Offensive Rebound.,22,57
18:32,-1,Foul on Tre Mouton.,22,57
18:32,120,Damonte Dodd missed Free Throw.,22,57
18:32,120,Maryland Deadball Team Rebound.,22,57
18:32,120,Damonte Dodd made Free Throw.,22,58
18:10,-1,Marsalis Hurley made Jumper.,24,58
17:49,120,Melo Trimble missed Jumper.,24,58
17:49,120,Justin Jackson Offensive Rebound.,24,58
17:33,120,Anthony Cowan missed Three Point Jumper.,24,58
17:33,120,Damonte Dodd Offensive Rebound.,24,58
17:29,-1,Foul on Marsalis Hurley.,24,58
17:29,120,Damonte Dodd made Free Throw.,24,59
17:29,120,Damonte Dodd made Free Throw.,24,60
17:14,120,Foul on Kevin Huerter.,24,60
17:08,-1,Delaszo Smith made Jumper.,26,60
16:46,120,Damonte Dodd missed Jumper.,26,60
16:46,-1,Tre Mouton Defensive Rebound.,26,60
16:46,120,Foul on Damonte Dodd.,26,60
16:41,-1,Ochae Bynum Turnover.,26,60
16:40,120,Anthony Cowan Steal.,26,60
16:32,120,Justin Jackson Turnover.,26,60
16:31,-1,Ochae Bynum Steal.,26,60
16:27,120,Foul on Damonte Dodd.,26,60
16:27,-1,Tre Mouton made Free Throw.,27,60
16:27,-1,Tre Mouton made Free Throw.,28,60
16:21,120,Anthony Cowan Turnover.,28,60
16:21,120,Maryland  Timeout,28,60
16:21,120,Official TV Timeout,28,60
16:04,-1,Tre Mouton Turnover.,28,60
15:56,120,Justin Jackson missed Three Point Jumper.,28,60
15:56,120,Dion Wiley Offensive Rebound.,28,60
15:54,-1,Foul on Tre Mouton.,28,60
15:54,120,Official TV Timeout,28,60
15:50,-1,Foul on Ochae Bynum.,28,60
15:50,-1,Foul on Tre Mouton.,28,60
15:37,-1,Foul on Darick Kerns.,28,60
15:37,120,Ivan Bender missed Free Throw.,28,60
15:37,120,Maryland Deadball Team Rebound.,28,60
15:37,120,Ivan Bender missed Free Throw.,28,60
15:37,-1,Ochae Bynum Defensive Rebound.,28,60
15:13,-1,Alie Kondeh missed Layup.,28,60
15:13,120,Ivan Bender Block.,28,60
15:11,120,Anthony Cowan Defensive Rebound.,28,60
14:52,120,Ivan Bender made Dunk. Assisted by Anthony Cowan.,28,62
14:28,120,Foul on Jaylen Brantley.,28,62
14:12,-1,Lavonte Sanders missed Jumper.,28,62
14:12,-1,St. Mary's (MD) Offensive Rebound.,28,62
14:02,-1,Lavonte Sanders missed Jumper.,28,62
14:02,120,Jared Nickens Defensive Rebound.,28,62
13:51,120,Jaylen Brantley Turnover.,28,62
13:35,-1,Alie Kondeh Turnover.,28,62
13:19,120,Jared Nickens missed Jumper.,28,62
13:19,120,Ivan Bender Offensive Rebound.,28,62
13:11,120,L.G. Gill made Jumper. Assisted by Jared Nickens.,28,64
12:54,-1,Ochae Bynum made Three Point Jumper. Assisted by Lavonte Sanders.,31,64
12:34,120,Ivan Bender Turnover.,31,64
12:26,-1,Matt Ayoub missed Three Point Jumper.,31,64
12:26,120,Jared Nickens Defensive Rebound.,31,64
12:05,120,Jared Nickens missed Three Point Jumper.,31,64
12:05,-1,Charlie Kwarteng Defensive Rebound.,31,64
11:55,-1,Ochae Bynum missed Jumper.,31,64
11:55,-1,Lavonte Sanders Offensive Rebound.,31,64
11:51,-1,Lavonte Sanders made Two Point Tip Shot.,33,64
11:46,-1,Foul on Ochae Bynum.,33,64
11:46,120,Official TV Timeout,33,64
11:46,120,Jaylen Brantley made Free Throw.,33,65
11:46,120,Jaylen Brantley missed Free Throw.,33,65
11:46,-1,Lavonte Sanders Defensive Rebound.,33,65
11:20,-1,Ochae Bynum missed Layup.,33,65
11:20,120,Ivan Bender Defensive Rebound.,33,65
11:11,120,Jared Nickens missed Dunk.,33,65
11:11,-1,Lavonte Sanders Defensive Rebound.,33,65
11:04,-1,Lavonte Sanders Turnover.,33,65
10:45,120,Jared Nickens missed Jumper.,33,65
10:45,-1,Matt Ayoub Defensive Rebound.,33,65
10:44,120,Foul on Jared Nickens.,33,65
10:33,-1,Matt Ayoub missed Jumper.,33,65
10:32,120,Jared Nickens Block.,33,65
10:31,-1,St. Mary's (MD) Offensive Rebound.,33,65
10:30,-1,Marsalis Hurley Turnover.,33,65
10:29,120,L.G. Gill Steal.,33,65
10:13,-1,Foul on Jr Chris Craft.,33,65
10:13,120,Jared Nickens made Free Throw.,33,66
10:13,120,Jared Nickens made Free Throw.,33,67
9:52,-1,Donovan Robinson Turnover.,33,67
9:49,120,Jared Nickens Steal.,33,67
9:46,120,Dion Wiley made Dunk.,33,69
9:26,-1,Delaszo Smith made Jumper.,35,69
9:04,-1,Foul on Matt Ayoub.,35,69
9:04,120,Dion Wiley made Free Throw.,35,70
9:04,120,Dion Wiley missed Free Throw.,35,70
9:04,120,Dion Wiley Offensive Rebound.,35,70
9:04,120,Dion Wiley Turnover.,35,70
9:04,-1,Donovan Robinson Steal.,35,70
9:04,-1,Donovan Robinson made Layup.,37,70
8:34,120,Jared Nickens missed Three Point Jumper.,37,70
8:34,-1,St. Mary's (MD) Defensive Rebound.,37,70
8:12,-1,Kyle DePollar missed Three Point Jumper.,37,70
8:12,120,Kevin Huerter Defensive Rebound.,37,70
8:01,120,L.G. Gill made Layup. Assisted by Jared Nickens.,37,72
8:01,-1,Foul on Kyle DePollar.,37,72
8:01,120,L.G. Gill made Free Throw.,37,73
7:35,-1,Donovan Robinson missed Jumper.,37,73
7:35,120,L.G. Gill Defensive Rebound.,37,73
7:28,120,Kevin Huerter made Dunk. Assisted by Anthony Cowan.,37,75
7:11,-1,Jamal Murphy Turnover.,37,75
7:01,-1,Foul on Kyle DePollar.,37,75
7:01,120,Official TV Timeout,37,75
7:01,120,L.G. Gill made Free Throw.,37,76
7:01,120,L.G. Gill made Free Throw.,37,77
6:38,-1,Donovan Robinson Turnover.,37,77
6:36,120,Kevin Huerter Steal.,37,77
6:34,120,Anthony Cowan made Layup.,37,79
6:15,-1,Donovan Robinson missed Three Point Jumper.,37,79
6:15,120,Anthony Cowan Defensive Rebound.,37,79
6:05,-1,Foul on Donovan Robinson.,37,79
6:05,120,Dion Wiley made Free Throw.,37,80
6:05,120,Dion Wiley missed Free Throw.,37,80
6:05,-1,Jamal Murphy Defensive Rebound.,37,80
5:57,-1,Tre Mouton Turnover.,37,80
5:39,120,Kevin Huerter missed Three Point Jumper.,37,80
5:39,-1,Delaszo Smith Defensive Rebound.,37,80
5:33,120,Foul on Kevin Huerter.,37,80
5:21,-1,Delaszo Smith missed Three Point Jumper.,37,80
5:21,120,Justin Jackson Defensive Rebound.,37,80
5:04,-1,Foul on Lavonte Sanders.,37,80
5:04,120,L.G. Gill made Free Throw.,37,81
5:04,120,L.G. Gill missed Free Throw.,37,81
5:04,-1,Alie Kondeh Defensive Rebound.,37,81
4:57,-1,Alie Kondeh made Layup.,39,81
4:36,-1,Foul on Ochae Bynum.,39,81
4:36,120,Anthony Cowan made Free Throw.,39,82
4:36,120,Anthony Cowan made Free Throw.,39,83
4:16,-1,Delaszo Smith missed Jumper.,39,83
4:16,120,L.G. Gill Defensive Rebound.,39,83
3:58,120,Jaylen Brantley made Layup.,39,85
3:58,-1,Foul on Alie Kondeh.,39,85
3:58,120,Official TV Timeout,39,85
3:58,120,Jaylen Brantley missed Free Throw.,39,85
3:58,-1,Jamal Murphy Defensive Rebound.,39,85
3:27,-1,Lavonte Sanders made Layup.,41,85
3:10,120,L.G. Gill missed Jumper.,41,85
3:10,120,Ivan Bender Offensive Rebound.,41,85
3:07,-1,Foul on Jamal Murphy.,41,85
3:07,120,Ivan Bender made Free Throw.,41,86
3:07,120,Ivan Bender missed Free Throw.,41,86
3:07,-1,Alie Kondeh Defensive Rebound.,41,86
2:58,-1,Ochae Bynum missed Three Point Jumper.,41,86
2:58,120,Maryland Defensive Rebound.,41,86
2:40,120,Jared Nickens missed Three Point Jumper.,41,86
2:40,120,Travis Valmon Offensive Rebound.,41,86
2:31,-1,Foul on Jamal Murphy.,41,86
2:31,120,L.G. Gill missed Free Throw.,41,86
2:31,120,Maryland Deadball Team Rebound.,41,86
2:31,120,L.G. Gill missed Free Throw.,41,86
2:31,-1,Lavonte Sanders Defensive Rebound.,41,86
2:06,120,Foul on Andrew Terrell.,41,86
2:06,-1,Tre Mouton made Free Throw.,42,86
2:06,-1,Tre Mouton made Free Throw.,43,86
1:56,-1,Foul on Darick Kerns.,43,86
1:56,120,Travis Valmon made Free Throw.,43,87
1:56,120,Travis Valmon made Free Throw.,43,88
1:40,-1,Jerrel Elder Ii Turnover.,43,88
1:39,120,Travis Valmon Steal.,43,88
1:29,120,Jaylen Brantley missed Three Point Jumper.,43,88
1:29,120,Travis Valmon Offensive Rebound.,43,88
1:24,120,Travis Valmon missed Jumper.,43,88
1:24,-1,Darick Kerns Defensive Rebound.,43,88
1:21,-1,Darick Kerns Turnover.,43,88
1:20,120,Jared Nickens Steal.,43,88
1:19,-1,Foul on Jake Mahnke.,43,88
1:19,120,Jaylen Brantley made Free Throw.,43,89
1:19,120,Jaylen Brantley made Free Throw.,43,90
1:07,120,Foul on Jared Nickens.,43,90
1:07,-1,Jerrel Elder Ii missed Free Throw.,43,90
1:07,-1,St. Mary's (MD) Deadball Team Rebound.,43,90
1:07,-1,Jerrel Elder Ii missed Free Throw.,43,90
1:07,120,L.G. Gill Defensive Rebound.,43,90
0:53,120,Jaylen Brantley made Three Point Jumper. Assisted by Andrew Terrell.,43,93
0:29,120,Foul on Travis Valmon.,43,93
0:29,-1,Tre Mouton made Free Throw.,44,93
0:29,-1,Tre Mouton made Free Throw.,45,93
0:00,120,End of Game,45,93
