San Diego,26,UCLA,301
5:11,26,Aaron Holiday made Three Point Jumper. Assisted by Isaac Hamilton.,62,78
4:49,301,Olin Carter III missed Three Point Jumper.,62,78
4:49,26,Aaron Holiday Defensive Rebound.,62,78
4:36,26,Aaron Holiday missed Layup.,62,78
4:36,301,Mark Carbone Defensive Rebound.,62,78
4:23,301,Mark Carbone missed Three Point Jumper.,62,78
4:23,301,Mark Carbone Offensive Rebound.,62,78
4:17,301,Brett Bailey missed Layup.,62,78
4:17,26,TJ Leaf Defensive Rebound.,62,78
4:07,26,TJ Leaf made Dunk. Assisted by Isaac Hamilton.,62,80
3:47,26,Foul on Aaron Holiday.,62,80
3:47,26,Official TV Timeout,62,80
3:34,301,Cameron Neubauer made Jumper. Assisted by Olin Carter III.,64,80
3:34,26,Foul on TJ Leaf.,64,80
3:34,301,Cameron Neubauer made Free Throw.,65,80
3:26,26,Aaron Holiday missed Three Point Jumper.,65,80
3:26,301,Olin Carter III Defensive Rebound.,65,80
3:17,301,Olin Carter III missed Jumper.,65,80
3:17,26,Thomas Welsh Defensive Rebound.,65,80
3:16,301,Foul on Brett Bailey.,65,80
3:13,26,Thomas Welsh made Free Throw.,65,81
3:13,26,Thomas Welsh made Free Throw.,65,82
2:56,301,Mark Carbone missed Three Point Jumper.,65,82
2:56,26,Isaac Hamilton Defensive Rebound.,65,82
2:49,26,Isaac Hamilton made Three Point Jumper. Assisted by Aaron Holiday.,65,85
2:17,301,Tyler Williams missed Jumper.,65,85
2:17,26,Thomas Welsh Defensive Rebound.,65,85
2:10,26,Isaac Hamilton missed Three Point Jumper.,65,85
2:10,301,Cameron Neubauer Defensive Rebound.,65,85
2:04,301,Tyler Williams Turnover.,65,85
2:04,26,Lonzo Ball Steal.,65,85
1:48,26,Lonzo Ball missed Three Point Jumper.,65,85
1:48,301,Nassir Barrino Defensive Rebound.,65,85
1:34,301,Mark Carbone missed Three Point Jumper.,65,85
1:34,301,Brett Bailey Offensive Rebound.,65,85
1:23,301,Brett Bailey missed Jumper.,65,85
1:23,26,Bryce Alford Defensive Rebound.,65,85
0:59,26,Bryce Alford missed Layup.,65,85
0:59,301,Cameron Neubauer Defensive Rebound.,65,85
0:51,301,Tyler Williams made Three Point Jumper. Assisted by Nassir Barrino.,68,85
0:22,26,Bryce Alford made Three Point Jumper. Assisted by Aaron Holiday.,68,88
0:06,301,Brett Bailey missed Three Point Jumper.,68,88
0:06,26,Lonzo Ball Defensive Rebound.,68,88
0:00,26,End of Game,68,88
