Eastern Washington,251,Texas,331
2:10,331,Luka Vulikic missed Jumper.,22,37
2:10,251,Eric Davis Jr. Defensive Rebound.,22,37
2:04,251,Kerwin Roach Jr. made Layup.,22,39
1:35,331,Mason Peatling missed Jumper.,22,39
1:35,331,Julian Harrell Offensive Rebound.,22,39
1:32,331,Julian Harrell missed Jumper.,22,39
1:32,331,Geremy McKay Offensive Rebound.,22,39
1:31,251,Foul on Kendal Yancy.,22,39
1:31,331,Geremy McKay made Free Throw.,23,39
1:31,331,Geremy McKay made Free Throw.,24,39
1:12,331,Foul on Geremy McKay.,24,39
1:12,251,Jarrett Allen missed Free Throw.,24,39
1:12,251,Texas Deadball Team Rebound.,24,39
1:12,251,Jarrett Allen missed Free Throw.,24,39
1:12,331,Mason Peatling Defensive Rebound.,24,39
0:51,331,Felix Von Hofe missed Layup.,24,39
0:51,251,Texas Defensive Rebound.,24,39
0:30,251,Foul on Tevin Mack.,24,39
0:30,251,Tevin Mack Turnover.,24,39
0:30,331,Michael Wearne Turnover.,24,39
0:30,251,Texas  Timeout,24,39
0:02,251,Eric Davis Jr. missed Three Point Jumper.,24,39
0:02,251,Tevin Mack Offensive Rebound.,24,39
0:01,251,Tevin Mack missed Jumper.,24,39
0:01,251,Texas Deadball Team Rebound.,24,39
0:00,251,End of 1st half,24,39
19:35,251,Shaquille Cleare made Layup. Assisted by Kerwin Roach Jr..,24,41
19:18,331,Felix Von Hofe missed Three Point Jumper.,24,41
19:18,251,Kerwin Roach Jr. Defensive Rebound.,24,41
19:18,251,Kerwin Roach Jr. Turnover.,24,41
19:18,331,Julian Harrell Steal.,24,41
19:09,331,Julian Harrell missed Layup.,24,41
19:09,251,Shaquille Cleare Defensive Rebound.,24,41
19:01,251,Eric Davis Jr. made Layup. Assisted by Kerwin Roach Jr..,24,43
18:41,331,Julian Harrell missed Three Point Jumper.,24,43
18:41,331,Jacob Wiley Offensive Rebound.,24,43
18:38,331,Jacob Wiley missed Jumper.,24,43
18:38,251,Kerwin Roach Jr. Defensive Rebound.,24,43
18:32,331,Foul on Felix Von Hofe.,24,43
18:32,251,Jarrett Allen missed Free Throw.,24,43
18:32,251,Texas Deadball Team Rebound.,24,43
18:32,251,Jarrett Allen made Free Throw.,24,44
18:21,331,Jacob Wiley made Layup. Assisted by Julian Harrell.,26,44
17:59,251,Shaquille Cleare made Jumper. Assisted by Eric Davis Jr..,26,46
17:36,331,Julian Harrell missed Three Point Jumper.,26,46
17:36,251,Texas Defensive Rebound.,26,46
17:22,251,Eric Davis Jr. made Three Point Jumper. Assisted by Kerwin Roach Jr..,26,49
17:08,331,Jacob Wiley made Jumper.,28,49
16:56,251,Kendal Yancy made Jumper.,28,51
16:45,331,Bogdan Bliznyuk missed Jumper.,28,51
16:45,251,Shaquille Cleare Block.,28,51
16:44,331,Eastern Washington Offensive Rebound.,28,51
16:36,331,Bogdan Bliznyuk missed Jumper.,28,51
16:36,251,Texas Defensive Rebound.,28,51
16:09,251,Eric Davis Jr. made Three Point Jumper. Assisted by Kerwin Roach Jr..,28,54
15:47,331,Felix Von Hofe Turnover.,28,54
15:46,251,Kerwin Roach Jr. Steal.,28,54
15:42,251,Eric Davis Jr. missed Three Point Jumper.,28,54
15:42,251,Jarrett Allen Offensive Rebound.,28,54
15:38,251,Jarrett Allen missed Jumper.,28,54
15:38,331,Sir Washington Defensive Rebound.,28,54
15:26,251,Foul on Jarrett Allen.,28,54
15:26,251,Official TV Timeout,28,54
15:26,331,Jacob Wiley made Free Throw.,29,54
15:26,331,Jacob Wiley made Free Throw.,30,54
15:08,251,Jacob Young missed Three Point Jumper.,30,54
15:08,251,James Banks Offensive Rebound.,30,54
15:04,251,Tevin Mack made Three Point Jumper. Assisted by James Banks.,30,57
14:43,331,Jacob Wiley made Jumper. Assisted by Bogdan Bliznyuk.,32,57
14:19,251,Tevin Mack missed Three Point Jumper.,32,57
14:19,331,Felix Von Hofe Defensive Rebound.,32,57
13:48,331,Jacob Wiley Turnover.,32,57
13:47,251,James Banks Steal.,32,57
13:46,251,James Banks Turnover.,32,57
13:45,331,Mason Peatling missed Three Point Jumper.,32,57
13:44,251,Andrew Jones Defensive Rebound.,32,57
13:42,331,Foul on Mason Peatling.,32,57
13:41,251,Tevin Mack missed Free Throw.,32,57
13:40,251,Texas Deadball Team Rebound.,32,57
13:39,251,Tevin Mack made Free Throw.,32,58
13:06,331,Mason Peatling missed Jumper.,32,58
13:06,331,Bogdan Bliznyuk Offensive Rebound.,32,58
13:06,331,Bogdan Bliznyuk missed Jumper.,32,58
13:06,251,James Banks Block.,32,58
13:06,251,Texas Defensive Rebound.,32,58
12:40,251,Tevin Mack made Layup. Assisted by Andrew Jones.,32,60
12:40,251,Tevin Mack made Free Throw.,32,61
12:40,331,Foul on Jacob Wiley.,32,61
12:30,331,Mason Peatling made Jumper. Assisted by Ty Gibson.,34,61
12:27,251,Jacob Young missed Three Point Jumper.,34,61
12:27,331,Bogdan Bliznyuk Defensive Rebound.,34,61
12:03,331,Luka Vulikic Turnover.,34,61
12:02,251,Andrew Jones Steal.,34,61
12:02,251,Andrew Jones made Dunk.,34,63
11:36,331,Jesse Hunt made Jumper.,36,63
11:22,251,James Banks missed Jumper.,36,63
11:22,251,Tevin Mack Offensive Rebound.,36,63
11:21,251,Tevin Mack made Two Point Tip Shot.,36,65
11:04,331,Bogdan Bliznyuk missed Jumper.,36,65
11:04,251,Tevin Mack Defensive Rebound.,36,65
10:59,251,Tevin Mack missed Jumper.,36,65
10:59,331,Mason Peatling Defensive Rebound.,36,65
10:58,251,Official TV Timeout,36,65
10:38,331,Bogdan Bliznyuk made Jumper.,38,65
10:34,251,James Banks made Dunk. Assisted by Andrew Jones.,38,67
10:08,331,Jesse Hunt missed Jumper.,38,67
10:08,251,Jarrett Allen Defensive Rebound.,38,67
9:44,251,Andrew Jones missed Three Point Jumper.,38,67
9:44,331,Ty Gibson Defensive Rebound.,38,67
9:30,331,Bogdan Bliznyuk made Jumper.,40,67
9:10,331,Foul on Ty Gibson.,40,67
8:59,331,Foul on Mason Peatling.,40,67
8:52,251,Jarrett Allen Turnover.,40,67
8:46,251,Foul on Tevin Mack.,40,67
8:44,251,Foul on Jacob Young.,40,67
8:37,331,Bogdan Bliznyuk made Layup.,42,67
8:30,251,Jacob Young missed Three Point Jumper.,42,67
8:30,251,Texas Deadball Team Rebound.,42,67
8:27,331,Foul on Jacob Wiley.,42,67
8:20,331,Foul on Cody Benzel.,42,67
8:20,251,Jarrett Allen made Free Throw.,42,68
8:20,251,Jarrett Allen missed Free Throw.,42,68
8:20,331,Sir Washington Defensive Rebound.,42,68
8:02,331,Bogdan Bliznyuk made Jumper.,44,68
8:02,251,Foul on Kerwin Roach Jr..,44,68
8:02,331,Bogdan Bliznyuk made Free Throw.,45,68
7:34,251,Kerwin Roach Jr. missed Layup.,45,68
7:34,331,Geremy McKay Block.,45,68
7:33,251,Eric Davis Jr. Offensive Rebound.,45,68
7:33,251,Eric Davis Jr. missed Jumper.,45,68
7:33,251,Jarrett Allen Offensive Rebound.,45,68
7:33,331,Foul on Jesse Hunt.,45,68
7:33,251,Official TV Timeout,45,68
7:33,251,Jarrett Allen missed Free Throw.,45,68
7:33,331,Jesse Hunt Defensive Rebound.,45,68
7:25,331,Foul on Geremy McKay.,45,68
7:25,331,Geremy McKay Turnover.,45,68
7:10,251,Tevin Mack made Three Point Jumper. Assisted by Shaquille Cleare.,45,71
6:54,331,Bogdan Bliznyuk made Jumper.,47,71
6:42,331,Foul on Jesse Hunt.,47,71
6:42,251,Jarrett Allen made Free Throw.,47,72
6:42,251,Jarrett Allen made Free Throw.,47,73
6:27,331,Sir Washington missed Three Point Jumper.,47,73
6:27,251,Jarrett Allen Defensive Rebound.,47,73
6:15,251,Shaquille Cleare missed Jumper.,47,73
6:15,331,Jesse Hunt Defensive Rebound.,47,73
6:00,331,Bogdan Bliznyuk missed Three Point Jumper.,47,73
6:00,331,Sir Washington Offensive Rebound.,47,73
5:55,331,Jesse Hunt missed Three Point Jumper.,47,73
5:55,251,Eric Davis Jr. Defensive Rebound.,47,73
5:46,251,Tevin Mack made Three Point Jumper. Assisted by Eric Davis Jr..,47,76
5:28,331,Jesse Hunt missed Three Point Jumper.,47,76
5:28,251,Kerwin Roach Jr. Defensive Rebound.,47,76
5:22,251,Tevin Mack missed Three Point Jumper.,47,76
5:22,331,Bogdan Bliznyuk Defensive Rebound.,47,76
5:02,331,Bogdan Bliznyuk Turnover.,47,76
5:01,251,Kerwin Roach Jr. Steal.,47,76
4:58,331,Foul on Jesse Hunt.,47,76
4:58,251,Kerwin Roach Jr. made Free Throw.,47,77
4:58,251,Kerwin Roach Jr. made Free Throw.,47,78
4:48,331,Sir Washington missed Jumper.,47,78
4:48,251,James Banks Block.,47,78
4:45,251,Andrew Jones Defensive Rebound.,47,78
4:30,251,Foul on Jacob Young.,47,78
4:30,251,Jacob Young Turnover.,47,78
4:16,331,Bogdan Bliznyuk made Jumper.,49,78
3:50,251,Andrew Jones made Three Point Jumper. Assisted by Jacob Young.,49,81
3:34,331,Bogdan Bliznyuk missed Three Point Jumper.,49,81
3:34,251,Kendal Yancy Defensive Rebound.,49,81
3:27,251,Andrew Jones missed Three Point Jumper.,49,81
3:27,251,James Banks Offensive Rebound.,49,81
3:19,331,Foul on Mason Peatling.,49,81
3:19,251,Official TV Timeout,49,81
3:19,251,Ryan McClurg made Free Throw.,49,82
3:19,251,Ryan McClurg made Free Throw.,49,83
3:00,331,Bogdan Bliznyuk missed Three Point Jumper.,49,83
3:00,251,Kendal Yancy Defensive Rebound.,49,83
2:35,251,Andrew Jones Turnover.,49,83
2:35,331,Mason Peatling Steal.,49,83
2:20,331,Felix Von Hofe missed Three Point Jumper.,49,83
2:20,251,Texas Defensive Rebound.,49,83
1:47,251,Kendal Yancy missed Three Point Jumper.,49,83
1:47,331,Felix Von Hofe Defensive Rebound.,49,83
1:22,331,Michael Wearne missed Three Point Jumper.,49,83
1:22,251,Kendal Yancy Defensive Rebound.,49,83
1:14,251,Andrew Jones missed Layup.,49,83
1:14,331,Mason Peatling Block.,49,83
1:12,331,Michael Wearne Defensive Rebound.,49,83
1:06,331,Mario Soto missed Three Point Jumper.,49,83
1:06,251,Andrew Jones Defensive Rebound.,49,83
0:37,251,Andrew Jones missed Three Point Jumper.,49,83
0:37,251,James Banks Offensive Rebound.,49,83
0:35,251,James Banks made Jumper.,49,85
0:18,331,Felix Von Hofe made Three Point Jumper. Assisted by Bogdan Bliznyuk.,52,85
0:00,251,End of Game,52,85
