Xavier,142,Missouri,2752
18:51,142,Frankie Hughes missed Two Point Tip Shot.,36,40
18:51,2752,Sean O'Mara Defensive Rebound.,36,40
18:42,2752,Edmond Sumner missed Jumper.,36,40
18:42,142,Kevin Puryear Defensive Rebound.,36,40
18:23,142,Kevin Puryear missed Three Point Jumper.,36,40
18:23,2752,Xavier Defensive Rebound.,36,40
18:08,2752,Edmond Sumner missed Three Point Jumper.,36,40
18:08,142,Kevin Puryear Defensive Rebound.,36,40
17:42,142,Kevin Puryear made Layup. Assisted by Frankie Hughes.,36,42
17:25,2752,RaShid Gaston missed Layup.,36,42
17:25,142,Terrence Phillips Defensive Rebound.,36,42
17:09,142,Cullen VanLeer missed Three Point Jumper.,36,42
17:09,2752,Sean O'Mara Defensive Rebound.,36,42
16:56,2752,Edmond Sumner missed Three Point Jumper.,36,42
16:56,2752,J.P. Macura Offensive Rebound.,36,42
16:51,2752,J.P. Macura missed Three Point Jumper.,36,42
16:51,142,Terrence Phillips Defensive Rebound.,36,42
16:43,142,Terrence Phillips missed Layup.,36,42
16:43,2752,Sean O'Mara Block.,36,42
16:43,2752,Malcolm Bernard Defensive Rebound.,36,42
16:36,142,Foul on Frankie Hughes.,36,42
16:36,2752,J.P. Macura made Free Throw.,37,42
16:36,2752,J.P. Macura made Free Throw.,38,42
16:25,142,Frankie Hughes made Three Point Jumper.,38,45
16:08,2752,Tyrique Jones missed Layup.,38,45
16:08,2752,Tyrique Jones Offensive Rebound.,38,45
16:01,2752,Tyrique Jones missed Layup.,38,45
16:01,142,Reed Nikko Block.,38,45
16:01,2752,Tyrique Jones Offensive Rebound.,38,45
16:00,2752,Edmond Sumner missed Layup.,38,45
16:00,2752,RaShid Gaston Offensive Rebound.,38,45
16:00,142,Foul on Reed Nikko.,38,45
16:00,2752,RaShid Gaston made Free Throw.,39,45
16:00,2752,RaShid Gaston made Free Throw.,40,45
15:35,2752,Foul on Malcolm Bernard.,40,45
15:35,142,Official TV Timeout,40,45
15:14,142,Jordan Geist missed Jumper.,40,45
15:14,2752,RaShid Gaston Block.,40,45
15:14,2752,Quentin Goodin Defensive Rebound.,40,45
15:08,142,Foul on Cullen VanLeer.,40,45
15:08,2752,J.P. Macura made Free Throw.,41,45
15:08,2752,J.P. Macura made Free Throw.,42,45
14:58,142,Cullen VanLeer Turnover.,42,45
14:58,2752,J.P. Macura Steal.,42,45
14:54,2752,J.P. Macura made Dunk.,44,45
14:25,142,Frankie Hughes missed Jumper.,44,45
14:25,2752,Edmond Sumner Block.,44,45
14:25,2752,RaShid Gaston Defensive Rebound.,44,45
14:19,2752,J.P. Macura missed Three Point Jumper.,44,45
14:19,142,Missouri Defensive Rebound.,44,45
14:15,2752,Foul on Tyrique Jones.,44,45
14:01,142,Terrence Phillips missed Three Point Jumper.,44,45
14:01,2752,RaShid Gaston Defensive Rebound.,44,45
13:46,2752,Quentin Goodin missed Three Point Jumper.,44,45
13:46,142,Kevin Puryear Defensive Rebound.,44,45
13:18,142,Terrence Phillips made Jumper.,44,47
12:56,2752,Edmond Sumner made Layup.,46,47
12:56,142,Foul on Russell Woods.,46,47
12:56,2752,Edmond Sumner made Free Throw.,47,47
12:47,142,Cullen VanLeer made Three Point Jumper.,47,50
12:33,2752,J.P. Macura missed Jumper.,47,50
12:33,142,Cullen VanLeer Defensive Rebound.,47,50
12:22,142,Terrence Phillips Turnover.,47,50
12:22,2752,Edmond Sumner Steal.,47,50
12:20,142,Foul on Cullen VanLeer.,47,50
12:18,2752,Edmond Sumner Turnover.,47,50
12:18,142,Terrence Phillips Steal.,47,50
12:18,2752,Foul on Tyrique Jones.,47,50
11:57,142,Russell Woods missed Jumper.,47,50
11:57,2752,Xavier Defensive Rebound.,47,50
11:54,142,Foul on Russell Woods.,47,50
11:54,142,Official TV Timeout,47,50
11:35,2752,Quentin Goodin Turnover.,47,50
11:11,142,Frankie Hughes Turnover.,47,50
10:59,142,Foul on K.J. Walton.,47,50
10:59,2752,Edmond Sumner missed Free Throw.,47,50
10:59,142,Kevin Puryear Defensive Rebound.,47,50
10:48,142,Kevin Puryear missed Jumper.,47,50
10:48,2752,Sean O'Mara Defensive Rebound.,47,50
10:34,2752,Sean O'Mara missed Jumper.,47,50
10:34,142,Willie Jackson Defensive Rebound.,47,50
10:17,142,Frankie Hughes made Three Point Jumper. Assisted by Terrence Phillips.,47,53
9:58,2752,Sean O'Mara made Layup. Assisted by J.P. Macura.,49,53
9:38,142,Frankie Hughes made Three Point Jumper. Assisted by Kevin Puryear.,49,56
9:15,2752,Malcolm Bernard missed Layup.,49,56
9:15,2752,Malcolm Bernard Offensive Rebound.,49,56
9:09,2752,Malcolm Bernard made Layup.,51,56
9:09,142,Foul on Kevin Puryear.,51,56
9:09,2752,Edmond Sumner made Free Throw.,52,56
8:56,142,Kevin Puryear missed Layup.,52,56
8:56,2752,Tyrique Jones Block.,52,56
8:56,142,Kevin Puryear Offensive Rebound.,52,56
8:52,2752,Foul on Tyrique Jones.,52,56
8:52,142,Kevin Puryear missed Free Throw.,52,56
8:52,142,Missouri Deadball Team Rebound.,52,56
8:52,142,Kevin Puryear made Free Throw.,52,57
8:41,142,Foul on Cullen VanLeer.,52,57
8:41,2752,Edmond Sumner made Free Throw.,53,57
8:41,2752,Edmond Sumner made Free Throw.,54,57
8:29,142,Frankie Hughes missed Three Point Jumper.,54,57
8:29,2752,Xavier Defensive Rebound.,54,57
8:11,2752,J.P. Macura made Jumper. Assisted by Edmond Sumner.,56,57
7:46,142,Kevin Puryear missed Jumper.,56,57
7:46,142,Frankie Hughes Offensive Rebound.,56,57
7:46,142,Frankie Hughes made Two Point Tip Shot.,56,59
7:25,2752,RaShid Gaston made Jumper.,58,59
7:03,142,Terrence Phillips missed Jumper.,58,59
7:03,2752,RaShid Gaston Defensive Rebound.,58,59
6:55,2752,Jump Ball won by Xavier,58,59
6:55,142,Official TV Timeout,58,59
6:51,142,Foul on Russell Woods.,58,59
6:51,2752,Sean O'Mara missed Free Throw.,58,59
6:51,2752,Xavier Deadball Team Rebound.,58,59
6:51,2752,Sean O'Mara made Free Throw.,59,59
6:33,2752,Foul on RaShid Gaston.,59,59
6:33,142,Kevin Puryear made Free Throw.,59,60
6:33,142,Kevin Puryear made Free Throw.,59,61
6:16,2752,Edmond Sumner missed Jumper.,59,61
6:16,142,Reed Nikko Block.,59,61
6:16,142,Terrence Phillips Defensive Rebound.,59,61
6:09,142,Frankie Hughes missed Three Point Jumper.,59,61
6:09,2752,J.P. Macura Defensive Rebound.,59,61
6:04,2752,Edmond Sumner made Dunk. Assisted by J.P. Macura.,61,61
5:37,142,Terrence Phillips missed Three Point Jumper.,61,61
5:37,2752,RaShid Gaston Defensive Rebound.,61,61
5:28,142,Foul on Jordan Geist.,61,61
5:28,2752,Edmond Sumner missed Free Throw.,61,61
5:28,2752,Xavier Deadball Team Rebound.,61,61
5:28,2752,Edmond Sumner missed Free Throw.,61,61
5:28,142,Kevin Puryear Defensive Rebound.,61,61
5:13,142,Kevin Puryear Turnover.,61,61
5:13,2752,Malcolm Bernard Steal.,61,61
5:10,2752,RaShid Gaston made Dunk. Assisted by Malcolm Bernard.,63,61
4:55,2752,Foul on Malcolm Bernard.,63,61
4:55,142,Terrence Phillips made Free Throw.,63,62
4:55,142,Terrence Phillips made Free Throw.,63,63
4:55,142,Missouri  Timeout,63,63
4:42,2752,Edmond Sumner made Dunk. Assisted by Trevon Bluiett.,65,63
4:19,142,Kevin Puryear made Jumper.,65,65
4:02,2752,Edmond Sumner made Jumper.,67,65
3:49,142,Frankie Hughes Turnover.,67,65
3:49,2752,Sean O'Mara Steal.,67,65
3:39,142,Official TV Timeout,67,65
3:15,142,Terrence Phillips missed Layup.,67,65
3:15,2752,RaShid Gaston Block.,67,65
3:15,142,Missouri Offensive Rebound.,67,65
3:12,142,Missouri  Turnover.,67,65
2:42,2752,Edmond Sumner missed Jumper.,67,65
2:42,2752,Xavier Offensive Rebound.,67,65
2:42,2752,Xavier  Turnover.,67,65
2:32,142,Kevin Puryear missed Jumper.,67,65
2:32,2752,RaShid Gaston Block.,67,65
2:32,2752,Xavier Defensive Rebound.,67,65
2:29,142,Foul on Willie Jackson.,67,65
2:29,2752,Trevon Bluiett made Free Throw.,68,65
2:29,2752,Trevon Bluiett made Free Throw.,69,65
2:24,142,Missouri  Timeout,69,65
2:09,142,Kevin Puryear made Jumper. Assisted by Frankie Hughes.,69,67
1:48,142,Foul on Terrence Phillips.,69,67
1:48,2752,Edmond Sumner missed Free Throw.,69,67
1:48,2752,Xavier Deadball Team Rebound.,69,67
1:48,2752,Edmond Sumner missed Free Throw.,69,67
1:48,142,Missouri Defensive Rebound.,69,67
1:34,142,Willie Jackson made Layup. Assisted by Frankie Hughes.,69,69
1:14,2752,Trevon Bluiett missed Three Point Jumper.,69,69
1:14,142,Kevin Puryear Defensive Rebound.,69,69
0:50,142,Frankie Hughes missed Layup.,69,69
0:50,142,Missouri Offensive Rebound.,69,69
0:50,2752,Foul on RaShid Gaston.,69,69
0:50,142,Willie Jackson missed Free Throw.,69,69
0:50,2752,RaShid Gaston Defensive Rebound.,69,69
0:32,2752,Trevon Bluiett made Layup.,71,69
0:19,142,Missouri  Timeout,71,69
0:13,2752,Foul on RaShid Gaston.,71,69
0:13,142,Kevin Puryear made Free Throw.,71,70
0:13,142,Kevin Puryear made Free Throw.,71,71
0:01,2752,Edmond Sumner missed Three Point Jumper.,71,71
0:01,2752,Xavier Offensive Rebound.,71,71
0:00,142,End of 2nd half,71,71
5:00,2752,Jump Ball won by Xavier,71,71
4:47,2752,Trevon Bluiett made Layup.,73,71
4:22,142,Kevin Puryear missed Three Point Jumper.,73,71
4:22,2752,Trevon Bluiett Defensive Rebound.,73,71
4:03,142,Foul on Terrence Phillips.,73,71
4:03,2752,Sean O'Mara made Free Throw.,74,71
4:03,2752,Sean O'Mara made Free Throw.,75,71
3:50,142,Terrence Phillips missed Layup.,75,71
3:50,142,Willie Jackson Offensive Rebound.,75,71
3:50,142,Willie Jackson made Two Point Tip Shot.,75,73
3:30,2752,Sean O'Mara made Layup. Assisted by J.P. Macura.,77,73
3:06,142,Kevin Puryear missed Jumper.,77,73
3:06,2752,Xavier Defensive Rebound.,77,73
3:04,142,Foul on Willie Jackson.,77,73
3:04,2752,Trevon Bluiett made Free Throw.,78,73
3:04,2752,Trevon Bluiett missed Free Throw.,78,73
3:04,142,Willie Jackson Defensive Rebound.,78,73
2:45,142,Jump Ball won by Missouri,78,73
2:40,142,Terrence Phillips made Three Point Jumper.,78,76
2:23,2752,J.P. Macura missed Three Point Jumper.,78,76
2:23,142,Terrence Phillips Defensive Rebound.,78,76
2:15,2752,Foul on Edmond Sumner.,78,76
2:15,142,Terrence Phillips made Free Throw.,78,77
2:15,142,Terrence Phillips made Free Throw.,78,78
1:54,2752,Edmond Sumner Turnover.,78,78
1:54,142,Cullen VanLeer Steal.,78,78
1:47,142,Frankie Hughes made Layup.,78,80
1:33,2752,Trevon Bluiett missed Three Point Jumper.,78,80
1:33,2752,Sean O'Mara Offensive Rebound.,78,80
1:29,2752,Sean O'Mara made Layup.,80,80
1:03,142,Terrence Phillips made Layup.,80,82
0:42,2752,J.P. Macura missed Three Point Jumper.,80,82
0:42,2752,Trevon Bluiett Offensive Rebound.,80,82
0:37,2752,Trevon Bluiett missed Layup.,80,82
0:37,2752,Xavier Offensive Rebound.,80,82
0:18,142,Foul on Terrence Phillips.,80,82
0:18,2752,J.P. Macura made Free Throw.,81,82
0:18,2752,J.P. Macura made Free Throw.,82,82
0:18,2752,Xavier  Timeout,82,82
0:06,142,Terrence Phillips missed Three Point Jumper.,82,82
0:06,2752,Malcolm Bernard Block.,82,82
0:06,2752,Edmond Sumner Defensive Rebound.,82,82
0:02,2752,Xavier  Timeout,82,82
0:02,2752,Xavier  Timeout,82,82
0:01,142,Foul on Terrence Phillips.,82,82
0:01,2752,Edmond Sumner missed Free Throw.,82,82
0:01,2752,Xavier Deadball Team Rebound.,82,82
0:01,2752,Edmond Sumner made Free Throw.,83,82
0:01,142,Missouri  Timeout,83,82
0:00,142,End of Game,83,82
