College of Coastal Georgia,Error,Georgia Southern,290
13:04,290,B.J. Gladden Defensive Rebound.,8,11
12:53,290,Ike Smith made Layup.,8,13
12:27,-1,Isaiah Gibson Turnover.,8,13
12:22,290,B.J. Gladden missed Three Point Jumper.,8,13
12:22,-1,Haylen Washington Defensive Rebound.,8,13
12:06,-1,Haylen Washington missed Three Point Jumper.,8,13
12:06,-1,Coastal Georgia Offensive Rebound.,8,13
12:03,290,Foul on Devonte Boykins.,8,13
11:39,-1,Brandon Martin made Three Point Jumper. Assisted by Jonathan Canada.,11,13
11:18,290,Devonte Boykins made Layup.,11,15
10:54,-1,Isaiah Gibson missed Jumper.,11,15
10:54,290,B.J. Gladden Defensive Rebound.,11,15
10:44,290,B.J. Gladden Turnover.,11,15
10:44,290,Official TV Timeout,11,15
10:27,-1,Brandon Martin missed Three Point Jumper.,11,15
10:27,290,Montae Glenn Defensive Rebound.,11,15
10:17,290,Ike Smith made Layup.,11,17
9:54,-1,Jordan Lewis missed Jumper.,11,17
9:54,-1,Landon Sarazine Offensive Rebound.,11,17
9:43,-1,Jonathan Canada missed Three Point Jumper.,11,17
9:43,290,Ike Smith Defensive Rebound.,11,17
9:28,-1,Foul on Jaylen Smallwood.,11,17
9:28,290,B.J. Gladden missed Free Throw.,11,17
9:28,290,Georgia Southern Deadball Team Rebound.,11,17
9:28,290,B.J. Gladden made Free Throw.,11,18
9:12,-1,Jonathan Canada Turnover.,11,18
9:10,290,Tookie Brown Steal.,11,18
9:07,290,Jake Allsmiller missed Three Point Jumper.,11,18
9:07,-1,Jaylen Smallwood Defensive Rebound.,11,18
8:44,290,Foul on Shawn O'Connell.,11,18
8:44,-1,Jaylen Smallwood made Free Throw.,12,18
8:44,-1,Jaylen Smallwood made Free Throw.,13,18
8:30,-1,Foul on Jaylen Smallwood.,13,18
8:30,290,Tookie Brown missed Free Throw.,13,18
8:30,290,Georgia Southern Deadball Team Rebound.,13,18
8:30,290,Tookie Brown made Free Throw.,13,19
8:15,-1,Jaylen Smallwood missed Jumper.,13,19
8:15,290,Jake Allsmiller Defensive Rebound.,13,19
7:56,-1,Foul on Haylen Washington.,13,19
7:56,290,Official TV Timeout,13,19
7:56,290,Montae Glenn missed Free Throw.,13,19
7:56,290,Georgia Southern Deadball Team Rebound.,13,19
7:56,290,Montae Glenn made Free Throw.,13,20
7:29,-1,Mabor Gabriel missed Three Point Jumper.,13,20
7:29,290,Montae Glenn Defensive Rebound.,13,20
7:18,290,Tookie Brown made Jumper.,13,22
6:44,-1,Brandon Martin made Three Point Jumper. Assisted by Jordan Lewis.,16,22
6:30,290,Ike Smith Turnover.,16,22
6:10,-1,Jordan Lewis Turnover.,16,22
6:08,290,Devonte Boykins Steal.,16,22
6:08,-1,Foul on Mabor Gabriel.,16,22
5:56,290,Ike Smith made Jumper.,16,24
5:37,-1,Brandon Martin missed Three Point Jumper.,16,24
5:37,-1,Jaylen Smallwood Offensive Rebound.,16,24
5:33,-1,Jaylen Smallwood made Jumper.,18,24
5:14,290,Ike Smith missed Jumper.,18,24
5:14,290,Shawn O'Connell Offensive Rebound.,18,24
5:09,290,Shawn O'Connell missed Layup.,18,24
5:09,-1,Mabor Gabriel Block.,18,24
5:07,-1,Jordan Lewis Defensive Rebound.,18,24
5:02,-1,Isaiah Gibson missed Layup.,18,24
5:02,290,Tookie Brown Block.,18,24
4:59,290,Tookie Brown Defensive Rebound.,18,24
4:56,-1,Foul on Mabor Gabriel.,18,24
4:56,290,Coye Simmons missed Free Throw.,18,24
4:56,290,Georgia Southern Deadball Team Rebound.,18,24
4:56,290,Coye Simmons made Free Throw.,18,25
4:49,-1,Jordan Lewis Turnover.,18,25
4:39,290,B.J. Gladden made Dunk.,18,27
4:13,-1,Jordan Lewis Turnover.,18,27
4:12,290,Jake Allsmiller Steal.,18,27
3:52,290,B.J. Gladden made Three Point Jumper. Assisted by Tookie Brown.,18,30
3:25,-1,Jordan Lewis missed Layup.,18,30
3:25,-1,Jordan Lewis Offensive Rebound.,18,30
3:21,-1,Jordan Lewis Turnover.,18,30
3:21,290,Devonte Boykins Steal.,18,30
3:21,290,Official TV Timeout,18,30
3:04,290,Montae Glenn made Jumper.,18,32
2:37,-1,Jonathan Canada missed Jumper.,18,32
2:37,-1,Brandon Martin Offensive Rebound.,18,32
2:08,-1,Jonathan Canada Turnover.,18,32
1:56,290,Ike Smith made Layup.,18,34
1:53,-1,Foul on Jeremy Joyner.,18,34
1:53,290,Ike Smith made Free Throw.,18,35
1:28,290,Foul on Jake Allsmiller.,18,35
1:11,-1,Delandis Hopkins missed Three Point Jumper.,18,35
1:11,290,Georgia Southern Defensive Rebound.,18,35
1:08,-1,Foul on Jeremy Joyner.,18,35
1:08,290,Jake Allsmiller missed Free Throw.,18,35
1:08,-1,Brandon Martin Defensive Rebound.,18,35
0:56,-1,Isaiah Gibson Turnover.,18,35
0:55,290,B.J. Gladden Steal.,18,35
0:54,-1,Foul on Jonathan Canada.,18,35
0:54,290,B.J. Gladden made Free Throw.,18,36
0:54,290,B.J. Gladden missed Free Throw.,18,36
0:54,-1,Brandon Martin Defensive Rebound.,18,36
0:35,-1,Tyler May missed Three Point Jumper.,18,36
0:35,290,Tookie Brown Defensive Rebound.,18,36
0:25,290,Tookie Brown missed Jumper.,18,36
0:25,290,Montae Glenn Offensive Rebound.,18,36
0:21,290,Montae Glenn made Layup.,18,38
0:21,-1,Coastal Georgia  Timeout,18,38
0:03,-1,Tyler May Turnover.,18,38
0:03,290,Georgia Southern  Timeout,18,38
0:00,290,Tookie Brown missed Three Point Jumper.,18,38
0:00,-1,Coastal Georgia Defensive Rebound.,18,38
0:00,290,End of 1st half,18,38
19:35,-1,Isaiah Gibson missed Three Point Jumper.,18,38
19:35,290,Shawn O'Connell Defensive Rebound.,18,38
19:26,290,Jake Allsmiller missed Three Point Jumper.,18,38
19:26,290,Montae Glenn Offensive Rebound.,18,38
19:22,290,Montae Glenn made Jumper.,18,40
19:22,-1,Foul on Mabor Gabriel.,18,40
19:22,290,Montae Glenn missed Free Throw.,18,40
19:22,-1,Haylen Washington Defensive Rebound.,18,40
19:17,-1,Isaiah Gibson Turnover.,18,40
19:02,290,Tookie Brown made Three Point Jumper. Assisted by Ike Smith.,18,43
18:52,-1,Haylen Washington made Three Point Jumper. Assisted by Isaiah Gibson.,21,43
18:31,290,Ike Smith missed Jumper.,21,43
18:31,290,Jake Allsmiller Offensive Rebound.,21,43
18:25,290,Shawn O'Connell made Dunk. Assisted by Jake Allsmiller.,21,45
18:13,290,Foul on Tookie Brown.,21,45
18:11,-1,Senghore Momodou missed Jumper.,21,45
18:11,290,Georgia Southern Defensive Rebound.,21,45
17:55,290,Ike Smith made Dunk. Assisted by Jake Allsmiller.,21,47
17:25,-1,Isaiah Gibson missed Three Point Jumper.,21,47
17:25,290,Coye Simmons Defensive Rebound.,21,47
17:11,290,Jake Allsmiller missed Three Point Jumper.,21,47
17:11,290,Coye Simmons Offensive Rebound.,21,47
17:05,290,Coye Simmons Turnover.,21,47
17:05,290,Foul on Coye Simmons.,21,47
16:33,290,Foul on Tookie Brown.,21,47
16:33,-1,Haylen Washington missed Free Throw.,21,47
16:33,-1,Coastal Georgia Deadball Team Rebound.,21,47
16:33,-1,Haylen Washington made Free Throw.,22,47
16:21,290,Shawn O'Connell missed Layup.,22,47
16:21,-1,Jonathan Canada Defensive Rebound.,22,47
16:13,-1,Jonathan Canada Turnover.,22,47
16:12,290,Ike Smith Steal.,22,47
16:09,290,Shawn O'Connell made Dunk. Assisted by Ike Smith.,22,49
15:59,-1,Haylen Washington missed Three Point Jumper.,22,49
15:59,290,Ike Smith Defensive Rebound.,22,49
15:47,290,Devonte Boykins missed Three Point Jumper.,22,49
15:47,290,Ike Smith Offensive Rebound.,22,49
15:32,290,Tookie Brown missed Three Point Jumper.,22,49
15:32,290,Coye Simmons Offensive Rebound.,22,49
15:28,-1,Brandon Martin Defensive Rebound.,22,51
15:28,290,Coye Simmons missed Free Throw.,22,49
15:28,290,Coye Simmons made Layup.,22,51
15:25,-1,Foul on Jonathan Canada.,22,51
15:25,290,Official TV Timeout,22,51
15:14,-1,Brandon Martin made Three Point Jumper.,25,51
14:59,290,Devonte Boykins Turnover.,25,51
14:59,-1,Jonathan Canada Steal.,25,51
14:47,-1,Brandon Martin made Three Point Jumper. Assisted by Jonathan Canada.,28,51
14:35,290,Aubrey McRae made Three Point Jumper. Assisted by Devonte Boykins.,28,54
14:02,-1,Isaiah Gibson missed Jumper.,28,54
14:02,290,B.J. Gladden Defensive Rebound.,28,54
13:54,290,Aubrey McRae missed Three Point Jumper.,28,54
13:54,-1,Coastal Georgia Defensive Rebound.,28,54
13:52,290,Foul on Coye Simmons.,28,54
13:22,-1,Jonathan Canada missed Jumper.,28,54
13:22,290,Tookie Brown Block.,28,54
13:20,290,Georgia Southern Defensive Rebound.,28,54
12:59,290,Aubrey McRae missed Three Point Jumper.,28,54
12:59,-1,Isaiah Gibson Defensive Rebound.,28,54
12:46,290,Foul on Ike Smith.,28,54
12:34,-1,Jonathan Canada Turnover.,28,54
12:17,-1,Foul on Jaylen Smallwood.,28,54
12:17,290,B.J. Gladden missed Free Throw.,28,54
12:17,290,Georgia Southern Deadball Team Rebound.,28,54
12:17,290,B.J. Gladden made Free Throw.,28,55
12:08,290,Foul on Montae Glenn.,28,55
12:08,-1,Haylen Washington missed Free Throw.,28,55
12:08,-1,Coastal Georgia Deadball Team Rebound.,28,55
12:08,-1,Haylen Washington missed Free Throw.,28,55
12:08,290,Shawn O'Connell Defensive Rebound.,28,55
11:51,290,Ike Smith missed Layup.,28,55
11:51,-1,Haylen Washington Defensive Rebound.,28,55
11:30,-1,Jordan Lewis missed Jumper.,28,55
11:30,290,Ike Smith Defensive Rebound.,28,55
11:22,290,Ike Smith made Jumper.,28,57
11:13,290,Official TV Timeout,28,57
11:01,-1,Jordan Lewis missed Jumper.,28,57
11:01,-1,Coastal Georgia Offensive Rebound.,28,57
10:48,-1,Isaiah Gibson made Three Point Jumper.,31,57
10:31,290,Shawn O'Connell made Three Point Jumper. Assisted by Tookie Brown.,31,60
10:14,-1,Landon Sarazine missed Jumper.,31,60
10:14,290,Ike Smith Defensive Rebound.,31,60
10:03,-1,Foul on Mabor Gabriel.,31,60
10:03,290,Ike Smith made Free Throw.,31,61
10:03,290,Ike Smith made Free Throw.,31,62
9:53,290,Foul on Coye Simmons.,31,62
9:53,-1,Haylen Washington made Free Throw.,32,62
9:53,-1,Haylen Washington made Free Throw.,33,62
9:33,290,B.J. Gladden missed Three Point Jumper.,33,62
9:33,-1,Jeremy Joyner Defensive Rebound.,33,62
9:29,290,Foul on Ike Smith.,33,62
9:29,-1,Jeremy Joyner missed Free Throw.,33,62
9:29,290,Tookie Brown Defensive Rebound.,33,62
9:23,290,Tookie Brown made Layup.,33,64
9:02,-1,Jordan Lewis Turnover.,33,64
9:01,290,Ike Smith Steal.,33,64
8:55,-1,Foul on Haylen Washington.,33,64
8:55,-1,Coastal Georgia  Timeout,33,64
8:55,290,B.J. Gladden missed Free Throw.,33,64
8:55,290,Georgia Southern Deadball Team Rebound.,33,64
8:55,290,B.J. Gladden made Free Throw.,33,65
8:39,-1,Haylen Washington Turnover.,33,65
8:38,290,Tookie Brown Steal.,33,65
8:35,290,Tookie Brown missed Layup.,33,65
8:35,290,B.J. Gladden Offensive Rebound.,33,65
8:32,290,B.J. Gladden made Dunk.,33,67
8:07,-1,Jeremy Joyner missed Jumper.,33,67
8:07,-1,Jonathan Canada Offensive Rebound.,33,67
8:02,-1,Jonathan Canada missed Three Point Jumper.,33,67
8:02,290,Georgia Southern Defensive Rebound.,33,67
7:48,-1,Foul on Jeremy Joyner.,33,67
7:48,290,Official TV Timeout,33,67
7:48,290,Ike Smith made Free Throw.,33,68
7:48,290,Ike Smith missed Free Throw.,33,68
7:48,-1,Brandon Martin Defensive Rebound.,33,68
7:19,-1,Coastal Georgia  Turnover.,33,68
7:06,290,Ike Smith made Three Point Jumper. Assisted by B.J. Gladden.,33,71
6:50,-1,Haylen Washington made Three Point Jumper. Assisted by Isaiah Gibson.,36,71
6:30,290,Jake Allsmiller made Three Point Jumper. Assisted by Devonte Boykins.,36,74
6:17,-1,Brandon Martin made Three Point Jumper. Assisted by Jonathan Canada.,39,74
6:08,290,Georgia Southern  Timeout,39,74
5:48,-1,Foul on Haylen Washington.,39,74
5:48,290,B.J. Gladden missed Free Throw.,39,74
5:48,290,Montae Glenn Offensive Rebound.,39,74
5:43,290,Montae Glenn missed Jumper.,39,74
5:43,-1,Brandon Martin Block.,39,74
5:42,290,B.J. Gladden Offensive Rebound.,39,74
5:39,290,B.J. Gladden made Layup.,39,76
5:24,-1,Isaiah Gibson Turnover.,39,76
5:23,290,Aubrey McRae Steal.,39,76
5:22,290,B.J. Gladden made Dunk. Assisted by Aubrey McRae.,39,78
5:00,-1,Haylen Washington missed Three Point Jumper.,39,78
5:00,290,Jake Allsmiller Defensive Rebound.,39,78
4:57,-1,Foul on Delandis Hopkins.,39,78
4:57,290,Jake Allsmiller made Free Throw.,39,79
4:57,290,Jake Allsmiller made Free Throw.,39,80
4:43,-1,Isaiah Gibson Turnover.,39,80
4:34,290,Shawn O'Connell missed Three Point Jumper.,39,80
4:34,-1,Haylen Washington Defensive Rebound.,39,80
4:18,-1,Delandis Hopkins missed Layup.,39,80
4:18,-1,Mabor Gabriel Offensive Rebound.,39,80
4:15,-1,Mabor Gabriel missed Layup.,39,80
4:15,-1,Coastal Georgia Offensive Rebound.,39,80
4:12,290,Foul on Coye Simmons.,39,80
4:12,-1,Haylen Washington missed Free Throw.,39,80
4:12,-1,Coastal Georgia Deadball Team Rebound.,39,80
4:12,-1,Haylen Washington made Free Throw.,40,80
4:02,290,Aubrey McRae missed Three Point Jumper.,40,80
4:02,-1,Brandon Martin Defensive Rebound.,40,80
3:43,290,Foul on Shawn O'Connell.,40,80
3:43,290,Official TV Timeout,40,80
3:43,-1,Isaiah Gibson made Free Throw.,41,80
3:43,-1,Isaiah Gibson made Free Throw.,42,80
3:34,290,Dominique Bullock missed Three Point Jumper.,42,80
3:34,-1,Jordan Lewis Defensive Rebound.,42,80
3:17,-1,Jaylen Smallwood missed Jumper.,42,80
3:17,290,Shawn O'Connell Block.,42,80
3:16,-1,Coastal Georgia Offensive Rebound.,42,80
3:14,-1,Tyler May Turnover.,42,80
3:13,290,James Holder Steal.,42,80
3:10,290,Aubrey McRae made Three Point Jumper. Assisted by Dominique Bullock.,42,83
2:43,-1,Jordan Lewis missed Three Point Jumper.,42,83
2:43,290,Dominique Bullock Defensive Rebound.,42,83
2:36,290,Brandon Wimberly made Layup. Assisted by James Holder.,42,85
2:36,-1,Foul on Jeremy Joyner.,42,85
2:36,290,Brandon Wimberly missed Free Throw.,42,85
2:36,-1,Peyton Applegate Defensive Rebound.,42,85
2:17,-1,Jaylen Smallwood missed Three Point Jumper.,42,85
2:17,290,Shawn O'Connell Defensive Rebound.,42,85
2:11,290,James Holder missed Layup.,42,85
2:11,290,Brandon Wimberly Offensive Rebound.,42,85
2:08,290,Brandon Wimberly made Layup.,42,87
1:55,-1,Tyler May Turnover.,42,87
1:47,290,Dominique Bullock Turnover.,42,87
1:37,-1,Tyler May missed Three Point Jumper.,42,87
1:37,290,Georgia Southern Defensive Rebound.,42,87
1:30,290,Dominique Bullock missed Three Point Jumper.,42,87
1:30,290,James Holder Offensive Rebound.,42,87
1:24,290,Dominique Bullock made Three Point Jumper. Assisted by James Holder.,42,90
1:01,-1,Jordan Lewis missed Jumper.,42,90
1:01,-1,Tyler May Offensive Rebound.,42,90
0:54,290,Foul on Shawn O'Connell.,42,90
0:54,-1,Jeremy Joyner missed Free Throw.,42,90
0:54,-1,Coastal Georgia Deadball Team Rebound.,42,90
0:54,-1,Jeremy Joyner made Free Throw.,43,90
0:45,290,Aubrey McRae missed Jumper.,43,90
0:45,-1,Jeremy Joyner Defensive Rebound.,43,90
0:33,-1,Jordan Lewis Turnover.,43,90
0:32,290,Dominique Bullock Steal.,43,90
0:30,290,Shawn O'Connell made Dunk. Assisted by James Holder.,43,92
0:00,290,End of Game,43,92
