South Dakota State,300,UC Irvine,2571
2:38,300,Ioannis Dimakopoulos made Layup. Assisted by Eyassu Worku.,21,33
2:08,2571,Cole Gentry missed Three Point Jumper.,21,33
2:08,300,Jonathan Galloway Defensive Rebound.,21,33
1:44,300,Ioannis Dimakopoulos missed Jumper.,21,33
1:44,2571,Mike Daum Defensive Rebound.,21,33
1:24,2571,Reed Tellinghuisen missed Three Point Jumper.,21,33
1:24,300,Ioannis Dimakopoulos Defensive Rebound.,21,33
1:13,300,Brandon Smith missed Jumper.,21,33
1:13,300,Jonathan Galloway Offensive Rebound.,21,33
1:09,300,Jonathan Galloway missed Jumper.,21,33
1:09,300,Brandon Smith Offensive Rebound.,21,33
1:07,2571,South Dakota St  Timeout,21,33
0:52,300,Max Hazzard made Layup.,21,35
0:47,2571,Reed Tellinghuisen missed Jumper.,21,35
0:47,300,Jonathan Galloway Block.,21,35
0:46,300,Jaron Martin Defensive Rebound.,21,35
0:43,300,Max Hazzard made Layup.,21,37
0:28,300,Foul on Jonathan Galloway.,21,37
0:28,2571,Mike Daum made Free Throw.,22,37
0:28,2571,Mike Daum made Free Throw.,23,37
0:07,300,Evan Leonard missed Three Point Jumper.,23,37
0:07,2571,Reed Tellinghuisen Defensive Rebound.,23,37
0:00,2571,Reed Tellinghuisen missed Three Point Jumper.,23,37
0:00,300,UC Irvine Defensive Rebound.,23,37
0:00,300,End of 1st half,23,37
19:51,300,Foul on Jonathan Galloway.,23,37
19:49,2571,Mike Daum missed Three Point Jumper.,23,37
19:49,300,Ioannis Dimakopoulos Defensive Rebound.,23,37
19:26,300,Tommy Rutherford made Layup. Assisted by Ioannis Dimakopoulos.,23,39
19:07,2571,Mike Daum made Jumper.,25,39
18:41,2571,Foul on Tevin King.,25,39
18:32,300,Jaron Martin missed Jumper.,25,39
18:32,2571,Tevin King Defensive Rebound.,25,39
18:12,2571,Ian Theisen missed Three Point Jumper.,25,39
18:12,2571,Mike Daum Offensive Rebound.,25,39
18:09,300,Foul on Max Hazzard.,25,39
18:07,300,Foul on Tommy Rutherford.,25,39
17:57,300,Foul on Evan Leonard.,25,39
17:53,2571,Foul on Reed Tellinghuisen.,25,39
17:53,2571,Reed Tellinghuisen Turnover.,25,39
17:36,300,Brandon Smith missed Three Point Jumper.,25,39
17:36,2571,Cole Gentry Defensive Rebound.,25,39
17:14,2571,Ian Theisen missed Three Point Jumper.,25,39
17:14,2571,Mike Daum Offensive Rebound.,25,39
17:08,2571,Tevin King made Layup.,27,39
16:45,300,Ioannis Dimakopoulos made Layup.,27,41
16:23,2571,Tevin King missed Jumper.,27,41
16:23,300,Tommy Rutherford Block.,27,41
16:22,300,Brandon Smith Defensive Rebound.,27,41
16:09,300,Ioannis Dimakopoulos missed Jumper.,27,41
16:09,2571,Ian Theisen Defensive Rebound.,27,41
15:58,300,Official TV Timeout,27,41
15:50,2571,Reed Tellinghuisen missed Three Point Jumper.,27,41
15:50,300,UC Irvine Defensive Rebound.,27,41
15:12,300,UC Irvine  Turnover.,27,41
15:07,2571,Reed Tellinghuisen made Layup.,29,41
14:48,300,John Edgar Jr. made Layup. Assisted by Jaron Martin.,29,43
14:28,2571,Skyler Flatten made Layup. Assisted by Mike Daum.,31,43
14:07,300,Jaron Martin made Layup. Assisted by Eyassu Worku.,31,45
13:50,2571,Andre Wallace made Three Point Jumper. Assisted by Tevin King.,34,45
13:24,300,Brad Greene missed Jumper.,34,45
13:24,2571,South Dakota St Defensive Rebound.,34,45
13:12,2571,Andre Wallace missed Layup.,34,45
13:12,300,Evan Leonard Defensive Rebound.,34,45
13:07,300,Evan Leonard made Jumper.,34,47
12:34,2571,Mike Daum Turnover.,34,47
12:24,300,Eyassu Worku missed Three Point Jumper.,34,47
12:24,2571,Lane Severyn Defensive Rebound.,34,47
12:08,2571,Mike Daum missed Three Point Jumper.,34,47
12:08,2571,Lane Severyn Offensive Rebound.,34,47
12:00,2571,Reed Tellinghuisen missed Three Point Jumper.,34,47
12:00,300,Jonathan Galloway Defensive Rebound.,34,47
11:59,2571,Foul on Lane Severyn.,34,47
11:59,300,Official TV Timeout,34,47
11:45,300,Ioannis Dimakopoulos Turnover.,34,47
11:43,2571,Lane Severyn Steal.,34,47
11:29,2571,Andre Wallace missed Three Point Jumper.,34,47
11:29,300,Jonathan Galloway Defensive Rebound.,34,47
11:12,2571,Foul on Ian Theisen.,34,47
11:10,300,Eyassu Worku Turnover.,34,47
11:09,2571,Mike Daum Steal.,34,47
11:02,2571,Skyler Flatten missed Three Point Jumper.,34,47
11:02,300,Jonathan Galloway Defensive Rebound.,34,47
10:53,300,Max Hazzard Turnover.,34,47
10:39,2571,Mike Daum Turnover.,34,47
10:38,300,Max Hazzard Steal.,34,47
10:34,300,Eyassu Worku made Layup.,34,49
10:34,2571,Foul on Andre Wallace.,34,49
10:34,300,Eyassu Worku made Free Throw.,34,50
10:24,2571,Skyler Flatten made Layup.,36,50
10:24,300,Foul on Ioannis Dimakopoulos.,36,50
10:24,2571,Skyler Flatten made Free Throw.,37,50
10:09,300,Evan Leonard Turnover.,37,50
10:09,2571,Ian Theisen Steal.,37,50
10:05,300,Foul on Ioannis Dimakopoulos.,37,50
10:05,2571,Reed Tellinghuisen made Free Throw.,38,50
10:05,2571,Reed Tellinghuisen missed Free Throw.,38,50
10:05,300,Jaron Martin Defensive Rebound.,38,50
10:03,2571,Foul on Lane Severyn.,38,50
9:47,300,Brandon Smith missed Layup.,38,50
9:47,2571,Ian Theisen Defensive Rebound.,38,50
9:38,2571,Reed Tellinghuisen missed Layup.,38,50
9:38,300,Eyassu Worku Defensive Rebound.,38,50
9:33,2571,Foul on Cole Gentry.,38,50
9:33,300,Eyassu Worku made Free Throw.,38,51
9:33,300,Eyassu Worku made Free Throw.,38,52
9:19,2571,Mike Daum missed Three Point Jumper.,38,52
9:19,2571,Tevin King Offensive Rebound.,38,52
9:16,2571,Tevin King made Jumper.,40,52
8:49,300,Jaron Martin missed Three Point Jumper.,40,52
8:49,300,Jonathan Galloway Offensive Rebound.,40,52
8:26,300,Jaron Martin made Three Point Jumper.,40,55
8:14,2571,Skyler Flatten missed Three Point Jumper.,40,55
8:14,300,Eyassu Worku Defensive Rebound.,40,55
7:52,300,Jaron Martin made Three Point Jumper. Assisted by Eyassu Worku.,40,58
7:41,300,Foul on Eyassu Worku.,40,58
7:41,300,Official TV Timeout,40,58
7:41,2571,Cole Gentry missed Free Throw.,40,58
7:41,300,John Edgar Jr. Defensive Rebound.,40,58
7:19,300,Jonathan Galloway missed Layup.,40,58
7:19,2571,Mike Daum Defensive Rebound.,40,58
7:06,2571,Mike Daum missed Three Point Jumper.,40,58
7:06,300,Jonathan Galloway Defensive Rebound.,40,58
6:43,300,Jaron Martin made Layup.,40,60
6:30,2571,Cole Gentry made Three Point Jumper.,43,60
6:25,2571,South Dakota St  Timeout,43,60
6:09,300,Tommy Rutherford made Layup. Assisted by Brandon Smith.,43,62
6:02,300,Foul on Eyassu Worku.,43,62
6:02,2571,Tevin King made Free Throw.,44,62
6:02,2571,Tevin King made Free Throw.,45,62
5:38,300,Jaron Martin made Three Point Jumper. Assisted by Brandon Smith.,45,65
5:23,2571,Tevin King missed Layup.,45,65
5:23,300,Ioannis Dimakopoulos Defensive Rebound.,45,65
5:15,300,Eyassu Worku missed Three Point Jumper.,45,65
5:15,2571,Tevin King Defensive Rebound.,45,65
5:07,2571,Tevin King Turnover.,45,65
5:06,300,Brandon Smith Steal.,45,65
4:44,300,Brandon Smith made Three Point Jumper. Assisted by Jaron Martin.,45,68
4:44,2571,Foul on Ian Theisen.,45,68
4:44,300,Brandon Smith made Free Throw.,45,69
4:32,2571,Reed Tellinghuisen missed Three Point Jumper.,45,69
4:32,2571,South Dakota St Offensive Rebound.,45,69
4:22,2571,Skyler Flatten missed Layup.,45,69
4:22,2571,South Dakota St Offensive Rebound.,45,69
4:18,2571,Mike Daum Turnover.,45,69
4:03,300,Eyassu Worku Turnover.,45,69
3:59,2571,Mike Daum Turnover.,45,69
3:57,300,Jaron Martin Steal.,45,69
3:54,300,Jaron Martin missed Layup.,45,69
3:54,2571,Mike Daum Defensive Rebound.,45,69
3:44,2571,Reed Tellinghuisen missed Jumper.,45,69
3:44,2571,Reed Tellinghuisen Offensive Rebound.,45,69
3:34,2571,Reed Tellinghuisen missed Layup.,45,69
3:34,2571,Mike Daum Offensive Rebound.,45,69
3:32,2571,Mike Daum missed Jumper.,45,69
3:32,300,Jonathan Galloway Block.,45,69
3:30,300,Ioannis Dimakopoulos Defensive Rebound.,45,69
3:15,300,Jaron Martin missed Three Point Jumper.,45,69
3:15,300,Brandon Smith Offensive Rebound.,45,69
2:57,300,Eyassu Worku Turnover.,45,69
2:57,300,Official TV Timeout,45,69
2:39,2571,Chris Howell Turnover.,45,69
2:36,300,Max Hazzard Steal.,45,69
2:14,300,Jaron Martin Turnover.,45,69
2:13,2571,Skyler Flatten Steal.,45,69
2:10,300,Foul on Ioannis Dimakopoulos.,45,69
2:10,2571,Chris Howell made Free Throw.,46,69
2:10,2571,Chris Howell made Free Throw.,47,69
1:45,300,Max Hazzard missed Layup.,47,69
1:45,2571,Michael Orris Defensive Rebound.,47,69
1:36,300,Foul on Spencer Rivers.,47,69
1:36,2571,Skyler Flatten made Free Throw.,48,69
1:36,2571,Skyler Flatten made Free Throw.,49,69
1:30,2571,Foul on Michael Orris.,49,69
1:30,300,Evan Leonard made Free Throw.,49,70
1:30,300,Evan Leonard made Free Throw.,49,71
1:20,2571,Skyler Flatten missed Three Point Jumper.,49,71
1:20,2571,Chris Howell Offensive Rebound.,49,71
1:16,300,Foul on Spencer Rivers.,49,71
1:16,2571,Chris Howell made Free Throw.,50,71
1:16,2571,Chris Howell made Free Throw.,51,71
0:57,300,Spencer Rivers made Jumper.,51,73
0:49,300,Foul on John Edgar Jr..,51,73
0:48,2571,Chris Howell made Free Throw.,52,73
0:48,2571,Chris Howell made Free Throw.,53,73
0:36,300,John Edgar Jr. missed Three Point Jumper.,53,73
0:36,2571,South Dakota St Defensive Rebound.,53,73
0:27,2571,Chris Howell made Layup.,55,73
0:16,300,Evan Leonard missed Three Point Jumper.,55,73
0:16,2571,Adam Dykman Defensive Rebound.,55,73
0:06,300,Foul on Brad Greene.,55,73
0:06,2571,Chris Howell made Free Throw.,56,73
0:06,2571,Chris Howell missed Free Throw.,56,73
0:06,2571,Adam Dykman Offensive Rebound.,56,73
0:04,2571,Adam Dykman made Layup.,58,73
0:00,300,End of Game,58,73
