Central Baptist Coll,Error,Arkansas State,2032
15:33,-1,Mike Evans Turnover.,7,16
15:32,2032,Donte Thomas Steal.,7,16
15:24,2032,Donte Thomas Turnover.,7,16
15:24,2032,Official TV Timeout,7,16
15:09,-1,Nick Jones made Layup.,9,16
14:38,-1,Foul on Tony White.,9,16
14:25,2032,Jahmiah Simmons made Layup. Assisted by Tamas Bruce.,9,18
14:10,-1,Andy Ettiene made Jumper.,11,18
13:58,2032,Rashad Lindsey Turnover.,11,18
13:58,-1,Stephen Ramsey Steal.,11,18
13:58,2032,Foul on Rashad Lindsey.,11,18
13:44,-1,Marcelious Green missed Layup.,11,18
13:44,2032,Tamas Bruce Block.,11,18
13:44,-1,Central Baptist Offensive Rebound.,11,18
13:34,-1,Nick Jones missed Three Point Jumper.,11,18
13:34,2032,Tamas Bruce Defensive Rebound.,11,18
13:10,-1,Foul on Nick Jones.,11,18
12:56,2032,Tamas Bruce missed Layup.,11,18
12:56,2032,Tamas Bruce Offensive Rebound.,11,18
12:54,2032,Tamas Bruce made Two Point Tip Shot.,11,20
12:27,-1,Tony White Turnover.,11,20
12:26,2032,Connor Kern Steal.,11,20
12:23,2032,Jahmiah Simmons missed Layup.,11,20
12:23,-1,Jordan Ford Defensive Rebound.,11,20
12:18,-1,Jordan Ford Turnover.,11,20
12:17,2032,Connor Kern Steal.,11,20
12:15,2032,Connor Kern missed Layup.,11,20
12:15,-1,Nick Jones Defensive Rebound.,11,20
12:02,-1,Andy Ettiene made Layup.,13,20
11:44,2032,Connor Kern made Three Point Jumper. Assisted by Rashad Lindsey.,13,23
11:34,2032,Foul on Tamas Bruce.,13,23
11:34,2032,Official TV Timeout,13,23
11:08,-1,Andy Ettiene Turnover.,13,23
10:53,2032,Devin Carter missed Three Point Jumper.,13,23
10:53,2032,C.J. Foster Offensive Rebound.,13,23
10:49,2032,C.J. Foster missed Two Point Tip Shot.,13,23
10:49,-1,Nick Jones Defensive Rebound.,13,23
10:42,-1,Andy Ettiene made Jumper. Assisted by Tony White.,15,23
10:25,-1,Foul on Marcelious Green.,15,23
10:25,2032,Donte Thomas missed Free Throw.,15,23
10:25,-1,Mike Evans Defensive Rebound.,15,23
10:02,2032,Foul on Salif Boudie.,15,23
9:58,-1,Mike Evans Turnover.,15,23
9:57,2032,Nelson Nweke Steal.,15,23
9:44,2032,Nelson Nweke Turnover.,15,23
9:44,2032,Foul on Nelson Nweke.,15,23
9:32,-1,Andy Ettiene Turnover.,15,23
9:31,2032,Donte Thomas Steal.,15,23
9:29,-1,Foul on Andy Ettiene.,15,23
9:29,2032,Donte Thomas made Free Throw.,15,24
9:29,2032,Donte Thomas missed Free Throw.,15,24
9:29,-1,Mike Evans Defensive Rebound.,15,24
9:15,-1,Jordan Ford missed Three Point Jumper.,15,24
9:15,2032,Arkansas St Defensive Rebound.,15,24
8:54,2032,Rashad Lindsey Turnover.,15,24
8:52,-1,Stephen Ramsey Steal.,15,24
8:45,-1,Jayln McBride made Jumper.,17,24
8:23,2032,C.J. Foster Turnover.,17,24
8:23,2032,Foul on C.J. Foster.,17,24
8:09,-1,Stephen Ramsey missed Three Point Jumper.,17,24
8:09,2032,Devin Carter Defensive Rebound.,17,24
7:55,2032,Donte Thomas made Layup.,17,26
7:40,-1,Stephen Ramsey missed Three Point Jumper.,17,26
7:40,2032,Devin Carter Defensive Rebound.,17,26
7:32,2032,Nelson Nweke made Layup. Assisted by Donte Thomas.,17,28
7:26,-1,Central Baptist  Timeout,17,28
7:26,2032,Official TV Timeout,17,28
7:08,-1,Jayln McBride missed Three Point Jumper.,17,28
7:08,2032,Jahmiah Simmons Defensive Rebound.,17,28
7:00,2032,Nelson Nweke made Layup. Assisted by Jahmiah Simmons.,17,30
6:44,-1,Jordan Ford Turnover.,17,30
6:21,2032,Nelson Nweke Turnover.,17,30
6:07,-1,Justin Harris Turnover.,17,30
5:53,2032,Devin Carter missed Three Point Jumper.,17,30
5:53,-1,Justin Harris Defensive Rebound.,17,30
5:43,-1,Nick Jones missed Layup.,17,30
5:43,2032,Rashad Lindsey Defensive Rebound.,17,30
5:35,-1,Foul on Nick Jones.,17,30
5:35,2032,Rashad Lindsey made Free Throw.,17,31
5:35,2032,Rashad Lindsey made Free Throw.,17,32
5:22,-1,Marcel Swinton missed Jumper.,17,32
5:22,2032,Tamas Bruce Defensive Rebound.,17,32
5:11,2032,Christian Willis made Three Point Jumper. Assisted by Connor Kern.,17,35
4:55,-1,Marcel Swinton Turnover.,17,35
4:32,2032,Rashad Lindsey made Layup.,17,37
4:32,-1,Foul on Nick Jones.,17,37
4:32,2032,Rashad Lindsey made Free Throw.,17,38
4:19,-1,Jarma Perkins missed Jumper.,17,38
4:19,2032,C.J. Foster Defensive Rebound.,17,38
4:13,2032,Rashad Lindsey Turnover.,17,38
4:10,-1,Nick Jones Steal.,17,38
4:08,-1,Jarma Perkins missed Layup.,17,38
4:08,2032,C.J. Foster Block.,17,38
4:08,-1,Central Baptist Offensive Rebound.,17,38
4:01,-1,Jarma Perkins made Three Point Jumper. Assisted by Andy Ettiene.,20,38
3:39,2032,Tamas Bruce made Layup. Assisted by Donte Thomas.,20,40
3:31,-1,Jayln McBride Turnover.,20,40
3:29,2032,Tamas Bruce Steal.,20,40
3:27,2032,Connor Kern made Layup.,20,42
3:27,-1,Foul on Andy Ettiene.,20,42
3:27,2032,Official TV Timeout,20,42
3:26,2032,Connor Kern made Free Throw.,20,43
3:14,2032,Foul on C.J. Foster.,20,43
3:14,-1,Mike Evans missed Free Throw.,20,43
3:14,2032,Donte Thomas Defensive Rebound.,20,43
3:02,2032,Connor Kern made Three Point Jumper. Assisted by Donte Thomas.,20,46
2:44,-1,Stephen Ramsey missed Three Point Jumper.,20,46
2:44,2032,Donte Thomas Defensive Rebound.,20,46
2:36,2032,Donte Thomas made Layup.,20,48
2:24,-1,Jarma Perkins missed Three Point Jumper.,20,48
2:24,-1,Andy Ettiene Offensive Rebound.,20,48
2:13,-1,Stephen Ramsey missed Jumper.,20,48
2:13,2032,Jahmiah Simmons Defensive Rebound.,20,48
2:04,2032,Connor Kern missed Three Point Jumper.,20,48
2:04,2032,Connor Kern Offensive Rebound.,20,48
1:57,2032,Christian Willis missed Three Point Jumper.,20,48
1:57,2032,Jahmiah Simmons Offensive Rebound.,20,48
1:52,2032,Jahmiah Simmons Turnover.,20,48
1:51,-1,Jarma Perkins Steal.,20,48
1:46,-1,Jordan Ford Turnover.,20,48
1:44,2032,Arkansas St  Timeout,20,48
1:35,-1,Foul on Jordan Ford.,20,48
1:35,2032,Tamas Bruce made Free Throw.,20,49
1:35,2032,Tamas Bruce missed Free Throw.,20,49
1:35,2032,Jahmiah Simmons Offensive Rebound.,20,49
1:32,2032,Jahmiah Simmons made Layup.,20,51
1:01,-1,Jayln McBride Turnover.,20,51
0:59,2032,Donte Thomas Steal.,20,51
0:58,2032,Donte Thomas Turnover.,20,51
0:56,-1,Jordan Ford Steal.,20,51
0:54,-1,Jordan Ford Turnover.,20,51
0:30,2032,Tamas Bruce made Dunk. Assisted by Donte Thomas.,20,53
0:26,-1,Jarma Perkins Turnover.,20,53
0:02,2032,Donte Thomas made Jumper.,20,55
0:02,-1,Foul on Jarma Perkins.,20,55
0:02,2032,Donte Thomas made Free Throw.,20,56
0:00,2032,End of 1st half,20,56
19:51,2032,Rashad Lindsey made Three Point Jumper. Assisted by Donte Thomas.,20,59
19:31,-1,Marcelious Green missed Jumper.,20,59
19:31,-1,Marcelious Green Offensive Rebound.,20,59
19:28,2032,Foul on Salif Boudie.,20,59
19:28,-1,Marcelious Green made Free Throw.,21,59
19:28,-1,Marcelious Green missed Free Throw.,21,59
19:28,2032,C.J. Foster Defensive Rebound.,21,59
19:22,2032,Donte Thomas Turnover.,21,59
19:20,-1,Marcelious Green Steal.,21,59
19:18,-1,Marcelious Green made Layup.,23,59
18:52,2032,C.J. Foster Turnover.,23,59
18:50,-1,Mike Evans Steal.,23,59
18:46,-1,Marcelious Green missed Three Point Jumper.,23,59
18:46,2032,Arkansas St Defensive Rebound.,23,59
18:25,2032,Donte Thomas missed Jumper.,23,59
18:25,-1,Mike Evans Defensive Rebound.,23,59
18:11,-1,Mike Evans Turnover.,23,59
18:10,2032,Devin Carter Steal.,23,59
18:04,2032,C.J. Foster missed Layup.,23,59
18:04,-1,Mike Evans Block.,23,59
18:02,-1,Marcelious Green Defensive Rebound.,23,59
17:50,-1,Marcelious Green Turnover.,23,59
17:48,2032,Donte Thomas Steal.,23,59
17:45,2032,Donte Thomas made Layup.,23,61
17:35,-1,Jayln McBride Turnover.,23,61
17:34,2032,Rashad Lindsey Steal.,23,61
17:31,2032,Donte Thomas made Dunk.,23,63
17:23,-1,Central Baptist  Timeout,23,63
17:23,2032,Official TV Timeout,23,63
17:02,-1,Marcelious Green made Jumper.,25,63
17:02,2032,Foul on C.J. Foster.,25,63
17:02,-1,Marcelious Green made Free Throw.,26,63
16:44,2032,Rashad Lindsey missed Three Point Jumper.,26,63
16:44,2032,Salif Boudie Offensive Rebound.,26,63
16:38,2032,Salif Boudie made Two Point Tip Shot.,26,65
16:17,-1,Jayln McBride missed Three Point Jumper.,26,65
16:17,2032,Devin Carter Defensive Rebound.,26,65
16:08,-1,Foul on Mike Evans.,26,65
16:08,2032,Donte Thomas made Free Throw.,26,66
16:08,2032,Donte Thomas made Free Throw.,26,67
15:50,-1,Fred Albright made Three Point Jumper. Assisted by Marcelious Green.,29,67
15:27,2032,Devin Carter missed Three Point Jumper.,29,67
15:27,-1,Marcelious Green Defensive Rebound.,29,67
15:19,-1,Marcelious Green missed Layup.,29,67
15:19,2032,Salif Boudie Block.,29,67
15:17,-1,Marcelious Green Offensive Rebound.,29,67
15:16,-1,Marcelious Green Turnover.,29,67
15:14,2032,C.J. Foster Steal.,29,67
15:10,-1,Foul on Fred Albright.,29,67
15:10,2032,Official TV Timeout,29,67
15:10,2032,Rashad Lindsey made Free Throw.,29,68
15:10,2032,Rashad Lindsey made Free Throw.,29,69
15:01,-1,Fred Albright missed Jumper.,29,69
15:01,-1,Central Baptist Offensive Rebound.,29,69
14:51,2032,Foul on Donte Thomas.,29,69
14:51,-1,Marcelious Green made Free Throw.,30,69
14:51,-1,Marcelious Green made Free Throw.,31,69
14:30,2032,Donte Thomas missed Layup.,31,69
14:30,2032,Salif Boudie Offensive Rebound.,31,69
14:26,2032,C.J. Foster missed Three Point Jumper.,31,69
14:26,2032,Donte Thomas Offensive Rebound.,31,69
14:20,2032,C.J. Foster made Layup. Assisted by Christian Willis.,31,71
14:02,-1,Fred Albright missed Three Point Jumper.,31,71
14:02,2032,Donte Thomas Defensive Rebound.,31,71
13:57,-1,Foul on Nick Jones.,31,71
13:57,2032,C.J. Foster made Free Throw.,31,72
13:57,2032,C.J. Foster made Free Throw.,31,73
13:45,-1,Fred Albright made Three Point Jumper. Assisted by Tony White.,34,73
13:20,2032,Tamas Bruce missed Jumper.,34,73
13:20,-1,Fred Albright Defensive Rebound.,34,73
13:14,2032,Foul on C.J. Foster.,34,73
13:09,2032,Foul on Christian Willis.,34,73
12:57,-1,Andy Ettiene made Layup.,36,73
12:34,2032,Christian Willis missed Three Point Jumper.,36,73
12:34,-1,Tony White Defensive Rebound.,36,73
12:27,-1,Fred Albright missed Three Point Jumper.,36,73
12:27,2032,Devin Carter Defensive Rebound.,36,73
12:19,2032,Tamas Bruce made Dunk. Assisted by Rashad Lindsey.,36,75
11:55,-1,Andy Ettiene made Layup.,38,75
11:33,2032,Christian Willis missed Three Point Jumper.,38,75
11:33,-1,Central Baptist Defensive Rebound.,38,75
11:31,2032,Official TV Timeout,38,75
11:22,-1,Marcelious Green missed Layup.,38,75
11:22,-1,Marcelious Green Offensive Rebound.,38,75
11:20,2032,Foul on Connor Kern.,38,75
11:20,-1,Marcelious Green missed Free Throw.,38,75
11:20,-1,Central Baptist Deadball Team Rebound.,38,75
11:20,-1,Marcelious Green made Free Throw.,39,75
10:56,2032,Devin Carter missed Three Point Jumper.,39,75
10:56,-1,Jayln McBride Defensive Rebound.,39,75
10:50,-1,Fred Albright missed Three Point Jumper.,39,75
10:50,2032,Rashad Lindsey Defensive Rebound.,39,75
10:38,-1,Foul on Andy Ettiene.,39,75
10:38,2032,Rashad Lindsey made Free Throw.,39,76
10:38,2032,Rashad Lindsey missed Free Throw.,39,76
10:38,-1,Nick Jones Defensive Rebound.,39,76
10:30,-1,Nick Jones missed Three Point Jumper.,39,76
10:30,-1,Central Baptist Offensive Rebound.,39,76
10:22,-1,Nick Jones missed Jumper.,39,76
10:22,2032,Rashad Lindsey Defensive Rebound.,39,76
10:10,2032,Christian Davis missed Layup.,39,76
10:10,2032,Arkansas St Offensive Rebound.,39,76
9:47,2032,Christian Davis made Dunk. Assisted by Rashad Lindsey.,39,78
9:39,-1,Jordan Ford missed Three Point Jumper.,39,78
9:39,2032,Christian Davis Defensive Rebound.,39,78
9:26,2032,Tamas Bruce Turnover.,39,78
9:26,2032,Foul on Tamas Bruce.,39,78
9:15,2032,Foul on Rashad Lindsey.,39,78
9:15,-1,Nick Jones made Free Throw.,40,78
9:15,-1,Nick Jones missed Free Throw.,40,78
9:15,2032,Christian Davis Defensive Rebound.,40,78
9:01,2032,Christian Davis missed Jumper.,40,78
9:01,-1,Jayln McBride Defensive Rebound.,40,78
8:48,-1,Nick Jones made Jumper.,42,78
8:48,2032,Foul on Christian Willis.,42,78
8:48,-1,Nick Jones made Free Throw.,43,78
8:36,2032,Rashad Lindsey missed Jumper.,43,78
8:36,2032,Rashad Lindsey Offensive Rebound.,43,78
8:32,2032,Rashad Lindsey made Jumper.,43,80
8:10,-1,Justin Harris missed Jumper.,43,80
8:10,2032,Rashad Lindsey Defensive Rebound.,43,80
7:48,2032,Christian Willis missed Layup.,43,80
7:48,2032,Nelson Nweke Offensive Rebound.,43,80
7:46,2032,Nelson Nweke made Two Point Tip Shot.,43,82
7:46,-1,Foul on Mike Evans.,43,82
7:46,2032,Official TV Timeout,43,82
7:46,2032,Nelson Nweke made Free Throw.,43,83
7:38,2032,Foul on Nelson Nweke.,43,83
7:38,-1,Jordan Ford made Free Throw.,44,83
7:38,-1,Jordan Ford made Free Throw.,45,83
7:09,2032,Christian Davis missed Jumper.,45,83
7:09,2032,Connor Kern Offensive Rebound.,45,83
7:05,2032,Connor Kern made Two Point Tip Shot.,45,85
6:48,-1,Rob Sanders missed Three Point Jumper.,45,85
6:48,2032,Connor Kern Defensive Rebound.,45,85
6:44,-1,Foul on Jayln McBride.,45,85
6:21,2032,Christian Davis Turnover.,45,85
6:20,-1,Fred Albright Steal.,45,85
6:16,-1,Nick Jones made Layup. Assisted by Fred Albright.,47,85
5:51,2032,Connor Kern made Three Point Jumper.,47,88
5:41,-1,Nick Jones missed Jumper.,47,88
5:41,2032,Christian Davis Defensive Rebound.,47,88
5:36,2032,Andrew Riley made Layup.,47,90
5:19,-1,Andy Ettiene Turnover.,47,90
5:08,2032,Nelson Nweke Turnover.,47,90
5:08,2032,Foul on Nelson Nweke.,47,90
4:59,2032,Foul on Christian Willis.,47,90
4:59,-1,Rickey Gipson made Free Throw.,48,90
4:59,-1,Rickey Gipson made Free Throw.,49,90
4:38,2032,Christian Willis made Layup.,49,92
4:38,-1,Foul on LaDarius Reed.,49,92
4:38,2032,Christian Willis made Free Throw.,49,93
4:27,-1,Rickey Gipson Turnover.,49,93
4:26,2032,Christian Willis Steal.,49,93
4:09,2032,Christian Willis Turnover.,49,93
4:07,-1,Andy Ettiene Steal.,49,93
3:59,-1,LaDarius Reed missed Jumper.,49,93
3:59,2032,Christian Davis Defensive Rebound.,49,93
3:51,2032,Connor Kern missed Jumper.,49,93
3:51,-1,Andy Ettiene Defensive Rebound.,49,93
3:41,-1,Jarma Perkins made Three Point Jumper. Assisted by Rob Sanders.,52,93
3:08,2032,Nelson Nweke missed Layup.,52,93
3:08,-1,Rickey Gipson Defensive Rebound.,52,93
2:59,-1,Jarma Perkins made Three Point Jumper. Assisted by Andy Ettiene.,55,93
2:47,2032,Christian Davis Turnover.,55,93
2:45,-1,Rickey Gipson Steal.,55,93
2:39,-1,LaDarius Reed missed Jumper.,55,93
2:39,2032,Christian Willis Defensive Rebound.,55,93
2:25,-1,Foul on LaDarius Reed.,55,93
2:25,2032,Official TV Timeout,55,93
2:25,2032,Christian Davis made Free Throw.,55,94
2:25,2032,Christian Davis missed Free Throw.,55,94
2:25,-1,Clay Anderson Defensive Rebound.,55,94
2:18,-1,Marcel Swinton missed Three Point Jumper.,55,94
2:18,2032,Nelson Nweke Defensive Rebound.,55,94
1:54,-1,Foul on LaDarius Reed.,55,94
1:54,2032,Christian Davis made Free Throw.,55,95
1:54,2032,Christian Davis missed Free Throw.,55,95
1:54,2032,Nelson Nweke Offensive Rebound.,55,95
1:51,2032,Nelson Nweke missed Layup.,55,95
1:51,2032,Christian Davis Offensive Rebound.,55,95
1:48,2032,Christian Davis missed Dunk.,55,95
1:48,2032,Connor Kern Offensive Rebound.,55,95
1:46,2032,Connor Kern made Two Point Tip Shot.,55,97
1:37,-1,Rickey Gipson missed Jumper.,55,97
1:37,2032,Nelson Nweke Defensive Rebound.,55,97
1:22,2032,Andrew Riley made Three Point Jumper. Assisted by Connor Kern.,55,100
1:04,-1,Bryce Evans made Layup. Assisted by Clay Anderson.,57,100
0:49,2032,Christian Willis Turnover.,57,100
0:49,2032,Foul on Christian Willis.,57,100
0:31,-1,Rickey Gipson missed Jumper.,57,100
0:31,2032,Andrew Riley Defensive Rebound.,57,100
0:00,2032,End of Game,57,100
