Alabama State,2628,TCU,2011
11:36,2628,Alex Robinson Block.,7,15
11:36,2628,Desmond Bane Defensive Rebound.,7,15
11:31,2628,Alex Robinson made Layup. Assisted by Desmond Bane.,7,17
11:08,2011,Tony Armstrong missed Layup.,7,17
11:08,2628,Vladimir Brodziansky Defensive Rebound.,7,17
10:57,2628,Jaylen Fisher made Three Point Jumper. Assisted by Alex Robinson.,7,20
10:26,2011,Corvon Butler missed Jumper.,7,20
10:26,2011,Tony Armstrong Offensive Rebound.,7,20
10:22,2011,Tony Armstrong Turnover.,7,20
10:21,2628,Brandon Parrish Steal.,7,20
10:03,2628,Jaylen Fisher missed Three Point Jumper.,7,20
10:03,2628,Vladimir Brodziansky Offensive Rebound.,7,20
9:47,2628,Desmond Bane Turnover.,7,20
9:31,2011,Torloft Thomas Turnover.,7,20
9:14,2628,JD Miller missed Three Point Jumper.,7,20
9:14,2011,Terrance LeFlore Defensive Rebound.,7,20
9:05,2011,Terrance LeFlore made Layup.,9,20
8:52,2628,Jaylen Fisher Turnover.,9,20
8:51,2011,Terrance LeFlore Steal.,9,20
8:49,2011,Terrance LeFlore missed Layup.,9,20
8:49,2628,Alex Robinson Defensive Rebound.,9,20
8:47,2011,Foul on Austin Rogers.,9,20
8:47,2628,Alex Robinson missed Free Throw.,9,20
8:47,2011,Davante Pope Defensive Rebound.,9,20
8:37,2011,Austin Rogers Turnover.,9,20
8:36,2628,Brandon Parrish Steal.,9,20
8:33,2628,JD Miller made Layup. Assisted by Brandon Parrish.,9,22
8:16,2011,Glenn Hollaway Turnover.,9,22
8:16,2011,Foul on Glenn Hollaway.,9,22
7:56,2011,Foul on Austin Rogers.,9,22
7:56,2628,Official TV Timeout,9,22
7:56,2628,Jaylen Fisher made Free Throw.,9,23
7:56,2628,Jaylen Fisher made Free Throw.,9,24
7:51,2011,Glenn Hollaway Turnover.,9,24
7:50,2628,Jaylen Fisher Steal.,9,24
7:45,2628,Desmond Bane missed Three Point Jumper.,9,24
7:45,2011,Glenn Hollaway Defensive Rebound.,9,24
7:39,2011,Terrance LeFlore Turnover.,9,24
7:38,2628,Desmond Bane Steal.,9,24
7:31,2628,Jaylen Fisher Turnover.,9,24
7:31,2011,Davante Pope Steal.,9,24
7:20,2011,Reginald Gee missed Three Point Jumper.,9,24
7:20,2628,Chris Washburn Defensive Rebound.,9,24
7:05,2628,JD Miller made Three Point Jumper. Assisted by Alex Robinson.,9,27
6:53,2628,Foul on Chris Washburn.,9,27
6:33,2011,Terrance LeFlore missed Layup.,9,27
6:33,2011,Tony Armstrong Offensive Rebound.,9,27
6:29,2011,Tony Armstrong made Two Point Tip Shot.,11,27
6:13,2628,Alex Robinson missed Three Point Jumper.,11,27
6:13,2011,Tony Armstrong Defensive Rebound.,11,27
5:58,2011,Tony Armstrong Turnover.,11,27
5:58,2628,Chris Washburn Steal.,11,27
5:31,2628,Alex Robinson Turnover.,11,27
5:14,2011,Tony Armstrong missed Jumper.,11,27
5:14,2628,Karviar Shepherd Defensive Rebound.,11,27
5:06,2011,Foul on Davante Pope.,11,27
5:06,2628,Desmond Bane made Free Throw.,11,28
5:06,2628,Desmond Bane made Free Throw.,11,29
5:06,2011,Terrance LeFlore made Jumper.,13,29
5:06,2628,Jaylen Fisher missed Jumper.,13,29
5:06,2011,Terrance LeFlore Block.,13,29
5:06,2011,Tony Armstrong Defensive Rebound.,13,29
4:37,2011,Rodney Simeon Turnover.,13,29
4:37,2011,Foul on Rodney Simeon.,13,29
4:10,2628,Karviar Shepherd made Layup. Assisted by Alex Robinson.,13,31
3:47,2011,Terrance LeFlore missed Layup.,13,31
3:47,2628,JD Miller Defensive Rebound.,13,31
3:40,2628,Brandon Parrish made Layup. Assisted by JD Miller.,13,33
3:38,2011,Alabama St  Timeout,13,33
3:26,2628,Foul on Dalton Dry.,13,33
3:24,2011,Alabama St  Turnover.,13,33
3:13,2628,Jaylen Fisher made Layup.,13,35
3:13,2011,Foul on Rodney Simeon.,13,35
3:13,2628,Jaylen Fisher made Free Throw.,13,36
2:59,2011,Terrance LeFlore missed Three Point Jumper.,13,36
2:59,2011,Alabama St Deadball Team Rebound.,13,36
2:57,2628,Foul on JD Miller.,13,36
2:57,2011,Tony Armstrong missed Free Throw.,13,36
2:57,2628,JD Miller Defensive Rebound.,13,36
2:47,2628,Brandon Parrish made Three Point Jumper. Assisted by Alex Robinson.,13,39
2:33,2011,Amir Warnock Turnover.,13,39
2:22,2628,Karviar Shepherd made Dunk. Assisted by JD Miller.,13,41
2:07,2011,Steve Rogers Turnover.,13,41
2:06,2628,Alex Robinson Steal.,13,41
2:02,2628,Alex Robinson Turnover.,13,41
1:47,2011,Artis Cleveland Turnover.,13,41
1:47,2011,Foul on Artis Cleveland.,13,41
1:36,2628,Vladimir Brodziansky made Layup. Assisted by Jaylen Fisher.,13,43
1:16,2628,Foul on Karviar Shepherd.,13,43
1:16,2011,Artis Cleveland missed Free Throw.,13,43
1:16,2628,Vladimir Brodziansky Defensive Rebound.,13,43
1:05,2628,Alex Robinson made Layup.,13,45
0:44,2011,Torloft Thomas Turnover.,13,45
0:32,2628,Vladimir Brodziansky missed Layup.,13,45
0:32,2628,Josh Parrish Offensive Rebound.,13,45
0:29,2628,Josh Parrish missed Two Point Tip Shot.,13,45
0:29,2628,Vladimir Brodziansky Offensive Rebound.,13,45
0:27,2628,Vladimir Brodziansky made Layup.,13,47
0:05,2011,Artis Cleveland made Layup. Assisted by Torloft Thomas.,15,47
0:00,2628,End of 1st half,15,47
19:45,2628,Jaylen Fisher missed Layup.,15,47
19:45,2628,Desmond Bane Offensive Rebound.,15,47
19:42,2628,Desmond Bane made Jumper.,15,49
19:26,2011,Torloft Thomas made Jumper.,17,49
19:16,2011,Foul on Amir Warnock.,17,49
19:16,2628,Malique Trent made Free Throw.,17,50
19:16,2628,Malique Trent missed Free Throw.,17,50
19:16,2011,Amir Warnock Defensive Rebound.,17,50
19:06,2628,Foul on Malique Trent.,17,50
19:06,2011,Rodney Simeon made Free Throw.,18,50
19:06,2011,Rodney Simeon made Free Throw.,19,50
19:03,2628,Malique Trent made Dunk. Assisted by Karviar Shepherd.,19,52
18:55,2011,Rodney Simeon made Three Point Jumper.,22,52
18:38,2011,Foul on Rodney Simeon.,22,52
18:37,2628,JD Miller made Jumper. Assisted by Jaylen Fisher.,22,54
18:09,2011,Terrance LeFlore Turnover.,22,54
18:08,2628,Malique Trent Steal.,22,54
18:04,2628,Desmond Bane made Dunk. Assisted by Malique Trent.,22,56
17:53,2011,Tony Armstrong missed Jumper.,22,56
17:53,2628,JD Miller Block.,22,56
17:52,2628,Karviar Shepherd Defensive Rebound.,22,56
17:42,2628,Malique Trent missed Three Point Jumper.,22,56
17:42,2011,Tony Armstrong Defensive Rebound.,22,56
17:33,2011,Torloft Thomas made Three Point Jumper. Assisted by Terrance LeFlore.,25,56
17:15,2628,Desmond Bane made Three Point Jumper. Assisted by Jaylen Fisher.,25,59
17:03,2628,Foul on Desmond Bane.,25,59
16:53,2011,Tony Armstrong made Layup.,27,59
16:39,2628,Desmond Bane made Layup. Assisted by Malique Trent.,27,61
16:19,2011,Corvon Butler missed Layup.,27,61
16:19,2011,Tony Armstrong Offensive Rebound.,27,61
16:14,2011,Tony Armstrong missed Two Point Tip Shot.,27,61
16:14,2628,Karviar Shepherd Defensive Rebound.,27,61
16:06,2628,Jaylen Fisher made Layup.,27,63
15:57,2011,Torloft Thomas Turnover.,27,63
15:56,2628,Jaylen Fisher Steal.,27,63
15:56,2011,Foul on Corvon Butler.,27,63
15:56,2628,Official TV Timeout,27,63
15:43,2628,Karviar Shepherd Turnover.,27,63
15:42,2011,Corvon Butler Steal.,27,63
15:38,2011,Terrance LeFlore missed Three Point Jumper.,27,63
15:38,2011,Corvon Butler Offensive Rebound.,27,63
15:34,2011,Corvon Butler made Layup.,29,63
15:22,2628,Malique Trent Turnover.,29,63
15:20,2011,Terrance LeFlore made Layup.,31,63
14:56,2011,Foul on Rodney Simeon.,31,63
14:32,2628,Vladimir Brodziansky made Layup. Assisted by Jaylen Fisher.,31,65
14:19,2011,Tony Armstrong made Jumper. Assisted by Terrance LeFlore.,33,65
14:18,2628,Foul on Vladimir Brodziansky.,33,65
14:18,2011,Tony Armstrong made Free Throw.,34,65
14:06,2628,Jaylen Fisher made Three Point Jumper. Assisted by Alex Robinson.,34,68
13:47,2628,Foul on Vladimir Brodziansky.,34,68
13:47,2011,Tony Armstrong made Free Throw.,35,68
13:47,2011,Tony Armstrong made Free Throw.,36,68
13:29,2628,Brandon Parrish made Three Point Jumper. Assisted by Desmond Bane.,36,71
13:13,2011,Steve Rogers missed Three Point Jumper.,36,71
13:13,2011,Corvon Butler Offensive Rebound.,36,71
13:08,2011,Corvon Butler made Two Point Tip Shot.,38,71
12:58,2628,Vladimir Brodziansky made Layup. Assisted by Alex Robinson.,38,73
12:41,2628,Foul on Vladimir Brodziansky.,38,73
12:41,2011,Tony Armstrong missed Free Throw.,38,73
12:41,2011,Alabama St Deadball Team Rebound.,38,73
12:41,2011,Tony Armstrong missed Free Throw.,38,73
12:41,2628,Brandon Parrish Defensive Rebound.,38,73
12:17,2628,Desmond Bane Offensive Rebound.,38,73
12:17,2628,Josh Parrish missed Three Point Jumper.,38,73
11:54,2628,Alex Robinson missed Layup.,38,73
11:54,2011,Artis Cleveland Block.,38,73
11:52,2628,Josh Parrish Offensive Rebound.,38,73
11:48,2011,Steve Rogers Defensive Rebound.,38,73
11:48,2628,Josh Parrish missed Layup.,38,73
11:40,2628,Official TV Timeout,38,73
11:39,2011,Mikel Tyson made Free Throw.,39,73
11:39,2628,Foul on Chris Washburn.,39,73
11:39,2011,Mikel Tyson missed Free Throw.,39,73
11:39,2011,Alabama St Deadball Team Rebound.,39,73
11:24,2628,Desmond Bane made Three Point Jumper. Assisted by Alex Robinson.,39,76
10:57,2628,Foul on Alex Robinson.,39,76
10:57,2011,Terrance LeFlore made Free Throw.,40,76
10:57,2011,Terrance LeFlore made Free Throw.,41,76
10:52,2011,Foul on Artis Cleveland.,41,76
10:52,2628,Chris Washburn Turnover.,41,76
10:52,2628,Foul on Chris Washburn.,41,76
10:38,2011,Mikel Tyson missed Layup.,41,76
10:38,2628,Brandon Parrish Defensive Rebound.,41,76
10:29,2628,Josh Parrish missed Jumper.,41,76
10:29,2628,TCU Offensive Rebound.,41,76
10:15,2628,Malique Trent made Layup. Assisted by Brandon Parrish.,41,78
10:04,2011,Terrance LeFlore Turnover.,41,78
9:48,2628,Chris Washburn Turnover.,41,78
9:48,2628,Foul on Chris Washburn.,41,78
9:36,2628,Foul on Brandon Parrish.,41,78
9:36,2011,Tony Armstrong missed Free Throw.,41,78
9:36,2011,Alabama St Deadball Team Rebound.,41,78
9:36,2011,Tony Armstrong made Free Throw.,42,78
9:16,2628,Malique Trent made Three Point Jumper.,42,81
8:53,2628,Foul on Brandon Parrish.,42,81
8:53,2011,Tony Armstrong made Free Throw.,43,81
8:53,2011,Tony Armstrong missed Free Throw.,43,81
8:53,2628,Malique Trent Defensive Rebound.,43,81
8:34,2628,Malique Trent missed Three Point Jumper.,43,81
8:34,2011,Corvon Butler Defensive Rebound.,43,81
8:23,2011,Davante Pope made Jumper. Assisted by Torloft Thomas.,45,81
8:20,2628,TCU  Timeout,45,81
8:10,2628,Jaylen Fisher Turnover.,45,81
8:09,2011,Davante Pope Steal.,45,81
8:06,2011,Steve Rogers made Layup. Assisted by Davante Pope.,47,81
7:35,2628,JD Miller Turnover.,47,81
7:35,2628,Official TV Timeout,47,81
7:27,2011,Corvon Butler made Jumper. Assisted by Tony Armstrong.,49,81
7:06,2628,Desmond Bane missed Three Point Jumper.,49,81
7:06,2628,JD Miller Offensive Rebound.,49,81
7:01,2011,Foul on Torloft Thomas.,49,81
6:49,2628,JD Miller made Jumper. Assisted by Jaylen Fisher.,49,83
6:32,2011,Davante Pope missed Three Point Jumper.,49,83
6:32,2628,Vladimir Brodziansky Defensive Rebound.,49,83
6:21,2628,Desmond Bane made Three Point Jumper. Assisted by Jaylen Fisher.,49,86
6:01,2011,Tony Armstrong missed Jumper.,49,86
6:01,2011,Alabama St Offensive Rebound.,49,86
5:50,2011,Tony Armstrong missed Layup.,49,86
5:50,2011,Tony Armstrong Offensive Rebound.,49,86
5:47,2011,Tony Armstrong made Layup.,51,86
5:30,2628,Alex Robinson made Layup.,51,88
5:30,2628,Malique Trent Steal.,51,88
5:30,2011,Foul on Steve Rogers.,51,88
5:30,2628,Alex Robinson made Free Throw.,51,89
5:15,2628,Foul on JD Miller.,51,89
5:15,2011,Tony Armstrong missed Free Throw.,51,89
5:15,2011,Alabama St Deadball Team Rebound.,51,89
5:15,2011,Tony Armstrong made Free Throw.,52,89
5:04,2628,JD Miller made Layup. Assisted by Karviar Shepherd.,52,91
4:49,2628,Foul on JD Miller.,52,91
4:49,2011,Tony Armstrong missed Free Throw.,52,91
4:49,2011,Alabama St Deadball Team Rebound.,52,91
4:49,2011,Tony Armstrong missed Free Throw.,52,91
4:49,2628,Karviar Shepherd Defensive Rebound.,52,91
4:27,2628,Karviar Shepherd missed Layup.,52,91
4:27,2011,Tony Armstrong Block.,52,91
4:24,2011,Torloft Thomas Defensive Rebound.,52,91
4:09,2011,Terrance LeFlore Turnover.,52,91
4:09,2011,Foul on Terrance LeFlore.,52,91
3:50,2628,Alex Robinson Turnover.,52,91
3:50,2628,Official TV Timeout,52,91
3:29,2628,Foul on Karviar Shepherd.,52,91
3:29,2011,Tony Armstrong made Free Throw.,53,91
3:29,2011,Tony Armstrong made Free Throw.,54,91
3:08,2011,Foul on Tony Armstrong.,54,91
3:08,2628,Desmond Bane made Free Throw.,54,92
3:08,2628,Desmond Bane made Free Throw.,54,93
2:50,2011,Steve Rogers made Three Point Jumper.,57,93
2:36,2628,Alex Robinson missed Jumper.,57,93
2:36,2011,Tony Armstrong Block.,57,93
2:34,2011,Rodney Simeon Defensive Rebound.,57,93
2:20,2011,Steve Rogers made Layup.,59,93
2:11,2628,Dalton Dry missed Three Point Jumper.,59,93
2:11,2628,Karviar Shepherd Offensive Rebound.,59,93
2:06,2628,Karviar Shepherd Turnover.,59,93
2:05,2011,Steve Rogers Steal.,59,93
2:01,2011,Terrance LeFlore Turnover.,59,93
2:01,2628,Dalton Dry Steal.,59,93
2:01,2628,Alex Robinson Turnover.,59,93
1:51,2628,Foul on Dalton Dry.,59,93
1:51,2011,Steve Rogers missed Free Throw.,59,93
1:51,2011,Alabama St Deadball Team Rebound.,59,93
1:51,2011,Steve Rogers missed Free Throw.,59,93
1:51,2628,Chris Washburn Defensive Rebound.,59,93
1:36,2628,Dalton Dry made Three Point Jumper. Assisted by Chris Washburn.,59,96
1:24,2011,Rodney Simeon made Three Point Jumper. Assisted by Terrance LeFlore.,62,96
0:47,2628,TCU  Turnover.,62,96
0:18,2011,Steve Rogers missed Layup.,62,96
0:18,2628,Josh Parrish Defensive Rebound.,62,96
0:03,2628,Austin Sottile made Layup. Assisted by Alex Robinson.,62,98
0:00,2628,End of Game,62,96
