Florida Intl,56,Stetson,2229
19:13,2229,Donte McGill made Jumper.,31,43
19:06,2229,Donte McGill missed Jumper.,31,43
19:06,56,Divine Myles Defensive Rebound.,31,43
18:48,56,Angel Rivera made Three Point Jumper.,31,46
18:13,2229,Foul on Cameron Smith.,31,46
18:13,56,Derick Newton missed Free Throw.,31,46
18:13,56,Stetson Deadball Team Rebound.,31,46
18:13,56,Derick Newton made Free Throw.,31,47
18:00,56,Foul on Divine Myles.,31,47
18:00,2229,Eric Lockett Turnover.,31,47
18:00,56,Angel Rivera Steal.,31,47
18:00,56,Angel Rivera made Layup.,31,49
18:00,2229,Michael Kessens made Layup.,33,49
17:20,56,Brian Pegg missed Jumper.,33,49
17:20,2229,Eric Lockett Block.,33,49
17:18,2229,Cameron Smith Defensive Rebound.,33,49
17:12,2229,Eric Lockett Turnover.,33,49
17:11,56,Angel Rivera Steal.,33,49
17:07,56,Derick Newton made Three Point Jumper. Assisted by Luke Doyle.,33,52
17:03,2229,Florida International  Timeout,33,52
17:03,56,Official TV Timeout,33,52
16:50,2229,Richard Bivens made Three Point Jumper. Assisted by Eric Nottage.,36,52
16:23,56,Divine Myles made Layup.,36,54
16:08,2229,Eric Nottage Turnover.,36,54
15:54,56,Angel Rivera made Three Point Jumper.,36,57
15:38,2229,Eric Nottage made Jumper.,38,57
15:19,56,Official TV Timeout,38,57
15:09,56,Larry Dennis Turnover.,38,57
15:08,2229,Michael Kessens Steal.,38,57
15:04,2229,Michael Kessens Turnover.,38,57
15:03,56,Luke Doyle Steal.,38,57
15:02,56,B.J. Glasford missed Jumper.,38,57
15:02,2229,Michael Kessens Defensive Rebound.,38,57
14:34,2229,Donte McGill made Jumper. Assisted by Eric Nottage.,40,57
14:21,56,B.J. Glasford Turnover.,40,57
14:07,2229,Donte McGill missed Jumper.,40,57
14:07,56,Larry Dennis Block.,40,57
14:06,56,Divine Myles Defensive Rebound.,40,57
14:02,56,Leo Goodman made Layup. Assisted by Divine Myles.,40,59
13:34,2229,Ronald Whitaker missed Layup.,40,59
13:34,56,B.J. Glasford Defensive Rebound.,40,59
13:32,2229,Foul on Cameron Smith.,40,59
13:22,56,Luke Doyle missed Three Point Jumper.,40,59
13:22,2229,Michael Kessens Defensive Rebound.,40,59
13:06,56,Foul on B.J. Glasford.,40,59
12:41,2229,Ronald Whitaker made Three Point Jumper.,43,59
12:28,56,Larry Dennis made Layup. Assisted by Luke Doyle.,43,61
12:01,2229,Foul on Eric Nottage.,43,61
12:01,2229,Eric Nottage Turnover.,43,61
11:56,2229,Foul on Kimar Williams.,43,61
11:56,56,Official TV Timeout,43,61
11:37,56,Leo Goodman missed Three Point Jumper.,43,61
11:37,2229,Ronald Whitaker Defensive Rebound.,43,61
11:28,2229,Ronald Whitaker missed Three Point Jumper.,43,61
11:28,56,Leo Goodman Defensive Rebound.,43,61
11:24,2229,Foul on Donte McGill.,43,61
11:11,56,B.J. Glasford made Jumper. Assisted by Angel Rivera.,43,63
10:49,56,Foul on Angel Rivera.,43,63
10:49,2229,Michael Kessens missed Free Throw.,43,63
10:49,2229,Florida International Deadball Team Rebound.,43,63
10:49,2229,Michael Kessens missed Free Throw.,43,63
10:49,2229,Eric Nottage Offensive Rebound.,43,63
10:36,2229,Kimar Williams missed Layup.,43,63
10:36,2229,Michael Kessens Offensive Rebound.,43,63
10:33,2229,Michael Kessens made Two Point Tip Shot.,45,63
10:31,2229,Foul on Kimar Williams.,45,63
10:14,56,Larry Dennis made Layup.,45,65
10:04,2229,Michael Kessens Turnover.,45,65
10:00,56,Larry Dennis made Dunk. Assisted by Angel Rivera.,45,67
9:44,56,Foul on Larry Dennis.,45,67
9:44,2229,Eric Nottage missed Free Throw.,45,67
9:44,2229,Florida International Deadball Team Rebound.,45,67
9:44,2229,Eric Nottage made Free Throw.,46,67
9:31,56,Leo Goodman missed Three Point Jumper.,46,67
9:31,2229,Eric Nottage Defensive Rebound.,46,67
9:22,2229,Eric Lockett made Layup. Assisted by Eric Nottage.,48,67
9:10,56,B.J. Glasford Turnover.,48,67
9:09,2229,Cameron Smith Steal.,48,67
8:58,2229,Michael Douglas missed Jumper.,48,67
8:58,56,Stetson Defensive Rebound.,48,67
8:46,56,Divine Myles made Three Point Jumper. Assisted by Brian Pegg.,48,70
8:24,2229,Eric Nottage made Three Point Jumper. Assisted by Kimar Williams.,51,70
8:03,56,Derick Newton made Three Point Jumper. Assisted by Brian Pegg.,51,73
7:59,56,Stetson  Timeout,51,73
7:59,56,Official TV Timeout,51,73
7:53,2229,Eric Lockett missed Jumper.,51,73
7:53,56,Luke Doyle Defensive Rebound.,51,73
7:44,56,Angel Rivera missed Layup.,51,73
7:44,2229,Eric Nottage Defensive Rebound.,51,73
7:36,2229,Kimar Williams missed Jumper.,51,73
7:36,56,Divine Myles Defensive Rebound.,51,73
7:26,2229,Foul on Eric Nottage.,51,73
7:26,56,Brian Pegg missed Free Throw.,51,73
7:26,2229,Eric Lockett Defensive Rebound.,51,73
7:08,2229,Donte McGill missed Layup.,51,73
7:08,56,Brian Pegg Block.,51,73
7:07,56,Luke Doyle Defensive Rebound.,51,73
6:54,56,Brian Pegg made Layup. Assisted by Derick Newton.,51,75
6:24,2229,Eric Nottage made Three Point Jumper. Assisted by Kimar Williams.,54,75
6:05,2229,Foul on Anthony Boswell.,54,75
6:05,56,Derick Newton made Free Throw.,54,76
6:05,56,Derick Newton made Free Throw.,54,77
5:47,56,Foul on Kevin Ndahiro.,54,77
5:36,2229,Eric Lockett made Layup.,56,77
5:12,56,Kevin Ndahiro Turnover.,56,77
4:53,2229,Michael Kessens missed Three Point Jumper.,56,77
4:53,56,Kevin Ndahiro Defensive Rebound.,56,77
4:38,56,Divine Myles missed Layup.,56,77
4:38,2229,Michael Kessens Defensive Rebound.,56,77
4:36,56,Foul on Kevin Ndahiro.,56,77
4:14,2229,Eric Nottage made Three Point Jumper.,59,77
3:43,56,Leo Goodman missed Three Point Jumper.,59,77
3:43,2229,Michael Kessens Defensive Rebound.,59,77
3:32,56,Foul on Derick Newton.,59,77
3:32,56,Official TV Timeout,59,77
3:32,2229,Eric Lockett made Free Throw.,60,77
3:32,2229,Eric Lockett made Free Throw.,61,77
3:08,56,Divine Myles made Layup.,61,79
2:51,2229,Eric Nottage Turnover.,61,79
2:32,56,Angel Rivera missed Three Point Jumper.,61,79
2:32,2229,Florida International Deadball Team Rebound.,61,79
2:28,56,Foul on Leo Goodman.,61,79
2:28,2229,Anthony Boswell missed Free Throw.,61,79
2:28,56,Derick Newton Defensive Rebound.,61,79
2:09,56,Derick Newton missed Three Point Jumper.,61,79
2:09,56,Clay Verk Offensive Rebound.,61,79
1:57,56,Divine Myles made Layup.,61,81
1:56,2229,Foul on Michael Kessens.,61,81
1:56,56,Divine Myles made Free Throw.,61,82
1:43,56,Foul on Larry Dennis.,61,82
1:43,2229,Eric Nottage made Free Throw.,62,82
1:43,2229,Eric Nottage made Free Throw.,63,82
1:20,56,Angel Rivera missed Three Point Jumper.,63,82
1:20,2229,Florida International Defensive Rebound.,63,82
0:57,2229,Michael Kessens missed Jumper.,63,82
0:57,56,Angel Rivera Defensive Rebound.,63,82
0:48,56,Divine Myles Turnover.,63,82
0:39,2229,Eric Lockett missed Three Point Jumper.,63,82
0:39,2229,Eric Nottage Offensive Rebound.,63,82
0:36,2229,Eric Nottage made Two Point Tip Shot.,65,82
0:26,56,Stetson  Timeout,65,82
0:20,56,Matthew Cioce Turnover.,65,82
0:18,2229,Eric Nottage Steal.,65,82
0:14,2229,Eric Lockett made Layup.,67,82
0:14,56,Foul on Clay Verk.,67,82
0:14,2229,Eric Lockett missed Free Throw.,67,82
0:14,56,Stetson Defensive Rebound.,67,82
0:00,56,End of Game,67,82
