Buffalo,2752,Xavier,2084
19:06,2752,Foul on Trevon Bluiett.,27,44
18:56,2752,Foul on Sean O'Mara.,27,44
18:56,2084,Davonta Jordan made Free Throw.,28,44
18:56,2084,Davonta Jordan missed Free Throw.,28,44
18:56,2752,Sean O'Mara Defensive Rebound.,28,44
18:49,2752,Edmond Sumner missed Jumper.,28,44
18:49,2084,Nick Perkins Defensive Rebound.,28,44
18:41,2084,Blake Hamilton missed Three Point Jumper.,28,44
18:41,2752,Trevon Bluiett Defensive Rebound.,28,44
18:26,2752,Trevon Bluiett made Three Point Jumper. Assisted by Malcolm Bernard.,28,47
18:02,2084,Nick Perkins made Three Point Jumper. Assisted by Davonta Jordan.,31,47
17:46,2752,Trevon Bluiett missed Jumper.,31,47
17:46,2084,Davonta Jordan Defensive Rebound.,31,47
17:44,2752,Foul on Sean O'Mara.,31,47
17:28,2084,Ikenna Smart Turnover.,31,47
17:28,2752,Edmond Sumner Steal.,31,47
17:25,2752,Edmond Sumner made Jumper.,31,49
17:24,2084,Foul on Willie Conner.,31,49
17:24,2752,Edmond Sumner missed Free Throw.,31,49
17:24,2084,Nick Perkins Defensive Rebound.,31,49
17:18,2084,Blake Hamilton missed Layup.,31,49
17:18,2752,Xavier Defensive Rebound.,31,49
16:59,2084,Foul on Blake Hamilton.,31,49
16:48,2752,Trevon Bluiett missed Layup.,31,49
16:48,2752,RaShid Gaston Offensive Rebound.,31,49
16:47,2084,Foul on Ikenna Smart.,31,49
16:31,2752,Malcolm Bernard Turnover.,31,49
16:17,2084,Willie Conner made Three Point Jumper. Assisted by Davonta Jordan.,34,49
15:59,2084,Foul on Davonta Jordan.,34,49
15:59,2752,Official TV Timeout,34,49
15:55,2752,RaShid Gaston made Jumper.,34,51
15:35,2084,Nick Perkins missed Three Point Jumper.,34,51
15:35,2752,Edmond Sumner Defensive Rebound.,34,51
15:25,2084,Foul on Nick Perkins.,34,51
15:25,2752,Trevon Bluiett missed Free Throw.,34,51
15:25,2752,Xavier Deadball Team Rebound.,34,51
15:25,2752,Trevon Bluiett missed Free Throw.,34,51
15:25,2084,Nick Perkins Defensive Rebound.,34,51
15:07,2084,Willie Conner missed Three Point Jumper.,34,51
15:07,2752,RaShid Gaston Defensive Rebound.,34,51
15:03,2084,Foul on Quate McKinzie.,34,51
14:44,2084,Foul on David Kadiri.,34,51
14:44,2752,RaShid Gaston made Free Throw.,34,52
14:44,2752,RaShid Gaston made Free Throw.,34,53
14:34,2084,Davonta Jordan Turnover.,34,53
14:23,2084,Foul on Davonta Jordan.,34,53
14:23,2752,Quentin Goodin missed Free Throw.,34,53
14:23,2752,RaShid Gaston Offensive Rebound.,34,53
14:23,2752,RaShid Gaston Turnover.,34,53
14:11,2084,Nikola Rakicevic missed Three Point Jumper.,34,53
14:11,2752,Tyrique Jones Defensive Rebound.,34,53
13:53,2752,RaShid Gaston made Layup. Assisted by Quentin Goodin.,34,55
13:40,2084,Willie Conner missed Jumper.,34,55
13:40,2752,Edmond Sumner Defensive Rebound.,34,55
13:28,2084,Foul on Blake Hamilton.,34,55
13:28,2752,Trevon Bluiett made Free Throw.,34,56
13:28,2752,Trevon Bluiett made Free Throw.,34,57
13:19,2084,Blake Hamilton made Three Point Jumper.,37,57
12:45,2752,Tyrique Jones Turnover.,37,57
12:23,2084,James Jones missed Jumper.,37,57
12:23,2752,Tyrique Jones Defensive Rebound.,37,57
12:12,2752,Quentin Goodin made Three Point Jumper. Assisted by Edmond Sumner.,37,60
11:46,2084,James Jones missed Three Point Jumper.,37,60
11:46,2084,Buffalo Offensive Rebound.,37,60
11:41,2752,Official TV Timeout,37,60
11:35,2084,Blake Hamilton missed Three Point Jumper.,37,60
11:35,2752,RaShid Gaston Defensive Rebound.,37,60
11:20,2752,RaShid Gaston made Jumper.,37,62
11:05,2752,Foul on RaShid Gaston.,37,62
10:59,2084,Blake Hamilton Turnover.,37,62
10:59,2752,Tyrique Jones Steal.,37,62
10:29,2752,J.P. Macura missed Three Point Jumper.,37,62
10:29,2084,Willie Conner Block.,37,62
10:29,2084,Nick Perkins Defensive Rebound.,37,62
10:21,2752,Foul on Malcolm Bernard.,37,62
10:20,2084,Willie Conner missed Three Point Jumper.,37,62
10:20,2752,RaShid Gaston Defensive Rebound.,37,62
9:50,2752,Tyrique Jones missed Layup.,37,62
9:50,2084,Nick Perkins Defensive Rebound.,37,62
9:49,2752,Foul on RaShid Gaston.,37,62
9:49,2084,Nick Perkins made Free Throw.,38,62
9:49,2084,Nick Perkins missed Free Throw.,38,62
9:49,2752,Tyrique Jones Defensive Rebound.,38,62
9:34,2752,Trevon Bluiett missed Jumper.,38,62
9:34,2084,Buffalo Defensive Rebound.,38,62
9:06,2084,Dontay Caruthers missed Three Point Jumper.,38,62
9:06,2084,Raheem Johnson Offensive Rebound.,38,62
9:03,2084,Foul on Blake Hamilton.,38,62
9:03,2084,Blake Hamilton Turnover.,38,62
8:46,2752,J.P. Macura missed Three Point Jumper.,38,62
8:46,2084,Raheem Johnson Defensive Rebound.,38,62
8:33,2084,Davonta Jordan missed Layup.,38,62
8:33,2752,J.P. Macura Block.,38,62
8:33,2084,Buffalo Offensive Rebound.,38,62
8:30,2752,Foul on Edmond Sumner.,38,62
8:30,2084,Willie Conner made Free Throw.,39,62
8:30,2084,Willie Conner made Free Throw.,40,62
8:19,2084,Foul on Quate McKinzie.,40,62
8:19,2752,J.P. Macura made Free Throw.,40,63
8:19,2752,J.P. Macura made Free Throw.,40,64
8:10,2752,Foul on Trevon Bluiett.,40,64
8:10,2084,Nick Perkins missed Free Throw.,40,64
8:10,2084,Raheem Johnson Offensive Rebound.,40,64
8:09,2084,Raheem Johnson missed Jumper.,40,64
8:09,2752,Trevon Bluiett Defensive Rebound.,40,64
7:56,2084,Foul on Raheem Johnson.,40,64
7:56,2752,Official TV Timeout,40,64
7:56,2752,Sean O'Mara made Free Throw.,40,65
7:56,2752,Sean O'Mara made Free Throw.,40,66
7:48,2084,Willie Conner missed Three Point Jumper.,40,66
7:48,2752,Trevon Bluiett Defensive Rebound.,40,66
7:32,2752,Sean O'Mara made Layup. Assisted by Quentin Goodin.,40,68
7:17,2084,Ikenna Smart Turnover.,40,68
6:58,2752,J.P. Macura made Layup. Assisted by Sean O'Mara.,40,70
6:41,2084,Willie Conner Turnover.,40,70
6:26,2084,Foul on David Kadiri.,40,70
6:26,2752,J.P. Macura made Free Throw.,40,71
6:26,2752,J.P. Macura made Free Throw.,40,72
6:18,2752,Foul on Trevon Bluiett.,40,72
6:18,2084,Nick Perkins made Free Throw.,41,72
6:18,2084,Nick Perkins missed Free Throw.,41,72
6:18,2084,Buffalo Offensive Rebound.,41,72
6:03,2084,Foul on David Kadiri.,41,72
6:03,2084,David Kadiri Turnover.,41,72
5:43,2752,Sean O'Mara missed Jumper.,41,72
5:43,2084,Nick Perkins Defensive Rebound.,41,72
5:28,2084,Davonta Jordan made Layup.,43,72
5:04,2752,Malcolm Bernard Turnover.,43,72
4:49,2752,Foul on Quentin Goodin.,43,72
4:49,2084,Nick Perkins made Free Throw.,44,72
4:49,2084,Nick Perkins made Free Throw.,45,72
4:35,2752,Sean O'Mara missed Jumper.,45,72
4:35,2752,J.P. Macura Offensive Rebound.,45,72
4:35,2752,J.P. Macura made Two Point Tip Shot.,45,74
4:20,2084,Davonta Jordan Turnover.,45,74
4:20,2752,Malcolm Bernard Steal.,45,74
4:15,2752,Quentin Goodin made Dunk. Assisted by Malcolm Bernard.,45,76
4:15,2084,Buffalo  Timeout,45,76
4:06,2084,Nick Perkins missed Jumper.,45,76
4:06,2752,Tyrique Jones Defensive Rebound.,45,76
3:34,2752,Malcolm Bernard missed Three Point Jumper.,45,76
3:34,2084,Buffalo Defensive Rebound.,45,76
3:31,2752,Official TV Timeout,45,76
3:08,2084,Ikenna Smart made Dunk. Assisted by Dontay Caruthers.,47,76
2:49,2752,Tim Stainbrook made Three Point Jumper. Assisted by Malcolm Bernard.,47,79
2:34,2084,Nick Perkins made Three Point Jumper. Assisted by Dontay Caruthers.,50,79
2:03,2752,Malcolm Bernard made Three Point Jumper. Assisted by Quentin Goodin.,50,82
1:49,2084,James Jones missed Three Point Jumper.,50,82
1:49,2752,Tyrique Jones Defensive Rebound.,50,82
1:28,2752,Tyrique Jones made Layup. Assisted by Sean O'Mara.,50,84
1:05,2084,Nick Perkins missed Jumper.,50,84
1:05,2752,Tyrique Jones Block.,50,84
1:05,2084,Buffalo Offensive Rebound.,50,84
0:54,2084,Nikola Rakicevic made Three Point Jumper. Assisted by Christian Pino.,53,84
0:36,2084,Foul on Christian Pino.,53,84
0:36,2752,Leighton Schrand made Free Throw.,53,85
0:36,2752,Leighton Schrand made Free Throw.,53,86
0:26,2084,Christian Pino Turnover.,53,86
0:00,2752,End of Game,53,86
