Mt. St. Mary's,66,Iowa State,116
2:48,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,20,35
2:38,66,Donovan Jackson missed Three Point Jumper.,20,35
2:38,116,Mawdo Sallah Defensive Rebound.,20,35
2:26,116,Mawdo Sallah missed Jumper.,20,35
2:26,66,Matt Thomas Defensive Rebound.,20,35
2:11,66,Monte Morris missed Jumper.,20,35
2:11,66,Merrill Holden Offensive Rebound.,20,35
2:08,66,Merrill Holden missed Jumper.,20,35
2:08,116,Greg Alexander Defensive Rebound.,20,35
1:57,116,Elijah Long Turnover.,20,35
1:42,66,Donovan Jackson missed Three Point Jumper.,20,35
1:42,116,Elijah Long Defensive Rebound.,20,35
1:33,116,Elijah Long missed Layup.,20,35
1:33,66,Matt Thomas Defensive Rebound.,20,35
1:27,66,Deonte Burton made Dunk. Assisted by Donovan Jackson.,20,37
1:26,66,Iowa State  Timeout,20,37
1:17,66,Foul on Nazareth Mitrou-Long.,20,37
1:17,116,Elijah Long made Free Throw.,21,37
1:17,116,Elijah Long made Free Throw.,22,37
1:08,66,Donovan Jackson missed Layup.,22,37
1:08,66,Nick Weiler-Babb Offensive Rebound.,22,37
1:04,66,Nick Weiler-Babb made Dunk.,22,39
0:40,116,Elijah Long missed Jumper.,22,39
0:40,66,Deonte Burton Defensive Rebound.,22,39
0:31,116,Foul on Greg Alexander.,22,39
0:31,66,Monte Morris missed Free Throw.,22,39
0:31,66,Iowa State Deadball Team Rebound.,22,39
0:31,66,Monte Morris missed Free Throw.,22,39
0:31,116,Elijah Long Defensive Rebound.,22,39
0:04,116,Junior Robinson missed Layup.,22,39
0:04,66,Donovan Jackson Defensive Rebound.,22,39
0:00,66,End of 1st half,22,39
19:49,66,Foul on Merrill Holden.,22,39
19:42,116,Chris Wray missed Jumper.,22,39
19:42,66,Nazareth Mitrou-Long Defensive Rebound.,22,39
19:26,66,Deonte Burton missed Jumper.,22,39
19:26,116,Chris Wray Block.,22,39
19:26,66,Iowa State Offensive Rebound.,22,39
19:21,66,Deonte Burton made Jumper.,22,41
19:05,116,Mawdo Sallah made Dunk. Assisted by Junior Robinson.,24,41
19:05,66,Foul on Merrill Holden.,24,41
19:05,116,Mawdo Sallah missed Free Throw.,24,41
19:05,116,Elijah Long Offensive Rebound.,24,41
18:58,116,Elijah Long missed Jumper.,24,41
18:58,66,Deonte Burton Defensive Rebound.,24,41
18:57,116,Foul on Elijah Long.,24,41
18:51,66,Deonte Burton Turnover.,24,41
18:50,116,Chris Wray Steal.,24,41
18:44,116,Greg Alexander missed Three Point Jumper.,24,41
18:44,116,Mt. St. Mary's Offensive Rebound.,24,41
18:27,116,Junior Robinson missed Jumper.,24,41
18:27,66,Darrell Bowie Defensive Rebound.,24,41
18:24,116,Foul on Chris Wray.,24,41
18:20,66,Monte Morris made Layup. Assisted by Matt Thomas.,24,43
18:02,116,Junior Robinson missed Jumper.,24,43
18:02,66,Deonte Burton Defensive Rebound.,24,43
17:49,66,Foul on Monte Morris.,24,43
17:49,66,Monte Morris Turnover.,24,43
17:36,116,Mt. St. Mary's  Timeout,24,43
17:36,66,Official TV Timeout,24,43
17:21,116,Elijah Long made Three Point Jumper.,27,43
17:07,66,Matt Thomas missed Three Point Jumper.,27,43
17:07,116,Elijah Long Defensive Rebound.,27,43
16:58,116,Greg Alexander missed Jumper.,27,43
16:58,66,Matt Thomas Defensive Rebound.,27,43
16:45,66,Nazareth Mitrou-Long Turnover.,27,43
16:44,116,Elijah Long Steal.,27,43
16:39,116,Miles Wilson made Three Point Jumper. Assisted by Elijah Long.,30,43
16:08,66,Nazareth Mitrou-Long missed Layup.,30,43
16:08,116,Mawdo Sallah Block.,30,43
16:07,66,Monte Morris Offensive Rebound.,30,43
16:04,66,Monte Morris made Three Point Jumper.,30,46
15:50,116,Miles Wilson missed Layup.,30,46
15:50,66,Darrell Bowie Defensive Rebound.,30,46
15:43,66,Monte Morris missed Layup.,30,46
15:43,116,Elijah Long Defensive Rebound.,30,46
15:33,116,Miles Wilson missed Jumper.,30,46
15:33,66,Nazareth Mitrou-Long Defensive Rebound.,30,46
15:22,66,Darrell Bowie Turnover.,30,46
15:22,66,Official TV Timeout,30,46
15:06,116,Miles Wilson made Three Point Jumper. Assisted by Junior Robinson.,33,46
14:54,66,Deonte Burton made Jumper.,33,48
14:25,116,Will Miller made Three Point Jumper. Assisted by Elijah Long.,36,48
14:12,116,Foul on Mawdo Sallah.,36,48
14:12,66,Darrell Bowie missed Free Throw.,36,48
14:12,66,Iowa State Deadball Team Rebound.,36,48
14:12,66,Darrell Bowie made Free Throw.,36,49
14:02,116,Will Miller missed Three Point Jumper.,36,49
14:02,66,Solomon Young Defensive Rebound.,36,49
13:52,66,Nazareth Mitrou-Long missed Jumper.,36,49
13:52,116,Miles Wilson Defensive Rebound.,36,49
13:28,116,Miles Wilson made Layup.,38,49
13:28,66,Foul on Solomon Young.,38,49
13:28,116,Miles Wilson made Free Throw.,39,49
13:07,66,Darrell Bowie made Layup.,39,51
12:50,116,Miles Wilson missed Three Point Jumper.,39,51
12:50,66,Monte Morris Defensive Rebound.,39,51
12:42,66,Monte Morris missed Jumper.,39,51
12:42,116,Will Miller Defensive Rebound.,39,51
12:23,116,Mawdo Sallah missed Layup.,39,51
12:23,116,Mawdo Sallah Offensive Rebound.,39,51
12:17,116,Mawdo Sallah missed Two Point Tip Shot.,39,51
12:17,66,Solomon Young Defensive Rebound.,39,51
12:13,66,Donovan Jackson missed Jumper.,39,51
12:13,66,Solomon Young Offensive Rebound.,39,51
12:05,66,Solomon Young missed Three Point Jumper.,39,51
12:05,116,Greg Alexander Defensive Rebound.,39,51
11:41,116,Mawdo Sallah missed Layup.,39,51
11:41,66,Darrell Bowie Defensive Rebound.,39,51
11:19,66,Nick Weiler-Babb made Jumper. Assisted by Monte Morris.,39,53
10:59,116,Junior Robinson Turnover.,39,53
10:59,66,Official TV Timeout,39,53
10:40,66,Foul on Solomon Young.,39,53
10:40,66,Solomon Young Turnover.,39,53
10:26,116,Will Miller missed Three Point Jumper.,39,53
10:26,66,Deonte Burton Defensive Rebound.,39,53
10:06,66,Deonte Burton Turnover.,39,53
9:49,116,Greg Alexander missed Jumper.,39,53
9:49,66,Deonte Burton Defensive Rebound.,39,53
9:39,66,Deonte Burton made Jumper. Assisted by Donovan Jackson.,39,55
9:13,116,Chris Wray missed Jumper.,39,55
9:13,116,Chris Wray Offensive Rebound.,39,55
8:43,116,Elijah Long missed Jumper.,39,55
8:43,66,Deonte Burton Block.,39,55
8:42,66,Deonte Burton Defensive Rebound.,39,55
8:38,66,Nick Weiler-Babb made Layup. Assisted by Matt Thomas.,39,57
8:32,116,Chris Wray missed Layup.,39,57
8:32,66,Iowa State Defensive Rebound.,39,57
8:19,66,Matt Thomas missed Jumper.,39,57
8:19,66,Merrill Holden Offensive Rebound.,39,57
8:17,116,Foul on Chris Wray.,39,57
8:16,66,Matt Thomas made Jumper. Assisted by Donovan Jackson.,39,59
7:55,116,Junior Robinson missed Jumper.,39,59
7:55,116,Mawdo Sallah Offensive Rebound.,39,59
7:53,116,Mawdo Sallah missed Jumper.,39,59
7:53,116,Mawdo Sallah Offensive Rebound.,39,59
7:51,116,Mawdo Sallah Turnover.,39,59
7:50,66,Deonte Burton Steal.,39,59
7:49,66,Donovan Jackson made Layup. Assisted by Deonte Burton.,39,61
7:47,116,Mt. St. Mary's  Timeout,39,61
7:47,66,Official TV Timeout,39,61
7:35,116,Mawdo Sallah Turnover.,39,61
7:29,66,Deonte Burton missed Jumper.,39,61
7:29,116,Mawdo Sallah Defensive Rebound.,39,61
7:05,116,Elijah Long made Layup.,41,61
6:58,66,Nazareth Mitrou-Long made Layup. Assisted by Donovan Jackson.,41,63
6:58,116,Foul on Mawdo Sallah.,41,63
6:58,66,Nazareth Mitrou-Long made Free Throw.,41,64
6:33,116,Elijah Long made Layup.,43,64
6:17,116,Foul on Ryan Gomes.,43,64
6:17,66,Darrell Bowie made Free Throw.,43,65
6:17,66,Darrell Bowie missed Free Throw.,43,65
6:17,116,Elijah Long Defensive Rebound.,43,65
5:48,116,Junior Robinson made Three Point Jumper.,46,65
5:33,116,Foul on Miles Wilson.,46,65
5:33,66,Nazareth Mitrou-Long made Free Throw.,46,66
5:33,66,Nazareth Mitrou-Long made Free Throw.,46,67
5:11,116,Miles Wilson missed Layup.,46,67
5:11,66,Matt Thomas Defensive Rebound.,46,67
5:04,66,Foul on Monte Morris.,46,67
5:04,66,Monte Morris Turnover.,46,67
4:54,116,Will Miller missed Three Point Jumper.,46,67
4:54,66,Nazareth Mitrou-Long Defensive Rebound.,46,67
4:28,66,Darrell Bowie missed Layup.,46,67
4:28,116,Will Miller Defensive Rebound.,46,67
4:21,116,Junior Robinson missed Three Point Jumper.,46,67
4:21,66,Nick Weiler-Babb Defensive Rebound.,46,67
4:10,66,Nazareth Mitrou-Long missed Jumper.,46,67
4:10,66,Nick Weiler-Babb Offensive Rebound.,46,67
4:04,66,Monte Morris made Three Point Jumper. Assisted by Darrell Bowie.,46,70
3:33,116,Junior Robinson missed Layup.,46,70
3:33,116,Chris Wray Offensive Rebound.,46,70
3:30,116,Chris Wray made Layup.,48,70
3:15,66,Monte Morris made Layup.,48,72
3:14,66,Iowa State  Timeout,48,72
3:14,66,Official TV Timeout,48,72
2:56,116,Miles Wilson missed Jumper.,48,72
2:56,66,Deonte Burton Defensive Rebound.,48,72
2:43,66,Nick Weiler-Babb missed Jumper.,48,72
2:43,116,Elijah Long Defensive Rebound.,48,72
2:30,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,51,72
2:14,66,Nazareth Mitrou-Long missed Jumper.,51,72
2:14,116,Mawdo Sallah Defensive Rebound.,51,72
2:09,116,Foul on Elijah Long.,51,72
2:09,116,Elijah Long Turnover.,51,72
1:56,66,Donovan Jackson missed Jumper.,51,72
1:56,116,Mawdo Sallah Defensive Rebound.,51,72
1:44,66,Foul on Donovan Jackson.,51,72
1:44,116,Elijah Long made Free Throw.,52,72
1:44,116,Elijah Long made Free Throw.,53,72
1:26,66,Jakolby Long missed Jumper.,53,72
1:26,66,Wes Greder Offensive Rebound.,53,72
1:13,116,Foul on Randy Miller Jr..,53,72
1:13,66,Donovan Jackson missed Free Throw.,53,72
1:13,66,Iowa State Deadball Team Rebound.,53,72
1:13,66,Donovan Jackson made Free Throw.,53,73
0:56,116,Randy Miller Jr. missed Jumper.,53,73
0:56,66,Solomon Young Block.,53,73
0:54,116,Khalid Nwandu Offensive Rebound.,53,73
0:45,116,Bryce Thurston missed Three Point Jumper.,53,73
0:45,66,Solomon Young Defensive Rebound.,53,73
0:29,66,Wes Greder missed Three Point Jumper.,53,73
0:29,116,Miles Wilson Defensive Rebound.,53,73
0:21,116,Miles Wilson missed Layup.,53,73
0:21,66,Solomon Young Block.,53,73
0:21,116,Mt. St. Mary's Offensive Rebound.,53,73
0:18,116,Ryan Gomes made Layup. Assisted by Khalid Nwandu.,55,73
0:00,66,End of Game,55,73
