Jacksonville,2005,Air Force,294
17:03,2005,Lavelle Scottie Offensive Rebound.,31,45
16:57,2005,Jacob Van made Jumper.,31,47
16:44,294,Omar El Manasterly made Jumper. Assisted by Tanner Rubio.,33,47
16:22,2005,Hayden Graham made Jumper. Assisted by Lavelle Scottie.,33,49
16:08,294,J.R. Holder made Jumper.,35,49
16:03,2005,Lavelle Scottie Turnover.,35,49
16:01,294,Tanner Rubio Steal.,35,49
16:00,2005,Foul on Hayden Graham.,35,49
15:58,2005,Official TV Timeout,35,49
15:40,294,J.R. Holder Turnover.,35,49
15:39,2005,Jacob Van Steal.,35,49
15:36,2005,Jacob Van made Jumper.,35,51
15:23,294,Tanner Rubio missed Three Point Jumper.,35,51
15:23,2005,Kyle Broekhuis Defensive Rebound.,35,51
14:57,294,Foul on J.R. Holder.,35,51
14:57,2005,Zach Kocur missed Free Throw.,35,51
14:57,2005,Air Force Deadball Team Rebound.,35,51
14:57,2005,Zach Kocur missed Free Throw.,35,51
14:57,294,Demontrez Austin Defensive Rebound.,35,51
14:42,2005,Foul on Lavelle Scottie.,35,51
14:42,294,J.R. Holder missed Free Throw.,35,51
14:42,294,Jacksonville Deadball Team Rebound.,35,51
14:42,294,J.R. Holder made Free Throw.,36,51
14:30,2005,Trevor Lyons missed Three Point Jumper.,36,51
14:30,2005,Kyle Broekhuis Offensive Rebound.,36,51
14:26,2005,Kyle Broekhuis made Layup.,36,53
14:19,294,Andris Misters missed Three Point Jumper.,36,53
14:19,2005,Ryan Manning Defensive Rebound.,36,53
14:08,2005,Trevor Lyons Turnover.,36,53
14:07,294,Tanner Rubio Steal.,36,53
14:02,294,Tanner Rubio Turnover.,36,53
13:32,2005,Kyle Broekhuis missed Three Point Jumper.,36,53
13:32,294,Demontrez Austin Defensive Rebound.,36,53
13:26,2005,Foul on Kyle Broekhuis.,36,53
13:26,294,Devin Harris made Free Throw.,37,53
13:26,294,Devin Harris made Free Throw.,38,53
13:05,2005,Trevor Lyons made Jumper. Assisted by CJ Siples.,38,55
12:51,294,Cody Helgeland missed Three Point Jumper.,38,55
12:51,2005,Trevor Lyons Defensive Rebound.,38,55
12:43,2005,Foul on Ryan Manning.,38,55
12:43,2005,Ryan Manning Turnover.,38,55
12:28,294,Cody Helgeland Turnover.,38,55
12:28,2005,Trevor Lyons Steal.,38,55
12:28,294,Foul on Cody Helgeland.,38,55
12:13,2005,CJ Siples missed Three Point Jumper.,38,55
12:13,294,Cody Helgeland Defensive Rebound.,38,55
11:56,294,Devin Harris missed Jumper.,38,55
11:56,2005,Air Force Defensive Rebound.,38,55
11:49,2005,Official TV Timeout,38,55
11:26,294,Foul on Demontrez Austin.,38,55
11:26,2005,Frank Toohey made Free Throw.,38,56
11:26,2005,Frank Toohey made Free Throw.,38,57
11:07,2005,Foul on Pervis Louder.,38,57
11:07,294,Darius Dawkins made Free Throw.,39,57
11:07,294,Darius Dawkins made Free Throw.,40,57
11:01,2005,Air Force  Timeout,40,57
10:52,2005,Pervis Louder Turnover.,40,57
10:51,294,Darius Dawkins Steal.,40,57
10:41,294,Devin Harris missed Jumper.,40,57
10:41,2005,Pervis Louder Defensive Rebound.,40,57
10:18,2005,Frank Toohey made Jumper. Assisted by Hayden Graham.,40,59
10:18,294,Foul on Demontrez Austin.,40,59
10:18,2005,Frank Toohey made Free Throw.,40,60
10:05,294,Darius Dawkins missed Three Point Jumper.,40,60
10:05,294,Omar El Manasterly Offensive Rebound.,40,60
9:56,294,J.R. Holder missed Three Point Jumper.,40,60
9:56,2005,Air Force Defensive Rebound.,40,60
9:35,2005,Jacob Van made Three Point Jumper. Assisted by Zach Kocur.,40,63
9:17,294,Andris Misters made Three Point Jumper. Assisted by Devin Harris.,43,63
9:06,294,Foul on Omar El Manasterly.,43,63
9:06,2005,Zach Kocur made Free Throw.,43,64
9:06,2005,Zach Kocur made Free Throw.,43,65
9:02,294,J.R. Holder made Jumper.,45,65
8:43,294,Foul on Andris Misters.,45,65
8:43,2005,Trevor Lyons made Free Throw.,45,66
8:43,2005,Trevor Lyons made Free Throw.,45,67
8:34,294,J.R. Holder missed Jumper.,45,67
8:34,2005,Lavelle Scottie Defensive Rebound.,45,67
8:13,2005,Jacob Van made Three Point Jumper. Assisted by Trevor Lyons.,45,70
7:54,294,Omar El Manasterly made Layup. Assisted by J.R. Holder.,47,70
7:32,2005,Zach Kocur made Three Point Jumper. Assisted by Jacob Van.,47,73
7:11,294,Devin Harris Turnover.,47,73
7:10,2005,Trevor Lyons Steal.,47,73
7:08,2005,Trevor Lyons missed Layup.,47,73
7:08,2005,Trevor Lyons Offensive Rebound.,47,73
7:04,294,Foul on Andris Misters.,47,73
7:04,2005,Official TV Timeout,47,73
7:04,2005,Trevor Lyons made Free Throw.,47,74
7:04,2005,Trevor Lyons made Free Throw.,47,75
6:43,2005,Foul on Lavelle Scottie.,47,75
6:43,294,Omar El Manasterly made Free Throw.,48,75
6:43,294,Omar El Manasterly made Free Throw.,49,75
6:31,294,Foul on Andris Misters.,49,75
6:31,2005,Jacob Van made Free Throw.,49,76
6:31,2005,Jacob Van made Free Throw.,49,77
6:24,2005,Foul on Pervis Louder.,49,77
6:24,294,Devin Harris made Free Throw.,50,77
6:24,294,Devin Harris made Free Throw.,51,77
5:56,2005,Kyle Broekhuis made Layup. Assisted by Jacob Van.,51,79
5:40,294,J.R. Holder missed Three Point Jumper.,51,79
5:40,2005,Zach Kocur Defensive Rebound.,51,79
5:17,294,Foul on Omar El Manasterly.,51,79
5:17,2005,Lavelle Scottie made Free Throw.,51,80
5:17,2005,Lavelle Scottie made Free Throw.,51,81
5:05,2005,Foul on LeSean Brown.,51,81
5:05,294,Darien Fernandez missed Free Throw.,51,81
5:05,294,Jacksonville Deadball Team Rebound.,51,81
5:05,294,Darien Fernandez missed Free Throw.,51,81
5:05,2005,Sid Tomes Defensive Rebound.,51,81
4:38,2005,LeSean Brown missed Jumper.,51,81
4:38,294,Omar El Manasterly Defensive Rebound.,51,81
4:31,2005,Foul on Pervis Louder.,51,81
4:29,294,Darien Fernandez missed Free Throw.,51,81
4:29,294,Jacksonville Deadball Team Rebound.,51,81
4:29,294,Darien Fernandez made Free Throw.,52,81
4:08,2005,Dane Norman missed Jumper.,52,81
4:08,294,Devin Harris Defensive Rebound.,52,81
4:01,2005,Foul on Lavelle Scottie.,52,81
4:01,294,Devin Harris made Free Throw.,53,81
4:01,294,Devin Harris made Free Throw.,54,81
3:43,2005,Caleb Morris missed Jumper.,54,81
3:43,294,Devin Harris Block.,54,81
3:42,294,Cody Helgeland Defensive Rebound.,54,81
3:30,294,Cody Helgeland made Three Point Jumper. Assisted by Omar El Manasterly.,57,81
3:15,2005,Lavelle Scottie made Layup.,57,83
3:02,294,J.R. Holder missed Jumper.,57,83
3:02,2005,LeSean Brown Defensive Rebound.,57,83
2:50,2005,Lavelle Scottie missed Jumper.,57,83
2:50,294,Devin Harris Defensive Rebound.,57,83
2:35,294,Omar El Manasterly made Jumper.,59,83
2:13,2005,Caleb Morris Turnover.,59,83
2:12,294,Cody Helgeland Steal.,59,83
2:10,294,Cody Helgeland made Layup.,61,83
1:52,2005,Official TV Timeout,61,83
1:37,2005,Caleb Morris missed Layup.,61,83
1:37,2005,Dane Norman Offensive Rebound.,61,83
1:28,2005,Dane Norman made Dunk.,61,85
1:19,294,Darien Fernandez made Jumper.,63,85
0:57,2005,LeSean Brown missed Jumper.,63,85
0:57,294,Darien Fernandez Defensive Rebound.,63,85
0:47,294,J.R. Holder made Jumper.,65,85
0:47,2005,Foul on Jonathan DeWane.,65,85
0:47,294,J.R. Holder made Free Throw.,66,85
0:35,2005,Jonathan DeWane missed Jumper.,66,85
0:35,2005,Caleb Morris Offensive Rebound.,66,85
0:34,294,Foul on Tanner Rubio.,66,85
0:34,2005,Caleb Morris missed Free Throw.,66,85
0:34,2005,Air Force Deadball Team Rebound.,66,85
0:32,2005,Caleb Morris made Free Throw.,66,86
0:20,294,Tanner Rubio missed Jumper.,66,86
0:20,294,Darien Fernandez Offensive Rebound.,66,86
0:11,294,J.R. Holder made Jumper.,68,86
0:00,2005,End of Game,68,86
