North Carolina Central,194,Ohio State,2428
13:36,2428,Rashaun Madison missed Three Point Jumper.,9,9
13:36,194,Trevor Thompson Defensive Rebound.,9,9
13:36,2428,Foul on Will Ransom.,9,9
13:14,2428,Jump Ball won by North Carolina Central,9,9
13:14,194,Trevor Thompson Turnover.,9,9
13:14,2428,Kyle Benton Steal.,9,9
13:10,2428,Patrick Cole made Layup.,11,9
12:49,194,Keita Bates-Diop missed Jumper.,11,9
12:49,2428,Del'Vin Dickerson Defensive Rebound.,11,9
12:42,2428,Ron Trapps missed Three Point Jumper.,11,9
12:42,194,Trevor Thompson Defensive Rebound.,11,9
12:24,194,C.J. Jackson made Jumper.,11,11
11:57,194,Official TV Timeout,11,11
11:52,2428,Kyle Benton missed Layup.,11,11
11:52,194,Trevor Thompson Defensive Rebound.,11,11
11:40,194,Jae'Sean Tate made Layup.,11,13
11:09,194,Foul on C.J. Jackson.,11,13
10:59,2428,Patrick Cole missed Jumper.,11,13
10:59,194,Jae'Sean Tate Defensive Rebound.,11,13
10:56,2428,Foul on Kyle Benton.,11,13
10:48,194,Micah Potter made Three Point Jumper. Assisted by C.J. Jackson.,11,16
10:16,2428,Patrick Cole missed Three Point Jumper.,11,16
10:16,194,Andre Wesson Defensive Rebound.,11,16
10:04,2428,Foul on Patrick Cole.,11,16
9:54,194,Micah Potter made Three Point Jumper. Assisted by C.J. Jackson.,11,19
9:32,2428,Dajuan Graf missed Layup.,11,19
9:32,194,Micah Potter Defensive Rebound.,11,19
9:26,194,C.J. Jackson Turnover.,11,19
9:26,2428,Kyle Benton Steal.,11,19
9:22,2428,Patrick Cole Turnover.,11,19
9:16,194,Keita Bates-Diop made Dunk. Assisted by C.J. Jackson.,11,21
9:10,2428,North Carolina Central  Timeout,11,21
9:03,2428,Patrick Cole missed Layup.,11,21
9:03,194,Micah Potter Defensive Rebound.,11,21
8:54,194,Keita Bates-Diop Turnover.,11,21
8:54,2428,Del'Vin Dickerson Steal.,11,21
8:45,2428,Foul on Dajuan Graf.,11,21
8:45,2428,Dajuan Graf Turnover.,11,21
8:34,194,Micah Potter missed Three Point Jumper.,11,21
8:34,2428,Patrick Cole Defensive Rebound.,11,21
8:13,2428,Dajuan Graf missed Three Point Jumper.,11,21
8:13,2428,Del'Vin Dickerson Offensive Rebound.,11,21
7:51,2428,Kyle Benton made Layup.,13,21
7:20,194,JaQuan Lyle Turnover.,13,21
7:20,194,Official TV Timeout,13,21
7:09,2428,Ron Trapps made Jumper. Assisted by Dajuan Graf.,15,21
6:41,194,JaQuan Lyle missed Three Point Jumper.,15,21
6:41,2428,Ron Trapps Defensive Rebound.,15,21
6:30,2428,Del'Vin Dickerson made Layup. Assisted by Patrick Cole.,17,21
6:30,194,Foul on JaQuan Lyle.,17,21
6:30,2428,Del'Vin Dickerson made Free Throw.,18,21
6:12,194,Jae'Sean Tate made Layup.,18,23
5:51,2428,Ron Trapps made Jumper. Assisted by Patrick Cole.,20,23
5:40,194,C.J. Jackson Turnover.,20,23
5:40,2428,Del'Vin Dickerson Steal.,20,23
5:32,2428,Del'Vin Dickerson Turnover.,20,23
5:18,2428,Foul on Patrick Cole.,20,23
5:18,194,JaQuan Lyle missed Free Throw.,20,23
5:18,2428,Ron Trapps Defensive Rebound.,20,23
4:56,2428,Patrick Cole made Layup.,22,23
4:38,194,JaQuan Lyle missed Jumper.,22,23
4:38,2428,Kyle Benton Defensive Rebound.,22,23
4:27,194,Foul on Kam Williams.,22,23
4:24,2428,Patrick Cole made Layup.,24,23
4:24,194,Foul on Trevor Thompson.,24,23
4:24,2428,Patrick Cole made Free Throw.,25,23
4:18,194,Jae'Sean Tate missed Layup.,25,23
4:18,2428,Kyle Benton Block.,25,23
4:18,2428,Ron Trapps Defensive Rebound.,25,23
4:08,2428,Patrick Cole Turnover.,25,23
3:54,2428,Foul on Kyle Benton.,25,23
3:54,194,Official TV Timeout,25,23
3:54,194,Jae'Sean Tate made Free Throw.,25,24
3:54,194,Jae'Sean Tate missed Free Throw.,25,24
3:54,2428,Ron Trapps Defensive Rebound.,25,24
3:29,2428,Dajuan Graf made Jumper.,27,24
3:05,194,Trevor Thompson missed Layup.,27,24
3:05,194,Trevor Thompson Offensive Rebound.,27,24
3:05,194,Trevor Thompson made Two Point Tip Shot.,27,26
2:35,2428,Foul on Patrick Cole.,27,26
2:35,2428,Patrick Cole Turnover.,27,26
2:12,2428,Foul on Pablo Rivas.,27,26
2:12,194,Marc Loving missed Free Throw.,27,26
2:12,194,Ohio State Deadball Team Rebound.,27,26
2:12,194,Marc Loving missed Free Throw.,27,26
2:12,194,Trevor Thompson Offensive Rebound.,27,26
2:03,194,JaQuan Lyle missed Three Point Jumper.,27,26
2:03,194,Jae'Sean Tate Offensive Rebound.,27,26
1:59,2428,Foul on Pablo Rivas.,27,26
1:59,194,Jae'Sean Tate made Free Throw.,27,27
1:59,194,Jae'Sean Tate made Free Throw.,27,28
1:28,2428,North Carolina Central  Turnover.,27,28
1:22,194,Marc Loving missed Three Point Jumper.,27,28
1:22,2428,Rashaun Madison Defensive Rebound.,27,28
0:49,2428,Kyle Benton missed Jumper.,27,28
0:49,194,Marc Loving Defensive Rebound.,27,28
0:45,194,Marc Loving Turnover.,27,28
0:19,194,Foul on Jae'Sean Tate.,27,28
0:19,2428,Dajuan Graf made Free Throw.,28,28
0:19,2428,Dajuan Graf made Free Throw.,29,28
0:16,194,Ohio State  Timeout,29,28
0:04,194,JaQuan Lyle made Three Point Jumper.,29,31
0:00,194,End of 1st half,29,31
20:00,194,Jump Ball won by Ohio State,29,31
19:49,194,Jae'Sean Tate missed Jumper.,29,31
19:49,2428,Del'Vin Dickerson Defensive Rebound.,29,31
19:32,2428,Rashaun Madison missed Three Point Jumper.,29,31
19:32,2428,Del'Vin Dickerson Offensive Rebound.,29,31
19:26,194,Foul on Micah Potter.,29,31
19:15,2428,Del'Vin Dickerson missed Jumper.,29,31
19:15,194,JaQuan Lyle Defensive Rebound.,29,31
18:57,194,Keita Bates-Diop missed Jumper.,29,31
18:57,2428,Dajuan Graf Defensive Rebound.,29,31
18:49,2428,Patrick Cole made Three Point Jumper. Assisted by Dajuan Graf.,32,31
18:30,2428,Foul on Dajuan Graf.,32,31
18:27,194,Marc Loving missed Three Point Jumper.,32,31
18:27,194,Keita Bates-Diop Offensive Rebound.,32,31
18:20,194,Keita Bates-Diop made Jumper.,32,33
18:20,2428,Foul on Will Ransom.,32,33
18:20,194,Keita Bates-Diop missed Free Throw.,32,33
18:20,2428,Patrick Cole Defensive Rebound.,32,33
18:04,194,Foul on Jae'Sean Tate.,32,33
18:01,2428,Del'Vin Dickerson Turnover.,32,33
18:01,194,Jae'Sean Tate Steal.,32,33
17:57,194,Jae'Sean Tate made Layup.,32,35
17:42,2428,Patrick Cole missed Jumper.,32,35
17:42,194,Marc Loving Defensive Rebound.,32,35
17:29,194,JaQuan Lyle missed Three Point Jumper.,32,35
17:29,194,Jae'Sean Tate Offensive Rebound.,32,35
17:18,194,Jae'Sean Tate made Layup.,32,37
17:18,2428,Foul on Del'Vin Dickerson.,32,37
17:18,194,Jae'Sean Tate made Free Throw.,32,38
17:11,2428,Ron Trapps missed Jumper.,32,38
17:11,194,Ohio State Defensive Rebound.,32,38
16:59,194,Micah Potter made Layup. Assisted by Keita Bates-Diop.,32,40
16:28,2428,North Carolina Central  Timeout,32,40
16:25,2428,Patrick Cole missed Layup.,32,40
16:25,2428,North Carolina Central Offensive Rebound.,32,40
16:11,2428,Ron Trapps missed Three Point Jumper.,32,40
16:11,194,Jae'Sean Tate Defensive Rebound.,32,40
16:04,2428,Foul on Kyle Benton.,32,40
15:33,194,Ohio State  Turnover.,32,40
15:33,194,Official TV Timeout,32,40
15:12,2428,Kyle Benton made Layup. Assisted by Patrick Cole.,34,40
14:46,194,Keita Bates-Diop missed Three Point Jumper.,34,40
14:46,2428,Will Ransom Defensive Rebound.,34,40
14:35,2428,Dajuan Graf made Layup.,36,40
14:28,194,Marc Loving missed Three Point Jumper.,36,40
14:28,194,Jae'Sean Tate Offensive Rebound.,36,40
14:12,194,Marc Loving missed Three Point Jumper.,36,40
14:12,194,Jae'Sean Tate Offensive Rebound.,36,40
14:06,2428,Foul on Dajuan Graf.,36,40
14:06,194,Kam Williams missed Three Point Jumper.,36,40
14:06,2428,Kyle Benton Block.,36,40
14:06,2428,Ron Trapps Defensive Rebound.,36,40
13:49,2428,Ron Trapps made Three Point Jumper. Assisted by Dajuan Graf.,39,40
13:31,194,Foul on Marc Loving.,39,40
13:31,194,Marc Loving Turnover.,39,40
13:23,2428,Patrick Cole missed Three Point Jumper.,39,40
13:23,194,Marc Loving Defensive Rebound.,39,40
13:11,194,Marc Loving Turnover.,39,40
12:47,2428,Patrick Cole missed Layup.,39,40
12:47,194,Trevor Thompson Defensive Rebound.,39,40
12:32,2428,Foul on Will Ransom.,39,40
12:32,194,Kam Williams made Free Throw.,39,41
12:32,194,Kam Williams made Free Throw.,39,42
12:17,2428,Foul on Dajuan Graf.,39,42
12:17,2428,Dajuan Graf Turnover.,39,42
12:02,194,Kam Williams missed Jumper.,39,42
12:02,2428,Ron Trapps Defensive Rebound.,39,42
11:46,2428,Foul on Dajuan Graf.,39,42
11:46,2428,Dajuan Graf Turnover.,39,42
11:46,194,Official TV Timeout,39,42
11:44,194,Marc Loving made Three Point Jumper. Assisted by C.J. Jackson.,39,45
11:22,194,Foul on C.J. Jackson.,39,45
11:11,2428,C.J. Wiggins Turnover.,39,45
11:11,194,C.J. Jackson Steal.,39,45
10:54,194,Foul on Trevor Thompson.,39,45
10:54,194,Trevor Thompson Turnover.,39,45
10:48,2428,Foul on C.J. Wiggins.,39,45
10:48,2428,C.J. Wiggins Turnover.,39,45
10:37,194,Trevor Thompson made Layup. Assisted by Jae'Sean Tate.,39,47
10:22,2428,Patrick Cole made Layup.,41,47
10:05,194,Jae'Sean Tate made Layup. Assisted by C.J. Jackson.,41,49
9:38,2428,Ron Trapps missed Three Point Jumper.,41,49
9:38,194,Trevor Thompson Defensive Rebound.,41,49
9:30,194,Kam Williams missed Jumper.,41,49
9:30,2428,Kyle Benton Defensive Rebound.,41,49
9:02,194,Foul on Kam Williams.,41,49
9:02,2428,Patrick Cole made Free Throw.,42,49
9:02,2428,Patrick Cole missed Free Throw.,42,49
9:02,2428,North Carolina Central Deadball Team Rebound.,42,49
9:02,2428,Patrick Cole made Free Throw.,43,49
8:44,194,Kam Williams missed Three Point Jumper.,43,49
8:44,194,Kam Williams Offensive Rebound.,43,49
8:37,194,Kam Williams made Jumper.,43,51
8:30,2428,Patrick Cole Turnover.,43,51
8:22,194,C.J. Jackson missed Jumper.,43,51
8:22,194,Jae'Sean Tate Offensive Rebound.,43,51
8:16,194,Jae'Sean Tate missed Three Point Jumper.,43,51
8:16,2428,Ron Trapps Defensive Rebound.,43,51
8:09,2428,Patrick Cole Turnover.,43,51
7:59,194,Foul on Marc Loving.,43,51
7:59,194,Marc Loving Turnover.,43,51
7:59,194,Official TV Timeout,43,51
7:50,2428,Patrick Cole made Jumper.,45,51
7:18,194,Kam Williams made Jumper.,45,53
6:57,2428,Del'Vin Dickerson missed Three Point Jumper.,45,53
6:57,194,Keita Bates-Diop Defensive Rebound.,45,53
6:52,2428,Foul on Ron Trapps.,45,53
6:52,194,Keita Bates-Diop missed Free Throw.,45,53
6:52,2428,Patrick Cole Turnover.,45,54
6:52,194,Ohio State Deadball Team Rebound.,45,53
6:52,194,Keita Bates-Diop made Free Throw.,45,54
6:42,194,Kam Williams made Three Point Jumper. Assisted by Jae'Sean Tate.,45,57
6:09,2428,Patrick Cole made Layup.,47,57
5:48,194,Jae'Sean Tate made Dunk. Assisted by C.J. Jackson.,47,59
5:27,2428,Ron Trapps made Layup.,49,59
5:13,194,Trevor Thompson made Layup. Assisted by Keita Bates-Diop.,49,61
5:09,2428,Will Ransom Turnover.,49,61
5:09,194,C.J. Jackson Steal.,49,61
5:02,194,Kam Williams missed Layup.,49,61
5:02,2428,Will Ransom Block.,49,61
5:02,2428,Patrick Cole Defensive Rebound.,49,61
4:54,2428,Rashaun Madison made Three Point Jumper. Assisted by Patrick Cole.,52,61
4:40,194,C.J. Jackson missed Three Point Jumper.,52,61
4:40,2428,Kyle Benton Defensive Rebound.,52,61
4:33,2428,Ron Trapps made Three Point Jumper. Assisted by Kyle Benton.,55,61
4:16,194,Ohio State  Timeout,55,61
4:16,194,Official TV Timeout,55,61
4:11,194,Keita Bates-Diop made Dunk. Assisted by C.J. Jackson.,55,63
3:55,2428,Ron Trapps missed Three Point Jumper.,55,63
3:55,194,Ohio State Defensive Rebound.,55,63
3:33,2428,Foul on Will Ransom.,55,63
3:33,194,Jae'Sean Tate missed Free Throw.,55,63
3:33,194,Ohio State Deadball Team Rebound.,55,63
3:33,194,Jae'Sean Tate missed Free Throw.,55,63
3:33,2428,Patrick Cole Defensive Rebound.,55,63
3:26,2428,Del'Vin Dickerson missed Layup.,55,63
3:26,194,Keita Bates-Diop Block.,55,63
3:26,2428,Kyle Benton Offensive Rebound.,55,63
3:24,194,Foul on Micah Potter.,55,63
3:24,2428,Kyle Benton made Free Throw.,56,63
3:24,2428,Kyle Benton missed Free Throw.,56,63
3:24,194,Jae'Sean Tate Defensive Rebound.,56,63
3:06,2428,Foul on Patrick Cole.,56,63
3:06,194,Keita Bates-Diop made Free Throw.,56,64
3:06,194,Keita Bates-Diop made Free Throw.,56,65
2:54,2428,Patrick Cole made Layup.,58,65
2:37,2428,Foul on Del'Vin Dickerson.,58,65
2:37,194,Jae'Sean Tate made Free Throw.,58,66
2:37,194,Jae'Sean Tate missed Free Throw.,58,66
2:37,2428,Kyle Benton Defensive Rebound.,58,66
2:22,2428,Patrick Cole missed Layup.,58,66
2:22,2428,Patrick Cole Offensive Rebound.,58,66
2:14,2428,Rashaun Madison missed Three Point Jumper.,58,66
2:14,194,Ohio State Defensive Rebound.,58,66
1:58,194,Micah Potter made Layup. Assisted by C.J. Jackson.,58,68
1:35,2428,Del'Vin Dickerson made Layup. Assisted by Patrick Cole.,60,68
1:33,2428,North Carolina Central  Timeout,60,68
1:24,194,C.J. Jackson missed Three Point Jumper.,60,68
1:24,2428,Del'Vin Dickerson Defensive Rebound.,60,68
1:09,2428,Patrick Cole made Three Point Jumper.,63,68
0:43,2428,Foul on Rashaun Madison.,63,68
0:43,194,C.J. Jackson missed Free Throw.,63,68
0:43,194,Ohio State Deadball Team Rebound.,63,68
0:43,194,C.J. Jackson made Free Throw.,63,69
0:38,2428,Kyle Benton Turnover.,63,69
0:07,2428,Foul on Rashaun Madison.,63,69
0:07,194,C.J. Jackson missed Free Throw.,63,69
0:07,194,Ohio State Deadball Team Rebound.,63,69
0:07,194,C.J. Jackson missed Free Throw.,63,69
0:07,2428,Kyle Benton Defensive Rebound.,63,69
0:05,2428,Patrick Cole missed Three Point Jumper.,63,69
0:05,194,Jae'Sean Tate Defensive Rebound.,63,69
0:00,194,End of Game,63,69
