Blue Mountain College,Error,South Alabama,6
4:32,6,Dederick Lee made Three Point Jumper. Assisted by Ken Williams.,9,24
4:05,-1,Jay Howard Turnover.,9,24
4:05,-1,Foul on Jay Howard.,9,24
3:48,6,Dederick Lee missed Three Point Jumper.,9,24
3:48,6,Trhae Mitchell Offensive Rebound.,9,24
3:42,6,Trhae Mitchell made Layup.,9,26
3:33,-1,Blue Mountain  Timeout,9,26
3:14,-1,Adam Fleming Turnover.,9,26
3:14,-1,Foul on Adam Fleming.,9,26
2:58,6,Dederick Lee missed Layup.,9,26
2:58,6,Nikola Marijan Offensive Rebound.,9,26
2:56,6,Nikola Marijan made Layup.,9,28
2:56,-1,Foul on Conner Helvig.,9,28
2:56,6,Nikola Marijan missed Free Throw.,9,28
2:56,-1,Conner Helvig Defensive Rebound.,9,28
2:36,-1,Conner Helvig missed Layup.,9,28
2:36,-1,Adam Fleming Offensive Rebound.,9,28
2:33,-1,Adam Fleming missed Layup.,9,28
2:33,6,Trhae Mitchell Defensive Rebound.,9,28
2:26,6,Nick Davis missed Jumper.,9,28
2:26,6,Nikola Marijan Offensive Rebound.,9,28
2:22,6,Nikola Marijan made Layup.,9,30
2:09,-1,Jay Howard missed Three Point Jumper.,9,30
2:09,6,Nikola Marijan Defensive Rebound.,9,30
1:55,6,Nikola Marijan Turnover.,9,30
1:54,-1,C.J. Barnes Steal.,9,30
1:50,-1,Denio Chiririndza made Dunk. Assisted by C.J. Barnes.,11,30
1:28,6,Ken Williams missed Three Point Jumper.,11,30
1:28,6,Nick Davis Offensive Rebound.,11,30
1:21,6,Ken Williams missed Layup.,11,30
1:21,-1,Denio Chiririndza Defensive Rebound.,11,30
1:12,-1,C.J. Barnes missed Layup.,11,30
1:12,6,Nick Davis Defensive Rebound.,11,30
1:06,6,Ken Williams missed Three Point Jumper.,11,30
1:06,6,Trhae Mitchell Offensive Rebound.,11,30
1:02,6,Trhae Mitchell missed Layup.,11,30
1:02,6,Trhae Mitchell Offensive Rebound.,11,30
0:57,-1,Foul on Adam Fleming.,11,30
0:57,6,Trhae Mitchell made Free Throw.,11,31
0:57,6,Trhae Mitchell missed Free Throw.,11,31
0:57,6,Nikola Marijan Offensive Rebound.,11,31
0:51,-1,Foul on Harrison Fancher.,11,31
0:51,6,Ken Williams made Free Throw.,11,32
0:51,6,Ken Williams missed Free Throw.,11,32
0:51,-1,Justin McClellon Defensive Rebound.,11,32
0:29,-1,Justin McClellon missed Layup.,11,32
0:29,6,Nikola Marijan Block.,11,32
0:27,6,Nikola Marijan Defensive Rebound.,11,32
0:23,6,Ken Williams made Layup.,11,34
0:03,-1,Jay Howard missed Three Point Jumper.,11,34
0:03,6,Ken Williams Defensive Rebound.,11,34
0:00,6,End of 1st half,11,34
19:36,-1,Chris English missed Three Point Jumper.,11,34
19:36,6,Don MuepoKelly Defensive Rebound.,11,34
19:18,6,Josh Ajayi made Layup.,11,36
18:51,-1,Denio Chiririndza made Jumper. Assisted by Conner Helvig.,13,36
18:28,6,Don MuepoKelly made Layup.,13,38
18:28,-1,Foul on Adam Fleming.,13,38
18:28,6,Don MuepoKelly missed Free Throw.,13,38
18:28,-1,Conner Helvig Defensive Rebound.,13,38
18:10,-1,Conner Helvig missed Three Point Jumper.,13,38
18:10,6,South Alabama Defensive Rebound.,13,38
18:07,6,Foul on Shaq Calhoun.,13,38
17:45,-1,Denio Chiririndza missed Jumper.,13,38
17:45,6,Shaq Calhoun Defensive Rebound.,13,38
17:39,6,Josh Ajayi made Dunk. Assisted by Shaq Calhoun.,13,40
17:18,-1,Chris English Turnover.,13,40
17:08,6,Shaq Calhoun missed Three Point Jumper.,13,40
17:08,6,Don MuepoKelly Offensive Rebound.,13,40
17:03,-1,Foul on Chris English.,13,40
17:01,-1,Foul on Denio Chiririndza.,13,40
17:01,6,Don MuepoKelly missed Free Throw.,13,40
17:01,6,South Alabama Deadball Team Rebound.,13,40
17:01,6,Don MuepoKelly missed Free Throw.,13,40
17:01,-1,Conner Helvig Defensive Rebound.,13,40
16:42,-1,Conner Helvig Turnover.,13,40
16:41,6,Nick Stover Steal.,13,40
16:35,-1,Foul on Conner Helvig.,13,40
16:35,6,Shaq Calhoun made Free Throw.,13,41
16:35,6,Shaq Calhoun missed Free Throw.,13,41
16:35,6,Don MuepoKelly Offensive Rebound.,13,41
16:33,6,Don MuepoKelly missed Layup.,13,41
16:33,-1,Denio Chiririndza Defensive Rebound.,13,41
16:28,6,Foul on Shaq Calhoun.,13,41
16:12,-1,Adam Fleming Turnover.,13,41
15:56,6,Nick Stover made Layup. Assisted by Don MuepoKelly.,13,43
15:33,-1,C.J. Barnes missed Three Point Jumper.,13,43
15:33,6,Dederick Lee Defensive Rebound.,13,43
15:24,6,Nick Stover made Three Point Jumper. Assisted by Dederick Lee.,13,46
14:54,6,Official TV Timeout,13,46
14:44,-1,Jay Howard missed Three Point Jumper.,13,46
14:44,6,South Alabama Deadball Team Rebound.,13,46
14:30,-1,Foul on Adam Fleming.,13,46
14:30,6,Trhae Mitchell missed Free Throw.,13,46
14:30,6,South Alabama Deadball Team Rebound.,13,46
14:30,6,Trhae Mitchell missed Free Throw.,13,46
14:30,-1,Blue Mountain Defensive Rebound.,13,46
14:30,6,Foul on Nikola Marijan.,13,46
14:11,-1,Jay Howard missed Three Point Jumper.,13,46
14:11,6,Georgi Boyanov Defensive Rebound.,13,46
13:58,6,Trhae Mitchell made Layup.,13,48
13:58,-1,Foul on Justin McClellon.,13,48
13:58,6,Trhae Mitchell made Free Throw.,13,49
13:37,-1,Denio Chiririndza Turnover.,13,49
13:27,6,Trhae Mitchell made Dunk.,13,51
13:18,6,Foul on Herb McGee.,13,51
13:12,6,Foul on Herb McGee.,13,51
13:04,-1,Denio Chiririndza made Three Point Jumper. Assisted by Harrison Fancher.,16,51
12:51,6,Ken Williams made Three Point Jumper. Assisted by Herb McGee.,16,54
12:40,-1,Jay Howard missed Jumper.,16,54
12:40,6,Ken Williams Defensive Rebound.,16,54
12:30,6,Herb McGee missed Three Point Jumper.,16,54
12:30,6,Georgi Boyanov Offensive Rebound.,16,54
12:26,6,Georgi Boyanov made Layup.,16,56
12:18,-1,Blue Mountain  Timeout,16,56
12:14,-1,Harrison Fancher made Three Point Jumper. Assisted by Chris English.,19,56
11:58,-1,Foul on DeJuan Clark.,19,56
11:58,6,Official TV Timeout,19,56
11:58,6,Nikola Marijan missed Free Throw.,19,56
11:58,-1,Denio Chiririndza Defensive Rebound.,19,56
11:33,-1,Chris English missed Three Point Jumper.,19,56
11:33,6,Nikola Marijan Defensive Rebound.,19,56
11:06,6,Georgi Boyanov missed Layup.,19,56
11:06,6,Nikola Marijan Offensive Rebound.,19,56
11:02,6,Ken Williams made Layup. Assisted by Trhae Mitchell.,19,58
11:02,-1,Foul on Dominic Hudson.,19,58
11:02,6,Ken Williams made Free Throw.,19,59
10:47,6,Foul on Nikola Marijan.,19,59
10:43,-1,Chris English missed Jumper.,19,59
10:43,-1,DeJuan Clark Offensive Rebound.,19,59
10:39,-1,DeJuan Clark missed Layup.,19,59
10:39,6,Trhae Mitchell Defensive Rebound.,19,59
10:26,6,Ken Williams made Three Point Jumper. Assisted by Trhae Mitchell.,19,62
10:09,6,Foul on Ken Williams.,19,62
10:09,-1,Harrison Fancher made Free Throw.,20,62
10:09,-1,Harrison Fancher made Free Throw.,21,62
10:09,-1,Harrison Fancher missed Free Throw.,21,62
10:09,6,Josh Ajayi Defensive Rebound.,21,62
9:50,6,Don MuepoKelly Turnover.,21,62
9:45,6,Foul on Nick Stover.,21,62
9:45,-1,Chris English missed Free Throw.,21,62
9:45,6,Don MuepoKelly Defensive Rebound.,21,62
9:20,6,Nick Stover missed Three Point Jumper.,21,62
9:20,6,Josh Ajayi Offensive Rebound.,21,62
9:14,-1,Foul on DeJuan Clark.,21,62
9:14,6,Josh Ajayi missed Free Throw.,21,62
9:14,6,South Alabama Deadball Team Rebound.,21,62
9:14,6,Josh Ajayi missed Free Throw.,21,62
9:14,-1,C.J. Barnes Defensive Rebound.,21,62
8:54,-1,Harrison Fancher Turnover.,21,62
8:52,6,Shaq Calhoun Steal.,21,62
8:50,6,Shaq Calhoun made Jumper.,21,64
8:23,-1,Justin McClellon Turnover.,21,64
8:22,6,Don MuepoKelly Steal.,21,64
8:17,6,Shaq Calhoun made Three Point Jumper. Assisted by Dederick Lee.,21,67
7:46,6,Foul on Don MuepoKelly.,21,67
7:46,6,Official TV Timeout,21,67
7:46,-1,DeJuan Clark made Free Throw.,22,67
7:46,-1,DeJuan Clark made Free Throw.,23,67
7:32,6,Shaq Calhoun missed Three Point Jumper.,23,67
7:32,6,South Alabama Offensive Rebound.,23,67
7:26,6,Dederick Lee made Three Point Jumper. Assisted by Don MuepoKelly.,23,70
7:13,-1,Harrison Fancher Turnover.,23,70
7:12,6,Shaq Calhoun Steal.,23,70
7:10,6,Shaq Calhoun made Layup.,23,72
6:51,-1,Harrison Fancher missed Three Point Jumper.,23,72
6:51,-1,Adam Fleming Offensive Rebound.,23,72
6:44,-1,C.J. Barnes made Layup. Assisted by Adam Fleming.,25,72
6:23,6,Nick Stover made Layup. Assisted by Josh Ajayi.,25,74
6:07,6,Foul on Nick Stover.,25,74
6:07,-1,Pierre Garel made Free Throw.,26,74
6:07,-1,Pierre Garel made Free Throw.,27,74
5:52,6,Nick Stover made Three Point Jumper. Assisted by Dederick Lee.,27,77
5:34,-1,Jay Howard missed Layup.,27,77
5:34,6,Trhae Mitchell Block.,27,77
5:33,6,Ethan Haslam Defensive Rebound.,27,77
5:29,6,Herb McGee made Layup.,27,79
5:02,-1,Pierre Garel missed Three Point Jumper.,27,79
5:02,-1,Blue Mountain Offensive Rebound.,27,79
4:41,-1,Adam Fleming missed Three Point Jumper.,27,79
4:41,6,Nick Davis Defensive Rebound.,27,79
4:27,6,Kevin Morris missed Layup.,27,79
4:27,-1,DeJuan Clark Block.,27,79
4:24,-1,Adam Fleming Defensive Rebound.,27,79
4:19,-1,Harrison Fancher missed Three Point Jumper.,27,79
4:19,-1,Adam Fleming Offensive Rebound.,27,79
4:16,-1,Adam Fleming missed Layup.,27,79
4:16,6,Herb McGee Defensive Rebound.,27,79
4:08,6,Ethan Haslam missed Three Point Jumper.,27,79
4:08,6,Trhae Mitchell Offensive Rebound.,27,79
3:59,6,Nick Davis missed Jumper.,27,79
3:59,-1,DeJuan Clark Block.,27,79
3:57,6,Kevin Morris Offensive Rebound.,27,79
3:55,-1,Foul on Adam Fleming.,27,79
3:55,6,Official TV Timeout,27,79
3:55,6,Kevin Morris missed Free Throw.,27,79
3:55,6,South Alabama Deadball Team Rebound.,27,79
3:54,6,Trhae Mitchell Turnover.,27,79
3:54,6,Foul on Trhae Mitchell.,27,79
3:54,-1,DeJuan Clark made Free Throw.,28,79
3:54,-1,DeJuan Clark missed Free Throw.,28,79
3:54,6,Herb McGee Defensive Rebound.,28,79
3:45,6,Herb McGee missed Jumper.,28,79
3:45,-1,Jay Howard Defensive Rebound.,28,79
3:39,-1,Jay Howard missed Layup.,28,79
3:39,6,Nick Davis Defensive Rebound.,28,79
3:30,6,Ethan Haslam made Three Point Jumper. Assisted by Nick Davis.,28,82
3:06,-1,Jay Howard Turnover.,28,82
3:02,6,Kevin Morris Steal.,28,82
2:49,6,Ethan Haslam missed Three Point Jumper.,28,82
2:49,-1,Jay Howard Defensive Rebound.,28,82
2:38,-1,Jay Howard missed Three Point Jumper.,28,82
2:38,6,Nick Davis Defensive Rebound.,28,82
2:21,-1,Foul on DeJuan Clark.,28,82
2:21,6,Kevin Morris missed Free Throw.,28,82
2:21,6,South Alabama Deadball Team Rebound.,28,82
2:21,6,Kevin Morris missed Free Throw.,28,82
2:21,-1,DeJuan Clark Defensive Rebound.,28,82
2:00,-1,Jay Howard missed Jumper.,28,82
2:00,6,Trhae Mitchell Defensive Rebound.,28,82
1:50,6,Herb McGee made Layup.,28,84
1:24,-1,Dominic Hudson missed Three Point Jumper.,28,84
1:24,6,Herb McGee Defensive Rebound.,28,84
1:07,-1,Foul on DeJuan Clark.,28,84
1:07,6,Nick Davis made Free Throw.,28,85
1:07,6,Nick Davis made Free Throw.,28,86
0:50,-1,Justin McClellon made Three Point Jumper. Assisted by Pierre Garel.,31,86
0:32,6,Ethan Haslam missed Three Point Jumper.,31,86
0:32,-1,Jay Howard Defensive Rebound.,31,86
0:30,6,Foul on Trhae Mitchell.,31,86
0:30,-1,Jay Howard made Free Throw.,32,86
0:30,-1,Jay Howard made Free Throw.,33,86
0:18,6,Herb McGee Turnover.,33,86
0:17,-1,Jay Howard Steal.,33,86
0:15,-1,Jay Howard made Dunk.,35,86
0:09,-1,Foul on Dominic Hudson.,35,86
0:09,6,Trhae Mitchell made Free Throw.,35,87
0:09,6,Trhae Mitchell made Free Throw.,35,88
0:00,6,End of Game,35,88
