Roosevelt,Error,Northern Illinois,2459
12:28,2459,Levi Bradley missed Three Point Jumper.,8,20
12:28,-1,Korey Ryan Defensive Rebound.,8,20
12:04,-1,Jason Markus made Three Point Jumper. Assisted by Peter Catchings.,11,20
11:50,2459,Austin Pauga missed Three Point Jumper.,11,20
11:50,2459,Levi Bradley Offensive Rebound.,11,20
11:45,-1,Foul on Adam Alexander.,11,20
11:43,2459,Marshawn Wilson made Jumper.,11,22
11:30,-1,Jason Markus Turnover.,11,22
11:29,2459,Jaylen Key Steal.,11,22
11:27,-1,Foul on Joshua Dillingham.,11,22
11:26,-1,Foul on Jake Ludwig.,11,22
11:24,2459,Eugene German made Three Point Jumper. Assisted by Austin Pauga.,11,25
10:49,-1,Roosevelt  Turnover.,11,25
10:27,2459,Austin Pauga missed Three Point Jumper.,11,25
10:27,-1,Peter Catchings Defensive Rebound.,11,25
9:55,-1,Peter Catchings missed Three Point Jumper.,11,25
9:55,2459,Jaylen Key Defensive Rebound.,11,25
9:38,2459,Jaylen Key made Layup. Assisted by Austin Pauga.,11,27
9:19,-1,Peter Catchings Turnover.,11,27
9:18,2459,Levi Bradley Steal.,11,27
9:15,2459,Levi Bradley made Layup.,11,29
9:15,-1,Foul on Peter Catchings.,11,29
9:15,2459,Levi Bradley made Free Throw.,11,30
8:55,-1,Andre Raiford Jr. missed Jumper.,11,30
8:55,2459,Aaric Armstead Defensive Rebound.,11,30
8:46,2459,Eugene German made Free Throw.,11,31
8:46,-1,Andre Raiford Jr. Defensive Rebound.,11,30
8:46,-1,Foul on Peter Catchings.,11,30
8:46,-1,Roosevelt  Timeout,11,30
8:46,2459,Eugene German missed Free Throw.,11,31
8:46,2459,Aaric Armstead Offensive Rebound.,11,31
8:44,2459,Aaric Armstead missed Layup.,11,31
8:25,-1,Andre Raiford Jr. missed Layup.,11,31
8:25,-1,Peter Catchings Offensive Rebound.,11,31
8:18,-1,Zack Harris made Three Point Jumper. Assisted by Korey Ryan.,14,31
8:05,2459,Aaric Armstead made Three Point Jumper. Assisted by Marin Maric.,14,34
7:45,-1,Zack Harris missed Three Point Jumper.,14,34
7:42,2459,Northern Illinois Defensive Rebound.,14,34
7:42,2459,Official TV Timeout,14,34
7:29,2459,Marin Maric Turnover.,14,34
7:27,-1,Andre Raiford Jr. Steal.,14,34
7:05,-1,Korey Ryan missed Three Point Jumper.,14,34
7:05,2459,Aaric Armstead Block.,14,34
7:04,2459,Laytwan Porter Defensive Rebound.,14,34
6:59,2459,Justin Thomas made Layup. Assisted by Laytwan Porter.,14,36
6:52,2459,Foul on Dontel Highsmith.,14,36
6:44,-1,Kyle Bumbalough made Three Point Jumper. Assisted by Carson Hughes.,17,36
6:25,2459,Laytwan Porter made Three Point Jumper. Assisted by Marin Maric.,17,39
6:10,-1,Andre Raiford Jr. Turnover.,17,39
5:57,2459,Aaric Armstead missed Three Point Jumper.,17,39
5:57,2459,Dontel Highsmith Offensive Rebound.,17,39
5:44,2459,Dontel Highsmith missed Three Point Jumper.,17,39
5:44,2459,Laytwan Porter Offensive Rebound.,17,39
5:33,2459,Dontel Highsmith made Layup. Assisted by Marin Maric.,17,41
5:14,-1,Korey Ryan made Jumper.,19,41
4:56,2459,Marin Maric missed Layup.,19,41
4:56,-1,Carson Hughes Defensive Rebound.,19,41
4:46,-1,Carson Hughes missed Three Point Jumper.,19,41
4:46,2459,Justin Thomas Defensive Rebound.,19,41
4:39,2459,Justin Thomas made Layup.,19,43
4:22,-1,Zack Harris made Layup.,21,43
4:14,2459,Laytwan Porter made Three Point Jumper.,21,46
3:58,-1,Carson Hughes made Layup. Assisted by Korey Ryan.,23,46
3:40,2459,Marin Maric made Layup. Assisted by Laytwan Porter.,23,48
3:40,-1,Foul on Zack Harris.,23,48
3:40,2459,Official TV Timeout,23,48
3:40,2459,Marin Maric missed Free Throw.,23,48
3:40,-1,Kyle Bumbalough Defensive Rebound.,23,48
3:15,-1,Jake Ludwig Turnover.,23,48
3:06,2459,Jaylen Key made Jumper.,23,50
2:49,2459,Foul on Levi Bradley.,23,50
2:47,-1,Jake Ludwig Turnover.,23,50
2:46,2459,Dontel Highsmith Steal.,23,50
2:39,2459,Levi Bradley missed Three Point Jumper.,23,50
2:39,-1,Adam Alexander Defensive Rebound.,23,50
2:28,-1,Kyle Bumbalough made Three Point Jumper. Assisted by Jake Ludwig.,26,50
2:17,2459,Aaric Armstead made Jumper.,26,52
2:02,-1,Jake Asquini missed Three Point Jumper.,26,52
2:02,2459,Levi Bradley Defensive Rebound.,26,52
1:44,2459,Jaylen Key Turnover.,26,52
1:29,-1,Kyle Bumbalough missed Jumper.,26,52
1:29,2459,Aaric Armstead Defensive Rebound.,26,52
1:16,2459,Laytwan Porter made Three Point Jumper.,26,55
0:46,-1,Kevin Day missed Three Point Jumper.,26,55
0:46,2459,Laytwan Porter Defensive Rebound.,26,55
0:24,2459,Laytwan Porter missed Three Point Jumper.,26,55
0:24,-1,Jake Ludwig Defensive Rebound.,26,55
0:13,-1,Jake Ludwig Turnover.,26,55
0:12,2459,Laytwan Porter Steal.,26,55
0:09,2459,Aaric Armstead Turnover.,26,55
0:07,-1,Jake Ludwig Steal.,26,55
0:04,-1,Jake Asquini missed Three Point Jumper.,26,55
0:04,2459,Jaylen Key Defensive Rebound.,26,55
0:00,2459,End of 1st half,26,55
19:44,2459,Marin Maric made Layup. Assisted by Jaylen Key.,26,57
19:29,-1,Joshua Dillingham Turnover.,26,57
19:28,2459,Aaric Armstead Steal.,26,57
19:21,2459,Jaylen Key Turnover.,26,57
19:21,-1,Jake Ludwig Steal.,26,57
19:21,2459,Foul on Laytwan Porter.,26,57
19:07,-1,Korey Ryan missed Three Point Jumper.,26,57
19:07,2459,Northern Illinois Defensive Rebound.,26,57
18:53,2459,Marin Maric made Layup.,26,59
18:35,-1,Korey Ryan Turnover.,26,59
18:20,2459,Aaric Armstead missed Three Point Jumper.,26,59
18:20,2459,Dontel Highsmith Offensive Rebound.,26,59
17:59,2459,Marin Maric missed Layup.,26,59
17:59,-1,Zack Harris Defensive Rebound.,26,59
17:43,-1,Korey Ryan missed Three Point Jumper.,26,59
17:43,2459,Aaric Armstead Defensive Rebound.,26,59
17:39,-1,Foul on Jake Ludwig.,26,59
17:35,2459,Laytwan Porter missed Three Point Jumper.,26,59
17:35,-1,Peter Catchings Defensive Rebound.,26,59
17:18,-1,Zack Harris made Jumper. Assisted by Korey Ryan.,28,59
16:59,2459,Jaylen Key made Layup.,28,61
16:39,-1,Joshua Dillingham Turnover.,28,61
16:24,2459,Eugene German made Layup.,28,63
16:24,-1,Foul on Zack Harris.,28,63
16:24,2459,Eugene German missed Free Throw.,28,63
16:24,-1,Joshua Dillingham Defensive Rebound.,28,63
16:06,-1,Kevin Day missed Three Point Jumper.,28,63
16:06,2459,Jaylen Key Defensive Rebound.,28,63
15:48,2459,Jaylen Key made Free Throw.,28,64
15:48,2459,Jaylen Key made Free Throw.,28,65
15:46,-1,Foul on Joshua Dillingham.,28,65
15:46,2459,Official TV Timeout,28,65
15:27,2459,Foul on Marshawn Wilson.,28,65
15:01,-1,Jake Asquini missed Three Point Jumper.,28,65
15:01,2459,Austin Pauga Defensive Rebound.,28,65
14:38,-1,Foul on Adam Alexander.,28,65
14:38,2459,Eugene German made Free Throw.,28,66
14:38,2459,Eugene German missed Free Throw.,28,66
14:38,-1,Kevin Day Defensive Rebound.,28,66
14:16,-1,Peter Catchings missed Three Point Jumper.,28,66
14:16,-1,Adam Alexander Offensive Rebound.,28,66
14:10,-1,Adam Alexander made Layup.,30,66
14:01,2459,Austin Pauga made Three Point Jumper. Assisted by Marshawn Wilson.,30,69
13:50,-1,Adam Alexander missed Layup.,30,69
13:50,2459,Marin Maric Block.,30,69
13:49,2459,Marshawn Wilson Defensive Rebound.,30,69
13:44,2459,Austin Pauga made Three Point Jumper. Assisted by Marshawn Wilson.,30,72
13:38,-1,Kevin Day made Layup. Assisted by Jason Markus.,32,72
13:38,-1,Roosevelt  Timeout,32,72
13:24,2459,Levi Bradley made Layup. Assisted by Austin Pauga.,32,74
12:56,-1,Peter Catchings Turnover.,32,74
12:53,2459,Marshawn Wilson Steal.,32,74
12:45,2459,Austin Pauga missed Three Point Jumper.,32,74
12:45,-1,Andre Raiford Jr. Defensive Rebound.,32,74
12:23,-1,Zack Harris missed Three Point Jumper.,32,74
12:23,2459,Austin Pauga Defensive Rebound.,32,74
12:10,2459,Levi Bradley Turnover.,32,74
11:54,-1,Zack Harris Turnover.,32,74
11:53,2459,Marshawn Wilson Steal.,32,74
11:50,2459,Justin Thomas made Layup. Assisted by Marshawn Wilson.,32,76
11:41,-1,Jake Asquini missed Three Point Jumper.,32,76
11:41,-1,Carson Hughes Offensive Rebound.,32,76
11:37,-1,Carson Hughes missed Layup.,32,76
11:37,2459,Levi Bradley Block.,32,76
11:35,-1,Carson Hughes Offensive Rebound.,32,76
11:32,-1,Carson Hughes Turnover.,32,76
11:32,2459,Austin Pauga Steal.,32,76
11:30,-1,Foul on Jason Markus.,32,76
11:30,2459,Official TV Timeout,32,76
11:30,2459,Marshawn Wilson made Free Throw.,32,77
11:30,2459,Marshawn Wilson missed Free Throw.,32,77
11:30,-1,Joshua Dillingham Defensive Rebound.,32,77
11:17,-1,Andre Raiford Jr. Turnover.,32,77
11:03,2459,Austin Pauga missed Three Point Jumper.,32,77
11:03,-1,Roosevelt Defensive Rebound.,32,77
10:39,-1,Jake Ludwig Turnover.,32,77
10:21,2459,Aaric Armstead made Three Point Jumper. Assisted by Justin Thomas.,32,80
10:09,-1,Kyle Bumbalough made Jumper.,34,80
10:09,2459,Foul on Dontel Highsmith.,34,80
10:09,-1,Kyle Bumbalough made Free Throw.,35,80
10:01,-1,Foul on Joshua Dillingham.,35,80
9:54,2459,Dontel Highsmith missed Layup.,35,80
9:54,-1,Andre Raiford Jr. Block.,35,80
9:52,-1,Adam Alexander Defensive Rebound.,35,80
9:48,-1,Kyle Bumbalough made Layup.,37,80
9:41,-1,Foul on Kyle Bumbalough.,37,80
9:35,2459,Justin Thomas missed Free Throw.,37,80
9:35,-1,Andre Raiford Jr. Defensive Rebound.,37,80
9:35,-1,Korey Ryan made Three Point Jumper. Assisted by Carson Hughes.,40,80
9:33,2459,Aaric Armstead missed Three Point Jumper.,40,80
9:33,-1,Adam Alexander Defensive Rebound.,40,80
9:06,-1,Carson Hughes Turnover.,40,80
8:51,2459,Levi Bradley missed Three Point Jumper.,40,80
8:51,-1,Adam Alexander Defensive Rebound.,40,80
8:45,-1,Kyle Bumbalough missed Three Point Jumper.,40,80
8:45,2459,Sean Damaska Defensive Rebound.,40,80
8:31,2459,Aaric Armstead missed Jumper.,40,80
8:31,-1,Carson Hughes Defensive Rebound.,40,80
8:02,-1,Carson Hughes made Three Point Jumper.,43,80
7:46,-1,Foul on Carson Hughes.,43,80
7:46,2459,Official TV Timeout,43,80
7:46,2459,Dontel Highsmith missed Free Throw.,43,80
7:46,2459,Levi Bradley Offensive Rebound.,43,80
7:43,2459,Levi Bradley made Layup.,43,82
7:26,-1,Kyle Bumbalough Turnover.,43,82
7:08,2459,Levi Bradley missed Jumper.,43,82
7:08,-1,Roosevelt Defensive Rebound.,43,82
7:05,2459,Foul on Sean Damaska.,43,82
6:37,-1,Carson Hughes made Layup.,45,82
6:26,2459,Justin Thomas made Layup.,45,84
6:09,-1,Korey Ryan missed Layup.,45,84
6:09,2459,Sean Damaska Defensive Rebound.,45,84
5:58,2459,Marshawn Wilson missed Three Point Jumper.,45,84
5:58,-1,Zack Harris Defensive Rebound.,45,84
5:45,-1,Carson Hughes made Layup.,47,84
5:45,2459,Foul on Levi Bradley.,47,84
5:45,-1,Carson Hughes missed Free Throw.,47,84
5:45,2459,Marshawn Wilson Defensive Rebound.,47,84
5:20,2459,Sean Damaska missed Layup.,47,84
5:20,-1,Joshua Dillingham Defensive Rebound.,47,84
5:01,2459,Foul on Justin Thomas.,47,84
4:50,-1,Jason Markus missed Three Point Jumper.,47,84
4:50,2459,Northern Illinois Defensive Rebound.,47,84
4:28,2459,Eugene German made Three Point Jumper. Assisted by Marshawn Wilson.,47,87
4:11,-1,Carson Hughes missed Three Point Jumper.,47,87
4:11,2459,Sean Damaska Defensive Rebound.,47,87
4:00,2459,Austin Pauga made Three Point Jumper. Assisted by Sean Damaska.,47,90
3:37,-1,Carson Hughes missed Jumper.,47,90
3:37,-1,Roosevelt Offensive Rebound.,47,90
3:35,2459,Foul on Sean Damaska.,47,90
3:35,2459,Official TV Timeout,47,90
3:35,-1,Joshua Dillingham missed Free Throw.,47,90
3:35,2459,Austin Pauga Defensive Rebound.,47,90
3:15,2459,Sean Damaska made Layup.,47,92
3:07,-1,Tomas Cutts Turnover.,47,92
2:50,2459,Eugene German missed Three Point Jumper.,47,92
2:50,2459,Austin Pauga Offensive Rebound.,47,92
2:46,2459,Austin Pauga missed Jumper.,47,92
2:46,2459,Marshawn Wilson Offensive Rebound.,47,92
2:42,-1,Foul on Jason Markus.,47,92
2:42,2459,Marshawn Wilson missed Free Throw.,47,92
2:42,-1,Kevin Day Defensive Rebound.,47,92
2:31,-1,Kevin Day Turnover.,47,92
2:30,2459,Eugene German Steal.,47,92
2:27,2459,Eugene German made Dunk.,47,94
1:58,-1,Kevin Day made Three Point Jumper. Assisted by Jason Markus.,50,94
1:34,2459,Eugene German missed Jumper.,50,94
1:34,2459,Sean Damaska Offensive Rebound.,50,94
1:30,2459,Sean Damaska made Layup.,50,96
1:30,-1,Foul on Kevin Day.,50,96
1:30,2459,Sean Damaska made Free Throw.,50,97
1:21,2459,Foul on Eugene German.,50,97
1:21,-1,Jake Asquini made Free Throw.,51,97
1:21,-1,Jake Asquini made Free Throw.,52,97
1:08,2459,Sean Damaska made Layup.,52,99
0:53,-1,Damian Zalewski missed Jumper.,52,99
0:53,2459,Eugene German Defensive Rebound.,52,99
0:38,2459,Marshawn Wilson Turnover.,52,99
0:22,-1,Jake Asquini made Three Point Jumper. Assisted by Damian Zalewski.,55,99
0:00,2459,End of Game,55,99
