UNC Asheville,61,Georgia,2427
10:45,61,William Jackson II Defensive Rebound.,37,46
10:42,61,William Jackson II Turnover.,37,46
10:27,2427,Alec Wnuk missed Layup.,37,46
10:27,61,Yante Maten Defensive Rebound.,37,46
10:11,61,Yante Maten Turnover.,37,46
10:11,2427,Ahmad Thomas Steal.,37,46
9:51,2427,Ahmad Thomas made Dunk. Assisted by Raekwon Miller.,39,46
9:35,61,Yante Maten Turnover.,39,46
9:33,2427,MaCio Teague Steal.,39,46
9:28,2427,Raekwon Miller made Layup.,41,46
9:12,61,Derek Ogbeide missed Layup.,41,46
9:12,2427,Alec Wnuk Defensive Rebound.,41,46
8:55,2427,Alec Wnuk missed Jumper.,41,46
8:55,61,Yante Maten Defensive Rebound.,41,46
8:47,61,Georgia  Timeout,41,46
8:43,61,J.J. Frazier made Three Point Jumper. Assisted by E'Torrion Wilridge.,41,49
8:19,2427,David Robertson missed Three Point Jumper.,41,49
8:19,61,E'Torrion Wilridge Defensive Rebound.,41,49
7:58,61,J.J. Frazier missed Jumper.,41,49
7:58,61,Georgia Offensive Rebound.,41,49
7:56,61,Official TV Timeout,41,49
7:31,61,J.J. Frazier made Jumper.,41,51
7:16,2427,Ahmad Thomas made Layup. Assisted by Raekwon Miller.,43,51
7:03,61,Yante Maten made Layup. Assisted by E'Torrion Wilridge.,43,53
6:34,2427,Raekwon Miller missed Three Point Jumper.,43,53
6:34,61,Yante Maten Defensive Rebound.,43,53
6:10,2427,Foul on David Robertson.,43,53
6:10,61,Yante Maten made Free Throw.,43,54
6:10,61,Yante Maten made Free Throw.,43,55
5:57,2427,Raekwon Miller missed Layup.,43,55
5:57,2427,UNC Asheville Offensive Rebound.,43,55
5:52,2427,MaCio Teague Turnover.,43,55
5:37,2427,Foul on Kevin Vannatta.,43,55
5:22,61,Tyree Crump missed Three Point Jumper.,43,55
5:22,61,Juwan Parker Offensive Rebound.,43,55
5:16,61,Juwan Parker made Jumper.,43,57
5:03,2427,MaCio Teague missed Three Point Jumper.,43,57
5:03,61,Juwan Parker Defensive Rebound.,43,57
4:40,61,Yante Maten Turnover.,43,57
4:40,61,Foul on Yante Maten.,43,57
4:21,2427,Raekwon Miller missed Three Point Jumper.,43,57
4:21,61,Yante Maten Defensive Rebound.,43,57
4:05,61,Tyree Crump missed Three Point Jumper.,43,57
4:05,2427,Ahmad Thomas Defensive Rebound.,43,57
3:58,61,Foul on Yante Maten.,43,57
3:58,61,Official TV Timeout,43,57
3:58,2427,Raekwon Miller missed Free Throw.,43,57
3:58,2427,UNC Asheville Deadball Team Rebound.,43,57
3:58,2427,Raekwon Miller made Free Throw.,44,57
3:31,2427,Foul on Ahmad Thomas.,44,57
3:31,61,Kenny Paul Geno made Free Throw.,44,58
3:31,61,Kenny Paul Geno missed Free Throw.,44,58
3:31,2427,Kevin Vannatta Defensive Rebound.,44,58
3:18,2427,MaCio Teague made Jumper. Assisted by Ahmad Thomas.,46,58
2:52,61,J.J. Frazier Turnover.,46,58
2:51,2427,Raekwon Miller Steal.,46,58
2:42,2427,Alec Wnuk missed Jumper.,46,58
2:42,2427,Alec Wnuk Offensive Rebound.,46,58
2:39,2427,Alec Wnuk Turnover.,46,58
2:11,61,Juwan Parker Turnover.,46,58
2:10,2427,MaCio Teague Steal.,46,58
1:56,2427,Ahmad Thomas missed Three Point Jumper.,46,58
1:56,61,Juwan Parker Defensive Rebound.,46,58
1:44,2427,Foul on MaCio Teague.,46,58
1:34,2427,Foul on Kevin Vannatta.,46,58
1:24,61,J.J. Frazier Turnover.,46,58
1:24,61,Foul on J.J. Frazier.,46,58
1:15,2427,Kevin Vannatta missed Three Point Jumper.,46,58
1:15,61,J.J. Frazier Defensive Rebound.,46,58
1:12,2427,Foul on Ahmad Thomas.,46,58
1:12,61,J.J. Frazier made Free Throw.,46,59
1:12,61,J.J. Frazier made Free Throw.,46,60
1:08,2427,Kevin Vannatta Turnover.,46,60
0:48,61,Brandon Young missed Jumper.,46,60
0:48,2427,Jonathan Baehre Defensive Rebound.,46,60
0:30,2427,Grant Townsend missed Jumper.,46,60
0:30,61,Brandon Young Defensive Rebound.,46,60
0:23,61,Georgia  Timeout,46,60
0:00,61,End of Game,46,60
