Furman,5,UAB,231
0:39,5,Foul on Hakeem Baxter.,83,74
0:39,231,John Davis III missed Free Throw.,83,74
0:39,231,Furman Deadball Team Rebound.,83,74
0:39,231,John Davis III made Free Throw.,84,74
0:32,5,Hakeem Baxter missed Layup.,84,74
0:32,5,Hakeem Baxter Offensive Rebound.,84,74
0:30,5,Hakeem Baxter Turnover.,84,74
0:29,231,Devin Sibley Steal.,84,74
0:01,231,Furman  Turnover.,84,74
0:00,5,End of Game,84,74
