NY Institute of Technology,Error,Fordham,2230
10:15,-1,Jon Feiler Defensive Rebound.,14,21
9:42,2230,Foul on Antwoine Anderson.,14,21
9:41,-1,Walter King missed Free Throw.,14,21
9:41,2230,Javontae Hawkins Defensive Rebound.,14,21
9:33,2230,Christian Sengfelder missed Three Point Jumper.,14,21
9:33,-1,Jon Feiler Defensive Rebound.,14,21
9:21,-1,Jeffrey Hayden made Jumper.,16,21
9:01,2230,Javontae Hawkins Turnover.,16,21
8:44,-1,Henrik Davidsen missed Three Point Jumper.,16,21
8:44,2230,David Pekarek Defensive Rebound.,16,21
8:34,2230,David Pekarek missed Three Point Jumper.,16,21
8:34,-1,Jon Feiler Defensive Rebound.,16,21
8:26,-1,Walter King Turnover.,16,21
8:16,2230,Javontae Hawkins Turnover.,16,21
8:04,-1,Jon Feiler missed Jumper.,16,21
8:04,2230,Joseph Chartouny Defensive Rebound.,16,21
7:43,-1,Foul on Domonic Josephs.,16,21
7:43,2230,Official TV Timeout,16,21
7:41,2230,David Pekarek missed Jumper.,16,21
7:41,-1,Jon Feiler Defensive Rebound.,16,21
7:20,2230,Antwoine Anderson Defensive Rebound.,16,21
7:20,-1,Vasilis Magkos missed Three Point Jumper.,16,21
6:59,-1,Foul on Vasilis Magkos.,16,21
6:57,2230,David Pekarek made Three Point Jumper. Assisted by Joseph Chartouny.,16,24
6:39,-1,Walter King Turnover.,16,24
6:37,2230,Will Tavares Steal.,16,24
6:32,2230,Antwoine Anderson missed Three Point Jumper.,16,24
6:32,-1,New York Institute Of Technology Defensive Rebound.,16,24
6:20,-1,Kieran Hamilton made Three Point Jumper. Assisted by Domonic Josephs.,19,24
5:58,2230,David Pekarek Turnover.,19,24
5:57,-1,Walter King Steal.,19,24
5:54,-1,Walter King missed Layup.,19,24
5:54,-1,Kieran Hamilton Offensive Rebound.,19,24
5:50,-1,Kieran Hamilton missed Layup.,19,24
5:50,2230,Nemanja Zarkovic Defensive Rebound.,19,24
5:39,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,19,27
5:27,-1,Jeffrey Hayden Turnover.,19,27
5:01,2230,Nemanja Zarkovic missed Three Point Jumper.,19,27
5:01,-1,Walter King Defensive Rebound.,19,27
4:49,-1,Walter King Turnover.,19,27
4:49,2230,Antwoine Anderson Steal.,19,27
4:49,-1,Foul on Kieran Hamilton.,19,27
4:49,2230,Will Tavares made Free Throw.,19,28
4:49,2230,Will Tavares missed Free Throw.,19,28
4:49,2230,Fordham Deadball Team Rebound.,19,28
4:44,2230,David Pekarek missed Three Point Jumper.,19,28
4:44,-1,Walter King Defensive Rebound.,19,28
4:30,-1,Kieran Hamilton made Three Point Jumper. Assisted by Domonic Josephs.,22,28
4:12,-1,Foul on Henrik Davidsen.,22,28
4:12,2230,Will Tavares missed Free Throw.,22,28
4:12,2230,Fordham Deadball Team Rebound.,22,28
4:12,2230,Will Tavares made Free Throw.,22,29
3:56,-1,Jon Feiler made Layup. Assisted by Jeffrey Hayden.,24,29
3:34,2230,Antwoine Anderson missed Three Point Jumper.,24,29
3:34,-1,Walter King Defensive Rebound.,24,29
3:20,2230,Joseph Chartouny Steal.,24,29
3:20,-1,Walter King Turnover.,24,29
3:17,-1,Foul on Domonic Josephs.,24,29
3:17,2230,Official TV Timeout,24,29
3:17,2230,Prokop Slanina made Free Throw.,24,30
3:17,2230,Prokop Slanina made Free Throw.,24,31
3:14,-1,Kieran Hamilton made Layup. Assisted by Domonic Josephs.,26,31
2:52,2230,Christian Sengfelder made Dunk. Assisted by Joseph Chartouny.,26,33
2:40,-1,Domonic Josephs missed Jumper.,26,33
2:40,2230,Christian Sengfelder Defensive Rebound.,26,33
2:40,-1,Foul on Jon Feiler.,26,33
2:40,2230,Christian Sengfelder missed Free Throw.,26,33
2:40,2230,Fordham Deadball Team Rebound.,26,33
2:40,2230,Christian Sengfelder missed Free Throw.,26,33
2:40,-1,Henrik Davidsen Defensive Rebound.,26,33
2:27,2230,Foul on Antwoine Anderson.,26,33
2:27,-1,Walter King made Free Throw.,27,33
2:27,-1,Walter King made Free Throw.,28,33
2:16,2230,Will Tavares made Three Point Jumper. Assisted by Joseph Chartouny.,28,36
2:02,-1,Kachi Nzerem made Three Point Jumper. Assisted by Walter King.,31,36
1:50,2230,Nemanja Zarkovic made Three Point Jumper. Assisted by Joseph Chartouny.,31,39
1:23,-1,Walter King made Jumper.,33,39
1:11,2230,David Pekarek missed Three Point Jumper.,33,39
1:11,-1,Kachi Nzerem Defensive Rebound.,33,39
0:47,-1,Kachi Nzerem missed Jumper.,33,39
0:47,2230,Nemanja Zarkovic Defensive Rebound.,33,39
0:38,2230,Will Tavares made Three Point Jumper. Assisted by Nemanja Zarkovic.,33,42
0:08,-1,Kachi Nzerem missed Three Point Jumper.,33,42
0:08,-1,Jeffrey Hayden Offensive Rebound.,33,42
0:05,-1,Jeffrey Hayden made Layup.,35,42
0:00,2230,End of 1st half,35,42
19:52,-1,Walter King Turnover.,35,42
19:50,2230,Antwoine Anderson Steal.,35,42
19:45,2230,Jesse Bunting made Layup. Assisted by Antwoine Anderson.,35,44
19:31,-1,Walter King made Layup.,37,44
19:12,2230,Javontae Hawkins missed Three Point Jumper.,37,44
19:12,2230,Jesse Bunting Offensive Rebound.,37,44
19:07,2230,Christian Sengfelder missed Three Point Jumper.,37,44
19:07,-1,Kachi Nzerem Defensive Rebound.,37,44
18:56,-1,Jon Feiler missed Jumper.,37,44
18:56,2230,Jesse Bunting Defensive Rebound.,37,44
18:47,2230,Christian Sengfelder missed Three Point Jumper.,37,44
18:47,-1,Walter King Defensive Rebound.,37,44
18:33,-1,Jon Feiler missed Jumper.,37,44
18:33,-1,Kachi Nzerem Offensive Rebound.,37,44
18:31,-1,Kachi Nzerem missed Layup.,37,44
18:31,-1,Jeffrey Hayden Offensive Rebound.,37,44
18:26,-1,Jon Feiler Turnover.,37,44
18:26,2230,Joseph Chartouny Steal.,37,44
18:24,2230,Joseph Chartouny Turnover.,37,44
17:54,-1,Jon Feiler made Layup. Assisted by Jeffrey Hayden.,39,44
17:25,2230,Javontae Hawkins missed Jumper.,39,44
17:25,2230,Jesse Bunting Offensive Rebound.,39,44
17:23,2230,Jesse Bunting made Dunk.,39,46
17:07,-1,Jon Feiler missed Jumper.,39,46
17:07,-1,Jeffrey Hayden Offensive Rebound.,39,46
17:06,2230,Foul on Joseph Chartouny.,39,46
17:04,-1,Jeffrey Hayden made Layup. Assisted by Kieran Hamilton.,41,46
17:04,2230,Foul on Prokop Slanina.,41,46
17:04,-1,Jeffrey Hayden missed Free Throw.,41,46
17:04,2230,Christian Sengfelder Defensive Rebound.,41,46
16:49,2230,Joseph Chartouny made Layup.,41,48
16:38,-1,Kachi Nzerem Turnover.,41,48
16:21,2230,Antwoine Anderson missed Layup.,41,48
16:21,-1,Jon Feiler Defensive Rebound.,41,48
16:16,-1,Henrik Davidsen missed Three Point Jumper.,41,48
16:16,-1,New York Institute Of Technology Deadball Team Rebound.,41,48
16:14,2230,Foul on Will Tavares.,41,48
16:12,-1,Jon Feiler missed Jumper.,41,48
16:12,-1,Jeffrey Hayden Offensive Rebound.,41,48
16:08,-1,Jeffrey Hayden made Layup.,43,48
15:50,2230,Nemanja Zarkovic missed Three Point Jumper.,43,48
15:50,2230,Javontae Hawkins Offensive Rebound.,43,48
15:44,2230,Javontae Hawkins missed Layup.,43,48
15:44,2230,Nemanja Zarkovic Offensive Rebound.,43,48
15:40,2230,Javontae Hawkins made Dunk. Assisted by Nemanja Zarkovic.,43,50
15:22,-1,Foul on Henrik Davidsen.,43,50
15:22,-1,Henrik Davidsen Turnover.,43,50
15:22,2230,Official TV Timeout,43,50
15:09,2230,Will Tavares made Three Point Jumper. Assisted by Joseph Chartouny.,43,53
14:48,-1,Jon Feiler made Jumper. Assisted by Jeffrey Hayden.,45,53
14:39,2230,Christian Sengfelder made Three Point Jumper. Assisted by Nemanja Zarkovic.,45,56
14:22,-1,Jon Feiler made Jumper. Assisted by Henrik Davidsen.,47,56
14:21,2230,Will Tavares Turnover.,47,56
14:20,-1,Kieran Hamilton Steal.,47,56
14:19,-1,New York Institute Of Technology  Timeout,47,56
14:19,2230,Official TV Timeout,47,56
14:04,-1,Jon Feiler missed Jumper.,47,56
14:04,2230,Joseph Chartouny Defensive Rebound.,47,56
13:43,2230,Javontae Hawkins made Layup. Assisted by Joseph Chartouny.,47,58
13:14,-1,Walter King missed Three Point Jumper.,47,58
13:14,-1,Jeffrey Hayden Offensive Rebound.,47,58
13:08,-1,Kieran Hamilton Turnover.,47,58
13:07,2230,Will Tavares Steal.,47,58
12:59,2230,Antwoine Anderson made Layup.,47,60
12:53,-1,Jon Feiler made Layup. Assisted by Jeffrey Hayden.,49,60
12:31,2230,Joseph Chartouny made Layup. Assisted by Antwoine Anderson.,49,62
12:04,-1,Walter King made Jumper.,51,62
11:46,2230,Will Tavares missed Three Point Jumper.,51,62
11:46,-1,Jon Feiler Defensive Rebound.,51,62
11:27,2230,Foul on Javontae Hawkins.,51,62
11:27,2230,Official TV Timeout,51,62
11:14,-1,Jon Feiler made Jumper. Assisted by Kieran Hamilton.,53,62
10:59,2230,Jesse Bunting made Layup. Assisted by Joseph Chartouny.,53,64
10:35,-1,Edwin Sainvil missed Three Point Jumper.,53,64
10:35,2230,Christian Sengfelder Defensive Rebound.,53,64
10:17,2230,Christian Sengfelder missed Three Point Jumper.,53,64
10:17,-1,Edwin Sainvil Defensive Rebound.,53,64
10:09,-1,Kieran Hamilton missed Three Point Jumper.,53,64
10:09,-1,Domonic Josephs Offensive Rebound.,53,64
10:06,-1,Domonic Josephs made Layup.,55,64
9:47,2230,Nemanja Zarkovic missed Three Point Jumper.,55,64
9:47,-1,Jon Feiler Defensive Rebound.,55,64
9:28,-1,Jeffrey Hayden made Layup. Assisted by Jon Feiler.,57,64
9:11,2230,David Pekarek made Layup.,57,66
9:11,-1,Foul on Edwin Sainvil.,57,66
9:11,2230,David Pekarek made Free Throw.,57,67
8:58,2230,Foul on Prokop Slanina.,57,67
8:56,-1,Jeffrey Hayden made Jumper.,59,67
8:38,2230,Javontae Hawkins missed Jumper.,59,67
8:38,2230,Jesse Bunting Offensive Rebound.,59,67
8:28,2230,Jesse Bunting made Layup.,59,69
8:25,-1,Kieran Hamilton missed Jumper.,59,69
8:25,2230,Javontae Hawkins Defensive Rebound.,59,69
8:17,2230,Javontae Hawkins made Layup.,59,71
8:17,-1,Foul on Zach Moore.,59,71
8:17,2230,Javontae Hawkins made Free Throw.,59,72
8:03,2230,Foul on Joseph Chartouny.,59,72
8:03,-1,Jon Feiler made Free Throw.,60,72
8:03,-1,Jon Feiler made Free Throw.,61,72
7:54,-1,Foul on Jon Feiler.,61,72
7:54,2230,Official TV Timeout,61,72
7:54,2230,Joseph Chartouny missed Free Throw.,61,72
7:54,2230,Fordham Deadball Team Rebound.,61,72
7:54,2230,Joseph Chartouny made Free Throw.,61,73
7:46,-1,Jeffrey Hayden Turnover.,61,73
7:33,2230,Antwoine Anderson made Three Point Jumper. Assisted by Joseph Chartouny.,61,76
7:23,-1,Jeffrey Hayden Turnover.,61,76
7:22,2230,Javontae Hawkins Steal.,61,76
7:20,2230,Antwoine Anderson made Layup. Assisted by Will Tavares.,61,78
7:07,-1,Domonic Josephs missed Jumper.,61,78
7:07,2230,Christian Sengfelder Block.,61,78
7:06,-1,Jeffrey Hayden Offensive Rebound.,61,78
7:02,-1,Jon Feiler missed Three Point Jumper.,61,78
7:02,2230,Christian Sengfelder Defensive Rebound.,61,78
6:48,2230,Joseph Chartouny made Layup.,61,80
6:20,-1,Foul on Zach Moore.,61,80
6:20,-1,Zach Moore Turnover.,61,80
6:08,2230,Joseph Chartouny made Layup.,61,82
6:08,-1,Foul on Jeffrey Hayden.,61,82
6:08,2230,Joseph Chartouny missed Free Throw.,61,82
6:08,-1,Henrik Davidsen Defensive Rebound.,61,82
5:55,-1,Jeffrey Hayden made Jumper.,63,82
5:24,2230,Javontae Hawkins made Layup.,63,84
5:17,2230,Foul on Prokop Slanina.,63,84
5:17,-1,Jon Feiler missed Free Throw.,63,84
5:17,2230,Javontae Hawkins Defensive Rebound.,63,84
5:09,2230,Javontae Hawkins missed Layup.,63,84
5:09,-1,Domonic Josephs Defensive Rebound.,63,84
5:00,-1,Domonic Josephs Turnover.,63,84
4:59,2230,Joseph Chartouny Steal.,63,84
4:57,2230,Javontae Hawkins made Layup. Assisted by Joseph Chartouny.,63,86
4:47,-1,Jon Feiler missed Jumper.,63,86
4:47,2230,Joseph Chartouny Defensive Rebound.,63,86
4:27,2230,Christian Sengfelder made Layup. Assisted by Joseph Chartouny.,63,88
4:19,-1,Jeffrey Hayden made Layup.,65,88
3:57,2230,Christian Sengfelder made Jumper. Assisted by Joseph Chartouny.,65,90
3:45,-1,Jeffrey Hayden made Layup. Assisted by Walter King.,67,90
3:44,-1,New York Institute Of Technology  Timeout,67,90
3:44,2230,Official TV Timeout,67,90
3:32,2230,Joseph Chartouny made Layup.,67,92
3:11,-1,Jon Feiler Turnover.,67,92
3:10,2230,Antwoine Anderson Steal.,67,92
3:07,2230,Joseph Chartouny made Three Point Jumper. Assisted by Antwoine Anderson.,67,95
2:52,-1,Jeffrey Hayden Turnover.,67,95
2:49,2230,Joseph Chartouny Steal.,67,95
2:47,-1,Foul on Justin Fackler.,67,95
2:47,2230,Javontae Hawkins made Free Throw.,67,96
2:47,2230,Javontae Hawkins made Free Throw.,67,97
2:35,2230,Cavit Havsa missed Three Point Jumper.,67,97
2:35,-1,Vasilis Magkos Defensive Rebound.,67,97
2:32,2230,Foul on Thomas Sanchez.,67,97
2:32,-1,Vasilis Magkos made Free Throw.,68,97
2:32,-1,Vasilis Magkos made Free Throw.,69,97
2:09,2230,Jesse Bunting made Dunk. Assisted by Sinan Saglam.,69,99
1:55,2230,Foul on Cavit Havsa.,69,99
1:55,-1,Leonard James made Free Throw.,70,99
1:55,-1,Leonard James made Free Throw.,71,99
1:33,2230,Chuba Ohams Turnover.,71,99
1:33,-1,Edwin Sainvil Steal.,71,99
1:25,-1,Vasilis Magkos missed Three Point Jumper.,71,99
1:25,-1,Leonard James Offensive Rebound.,71,99
1:21,-1,Leonard James made Layup.,73,99
1:06,2230,Chuba Ohams made Layup.,73,101
1:06,-1,Foul on Arvelle Jones III.,73,101
1:06,2230,Chuba Ohams missed Free Throw.,73,101
1:06,-1,Leonard James Defensive Rebound.,73,101
0:41,-1,Josh Primus missed Jumper.,73,101
0:41,2230,Sinan Saglam Defensive Rebound.,73,101
0:22,2230,Chuba Ohams missed Layup.,73,101
0:22,-1,Zach Moore Defensive Rebound.,73,101
0:15,-1,Zach Moore made Layup.,75,101
0:15,2230,Foul on Brenton Petty.,75,101
0:15,-1,Zach Moore missed Free Throw.,75,101
0:15,2230,Cavit Havsa Defensive Rebound.,75,101
0:00,2230,End of Game,75,101
