Samford,301,San Diego,2535
9:19,2535,Demetrius Denzel-Dyson Defensive Rebound.,25,11
8:52,2535,Wyatt Walker missed Jumper.,25,11
8:52,301,Nassir Barrino Defensive Rebound.,25,11
8:46,2535,Foul on Demetrius Denzel-Dyson.,25,11
8:46,301,Olin Carter III missed Free Throw.,25,11
8:46,301,San Diego Deadball Team Rebound.,25,11
8:46,301,Olin Carter III made Free Throw.,25,12
8:46,301,Olin Carter III made Free Throw.,25,13
8:29,2535,Alex Thompson missed Jumper.,25,13
8:29,301,Cameron Neubauer Defensive Rebound.,25,13
8:13,301,Brett Bailey missed Jumper.,25,13
8:13,2535,Wyatt Walker Defensive Rebound.,25,13
8:02,2535,Christen Cunningham Turnover.,25,13
8:00,301,Mark Carbone Steal.,25,13
8:00,2535,Foul on James Boone.,25,13
8:00,301,Official TV Timeout,25,13
7:57,301,Nassir Barrino made Free Throw.,25,14
7:57,301,Nassir Barrino missed Free Throw.,25,14
7:57,2535,Wyatt Walker Defensive Rebound.,25,14
7:40,2535,Triston Chambers missed Three Point Jumper.,25,14
7:40,301,Mark Carbone Defensive Rebound.,25,14
7:24,301,San Diego  Turnover.,25,14
7:12,2535,Terry Brutus made Layup.,27,14
6:59,301,Brett Bailey Turnover.,27,14
6:47,2535,Wyatt Walker missed Jumper.,27,14
6:47,301,Nassir Barrino Defensive Rebound.,27,14
6:35,301,Nassir Barrino missed Jumper.,27,14
6:35,2535,Wyatt Walker Defensive Rebound.,27,14
6:26,2535,Josh Sharkey missed Jumper.,27,14
6:26,301,Olin Carter III Defensive Rebound.,27,14
6:18,301,Mark Carbone made Three Point Jumper. Assisted by Olin Carter III.,27,17
5:49,2535,James Boone missed Three Point Jumper.,27,17
5:49,301,Nassir Barrino Defensive Rebound.,27,17
5:24,301,Mark Carbone made Three Point Jumper. Assisted by Olin Carter III.,27,20
4:47,2535,Wyatt Walker Turnover.,27,20
4:46,301,Brett Bailey Steal.,27,20
4:37,301,Cameron Neubauer missed Three Point Jumper.,27,20
4:37,2535,Wyatt Walker Defensive Rebound.,27,20
4:18,301,Foul on Cameron Neubauer.,27,20
4:13,2535,Terry Brutus missed Jumper.,27,20
4:13,301,Nassir Barrino Defensive Rebound.,27,20
3:47,301,Olin Carter III Turnover.,27,20
3:47,301,Official TV Timeout,27,20
3:32,2535,Alex Thompson missed Jumper.,27,20
3:32,2535,Terry Brutus Offensive Rebound.,27,20
3:23,2535,Terry Brutus missed Jumper.,27,20
3:23,301,Frank Ryder Defensive Rebound.,27,20
3:19,2535,Foul on Josh Sharkey.,27,20
3:19,301,Nassir Barrino made Free Throw.,27,21
3:19,301,Nassir Barrino made Free Throw.,27,22
3:13,301,Foul on Olin Carter III.,27,22
3:12,2535,Alex Thompson made Jumper. Assisted by Christen Cunningham.,29,22
3:12,301,Foul on Juwan Gray.,29,22
3:12,2535,Alex Thompson missed Free Throw.,29,22
3:12,2535,Christen Cunningham Offensive Rebound.,29,22
3:05,2535,Alex Thompson missed Three Point Jumper.,29,22
3:05,2535,Wyatt Walker Offensive Rebound.,29,22
3:03,301,Foul on Mark Carbone.,29,22
3:03,2535,Wyatt Walker made Free Throw.,30,22
3:03,2535,Wyatt Walker made Free Throw.,31,22
2:49,301,Frank Ryder missed Jumper.,31,22
2:49,301,San Diego Offensive Rebound.,31,22
2:36,301,Frank Ryder missed Jumper.,31,22
2:36,2535,Wyatt Walker Defensive Rebound.,31,22
2:21,2535,Wyatt Walker made Jumper. Assisted by Josh Sharkey.,33,22
2:12,301,Nassir Barrino Turnover.,33,22
2:11,2535,Josh Sharkey Steal.,33,22
2:10,301,Foul on Nassir Barrino.,33,22
2:10,2535,Josh Sharkey made Free Throw.,34,22
2:10,2535,Josh Sharkey made Free Throw.,35,22
1:47,301,Olin Carter III made Three Point Jumper. Assisted by Cameron Neubauer.,35,25
1:19,301,Foul on Brett Bailey.,35,25
1:19,2535,Alex Thompson made Free Throw.,36,25
1:19,2535,Alex Thompson made Free Throw.,37,25
1:03,301,Tyler Williams missed Jumper.,37,25
1:03,2535,Wyatt Walker Defensive Rebound.,37,25
0:51,2535,Wyatt Walker missed Jumper.,37,25
0:51,301,Mark Carbone Block.,37,25
0:47,301,Cameron Neubauer Defensive Rebound.,37,25
0:40,301,Mark Carbone missed Three Point Jumper.,37,25
0:40,2535,Christen Cunningham Defensive Rebound.,37,25
0:31,2535,Samford  Timeout,37,25
0:13,2535,Christen Cunningham missed Jumper.,37,25
0:13,301,Juwan Gray Defensive Rebound.,37,25
0:05,301,Mark Carbone missed Three Point Jumper.,37,25
0:05,2535,Wyatt Walker Defensive Rebound.,37,25
0:00,301,End of 1st half,37,25
19:48,301,Cameron Neubauer made Layup. Assisted by Olin Carter III.,37,27
19:28,2535,Alex Thompson Turnover.,37,27
19:27,301,Nassir Barrino Steal.,37,27
19:26,301,Nassir Barrino made Layup.,37,29
19:20,301,Foul on Olin Carter III.,37,29
18:45,2535,Demetrius Denzel-Dyson made Jumper. Assisted by Christen Cunningham.,39,29
18:42,301,Brett Bailey missed Three Point Jumper.,39,29
18:42,2535,Triston Chambers Defensive Rebound.,39,29
18:16,2535,Christen Cunningham made Three Point Jumper. Assisted by Demetrius Denzel-Dyson.,42,29
17:57,301,Tyler Williams made Three Point Jumper. Assisted by Nassir Barrino.,42,32
17:33,2535,Alex Thompson made Jumper.,44,32
17:14,2535,Foul on Alex Thompson.,44,32
17:11,301,Cameron Neubauer made Free Throw.,44,33
17:11,301,Cameron Neubauer made Free Throw.,44,34
16:58,2535,Alex Thompson made Three Point Jumper.,47,34
16:33,301,Nassir Barrino missed Three Point Jumper.,47,34
16:33,301,Brett Bailey Offensive Rebound.,47,34
16:27,301,Cameron Neubauer made Jumper. Assisted by Brett Bailey.,47,36
16:09,301,Foul on Mark Carbone.,47,36
16:07,2535,Demetrius Denzel-Dyson made Jumper. Assisted by Josh Sharkey.,49,36
15:56,301,Cameron Neubauer Turnover.,49,36
15:55,2535,Josh Sharkey Steal.,49,36
15:43,2535,Josh Sharkey made Layup.,51,36
15:34,301,Nassir Barrino made Layup.,51,38
15:04,2535,Christen Cunningham missed Jumper.,51,38
15:04,301,Cameron Neubauer Defensive Rebound.,51,38
15:04,2535,Foul on Terry Brutus.,51,38
15:04,301,Official TV Timeout,51,38
14:47,301,San Diego  Turnover.,51,38
14:22,2535,Terry Brutus missed Three Point Jumper.,51,38
14:22,301,Nassir Barrino Defensive Rebound.,51,38
14:11,301,Cameron Neubauer missed Three Point Jumper.,51,38
14:11,2535,Terry Brutus Defensive Rebound.,51,38
14:02,301,Foul on Nassir Barrino.,51,38
14:02,2535,Wyatt Walker made Free Throw.,52,38
14:02,2535,Wyatt Walker missed Free Throw.,52,38
14:02,301,Cameron Neubauer Defensive Rebound.,52,38
13:46,2535,Foul on Christen Cunningham.,52,38
13:46,301,Olin Carter III missed Free Throw.,52,38
13:46,301,San Diego Deadball Team Rebound.,52,38
13:46,301,Olin Carter III missed Free Throw.,52,38
13:46,2535,Wyatt Walker Defensive Rebound.,52,38
13:24,2535,Alex Thompson missed Three Point Jumper.,52,38
13:24,2535,Wyatt Walker Offensive Rebound.,52,38
13:15,2535,Christen Cunningham missed Jumper.,52,38
13:15,301,Jose Martinez Block.,52,38
13:15,2535,Samford Offensive Rebound.,52,38
13:03,2535,Wyatt Walker made Layup. Assisted by Alex Thompson.,54,38
12:52,301,Jose Martinez Turnover.,54,38
12:50,2535,Josh Sharkey Steal.,54,38
12:48,2535,Josh Sharkey missed Jumper.,54,38
12:48,2535,Gerald Smith Offensive Rebound.,54,38
12:41,2535,Gerald Smith made Jumper.,56,38
12:38,301,San Diego  Turnover.,56,38
12:38,301,Official TV Timeout,56,38
12:20,2535,Christen Cunningham missed Three Point Jumper.,56,38
12:20,2535,Alex Thompson Offensive Rebound.,56,38
12:15,2535,Alex Thompson missed Jumper.,56,38
12:15,2535,Alex Thompson Offensive Rebound.,56,38
12:12,2535,Alex Thompson missed Jumper.,56,38
12:12,301,Nassir Barrino Defensive Rebound.,56,38
12:06,2535,Foul on Josh Sharkey.,56,38
11:57,301,Nassir Barrino made Jumper.,56,40
11:57,2535,Foul on Wyatt Walker.,56,40
11:57,301,Official TV Timeout,56,40
11:57,301,Nassir Barrino missed Free Throw.,56,40
11:57,2535,Demetrius Denzel-Dyson Defensive Rebound.,56,40
11:41,2535,Alex Thompson made Three Point Jumper.,59,40
11:18,301,Olin Carter III made Layup.,59,42
11:00,2535,Wyatt Walker made Layup. Assisted by Alex Thompson.,61,42
10:56,301,Nassir Barrino Turnover.,61,42
10:52,2535,Alex Thompson missed Three Point Jumper.,61,42
10:52,2535,Christen Cunningham Offensive Rebound.,61,42
10:47,2535,Christen Cunningham Turnover.,61,42
10:46,301,Olin Carter III Steal.,61,42
10:42,2535,Foul on Triston Chambers.,61,42
10:42,301,Mark Carbone made Free Throw.,61,43
10:42,301,Mark Carbone made Free Throw.,61,44
10:24,2535,Wyatt Walker missed Jumper.,61,44
10:24,2535,Demetrius Denzel-Dyson Offensive Rebound.,61,44
10:04,2535,Triston Chambers missed Three Point Jumper.,61,44
10:04,2535,Wyatt Walker Offensive Rebound.,61,44
10:03,301,Foul on Cameron Neubauer.,61,44
9:38,2535,Christen Cunningham made Jumper.,63,44
9:23,301,Brett Bailey missed Jumper.,63,44
9:23,2535,Wyatt Walker Defensive Rebound.,63,44
9:16,2535,Triston Chambers missed Three Point Jumper.,63,44
9:16,301,Mark Carbone Defensive Rebound.,63,44
9:09,301,Brett Bailey made Jumper.,63,46
9:09,2535,Foul on Alex Thompson.,63,46
9:09,301,Brett Bailey made Free Throw.,63,47
8:56,2535,Christen Cunningham made Jumper. Assisted by Wyatt Walker.,65,47
8:44,301,Juwan Gray made Jumper.,65,49
8:33,2535,Demetrius Denzel-Dyson missed Three Point Jumper.,65,49
8:33,2535,Samford Offensive Rebound.,65,49
8:15,2535,Christen Cunningham missed Three Point Jumper.,65,49
8:15,301,Olin Carter III Defensive Rebound.,65,49
8:00,301,Mark Carbone missed Three Point Jumper.,65,49
8:00,2535,Terry Brutus Defensive Rebound.,65,49
7:50,301,Official TV Timeout,65,49
7:49,301,Foul on Tyler Williams.,65,49
7:49,2535,Demetrius Denzel-Dyson made Free Throw.,66,49
7:49,2535,Demetrius Denzel-Dyson made Free Throw.,67,49
7:41,2535,Foul on Wyatt Walker.,67,49
7:41,301,Juwan Gray made Free Throw.,67,50
7:41,301,Juwan Gray made Free Throw.,67,51
7:09,2535,Samford  Turnover.,67,51
6:51,301,Olin Carter III missed Three Point Jumper.,67,51
6:51,2535,Terry Brutus Defensive Rebound.,67,51
6:42,2535,Josh Sharkey made Layup.,69,51
6:29,301,Olin Carter III missed Three Point Jumper.,69,51
6:29,301,Juwan Gray Offensive Rebound.,69,51
6:26,301,Juwan Gray missed Jumper.,69,51
6:26,301,Tyler Williams Offensive Rebound.,69,51
6:15,2535,Foul on Terry Brutus.,69,51
6:15,301,Tyler Williams missed Free Throw.,69,51
6:15,301,San Diego Deadball Team Rebound.,69,51
6:15,301,Tyler Williams missed Free Throw.,69,51
6:15,2535,Alex Thompson Defensive Rebound.,69,51
5:58,2535,Christen Cunningham made Layup. Assisted by Wyatt Walker.,71,51
5:45,301,Nassir Barrino made Layup.,71,53
5:18,301,Foul on Olin Carter III.,71,53
5:18,2535,Josh Sharkey missed Free Throw.,71,53
5:18,2535,Samford Deadball Team Rebound.,71,53
5:18,2535,Josh Sharkey made Free Throw.,72,53
5:18,2535,Samford  Timeout,72,53
5:06,301,Nassir Barrino made Layup.,72,55
5:06,2535,Foul on Wyatt Walker.,72,55
5:06,301,Nassir Barrino made Free Throw.,72,56
4:59,2535,Demetrius Denzel-Dyson made Layup.,74,56
4:31,301,Olin Carter III missed Three Point Jumper.,74,56
4:31,2535,Alex Thompson Defensive Rebound.,74,56
4:07,301,Foul on Cameron Neubauer.,74,56
4:07,2535,Wyatt Walker made Free Throw.,75,56
4:07,2535,Wyatt Walker missed Free Throw.,75,56
4:07,301,Juwan Gray Defensive Rebound.,75,56
3:43,301,Frank Ryder made Jumper.,75,58
3:19,2535,Wyatt Walker missed Jumper.,75,58
3:19,301,Juwan Gray Defensive Rebound.,75,58
3:11,301,Frank Ryder missed Jumper.,75,58
3:11,2535,Demetrius Denzel-Dyson Defensive Rebound.,75,58
2:42,2535,Wyatt Walker made Jumper. Assisted by Christen Cunningham.,77,58
2:18,301,Olin Carter III made Three Point Jumper. Assisted by Tyler Williams.,77,61
1:45,2535,Christen Cunningham made Three Point Jumper.,80,61
1:33,2535,Foul on Wyatt Walker.,80,61
1:33,301,Official TV Timeout,80,61
1:33,301,Frank Ryder made Free Throw.,80,62
1:33,301,Frank Ryder missed Free Throw.,80,62
1:33,2535,Eric Adams Defensive Rebound.,80,62
1:23,2535,Josh Sharkey made Three Point Jumper. Assisted by James Boone.,83,62
1:07,301,Juwan Gray made Three Point Jumper. Assisted by Mitch Schafer.,83,65
0:50,2535,Josh Sharkey missed Three Point Jumper.,83,65
0:50,301,Juwan Gray Defensive Rebound.,83,65
0:40,301,Mitch Schafer missed Three Point Jumper.,83,65
0:40,2535,Eric Adams Defensive Rebound.,83,65
0:23,2535,Tanner Tapp missed Three Point Jumper.,83,65
0:23,2535,Eric Adams Offensive Rebound.,83,65
0:00,301,End of Game,83,65
