Jacksonville,2065,Bethune-Cookman,294
4:53,294,Darien Fernandez Steal.,31,23
4:35,294,Devin Harris Turnover.,31,23
4:23,2065,Quinton Forrest missed Jumper.,31,23
4:23,294,J.R. Holder Defensive Rebound.,31,23
4:13,294,Darius Dawkins missed Three Point Jumper.,31,23
4:13,294,Omar El Manasterly Offensive Rebound.,31,23
3:59,294,Darius Dawkins made Three Point Jumper. Assisted by Darien Fernandez.,34,23
3:38,294,Foul on Darius Dawkins.,34,23
3:38,2065,Brandon Suggs made Free Throw.,34,24
3:38,2065,Brandon Suggs missed Free Throw.,34,24
3:38,294,Demontrez Austin Defensive Rebound.,34,24
3:16,294,Demontrez Austin made Jumper. Assisted by Darien Fernandez.,36,24
2:48,2065,Brandon Tabb missed Three Point Jumper.,36,24
2:48,294,Devin Harris Defensive Rebound.,36,24
2:36,294,Darien Fernandez missed Jumper.,36,24
2:36,2065,Jeffrey Altidort Block.,36,24
2:34,2065,Brandon Suggs Defensive Rebound.,36,24
2:34,294,Foul on Darien Fernandez.,36,24
2:20,2065,Quinton Forrest missed Layup.,36,24
2:20,2065,Bethune-Cookman Offensive Rebound.,36,24
2:09,2065,Quinton Forrest made Layup. Assisted by Brandon Tabb.,36,26
1:38,294,J.R. Holder made Dunk.,38,26
1:29,2065,Brandon Tabb made Three Point Jumper. Assisted by Quinton Forrest.,38,29
1:10,294,Demontrez Austin Turnover.,38,29
0:55,2065,Jeffrey Altidort missed Jumper.,38,29
0:55,294,J.R. Holder Defensive Rebound.,38,29
0:50,2065,Foul on Josue Salaam.,38,29
0:50,294,Devin Harris missed Free Throw.,38,29
0:50,294,Jacksonville Deadball Team Rebound.,38,29
0:50,294,Devin Harris made Free Throw.,39,29
0:25,2065,Quinton Forrest Turnover.,39,29
0:24,294,Demontrez Austin Steal.,39,29
0:20,294,J.R. Holder made Jumper. Assisted by Devin Harris.,41,29
0:02,2065,Quinton Forrest missed Three Point Jumper.,41,29
0:02,294,Jacksonville Defensive Rebound.,41,29
0:01,294,Jacksonville  Timeout,41,29
0:00,2065,End of 1st half,41,29
19:50,2065,Brandon Tabb missed Three Point Jumper.,41,29
19:50,294,Devin Harris Defensive Rebound.,41,29
19:33,294,J.R. Holder made Jumper.,43,29
19:11,2065,Reggie Baker missed Three Point Jumper.,43,29
19:11,294,J.R. Holder Defensive Rebound.,43,29
19:02,294,Darien Fernandez missed Layup.,43,29
19:02,2065,Brandon Suggs Defensive Rebound.,43,29
18:56,2065,Reggie Baker made Jumper.,43,31
18:56,294,Foul on Cody Helgeland.,43,31
18:56,2065,Reggie Baker made Free Throw.,43,32
18:41,2065,Foul on Brandon Suggs.,43,32
18:41,294,J.R. Holder made Free Throw.,44,32
18:41,294,J.R. Holder made Free Throw.,45,32
18:28,2065,Brandon Tabb made Jumper.,45,34
18:28,294,Foul on Omar El Manasterly.,45,34
18:28,2065,Brandon Tabb made Free Throw.,45,35
18:14,294,Cody Helgeland missed Three Point Jumper.,45,35
18:14,2065,Reggie Baker Defensive Rebound.,45,35
18:07,2065,Brandon Tabb missed Layup.,45,35
18:07,294,Cody Helgeland Defensive Rebound.,45,35
17:56,294,Cody Helgeland made Layup.,47,35
17:56,2065,Foul on Brandon Suggs.,47,35
17:56,294,Cody Helgeland made Free Throw.,48,35
17:44,2065,Jeffrey Altidort missed Layup.,48,35
17:44,294,Omar El Manasterly Defensive Rebound.,48,35
17:26,294,Omar El Manasterly Turnover.,48,35
17:08,2065,Houston Smith missed Layup.,48,35
17:08,2065,Brandon Suggs Offensive Rebound.,48,35
17:06,2065,Brandon Suggs made Layup.,48,37
16:37,294,Darien Fernandez made Layup.,50,37
16:09,294,Foul on Omar El Manasterly.,50,37
16:09,2065,Reggie Baker missed Free Throw.,50,37
16:09,2065,Bethune-Cookman Deadball Team Rebound.,50,37
16:09,2065,Reggie Baker made Free Throw.,50,38
15:50,2065,Foul on Houston Smith.,50,38
15:50,2065,Official TV Timeout,50,38
15:50,294,Cody Helgeland missed Free Throw.,50,38
15:50,294,Jacksonville Deadball Team Rebound.,50,38
15:50,294,Cody Helgeland made Free Throw.,51,38
15:33,294,Foul on Antwon Clayton.,51,38
15:33,2065,Houston Smith missed Free Throw.,51,38
15:33,2065,Bethune-Cookman Deadball Team Rebound.,51,38
15:33,2065,Houston Smith missed Free Throw.,51,38
15:33,294,Cody Helgeland Defensive Rebound.,51,38
15:24,2065,Foul on Diamante Lewis.,51,38
15:17,294,Foul on Darien Fernandez.,51,38
15:17,294,Darien Fernandez Turnover.,51,38
14:53,2065,Diamante Lewis missed Jumper.,51,38
14:53,294,Antwon Clayton Defensive Rebound.,51,38
14:44,2065,Foul on Diamante Lewis.,51,38
14:38,294,Darius Dawkins made Jumper. Assisted by Antwon Clayton.,53,38
14:20,2065,Ulmer Manzie made Layup. Assisted by Jeffrey Altidort.,53,40
14:10,294,Antwon Clayton made Dunk. Assisted by Devin Harris.,55,40
13:40,2065,Reggie Baker missed Three Point Jumper.,55,40
13:40,294,J.R. Holder Defensive Rebound.,55,40
13:32,294,J.R. Holder missed Jumper.,55,40
13:32,2065,Ulmer Manzie Defensive Rebound.,55,40
13:25,2065,Brandon Tabb missed Jumper.,55,40
13:25,2065,Bethune-Cookman Offensive Rebound.,55,40
13:11,2065,Diamante Lewis Turnover.,55,40
13:11,2065,Foul on Diamante Lewis.,55,40
12:46,294,Antwon Clayton missed Jumper.,55,40
12:46,2065,Brandon Tabb Defensive Rebound.,55,40
12:36,2065,Brandon Tabb made Three Point Jumper. Assisted by Reggie Baker.,55,43
12:06,294,Darius Dawkins missed Jumper.,55,43
12:06,2065,Reggie Baker Defensive Rebound.,55,43
11:54,2065,Official TV Timeout,55,43
11:51,2065,Reggie Baker Turnover.,55,43
11:28,294,J.R. Holder missed Jumper.,55,43
11:28,2065,Ulmer Manzie Defensive Rebound.,55,43
11:21,2065,Brandon Tabb made Three Point Jumper. Assisted by Reggie Baker.,55,46
11:08,2065,Foul on Houston Smith.,55,46
11:08,294,J.R. Holder missed Free Throw.,55,46
11:08,2065,Brandon Tabb Defensive Rebound.,55,46
10:47,2065,Jeffrey Altidort made Three Point Jumper.,55,49
10:21,2065,Foul on Jeffrey Altidort.,55,49
10:21,294,Darien Fernandez made Free Throw.,56,49
10:21,294,Darien Fernandez made Free Throw.,57,49
10:05,2065,Brandon Tabb made Three Point Jumper. Assisted by Jeffrey Altidort.,57,52
9:42,294,Jacksonville  Timeout,57,52
9:28,294,Darien Fernandez missed Layup.,57,52
9:28,2065,Ulmer Manzie Block.,57,52
9:27,2065,Bethune-Cookman Defensive Rebound.,57,52
9:12,2065,Brandon Tabb missed Three Point Jumper.,57,52
9:12,294,J.R. Holder Defensive Rebound.,57,52
9:03,294,Devin Harris made Layup. Assisted by J.R. Holder.,59,52
8:44,2065,Houston Smith Turnover.,59,52
8:43,294,Devin Harris Steal.,59,52
8:32,294,Darien Fernandez missed Three Point Jumper.,59,52
8:32,2065,Brandon Tabb Defensive Rebound.,59,52
8:26,2065,Reggie Baker made Jumper. Assisted by Jeffrey Altidort.,59,54
8:26,294,Foul on Darien Fernandez.,59,54
8:26,2065,Reggie Baker missed Free Throw.,59,54
8:26,294,Devin Harris Defensive Rebound.,59,54
8:04,294,Darius Dawkins missed Three Point Jumper.,59,54
8:04,2065,Jeffrey Altidort Defensive Rebound.,59,54
7:57,2065,Brandon Tabb made Layup. Assisted by Jeffrey Altidort.,59,56
7:28,2065,Foul on Jeffrey Altidort.,59,56
7:28,2065,Official TV Timeout,59,56
7:28,294,Darius Dawkins missed Free Throw.,59,56
7:28,294,Jacksonville Deadball Team Rebound.,59,56
7:28,294,Darius Dawkins made Free Throw.,60,56
7:06,2065,Brandon Tabb missed Three Point Jumper.,60,56
7:06,294,Darius Dawkins Defensive Rebound.,60,56
6:51,294,Devin Harris made Layup. Assisted by J.R. Holder.,62,56
6:51,2065,Foul on Jeffrey Altidort.,62,56
6:51,294,Devin Harris made Free Throw.,63,56
6:34,2065,Ulmer Manzie made Layup. Assisted by Brandon Tabb.,63,58
6:34,294,Foul on Cody Helgeland.,63,58
