James Madison,2643,The Citadel,256
9:48,256,Gerron Scissum Offensive Rebound.,20,31
9:41,2643,Foul on Kaelon Harris.,20,31
9:41,256,Gerron Scissum made Free Throw.,21,31
9:41,256,Gerron Scissum missed Free Throw.,21,31
9:41,256,Greg Jones Offensive Rebound.,21,31
9:22,256,Darius Banks made Three Point Jumper. Assisted by Matt Lewis.,24,31
9:04,2643,Derek Webster Jr. Turnover.,24,31
8:48,256,Matt Lewis missed Jumper.,24,31
8:48,2643,The Citadel Defensive Rebound.,24,31
8:31,2643,Derek Webster Jr. made Layup. Assisted by Frankie Johnson.,24,33
8:08,2643,Foul on Leandro Allende.,24,33
8:08,256,Gerron Scissum made Free Throw.,25,33
8:08,256,Gerron Scissum made Free Throw.,26,33
7:53,2643,Quayson Williams Turnover.,26,33
7:52,256,Darius Banks Steal.,26,33
7:51,2643,Foul on Quayson Williams.,26,33
7:51,2643,Official TV Timeout,26,33
7:34,256,Darius Banks made Three Point Jumper. Assisted by Gerron Scissum.,29,33
7:15,2643,Rob Johnson Turnover.,29,33
6:48,2643,Foul on Zane Najdawi.,29,33
6:48,256,Joey McLean made Free Throw.,30,33
6:48,256,Joey McLean made Free Throw.,31,33
6:40,2643,Tariq Simmons made Layup. Assisted by Hayden Brown.,31,35
6:30,256,Stuckey Mosley Turnover.,31,35
6:29,2643,Zane Najdawi Steal.,31,35
6:29,256,Foul on Joey McLean.,31,35
6:18,2643,Hayden Brown missed Three Point Jumper.,31,35
6:18,256,Greg Jones Defensive Rebound.,31,35
6:16,2643,Foul on Zane Najdawi.,31,35
6:16,256,Greg Jones made Free Throw.,32,35
6:16,256,Greg Jones made Free Throw.,33,35
6:05,2643,Alex Reed made Three Point Jumper. Assisted by Hayden Brown.,33,38
5:43,256,Stuckey Mosley missed Three Point Jumper.,33,38
5:43,256,Greg Jones Offensive Rebound.,33,38
5:38,256,Greg Jones missed Jumper.,33,38
5:37,2643,Derek Webster Jr. Defensive Rebound.,33,38
5:22,2643,Alex Reed Turnover.,33,38
5:22,2643,Foul on Alex Reed.,33,38
5:08,256,Joey McLean missed Jumper.,33,38
5:08,2643,Alex Reed Defensive Rebound.,33,38
4:55,2643,Matt Frierson Turnover.,33,38
4:55,2643,Foul on Matt Frierson.,33,38
4:40,256,Joey McLean missed Jumper.,33,38
4:40,2643,Rob Johnson Defensive Rebound.,33,38
4:28,2643,Quayson Williams missed Three Point Jumper.,33,38
4:28,256,Stuckey Mosley Defensive Rebound.,33,38
4:19,256,Joey McLean missed Three Point Jumper.,33,38
4:19,2643,Derek Webster Jr. Defensive Rebound.,33,38
4:09,256,Foul on Greg Jones.,33,38
4:09,2643,Derek Webster Jr. made Free Throw.,33,39
4:09,2643,Derek Webster Jr. made Free Throw.,33,40
3:46,256,Matt Lewis missed Three Point Jumper.,33,40
3:46,256,Greg Jones Offensive Rebound.,33,40
3:41,256,Greg Jones missed Layup.,33,40
3:41,256,Greg Jones Offensive Rebound.,33,40
3:28,256,Darius Banks missed Three Point Jumper.,33,40
3:28,2643,The Citadel Defensive Rebound.,33,40
3:26,2643,Official TV Timeout,33,40
3:18,2643,Tariq Simmons missed Three Point Jumper.,33,40
3:18,2643,Rob Johnson Offensive Rebound.,33,40
3:16,256,Foul on Darius Banks.,33,40
3:16,2643,Rob Johnson made Free Throw.,33,41
3:16,2643,Rob Johnson made Free Throw.,33,42
2:57,256,Darius Banks Turnover.,33,42
2:54,2643,Frankie Johnson Steal.,33,42
2:41,2643,Derek Webster Jr. missed Layup.,33,42
2:41,256,Develle Phillips Block.,33,42
2:40,256,Develle Phillips Defensive Rebound.,33,42
2:21,256,Stuckey Mosley Turnover.,33,42
2:20,2643,Matt Frierson Steal.,33,42
2:15,2643,Frankie Johnson missed Layup.,33,42
2:11,256,Develle Phillips Defensive Rebound.,33,42
2:08,256,Stuckey Mosley Turnover.,33,42
1:58,2643,Matt Frierson Turnover.,33,42
1:57,256,Stuckey Mosley Steal.,33,42
1:34,256,Develle Phillips made Layup.,35,42
1:21,2643,Tariq Simmons missed Three Point Jumper.,35,42
1:21,256,Stuckey Mosley Defensive Rebound.,35,42
1:14,256,Stuckey Mosley missed Layup.,35,42
1:14,2643,Rob Johnson Block.,35,42
1:11,2643,Tariq Simmons Defensive Rebound.,35,42
0:49,2643,Tariq Simmons made Three Point Jumper.,35,45
0:46,2643,The Citadel  Timeout,35,45
0:28,256,Stuckey Mosley made Layup. Assisted by Ramone Snowden.,37,45
0:28,2643,Foul on Rob Johnson.,37,45
0:28,256,Stuckey Mosley made Free Throw.,38,45
0:14,2643,Alex Reed made Three Point Jumper. Assisted by Tariq Simmons.,38,48
0:07,256,James Madison  Timeout,38,48
0:00,2643,End of 1st half,38,48
19:47,256,Stuckey Mosley missed Three Point Jumper.,38,48
19:47,2643,Zane Najdawi Defensive Rebound.,38,48
19:39,2643,Frankie Johnson made Layup.,38,50
19:39,256,Foul on Joey McLean.,38,50
19:39,2643,Frankie Johnson made Free Throw.,38,51
19:20,256,Darius Banks Turnover.,38,51
19:19,2643,Zane Najdawi Steal.,38,51
18:53,2643,Tariq Simmons made Three Point Jumper.,38,54
18:35,256,Darius Banks made Dunk. Assisted by Joey McLean.,40,54
18:27,2643,Tariq Simmons missed Three Point Jumper.,40,54
18:27,256,Darius Banks Defensive Rebound.,40,54
18:20,256,Stuckey Mosley made Layup. Assisted by Darius Banks.,42,54
18:10,2643,Zane Najdawi made Layup.,42,56
17:51,256,Develle Phillips missed Jumper.,42,56
17:49,2643,The Citadel Defensive Rebound.,42,56
17:42,256,Foul on Develle Phillips.,42,56
17:32,2643,Kaelon Harris made Three Point Jumper. Assisted by Rob Johnson.,42,59
17:04,256,Joey McLean missed Layup.,42,59
17:04,2643,Rob Johnson Block.,42,59
17:03,256,James Madison Offensive Rebound.,42,59
17:00,256,Ramone Snowden made Three Point Jumper. Assisted by Joey McLean.,45,59
16:50,2643,Matt Frierson missed Jumper.,45,59
16:50,256,Darius Banks Defensive Rebound.,45,59
16:41,256,Stuckey Mosley Turnover.,45,59
16:40,2643,Frankie Johnson Steal.,45,59
16:19,2643,Kaelon Harris Turnover.,45,59
16:08,256,Joey McLean missed Jumper.,45,59
16:08,256,Develle Phillips Offensive Rebound.,45,59
16:03,256,Develle Phillips missed Layup.,45,59
16:03,2643,Zane Najdawi Defensive Rebound.,45,59
15:48,2643,Zane Najdawi Turnover.,45,59
15:47,256,Joey McLean Steal.,45,59
15:45,256,Darius Banks made Layup. Assisted by Ramone Snowden.,47,59
15:35,2643,Matt Frierson made Layup.,47,61
15:20,256,Stuckey Mosley missed Three Point Jumper.,47,61
15:20,256,Develle Phillips Offensive Rebound.,47,61
15:17,2643,Foul on Leandro Allende.,47,61
15:17,2643,Official TV Timeout,47,61
15:07,256,Darius Banks Turnover.,47,61
15:06,2643,Zane Najdawi Steal.,47,61
14:47,2643,Zane Najdawi made Three Point Jumper. Assisted by Leandro Allende.,47,64
14:24,2643,Foul on Derek Webster Jr..,47,64
14:18,256,Joey McLean made Jumper.,49,64
14:07,2643,Frankie Johnson missed Layup.,49,64
14:07,2643,The Citadel Offensive Rebound.,49,64
14:01,2643,Leandro Allende Turnover.,49,64
14:00,256,Stuckey Mosley Steal.,49,64
13:57,256,Stuckey Mosley Turnover.,49,64
13:57,2643,Frankie Johnson Steal.,49,64
13:51,256,Foul on Ramone Snowden.,49,64
13:44,2643,Zane Najdawi missed Three Point Jumper.,49,64
13:44,256,James Madison Defensive Rebound.,49,64
13:29,256,Joey McLean missed Three Point Jumper.,49,64
13:29,2643,Kaelon Harris Defensive Rebound.,49,64
13:02,2643,Frankie Johnson made Jumper.,49,66
12:38,256,Stuckey Mosley made Three Point Jumper.,52,66
12:24,2643,Zane Najdawi missed Layup.,52,66
12:24,256,Greg Jones Block.,52,66
12:21,256,Joey McLean Defensive Rebound.,52,66
12:18,256,Joey McLean Turnover.,52,66
12:18,2643,Matt Frierson Steal.,52,66
12:18,256,Foul on Stuckey Mosley.,52,66
11:55,2643,Tariq Simmons missed Layup.,52,66
11:55,256,Stuckey Mosley Defensive Rebound.,52,66
11:39,256,Matt Lewis missed Jumper.,52,66
11:39,2643,Rob Johnson Block.,52,66
11:39,2643,Official TV Timeout,52,66
11:39,2643,Rob Johnson Defensive Rebound.,52,66
11:33,2643,Tariq Simmons Turnover.,52,66
11:21,256,Darius Banks missed Three Point Jumper.,52,66
11:21,2643,Kaelon Harris Defensive Rebound.,52,66
11:14,2643,Rob Johnson made Layup. Assisted by Tariq Simmons.,52,68
10:50,256,Develle Phillips made Layup. Assisted by Darius Banks.,54,68
10:50,256,James Madison  Timeout,54,68
10:50,2643,Official TV Timeout,54,68
10:41,2643,Zane Najdawi Turnover.,54,68
10:40,256,Stuckey Mosley Steal.,54,68
10:25,256,Stuckey Mosley made Layup.,56,68
10:24,2643,Foul on Zane Najdawi.,56,68
10:24,256,Stuckey Mosley made Free Throw.,57,68
10:05,2643,Kaelon Harris made Layup.,57,70
9:51,256,Matt Lewis missed Layup.,57,70
9:51,256,Matt Lewis Offensive Rebound.,57,70
9:48,256,Matt Lewis made Layup.,59,70
9:48,2643,Foul on Zane Najdawi.,59,70
9:48,256,Matt Lewis made Free Throw.,60,70
9:39,2643,Kaelon Harris Turnover.,60,70
9:38,256,Joey McLean Steal.,60,70
9:31,256,Stuckey Mosley missed Three Point Jumper.,60,70
9:31,2643,Kaelon Harris Defensive Rebound.,60,70
9:19,2643,Frankie Johnson Turnover.,60,70
9:18,256,Darius Banks Steal.,60,70
9:16,256,Darius Banks made Dunk.,62,70
9:04,2643,The Citadel  Timeout,62,70
8:52,2643,Rob Johnson missed Three Point Jumper.,62,70
8:52,256,Darius Banks Defensive Rebound.,62,70
8:35,256,Matt Lewis missed Three Point Jumper.,62,70
8:35,256,Develle Phillips Offensive Rebound.,62,70
8:27,256,Darius Banks made Layup.,64,70
7:59,2643,Frankie Johnson missed Three Point Jumper.,64,70
7:59,256,Darius Banks Defensive Rebound.,64,70
7:53,256,Joey McLean made Layup. Assisted by Darius Banks.,66,70
7:39,256,Foul on Joey McLean.,66,70
7:39,2643,Official TV Timeout,66,70
7:39,2643,Leandro Allende made Free Throw.,66,71
7:39,2643,Leandro Allende missed Free Throw.,66,71
7:39,256,Develle Phillips Defensive Rebound.,66,71
7:21,256,Develle Phillips Turnover.,66,71
7:20,2643,Tariq Simmons Steal.,66,71
7:16,2643,Tariq Simmons missed Layup.,66,71
7:16,256,Ramone Snowden Defensive Rebound.,66,71
7:08,2643,Foul on Derek Webster Jr..,66,71
7:08,256,Matt Lewis missed Free Throw.,66,71
7:08,256,James Madison Deadball Team Rebound.,66,71
7:08,256,Matt Lewis missed Free Throw.,66,71
7:08,2643,Tariq Simmons Defensive Rebound.,66,71
6:48,2643,Tariq Simmons Turnover.,66,71
6:47,256,Darius Banks Steal.,66,71
6:44,256,Matt Lewis made Layup. Assisted by Darius Banks.,68,71
6:44,2643,Foul on Frankie Johnson.,68,71
6:44,256,Matt Lewis made Free Throw.,69,71
6:29,256,Foul on Develle Phillips.,69,71
6:26,2643,Zane Najdawi missed Layup.,69,71
6:26,256,Develle Phillips Defensive Rebound.,69,71
6:04,256,Joey McLean missed Three Point Jumper.,69,71
6:04,2643,Frankie Johnson Defensive Rebound.,69,71
5:55,2643,Zane Najdawi missed Three Point Jumper.,69,71
5:55,256,Stuckey Mosley Defensive Rebound.,69,71
5:31,256,Develle Phillips made Dunk. Assisted by Matt Lewis.,71,71
5:22,2643,Frankie Johnson missed Jumper.,71,71
5:22,256,Develle Phillips Block.,71,71
5:21,256,Matt Lewis Defensive Rebound.,71,71
5:17,2643,Foul on Frankie Johnson.,71,71
5:17,256,Matt Lewis made Free Throw.,72,71
5:17,256,Matt Lewis made Free Throw.,73,71
4:53,2643,Zane Najdawi made Layup.,73,73
4:29,256,Develle Phillips missed Layup.,73,73
4:29,256,Develle Phillips Offensive Rebound.,73,73
4:27,256,Develle Phillips made Layup.,75,73
4:12,2643,Zane Najdawi Turnover.,75,73
4:12,2643,Foul on Zane Najdawi.,75,73
3:49,2643,Foul on Rob Johnson.,75,73
3:49,2643,Official TV Timeout,75,73
3:49,256,Develle Phillips made Free Throw.,76,73
3:49,256,Develle Phillips made Free Throw.,77,73
3:23,2643,Tariq Simmons missed Three Point Jumper.,77,73
3:23,256,Develle Phillips Defensive Rebound.,77,73
2:55,256,Darius Banks made Three Point Jumper. Assisted by Stuckey Mosley.,80,73
2:41,2643,Rob Johnson made Three Point Jumper. Assisted by Tariq Simmons.,80,76
2:39,2643,The Citadel  Timeout,80,76
2:32,256,Stuckey Mosley missed Layup.,80,76
2:32,2643,Hayden Brown Defensive Rebound.,80,76
2:13,2643,Frankie Johnson made Jumper. Assisted by Rob Johnson.,80,78
2:00,256,Matt Lewis made Dunk. Assisted by Joey McLean.,82,78
1:48,2643,Kaelon Harris missed Layup.,82,78
1:48,256,Develle Phillips Block.,82,78
1:48,2643,The Citadel Offensive Rebound.,82,78
1:41,2643,Rob Johnson Turnover.,82,78
1:40,256,Darius Banks Steal.,82,78
1:24,256,Joey McLean missed Three Point Jumper.,82,78
1:24,2643,Rob Johnson Defensive Rebound.,82,78
1:21,256,Foul on Develle Phillips.,82,78
1:21,2643,Rob Johnson missed Free Throw.,82,78
1:21,256,James Madison Defensive Rebound.,82,78
0:51,256,Joey McLean Turnover.,82,78
0:50,2643,Tariq Simmons Steal.,82,78
0:47,2643,Frankie Johnson made Three Point Jumper. Assisted by Tariq Simmons.,82,81
0:34,256,Matt Lewis missed Layup.,82,81
0:34,256,Develle Phillips Offensive Rebound.,82,81
0:32,256,Develle Phillips Turnover.,82,81
0:32,256,Foul on Develle Phillips.,82,81
0:22,2643,Kaelon Harris made Three Point Jumper. Assisted by Frankie Johnson.,82,84
0:12,256,James Madison  Timeout,82,84
0:07,256,Stuckey Mosley missed Layup.,82,84
0:07,2643,Leandro Allende Defensive Rebound.,82,84
0:03,256,Foul on Stuckey Mosley.,82,84
0:03,2643,Frankie Johnson missed Free Throw.,82,84
0:03,256,Darius Banks Defensive Rebound.,82,84
0:00,256,Darius Banks missed Three Point Jumper.,82,84
0:00,256,James Madison Offensive Rebound.,82,84
0:00,2643,End of Game,82,84
