Milwaukee,294,Jacksonville,270
11:43,270,Bryce Nze missed Layup.,10,13
11:43,270,Bryce Nze Offensive Rebound.,10,13
11:41,270,Bryce Nze missed Layup.,10,13
11:41,294,Jace Hogan Defensive Rebound.,10,13
11:16,294,Jace Hogan missed Jumper.,10,13
11:16,270,Vance Johnson Defensive Rebound.,10,13
10:59,270,Brock Stull missed Jumper.,10,13
10:59,294,Jalyn Hinton Defensive Rebound.,10,13
10:53,294,JD Notae missed Three Point Jumper.,10,13
10:53,270,Vance Johnson Defensive Rebound.,10,13
10:42,270,August Haas made Layup.,12,13
10:42,294,Foul on Jalyn Hinton.,12,13
10:42,270,August Haas missed Free Throw.,12,13
10:42,270,Milwaukee Offensive Rebound.,12,13
10:29,270,Bryce Nze Turnover.,12,13
10:29,270,Foul on Bryce Nze.,12,13
10:12,294,Radwan Bakkali made Layup.,12,15
9:55,270,Bryce Barnes missed Layup.,12,15
9:55,294,Jace Hogan Defensive Rebound.,12,15
9:47,294,Radwan Bakkali missed Layup.,12,15
9:47,270,Bryce Nze Block.,12,15
9:46,294,Devin Harris Offensive Rebound.,12,15
9:43,294,Devin Harris missed Layup.,12,15
9:43,270,Brock Stull Block.,12,15
9:42,270,Bryce Nze Defensive Rebound.,12,15
9:37,270,Jeremiah Bell missed Three Point Jumper.,12,15
9:37,294,Jalyn Hinton Defensive Rebound.,12,15
9:17,294,Radwan Bakkali made Layup. Assisted by Devin Harris.,12,17
8:54,270,Brock Stull Turnover.,12,17
8:29,294,Jace Hogan missed Jumper.,12,17
8:29,294,Radwan Bakkali Offensive Rebound.,12,17
8:28,270,Foul on Brett Prahl.,12,17
8:18,294,JD Notae made Jumper. Assisted by Devin Harris.,12,19
7:53,270,Brett Prahl Turnover.,12,19
7:53,294,Jacksonville  Timeout,12,19
7:37,294,Jalyn Hinton missed Layup.,12,19
7:37,270,Jeremiah Bell Defensive Rebound.,12,19
7:15,270,Brett Prahl made Layup.,14,19
6:48,270,Foul on Jeremiah Bell.,14,19
6:47,294,JD Notae missed Jumper.,14,19
6:47,270,Bryce Nze Defensive Rebound.,14,19
6:34,270,August Haas Turnover.,14,19
6:33,294,JD Notae Steal.,14,19
6:16,270,Foul on Jeremiah Bell.,14,19
6:13,294,Radwan Bakkali missed Jumper.,14,19
6:13,270,Bryce Nze Defensive Rebound.,14,19
5:59,270,August Haas missed Three Point Jumper.,14,19
5:59,294,Devin Harris Defensive Rebound.,14,19
5:52,270,Foul on August Haas.,14,19
5:52,294,Devin Harris made Free Throw.,14,20
5:52,294,Devin Harris made Free Throw.,14,21
5:42,270,Bryce Barnes missed Layup.,14,21
5:42,294,Devin Harris Defensive Rebound.,14,21
5:37,294,Devin Harris Turnover.,14,21
5:23,270,August Haas Turnover.,14,21
5:21,294,Jace Hogan Steal.,14,21
5:19,294,JD Notae made Layup. Assisted by Jace Hogan.,14,23
5:02,270,Bryce Nze made Layup. Assisted by Brett Prahl.,16,23
5:02,294,Foul on Devin Harris.,16,23
5:02,270,Bryce Nze made Free Throw.,17,23
4:39,294,Corey Romich missed Three Point Jumper.,17,23
4:39,270,Bryce Nze Defensive Rebound.,17,23
4:35,270,Bryce Nze Turnover.,17,23
4:26,294,JD Notae made Three Point Jumper. Assisted by Corey Romich.,17,26
4:10,270,Bryce Nze made Dunk. Assisted by Bryce Barnes.,19,26
3:50,294,JD Notae missed Three Point Jumper.,19,26
3:50,270,Brett Prahl Defensive Rebound.,19,26
3:41,270,Bryce Barnes missed Layup.,19,26
3:41,294,Tanner Rubio Defensive Rebound.,19,26
3:30,294,Jace Hogan Turnover.,19,26
3:30,270,Milwaukee  Timeout,19,26
3:02,270,Bryce Nze missed Three Point Jumper.,19,26
3:02,294,Devin Harris Defensive Rebound.,19,26
2:50,294,Devin Harris missed Jumper.,19,26
2:50,270,Brock Stull Defensive Rebound.,19,26
2:44,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,22,26
2:23,294,Damien Sears Turnover.,22,26
2:23,294,Foul on Damien Sears.,22,26
2:07,270,Bryce Nze Turnover.,22,26
2:06,294,Damien Sears Steal.,22,26
1:53,294,Jace Hogan missed Layup.,22,26
1:53,270,Brock Stull Defensive Rebound.,22,26
1:40,270,Brett Prahl missed Layup.,22,26
1:40,294,Damien Sears Defensive Rebound.,22,26
1:30,294,JD Notae Turnover.,22,26
1:16,270,Brock Stull Turnover.,22,26
1:15,294,Damien Sears Steal.,22,26
1:00,294,JD Notae missed Three Point Jumper.,22,26
1:00,270,Bryce Nze Defensive Rebound.,22,26
0:49,270,Bryce Nze made Layup. Assisted by August Haas.,24,26
0:38,294,Jacksonville  Timeout,24,26
0:18,294,Jalyn Hinton Turnover.,24,26
0:16,270,August Haas Steal.,24,26
0:13,270,Jeremy Johnson made Layup. Assisted by August Haas.,26,26
0:03,294,Devin Harris missed Jumper.,26,26
0:03,270,Bryce Nze Defensive Rebound.,26,26
0:00,294,End of 1st half,26,26
19:39,270,Bryce Nze made Layup. Assisted by Brett Prahl.,28,26
19:29,294,Devin Harris made Layup.,28,28
19:05,270,Brock Stull made Three Point Jumper. Assisted by Jeremy Johnson.,31,28
18:36,294,Jace Hogan Turnover.,31,28
18:34,270,Bryce Barnes Steal.,31,28
18:32,270,Bryce Barnes made Layup. Assisted by Bryce Nze.,33,28
18:27,294,Jacksonville  Timeout,33,28
18:15,294,Jace Hogan missed Jumper.,33,28
18:15,294,Radwan Bakkali Offensive Rebound.,33,28
18:11,294,Radwan Bakkali made Layup.,33,30
18:11,270,Foul on Brett Prahl.,33,30
18:11,294,Radwan Bakkali made Free Throw.,33,31
17:53,270,Bryce Barnes made Three Point Jumper. Assisted by Brock Stull.,36,31
17:26,294,Jace Hogan made Layup.,36,33
17:02,294,Foul on Cody Helgeland.,36,33
16:50,270,Vance Johnson made Layup.,38,33
16:37,294,Jace Hogan missed Jumper.,38,33
16:37,270,Milwaukee Defensive Rebound.,38,33
16:11,270,Bryce Barnes missed Three Point Jumper.,38,33
16:11,294,Radwan Bakkali Defensive Rebound.,38,33
16:02,294,Jalyn Hinton Turnover.,38,33
15:49,270,Bryce Barnes missed Three Point Jumper.,38,33
15:49,294,Jalyn Hinton Defensive Rebound.,38,33
15:24,270,Foul on Bryce Barnes.,38,33
15:24,294,Jacksonville  Timeout,38,33
15:24,294,Devin Harris made Free Throw.,38,34
15:24,294,Devin Harris missed Free Throw.,38,34
15:24,270,Vance Johnson Defensive Rebound.,38,34
15:12,294,Foul on Tanner Rubio.,38,34
15:12,270,Jeremiah Bell made Free Throw.,39,34
15:12,270,Jeremiah Bell made Free Throw.,40,34
14:44,294,JD Notae missed Jumper.,40,34
14:44,270,Bryce Nze Defensive Rebound.,40,34
14:36,270,Jeremiah Bell Turnover.,40,34
14:18,294,JD Notae missed Jumper.,40,34
14:18,270,August Haas Defensive Rebound.,40,34
14:01,270,Bryce Nze made Layup. Assisted by Vance Johnson.,42,34
13:43,270,Foul on Bryce Nze.,42,34
13:28,294,Jalyn Hinton made Jumper.,42,36
13:13,270,Jeremiah Bell missed Three Point Jumper.,42,36
13:13,294,JD Notae Defensive Rebound.,42,36
13:03,294,Jace Hogan Turnover.,42,36
13:03,294,Foul on Jace Hogan.,42,36
12:34,270,Brett Prahl made Layup. Assisted by Brock Stull.,44,36
12:12,294,Tanner Rubio missed Three Point Jumper.,44,36
12:12,270,Vance Johnson Defensive Rebound.,44,36
11:48,270,Vance Johnson made Layup. Assisted by August Haas.,46,36
11:39,294,Devin Harris missed Layup.,46,36
11:39,270,Brett Prahl Defensive Rebound.,46,36
11:11,270,Brock Stull missed Three Point Jumper.,46,36
11:11,270,Brett Prahl Offensive Rebound.,46,36
11:05,270,Brett Prahl Turnover.,46,36
11:05,294,Jacksonville  Timeout,46,36
10:54,294,Cody Helgeland made Three Point Jumper. Assisted by Devin Harris.,46,39
10:18,270,Jeremiah Bell made Three Point Jumper. Assisted by Brock Stull.,49,39
9:55,294,Jace Hogan made Jumper.,49,41
9:23,270,Brock Stull Turnover.,49,41
9:23,270,Foul on Brock Stull.,49,41
9:03,294,Jalyn Hinton missed Layup.,49,41
9:02,270,Bryce Nze Block.,49,41
9:01,270,Brett Prahl Defensive Rebound.,49,41
8:38,270,Bryce Nze missed Layup.,49,41
8:38,294,JD Notae Block.,49,41
8:35,294,Devin Harris Defensive Rebound.,49,41
8:31,294,Jalyn Hinton made Dunk. Assisted by Devin Harris.,49,43
8:07,270,Brock Stull missed Three Point Jumper.,49,43
8:07,294,Cody Helgeland Defensive Rebound.,49,43
7:50,294,JD Notae missed Layup.,49,43
7:50,270,Bryce Nze Block.,49,43
7:48,270,August Haas Defensive Rebound.,49,43
7:44,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,52,43
7:28,294,Cody Helgeland missed Jumper.,52,43
7:28,270,Bryce Nze Defensive Rebound.,52,43
7:07,270,Brock Stull missed Three Point Jumper.,52,43
7:07,294,Jacksonville Defensive Rebound.,52,43
7:05,294,Jacksonville  Timeout,52,43
6:40,294,Devin Harris missed Three Point Jumper.,52,43
6:40,270,Bryce Nze Defensive Rebound.,52,43
6:16,270,Jeremiah Bell missed Layup.,52,43
6:16,294,JD Notae Block.,52,43
6:15,294,Jacksonville Defensive Rebound.,52,43
6:00,294,Jace Hogan missed Jumper.,52,43
6:00,270,Brock Stull Defensive Rebound.,52,43
5:35,270,Jeremiah Bell Turnover.,52,43
5:34,294,Devin Harris Steal.,52,43
5:17,294,Jace Hogan made Layup.,52,45
4:59,270,Bryce Nze missed Layup.,52,45
4:59,294,Cody Helgeland Block.,52,45
4:56,294,Devin Harris Defensive Rebound.,52,45
4:45,294,Devin Harris missed Layup.,52,45
4:45,270,Bryce Nze Block.,52,45
4:44,270,Brock Stull Defensive Rebound.,52,45
4:33,270,Brock Stull made Three Point Jumper. Assisted by Bryce Nze.,55,45
4:14,270,Foul on Jeremiah Bell.,55,45
4:02,294,JD Notae made Jumper. Assisted by Tanner Rubio.,55,47
3:28,270,Jeremy Johnson missed Three Point Jumper.,55,47
3:28,294,Devin Harris Defensive Rebound.,55,47
3:21,294,Devin Harris missed Layup.,55,47
3:21,294,Jace Hogan Offensive Rebound.,55,47
3:19,270,Foul on Bryce Barnes.,55,47
3:19,294,Jace Hogan missed Free Throw.,55,47
3:19,294,Jacksonville Deadball Team Rebound.,55,47
3:19,294,Jace Hogan missed Free Throw.,55,47
3:19,270,Jeremiah Bell Defensive Rebound.,55,47
2:52,270,Brock Stull missed Three Point Jumper.,55,47
2:52,270,Bryce Nze Offensive Rebound.,55,47
2:40,270,Vance Johnson made Layup. Assisted by Bryce Nze.,57,47
2:31,294,Cody Helgeland missed Three Point Jumper.,57,47
2:31,270,Milwaukee Defensive Rebound.,57,47
2:02,270,Jeremiah Bell made Three Point Jumper. Assisted by August Haas.,60,47
1:48,294,JD Notae missed Three Point Jumper.,60,47
1:48,270,Bryce Barnes Defensive Rebound.,60,47
1:37,270,Bryce Barnes Turnover.,60,47
1:29,270,Foul on Bryce Nze.,60,47
1:29,294,JD Notae made Free Throw.,60,48
1:29,294,JD Notae made Free Throw.,60,49
1:22,270,Bryce Barnes Turnover.,60,49
1:19,294,Cody Helgeland Steal.,60,49
1:17,294,Cody Helgeland made Jumper. Assisted by Devin Harris.,60,51
1:14,294,Jacksonville  Timeout,60,51
1:04,294,Foul on Cody Helgeland.,60,51
0:56,294,Foul on Damien Sears.,60,51
0:48,294,Foul on Jalyn Hinton.,60,51
0:39,294,Foul on Damien Sears.,60,51
0:39,270,Brock Stull missed Free Throw.,60,51
0:39,294,JD Notae Defensive Rebound.,60,51
0:26,270,Foul on Bryce Nze.,60,51
0:26,294,Tanner Rubio made Free Throw.,60,52
0:26,294,Tanner Rubio missed Free Throw.,60,52
0:26,270,August Haas Defensive Rebound.,60,52
0:14,294,Foul on Jalyn Hinton.,60,52
0:14,270,Jeremiah Bell made Free Throw.,61,52
0:14,270,Jeremiah Bell made Free Throw.,62,52
0:14,270,Milwaukee  Timeout,62,52
0:06,294,Cody Helgeland missed Three Point Jumper.,62,52
0:06,270,August Haas Defensive Rebound.,62,52
0:00,294,End of Game,62,52
