UMass Lowell,2681,Wagner,2349
14:13,2349,Foul on Matt Harris.,7,19
13:56,2681,Devin Liggeons made Three Point Jumper. Assisted by JoJo Cooper.,7,22
13:36,2349,Matt Harris made Three Point Jumper. Assisted by Josh Gantz.,10,22
13:12,2681,Nick Madray missed Jumper.,10,22
13:12,2349,Ryan Jones Defensive Rebound.,10,22
13:02,2681,Foul on Nick Madray.,10,22
12:45,2349,Jahad Thomas made Layup. Assisted by Josh Gantz.,12,22
12:29,2681,Elijah Davis made Three Point Jumper. Assisted by JoJo Cooper.,12,25
12:13,2349,Shawn Jones made Jumper.,14,25
11:52,2681,Tyler Plummer missed Layup.,14,25
11:52,2681,Nick Madray Offensive Rebound.,14,25
11:49,2681,Nick Madray made Layup.,14,27
11:43,2349,Jahad Thomas Turnover.,14,27
11:43,2681,Official TV Timeout,14,27
11:29,2681,Tyler Plummer missed Layup.,14,27
11:29,2349,Jahad Thomas Defensive Rebound.,14,27
11:22,2349,Rinardo Perry made Layup.,16,27
11:08,2681,JoJo Cooper Turnover.,16,27
10:43,2349,Rinardo Perry missed Layup.,16,27
10:43,2681,Elijah Davis Defensive Rebound.,16,27
10:37,2681,Elijah Davis Turnover.,16,27
10:36,2349,Rinardo Perry Steal.,16,27
10:30,2349,Jahad Thomas Turnover.,16,27
10:06,2681,AJ Sumbry made Layup.,16,29
9:40,2681,Foul on Elijah Davis.,16,29
9:40,2349,Obadiah Noel made Free Throw.,17,29
9:40,2349,Obadiah Noel made Free Throw.,18,29
9:40,2349,Obadiah Noel missed Free Throw.,18,29
9:40,2681,Nigel Jackson Defensive Rebound.,18,29
9:27,2349,Foul on Shawn Jones.,18,29
9:23,2681,JoJo Cooper missed Jumper.,18,29
9:23,2349,Shawn Jones Defensive Rebound.,18,29
9:09,2681,Foul on Tyler Plummer.,18,29
9:09,2681,Foul on Nigel Jackson.,18,29
9:09,2349,Josh Gantz made Free Throw.,19,29
9:09,2349,Josh Gantz missed Free Throw.,19,29
9:09,2681,Nigel Jackson Defensive Rebound.,19,29
8:48,2681,Nigel Jackson missed Three Point Jumper.,19,29
8:48,2681,Tyler Plummer Offensive Rebound.,19,29
8:39,2681,JoJo Cooper Turnover.,19,29
8:37,2349,Josh Gantz Steal.,19,29
8:31,2681,Foul on Devin Liggeons.,19,29
8:30,2349,Obadiah Noel made Free Throw.,20,29
8:30,2349,Obadiah Noel made Free Throw.,21,29
8:15,2349,Foul on Shawn Jones.,21,29
8:10,2681,JoJo Cooper Turnover.,21,29
8:09,2349,Josh Gantz Steal.,21,29
8:07,2349,Matt Harris Turnover.,21,29
8:07,2681,Devin Liggeons Steal.,21,29
8:07,2349,Foul on Matt Harris.,21,29
7:54,2681,Devin Liggeons made Three Point Jumper. Assisted by JoJo Cooper.,21,32
7:28,2349,Connor Bennett missed Jumper.,21,32
7:28,2681,Nigel Jackson Defensive Rebound.,21,32
7:20,2681,Official TV Timeout,21,32
7:14,2681,JoJo Cooper Turnover.,21,32
6:58,2349,Jahad Thomas missed Jumper.,21,32
6:58,2681,Nick Madray Defensive Rebound.,21,32
6:49,2681,Elijah Davis missed Three Point Jumper.,21,32
6:49,2681,Nick Madray Offensive Rebound.,21,32
6:46,2349,Foul on Josh Gantz.,21,32
6:30,2681,Nick Madray missed Layup.,21,32
6:30,2681,Chase Freeman Offensive Rebound.,21,32
6:28,2681,Chase Freeman made Layup.,21,34
6:14,2349,Rinardo Perry missed Layup.,21,34
6:14,2349,Rinardo Perry Offensive Rebound.,21,34
6:11,2681,Foul on Chase Freeman.,21,34
6:11,2349,Rinardo Perry made Free Throw.,22,34
6:11,2349,Rinardo Perry made Free Throw.,23,34
5:59,2681,Chase Freeman Turnover.,23,34
5:57,2349,Josh Gantz Steal.,23,34
5:52,2349,Ryan Jones Turnover.,23,34
5:51,2681,Chase Freeman Steal.,23,34
5:48,2681,Nick Madray Turnover.,23,34
5:47,2349,Jahad Thomas Steal.,23,34
5:40,2681,Foul on Devin Liggeons.,23,34
5:40,2349,Obadiah Noel made Free Throw.,24,34
5:40,2349,Obadiah Noel made Free Throw.,25,34
5:30,2681,JoJo Cooper missed Layup.,25,34
5:30,2349,Josh Gantz Defensive Rebound.,25,34
5:15,2349,Ryan Jones missed Three Point Jumper.,25,34
5:15,2681,JoJo Cooper Defensive Rebound.,25,34
5:11,2349,Foul on Obadiah Noel.,25,34
4:54,2681,Elijah Davis made Layup. Assisted by JoJo Cooper.,25,36
4:38,2349,Obadiah Noel made Layup.,27,36
4:15,2681,Elijah Davis Turnover.,27,36
4:14,2349,Jahad Thomas Steal.,27,36
3:58,2349,Jahad Thomas missed Three Point Jumper.,27,36
3:58,2681,AJ Sumbry Defensive Rebound.,27,36
3:56,2349,Foul on Obadiah Noel.,27,36
3:54,2681,AJ Sumbry missed Free Throw.,27,36
3:54,2349,Jahad Thomas Defensive Rebound.,27,36
3:35,2349,Josh Gantz missed Jumper.,27,36
3:35,2681,Elijah Davis Defensive Rebound.,27,36
3:29,2349,Foul on Ryan Jones.,27,36
3:29,2681,Elijah Davis made Free Throw.,27,37
3:29,2681,Elijah Davis made Free Throw.,27,38
3:20,2681,Foul on AJ Sumbry.,27,38
3:20,2349,Obadiah Noel made Free Throw.,28,38
3:20,2349,Obadiah Noel made Free Throw.,29,38
2:52,2681,Tyler Plummer missed Jumper.,29,38
2:52,2349,Obadiah Noel Defensive Rebound.,29,38
2:43,2349,Obadiah Noel missed Layup.,29,38
2:43,2681,Elijah Davis Block.,29,38
2:43,2681,Wagner Defensive Rebound.,29,38
2:29,2681,Nigel Jackson made Three Point Jumper. Assisted by JoJo Cooper.,29,41
2:16,2349,Jahad Thomas Turnover.,29,41
2:16,2681,JoJo Cooper Steal.,29,41
2:12,2349,Foul on Josh Gantz.,29,41
2:12,2681,JoJo Cooper missed Free Throw.,29,41
2:12,2349,UMass Lowell Defensive Rebound.,29,41
1:42,2349,Jahad Thomas missed Three Point Jumper.,29,41
1:42,2681,Tyler Plummer Defensive Rebound.,29,41
1:36,2681,JoJo Cooper Turnover.,29,41
1:27,2681,Foul on Chase Freeman.,29,41
1:26,2349,Obadiah Noel made Free Throw.,30,41
1:26,2349,Obadiah Noel made Free Throw.,31,41
1:26,2349,Obadiah Noel made Free Throw.,32,41
1:01,2681,Nick Madray made Layup. Assisted by Chase Freeman.,32,43
0:48,2349,Jahad Thomas made Layup.,34,43
0:43,2681,Wagner  Timeout,34,43
0:20,2681,Chase Freeman Turnover.,34,43
0:09,2349,Rinardo Perry made Layup.,36,43
0:00,2681,JoJo Cooper made Layup.,36,45
0:00,2681,End of 1st half,36,45
19:51,2349,Josh Gantz missed Three Point Jumper.,36,45
19:51,2681,JoJo Cooper Defensive Rebound.,36,45
19:29,2681,Blake Francis made Jumper.,36,47
19:10,2349,Josh Gantz made Layup.,38,47
18:42,2681,Foul on AJ Sumbry.,38,47
18:42,2681,AJ Sumbry Turnover.,38,47
18:35,2349,Rinardo Perry missed Layup.,38,47
18:35,2681,AJ Sumbry Block.,38,47
18:33,2349,Rinardo Perry Offensive Rebound.,38,47
18:32,2681,Foul on Devin Liggeons.,38,47
18:32,2349,Rinardo Perry missed Free Throw.,38,47
18:32,2349,UMass Lowell Deadball Team Rebound.,38,47
18:32,2349,Rinardo Perry made Free Throw.,39,47
18:07,2681,Nigel Jackson missed Three Point Jumper.,39,47
18:07,2349,Jahad Thomas Block.,39,47
18:05,2349,UMass Lowell Defensive Rebound.,39,47
18:05,2681,Foul on Nick Madray.,39,47
17:54,2349,Matt Harris missed Three Point Jumper.,39,47
17:54,2349,Ryan Jones Offensive Rebound.,39,47
17:49,2349,Ryan Jones missed Jumper.,39,47
17:49,2681,Nick Madray Defensive Rebound.,39,47
17:42,2681,Blake Francis made Layup. Assisted by JoJo Cooper.,39,49
17:22,2349,Ryan Jones missed Layup.,39,49
17:22,2681,Nigel Jackson Defensive Rebound.,39,49
17:16,2681,Blake Francis made Three Point Jumper. Assisted by JoJo Cooper.,39,52
16:55,2349,Jahad Thomas missed Jumper.,39,52
16:55,2681,Nigel Jackson Block.,39,52
16:53,2681,Blake Francis Defensive Rebound.,39,52
16:50,2681,Blake Francis made Three Point Jumper.,39,55
16:32,2349,Jahad Thomas Turnover.,39,55
16:13,2681,Blake Francis Turnover.,39,55
16:12,2349,Jahad Thomas Steal.,39,55
16:07,2349,Rinardo Perry missed Layup.,39,55
16:07,2681,Nigel Jackson Block.,39,55
16:07,2349,UMass Lowell Offensive Rebound.,39,55
15:53,2681,Official TV Timeout,39,55
15:43,2349,Foul on Josh Gantz.,39,55
15:39,2349,Foul on Obadiah Noel.,39,55
15:25,2681,Nick Madray missed Layup.,39,55
15:25,2349,UMass Lowell Defensive Rebound.,39,55
15:10,2349,Matt Harris missed Three Point Jumper.,39,55
15:10,2681,Elijah Davis Defensive Rebound.,39,55
15:01,2681,Elijah Davis made Three Point Jumper. Assisted by JoJo Cooper.,39,58
14:40,2681,Foul on Blake Francis.,39,58
14:34,2349,Matt Harris made Layup. Assisted by Rinardo Perry.,41,58
14:24,2681,Devin Liggeons missed Three Point Jumper.,41,58
14:24,2681,Blake Francis Offensive Rebound.,41,58
14:18,2349,Foul on Rinardo Perry.,41,58
14:18,2681,Nick Madray missed Free Throw.,41,58
14:18,2681,Wagner Deadball Team Rebound.,41,58
14:18,2681,Nick Madray made Free Throw.,41,59
14:06,2349,Rinardo Perry missed Three Point Jumper.,41,59
14:06,2349,Jahad Thomas Offensive Rebound.,41,59
14:03,2349,Jahad Thomas made Layup.,43,59
13:44,2349,Foul on Shawn Jones.,43,59
13:33,2681,Blake Francis missed Jumper.,43,59
13:33,2349,Shawn Jones Block.,43,59
13:31,2349,Connor Bennett Defensive Rebound.,43,59
13:29,2349,Jahad Thomas Turnover.,43,59
13:28,2681,JoJo Cooper Steal.,43,59
13:27,2681,JoJo Cooper missed Layup.,43,59
13:27,2349,Jahad Thomas Block.,43,59
13:27,2681,Wagner Offensive Rebound.,43,59
13:09,2681,Foul on Blake Francis.,43,59
13:09,2681,Blake Francis Turnover.,43,59
13:02,2349,Ryan Jones made Three Point Jumper.,46,59
12:48,2681,Devin Liggeons missed Layup.,46,59
12:48,2349,Jahad Thomas Defensive Rebound.,46,59
12:38,2349,Jahad Thomas made Layup.,48,59
12:07,2681,Elijah Davis made Layup.,48,61
12:04,2681,Wagner  Timeout,48,61
11:48,2681,Foul on AJ Sumbry.,48,61
11:48,2681,Official TV Timeout,48,61
11:36,2349,Jahad Thomas missed Jumper.,48,61
11:36,2681,Nick Madray Defensive Rebound.,48,61
11:13,2349,Foul on Connor Bennett.,48,61
11:13,2681,Nick Madray made Free Throw.,48,62
11:13,2681,Nick Madray made Free Throw.,48,63
10:59,2681,Foul on Nick Madray.,48,63
10:59,2349,Shawn Jones made Free Throw.,49,63
10:59,2349,Shawn Jones missed Free Throw.,49,63
10:59,2681,Nick Madray Defensive Rebound.,49,63
10:34,2681,JoJo Cooper missed Three Point Jumper.,49,63
10:34,2681,Elijah Davis Offensive Rebound.,49,63
10:29,2349,Foul on Shawn Jones.,49,63
10:23,2681,JoJo Cooper Turnover.,49,63
10:12,2349,Ryan Jones made Jumper.,51,63
9:42,2681,JoJo Cooper made Layup.,51,65
9:29,2349,Foul on Matt Harris.,51,65
9:29,2349,Matt Harris Turnover.,51,65
9:11,2681,Nigel Jackson missed Jumper.,51,65
9:11,2681,Devin Liggeons Offensive Rebound.,51,65
9:07,2681,Devin Liggeons missed Layup.,51,65
9:07,2349,Obadiah Noel Defensive Rebound.,51,65
9:02,2681,Foul on Devin Liggeons.,51,65
9:02,2349,Obadiah Noel missed Free Throw.,51,65
9:02,2681,Nigel Jackson Defensive Rebound.,51,65
8:40,2681,Nigel Jackson missed Three Point Jumper.,51,65
8:40,2349,Obadiah Noel Defensive Rebound.,51,65
8:31,2349,Obadiah Noel Turnover.,51,65
8:30,2681,Devin Liggeons Steal.,51,65
8:25,2681,Elijah Davis missed Three Point Jumper.,51,65
8:25,2349,UMass Lowell Defensive Rebound.,51,65
8:08,2349,Jahad Thomas made Three Point Jumper. Assisted by Matt Harris.,54,65
7:47,2681,Elijah Davis made Layup. Assisted by JoJo Cooper.,54,67
7:30,2349,Matt Harris made Three Point Jumper. Assisted by Josh Gantz.,57,67
7:07,2681,Nigel Jackson made Jumper. Assisted by Chase Freeman.,57,69
6:54,2681,Foul on Nigel Jackson.,57,69
6:54,2681,Official TV Timeout,57,69
6:54,2349,Jahad Thomas made Free Throw.,58,69
6:54,2349,Jahad Thomas made Free Throw.,59,69
6:32,2681,Tyler Plummer Turnover.,59,69
6:14,2349,Jahad Thomas Turnover.,59,69
5:56,2681,Elijah Davis made Three Point Jumper. Assisted by Tyler Plummer.,59,72
5:39,2349,Jahad Thomas Turnover.,59,72
5:38,2681,Elijah Davis Steal.,59,72
5:15,2681,Elijah Davis missed Three Point Jumper.,59,72
5:15,2349,Jahad Thomas Defensive Rebound.,59,72
5:08,2349,Matt Harris missed Three Point Jumper.,59,72
5:08,2681,Elijah Davis Defensive Rebound.,59,72
4:59,2681,Tyler Plummer made Layup. Assisted by JoJo Cooper.,59,74
4:41,2681,Foul on Elijah Davis.,59,74
4:41,2349,Jahad Thomas made Free Throw.,60,74
4:41,2349,Jahad Thomas made Free Throw.,61,74
4:22,2681,JoJo Cooper made Layup.,61,76
4:09,2349,Obadiah Noel Turnover.,61,76
4:08,2681,Nigel Jackson Steal.,61,76
3:48,2681,JoJo Cooper made Layup.,61,78
3:38,2349,Josh Gantz made Three Point Jumper. Assisted by Ryan Jones.,64,78
3:25,2681,Official TV Timeout,64,78
3:12,2349,Foul on Ryan Jones.,64,78
3:12,2681,Nigel Jackson made Free Throw.,64,79
3:12,2681,Nigel Jackson missed Free Throw.,64,79
3:12,2349,Jahad Thomas Defensive Rebound.,64,79
2:53,2349,Connor Bennett made Layup. Assisted by Shawn Jones.,66,79
2:35,2681,JoJo Cooper missed Layup.,66,79
2:35,2349,Jahad Thomas Defensive Rebound.,66,79
2:28,2349,Jahad Thomas made Layup.,68,79
2:28,2681,Foul on Nigel Jackson.,68,79
2:28,2349,Jahad Thomas made Free Throw.,69,79
2:05,2349,Foul on Obadiah Noel.,69,79
2:05,2681,Blake Francis made Free Throw.,69,80
2:05,2681,Blake Francis made Free Throw.,69,81
1:50,2681,Foul on Elijah Davis.,69,81
1:50,2349,Josh Gantz made Free Throw.,70,81
1:50,2349,Josh Gantz made Free Throw.,71,81
1:50,2349,UMass Lowell  Timeout,71,81
1:30,2349,Foul on Josh Gantz.,71,81
1:30,2681,AJ Sumbry made Free Throw.,71,82
1:30,2681,AJ Sumbry made Free Throw.,71,83
1:19,2349,Shawn Jones missed Jumper.,71,83
1:19,2349,Ryan Jones Offensive Rebound.,71,83
1:14,2349,Jahad Thomas missed Three Point Jumper.,71,83
1:14,2349,UMass Lowell Offensive Rebound.,71,83
1:10,2681,Foul on Elijah Davis.,71,83
1:10,2349,Jahad Thomas made Free Throw.,72,83
1:10,2349,Jahad Thomas missed Free Throw.,72,83
1:10,2681,Nigel Jackson Defensive Rebound.,72,83
1:07,2349,Foul on Josh Gantz.,72,83
1:07,2681,Nigel Jackson made Free Throw.,72,84
1:07,2681,Nigel Jackson made Free Throw.,72,85
1:02,2349,Shawn Jones Turnover.,72,85
1:02,2681,Blake Francis Steal.,72,85
0:59,2349,Foul on Obadiah Noel.,72,85
0:59,2681,JoJo Cooper made Free Throw.,72,86
0:59,2681,JoJo Cooper made Free Throw.,72,87
0:52,2349,Matt Harris missed Three Point Jumper.,72,87
0:52,2681,AJ Sumbry Defensive Rebound.,72,87
0:30,2681,Chase Freeman made Three Point Jumper. Assisted by AJ Sumbry.,72,90
0:13,2349,Rinardo Perry missed Three Point Jumper.,72,90
0:13,2681,AJ Sumbry Defensive Rebound.,72,90
0:00,2681,End of Game,72,90
