Utah,2086,Butler,254
14:50,2086,Official TV Timeout,6,11
14:49,2086,Kelan Martin missed Three Point Jumper.,6,11
14:49,254,Gabe Bealer Defensive Rebound.,6,11
14:23,254,Gabe Bealer missed Three Point Jumper.,6,11
14:23,2086,Kamar Baldwin Defensive Rebound.,6,11
14:20,254,Foul on Donnie Tillman.,6,11
14:05,2086,Kelan Martin made Layup.,6,13
13:42,254,Gabe Bealer made Three Point Jumper. Assisted by Justin Bibbins.,9,13
13:24,2086,Kamar Baldwin missed Jumper.,9,13
13:24,254,David Collette Defensive Rebound.,9,13
13:07,254,David Collette Turnover.,9,13
12:56,254,Foul on Jayce Johnson.,9,13
12:53,2086,Aaron Thompson Turnover.,9,13
12:53,254,Parker Van Dyke Steal.,9,13
12:26,254,Sedrick Barefield made Jumper.,11,13
12:18,2086,Kelan Martin missed Three Point Jumper.,11,13
12:18,254,Donnie Tillman Defensive Rebound.,11,13
12:09,254,Donnie Tillman missed Layup.,11,13
12:09,254,Donnie Tillman Offensive Rebound.,11,13
12:09,254,Donnie Tillman made Layup.,13,13
12:05,2086,Foul on Nate Fowler.,13,13
12:05,254,Donnie Tillman made Free Throw.,14,13
11:56,2086,Joey Brunk missed Layup.,14,13
11:56,254,Donnie Tillman Block.,14,13
11:56,254,Jayce Johnson Defensive Rebound.,14,13
11:45,254,Tyler Rawson made Three Point Jumper. Assisted by Sedrick Barefield.,17,13
11:39,2086,Butler  Timeout,17,13
11:39,2086,Official TV Timeout,17,13
11:28,2086,Kamar Baldwin made Jumper.,17,15
11:05,254,Donnie Tillman made Jumper.,19,15
11:05,2086,Foul on Aaron Thompson.,19,15
11:05,254,Donnie Tillman made Free Throw.,20,15
10:53,2086,Tyler Wideman made Layup. Assisted by Paul Jorgensen.,20,17
10:24,254,Jayce Johnson made Layup. Assisted by Justin Bibbins.,22,17
10:14,2086,Foul on Kamar Baldwin.,22,17
10:14,2086,Kamar Baldwin Turnover.,22,17
10:00,254,Tyler Rawson missed Three Point Jumper.,22,17
10:00,2086,Kamar Baldwin Defensive Rebound.,22,17
9:48,254,Foul on Tyler Rawson.,22,17
9:29,2086,Paul Jorgensen Turnover.,22,17
9:16,254,Justin Bibbins made Three Point Jumper. Assisted by Sedrick Barefield.,25,17
8:59,2086,Henry Baddley missed Jumper.,25,17
8:59,254,Donnie Tillman Defensive Rebound.,25,17
8:36,254,Jayce Johnson missed Layup.,25,17
8:36,2086,Kelan Martin Defensive Rebound.,25,17
8:27,2086,Kelan Martin Turnover.,25,17
8:14,254,Sedrick Barefield missed Layup.,25,17
8:14,2086,Henry Baddley Block.,25,17
8:14,254,Utah Offensive Rebound.,25,17
8:12,254,Donnie Tillman Turnover.,25,17
8:12,2086,Kelan Martin Steal.,25,17
8:02,2086,Foul on Kelan Martin.,25,17
8:02,2086,Kelan Martin Turnover.,25,17
7:35,254,David Collette missed Jumper.,25,17
7:35,2086,Butler Defensive Rebound.,25,17
7:34,254,Foul on David Collette.,25,17
7:34,2086,Official TV Timeout,25,17
7:24,2086,Paul Jorgensen made Three Point Jumper. Assisted by Kamar Baldwin.,25,20
7:07,254,Foul on Gabe Bealer.,25,20
7:07,254,Gabe Bealer Turnover.,25,20
6:54,254,Foul on David Collette.,25,20
6:54,2086,Tyler Wideman made Free Throw.,25,21
6:54,2086,Tyler Wideman made Free Throw.,25,22
6:36,254,Sedrick Barefield missed Three Point Jumper.,25,22
6:36,2086,Paul Jorgensen Defensive Rebound.,25,22
6:25,2086,Kamar Baldwin missed Three Point Jumper.,25,22
6:25,2086,Tyler Wideman Offensive Rebound.,25,22
6:01,2086,Paul Jorgensen Turnover.,25,22
5:40,254,Jayce Johnson missed Jumper.,25,22
5:40,2086,Kelan Martin Defensive Rebound.,25,22
5:33,2086,Paul Jorgensen missed Three Point Jumper.,25,22
5:33,254,Jayce Johnson Defensive Rebound.,25,22
5:08,254,Donnie Tillman made Jumper.,27,22
4:49,2086,Kelan Martin missed Jumper.,27,22
4:49,254,Justin Bibbins Defensive Rebound.,27,22
4:41,254,Foul on Donnie Tillman.,27,22
4:41,254,Donnie Tillman Turnover.,27,22
4:27,2086,Kelan Martin made Three Point Jumper. Assisted by Paul Jorgensen.,27,25
4:02,254,Sedrick Barefield made Jumper.,29,25
3:36,2086,Kelan Martin made Three Point Jumper.,29,28
3:21,254,Justin Bibbins made Jumper.,31,28
3:11,2086,Kelan Martin missed Three Point Jumper.,31,28
3:11,2086,Tyler Wideman Offensive Rebound.,31,28
3:00,2086,Tyler Wideman Turnover.,31,28
2:55,254,Sedrick Barefield Turnover.,31,28
2:55,2086,Kamar Baldwin Steal.,31,28
2:49,2086,Paul Jorgensen missed Three Point Jumper.,31,28
2:49,254,Jayce Johnson Defensive Rebound.,31,28
2:35,254,Utah  Timeout,31,28
2:35,2086,Official TV Timeout,31,28
2:26,254,Justin Bibbins missed Three Point Jumper.,31,28
2:26,2086,Butler Defensive Rebound.,31,28
2:22,254,Foul on Jayce Johnson.,31,28
2:22,2086,Paul Jorgensen made Free Throw.,31,29
2:22,2086,Paul Jorgensen made Free Throw.,31,30
1:53,254,Jayce Johnson missed Layup.,31,30
1:53,2086,Kelan Martin Defensive Rebound.,31,30
1:46,2086,Kelan Martin missed Three Point Jumper.,31,30
1:46,254,Sedrick Barefield Defensive Rebound.,31,30
1:26,254,Justin Bibbins missed Three Point Jumper.,31,30
1:26,2086,Kelan Martin Defensive Rebound.,31,30
1:03,2086,Paul Jorgensen made Layup.,31,32
0:31,254,Sedrick Barefield missed Jumper.,31,32
0:31,2086,Kamar Baldwin Defensive Rebound.,31,32
0:03,2086,Tyler Wideman made Layup.,31,34
0:00,2086,End of 1st half,31,34
20:00,2086,Jump Ball won by Butler,31,34
19:50,2086,Aaron Thompson made Jumper.,31,36
19:29,254,Justin Bibbins made Layup.,33,36
19:00,2086,Aaron Thompson missed Jumper.,33,36
19:00,254,Utah Defensive Rebound.,33,36
18:45,254,Sedrick Barefield made Three Point Jumper. Assisted by Tyler Rawson.,36,36
18:30,254,Foul on Sedrick Barefield.,36,36
18:30,2086,Tyler Wideman made Free Throw.,36,37
18:30,2086,Tyler Wideman missed Free Throw.,36,37
18:30,254,David Collette Defensive Rebound.,36,37
18:04,254,Tyler Rawson missed Jumper.,36,37
18:04,2086,Kamar Baldwin Defensive Rebound.,36,37
17:52,2086,Tyler Wideman made Jumper. Assisted by Kamar Baldwin.,36,39
17:36,254,Gabe Bealer made Three Point Jumper. Assisted by Justin Bibbins.,39,39
17:21,254,Foul on Tyler Rawson.,39,39
17:18,2086,Kamar Baldwin missed Jumper.,39,39
17:18,254,David Collette Defensive Rebound.,39,39
17:08,254,Sedrick Barefield Turnover.,39,39
17:01,2086,Kamar Baldwin missed Layup.,39,39
17:01,2086,Kelan Martin Offensive Rebound.,39,39
16:48,2086,Kelan Martin made Layup.,39,41
16:30,254,Donnie Tillman missed Layup.,39,41
16:30,2086,Tyler Wideman Block.,39,41
16:30,254,Donnie Tillman Offensive Rebound.,39,41
16:20,254,David Collette missed Jumper.,39,41
16:20,2086,Butler Defensive Rebound.,39,41
16:12,2086,Paul Jorgensen made Three Point Jumper. Assisted by Kamar Baldwin.,39,44
15:52,254,Foul on Justin Bibbins.,39,44
15:52,254,Justin Bibbins Turnover.,39,44
15:52,2086,Official TV Timeout,39,44
15:42,2086,Aaron Thompson made Layup.,39,46
15:27,254,David Collette Turnover.,39,46
15:27,2086,Tyler Wideman Steal.,39,46
15:22,2086,Tyler Wideman made Dunk. Assisted by Paul Jorgensen.,39,48
15:08,2086,Foul on Aaron Thompson.,39,48
14:56,254,Justin Bibbins Turnover.,39,48
14:56,2086,Kamar Baldwin Steal.,39,48
14:41,2086,Kamar Baldwin made Jumper.,39,50
14:31,254,Utah  Timeout,39,50
14:26,254,Sedrick Barefield missed Jumper.,39,50
14:26,2086,Kamar Baldwin Defensive Rebound.,39,50
14:19,2086,Kamar Baldwin missed Three Point Jumper.,39,50
14:19,2086,Paul Jorgensen Offensive Rebound.,39,50
14:14,2086,Paul Jorgensen made Three Point Jumper.,39,53
13:49,254,Donnie Tillman made Layup.,41,53
13:31,254,Foul on Sedrick Barefield.,41,53
13:31,2086,Tyler Wideman missed Free Throw.,41,53
13:31,2086,Butler Deadball Team Rebound.,41,53
13:31,2086,Tyler Wideman made Free Throw.,41,54
13:18,2086,Foul on Henry Baddley.,41,54
13:05,254,Donnie Tillman missed Layup.,41,54
13:05,2086,Kelan Martin Defensive Rebound.,41,54
12:55,2086,Kelan Martin made Layup.,41,56
12:37,254,Jayce Johnson made Layup.,43,56
12:21,2086,Kamar Baldwin Turnover.,43,56
12:21,254,Jayce Johnson Steal.,43,56
12:11,2086,Foul on Kamar Baldwin.,43,56
12:05,254,Sedrick Barefield missed Three Point Jumper.,43,56
12:05,254,Jayce Johnson Offensive Rebound.,43,56
12:00,254,Jayce Johnson missed Layup.,43,56
12:00,2086,Nate Fowler Defensive Rebound.,43,56
11:53,2086,Kamar Baldwin missed Three Point Jumper.,43,56
11:53,254,Utah Defensive Rebound.,43,56
11:51,2086,Foul on Nate Fowler.,43,56
11:51,2086,Official TV Timeout,43,56
11:32,2086,Foul on Henry Baddley.,43,56
11:30,254,Donnie Tillman missed Jumper.,43,56
11:30,254,Jayce Johnson Offensive Rebound.,43,56
11:30,254,Jayce Johnson made Two Point Tip Shot.,45,56
11:10,2086,Kelan Martin made Dunk.,45,58
10:48,254,Justin Bibbins made Three Point Jumper. Assisted by Tyler Rawson.,48,58
10:35,254,Foul on Jayce Johnson.,48,58
10:35,2086,Aaron Thompson missed Free Throw.,48,58
10:35,2086,Butler Deadball Team Rebound.,48,58
10:35,2086,Aaron Thompson made Free Throw.,48,59
10:15,254,Donnie Tillman missed Jumper.,48,59
10:15,254,Donnie Tillman Offensive Rebound.,48,59
10:11,254,Donnie Tillman made Layup.,50,59
9:47,2086,Tyler Wideman made Layup. Assisted by Christian David.,50,61
9:30,2086,Foul on Christian David.,50,61
9:30,254,Sedrick Barefield made Free Throw.,51,61
9:30,254,Sedrick Barefield made Free Throw.,52,61
9:19,2086,Christian David missed Three Point Jumper.,52,61
9:19,254,Donnie Tillman Defensive Rebound.,52,61
9:03,2086,Foul on Henry Baddley.,52,61
9:03,254,Tyler Rawson missed Free Throw.,52,61
9:03,2086,Henry Baddley Defensive Rebound.,52,61
8:47,2086,Nate Fowler missed Layup.,52,61
8:47,254,Gabe Bealer Block.,52,61
8:47,254,Jayce Johnson Defensive Rebound.,52,61
8:26,254,Sedrick Barefield missed Jumper.,52,61
8:26,2086,Paul Jorgensen Defensive Rebound.,52,61
8:02,2086,Kelan Martin made Layup.,52,63
7:38,254,Sedrick Barefield made Three Point Jumper. Assisted by Tyler Rawson.,55,63
7:22,2086,Kamar Baldwin made Layup.,55,65
7:04,254,Tyler Rawson missed Three Point Jumper.,55,65
7:04,2086,Kelan Martin Defensive Rebound.,55,65
6:58,2086,Butler  Timeout,55,65
6:41,2086,Kamar Baldwin made Three Point Jumper. Assisted by Aaron Thompson.,55,68
6:13,254,Gabe Bealer missed Three Point Jumper.,55,68
6:13,2086,Kelan Martin Defensive Rebound.,55,68
5:44,2086,Kamar Baldwin made Jumper.,55,70
5:26,254,Foul on Donnie Tillman.,55,70
5:26,254,Donnie Tillman Turnover.,55,70
5:17,254,Foul on Justin Bibbins.,55,70
5:17,2086,Kamar Baldwin missed Free Throw.,55,70
5:17,254,Tyler Rawson Defensive Rebound.,55,70
5:09,2086,Foul on Tyler Wideman.,55,70
5:09,254,David Collette made Free Throw.,56,70
5:09,254,David Collette made Free Throw.,57,70
4:56,2086,Kelan Martin made Jumper.,57,72
4:33,254,David Collette made Jumper.,59,72
4:18,2086,Aaron Thompson missed Jumper.,59,72
4:18,254,Donnie Tillman Block.,59,72
4:18,254,Justin Bibbins Defensive Rebound.,59,72
4:01,2086,Foul on Tyler Wideman.,59,72
4:01,254,David Collette made Free Throw.,60,72
4:01,254,David Collette made Free Throw.,61,72
3:50,2086,Kamar Baldwin missed Layup.,61,72
3:50,254,David Collette Block.,61,72
3:50,254,David Collette Defensive Rebound.,61,72
3:42,254,Sedrick Barefield missed Three Point Jumper.,61,72
3:42,2086,Kelan Martin Defensive Rebound.,61,72
3:11,2086,Tyler Wideman missed Jumper.,61,72
3:11,254,David Collette Defensive Rebound.,61,72
2:55,254,Donnie Tillman made Jumper.,63,72
2:55,254,Utah  Timeout,63,72
2:51,2086,Aaron Thompson Turnover.,63,72
2:51,254,Justin Bibbins Steal.,63,72
2:40,254,Donnie Tillman made Three Point Jumper. Assisted by Justin Bibbins.,66,72
2:28,254,Foul on Justin Bibbins.,66,72
2:28,2086,Aaron Thompson made Free Throw.,66,73
2:28,2086,Aaron Thompson made Free Throw.,66,74
2:23,254,Donnie Tillman made Three Point Jumper. Assisted by Justin Bibbins.,69,74
1:59,2086,Kelan Martin made Jumper. Assisted by Kamar Baldwin.,69,76
1:43,254,Sedrick Barefield missed Three Point Jumper.,69,76
1:43,2086,Tyler Wideman Defensive Rebound.,69,76
1:14,2086,Kelan Martin made Three Point Jumper.,69,79
0:59,254,Donnie Tillman missed Three Point Jumper.,69,79
0:59,2086,Tyler Wideman Defensive Rebound.,69,79
0:55,254,Foul on David Collette.,69,79
0:55,2086,Tyler Wideman made Free Throw.,69,80
0:55,2086,Tyler Wideman made Free Throw.,69,81
0:49,254,Justin Bibbins missed Three Point Jumper.,69,81
0:49,2086,Kamar Baldwin Defensive Rebound.,69,81
0:20,2086,Kelan Martin missed Three Point Jumper.,69,81
0:20,254,Donnie Tillman Defensive Rebound.,69,81
0:12,254,Sedrick Barefield missed Three Point Jumper.,69,81
0:12,2086,Kelan Martin Defensive Rebound.,69,81
0:00,2086,End of Game,69,81
