Evansville,189,Bowling Green,339
5:05,189,Demajeo Wiggins missed Free Throw.,28,26
5:05,339,John Hall Defensive Rebound.,28,26
4:58,339,Dru Smith made Layup.,30,26
4:49,189,Justin Turner made Three Point Jumper. Assisted by Dylan Frye.,30,29
4:28,339,K.J. Riley missed Layup.,30,29
4:28,339,K.J. Riley Offensive Rebound.,30,29
4:27,189,Foul on Demajeo Wiggins.,30,29
4:20,339,Evan Kuhlman made Three Point Jumper. Assisted by K.J. Riley.,33,29
4:06,339,Foul on Marty Hill.,33,29
4:06,189,Dylan Frye made Free Throw.,33,30
4:06,189,Dylan Frye made Free Throw.,33,31
4:00,189,Foul on Dylan Frye.,33,31
4:00,339,Evan Kuhlman made Free Throw.,34,31
4:00,339,Evan Kuhlman made Free Throw.,35,31
3:38,189,Dylan Frye missed Three Point Jumper.,35,31
3:38,339,Evan Kuhlman Defensive Rebound.,35,31
3:31,339,K.J. Riley missed Layup.,35,31
3:31,339,John Hall Offensive Rebound.,35,31
3:26,339,John Hall missed Layup.,35,31
3:26,189,Daeqwon Plowden Block.,35,31
3:23,189,Dylan Frye Defensive Rebound.,35,31
3:18,189,Derek Koch made Layup. Assisted by Dylan Frye.,35,33
3:03,339,John Hall made Layup. Assisted by K.J. Riley.,37,33
3:03,189,Foul on Daeqwon Plowden.,37,33
3:03,189,Official TV Timeout,37,33
3:03,339,John Hall made Free Throw.,38,33
2:44,189,Rodrick Caldwell missed Three Point Jumper.,38,33
2:44,339,John Hall Defensive Rebound.,38,33
2:37,339,John Hall Turnover.,38,33
2:37,339,Foul on John Hall.,38,33
2:28,189,Justin Turner missed Layup.,38,33
2:28,339,Evan Kuhlman Defensive Rebound.,38,33
2:12,189,Foul on Dylan Frye.,38,33
2:12,339,Noah Frederking made Free Throw.,39,33
2:12,339,Noah Frederking made Free Throw.,40,33
1:51,189,Rodrick Caldwell missed Jumper.,40,33
1:51,339,Dru Smith Defensive Rebound.,40,33
1:44,339,Dru Smith made Layup.,42,33
1:25,189,Derek Koch made Layup. Assisted by Matt Fox.,42,35
1:25,339,Foul on Evan Kuhlman.,42,35
1:25,189,Derek Koch missed Free Throw.,42,35
1:25,339,Evan Kuhlman Defensive Rebound.,42,35
1:08,339,Dru Smith made Layup.,44,35
0:57,339,Foul on K.J. Riley.,44,35
0:57,189,Rodrick Caldwell missed Free Throw.,44,35
0:57,189,Bowling Green Deadball Team Rebound.,44,35
0:57,189,Rodrick Caldwell missed Free Throw.,44,35
0:57,339,Dainius Chatkevicius Defensive Rebound.,44,35
0:41,339,Dru Smith Turnover.,44,35
0:41,339,Foul on Dru Smith.,44,35
0:27,189,Nelly Cummings made Layup.,44,37
0:06,189,Foul on Nelly Cummings.,44,37
0:06,339,K.J. Riley made Free Throw.,45,37
0:06,339,K.J. Riley made Free Throw.,46,37
0:02,189,Justin Turner made Three Point Jumper. Assisted by Nelly Cummings.,46,40
0:00,189,End of 1st half,46,40
19:51,189,Demajeo Wiggins Turnover.,46,40
19:50,339,Dru Smith Steal.,46,40
19:32,339,Duane Gibson missed Jumper.,46,40
19:32,189,Demajeo Wiggins Defensive Rebound.,46,40
19:24,189,Derek Koch made Three Point Jumper. Assisted by Justin Turner.,46,43
19:00,339,Noah Frederking missed Jumper.,46,43
19:00,189,Demajeo Wiggins Defensive Rebound.,46,43
18:48,189,Dylan Frye made Layup.,46,45
18:22,189,Foul on Rodrick Caldwell.,46,45
18:15,339,Duane Gibson Turnover.,46,45
18:15,189,Justin Turner Steal.,46,45
17:58,189,Rodrick Caldwell missed Layup.,46,45
17:58,339,Duane Gibson Block.,46,45
17:56,339,Duane Gibson Defensive Rebound.,46,45
17:53,339,Blake Simmons made Layup. Assisted by Duane Gibson.,48,45
17:30,189,Justin Turner missed Jumper.,48,45
17:30,339,Duane Gibson Defensive Rebound.,48,45
17:25,339,Noah Frederking made Layup. Assisted by Duane Gibson.,50,45
17:15,189,Dylan Frye Turnover.,50,45
17:14,339,Dru Smith Steal.,50,45
16:58,339,Duane Gibson Turnover.,50,45
16:57,189,Dylan Frye Steal.,50,45
16:50,189,Rodrick Caldwell missed Three Point Jumper.,50,45
16:50,339,Dainius Chatkevicius Defensive Rebound.,50,45
16:32,339,Dainius Chatkevicius made Dunk. Assisted by Blake Simmons.,52,45
16:22,189,Bowling Green  Timeout,52,45
16:07,189,Derek Koch made Layup. Assisted by Demajeo Wiggins.,52,47
15:52,339,Blake Simmons missed Three Point Jumper.,52,47
15:52,189,Nelly Cummings Defensive Rebound.,52,47
15:46,339,Foul on Duane Gibson.,52,47
15:45,189,Official TV Timeout,52,47
15:26,189,Justin Turner Turnover.,52,47
15:01,339,Dru Smith made Three Point Jumper. Assisted by Blake Simmons.,55,47
14:43,189,Derek Koch Turnover.,55,47
14:24,189,Foul on Demajeo Wiggins.,55,47
14:24,339,Dalen Traore missed Free Throw.,55,47
14:24,339,Evansville Deadball Team Rebound.,55,47
14:24,339,Dalen Traore made Free Throw.,56,47
14:04,189,Dylan Frye missed Three Point Jumper.,56,47
14:04,339,Blake Simmons Defensive Rebound.,56,47
13:55,339,K.J. Riley missed Layup.,56,47
13:55,189,Demajeo Wiggins Defensive Rebound.,56,47
13:45,189,Justin Turner made Three Point Jumper. Assisted by Dylan Frye.,56,50
13:25,189,Foul on Daeqwon Plowden.,56,50
13:12,339,Dalen Traore missed Layup.,56,50
13:12,189,Daeqwon Plowden Block.,56,50
13:11,189,Demajeo Wiggins Defensive Rebound.,56,50
13:01,339,Foul on Dalen Traore.,56,50
13:01,189,Demajeo Wiggins made Free Throw.,56,51
13:01,189,Demajeo Wiggins missed Free Throw.,56,51
13:01,339,Blake Simmons Defensive Rebound.,56,51
12:45,339,Dru Smith made Three Point Jumper. Assisted by Blake Simmons.,59,51
12:33,189,Nelly Cummings missed Three Point Jumper.,59,51
12:33,339,Dru Smith Defensive Rebound.,59,51
12:26,339,Noah Frederking missed Layup.,59,51
12:26,339,Noah Frederking Offensive Rebound.,59,51
12:19,339,Dru Smith made Three Point Jumper. Assisted by K.J. Riley.,62,51
12:02,189,Demajeo Wiggins Turnover.,62,51
12:01,339,Evan Kuhlman Steal.,62,51
11:42,339,Noah Frederking made Three Point Jumper. Assisted by Dru Smith.,65,51
11:39,189,Bowling Green  Timeout,65,51
11:19,189,Nelly Cummings made Layup.,65,53
10:52,339,Dru Smith made Layup.,67,53
10:38,339,Foul on K.J. Riley.,67,53
10:38,189,Nelly Cummings made Free Throw.,67,54
10:38,189,Nelly Cummings made Free Throw.,67,55
10:12,339,Evan Kuhlman made Three Point Jumper. Assisted by Dru Smith.,70,55
10:00,189,Nelly Cummings made Three Point Jumper.,70,58
9:37,339,Dainius Chatkevicius made Layup. Assisted by Dru Smith.,72,58
9:06,189,Nelly Cummings missed Three Point Jumper.,72,58
9:06,339,Dainius Chatkevicius Defensive Rebound.,72,58
8:46,339,Dru Smith missed Three Point Jumper.,72,58
8:46,339,K.J. Riley Offensive Rebound.,72,58
8:39,339,K.J. Riley Turnover.,72,58
8:39,189,Antwon Lillard Steal.,72,58
8:21,189,Justin Turner missed Jumper.,72,58
8:21,339,Dru Smith Block.,72,58
8:20,339,Dru Smith Defensive Rebound.,72,58
7:55,339,Dru Smith made Layup. Assisted by Noah Frederking.,74,58
7:53,189,Official TV Timeout,74,58
7:37,189,Justin Turner made Layup.,74,60
7:29,189,Foul on Rodrick Caldwell.,74,60
7:20,339,Dainius Chatkevicius made Dunk. Assisted by Blake Simmons.,76,60
6:59,189,Justin Turner made Three Point Jumper. Assisted by Rodrick Caldwell.,76,63
6:26,339,Duane Gibson made Jumper.,78,63
6:06,189,Rodrick Caldwell missed Three Point Jumper.,78,63
6:06,339,Duane Gibson Defensive Rebound.,78,63
5:54,189,Foul on Rodrick Caldwell.,78,63
5:45,339,Noah Frederking made Three Point Jumper. Assisted by Dru Smith.,81,63
5:31,339,Foul on John Hall.,81,63
5:31,189,Antwon Lillard made Free Throw.,81,64
5:31,189,Antwon Lillard made Free Throw.,81,65
5:09,339,Noah Frederking made Layup.,83,65
4:59,339,Foul on Blake Simmons.,83,65
4:59,189,Dylan Frye missed Free Throw.,83,65
4:59,189,Bowling Green Deadball Team Rebound.,83,65
4:59,189,Dylan Frye missed Free Throw.,83,65
4:59,339,Duane Gibson Defensive Rebound.,83,65
4:39,339,K.J. Riley Turnover.,83,65
4:32,189,Nelly Cummings missed Layup.,83,65
4:32,339,Blake Simmons Defensive Rebound.,83,65
4:29,339,Duane Gibson Turnover.,83,65
4:28,189,Justin Turner Steal.,83,65
4:24,339,Foul on Blake Simmons.,83,65
4:24,189,Nelly Cummings made Free Throw.,83,66
4:24,189,Nelly Cummings made Free Throw.,83,67
4:15,339,Duane Gibson made Layup.,85,67
4:04,189,Dylan Frye missed Three Point Jumper.,85,67
4:04,339,Duane Gibson Defensive Rebound.,85,67
3:49,339,Dru Smith Turnover.,85,67
3:49,189,Nelly Cummings Steal.,85,67
3:43,339,Foul on Duane Gibson.,85,67
3:43,189,Antwon Lillard missed Free Throw.,85,67
3:43,189,Bowling Green Deadball Team Rebound.,85,67
3:43,189,Antwon Lillard made Free Throw.,85,68
3:16,339,Dru Smith missed Three Point Jumper.,85,68
3:16,189,Dylan Frye Defensive Rebound.,85,68
3:06,189,Nelly Cummings made Layup.,85,70
2:41,339,Blake Simmons made Layup.,87,70
2:32,189,Dylan Frye made Layup.,87,72
2:32,339,Foul on Noah Frederking.,87,72
2:32,189,Dylan Frye made Free Throw.,87,73
2:00,339,Blake Simmons made Three Point Jumper.,90,73
1:51,189,Justin Turner missed Three Point Jumper.,90,73
1:51,339,Duane Gibson Defensive Rebound.,90,73
1:39,339,Noah Frederking Turnover.,90,73
1:38,189,Dylan Frye Steal.,90,73
1:36,189,Justin Turner made Three Point Jumper. Assisted by Dylan Frye.,90,76
1:26,189,Foul on Nelly Cummings.,90,76
1:07,339,Noah Frederking Turnover.,90,76
1:05,189,Nelly Cummings missed Three Point Jumper.,90,76
1:05,339,Duane Gibson Defensive Rebound.,90,76
0:48,189,Foul on De Andre' Austin.,90,76
0:48,339,Duane Gibson made Free Throw.,91,76
0:48,339,Duane Gibson missed Free Throw.,91,76
0:48,189,Matt Fox Defensive Rebound.,91,76
0:37,189,Matt Fox missed Three Point Jumper.,91,76
0:37,339,Dru Smith Defensive Rebound.,91,76
0:05,339,K.J. Riley Turnover.,91,76
0:00,189,End of Game,91,76
