Omaha,2540,UC Santa Barbara,2437
7:45,2437,KJ Robinson made Three Point Jumper. Assisted by Mitchell Hahn.,16,20
7:20,2540,Leland King II Turnover.,16,20
7:12,2437,Mitchell Hahn made Layup. Assisted by JT Gibson.,18,20
6:57,2540,Gabe Vincent missed Jumper.,18,20
6:57,2540,UC Santa Barbara Offensive Rebound.,18,20
6:55,2437,Foul on  .,18,20
6:23,2540,Max Heidegger missed Jumper.,18,20
6:23,2437,JT Gibson Defensive Rebound.,18,20
6:16,2437,KJ Robinson made Jumper. Assisted by JT Gibson.,20,20
5:58,2540,Gabe Vincent missed Jumper.,20,20
5:58,2437,Matt Pile Defensive Rebound.,20,20
5:36,2437,KJ Robinson Turnover.,20,20
5:21,2437,Foul on Matt Pile.,20,20
5:21,2540,Jalen Canty made Free Throw.,20,21
5:21,2540,Jalen Canty made Free Throw.,20,22
5:08,2437,Matt Pile missed Layup.,20,22
5:08,2540,Jalen Canty Block.,20,22
5:06,2540,Christian Terrell Defensive Rebound.,20,22
5:00,2540,Leland King II missed Three Point Jumper.,20,22
5:00,2437,Zach Jackson Defensive Rebound.,20,22
4:48,2437,Zach Jackson made Layup. Assisted by JT Gibson.,22,22
4:48,2540,Foul on Jalen Canty.,22,22
4:48,2437,Zach Jackson made Free Throw.,23,22
4:31,2540,Max Heidegger missed Layup.,23,22
4:31,2540,Alex Hart Offensive Rebound.,23,22
4:26,2540,Alex Hart missed Jumper.,23,22
4:26,2437,Zach Jackson Defensive Rebound.,23,22
4:09,2437,Zach Jackson missed Jumper.,23,22
4:09,2540,Leland King II Defensive Rebound.,23,22
3:55,2540,Alex Hart Turnover.,23,22
3:51,2437,JT Gibson made Three Point Jumper.,26,22
3:30,2540,Marcus Jackson missed Jumper.,26,22
3:30,2540,Leland King II Offensive Rebound.,26,22
3:25,2540,Leland King II made Layup.,26,24
3:08,2540,Foul on Alex Hart.,26,24
2:54,2437,JT Gibson made Layup.,28,24
2:35,2540,Gabe Vincent missed Jumper.,28,24
2:35,2437,Mitchell Hahn Defensive Rebound.,28,24
2:15,2437,Mitchell Hahn missed Three Point Jumper.,28,24
2:15,2540,Christian Terrell Defensive Rebound.,28,24
2:01,2540,Gabe Vincent made Three Point Jumper. Assisted by Max Heidegger.,28,27
1:40,2437,Mitchell Hahn missed Jumper.,28,27
1:40,2540,Leland King II Defensive Rebound.,28,27
1:34,2437,Foul on Daniel Norl.,28,27
1:34,2540,Max Heidegger missed Free Throw.,28,27
1:34,2437,Mitchell Hahn Defensive Rebound.,28,27
1:16,2437,Zach Jackson made Layup. Assisted by JT Gibson.,30,27
0:55,2540,Gabe Vincent missed Three Point Jumper.,30,27
0:55,2437,Mitchell Hahn Defensive Rebound.,30,27
0:31,2437,Mitchell Hahn missed Jumper.,30,27
0:31,2540,Gabe Vincent Defensive Rebound.,30,27
0:00,2437,Foul on Matt Pile.,30,27
0:00,2540,Marcus Jackson made Free Throw.,30,28
0:00,2540,Marcus Jackson made Free Throw.,30,29
0:00,2540,Marcus Jackson missed Free Throw.,30,29
0:00,2437,Mitchell Hahn Defensive Rebound.,30,29
0:00,2540,End of 1st half,30,27
19:44,2540,Marcus Jackson missed Jumper.,30,29
19:44,2437,Mitchell Hahn Defensive Rebound.,30,29
19:12,2437,Mitchell Hahn made Layup.,32,29
18:59,2540,Leland King II missed Jumper.,32,29
18:59,2437,Daniel Norl Defensive Rebound.,32,29
18:42,2437,made Layup. Assisted by KJ Robinson.,34,29
18:20,2540,Leland King II made Jumper. Assisted by Max Heidegger.,34,31
18:13,2437,Daniel Norl Turnover.,34,31
18:13,2437,Foul on Daniel Norl.,34,31
17:55,2540,Leland King II missed Jumper.,34,31
17:55,2540,Leland King II Offensive Rebound.,34,31
17:51,2540,Leland King II made Jumper.,34,33
17:37,2437,Mitchell Hahn made Three Point Jumper. Assisted by KJ Robinson.,37,33
17:17,2540,Jalen Canty Turnover.,37,33
17:13,2437,Mitchell Hahn missed Three Point Jumper.,37,33
17:13,2540,Leland King II Defensive Rebound.,37,33
16:48,2540,Max Heidegger made Layup. Assisted by Gabe Vincent.,37,35
16:38,2437,KJ Robinson missed Jumper.,37,35
16:38,2540,Leland King II Defensive Rebound.,37,35
16:30,2540,Max Heidegger made Three Point Jumper. Assisted by Marcus Jackson.,37,38
16:09,2437,Matt Pile made Jumper.,39,38
15:47,2540,Jalen Canty missed Jumper.,39,38
15:47,2437,Mitchell Hahn Defensive Rebound.,39,38
15:40,2540,Foul on Max Heidegger.,39,38
15:24,2437,Zach Jackson missed Layup.,39,38
15:24,2540,Marcus Jackson Defensive Rebound.,39,38
15:15,2540,Gabe Vincent made Three Point Jumper. Assisted by Marcus Jackson.,39,41
14:59,2437,KJ Robinson missed Three Point Jumper.,39,41
14:59,2437,Zach Jackson Offensive Rebound.,39,41
14:45,2540,Foul on Gabe Vincent.,39,41
14:34,2437,JT Gibson made Jumper. Assisted by Zach Jackson.,41,41
14:18,2437,Foul on JT Gibson.,41,41
14:18,2540,Max Heidegger made Free Throw.,41,42
14:18,2540,Max Heidegger made Free Throw.,41,43
13:57,2437,KJ Robinson Turnover.,41,43
13:39,2540,Leland King II missed Three Point Jumper.,41,43
13:39,2540,Christian Terrell Offensive Rebound.,41,43
13:31,2540,Gabe Vincent Turnover.,41,43
13:21,2437,JT Gibson Turnover.,41,43
13:01,2540,Gabe Vincent missed Three Point Jumper.,41,43
13:01,2437,JT Gibson Defensive Rebound.,41,43
12:52,2540,Foul on Gabe Vincent.,41,43
12:41,2437,Daniel Norl made Layup. Assisted by JT Gibson.,43,43
12:13,2540,Marcus Jackson missed Jumper.,43,43
12:13,2540,Jalen Canty Offensive Rebound.,43,43
12:09,2437,Foul on Matt Pile.,43,43
12:00,2540,Jalen Canty made Jumper. Assisted by Maxwell Kupchak.,43,45
11:39,2437,Mitchell Hahn made Dunk.,45,45
11:23,2540,Max Heidegger made Three Point Jumper. Assisted by Marcus Jackson.,45,48
11:00,2437,Mitchell Hahn missed Layup.,45,48
11:00,2540,Jalen Canty Defensive Rebound.,45,48
10:48,2540,Jalen Canty missed Layup.,45,48
10:48,2540,Jalen Canty Offensive Rebound.,45,48
10:44,2540,Jalen Canty made Layup.,45,50
10:29,2437,Turnover.,45,50
10:08,2540,Max Heidegger made Layup. Assisted by Brandon Davis.,45,52
9:50,2437,JT Gibson made Layup.,47,52
9:34,2540,Max Heidegger made Layup.,47,54
9:34,2437,Foul on JT Gibson.,47,54
9:34,2540,Max Heidegger missed Free Throw.,47,54
9:34,2437,Mitchell Hahn Defensive Rebound.,47,54
9:21,2437,Zach Jackson made Three Point Jumper. Assisted by Daniel Norl.,50,54
8:52,2540,Jalen Canty made Jumper. Assisted by Marcus Jackson.,50,56
8:27,2437,Zach Jackson Turnover.,50,56
8:25,2540,Marcus Jackson Steal.,50,56
8:06,2437,Foul on Mitchell Hahn.,50,56
8:06,2540,Leland King II made Free Throw.,50,57
8:06,2540,Leland King II made Free Throw.,50,58
7:58,2540,Foul on Max Heidegger.,50,58
7:58,2437,KJ Robinson made Free Throw.,51,58
7:58,2437,KJ Robinson made Free Throw.,52,58
7:36,2540,Max Heidegger made Three Point Jumper.,52,61
7:21,2540,Foul on Marcus Jackson.,52,61
7:04,2437,Turnover.,52,61
6:50,2540,Gabe Vincent made Layup. Assisted by Marcus Jackson.,52,63
6:34,2437,Daniel Norl Turnover.,52,63
6:33,2540,Gabe Vincent Steal.,52,63
6:29,2540,Leland King II made Layup. Assisted by Gabe Vincent.,52,65
6:05,2437,Zach Jackson missed Jumper.,52,65
6:05,2540,Ami Lakoju Defensive Rebound.,52,65
5:51,2540,Ami Lakoju missed Jumper.,52,65
5:51,2540,Christian Terrell Offensive Rebound.,52,65
5:44,2540,Gabe Vincent missed Three Point Jumper.,52,65
5:44,2540,Christian Terrell Offensive Rebound.,52,65
5:23,2540,Gabe Vincent made Jumper.,52,67
5:09,2437,JT Gibson made Three Point Jumper.,55,67
4:49,2540,Leland King II Turnover.,55,67
4:31,2437,KJ Robinson missed Jumper.,55,67
4:31,2437,Matt Pile Offensive Rebound.,55,67
4:29,2540,Foul on Gabe Vincent.,55,67
4:22,2437,Zach Jackson made Jumper.,57,67
4:03,2540,Max Heidegger Turnover.,57,67
3:57,2437,JT Gibson missed Three Point Jumper.,57,67
3:57,2437,Omaha Offensive Rebound.,57,67
3:54,2540,Foul on Gabe Vincent.,57,67
3:54,2437,Zach Jackson made Free Throw.,58,67
3:54,2437,Zach Jackson made Free Throw.,59,67
3:35,2540,Jalen Canty made Jumper.,59,69
3:13,2437,Mitchell Hahn missed Jumper.,59,69
3:13,2540,Jalen Canty Defensive Rebound.,59,69
3:01,2540,Leland King II made Jumper.,59,71
2:46,2437,JT Gibson missed Jumper.,59,71
2:46,2540,Jalen Canty Defensive Rebound.,59,71
2:22,2540,Max Heidegger missed Three Point Jumper.,59,71
2:22,2437,Omaha Defensive Rebound.,59,71
2:01,2437,KJ Robinson missed Three Point Jumper.,59,71
2:01,2540,Christian Terrell Defensive Rebound.,59,71
1:47,2540,Leland King II missed Three Point Jumper.,59,71
1:47,2437,Matt Pile Defensive Rebound.,59,71
1:30,2437,Mitchell Hahn made Jumper.,61,71
1:20,2540,Leland King II made Layup. Assisted by Marcus Jackson.,61,73
1:08,2437,Mitchell Hahn missed Layup.,61,73
1:08,2437,Matt Pile Offensive Rebound.,61,73
1:07,2437,Matt Pile made Two Point Tip Shot.,63,73
0:59,2540,Marcus Jackson Turnover.,63,73
0:58,2437,Mitchell Hahn Steal.,63,73
0:56,2437,JT Gibson made Three Point Jumper. Assisted by KJ Robinson.,66,73
0:45,2437,Foul on Matt Pile.,66,73
0:42,2437,Foul on JT Gibson.,66,73
0:42,2540,Marcus Jackson missed Free Throw.,66,73
0:42,2437,Mitchell Hahn Defensive Rebound.,66,73
0:36,2437,JT Gibson missed Three Point Jumper.,66,73
0:36,2540,UC Santa Barbara Defensive Rebound.,66,73
0:27,2437,Foul on Mitchell Hahn.,66,73
0:27,2437,Technical Foul on Omaha.,66,73
0:27,2540,Max Heidegger made Free Throw.,66,74
0:27,2540,Max Heidegger missed Free Throw.,66,74
0:27,2540,UC Santa Barbara Deadball Team Rebound.,66,74
0:27,2540,Max Heidegger made Free Throw.,66,75
0:27,2540,Max Heidegger made Free Throw.,66,76
0:19,2437,Matt Pile made Dunk. Assisted by KJ Robinson.,68,76
0:16,2437,Foul on Zach Jackson.,68,76
0:16,2540,Max Heidegger made Free Throw.,68,77
0:16,2540,Max Heidegger missed Free Throw.,68,77
0:16,2437,Zach Jackson Defensive Rebound.,68,77
0:10,2437,Zach Jackson made Jumper. Assisted by KJ Robinson.,70,77
0:00,2540,End of Game,70,77
