Cleveland State,2184,Duquesne,325
3:33,325,Jamarcus Hairston made Free Throw.,28,24
3:16,325,Foul on Rob Edwards.,28,24
3:16,2184,Tarin Smith made Free Throw.,28,25
3:16,2184,Tarin Smith made Free Throw.,28,26
3:04,325,Demonte Flannigan missed Jumper.,28,26
3:04,2184,Tarin Smith Defensive Rebound.,28,26
2:55,2184,Eric James made Three Point Jumper. Assisted by Tarin Smith.,28,29
2:34,325,Kenny Carpenter Turnover.,28,29
2:34,325,Foul on Kenny Carpenter.,28,29
2:21,325,Foul on Jamarcus Hairston.,28,29
2:21,2184,Eric James missed Free Throw.,28,29
2:21,2184,Duquesne Deadball Team Rebound.,28,29
2:21,2184,Eric James missed Free Throw.,28,29
2:21,325,Jamarcus Hairston Defensive Rebound.,28,29
2:17,325,Cleveland St  Timeout,28,29
2:03,325,Daniel Levitt missed Jumper.,28,29
2:03,325,Daniel Levitt Offensive Rebound.,28,29
1:39,325,Kenny Carpenter missed Jumper.,28,29
1:38,2184,Eric James Defensive Rebound.,28,29
1:38,2184,Eric James Defensive Rebound.,28,29
1:37,2184,Tarin Smith Turnover.,28,29
1:37,2184,Tarin Smith Turnover.,28,29
1:16,325,Jamarcus Hairston Turnover.,28,29
1:16,325,Jamarcus Hairston Turnover.,28,29
1:00,2184,Eric James missed Three Point Jumper.,28,29
1:00,2184,Darius Lewis Offensive Rebound.,28,29
1:00,2184,Eric James missed Three Point Jumper.,28,29
1:00,2184,Darius Lewis Offensive Rebound.,28,29
0:57,2184,Darius Lewis made Jumper.,28,31
0:57,2184,Darius Lewis made Jumper.,28,31
0:50,325,Cleveland St  Timeout,28,31
0:50,325,Cleveland St  Timeout,28,31
0:31,325,Kenny Carpenter made Jumper. Assisted by Kasheem Thomas.,30,31
0:31,325,Kenny Carpenter made Jumper. Assisted by Kasheem Thomas.,30,31
0:20,2184,Duquesne  Timeout,30,31
0:20,2184,Duquesne  Timeout,30,31
0:03,2184,Darius Lewis made Layup. Assisted by Rene Castro.,30,33
0:03,2184,Darius Lewis made Layup. Assisted by Rene Castro.,30,33
0:00,2184,End of 1st half,30,33
19:52,325,Derek Sloan Turnover.,30,33
19:31,2184,Darius Lewis missed Jumper.,30,33
19:31,325,Bobby Word Defensive Rebound.,30,33
19:20,325,Jibri Blount missed Jumper.,30,33
19:20,325,Cleveland St Offensive Rebound.,30,33
19:19,2184,Foul on Isiaha Mike.,30,33
19:09,325,Rob Edwards missed Jumper.,30,33
19:09,2184,Darius Lewis Defensive Rebound.,30,33
19:00,2184,Nakye Sanders made Layup. Assisted by Emile Blackman.,30,35
18:40,325,Bobby Word missed Three Point Jumper.,30,35
18:40,2184,Tarin Smith Defensive Rebound.,30,35
18:34,2184,Emile Blackman missed Layup.,30,35
18:34,325,Kasheem Thomas Defensive Rebound.,30,35
18:26,325,Kasheem Thomas missed Three Point Jumper.,30,35
18:26,2184,Tarin Smith Defensive Rebound.,30,35
18:14,2184,Darius Lewis missed Layup.,30,35
18:14,325,Jibri Blount Defensive Rebound.,30,35
18:02,325,Bobby Word Turnover.,30,35
17:42,2184,Darius Lewis Turnover.,30,35
17:40,325,Kenny Carpenter Steal.,30,35
17:37,325,Kenny Carpenter Turnover.,30,35
17:26,325,Foul on Derek Sloan.,30,35
17:26,2184,Darius Lewis made Free Throw.,30,36
17:26,2184,Darius Lewis made Free Throw.,30,37
17:15,325,Kenny Carpenter missed Jumper.,30,37
17:15,325,Kenny Carpenter Offensive Rebound.,30,37
17:07,325,Kenny Carpenter made Three Point Jumper. Assisted by Kasheem Thomas.,33,37
16:39,2184,Jordan Robinson made Layup.,33,39
16:28,325,Jibri Blount missed Three Point Jumper.,33,39
16:28,325,Cleveland St Offensive Rebound.,33,39
16:21,325,Rob Edwards missed Layup.,33,39
16:21,2184,Tarin Smith Defensive Rebound.,33,39
16:09,2184,Mike Lewis II missed Three Point Jumper.,33,39
16:09,2184,Duquesne Offensive Rebound.,33,39
16:06,2184,Mike Lewis II made Jumper. Assisted by Tarin Smith.,33,41
15:49,325,Rob Edwards Turnover.,33,41
15:48,2184,Mike Lewis II Steal.,33,41
15:46,325,Foul on Kenny Carpenter.,33,41
15:46,2184,Official TV Timeout,33,41
15:46,2184,Tarin Smith missed Free Throw.,33,41
15:46,2184,Duquesne Deadball Team Rebound.,33,41
15:46,2184,Tarin Smith made Free Throw.,33,42
15:28,325,Kasheem Thomas made Jumper.,35,42
15:09,325,Foul on Demonte Flannigan.,35,42
15:06,2184,Emile Blackman Turnover.,35,42
14:50,325,Demonte Flannigan missed Layup.,35,42
14:50,2184,Mike Lewis II Defensive Rebound.,35,42
14:35,2184,Nakye Sanders Turnover.,35,42
14:24,325,Kasheem Thomas made Three Point Jumper. Assisted by Jibri Blount.,38,42
14:04,2184,Emile Blackman missed Jumper.,38,42
14:04,325,Rob Edwards Defensive Rebound.,38,42
14:00,2184,Foul on Nakye Sanders.,38,42
13:44,325,Rob Edwards made Layup.,40,42
13:44,2184,Foul on Jordan Robinson.,40,42
13:44,325,Rob Edwards missed Free Throw.,40,42
13:44,2184,Jordan Robinson Defensive Rebound.,40,42
13:21,2184,Jordan Robinson made Jumper.,40,44
13:06,325,Kenny Carpenter made Three Point Jumper. Assisted by Kasheem Thomas.,43,44
12:42,2184,Josh Steel made Three Point Jumper. Assisted by Tarin Smith.,43,47
12:22,325,Kasheem Thomas missed Three Point Jumper.,43,47
12:22,2184,Tarin Smith Defensive Rebound.,43,47
12:09,2184,Mike Lewis II missed Layup.,43,47
12:09,325,Jamarcus Hairston Block.,43,47
12:07,2184,Eric James Offensive Rebound.,43,47
12:04,2184,Josh Steel made Layup.,43,49
11:44,325,Rob Edwards Turnover.,43,49
11:41,2184,Eric James Steal.,43,49
11:39,2184,Mike Lewis II made Three Point Jumper. Assisted by Eric James.,43,52
11:38,325,Cleveland St  Timeout,43,52
11:37,325,Jibri Blount missed Layup.,43,52
11:37,2184,Mike Lewis II Defensive Rebound.,43,52
11:13,2184,Josh Steel made Three Point Jumper. Assisted by Eric James.,43,55
11:03,325,Kenny Carpenter missed Jumper.,43,55
11:03,2184,Darius Lewis Defensive Rebound.,43,55
10:52,2184,Mike Lewis II made Jumper.,43,57
10:38,325,Kasheem Thomas missed Jumper.,43,57
10:38,2184,Eric James Block.,43,57
10:37,2184,Darius Lewis Defensive Rebound.,43,57
10:30,2184,Rene Castro Turnover.,43,57
10:28,325,Kasheem Thomas Steal.,43,57
10:26,325,Kenny Carpenter missed Layup.,43,57
10:26,2184,Duquesne Defensive Rebound.,43,57
10:22,2184,Official TV Timeout,43,57
10:10,2184,Eric James made Layup. Assisted by Darius Lewis.,43,59
9:55,325,Kasheem Thomas missed Layup.,43,59
9:55,2184,Eric James Defensive Rebound.,43,59
9:45,325,Foul on Jamarcus Hairston.,43,59
9:40,325,Foul on Jibri Blount.,43,59
9:40,2184,Eric James made Free Throw.,43,60
9:40,2184,Eric James made Free Throw.,43,61
9:20,2184,Foul on Rene Castro.,43,61
9:20,325,Kasheem Thomas made Free Throw.,44,61
9:20,325,Kasheem Thomas made Free Throw.,45,61
9:14,2184,Tarin Smith Turnover.,45,61
9:14,2184,Foul on Tarin Smith.,45,61
9:05,325,Bobby Word missed Layup.,45,61
9:05,2184,Darius Lewis Block.,45,61
9:03,325,Cleveland St Offensive Rebound.,45,61
8:47,325,Derek Sloan missed Layup.,45,61
8:47,325,Kasheem Thomas Offensive Rebound.,45,61
8:47,2184,Foul on Eric James.,45,61
8:47,325,Kasheem Thomas made Free Throw.,46,61
8:47,325,Kasheem Thomas made Free Throw.,47,61
8:38,325,Foul on Derek Sloan.,47,61
8:38,2184,Tarin Smith missed Free Throw.,47,61
8:38,2184,Duquesne Deadball Team Rebound.,47,61
8:38,2184,Tarin Smith missed Free Throw.,47,61
8:38,325,Cleveland St Defensive Rebound.,47,61
8:23,325,Jibri Blount missed Three Point Jumper.,47,61
8:23,2184,Tarin Smith Defensive Rebound.,47,61
8:13,2184,Josh Steel missed Three Point Jumper.,47,61
8:13,2184,Darius Lewis Offensive Rebound.,47,61
8:07,2184,Josh Steel Turnover.,47,61
8:06,325,Kasheem Thomas Steal.,47,61
8:04,325,Kasheem Thomas made Layup.,49,61
7:56,2184,Official TV Timeout,49,61
7:53,2184,Tarin Smith Turnover.,49,61
7:52,325,Rob Edwards Steal.,49,61
7:50,325,Rob Edwards made Layup.,51,61
7:24,2184,Mike Lewis II Turnover.,51,61
7:19,325,Kasheem Thomas Turnover.,51,61
7:19,2184,Mike Lewis II Steal.,51,61
7:09,2184,Eric James missed Layup.,51,61
7:09,2184,Duquesne Offensive Rebound.,51,61
7:00,2184,Jordan Robinson missed Jumper.,51,61
7:00,325,Kasheem Thomas Defensive Rebound.,51,61
6:57,2184,Foul on Eric James.,51,61
6:57,325,Kasheem Thomas made Free Throw.,52,61
6:57,325,Kasheem Thomas missed Free Throw.,52,61
6:57,2184,Eric James Defensive Rebound.,52,61
6:32,325,Foul on Jibri Blount.,52,61
6:32,2184,Mike Lewis II missed Free Throw.,52,61
6:32,325,Anthony Wright Defensive Rebound.,52,61
6:31,2184,Foul on Eric James.,52,61
6:31,325,Anthony Wright made Free Throw.,53,61
6:31,325,Anthony Wright made Free Throw.,54,61
6:31,2184,Duquesne  Timeout,54,61
6:23,325,Foul on Terrell Hales.,54,61
6:23,2184,Eric James missed Free Throw.,54,61
6:23,325,Rob Edwards Defensive Rebound.,54,61
6:15,2184,Foul on Josh Steel.,54,61
6:15,325,Daniel Levitt missed Free Throw.,54,61
6:15,325,Cleveland St Deadball Team Rebound.,54,61
6:15,325,Daniel Levitt made Free Throw.,55,61
6:15,325,Daniel Levitt made Free Throw.,56,61
6:15,2184,Duquesne  Timeout,56,61
6:12,2184,Darius Lewis Turnover.,56,61
6:12,325,Kasheem Thomas Steal.,56,61
6:12,325,Kasheem Thomas made Layup.,58,61
6:12,2184,Foul on Emile Blackman.,58,61
6:12,325,Kasheem Thomas made Free Throw.,59,61
5:43,2184,Darius Lewis missed Jumper.,59,61
5:43,2184,Duquesne Offensive Rebound.,59,61
5:38,2184,Mike Lewis II missed Jumper.,59,61
5:38,325,Derek Sloan Defensive Rebound.,59,61
5:18,325,Demonte Flannigan made Jumper. Assisted by Rob Edwards.,61,61
5:07,325,Foul on Demonte Flannigan.,61,61
5:07,2184,Rene Castro missed Free Throw.,61,61
5:07,2184,Duquesne Deadball Team Rebound.,61,61
5:07,2184,Rene Castro made Free Throw.,61,62
5:01,325,Kasheem Thomas Turnover.,61,62
5:00,2184,Rene Castro Steal.,61,62
4:57,2184,Rene Castro made Layup.,61,64
4:36,325,Daniel Levitt missed Three Point Jumper.,61,64
4:36,2184,Mike Lewis II Defensive Rebound.,61,64
4:36,325,Foul on Derek Sloan.,61,64
4:36,2184,Mike Lewis II made Free Throw.,61,65
4:36,2184,Mike Lewis II made Free Throw.,61,66
4:20,325,Demonte Flannigan made Layup.,63,66
4:11,2184,Emile Blackman Turnover.,63,66
4:06,325,Kasheem Thomas missed Jumper.,63,66
4:06,325,Rob Edwards Offensive Rebound.,63,66
4:06,325,Rob Edwards made Layup.,65,66
3:53,2184,Rene Castro missed Layup.,65,66
3:53,2184,Darius Lewis Offensive Rebound.,65,66
3:50,2184,Darius Lewis made Two Point Tip Shot.,65,68
3:28,325,Demonte Flannigan made Layup.,67,68
3:05,2184,Mike Lewis II made Jumper.,67,70
2:44,325,Bobby Word missed Three Point Jumper.,67,70
2:44,2184,Josh Steel Defensive Rebound.,67,70
2:43,325,Foul on Anthony Wright.,67,70
2:43,2184,Official TV Timeout,67,70
2:43,2184,Josh Steel made Free Throw.,67,71
2:43,2184,Josh Steel made Free Throw.,67,72
2:35,325,Daniel Levitt missed Layup.,67,72
2:35,2184,Emile Blackman Defensive Rebound.,67,72
2:20,2184,Josh Steel missed Three Point Jumper.,67,72
2:20,325,Rob Edwards Defensive Rebound.,67,72
2:14,2184,Foul on Josh Steel.,67,72
2:14,325,Rob Edwards missed Free Throw.,67,72
2:14,325,Cleveland St Deadball Team Rebound.,67,72
2:14,325,Rob Edwards made Free Throw.,68,72
2:05,2184,Emile Blackman made Layup. Assisted by Rene Castro.,68,74
1:43,325,Demonte Flannigan Turnover.,68,74
1:42,2184,Mike Lewis II Turnover.,68,74
1:40,2184,Foul on Mike Lewis II.,68,74
1:40,325,Kasheem Thomas missed Free Throw.,68,74
1:40,325,Cleveland St Deadball Team Rebound.,68,74
1:40,325,Kasheem Thomas made Free Throw.,69,74
1:26,2184,Darius Lewis made Layup. Assisted by Mike Lewis II.,69,76
1:14,325,Jibri Blount missed Three Point Jumper.,69,76
1:14,2184,Darius Lewis Defensive Rebound.,69,76
1:06,325,Foul on Kasheem Thomas.,69,76
1:06,2184,Rene Castro made Free Throw.,69,77
1:06,2184,Rene Castro made Free Throw.,69,78
0:52,325,Rob Edwards missed Layup.,69,78
0:52,2184,Isiaha Mike Defensive Rebound.,69,78
0:36,2184,Rene Castro Turnover.,69,78
0:35,325,Daniel Levitt Steal.,69,78
0:30,325,Rob Edwards made Layup.,71,78
0:00,2184,End of Game,71,78
