Ball State,2674,Valparaiso,2050
4:51,2050,Tahjai Teague made Free Throw.,24,21
4:35,2674,Shane Hammink Turnover.,24,21
4:34,2050,Tahjai Teague Steal.,24,21
4:25,2050,Ryan Weber missed Three Point Jumper.,24,21
4:25,2674,Tevonn Walker Defensive Rebound.,24,21
4:11,2674,Jaume Sorolla missed Jumper.,24,21
4:11,2050,Trey Moses Defensive Rebound.,24,21
4:02,2050,Francis Kiapway made Jumper.,26,21
3:39,2674,Official TV Timeout,26,21
3:27,2674,Valparaiso  Turnover.,26,21
3:15,2674,Foul on Lexus Williams.,26,21
2:53,2050,Trey Moses made Layup. Assisted by Franko House.,28,21
2:28,2674,Lexus Williams made Three Point Jumper. Assisted by Tevonn Walker.,28,24
2:10,2050,Kyle Mallers made Three Point Jumper. Assisted by Franko House.,31,24
1:52,2674,Tevonn Walker missed Layup.,31,24
1:52,2050,Kyle Mallers Defensive Rebound.,31,24
1:36,2050,Francis Kiapway missed Three Point Jumper.,31,24
1:36,2674,Jaume Sorolla Defensive Rebound.,31,24
1:27,2674,Lexus Williams made Jumper.,31,26
1:02,2050,Trey Moses made Layup.,33,26
0:54,2674,Valparaiso  Timeout,33,26
0:45,2050,Foul on Tahjai Teague.,33,26
0:45,2674,Alec Peters made Free Throw.,33,27
0:45,2674,Alec Peters made Free Throw.,33,28
0:28,2050,Tayler Persons Turnover.,33,28
0:01,2050,Foul on Tahjai Teague.,33,28
0:01,2674,Alec Peters made Free Throw.,33,29
0:01,2674,Alec Peters made Free Throw.,33,30
0:01,2050,Ball State  Timeout,33,30
0:01,2050,Franko House Turnover.,33,30
0:00,2674,Jubril Adekoya Steal.,33,30
0:00,2674,End of 1st half,33,30
19:52,2674,Jubril Adekoya Turnover.,33,30
19:51,2050,Sean Sellers Steal.,33,30
19:42,2050,Franko House Turnover.,33,30
19:30,2674,Foul on Jubril Adekoya.,33,30
19:30,2674,Jubril Adekoya Turnover.,33,30
19:02,2050,Franko House missed Jumper.,33,30
19:02,2674,Lexus Williams Defensive Rebound.,33,30
18:55,2674,Alec Peters Turnover.,33,30
18:45,2050,Tayler Persons Turnover.,33,30
18:44,2674,Shane Hammink Steal.,33,30
18:41,2050,Foul on Tayler Persons.,33,30
18:41,2674,Shane Hammink made Free Throw.,33,31
18:41,2674,Shane Hammink missed Free Throw.,33,31
18:41,2050,Trey Moses Defensive Rebound.,33,31
18:23,2050,Francis Kiapway missed Three Point Jumper.,33,31
18:23,2674,Jubril Adekoya Defensive Rebound.,33,31
18:10,2674,Alec Peters made Layup. Assisted by Lexus Williams.,33,33
17:51,2050,Franko House made Layup.,35,33
17:51,2674,Foul on Jubril Adekoya.,35,33
17:51,2050,Franko House made Free Throw.,36,33
17:37,2050,Foul on Francis Kiapway.,36,33
17:28,2674,Derrik Smits made Jumper. Assisted by Alec Peters.,36,35
17:00,2050,Francis Kiapway missed Three Point Jumper.,36,35
17:00,2674,Shane Hammink Defensive Rebound.,36,35
16:51,2674,Shane Hammink made Layup.,36,37
16:36,2050,Trey Moses made Layup. Assisted by Tayler Persons.,38,37
16:35,2050,Ball State  Timeout,38,37
16:22,2674,Alec Peters missed Three Point Jumper.,38,37
16:22,2050,Tayler Persons Defensive Rebound.,38,37
16:13,2050,Tayler Persons made Jumper.,40,37
15:55,2674,Shane Hammink made Three Point Jumper. Assisted by Derrik Smits.,40,40
15:35,2674,Official TV Timeout,40,40
15:28,2050,Trey Moses Turnover.,40,40
15:27,2674,Shane Hammink Steal.,40,40
15:25,2674,Shane Hammink Turnover.,40,40
15:24,2050,Tahjai Teague Steal.,40,40
15:18,2050,Francis Kiapway made Jumper. Assisted by Tayler Persons.,42,40
14:58,2674,Lexus Williams missed Three Point Jumper.,42,40
14:58,2674,Derrik Smits Offensive Rebound.,42,40
14:53,2674,Derrik Smits made Layup.,42,42
14:37,2050,Ryan Weber made Layup. Assisted by Trey Moses.,44,42
14:16,2674,Alec Peters missed Jumper.,44,42
14:16,2050,Tahjai Teague Defensive Rebound.,44,42
14:02,2050,Trey Moses Turnover.,44,42
14:01,2674,Shane Hammink Steal.,44,42
13:56,2050,Foul on Trey Moses.,44,42
13:56,2674,Alec Peters missed Free Throw.,44,42
13:56,2674,Valparaiso Deadball Team Rebound.,44,42
13:56,2674,Alec Peters made Free Throw.,44,43
13:33,2050,Franko House missed Jumper.,44,43
13:33,2674,Derrik Smits Defensive Rebound.,44,43
13:23,2674,Derrik Smits made Layup. Assisted by Lexus Williams.,44,45
13:23,2050,Foul on Tahjai Teague.,44,45
13:23,2674,Derrik Smits made Free Throw.,44,46
13:05,2674,Foul on Lexus Williams.,44,46
12:56,2050,Tahjai Teague missed Three Point Jumper.,44,46
12:56,2674,Max Joseph Defensive Rebound.,44,46
12:36,2674,Alec Peters made Jumper. Assisted by Tevonn Walker.,44,48
12:26,2050,Ryan Weber Turnover.,44,48
12:25,2674,Lexus Williams Steal.,44,48
12:19,2674,Tevonn Walker made Three Point Jumper. Assisted by Max Joseph.,44,51
12:18,2050,Ball State  Timeout,44,51
12:18,2674,Official TV Timeout,44,51
12:15,2050,Franko House Turnover.,44,51
12:15,2674,Lexus Williams Steal.,44,51
12:01,2674,Derrik Smits missed Layup.,44,51
12:01,2050,Sean Sellers Defensive Rebound.,44,51
11:52,2050,Foul on Franko House.,44,51
11:52,2050,Franko House Turnover.,44,51
11:35,2674,Alec Peters missed Jumper.,44,51
11:35,2050,Franko House Defensive Rebound.,44,51
11:17,2674,Foul on Max Joseph.,44,51
11:17,2050,Tayler Persons made Free Throw.,45,51
11:17,2050,Tayler Persons made Free Throw.,46,51
11:06,2674,Alec Peters missed Three Point Jumper.,46,51
11:06,2050,Trey Moses Defensive Rebound.,46,51
10:58,2050,Tayler Persons missed Jumper.,46,51
10:58,2674,Jubril Adekoya Defensive Rebound.,46,51
10:49,2674,Jubril Adekoya missed Layup.,46,51
10:49,2050,Tayler Persons Defensive Rebound.,46,51
10:47,2674,Foul on Max Joseph.,46,51
10:24,2050,Tayler Persons missed Jumper.,46,51
10:24,2674,Max Joseph Block.,46,51
10:23,2674,Alec Peters Defensive Rebound.,46,51
10:09,2674,Max Joseph missed Three Point Jumper.,46,51
10:09,2050,Tayler Persons Defensive Rebound.,46,51
10:02,2050,Sean Sellers made Three Point Jumper. Assisted by Tayler Persons.,49,51
9:45,2674,Shane Hammink missed Three Point Jumper.,49,51
9:45,2050,Tayler Persons Defensive Rebound.,49,51
9:24,2050,Trey Moses Turnover.,49,51
9:23,2674,Alec Peters Steal.,49,51
9:10,2674,Shane Hammink made Jumper.,49,53
9:10,2050,Foul on Sean Sellers.,49,53
9:10,2674,Shane Hammink missed Free Throw.,49,53
9:10,2050,Francis Kiapway Defensive Rebound.,49,53
9:02,2050,Tayler Persons Turnover.,49,53
9:01,2674,Lexus Williams Steal.,49,53
8:58,2674,Lexus Williams made Layup.,49,55
8:36,2674,Foul on Jubril Adekoya.,49,55
8:25,2050,Ryan Weber made Three Point Jumper. Assisted by Francis Kiapway.,52,55
8:01,2674,Alec Peters made Layup. Assisted by Shane Hammink.,52,57
8:01,2050,Foul on Trey Moses.,52,57
8:01,2674,Alec Peters made Free Throw.,52,58
7:45,2050,Foul on Tahjai Teague.,52,58
7:45,2050,Tahjai Teague Turnover.,52,58
7:45,2674,Official TV Timeout,52,58
7:29,2674,Lexus Williams Turnover.,52,58
7:28,2050,Tahjai Teague Steal.,52,58
7:17,2050,Francis Kiapway missed Jumper.,52,58
7:17,2674,Lexus Williams Defensive Rebound.,52,58
7:02,2674,Alec Peters missed Jumper.,52,58
7:02,2674,Valparaiso Deadball Team Rebound.,52,58
7:00,2050,Foul on Franko House.,52,58
7:00,2674,Derrik Smits missed Free Throw.,52,58
7:00,2674,Derrik Smits Offensive Rebound.,52,58
6:54,2674,Shane Hammink missed Layup.,52,58
6:54,2050,Trey Moses Defensive Rebound.,52,58
6:48,2050,Ryan Weber made Layup. Assisted by Tayler Persons.,54,58
6:30,2674,Derrik Smits missed Three Point Jumper.,54,58
6:30,2050,Franko House Defensive Rebound.,54,58
6:24,2050,Ball State  Timeout,54,58
6:15,2050,Ryan Weber missed Three Point Jumper.,54,58
6:15,2674,Lexus Williams Defensive Rebound.,54,58
5:57,2674,Shane Hammink missed Layup.,54,58
5:57,2050,Franko House Block.,54,58
5:57,2674,Alec Peters Offensive Rebound.,54,58
5:56,2674,Alec Peters made Layup.,54,60
5:56,2050,Foul on Sean Sellers.,54,60
5:56,2674,Alec Peters made Free Throw.,54,61
5:43,2050,Ryan Weber made Jumper. Assisted by Trey Moses.,56,61
5:42,2674,Foul on Tevonn Walker.,56,61
5:42,2050,Ryan Weber made Free Throw.,57,61
5:25,2674,Alec Peters made Jumper.,57,63
5:06,2050,Tayler Persons Turnover.,57,63
5:06,2674,Jubril Adekoya Steal.,57,63
5:02,2674,Tevonn Walker missed Three Point Jumper.,57,63
5:02,2050,Tayler Persons Defensive Rebound.,57,63
4:45,2050,Franko House Turnover.,57,63
4:35,2050,Foul on Kyle Mallers.,57,63
4:35,2674,Alec Peters made Free Throw.,57,64
4:35,2674,Alec Peters made Free Throw.,57,65
4:12,2050,Trey Moses missed Jumper.,57,65
4:12,2674,Alec Peters Defensive Rebound.,57,65
3:55,2674,Alec Peters missed Jumper.,57,65
3:55,2050,Ball State Defensive Rebound.,57,65
3:52,2674,Official TV Timeout,57,65
3:36,2050,Franko House missed Layup.,57,65
3:36,2674,Alec Peters Defensive Rebound.,57,65
3:34,2050,Foul on Franko House.,57,65
3:34,2674,Alec Peters made Free Throw.,57,66
3:34,2674,Alec Peters made Free Throw.,57,67
3:19,2050,Trey Moses made Layup. Assisted by Ryan Weber.,59,67
3:19,2674,Foul on Tevonn Walker.,59,67
3:19,2050,Trey Moses missed Free Throw.,59,67
3:19,2674,Tevonn Walker Defensive Rebound.,59,67
3:03,2674,Jubril Adekoya missed Three Point Jumper.,59,67
3:03,2674,Alec Peters Offensive Rebound.,59,67
2:34,2674,Shane Hammink made Layup.,59,69
2:20,2050,Tayler Persons missed Three Point Jumper.,59,69
2:20,2674,Tevonn Walker Defensive Rebound.,59,69
1:50,2674,Shane Hammink missed Layup.,59,69
1:50,2050,Trey Moses Block.,59,69
1:50,2050,Tayler Persons Defensive Rebound.,59,69
1:42,2674,Foul on Tevonn Walker.,59,69
1:42,2050,Ball State Deadball Team Rebound.,59,69
1:42,2050,Trey Moses made Free Throw.,60,69
1:40,2674,Tevonn Walker made Layup. Assisted by Alec Peters.,60,71
1:28,2674,Foul on Alec Peters.,60,71
1:28,2050,Tayler Persons made Free Throw.,61,71
1:28,2674,Valparaiso  Timeout,61,71
1:28,2050,Tayler Persons made Free Throw.,62,71
1:28,2674,Jubril Adekoya Turnover.,62,71
1:15,2050,Tahjai Teague Turnover.,62,71
1:15,2674,Lexus Williams Steal.,62,71
1:04,2050,Foul on Ryan Weber.,62,71
1:04,2674,Shane Hammink made Free Throw.,62,72
1:04,2674,Shane Hammink made Free Throw.,62,73
0:54,2050,Francis Kiapway made Three Point Jumper. Assisted by Ryan Weber.,65,73
0:43,2674,Tevonn Walker made Layup. Assisted by Jubril Adekoya.,65,75
0:33,2050,Sean Sellers made Three Point Jumper. Assisted by Francis Kiapway.,68,75
0:26,2674,Tevonn Walker made Layup. Assisted by Alec Peters.,68,77
0:21,2050,Franko House made Layup. Assisted by Tayler Persons.,70,77
0:16,2050,Foul on Tayler Persons.,70,77
0:16,2674,Lexus Williams made Free Throw.,70,78
0:16,2674,Lexus Williams made Free Throw.,70,79
0:10,2050,Sean Sellers missed Three Point Jumper.,70,79
0:10,2050,Ryan Weber Offensive Rebound.,70,79
0:06,2050,Sean Sellers made Three Point Jumper. Assisted by Ryan Weber.,73,79
0:00,2674,End of Game,73,79
