Siena,399,Albany,2561
10:45,399,Travis Charles made Layup. Assisted by David Nichols.,11,16
10:20,2561,Nico Clareth missed Jumper.,11,16
10:20,2561,Brett Bisping Offensive Rebound.,11,16
9:58,2561,Khalil Richard missed Three Point Jumper.,11,16
9:58,399,Albany Defensive Rebound.,11,16
9:58,2561,Foul on Brett Bisping.,11,16
9:58,399,Mike Rowley made Free Throw.,11,17
9:58,399,Mike Rowley made Free Throw.,11,18
9:45,2561,Foul on Nico Clareth.,11,18
9:45,2561,Nico Clareth Turnover.,11,18
9:29,399,Travis Charles made Jumper. Assisted by Marqueese Grayson.,11,20
9:13,2561,Nico Clareth missed Three Point Jumper.,11,20
9:13,399,Marqueese Grayson Defensive Rebound.,11,20
9:07,399,Joe Cremo missed Layup.,11,20
9:07,2561,Lavon Long Defensive Rebound.,11,20
8:48,399,Foul on Travis Charles.,11,20
8:45,2561,Javion Ogunyemi missed Three Point Jumper.,11,20
8:45,2561,Siena Offensive Rebound.,11,20
8:45,399,Foul on Greig Stire.,11,20
8:30,2561,Nico Clareth missed Three Point Jumper.,11,20
8:30,2561,Javion Ogunyemi Offensive Rebound.,11,20
8:24,2561,Kadeem Smithen made Three Point Jumper. Assisted by Khalil Richard.,14,20
7:59,399,Travis Charles missed Jumper.,14,20
7:59,2561,Lavon Long Defensive Rebound.,14,20
7:49,399,Foul on Mike Rowley.,14,20
7:49,399,Official TV Timeout,14,20
7:49,2561,Lavon Long made Free Throw.,15,20
7:49,2561,Lavon Long made Free Throw.,16,20
7:30,399,Marqueese Grayson missed Three Point Jumper.,16,20
7:30,2561,Lavon Long Defensive Rebound.,16,20
7:20,2561,Foul on Javion Ogunyemi.,16,20
7:20,2561,Javion Ogunyemi Turnover.,16,20
7:08,399,David Nichols missed Jumper.,16,20
7:08,2561,Khalil Richard Defensive Rebound.,16,20
7:00,2561,Lavon Long Turnover.,16,20
6:48,399,Dallas Ennema Turnover.,16,20
6:47,2561,Nico Clareth Steal.,16,20
6:45,2561,Nico Clareth missed Dunk.,16,20
6:45,399,Dallas Ennema Defensive Rebound.,16,20
6:33,399,Mike Rowley made Layup. Assisted by Joe Cremo.,16,22
6:07,2561,Khalil Richard missed Jumper.,16,22
6:07,399,Dallas Ennema Defensive Rebound.,16,22
5:38,399,David Nichols missed Jumper.,16,22
5:38,2561,Kadeem Smithen Defensive Rebound.,16,22
5:26,2561,Nico Clareth Turnover.,16,22
5:07,2561,Foul on Kadeem Smithen.,16,22
5:07,399,Mike Rowley made Free Throw.,16,23
5:07,399,Mike Rowley made Free Throw.,16,24
4:55,2561,Nico Clareth missed Three Point Jumper.,16,24
4:55,2561,Khalil Richard Offensive Rebound.,16,24
4:41,2561,Lavon Long missed Layup.,16,24
4:41,399,Joe Cremo Defensive Rebound.,16,24
4:21,399,Dallas Ennema made Three Point Jumper. Assisted by Joe Cremo.,16,27
4:09,2561,Marquis Wright missed Layup.,16,27
4:09,399,David Nichols Defensive Rebound.,16,27
3:57,399,David Nichols made Layup.,16,29
3:57,2561,Foul on Khalil Richard.,16,29
3:53,399,Official TV Timeout,16,29
3:53,399,David Nichols missed Free Throw.,16,29
3:53,2561,Evan Fisher Defensive Rebound.,16,29
3:39,2561,Evan Fisher Turnover.,16,29
3:38,399,David Nichols Steal.,16,29
3:36,2561,Foul on Kadeem Smithen.,16,29
3:36,399,David Nichols made Free Throw.,16,30
3:36,399,David Nichols made Free Throw.,16,31
3:09,2561,Ahsante Shivers made Layup.,18,31
3:09,399,Foul on Mike Rowley.,18,31
3:09,2561,Ahsante Shivers missed Free Throw.,18,31
3:09,399,Marqueese Grayson Defensive Rebound.,18,31
2:49,399,Dallas Ennema made Layup. Assisted by David Nichols.,18,33
2:13,399,Foul on Joe Cremo.,18,33
2:13,2561,Marquis Wright made Free Throw.,19,33
2:13,2561,Marquis Wright made Free Throw.,20,33
1:50,399,Dallas Ennema missed Jumper.,20,33
1:50,2561,Ahsante Shivers Defensive Rebound.,20,33
1:39,2561,Javion Ogunyemi missed Three Point Jumper.,20,33
1:39,399,Dallas Ennema Defensive Rebound.,20,33
1:39,2561,Foul on Evan Fisher.,20,33
1:39,399,Dallas Ennema missed Free Throw.,20,33
1:39,399,Albany Deadball Team Rebound.,20,33
1:39,399,Dallas Ennema made Free Throw.,20,34
1:30,2561,Lavon Long Turnover.,20,34
1:29,399,Travis Charles Steal.,20,34
1:03,399,Travis Charles made Layup. Assisted by Mike Rowley.,20,36
1:03,2561,Foul on Javion Ogunyemi.,20,36
1:03,399,Travis Charles missed Free Throw.,20,36
1:03,2561,Lavon Long Defensive Rebound.,20,36
0:50,2561,Ahsante Shivers missed Layup.,20,36
0:50,2561,Siena Offensive Rebound.,20,36
0:48,2561,Evan Fisher missed Jumper.,20,36
0:48,399,Dallas Ennema Defensive Rebound.,20,36
0:32,399,David Nichols made Layup.,20,38
0:26,2561,Lavon Long Turnover.,20,38
0:24,399,Albany  Timeout,20,38
0:08,399,Joe Cremo missed Layup.,20,38
0:08,2561,Lavon Long Block.,20,38
0:08,399,Albany Offensive Rebound.,20,38
0:02,399,David Nichols missed Jumper.,20,38
0:02,399,Albany Deadball Team Rebound.,20,38
0:00,399,End of 1st half,20,38
19:50,2561,Marquis Wright made Layup. Assisted by Lavon Long.,22,38
19:21,399,Joe Cremo made Jumper.,22,40
19:02,399,Foul on David Nichols.,22,40
18:53,2561,Marquis Wright made Layup.,24,40
18:26,399,Marqueese Grayson missed Three Point Jumper.,24,40
18:26,2561,Lavon Long Defensive Rebound.,24,40
18:21,399,Foul on David Nichols.,24,40
18:21,2561,Marquis Wright made Free Throw.,25,40
18:21,2561,Marquis Wright missed Free Throw.,25,40
18:21,2561,Marquis Wright Offensive Rebound.,25,40
18:10,2561,Khalil Richard missed Jumper.,25,40
18:09,399,Greig Stire Defensive Rebound.,25,40
17:58,399,David Nichols made Three Point Jumper. Assisted by Joe Cremo.,25,43
17:24,399,Foul on Marqueese Grayson.,25,43
17:24,2561,Javion Ogunyemi made Free Throw.,26,43
17:24,2561,Javion Ogunyemi missed Free Throw.,26,43
17:24,399,Mike Rowley Defensive Rebound.,26,43
17:05,2561,Foul on Lavon Long.,26,43
16:56,399,Greig Stire Turnover.,26,43
16:38,2561,Siena  Timeout,26,43
16:38,399,Official TV Timeout,26,43
16:34,2561,Brett Bisping made Layup.,28,43
16:14,399,David Nichols Turnover.,28,43
16:13,2561,Brett Bisping Steal.,28,43
16:05,2561,Brett Bisping made Jumper.,30,43
15:46,399,Official TV Timeout,30,43
15:34,399,David Nichols made Jumper.,30,45
15:23,399,Foul on Greig Stire.,30,45
15:23,2561,Siena  Turnover.,30,45
15:06,2561,Foul on Khalil Richard.,30,45
14:50,399,Joe Cremo made Three Point Jumper. Assisted by David Nichols.,30,48
14:36,2561,Marquis Wright made Jumper.,32,48
14:08,399,Marqueese Grayson missed Layup.,32,48
14:08,399,Travis Charles Offensive Rebound.,32,48
13:50,399,Joe Cremo missed Jumper.,32,48
13:50,2561,Khalil Richard Defensive Rebound.,32,48
13:46,2561,Marquis Wright made Layup.,34,48
13:24,399,Travis Charles made Layup.,34,50
13:24,2561,Foul on Javion Ogunyemi.,34,50
13:24,399,Travis Charles made Free Throw.,34,51
13:14,2561,Marquis Wright made Layup.,36,51
12:52,2561,Foul on Marquis Wright.,36,51
12:29,399,Joe Cremo Turnover.,36,51
12:11,2561,Brett Bisping made Layup.,38,51
11:54,399,Joe Cremo Turnover.,38,51
11:53,2561,Nico Clareth Steal.,38,51
11:50,2561,Nico Clareth made Layup.,40,51
11:39,399,Albany  Timeout,40,51
11:39,399,Official TV Timeout,40,51
11:19,399,Mike Rowley missed Layup.,40,51
11:19,2561,Javion Ogunyemi Block.,40,51
11:18,2561,Kadeem Smithen Defensive Rebound.,40,51
11:07,399,Foul on David Nichols.,40,51
11:07,2561,Lavon Long made Free Throw.,41,51
11:07,2561,Lavon Long made Free Throw.,42,51
10:51,2561,Foul on Nico Clareth.,42,51
10:38,399,David Nichols made Layup.,42,53
10:24,399,Foul on Travis Charles.,42,53
10:20,399,Foul on Dallas Ennema.,42,53
10:20,2561,Lavon Long made Free Throw.,43,53
10:20,2561,Lavon Long made Free Throw.,44,53
10:03,2561,Foul on Marquis Wright.,44,53
10:03,399,David Nichols missed Free Throw.,44,53
10:03,399,Albany Deadball Team Rebound.,44,53
10:03,399,David Nichols made Free Throw.,44,54
9:49,2561,Brett Bisping missed Jumper.,44,54
9:49,399,Mike Rowley Defensive Rebound.,44,54
9:37,399,Marqueese Grayson made Layup.,44,56
9:21,399,Foul on Dallas Ennema.,44,56
9:21,2561,Javion Ogunyemi made Free Throw.,45,56
9:21,2561,Javion Ogunyemi made Free Throw.,46,56
9:01,399,Joe Cremo missed Three Point Jumper.,46,56
9:01,2561,Brett Bisping Defensive Rebound.,46,56
8:52,2561,Nico Clareth made Three Point Jumper. Assisted by Brett Bisping.,49,56
8:22,399,Joe Cremo made Jumper.,49,58
8:02,399,Foul on Dallas Ennema.,49,58
8:02,2561,Javion Ogunyemi made Free Throw.,50,58
8:02,2561,Javion Ogunyemi made Free Throw.,51,58
7:45,2561,Foul on Javion Ogunyemi.,51,58
7:45,399,Official TV Timeout,51,58
7:45,399,Joe Cremo made Free Throw.,51,59
7:45,399,Joe Cremo made Free Throw.,51,60
7:38,2561,Foul on Brett Bisping.,51,60
7:38,2561,Brett Bisping Turnover.,51,60
7:11,399,Marqueese Grayson made Three Point Jumper. Assisted by Joe Cremo.,51,63
6:49,2561,Nico Clareth made Three Point Jumper. Assisted by Marquis Wright.,54,63
6:46,2561,Siena  Timeout,54,63
6:46,2561,Technical Foul on Siena.,54,63
6:46,399,Joe Cremo made Free Throw.,54,64
6:46,399,Joe Cremo made Free Throw.,54,65
6:24,399,David Nichols made Three Point Jumper. Assisted by Marqueese Grayson.,54,68
6:11,2561,Nico Clareth made Three Point Jumper. Assisted by Lavon Long.,57,68
5:51,399,Joe Cremo made Layup. Assisted by Mike Rowley.,57,70
5:39,2561,Brett Bisping made Layup. Assisted by Lavon Long.,59,70
5:25,2561,Foul on Lavon Long.,59,70
5:25,399,Marqueese Grayson missed Free Throw.,59,70
5:25,399,Albany Deadball Team Rebound.,59,70
5:25,399,Marqueese Grayson missed Free Throw.,59,70
5:25,2561,Javion Ogunyemi Defensive Rebound.,59,70
5:17,2561,Nico Clareth made Three Point Jumper. Assisted by Marquis Wright.,62,70
4:53,399,David Nichols made Jumper.,62,72
4:32,399,Foul on Marqueese Grayson.,62,72
4:32,2561,Marquis Wright missed Free Throw.,62,72
4:32,2561,Siena Deadball Team Rebound.,62,72
4:32,2561,Marquis Wright missed Free Throw.,62,72
4:32,399,Mike Rowley Defensive Rebound.,62,72
4:04,399,David Nichols missed Jumper.,62,72
4:04,399,Mike Rowley Offensive Rebound.,62,72
3:58,399,Dallas Ennema missed Three Point Jumper.,62,72
3:58,2561,Lavon Long Defensive Rebound.,62,72
3:55,399,Foul on Mike Rowley.,62,72
3:55,399,Official TV Timeout,62,72
3:55,2561,Lavon Long made Free Throw.,63,72
3:55,2561,Lavon Long made Free Throw.,64,72
3:26,399,Dallas Ennema missed Three Point Jumper.,64,72
3:26,2561,Lavon Long Defensive Rebound.,64,72
3:11,2561,Lavon Long made Layup.,66,72
2:47,2561,Foul on Lavon Long.,66,72
2:47,399,David Nichols made Free Throw.,66,73
2:47,399,David Nichols made Free Throw.,66,74
2:47,2561,Javion Ogunyemi made Layup. Assisted by Marquis Wright.,68,74
2:41,2561,Javion Ogunyemi made Layup. Assisted by Marquis Wright.,68,74
2:23,2561,Foul on Nico Clareth.,68,74
2:23,399,Joe Cremo made Free Throw.,68,75
2:23,399,Joe Cremo made Free Throw.,68,76
2:12,399,Foul on Greig Stire.,68,76
2:12,2561,Marquis Wright made Free Throw.,69,76
2:12,2561,Marquis Wright made Free Throw.,70,76
1:43,399,David Nichols missed Three Point Jumper.,70,76
1:43,2561,Khalil Richard Defensive Rebound.,70,76
1:34,2561,Nico Clareth made Jumper.,72,76
1:31,2561,Siena  Timeout,72,76
1:28,2561,Foul on Lavon Long.,72,76
1:28,399,Joe Cremo missed Free Throw.,72,76
1:28,399,Albany Deadball Team Rebound.,72,76
1:28,399,Joe Cremo missed Free Throw.,72,76
1:28,2561,Javion Ogunyemi Defensive Rebound.,72,76
1:09,2561,Nico Clareth missed Three Point Jumper.,72,76
1:09,399,David Nichols Defensive Rebound.,72,76
1:04,399,Joe Cremo made Layup. Assisted by David Nichols.,72,78
0:54,2561,Khalil Richard missed Jumper.,72,78
0:54,399,Joe Cremo Defensive Rebound.,72,78
0:41,2561,Foul on Lavon Long.,72,78
0:41,399,Joe Cremo made Free Throw.,72,79
0:41,399,Joe Cremo missed Free Throw.,72,79
0:41,2561,Brett Bisping Defensive Rebound.,72,79
0:33,2561,Nico Clareth missed Three Point Jumper.,72,79
0:33,399,Mike Rowley Defensive Rebound.,72,79
0:31,2561,Foul on Khalil Richard.,72,79
0:31,399,Mike Rowley made Free Throw.,72,80
0:31,399,Mike Rowley made Free Throw.,72,81
0:15,2561,Marquis Wright missed Three Point Jumper.,72,81
0:15,399,Joe Cremo Defensive Rebound.,72,81
0:00,399,End of Game,72,81
