Bryn Athyn,Error,Delaware,48
4:05,48,Barnett Harris Turnover.,17,32
4:02,-1,Stephan Tucker Steal.,17,32
3:44,-1,Deion Boyer missed Three Point Jumper.,17,32
3:44,48,Barnett Harris Defensive Rebound.,17,32
3:32,48,Cazmon Hayes made Layup.,17,34
3:07,-1,Austin Nyekan missed Jumper.,17,34
3:07,-1,Troy Steed Offensive Rebound.,17,34
3:03,-1,Troy Steed made Layup.,19,34
2:45,48,Chivarsky Corbett made Three Point Jumper. Assisted by Anthony Mosley.,19,37
2:38,48,Official TV Timeout,19,37
2:27,-1,Troy Steed made Jumper.,21,37
1:47,48,Chivarsky Corbett missed Jumper.,21,37
1:47,-1,Devante Laws Defensive Rebound.,21,37
1:27,-1,Deion Boyer missed Three Point Jumper.,21,37
1:27,48,Eric Carter Defensive Rebound.,21,37
1:19,48,Darian Bryant missed Layup.,21,37
1:19,48,Chivarsky Corbett Offensive Rebound.,21,37
1:15,48,Chivarsky Corbett made Layup.,21,39
0:50,-1,Deion Boyer Turnover.,21,39
0:49,48,Darian Bryant Steal.,21,39
0:45,48,Darian Bryant made Layup. Assisted by Cazmon Hayes.,21,41
0:29,-1,Devante Laws missed Layup.,21,41
0:29,48,Chivarsky Corbett Block.,21,41
0:27,48,Anthony Mosley Defensive Rebound.,21,41
0:10,-1,Foul on Deion Boyer.,21,41
0:05,48,Cazmon Hayes missed Three Point Jumper.,21,41
0:02,48,Darian Bryant Offensive Rebound.,21,41
0:01,48,Darian Bryant made Layup.,21,43
0:00,48,End of 1st half,21,43
19:36,-1,Deion Boyer missed Three Point Jumper.,21,43
19:36,48,Delaware Defensive Rebound.,21,43
19:23,-1,Foul on Deion Boyer.,21,43
19:13,48,Chivarsky Corbett made Three Point Jumper. Assisted by Cazmon Hayes.,21,46
18:40,-1,James Flagg Turnover.,21,46
18:27,48,Foul on Chivarsky Corbett.,21,46
18:27,48,Chivarsky Corbett Turnover.,21,46
18:08,-1,Troy Steed made Three Point Jumper. Assisted by Austin Nyekan.,24,46
17:43,-1,Foul on James Flagg.,24,46
17:43,48,Eric Carter made Free Throw.,24,47
17:43,48,Eric Carter made Free Throw.,24,48
17:15,-1,Austin Nyekan Turnover.,24,48
17:11,48,Devonne Pinkard Steal.,24,48
17:08,48,Devonne Pinkard made Layup.,24,50
16:47,48,Foul on Devonne Pinkard.,24,50
16:47,-1,Troy Steed missed Free Throw.,24,50
16:47,-1,Bryn Athyn Deadball Team Rebound.,24,50
16:47,-1,Troy Steed made Free Throw.,25,50
16:30,48,Anthony Mosley made Layup.,25,52
16:19,-1,Troy Steed made Three Point Jumper. Assisted by Rahim Washington.,28,52
16:00,-1,Foul on Rahim Washington.,28,52
15:53,48,Darian Bryant missed Layup.,28,52
15:53,-1,Troy Steed Defensive Rebound.,28,52
15:44,-1,Devante Laws made Three Point Jumper.,31,52
15:29,48,Anthony Mosley Turnover.,31,52
15:27,-1,Rahim Washington Steal.,31,52
15:25,-1,Rahim Washington Turnover.,31,52
15:24,48,Cazmon Hayes Steal.,31,52
15:20,48,Jacob Cushing missed Three Point Jumper.,31,52
15:20,-1,Troy Steed Defensive Rebound.,31,52
15:02,-1,Rahim Washington missed Jumper.,31,52
15:02,48,Skye Johnson Defensive Rebound.,31,52
14:46,48,Skye Johnson made Layup.,31,54
14:32,-1,Carlos Perez Turnover.,31,54
14:32,48,Official TV Timeout,31,54
14:10,48,Devonne Pinkard missed Three Point Jumper.,31,54
14:10,-1,Lamarr Crenshaw Defensive Rebound.,31,54
13:45,-1,Devante Laws missed Three Point Jumper.,31,54
13:45,48,Chivarsky Corbett Defensive Rebound.,31,54
13:27,48,Darian Bryant made Three Point Jumper. Assisted by Devonne Pinkard.,31,57
13:03,48,Foul on Jacob Cushing.,31,57
12:47,-1,Troy Steed Turnover.,31,57
12:46,48,Skye Johnson Steal.,31,57
12:40,-1,Foul on Carlos Perez.,31,57
12:25,48,Devonne Pinkard missed Three Point Jumper.,31,57
12:25,48,Skye Johnson Offensive Rebound.,31,57
12:21,48,Skye Johnson made Layup.,31,59
12:03,-1,Devante Laws missed Jumper.,31,59
12:03,48,Jacob Cushing Defensive Rebound.,31,59
11:57,48,Chivarsky Corbett missed Layup.,31,59
11:57,48,Skye Johnson Offensive Rebound.,31,59
11:54,48,Skye Johnson made Layup.,31,61
11:46,48,Official TV Timeout,31,61
11:38,-1,Devante Laws made Jumper.,33,61
11:26,48,Chivarsky Corbett made Three Point Jumper. Assisted by Skye Johnson.,33,64
11:07,-1,Carlos Perez missed Three Point Jumper.,33,64
11:07,48,Devonne Pinkard Defensive Rebound.,33,64
10:57,48,Devonne Pinkard made Layup.,33,66
10:34,-1,Rahim Washington made Layup.,35,66
10:34,48,Foul on Anthony Mosley.,35,66
10:34,48,Official TV Timeout,35,66
10:34,-1,Rahim Washington missed Free Throw.,35,66
10:34,48,Darian Bryant Defensive Rebound.,35,66
10:20,48,Jacob Cushing missed Three Point Jumper.,35,66
10:20,-1,Stephan Tucker Defensive Rebound.,35,66
9:58,-1,Lamarr Crenshaw made Layup.,37,66
9:50,48,Cazmon Hayes Turnover.,37,66
9:47,-1,Austin Nyekan Steal.,37,66
9:42,48,Foul on Darian Bryant.,37,66
9:42,-1,Rahim Washington made Free Throw.,38,66
9:42,-1,Rahim Washington made Free Throw.,39,66
9:30,48,Cazmon Hayes made Three Point Jumper. Assisted by Darian Bryant.,39,69
8:55,-1,Deion Boyer missed Jumper.,39,69
8:55,48,Jacob Cushing Defensive Rebound.,39,69
8:42,-1,Foul on James Flagg.,39,69
8:42,48,Barnett Harris missed Free Throw.,39,69
8:42,48,Delaware Deadball Team Rebound.,39,69
8:42,48,Barnett Harris missed Free Throw.,39,69
8:42,-1,Stephan Tucker Defensive Rebound.,39,69
8:24,-1,Lamarr Crenshaw missed Jumper.,39,69
8:24,-1,Bryn Athyn Offensive Rebound.,39,69
8:10,-1,Austin Nyekan missed Layup.,39,69
8:01,48,Eric Carter Defensive Rebound.,39,69
7:58,48,Darian Bryant missed Layup.,39,69
7:57,48,Darian Bryant Offensive Rebound.,39,69
7:56,48,Darian Bryant missed Layup.,39,69
7:55,-1,Lamarr Crenshaw Defensive Rebound.,39,69
7:54,48,Foul on Darian Bryant.,39,69
7:35,-1,Stephan Tucker missed Three Point Jumper.,39,69
7:35,48,Eric Carter Defensive Rebound.,39,69
7:23,48,Eric Carter made Layup. Assisted by Barnett Harris.,39,71
6:52,-1,Austin Nyekan made Three Point Jumper.,42,71
6:36,48,Darian Bryant made Three Point Jumper. Assisted by Barnett Harris.,42,74
6:10,-1,Deion Boyer missed Layup.,42,74
6:10,-1,Lamarr Crenshaw Offensive Rebound.,42,74
6:06,-1,Lamarr Crenshaw missed Layup.,42,74
6:06,48,Barnett Harris Block.,42,74
6:03,-1,Lamarr Crenshaw Offensive Rebound.,42,74
6:01,-1,Lamarr Crenshaw missed Layup.,42,74
6:01,48,Barnett Harris Block.,42,74
5:59,48,Darian Bryant Defensive Rebound.,42,74
5:50,48,Anthony Mosley made Layup.,42,76
5:27,-1,Troy Steed missed Three Point Jumper.,42,76
5:27,-1,Stephan Tucker Offensive Rebound.,42,76
5:16,-1,Deion Boyer made Jumper.,44,76
4:59,48,Eric Carter missed Jumper.,44,76
4:59,-1,Bryn Athyn Defensive Rebound.,44,76
4:38,-1,Okoye Taylor missed Three Point Jumper.,44,76
4:38,48,Jacob Cushing Defensive Rebound.,44,76
4:21,48,Skye Johnson made Layup.,44,78
4:12,48,Foul on Barnett Harris.,44,78
4:12,-1,Lamarr Crenshaw made Free Throw.,45,78
4:12,-1,Lamarr Crenshaw made Free Throw.,46,78
4:00,48,Curtis Lochner missed Three Point Jumper.,46,78
4:00,-1,Okoye Taylor Defensive Rebound.,46,78
3:51,-1,Devante Laws made Jumper.,48,78
3:38,48,Barnett Harris Turnover.,48,78
3:06,-1,Okoye Taylor missed Jumper.,48,78
3:06,48,Barnett Harris Defensive Rebound.,48,78
2:52,48,Skye Johnson made Dunk. Assisted by Barnett Harris.,48,80
2:38,-1,Devante Laws missed Three Point Jumper.,48,80
2:38,48,Barnett Harris Defensive Rebound.,48,80
2:21,48,Curtis Lochner made Layup. Assisted by Barnett Harris.,48,82
1:54,-1,Devante Laws missed Jumper.,48,82
1:54,48,Barnett Harris Defensive Rebound.,48,82
1:43,48,Curtis McRoy missed Three Point Jumper.,48,82
1:43,-1,Lamarr Crenshaw Defensive Rebound.,48,82
1:37,48,Foul on Curtis Lochner.,48,82
1:37,-1,Lamarr Crenshaw made Free Throw.,49,82
1:37,-1,Lamarr Crenshaw missed Free Throw.,49,82
1:37,48,Jacob Cushing Defensive Rebound.,49,82
1:15,48,Skye Johnson Turnover.,49,82
1:11,-1,Devante Laws missed Three Point Jumper.,49,82
1:11,-1,Lamarr Crenshaw Offensive Rebound.,49,82
1:06,48,Foul on Skye Johnson.,49,82
1:06,-1,Lamarr Crenshaw made Free Throw.,50,82
1:06,-1,Lamarr Crenshaw made Free Throw.,51,82
1:01,48,Jacob Cushing missed Jumper.,51,82
1:01,48,Skye Johnson Offensive Rebound.,51,82
0:54,48,Jacob Cushing made Layup. Assisted by Curtis McRoy.,51,84
0:39,-1,Rahim Washington missed Three Point Jumper.,51,84
0:39,48,Skye Johnson Defensive Rebound.,51,84
0:32,48,Curtis Lochner Turnover.,51,84
0:30,-1,Rahim Washington Steal.,51,84
0:17,-1,Devante Laws missed Layup.,51,84
0:17,48,Delaware Defensive Rebound.,51,84
0:00,48,End of Game,51,84
