William &amp; Mary,2272,High Point,2729
19:25,2729,Foul on Nathan Knight.,39,53
19:08,2272,Brandon Kamga made Layup. Assisted by Jordan Whitehead.,39,55
18:45,2729,Nathan Knight missed Jumper.,39,55
18:45,2272,Jahaad Proctor Defensive Rebound.,39,55
18:38,2272,Jahaad Proctor made Three Point Jumper.,39,58
18:33,2729,William & Mary  Timeout,39,58
18:25,2272,Foul on Jordan Whitehead.,39,58
18:17,2729,Justin Pierce made Layup.,41,58
18:17,2272,Foul on Brandon Kamga.,41,58
18:17,2729,Justin Pierce made Free Throw.,42,58
17:58,2272,Jahaad Proctor made Layup.,42,60
17:48,2729,Matt Milon made Jumper.,44,60
17:39,2272,Jahaad Proctor made Three Point Jumper. Assisted by Andre Fox.,44,63
17:20,2729,David Cohn Turnover.,44,63
17:19,2272,Brandon Kamga Steal.,44,63
17:15,2272,Brandon Kamga made Layup.,44,65
16:56,2272,Foul on Andre Fox.,44,65
16:56,2729,Nathan Knight made Free Throw.,45,65
16:56,2729,Nathan Knight made Free Throw.,46,65
16:41,2729,Foul on Luke Loewe.,46,65
16:41,2272,Jahaad Proctor made Free Throw.,46,66
16:41,2272,Jahaad Proctor made Free Throw.,46,67
16:20,2272,Foul on Ricky Madison.,46,67
16:05,2729,Paul Rowley Turnover.,46,67
16:04,2272,Austin White Steal.,46,67
15:58,2272,Ricky Madison made Layup. Assisted by Jahaad Proctor.,46,69
15:58,2729,Foul on Matt Milon.,46,69
15:58,2272,Official TV Timeout,46,69
15:58,2272,Ricky Madison missed Free Throw.,46,69
15:58,2729,Nathan Knight Defensive Rebound.,46,69
15:42,2729,Nathan Knight missed Jumper.,46,69
15:42,2729,Matt Milon Offensive Rebound.,46,69
15:35,2729,Matt Milon Turnover.,46,69
15:34,2272,Brandon Kamga Steal.,46,69
15:30,2272,Jamal Wright missed Layup.,46,69
15:30,2729,Luke Loewe Defensive Rebound.,46,69
15:24,2729,Matt Milon missed Three Point Jumper.,46,69
15:24,2272,Ricky Madison Defensive Rebound.,46,69
15:19,2729,Foul on Nathan Knight.,46,69
14:57,2272,Jahaad Proctor missed Jumper.,46,69
14:57,2729,Luke Loewe Defensive Rebound.,46,69
14:40,2729,David Cohn missed Layup.,46,69
14:40,2272,Brandon Kamga Defensive Rebound.,46,69
14:11,2272,Brandon Kamga missed Jumper.,46,69
14:11,2729,Justin Pierce Block.,46,69
14:09,2729,David Cohn Defensive Rebound.,46,69
13:51,2729,Luke Loewe Turnover.,46,69
13:50,2272,Jamal Wright Steal.,46,69
13:46,2272,Andre Fox missed Three Point Jumper.,46,69
13:46,2272,Austin White Offensive Rebound.,46,69
13:43,2729,Foul on Luke Loewe.,46,69
13:36,2272,Justyn Mutts Turnover.,46,69
13:25,2272,Foul on Austin White.,46,69
13:16,2729,Matt Milon missed Three Point Jumper.,46,69
13:16,2272,Jamal Wright Defensive Rebound.,46,69
13:11,2272,Jamal Wright made Layup.,46,71
13:01,2729,Paul Rowley Turnover.,46,71
13:00,2272,Jamal Wright Steal.,46,71
12:50,2272,Andre Fox made Jumper.,46,73
12:25,2729,Paul Rowley Turnover.,46,73
12:25,2729,Foul on Justin Pierce.,46,73
12:25,2729,William & Mary  Timeout,46,73
12:05,2729,Foul on David Cohn.,46,73
12:05,2272,Jamal Wright made Free Throw.,46,74
12:05,2272,Jamal Wright made Free Throw.,46,75
12:05,2729,David Cohn Turnover.,46,75
12:05,2729,Foul on David Cohn.,46,75
11:48,2272,Justyn Mutts made Layup.,46,77
11:24,2729,Nathan Knight missed Jumper.,46,77
11:24,2729,Nathan Knight Offensive Rebound.,46,77
11:24,2272,Foul on Justyn Mutts.,46,77
11:24,2729,Nathan Knight made Free Throw.,47,77
11:24,2729,Nathan Knight missed Free Throw.,47,77
11:24,2272,Jahaad Proctor Defensive Rebound.,47,77
10:52,2272,Ricky Madison missed Layup.,47,77
10:52,2729,Nathan Knight Block.,47,77
10:50,2729,Oliver Tot Defensive Rebound.,47,77
10:44,2729,Connor Burchfield missed Three Point Jumper.,47,77
10:44,2272,Jahaad Proctor Defensive Rebound.,47,77
10:14,2272,Jamal Wright missed Layup.,47,77
10:14,2729,Nathan Knight Defensive Rebound.,47,77
10:02,2729,Jihar Williams missed Three Point Jumper.,47,77
10:02,2272,Andre Fox Defensive Rebound.,47,77
9:36,2272,Brandon Kamga made Jumper.,47,79
9:26,2272,Foul on Brandon Kamga.,47,79
9:26,2729,Oliver Tot missed Free Throw.,47,79
9:26,2272,Jahaad Proctor Defensive Rebound.,47,79
9:10,2272,Brandon Kamga made Jumper.,47,81
8:40,2729,David Cohn Turnover.,47,81
8:40,2729,Foul on David Cohn.,47,81
8:26,2729,Foul on Jihar Williams.,47,81
8:26,2272,Jahaad Proctor made Free Throw.,47,82
8:26,2272,Jahaad Proctor made Free Throw.,47,83
8:19,2272,Foul on Austin White.,47,83
8:19,2729,Luke Loewe missed Free Throw.,47,83
8:19,2272,Brandon Kamga Defensive Rebound.,47,83
7:57,2272,Sam Berlin made Layup. Assisted by Jahaad Proctor.,47,85
7:40,2729,Nathan Knight made Jumper.,49,85
7:23,2272,Jahaad Proctor Turnover.,49,85
7:22,2729,Justin Pierce Steal.,49,85
7:20,2729,Justin Pierce made Layup.,51,85
7:06,2272,High Point  Timeout,51,85
6:58,2272,Brandon Kamga made Jumper.,51,87
6:40,2729,Justin Pierce missed Jumper.,51,87
6:40,2272,Andre Fox Defensive Rebound.,51,87
6:29,2729,Foul on Matt Milon.,51,87
6:29,2272,Brandon Kamga made Free Throw.,51,88
6:29,2272,Brandon Kamga missed Free Throw.,51,88
6:29,2272,Brandon Kamga Offensive Rebound.,51,88
6:24,2272,Jamal Wright made Layup.,51,90
6:04,2272,Foul on Sam Berlin.,51,90
6:04,2729,Nathan Knight made Free Throw.,52,90
6:04,2729,Nathan Knight made Free Throw.,53,90
5:40,2272,Jamal Wright missed Layup.,53,90
5:40,2729,Justin Pierce Block.,53,90
5:38,2729,Justin Pierce Defensive Rebound.,53,90
5:21,2729,Nathan Knight missed Jumper.,53,90
5:21,2272,Justyn Mutts Defensive Rebound.,53,90
5:11,2272,Jamal Wright Turnover.,53,90
5:07,2729,Jihar Williams missed Jumper.,53,90
5:07,2272,Justyn Mutts Defensive Rebound.,53,90
4:52,2272,Justyn Mutts made Layup.,53,92
4:49,2729,William & Mary  Timeout,53,92
4:34,2729,Matt Milon made Jumper.,55,92
4:34,2272,Foul on Jamal Wright.,55,92
4:34,2729,Matt Milon made Free Throw.,56,92
4:19,2272,Justyn Mutts missed Layup.,56,92
4:19,2729,Paul Rowley Block.,56,92
4:17,2272,Denny Slay Offensive Rebound.,56,92
4:15,2729,Foul on Paul Rowley.,56,92
4:15,2272,Sam Berlin missed Free Throw.,56,92
4:15,2272,High Point Deadball Team Rebound.,56,92
4:15,2272,Sam Berlin missed Free Throw.,56,92
4:15,2729,Justin Pierce Defensive Rebound.,56,92
3:59,2729,Connor Burchfield missed Layup.,56,92
3:59,2272,Justyn Mutts Block.,56,92
3:57,2272,Sam Berlin Defensive Rebound.,56,92
3:42,2272,Justyn Mutts missed Layup.,56,92
3:42,2272,Sam Berlin Offensive Rebound.,56,92
3:38,2272,Austin White made Jumper. Assisted by Sam Berlin.,56,94
3:33,2272,Official TV Timeout,56,94
3:19,2729,Connor Burchfield Turnover.,56,94
3:18,2272,Austin White Steal.,56,94
3:17,2272,Austin White made Layup.,56,96
3:04,2729,Cole Harrison missed Jumper.,56,96
3:04,2272,Denny Slay Defensive Rebound.,56,96
2:50,2272,Justyn Mutts Turnover.,56,96
2:32,2729,Matt Milon made Three Point Jumper.,59,96
2:10,2272,Denny Slay missed Jumper.,59,96
2:10,2272,Cliff Thomas Jr. Offensive Rebound.,59,96
1:58,2272,Denny Slay Turnover.,59,96
1:58,2272,Foul on Denny Slay.,59,96
1:41,2729,Matt Milon missed Layup.,59,96
1:41,2272,Luke Vargo Defensive Rebound.,59,96
1:28,2272,Justyn Mutts made Layup.,59,98
1:21,2729,Connor Burchfield made Three Point Jumper. Assisted by David Cohn.,62,98
1:03,2272,Austin White made Layup.,62,100
0:47,2729,Cole Harrison made Jumper.,64,100
0:32,2272,Dexter Gooding missed Three Point Jumper.,64,100
0:32,2729,Justin Pierce Defensive Rebound.,64,100
0:21,2729,Justin Pierce made Layup.,66,100
0:00,2272,End of Game,64,100
