Memphis,333,Alabama,235
1:34,235,Kareem Brewton Jr. missed Free Throw.,31,34
1:34,333,Alex Reese Defensive Rebound.,31,34
1:22,235,Foul on Kareem Brewton Jr..,31,34
1:22,333,Avery Johnson missed Free Throw.,31,34
1:22,235,Raynere Thornton Defensive Rebound.,31,34
1:06,235,Raynere Thornton missed Layup.,31,34
1:06,235,Kyvon Davenport Offensive Rebound.,31,34
1:02,235,Kyvon Davenport made Layup.,33,34
0:48,333,Lawson Schaffer made Jumper.,33,36
0:35,333,Foul on Lawson Schaffer.,33,36
0:35,235,Jeremiah Martin missed Free Throw.,33,36
0:35,235,Memphis Deadball Team Rebound.,33,36
0:35,235,Jeremiah Martin made Free Throw.,34,36
0:35,333,Alabama  Timeout,34,36
0:11,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,34,38
0:01,235,Malik Rhodes missed Three Point Jumper.,34,38
0:01,235,Raynere Thornton Offensive Rebound.,34,38
0:00,235,Raynere Thornton made Layup.,36,38
0:00,333,End of 1st half,34,38
19:47,235,Kareem Brewton Jr. Turnover.,36,38
19:44,333,Alex Reese Steal.,36,38
19:39,333,Dazon Ingram made Dunk. Assisted by Alex Reese.,36,40
19:24,235,Jimario Rivers made Jumper.,38,40
19:01,333,John Petty missed Three Point Jumper.,38,40
19:01,235,Kyvon Davenport Defensive Rebound.,38,40
18:49,235,Kyvon Davenport missed Three Point Jumper.,38,40
18:49,333,Donta Hall Defensive Rebound.,38,40
18:45,333,Donta Hall Turnover.,38,40
18:43,235,Kareem Brewton Jr. Steal.,38,40
18:42,235,Mike Parks Jr. missed Layup.,38,40
18:42,333,Donta Hall Block.,38,40
18:42,235,Memphis Offensive Rebound.,38,40
18:29,235,Kareem Brewton Jr. Turnover.,38,40
18:27,333,Alex Reese Steal.,38,40
18:23,333,John Petty missed Jumper.,38,40
18:23,235,Memphis Defensive Rebound.,38,40
17:56,235,Jimario Rivers made Dunk.,40,40
17:46,333,Dazon Ingram Turnover.,40,40
17:46,333,Foul on Dazon Ingram.,40,40
17:21,333,Foul on Alex Reese.,40,40
17:21,235,Raynere Thornton made Free Throw.,41,40
17:21,235,Raynere Thornton made Free Throw.,42,40
17:04,333,Dazon Ingram missed Jumper.,42,40
17:04,333,Donta Hall Offensive Rebound.,42,40
17:04,235,Foul on Kareem Brewton Jr..,42,40
17:04,333,Donta Hall missed Free Throw.,42,40
17:04,333,Alabama Deadball Team Rebound.,42,40
17:04,333,Donta Hall made Free Throw.,42,41
