Our Lady of the Lake,Error,Texas A&amp;M-CC,357
14:22,-1,Foul on Alex Doche.,6,5
14:05,357,Myles Smith missed Three Point Jumper.,6,5
14:05,-1,Darion Brown Defensive Rebound.,6,5
13:40,-1,Brandell Collins Turnover.,6,5
13:12,357,Joseph Kilgore made Jumper.,6,7
12:59,-1,Courtney Julien Turnover.,6,7
12:46,357,Colin Hale Turnover.,6,7
12:45,-1,P.J. Escobar Steal.,6,7
12:33,-1,Ryan Otis missed Dunk.,6,7
12:33,-1,Our Lady Of The Lake Offensive Rebound.,6,7
12:18,-1,P.J. Escobar made Three Point Jumper.,9,7
11:59,357,Colin Hale Turnover.,9,7
11:57,-1,Darion Brown Steal.,9,7
11:55,-1,Darion Brown missed Layup.,9,7
11:55,357,Kyle Brown Defensive Rebound.,9,7
11:50,357,Kyle Brown Turnover.,9,7
11:50,357,Official TV Timeout,9,7
11:34,-1,P.J. Escobar Turnover.,9,7
11:33,357,Kareem South Steal.,9,7
11:12,357,York Benjamin made Layup.,9,9
10:50,-1,Darion Brown made Layup.,11,9
10:33,357,Joseph Kilgore made Jumper. Assisted by Kyle Brown.,11,11
10:12,-1,Yephnick Adelphonse made Three Point Jumper. Assisted by Darion Brown.,14,11
9:57,357,Kareem South made Jumper.,14,13
9:35,-1,Courtney Julien missed Layup.,14,13
9:35,357,Kyle Brown Defensive Rebound.,14,13
9:11,357,Joseph Kilgore missed Jumper.,14,13
9:11,-1,Yephnick Adelphonse Defensive Rebound.,14,13
8:59,-1,Courtney Julien made Three Point Jumper. Assisted by Alex Doche.,17,13
8:43,-1,Foul on Alex Doche.,17,13
8:27,357,Kareem South missed Jumper.,17,13
8:27,-1,Ryan Otis Defensive Rebound.,17,13
8:16,-1,Ryan Otis made Layup. Assisted by Darion Brown.,19,13
7:56,-1,Foul on Brandon Joseph.,19,13
7:56,357,Official TV Timeout,19,13
7:56,357,Myles Smith made Free Throw.,19,14
7:56,357,Myles Smith made Free Throw.,19,15
7:48,-1,Yephnick Adelphonse missed Three Point Jumper.,19,15
7:48,357,Myles Smith Defensive Rebound.,19,15
7:39,357,Joseph Kilgore made Layup.,19,17
7:20,-1,Yephnick Adelphonse Turnover.,19,17
7:17,357,Joseph Kilgore Steal.,19,17
7:10,357,Kareem South made Jumper. Assisted by Joseph Kilgore.,19,19
6:57,357,Foul on Perry Francois.,19,19
6:57,-1,Ryan Otis missed Free Throw.,19,19
6:57,-1,Our Lady Of The Lake Deadball Team Rebound.,19,19
6:57,-1,Ryan Otis made Free Throw.,20,19
6:49,357,Kareem South missed Jumper.,20,19
6:49,-1,Courtney Julien Defensive Rebound.,20,19
6:33,-1,Courtney Julien made Layup. Assisted by Brandell Collins.,22,19
6:19,357,Kareem South missed Jumper.,22,19
6:19,357,Elijah Schmidt Offensive Rebound.,22,19
6:09,357,Tre Gray missed Three Point Jumper.,22,19
6:09,357,Kareem South Offensive Rebound.,22,19
6:01,357,Kareem South Turnover.,22,19
5:59,-1,Courtney Julien Steal.,22,19
5:56,-1,P.J. Escobar missed Three Point Jumper.,22,19
5:56,357,Kareem South Defensive Rebound.,22,19
5:33,357,Joseph Kilgore missed Three Point Jumper.,22,19
5:33,357,Elijah Schmidt Offensive Rebound.,22,19
5:28,357,Elijah Schmidt missed Layup.,22,19
5:28,-1,Yephnick Adelphonse Block.,22,19
5:28,-1,Courtney Julien Defensive Rebound.,22,19
5:19,-1,Brandell Collins made Jumper.,24,19
5:04,357,Kareem South Turnover.,24,19
5:04,357,Texas A&M-CC  Timeout,24,19
4:49,-1,Courtney Julien missed Three Point Jumper.,24,19
4:48,357,Sean Rhea Defensive Rebound.,24,19
4:41,357,Tre Gray missed Layup.,24,19
4:41,-1,Brandell Collins Defensive Rebound.,24,19
4:34,-1,Brandell Collins missed Layup.,24,19
4:34,357,Elijah Schmidt Defensive Rebound.,24,19
3:59,357,Kareem South made Three Point Jumper. Assisted by Joseph Kilgore.,24,22
3:55,-1,Our Lady Of The Lake  Timeout,24,22
3:36,-1,Darion Brown missed Three Point Jumper.,24,22
3:36,357,Elijah Schmidt Defensive Rebound.,24,22
3:20,357,Joseph Kilgore made Jumper. Assisted by Elijah Schmidt.,24,24
3:09,-1,P.J. Escobar missed Three Point Jumper.,24,24
3:09,357,Sean Rhea Defensive Rebound.,24,24
2:57,357,Joseph Kilgore missed Jumper.,24,24
2:57,-1,Ryan Otis Defensive Rebound.,24,24
2:50,-1,Courtney Julien missed Layup.,24,24
2:50,357,Elijah Schmidt Defensive Rebound.,24,24
2:25,-1,Foul on Ryan Otis.,24,24
2:25,357,Tre Gray made Free Throw.,24,25
2:25,357,Tre Gray made Free Throw.,24,26
2:12,-1,Courtney Julien Turnover.,24,26
2:10,357,Joseph Kilgore Steal.,24,26
2:07,357,Joseph Kilgore missed Jumper.,24,26
2:07,357,Elijah Schmidt Offensive Rebound.,24,26
1:46,357,Foul on Elijah Schmidt.,24,26
1:46,357,Elijah Schmidt Turnover.,24,26
1:22,-1,Ryan Otis made Dunk. Assisted by Darion Brown.,26,26
0:59,-1,Foul on Darion Brown.,26,26
0:59,357,Tre Gray missed Free Throw.,26,26
0:59,357,Texas A&M-CC Deadball Team Rebound.,26,26
0:59,357,Tre Gray missed Free Throw.,26,26
0:59,-1,Brandell Collins Defensive Rebound.,26,26
0:49,-1,Courtney Julien missed Three Point Jumper.,26,26
0:49,-1,Ryan Otis Offensive Rebound.,26,26
0:44,-1,Ryan Otis missed Layup.,26,26
0:44,-1,Yephnick Adelphonse Offensive Rebound.,26,26
0:42,-1,Yephnick Adelphonse Turnover.,26,26
0:40,357,Kyle Brown Steal.,26,26
0:39,-1,Foul on Brandell Collins.,26,26
0:39,357,Kyle Brown missed Free Throw.,26,26
0:39,357,Texas A&M-CC Deadball Team Rebound.,26,26
0:39,357,Kyle Brown missed Free Throw.,26,26
0:39,-1,Yephnick Adelphonse Defensive Rebound.,26,26
0:38,-1,Ryan Otis Turnover.,26,26
0:38,357,York Benjamin Steal.,26,26
0:23,-1,Foul on Brandell Collins.,26,26
0:23,357,Tre Gray made Free Throw.,26,27
0:23,357,Tre Gray made Free Throw.,26,28
0:09,-1,Courtney Julien made Three Point Jumper. Assisted by P.J. Escobar.,29,28
0:00,357,Tre Gray missed Three Point Jumper.,29,28
0:00,357,End of 1st half,29,28
19:47,-1,Courtney Julien missed Three Point Jumper.,29,28
19:47,357,Joseph Kilgore Defensive Rebound.,29,28
19:33,357,Kareem South missed Three Point Jumper.,29,28
19:33,357,Elijah Schmidt Offensive Rebound.,29,28
19:18,357,Myles Smith missed Jumper.,29,28
19:18,-1,Courtney Julien Defensive Rebound.,29,28
19:14,-1,Courtney Julien Turnover.,29,28
19:11,357,Joseph Kilgore missed Jumper.,29,28
19:11,357,Elijah Schmidt Offensive Rebound.,29,28
19:06,357,Elijah Schmidt made Layup.,29,30
18:56,-1,Simon Shafack Jr. missed Three Point Jumper.,29,30
18:56,357,Joseph Kilgore Defensive Rebound.,29,30
18:40,357,Myles Smith made Layup.,29,32
18:40,-1,Foul on Simon Shafack Jr..,29,32
18:40,357,Myles Smith made Free Throw.,29,33
18:30,-1,Foul on Yephnick Adelphonse.,29,33
18:30,-1,Yephnick Adelphonse Turnover.,29,33
18:16,357,Joseph Kilgore missed Three Point Jumper.,29,33
18:16,-1,Our Lady Of The Lake Defensive Rebound.,29,33
17:56,-1,P.J. Escobar missed Jumper.,29,33
17:56,357,Sean Rhea Defensive Rebound.,29,33
17:42,357,Kareem South Turnover.,29,33
17:40,-1,Brandell Collins Steal.,29,33
17:37,-1,Brandell Collins missed Layup.,29,33
17:37,357,Joseph Kilgore Block.,29,33
17:37,357,Kareem South Defensive Rebound.,29,33
17:29,357,Kareem South made Layup.,29,35
17:12,-1,Darion Brown made Three Point Jumper. Assisted by Brandell Collins.,32,35
17:06,-1,Our Lady Of The Lake  Timeout,32,35
16:42,357,Joseph Kilgore missed Jumper.,32,35
16:42,-1,Courtney Julien Defensive Rebound.,32,35
16:32,-1,Darion Brown missed Three Point Jumper.,32,35
16:32,357,Sean Rhea Defensive Rebound.,32,35
16:13,357,Myles Smith made Three Point Jumper. Assisted by Elijah Schmidt.,32,38
15:55,357,Foul on Kareem South.,32,38
15:55,357,Official TV Timeout,32,38
15:41,357,Foul on Sean Rhea.,32,38
15:36,-1,Courtney Julien Turnover.,32,38
15:16,357,Elijah Schmidt missed Jumper.,32,38
15:16,357,Kareem South Offensive Rebound.,32,38
15:11,357,Kareem South missed Jumper.,32,38
15:11,-1,P.J. Escobar Defensive Rebound.,32,38
14:58,-1,Darion Brown missed Layup.,32,38
14:58,357,Elijah Schmidt Block.,32,38
14:58,-1,Our Lady Of The Lake Offensive Rebound.,32,38
14:48,-1,Foul on Brandell Collins.,32,38
14:48,-1,Brandell Collins Turnover.,32,38
14:45,357,Joseph Kilgore missed Jumper.,32,38
14:45,357,York Benjamin Offensive Rebound.,32,38
14:41,-1,Foul on Ryan Otis.,32,38
14:41,357,York Benjamin made Free Throw.,32,39
14:41,357,York Benjamin made Free Throw.,32,40
14:20,-1,Alex Doche missed Jumper.,32,40
14:20,357,Elijah Schmidt Defensive Rebound.,32,40
13:56,357,Kyle Brown missed Jumper.,32,40
13:56,357,York Benjamin Offensive Rebound.,32,40
13:50,357,Kareem South missed Jumper.,32,40
13:50,-1,Courtney Julien Defensive Rebound.,32,40
13:33,-1,Darion Brown missed Layup.,32,40
13:33,357,Elijah Schmidt Block.,32,40
13:33,357,Kyle Brown Defensive Rebound.,32,40
13:16,-1,Foul on Ryan Otis.,32,40
13:13,357,Elijah Schmidt missed Layup.,32,40
13:13,-1,Courtney Julien Defensive Rebound.,32,40
13:05,-1,P.J. Escobar made Three Point Jumper. Assisted by Darion Brown.,35,40
12:54,357,Kyle Brown Turnover.,35,40
12:52,-1,Simon Shafack Jr. Steal.,35,40
12:48,-1,Simon Shafack Jr. Turnover.,35,40
12:28,357,Kyle Brown Turnover.,35,40
12:26,-1,Brandell Collins Steal.,35,40
12:23,-1,Courtney Julien made Layup.,37,40
12:06,357,Kyle Brown missed Layup.,37,40
12:06,-1,Brandell Collins Defensive Rebound.,37,40
11:57,357,Foul on Joseph Kilgore.,37,40
11:57,357,Official TV Timeout,37,40
11:57,-1,Courtney Julien made Free Throw.,38,40
11:57,-1,Courtney Julien made Free Throw.,39,40
11:50,357,Joseph Kilgore made Jumper. Assisted by Myles Smith.,39,42
11:38,-1,Simon Shafack Jr. made Layup. Assisted by Brandell Collins.,41,42
11:13,357,Joseph Kilgore missed Jumper.,41,42
11:13,-1,P.J. Escobar Defensive Rebound.,41,42
11:08,357,Foul on Tre Gray.,41,42
10:53,-1,Brandon Joseph missed Three Point Jumper.,41,42
10:53,357,Elijah Schmidt Defensive Rebound.,41,42
10:46,357,Foul on Sean Rhea.,41,42
10:46,-1,Courtney Julien made Free Throw.,42,42
10:46,-1,Courtney Julien made Free Throw.,43,42
10:41,357,Kareem South made Jumper. Assisted by Tre Gray.,43,44
10:29,-1,P.J. Escobar missed Three Point Jumper.,43,44
10:29,357,Joseph Kilgore Defensive Rebound.,43,44
10:19,-1,Foul on Simon Shafack Jr..,43,44
10:10,357,Elijah Schmidt missed Jumper.,43,44
10:10,357,Elijah Schmidt Offensive Rebound.,43,44
10:05,357,Elijah Schmidt missed Layup.,43,44
10:05,357,Elijah Schmidt Offensive Rebound.,43,44
10:01,357,Elijah Schmidt Turnover.,43,44
9:45,-1,Darion Brown missed Three Point Jumper.,43,44
9:45,357,Myles Smith Defensive Rebound.,43,44
9:21,357,Kareem South missed Layup.,43,44
9:21,-1,Our Lady Of The Lake Defensive Rebound.,43,44
9:18,357,Foul on Elijah Schmidt.,43,44
9:13,357,Foul on Tre Gray.,43,44
9:13,-1,Brandell Collins made Free Throw.,44,44
9:13,-1,Brandell Collins made Free Throw.,45,44
9:03,357,Kareem South Turnover.,45,44
8:56,-1,P.J. Escobar missed Three Point Jumper.,45,44
8:56,-1,Courtney Julien Offensive Rebound.,45,44
8:52,-1,Courtney Julien made Layup.,47,44
8:39,357,Kareem South made Jumper. Assisted by Joseph Kilgore.,47,46
8:22,-1,P.J. Escobar missed Three Point Jumper.,47,46
8:22,357,Joseph Kilgore Defensive Rebound.,47,46
8:16,357,Joseph Kilgore Turnover.,47,46
8:02,-1,P.J. Escobar missed Three Point Jumper.,47,46
8:02,357,Elijah Schmidt Defensive Rebound.,47,46
7:50,357,Colin Hale made Layup.,47,48
7:37,-1,Courtney Julien made Three Point Jumper. Assisted by Yephnick Adelphonse.,50,48
7:15,357,York Benjamin made Layup. Assisted by Kareem South.,50,50
7:01,-1,Courtney Julien missed Three Point Jumper.,50,50
7:01,357,Myles Smith Defensive Rebound.,50,50
6:47,-1,Foul on Courtney Julien.,50,50
6:47,357,Official TV Timeout,50,50
6:47,357,Elijah Schmidt missed Free Throw.,50,50
6:47,357,Texas A&M-CC Deadball Team Rebound.,50,50
6:47,357,Elijah Schmidt made Free Throw.,50,51
6:34,-1,Darion Brown Turnover.,50,51
6:29,357,Myles Smith Steal.,50,51
6:20,-1,Foul on Alex Doche.,50,51
6:20,357,York Benjamin made Free Throw.,50,52
6:20,357,York Benjamin made Free Throw.,50,53
6:11,-1,P.J. Escobar made Three Point Jumper. Assisted by Darion Brown.,53,53
5:46,-1,Foul on Darion Brown.,53,53
5:46,357,Joseph Kilgore made Free Throw.,53,54
5:46,357,Joseph Kilgore missed Free Throw.,53,54
5:46,357,York Benjamin Offensive Rebound.,53,54
5:46,357,Joseph Kilgore missed Layup.,53,54
5:46,357,York Benjamin Offensive Rebound.,53,54
5:41,-1,Foul on P.J. Escobar.,53,54
5:26,357,York Benjamin made Free Throw.,53,55
5:14,357,York Benjamin made Free Throw.,53,56
5:09,-1,Courtney Julien missed Three Point Jumper.,53,56
5:09,-1,Brandell Collins Offensive Rebound.,53,56
5:02,-1,Courtney Julien missed Layup.,53,56
5:02,357,Joseph Kilgore Block.,53,56
5:02,-1,Our Lady Of The Lake Offensive Rebound.,53,56
5:00,-1,Courtney Julien Turnover.,53,56
4:58,357,York Benjamin Steal.,53,56
4:49,357,York Benjamin Turnover.,53,56
4:46,-1,Darion Brown Steal.,53,56
4:45,-1,Courtney Julien missed Three Point Jumper.,53,56
4:45,-1,Darion Brown Offensive Rebound.,53,56
4:41,357,Foul on Elijah Schmidt.,53,56
4:41,-1,Simon Shafack Jr. made Free Throw.,54,56
4:41,-1,Simon Shafack Jr. made Free Throw.,55,56
4:39,357,York Benjamin missed Layup.,55,56
4:39,-1,Brandell Collins Block.,55,56
4:39,357,Kareem South Offensive Rebound.,55,56
4:32,357,Kareem South made Three Point Jumper. Assisted by Myles Smith.,55,59
4:21,-1,Brandell Collins made Layup.,57,59
4:18,357,Official TV Timeout,57,59
3:55,357,Joseph Kilgore missed Jumper.,57,59
3:55,-1,Our Lady Of The Lake Deadball Team Rebound.,57,59
3:32,357,Foul on York Benjamin.,57,59
3:32,-1,Courtney Julien made Free Throw.,58,59
3:32,-1,Courtney Julien made Free Throw.,59,59
3:25,357,Elijah Schmidt missed Jumper.,59,59
3:25,-1,Simon Shafack Jr. Defensive Rebound.,59,59
3:16,-1,P.J. Escobar missed Three Point Jumper.,59,59
3:16,357,Elijah Schmidt Defensive Rebound.,59,59
3:10,357,Foul on Myles Smith.,59,59
3:10,-1,Courtney Julien missed Free Throw.,59,59
3:10,-1,Our Lady Of The Lake Deadball Team Rebound.,59,59
3:07,-1,Courtney Julien missed Free Throw.,59,59
3:07,357,Elijah Schmidt Defensive Rebound.,59,59
3:01,357,Texas A&M-CC  Timeout,59,59
2:37,357,Sean Rhea made Dunk. Assisted by Myles Smith.,59,61
2:19,-1,P.J. Escobar missed Three Point Jumper.,59,61
2:15,-1,Simon Shafack Jr. made Layup.,61,61
2:15,-1,Simon Shafack Jr. made Free Throw.,62,61
2:15,-1,Simon Shafack Jr. Offensive Rebound.,59,61
1:55,357,Sean Rhea made Layup. Assisted by Myles Smith.,62,63
1:31,-1,Foul on Simon Shafack Jr..,62,63
1:31,-1,Simon Shafack Jr. Turnover.,62,63
1:23,-1,Foul on Brandell Collins.,62,63
1:23,357,Sean Rhea made Free Throw.,62,64
1:23,357,Sean Rhea made Free Throw.,62,65
1:14,-1,P.J. Escobar made Three Point Jumper. Assisted by Courtney Julien.,65,65
1:10,-1,Our Lady Of The Lake  Timeout,65,65
0:57,-1,Foul on Yephnick Adelphonse.,65,65
0:57,357,Elijah Schmidt missed Free Throw.,65,65
0:57,357,Texas A&M-CC Deadball Team Rebound.,65,65
0:57,357,Elijah Schmidt made Free Throw.,65,66
0:49,-1,P.J. Escobar missed Three Point Jumper.,65,66
0:49,357,Texas A&M-CC Defensive Rebound.,65,66
0:18,357,Joseph Kilgore missed Three Point Jumper.,65,66
0:18,357,Kareem South Offensive Rebound.,65,66
0:14,357,Kareem South missed Layup.,65,66
0:14,357,Elijah Schmidt Offensive Rebound.,65,66
0:11,-1,Foul on Yephnick Adelphonse.,65,66
0:11,357,Elijah Schmidt missed Free Throw.,65,66
0:11,357,Texas A&M-CC Deadball Team Rebound.,65,66
0:11,357,Elijah Schmidt made Free Throw.,65,67
0:11,357,Texas A&M-CC  Timeout,65,67
0:04,-1,Courtney Julien made Three Point Jumper. Assisted by Darion Brown.,68,67
0:04,357,Texas A&M-CC  Timeout,68,67
0:00,357,Myles Smith made Jumper.,68,69
0:00,357,End of 2nd half,68,67
