CCNY,Error,Rutgers,164
6:41,-1,Foul on Brendan Hauser.,10,30
6:41,164,Corey Sanders made Free Throw.,10,31
6:29,-1,Wils Jazilek Turnover.,10,31
6:29,164,Deshawn Freeman Steal.,10,31
6:06,164,Deshawn Freeman made Jumper.,10,33
5:42,-1,Ian Javier missed Jumper.,10,33
5:42,164,Deshawn Freeman Defensive Rebound.,10,33
5:26,-1,Foul on Salvatore Palazzolo.,10,33
5:26,164,Issa Thiam made Free Throw.,10,34
5:26,164,Issa Thiam made Free Throw.,10,35
4:57,-1,Austin Volkens missed Jumper.,10,35
4:57,164,Mamadou Doucoure Defensive Rebound.,10,35
4:42,164,Corey Sanders made Layup.,10,37
4:24,-1,Austin Volkens missed Jumper.,10,37
4:24,164,Issa Thiam Defensive Rebound.,10,37
4:19,164,Deshawn Freeman made Layup. Assisted by Corey Sanders.,10,39
3:56,-1,Samuel Williams made Three Point Jumper. Assisted by James White.,13,39
3:44,-1,Foul on James White.,13,39
3:44,164,Official TV Timeout,13,39
3:44,164,Mamadou Doucoure made Free Throw.,13,40
3:44,164,Mamadou Doucoure made Free Throw.,13,41
3:25,-1,Ian Javier Turnover.,13,41
3:24,164,Deshawn Freeman Steal.,13,41
3:22,164,Corey Sanders made Layup. Assisted by Deshawn Freeman.,13,43
2:59,164,Foul on Corey Sanders.,13,43
2:39,-1,Ian Javier missed Three Point Jumper.,13,43
2:39,164,Issa Thiam Defensive Rebound.,13,43
2:10,164,Jake Dadika missed Three Point Jumper.,13,43
2:10,-1,Wils Jazilek Defensive Rebound.,13,43
1:44,-1,James White missed Three Point Jumper.,13,43
1:44,164,Mamadou Doucoure Defensive Rebound.,13,43
1:22,164,Issa Thiam missed Three Point Jumper.,13,43
1:22,-1,Ian Javier Defensive Rebound.,13,43
1:22,164,Foul on Mamadou Doucoure.,13,43
1:05,-1,Wils Jazilek missed Three Point Jumper.,13,43
1:05,164,Issa Thiam Defensive Rebound.,13,43
0:58,-1,Foul on Samuel Williams.,13,43
0:58,164,Deshawn Freeman made Free Throw.,13,44
0:58,164,Deshawn Freeman made Free Throw.,13,45
0:27,-1,Austin Volkens missed Three Point Jumper.,13,45
0:27,164,Deshawn Freeman Defensive Rebound.,13,45
0:23,164,Eugene Omoruyi made Layup. Assisted by Deshawn Freeman.,13,47
0:23,-1,Foul on Samuel Williams.,13,47
0:23,164,Eugene Omoruyi missed Free Throw.,13,47
0:23,164,Issa Thiam Offensive Rebound.,13,47
0:22,164,Issa Thiam made Layup.,13,49
0:13,-1,Ian Javier Turnover.,13,49
0:13,164,Souf Mensah Steal.,13,49
0:10,164,Deshawn Freeman made Dunk. Assisted by Eugene Omoruyi.,13,51
0:00,164,End of 1st half,13,51
19:43,-1,Samuel Williams missed Layup.,13,51
19:43,164,Mamadou Doucoure Defensive Rebound.,13,51
19:28,164,Geo Baker Turnover.,13,51
19:22,-1,James White made Three Point Jumper.,16,51
19:05,164,Geo Baker made Layup.,16,53
18:47,-1,Salvatore Palazzolo missed Jumper.,16,53
18:47,-1,Wils Jazilek Offensive Rebound.,16,53
18:44,-1,Wils Jazilek made Jumper.,18,53
18:27,164,Corey Sanders Turnover.,18,53
18:26,-1,Samuel Williams Steal.,18,53
18:22,-1,Samuel Williams made Layup.,20,53
17:57,164,Mamadou Doucoure missed Jumper.,20,53
17:57,164,Issa Thiam Offensive Rebound.,20,53
17:55,164,Issa Thiam made Layup.,20,55
17:22,-1,Wils Jazilek missed Three Point Jumper.,20,55
17:22,164,Corey Sanders Defensive Rebound.,20,55
17:12,164,Geo Baker made Jumper.,20,57
16:51,164,Foul on Geo Baker.,20,57
16:35,-1,Salvatore Palazzolo missed Jumper.,20,57
16:35,164,Deshawn Freeman Defensive Rebound.,20,57
16:28,-1,Foul on Austin Volkens.,20,57
16:16,164,Mamadou Doucoure made Dunk. Assisted by Geo Baker.,20,59
15:54,164,Foul on Geo Baker.,20,59
15:54,164,Official TV Timeout,20,59
15:54,-1,James White made Free Throw.,21,59
15:54,-1,James White missed Free Throw.,21,59
15:54,164,Eugene Omoruyi Defensive Rebound.,21,59
15:40,164,Corey Sanders made Layup.,21,61
15:12,-1,Samuel Williams made Jumper.,23,61
14:55,164,Issa Thiam missed Three Point Jumper.,23,61
14:55,164,Eugene Omoruyi Offensive Rebound.,23,61
14:53,164,Eugene Omoruyi made Two Point Tip Shot.,23,63
14:32,-1,Salvatore Palazzolo missed Three Point Jumper.,23,63
14:32,164,Corey Sanders Defensive Rebound.,23,63
14:23,164,Shaquille Doorson made Dunk. Assisted by Eugene Omoruyi.,23,65
13:59,-1,Salvatore Palazzolo made Jumper.,25,65
13:47,164,Issa Thiam made Layup. Assisted by Eugene Omoruyi.,25,67
13:27,-1,Samuel Williams missed Three Point Jumper.,25,67
13:27,164,Issa Thiam Defensive Rebound.,25,67
13:16,164,Foul on Eugene Omoruyi.,25,67
13:02,-1,Salvatore Palazzolo missed Three Point Jumper.,25,67
13:02,164,Issa Thiam Defensive Rebound.,25,67
12:52,164,Souf Mensah Turnover.,25,67
12:51,-1,Wils Jazilek Steal.,25,67
12:49,-1,Foul on Salvatore Palazzolo.,25,67
12:49,-1,Salvatore Palazzolo Turnover.,25,67
12:32,164,Issa Thiam missed Jumper.,25,67
12:32,164,Shaquille Doorson Offensive Rebound.,25,67
12:32,-1,Foul on Salvatore Palazzolo.,25,67
12:32,164,Shaquille Doorson missed Free Throw.,25,67
12:32,164,Rutgers Deadball Team Rebound.,25,67
12:32,164,Shaquille Doorson made Free Throw.,25,68
12:10,-1,James White missed Three Point Jumper.,25,68
12:10,164,Eugene Omoruyi Defensive Rebound.,25,68
11:58,164,Shaquille Doorson made Layup.,25,70
11:42,-1,Samuel Williams missed Layup.,25,70
11:42,164,Geo Baker Defensive Rebound.,25,70
11:41,-1,Foul on Samuel Williams.,25,70
11:41,164,Official TV Timeout,25,70
11:27,164,Jake Dadika missed Three Point Jumper.,25,70
11:27,-1,Wils Jazilek Defensive Rebound.,25,70
11:20,-1,Justin Hicks missed Jumper.,25,70
11:20,164,Shaquille Doorson Defensive Rebound.,25,70
11:02,164,Candido Sa made Layup. Assisted by Souf Mensah.,25,72
10:39,-1,Ian Javier missed Three Point Jumper.,25,72
10:39,164,Geo Baker Defensive Rebound.,25,72
10:32,164,Geo Baker missed Three Point Jumper.,25,72
10:32,164,Shaquille Doorson Offensive Rebound.,25,72
10:32,-1,Foul on Ian Javier.,25,72
10:32,164,Shaquille Doorson made Free Throw.,25,73
10:32,164,Shaquille Doorson missed Free Throw.,25,73
10:32,164,Souf Mensah Offensive Rebound.,25,73
10:17,-1,Foul on Wils Jazilek.,25,73
10:16,164,Shaquille Doorson missed Free Throw.,25,73
10:16,164,Rutgers Deadball Team Rebound.,25,73
10:16,164,Shaquille Doorson made Free Throw.,25,74
9:53,-1,James White missed Layup.,25,74
9:53,164,Candido Sa Defensive Rebound.,25,74
9:40,164,Geo Baker Turnover.,25,74
9:38,-1,James White Steal.,25,74
9:30,-1,Austin Volkens missed Layup.,25,74
9:30,164,Luke Nathan Block.,25,74
9:29,164,Souf Mensah Defensive Rebound.,25,74
9:25,164,Geo Baker made Layup. Assisted by Souf Mensah.,25,76
9:02,-1,Wils Jazilek missed Three Point Jumper.,25,76
9:02,164,Jake Dadika Defensive Rebound.,25,76
8:58,164,Souf Mensah made Layup. Assisted by Jake Dadika.,25,78
8:58,-1,Foul on James White.,25,78
8:58,164,Souf Mensah made Free Throw.,25,79
8:31,-1,Athanasios Kamberis missed Three Point Jumper.,25,79
8:31,164,Rutgers Defensive Rebound.,25,79
8:12,164,Candido Sa Turnover.,25,79
7:54,-1,James White missed Three Point Jumper.,25,79
7:54,164,Candido Sa Defensive Rebound.,25,79
7:47,164,Souf Mensah made Jumper.,25,81
7:47,-1,City College (NY)  Timeout,25,81
7:47,164,Official TV Timeout,25,81
7:31,-1,Austin Volkens made Three Point Jumper. Assisted by Athanasios Kamberis.,28,81
7:21,-1,Foul on Ian Javier.,28,81
7:21,164,Official TV Timeout,28,81
7:21,164,Souf Mensah missed Free Throw.,28,81
7:21,164,Foul on Luke Nathan.,28,81
7:21,-1,City College (NY) Defensive Rebound.,28,81
7:07,-1,Athanasios Kamberis missed Three Point Jumper.,28,81
7:07,164,Luke Nathan Defensive Rebound.,28,81
6:57,164,Joey Downes made Three Point Jumper. Assisted by Souf Mensah.,28,84
6:46,-1,Iranian Robinson made Three Point Jumper. Assisted by Ian Javier.,31,84
6:28,164,Jake Dadika made Layup.,31,86
6:07,-1,Ian Javier missed Three Point Jumper.,31,86
6:07,164,Souf Mensah Defensive Rebound.,31,86
5:59,164,Joey Downes missed Three Point Jumper.,31,86
5:59,-1,Austin Volkens Defensive Rebound.,31,86
5:49,-1,Athanasios Kamberis missed Three Point Jumper.,31,86
5:49,164,Candido Sa Defensive Rebound.,31,86
5:43,164,Luke Nathan missed Layup.,31,86
5:43,-1,Iranian Robinson Defensive Rebound.,31,86
5:26,-1,Iranian Robinson Turnover.,31,86
5:25,164,Joey Downes Steal.,31,86
5:22,-1,Foul on Ian Javier.,31,86
5:22,164,Jake Dadika missed Free Throw.,31,86
5:22,164,Rutgers Deadball Team Rebound.,31,86
5:21,164,Jake Dadika missed Free Throw.,31,86
5:21,-1,Ian Javier Defensive Rebound.,31,86
5:09,-1,Athanasios Kamberis missed Three Point Jumper.,31,86
5:09,164,Souf Mensah Defensive Rebound.,31,86
5:00,164,Souf Mensah made Jumper.,31,88
4:39,-1,Wils Jazilek missed Three Point Jumper.,31,88
4:39,164,Souf Mensah Defensive Rebound.,31,88
4:26,-1,Foul on Oludamilola Arougundade.,31,88
4:26,164,Souf Mensah missed Free Throw.,31,88
4:26,164,Rutgers Deadball Team Rebound.,31,88
4:26,164,Souf Mensah missed Free Throw.,31,88
4:26,-1,Wils Jazilek Defensive Rebound.,31,88
4:15,-1,Joseph Bermundez Turnover.,31,88
4:15,164,Joey Downes Steal.,31,88
4:08,-1,Foul on Wils Jazilek.,31,88
4:08,164,Luke Nathan made Free Throw.,31,89
4:08,164,Luke Nathan missed Free Throw.,31,89
4:08,164,Eugene Omoruyi Offensive Rebound.,31,89
4:06,164,Eugene Omoruyi made Jumper.,31,91
3:42,-1,Wils Jazilek Turnover.,31,91
3:41,164,Aaren Smith Steal.,31,91
3:38,164,Official TV Timeout,31,91
3:12,164,Joey Downes missed Three Point Jumper.,31,91
3:12,164,Eugene Omoruyi Offensive Rebound.,31,91
3:12,164,Eugene Omoruyi missed Two Point Tip Shot.,31,91
3:12,-1,City College (NY) Defensive Rebound.,31,91
2:54,164,Foul on Aaren Smith.,31,91
2:54,-1,Iranian Robinson made Free Throw.,32,91
2:54,-1,Iranian Robinson made Free Throw.,33,91
2:34,164,Luke Nathan made Layup. Assisted by Aaren Smith.,33,93
2:07,-1,Pawel Drodz Turnover.,33,93
2:05,164,Eugene Omoruyi Steal.,33,93
1:53,-1,Foul on Oludamilola Arougundade.,33,93
1:53,164,Eugene Omoruyi missed Free Throw.,33,93
1:53,164,Rutgers Deadball Team Rebound.,33,93
1:53,164,Eugene Omoruyi made Free Throw.,33,94
1:41,-1,Ian Javier missed Three Point Jumper.,33,94
1:41,-1,Joseph Bermundez Offensive Rebound.,33,94
1:27,-1,Ian Javier Turnover.,33,94
1:26,164,Joey Downes Steal.,33,94
1:16,164,Aaren Smith Turnover.,33,94
0:50,-1,Ian Javier made Three Point Jumper.,36,94
0:34,164,Foul on Luke Nathan.,36,94
0:34,164,Luke Nathan Turnover.,36,94
0:08,164,Foul on Aaren Smith.,36,94
0:08,-1,Joseph Bermundez missed Free Throw.,36,94
0:08,-1,City College (NY) Deadball Team Rebound.,36,94
0:08,-1,Joseph Bermundez made Free Throw.,37,94
0:08,-1,Joseph Bermundez made Free Throw.,38,94
0:00,164,End of Game,38,94
