Charleston Southern,2166,Davidson,2127
19:46,2166,KiShawn Pritchett made Layup. Assisted by Peyton Aldridge.,23,60
19:28,2127,Deontaye Buskey missed Jumper.,23,60
19:28,2166,Peyton Aldridge Defensive Rebound.,23,60
19:12,2166,Oskar Michelsen made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,23,63
18:58,2166,Foul on Oskar Michelsen.,23,63
18:58,2127,Phlandrous Fleming Jr made Free Throw.,24,63
18:58,2127,Phlandrous Fleming Jr missed Free Throw.,24,63
18:58,2166,Jon Axel Gudmundsson Defensive Rebound.,24,63
18:44,2166,Oskar Michelsen made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,24,66
18:32,2127,Deontaye Buskey Turnover.,24,66
18:31,2166,Oskar Michelsen Steal.,24,66
18:28,2127,Foul on Sean Price.,24,66
18:28,2127,Charleston Southern  Timeout,24,66
18:28,2166,Kellan Grady made Free Throw.,24,67
18:28,2166,Kellan Grady made Free Throw.,24,68
18:14,2127,Sean Price made Jumper.,26,68
17:53,2166,Kellan Grady made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,26,71
17:39,2127,Travis McConico missed Three Point Jumper.,26,71
17:39,2166,Peyton Aldridge Defensive Rebound.,26,71
17:26,2166,Oskar Michelsen missed Three Point Jumper.,26,71
17:26,2127,Sean Price Defensive Rebound.,26,71
17:19,2127,Sean Price Turnover.,26,71
17:18,2166,Jon Axel Gudmundsson Steal.,26,71
17:15,2127,Foul on Phlandrous Fleming Jr.,26,71
17:15,2166,Jon Axel Gudmundsson made Free Throw.,26,72
17:15,2166,Jon Axel Gudmundsson made Free Throw.,26,73
17:00,2127,Deontaye Buskey made Jumper.,28,73
16:45,2166,Kellan Grady missed Three Point Jumper.,28,73
16:45,2166,Oskar Michelsen Offensive Rebound.,28,73
16:45,2127,Foul on Javis Howard.,28,73
16:37,2166,Jon Axel Gudmundsson missed Three Point Jumper.,28,73
16:37,2127,Jamal Thomas Defensive Rebound.,28,73
16:28,2127,Phlandrous Fleming Jr missed Three Point Jumper.,28,73
16:28,2127,Javis Howard Offensive Rebound.,28,73
16:25,2127,Javis Howard made Layup.,30,73
16:23,2127,Foul on Phlandrous Fleming Jr.,30,73
16:09,2166,Dusan Kovacevic missed Layup.,30,73
16:09,2127,Charleston Southern Defensive Rebound.,30,73
15:43,2127,Travis McConico Turnover.,30,73
15:43,2166,Davidson  Timeout,30,73
15:32,2166,KiShawn Pritchett missed Three Point Jumper.,30,73
15:32,2127,Travis McConico Defensive Rebound.,30,73
15:15,2127,Deontaye Buskey made Jumper.,32,73
14:57,2166,Rusty Reigel missed Three Point Jumper.,32,73
14:57,2127,Jamaal David Defensive Rebound.,32,73
14:47,2127,Jamal Thomas missed Three Point Jumper.,32,73
14:47,2166,Jon Axel Gudmundsson Defensive Rebound.,32,73
14:38,2166,Dusan Kovacevic missed Three Point Jumper.,32,73
14:38,2127,Jamaal David Defensive Rebound.,32,73
14:29,2127,Travis McConico made Layup. Assisted by Jamaal David.,34,73
14:29,2166,Foul on KiShawn Pritchett.,34,73
14:29,2127,Travis McConico made Free Throw.,35,73
14:02,2166,Rusty Reigel missed Three Point Jumper.,35,73
