Maryland,2619,Stony Brook,120
14:14,2619,Stony Brook Defensive Rebound.,8,2
13:55,2619,Jordan McKenzie made Jumper.,8,4
13:36,120,Anthony Cowan missed Three Point Jumper.,8,4
13:36,2619,Jordan McKenzie Defensive Rebound.,8,4
13:28,2619,Elijah Olaniyi missed Three Point Jumper.,8,4
13:28,120,Anthony Cowan Defensive Rebound.,8,4
13:20,120,Justin Jackson missed Three Point Jumper.,8,4
13:20,2619,Jordan McKenzie Defensive Rebound.,8,4
13:12,2619,Tyrell Sturdivant Turnover.,8,4
12:52,120,Bruno Fernando missed Dunk.,8,4
12:52,2619,Bryan Sekunda Defensive Rebound.,8,4
12:27,2619,Jordan McKenzie missed Three Point Jumper.,8,4
12:27,120,Bruno Fernando Defensive Rebound.,8,4
12:04,2619,Foul on Michael Almonacy.,8,4
12:04,120,Darryl Morsell made Free Throw.,9,4
12:04,120,Darryl Morsell made Free Throw.,10,4
11:50,2619,UC Iroegbu made Three Point Jumper. Assisted by Bryan Sekunda.,10,7
11:26,120,Darryl Morsell made Layup. Assisted by Bruno Fernando.,12,7
11:05,2619,Bryan Sekunda Turnover.,12,7
11:05,2619,Official TV Timeout,12,7
10:49,120,Michal Cekovsky made Layup. Assisted by Kevin Huerter.,14,7
10:31,2619,Elijah Olaniyi missed Layup.,14,7
10:31,2619,Elijah Olaniyi Offensive Rebound.,14,7
10:29,120,Foul on Dion Wiley.,14,7
10:29,2619,Elijah Olaniyi missed Free Throw.,14,7
10:29,2619,Stony Brook Deadball Team Rebound.,14,7
10:29,2619,Elijah Olaniyi made Free Throw.,14,8
10:19,120,Dion Wiley made Three Point Jumper. Assisted by Michal Cekovsky.,17,8
10:05,2619,Akwasi Yeboah missed Three Point Jumper.,17,8
10:05,120,Darryl Morsell Defensive Rebound.,17,8
9:58,120,Darryl Morsell missed Layup.,17,8
9:58,2619,Akwasi Yeboah Defensive Rebound.,17,8
9:51,120,Foul on Kevin Huerter.,17,8
9:48,2619,Akwasi Yeboah made Jumper. Assisted by Jakub Petras.,17,10
9:28,120,Dion Wiley missed Three Point Jumper.,17,10
9:28,120,Ivan Bender Offensive Rebound.,17,10
9:26,2619,Foul on Akwasi Yeboah.,17,10
9:26,120,Ivan Bender made Free Throw.,18,10
9:26,120,Ivan Bender made Free Throw.,19,10
9:16,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Elijah Olaniyi.,19,13
8:58,120,Kevin Huerter made Three Point Jumper. Assisted by Anthony Cowan.,22,13
8:39,2619,Akwasi Yeboah missed Three Point Jumper.,22,13
8:39,120,Sean Obi Defensive Rebound.,22,13
8:28,120,Dion Wiley missed Layup.,22,13
8:28,2619,Akwasi Yeboah Defensive Rebound.,22,13
8:16,120,Foul on Sean Obi.,22,13
8:09,2619,Elijah Olaniyi Turnover.,22,13
7:47,120,Anthony Cowan made Layup.,24,13
7:40,2619,Official TV Timeout,24,13
7:24,2619,Tyrell Sturdivant missed Three Point Jumper.,24,13
7:24,120,Sean Obi Defensive Rebound.,24,13
7:03,120,Sean Obi made Layup. Assisted by Kevin Huerter.,26,13
6:36,2619,Akwasi Yeboah missed Three Point Jumper.,26,13
6:36,120,Sean Obi Defensive Rebound.,26,13
6:16,120,Kevin Huerter missed Three Point Jumper.,26,13
6:16,2619,Stony Brook Deadball Team Rebound.,26,13
6:14,120,Foul on Sean Obi.,26,13
5:57,2619,Tyrell Sturdivant missed Jumper.,26,13
5:57,120,Anthony Cowan Defensive Rebound.,26,13
5:52,120,Bruno Fernando made Dunk. Assisted by Anthony Cowan.,28,13
5:49,2619,Stony Brook  Timeout,28,13
5:46,2619,Tyrell Sturdivant Turnover.,28,13
5:45,120,Justin Jackson Steal.,28,13
5:44,2619,Foul on Akwasi Yeboah.,28,13
5:44,120,Justin Jackson made Free Throw.,29,13
5:44,120,Justin Jackson made Free Throw.,30,13
5:17,2619,Akwasi Yeboah missed Jumper.,30,13
5:17,120,Bruno Fernando Block.,30,13
5:16,120,Bruno Fernando Defensive Rebound.,30,13
5:12,2619,Foul on Junior Saintel.,30,13
5:12,120,Justin Jackson made Free Throw.,31,13
5:12,120,Justin Jackson missed Free Throw.,31,13
5:12,2619,Stony Brook Deadball Team Rebound.,31,13
5:10,120,Foul on Bruno Fernando.,31,13
4:55,2619,Jordan McKenzie made Layup.,31,15
4:45,120,Anthony Cowan made Layup.,33,15
4:21,2619,Tyrell Sturdivant made Layup.,33,17
4:21,120,Foul on Bruno Fernando.,33,17
4:21,2619,Tyrell Sturdivant made Free Throw.,33,18
4:08,120,Michal Cekovsky made Layup.,35,18
3:54,2619,Tyrell Sturdivant missed Three Point Jumper.,35,18
3:54,120,Justin Jackson Defensive Rebound.,35,18
3:47,120,Justin Jackson made Layup.,37,18
3:26,2619,Bryan Sekunda missed Three Point Jumper.,37,18
3:26,120,Anthony Cowan Defensive Rebound.,37,18
3:06,120,Anthony Cowan missed Three Point Jumper.,37,18
3:06,2619,Stony Brook Deadball Team Rebound.,37,18
3:05,120,Foul on Michal Cekovsky.,37,18
3:05,2619,Official TV Timeout,37,18
3:05,2619,Tyrell Sturdivant made Free Throw.,37,19
3:05,2619,Tyrell Sturdivant missed Free Throw.,37,19
3:05,120,Justin Jackson Defensive Rebound.,37,19
3:04,2619,Official TV Timeout,37,18
2:38,120,Foul on Darryl Morsell.,37,19
2:38,120,Darryl Morsell Turnover.,37,19
2:24,2619,Bryan Sekunda made Layup.,37,21
2:08,120,Foul on Michal Cekovsky.,37,21
2:08,120,Michal Cekovsky Turnover.,37,21
1:56,2619,UC Iroegbu missed Three Point Jumper.,37,21
1:56,120,Justin Jackson Defensive Rebound.,37,21
1:46,2619,Foul on Jordan McKenzie.,37,21
1:46,120,Anthony Cowan made Free Throw.,38,21
1:46,120,Anthony Cowan made Free Throw.,39,21
1:30,2619,Tyrell Sturdivant missed Layup.,39,21
1:30,120,Ivan Bender Defensive Rebound.,39,21
1:23,120,Foul on Ivan Bender.,39,21
1:23,120,Ivan Bender Turnover.,39,21
1:14,2619,Foul on Akwasi Yeboah.,39,21
1:14,2619,Akwasi Yeboah Turnover.,39,21
0:44,120,Anthony Cowan Turnover.,39,21
0:43,2619,Elijah Olaniyi Steal.,39,21
0:43,2619,Elijah Olaniyi Turnover.,39,21
0:43,120,Maryland  Timeout,39,21
0:37,120,Kevin Huerter made Layup. Assisted by Joshua Tomaic.,41,21
0:10,2619,Jordan McKenzie missed Jumper.,41,21
0:10,120,Dion Wiley Defensive Rebound.,41,21
0:05,120,Dion Wiley Turnover.,41,21
0:04,2619,UC Iroegbu Steal.,41,21
0:02,2619,Elijah Olaniyi made Dunk. Assisted by UC Iroegbu.,41,23
0:00,2619,End of 1st half,41,23
19:51,120,Ivan Bender Turnover.,41,23
19:48,2619,Elijah Olaniyi Steal.,41,23
19:31,2619,Tyrell Sturdivant made Layup. Assisted by Jordan McKenzie.,41,25
19:21,120,Kevin Huerter missed Three Point Jumper.,41,25
19:21,120,Justin Jackson Offensive Rebound.,41,25
19:11,120,Justin Jackson missed Jumper.,41,25
19:11,120,Kevin Huerter Offensive Rebound.,41,25
19:09,120,Kevin Huerter made Two Point Tip Shot.,43,25
18:49,2619,Akwasi Yeboah made Jumper.,43,27
18:33,2619,Foul on Jordan McKenzie.,43,27
18:33,120,Anthony Cowan made Free Throw.,44,27
18:33,120,Anthony Cowan missed Free Throw.,44,27
18:33,2619,Tyrell Sturdivant Defensive Rebound.,44,27
18:19,2619,Elijah Olaniyi missed Layup.,44,27
18:19,120,Justin Jackson Block.,44,27
18:18,120,Justin Jackson Defensive Rebound.,44,27
18:14,2619,Foul on Jordan McKenzie.,44,27
18:14,120,Michal Cekovsky made Free Throw.,45,27
18:14,120,Michal Cekovsky made Free Throw.,46,27
17:58,2619,UC Iroegbu missed Jumper.,46,27
17:58,120,Michal Cekovsky Defensive Rebound.,46,27
17:40,120,Justin Jackson missed Three Point Jumper.,46,27
17:40,2619,Tyrell Sturdivant Defensive Rebound.,46,27
17:29,2619,Jordan McKenzie Turnover.,46,27
17:15,120,Anthony Cowan Turnover.,46,27
16:55,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by UC Iroegbu.,46,30
16:33,120,Kevin Huerter missed Jumper.,46,30
16:33,2619,Akwasi Yeboah Defensive Rebound.,46,30
16:25,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Akwasi Yeboah.,46,33
16:14,120,Darryl Morsell Turnover.,46,33
16:12,2619,Elijah Olaniyi Steal.,46,33
16:10,2619,Tyrell Sturdivant missed Three Point Jumper.,46,33
16:10,120,Kevin Huerter Defensive Rebound.,46,33
16:01,120,Maryland  Timeout,46,33
15:52,120,Darryl Morsell Turnover.,46,33
15:50,2619,Tyrell Sturdivant Steal.,46,33
15:46,2619,Elijah Olaniyi missed Three Point Jumper.,46,33
15:46,2619,Tyrell Sturdivant Offensive Rebound.,46,33
15:42,2619,Tyrell Sturdivant Turnover.,46,33
15:42,2619,Official TV Timeout,46,33
15:30,120,Bruno Fernando made Dunk. Assisted by Kevin Huerter.,48,33
15:09,2619,Akwasi Yeboah missed Jumper.,48,33
15:09,120,Anthony Cowan Defensive Rebound.,48,33
15:02,120,Dion Wiley made Layup.,50,33
14:48,120,Foul on Anthony Cowan.,50,33
14:28,2619,UC Iroegbu missed Layup.,50,33
14:28,120,Dion Wiley Defensive Rebound.,50,33
14:21,2619,Foul on Jordan McKenzie.,50,33
14:21,120,Anthony Cowan made Free Throw.,51,33
14:21,120,Anthony Cowan made Free Throw.,52,33
14:19,2619,Tyrell Sturdivant Turnover.,52,33
14:18,120,Bruno Fernando Steal.,52,33
14:17,120,Bruno Fernando Turnover.,52,33
14:04,2619,UC Iroegbu made Three Point Jumper. Assisted by Michael Almonacy.,52,36
13:50,120,Kevin Huerter missed Three Point Jumper.,52,36
13:50,2619,Michael Almonacy Defensive Rebound.,52,36
13:41,2619,Tyrell Sturdivant made Three Point Jumper. Assisted by Michael Almonacy.,52,39
13:20,120,Bruno Fernando made Layup.,54,39
13:04,2619,Tyrell Sturdivant missed Three Point Jumper.,54,39
13:04,120,Justin Jackson Defensive Rebound.,54,39
12:57,120,Bruno Fernando made Dunk. Assisted by Justin Jackson.,56,39
12:44,2619,Stony Brook  Timeout,56,39
12:34,2619,Bryan Sekunda made Three Point Jumper. Assisted by Jakub Petras.,56,42
12:08,120,Bruno Fernando made Dunk. Assisted by Kevin Huerter.,58,42
11:47,2619,Junior Saintel missed Layup.,58,42
11:47,120,Dion Wiley Block.,58,42
11:46,2619,Jakub Petras Offensive Rebound.,58,42
11:45,2619,Jakub Petras made Layup.,58,44
11:29,120,Bruno Fernando missed Jumper.,58,44
11:29,2619,Bryan Sekunda Defensive Rebound.,58,44
11:14,120,Foul on Bruno Fernando.,58,44
11:14,2619,Official TV Timeout,58,44
11:14,2619,Jakub Petras missed Free Throw.,58,44
11:14,2619,Stony Brook Deadball Team Rebound.,58,44
11:14,2619,Jakub Petras made Free Throw.,58,45
10:55,120,Kevin Huerter made Layup.,60,45
10:55,2619,Foul on Bryan Sekunda.,60,45
10:55,120,Kevin Huerter missed Free Throw.,60,45
10:55,2619,Junior Saintel Defensive Rebound.,60,45
10:32,2619,Bryan Sekunda missed Three Point Jumper.,60,45
10:32,2619,Junior Saintel Offensive Rebound.,60,45
10:26,120,Foul on Michal Cekovsky.,60,45
10:26,2619,Junior Saintel made Free Throw.,60,46
10:26,2619,Junior Saintel made Free Throw.,60,47
10:06,2619,Foul on Corry Long.,60,47
9:54,2619,Foul on Jakub Petras.,60,47
9:54,120,Kevin Huerter missed Free Throw.,60,47
9:54,120,Maryland Deadball Team Rebound.,60,47
9:54,120,Kevin Huerter made Free Throw.,61,47
9:40,2619,Bryan Sekunda missed Jumper.,61,47
9:40,120,Justin Jackson Defensive Rebound.,61,47
9:34,120,Justin Jackson made Layup.,63,47
9:16,2619,Bryan Sekunda Turnover.,63,47
8:51,120,Justin Jackson missed Three Point Jumper.,63,47
8:51,2619,Junior Saintel Defensive Rebound.,63,47
8:37,2619,Tyrell Sturdivant missed Jumper.,63,47
8:37,120,Justin Jackson Defensive Rebound.,63,47
8:28,120,Sean Obi made Dunk. Assisted by Anthony Cowan.,65,47
8:05,120,Foul on Sean Obi.,65,47
7:48,2619,Junior Saintel missed Three Point Jumper.,65,47
7:48,120,Justin Jackson Defensive Rebound.,65,47
7:36,120,Ivan Bender Turnover.,65,47
7:35,2619,Junior Saintel Steal.,65,47
7:32,120,Foul on Darryl Morsell.,65,47
7:32,2619,Official TV Timeout,65,47
7:11,2619,Tyrell Sturdivant Turnover.,65,47
7:08,120,Kevin Huerter Steal.,65,47
7:02,2619,Foul on Elijah Olaniyi.,65,47
7:02,120,Anthony Cowan made Free Throw.,66,47
7:02,120,Anthony Cowan made Free Throw.,67,47
6:42,2619,Akwasi Yeboah missed Jumper.,67,47
6:42,120,Ivan Bender Defensive Rebound.,67,47
6:16,120,Bruno Fernando missed Layup.,67,47
6:16,2619,Stony Brook Defensive Rebound.,67,47
5:59,2619,Akwasi Yeboah made Jumper.,67,49
5:42,120,Bruno Fernando missed Jumper.,67,49
5:42,2619,Junior Saintel Defensive Rebound.,67,49
5:31,2619,Jordan McKenzie made Jumper.,67,51
5:06,120,Kevin Huerter missed Jumper.,67,51
5:06,120,Ivan Bender Offensive Rebound.,67,51
5:03,120,Ivan Bender made Layup.,69,51
4:47,2619,Tyrell Sturdivant missed Three Point Jumper.,69,51
4:47,120,Maryland Deadball Team Rebound.,69,51
4:44,2619,Foul on Elijah Olaniyi.,69,51
4:44,120,Darryl Morsell missed Free Throw.,69,51
4:44,2619,Akwasi Yeboah Defensive Rebound.,69,51
4:32,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Tyrell Sturdivant.,69,54
4:13,120,Bruno Fernando missed Layup.,69,54
4:13,2619,Elijah Olaniyi Defensive Rebound.,69,54
4:06,2619,Akwasi Yeboah made Three Point Jumper. Assisted by Jordan McKenzie.,69,57
3:56,120,Maryland  Timeout,69,57
3:43,120,Kevin Huerter made Jumper.,71,57
3:29,2619,Tyrell Sturdivant Turnover.,71,57
3:28,120,Kevin Huerter Steal.,71,57
3:06,120,Anthony Cowan made Layup.,73,57
2:49,2619,UC Iroegbu missed Layup.,73,57
2:49,120,Anthony Cowan Defensive Rebound.,73,57
2:43,120,Anthony Cowan made Layup.,75,57
2:38,2619,Stony Brook  Timeout,75,57
2:27,2619,Tyrell Sturdivant missed Three Point Jumper.,75,57
2:27,120,Anthony Cowan Defensive Rebound.,75,57
2:03,120,Anthony Cowan missed Jumper.,75,57
2:03,2619,Akwasi Yeboah Defensive Rebound.,75,57
1:51,2619,Jordan McKenzie missed Jumper.,75,57
1:51,120,Maryland Deadball Team Rebound.,75,57
1:51,2619,Foul on Junior Saintel.,75,57
1:51,120,Kevin Huerter made Free Throw.,76,57
1:51,120,Kevin Huerter missed Free Throw.,76,57
1:51,2619,Bryan Sekunda Defensive Rebound.,76,57
1:33,2619,Anthony Ochefu made Layup. Assisted by Bryan Sekunda.,76,59
1:22,120,Maryland  Timeout,76,59
1:16,120,Dion Wiley missed Three Point Jumper.,76,59
1:16,120,Darryl Morsell Offensive Rebound.,76,59
1:14,120,Darryl Morsell missed Layup.,76,59
1:14,2619,Stony Brook Deadball Team Rebound.,76,59
1:12,120,Foul on Joshua Tomaic.,76,59
1:02,2619,Bryan Sekunda made Jumper. Assisted by Corry Long.,76,61
0:37,120,Jared Nickens Turnover.,76,61
0:36,2619,Michael Almonacy Steal.,76,61
0:29,2619,Bryan Sekunda missed Jumper.,76,61
0:29,120,Jared Nickens Defensive Rebound.,76,61
0:17,120,Travis Valmon missed Layup.,76,61
0:17,2619,Anthony Ochefu Block.,76,61
0:16,2619,Anthony Ochefu Defensive Rebound.,76,61
0:02,2619,Michael Almonacy missed Layup.,76,61
0:02,120,Joshua Tomaic Defensive Rebound.,76,61
0:00,2619,End of Game,76,61
