Trevecca Nazarene,Error,Middle Tennessee,2393
1:17,2393,Karl Gamble missed Layup.,26,47
1:17,2393,Nick King Offensive Rebound.,26,47
1:10,-1,Foul on Nick Anyang.,26,47
1:10,2393,Nick King missed Free Throw.,26,47
1:10,2393,Middle Tennessee Deadball Team Rebound.,26,47
1:10,2393,Nick King made Free Throw.,26,48
1:09,-1,Nick Anyang made Jumper.,28,48
0:51,2393,Therren Shelton-Szmidt missed Three Point Jumper.,28,48
0:51,2393,Therren Shelton-Szmidt Offensive Rebound.,28,48
0:46,2393,Giddy Potts missed Three Point Jumper.,28,48
0:46,-1,Nick Anyang Defensive Rebound.,28,48
0:28,-1,Cj Herbert missed Jumper.,28,48
0:28,2393,Giddy Potts Defensive Rebound.,28,48
0:01,2393,Tyrik Dixon made Three Point Jumper. Assisted by James Hawthorne.,28,51
0:00,2393,End of 1st half,28,51
19:52,-1,Jacob Williams missed Jumper.,28,51
19:52,2393,Nick King Defensive Rebound.,28,51
19:10,2393,Nick King missed Layup.,28,51
19:10,2393,Nick King Offensive Rebound.,28,51
19:10,2393,Nick King made Layup.,28,53
18:46,-1,Jacob Williams missed Three Point Jumper.,28,53
18:46,2393,Middle Tennessee Defensive Rebound.,28,53
18:28,2393,Giddy Potts missed Three Point Jumper.,28,53
18:28,2393,Karl Gamble Offensive Rebound.,28,53
18:28,2393,Karl Gamble made Layup.,28,55
18:02,2393,Foul on Tyrik Dixon.,28,55
18:02,-1,Devin Whitfield made Free Throw.,29,55
18:02,-1,Devin Whitfield made Free Throw.,30,55
17:51,-1,Foul on Mehdi El Mardi.,30,55
17:40,-1,Foul on Mehdi El Mardi.,30,55
17:40,2393,Tyrik Dixon made Free Throw.,30,56
17:40,2393,Tyrik Dixon made Free Throw.,30,57
17:35,2393,Foul on Tyrik Dixon.,30,57
17:28,-1,Devin Whitfield made Three Point Jumper. Assisted by Deion Johnson.,33,57
17:17,2393,Edward Simpson Turnover.,33,57
17:15,-1,Devin Whitfield Steal.,33,57
17:11,-1,Devin Whitfield Turnover.,33,57
17:09,2393,Antwain Johnson Steal.,33,57
17:06,2393,Nick King missed Jumper.,33,57
17:06,2393,Karl Gamble Offensive Rebound.,33,57
16:55,-1,Foul on Michael Thompson.,33,57
16:55,2393,Karl Gamble missed Free Throw.,33,57
16:55,2393,Middle Tennessee Deadball Team Rebound.,33,57
16:55,2393,Karl Gamble made Free Throw.,33,58
16:44,-1,Michael Thompson missed Jumper.,33,58
16:44,2393,Edward Simpson Defensive Rebound.,33,58
16:44,2393,Karl Gamble made Dunk. Assisted by Antwain Johnson.,33,60
16:10,-1,Devin Whitfield missed Three Point Jumper.,33,60
16:10,2393,Nick King Defensive Rebound.,33,60
15:59,2393,Giddy Potts made Three Point Jumper. Assisted by Antwain Johnson.,33,63
15:47,-1,Dominic Obunaka Turnover.,33,63
15:47,2393,Karl Gamble Steal.,33,63
15:23,-1,Foul on Jacob Williams.,33,63
15:23,2393,Antwain Johnson made Free Throw.,33,64
15:23,2393,Antwain Johnson made Free Throw.,33,65
15:00,-1,Deion Johnson made Layup. Assisted by Michael Thompson.,35,65
14:34,2393,James Hawthorne made Jumper.,35,67
14:24,2393,Foul on Giddy Potts.,35,67
14:24,2393,Foul on Giddy Potts.,35,67
14:19,-1,Devin Whitfield missed Jumper.,35,67
14:19,2393,David Simmons Defensive Rebound.,35,67
14:07,-1,Foul on Deion Johnson.,35,67
14:07,2393,James Hawthorne made Free Throw.,35,68
14:07,2393,James Hawthorne made Free Throw.,35,69
14:06,2393,Foul on David Simmons.,35,69
14:01,-1,Devin Whitfield missed Jumper.,35,69
14:01,2393,Karl Gamble Block.,35,69
13:52,2393,Middle Tennessee Defensive Rebound.,35,69
13:49,2393,Giddy Potts made Three Point Jumper. Assisted by Karl Gamble.,35,72
13:36,-1,Nick Anyang made Layup. Assisted by Deion Johnson.,37,72
13:23,2393,James Hawthorne missed Jumper.,37,72
13:23,-1,Trevecca Nazarene Defensive Rebound.,37,72
12:53,-1,Devin Whitfield Turnover.,37,72
12:52,2393,Edward Simpson missed Three Point Jumper.,37,72
12:52,-1,Trevecca Nazarene Defensive Rebound.,37,72
12:39,-1,Pierce Weatherspoon made Layup. Assisted by Donavon Henry.,39,72
12:19,2393,Nick King made Layup. Assisted by James Hawthorne.,39,74
11:53,2393,Foul on David Simmons.,39,74
11:53,-1,Deion Johnson missed Free Throw.,39,74
11:53,-1,Trevecca Nazarene Deadball Team Rebound.,39,74
11:53,-1,Deion Johnson made Free Throw.,40,74
11:36,2393,Edward Simpson missed Jumper.,40,74
11:36,2393,Middle Tennessee Offensive Rebound.,40,74
11:11,2393,Tyrik Dixon Turnover.,40,74
11:11,-1,Deion Johnson Steal.,40,74
11:11,-1,Deion Johnson made Layup.,42,74
11:00,2393,Nick King made Layup.,42,76
10:42,-1,Donavon Henry Turnover.,42,76
10:42,2393,Nick King Steal.,42,76
10:42,2393,Nick King made Dunk.,42,78
10:31,-1,Donavon Henry Turnover.,42,78
10:26,2393,Therren Shelton-Szmidt Steal.,42,78
10:12,2393,Nick King made Layup.,42,80
10:12,-1,Foul on Nick Anyang.,42,80
10:12,2393,Nick King made Free Throw.,42,81
9:53,-1,Dominic Obunaka missed Layup.,42,81
9:53,2393,Therren Shelton-Szmidt Defensive Rebound.,42,81
9:45,2393,Tyrik Dixon Turnover.,42,81
9:45,-1,Tyler Welborn Steal.,42,81
9:43,2393,Foul on Tyrik Dixon.,42,81
9:43,-1,Tyler Welborn made Free Throw.,43,81
9:43,-1,Tyler Welborn made Free Throw.,44,81
9:29,2393,Antwain Johnson missed Jumper.,44,81
9:29,-1,Dominic Obunaka Defensive Rebound.,44,81
8:49,-1,Cj Herbert missed Three Point Jumper.,44,81
8:49,-1,Pierce Weatherspoon Offensive Rebound.,44,81
8:43,-1,Pierce Weatherspoon made Layup.,46,81
8:37,2393,Edward Simpson missed Jumper.,46,81
8:37,-1,Pierce Weatherspoon Defensive Rebound.,46,81
8:06,2393,Foul on Therren Shelton-Szmidt.,46,81
8:06,-1,Cj Herbert missed Free Throw.,46,81
8:06,-1,Trevecca Nazarene Deadball Team Rebound.,46,81
8:06,-1,Cj Herbert missed Free Throw.,46,81
8:06,2393,Donovan Sims Defensive Rebound.,46,81
7:50,2393,Donovan Sims Turnover.,46,81
7:35,-1,Dominic Obunaka Turnover.,46,81
7:35,-1,Foul on Dominic Obunaka.,46,81
7:13,2393,Donovan Sims made Three Point Jumper. Assisted by Giddy Potts.,46,84
7:06,-1,Austin Wills missed Three Point Jumper.,46,84
7:06,2393,James Hawthorne Defensive Rebound.,46,84
6:48,2393,Therren Shelton-Szmidt made Three Point Jumper. Assisted by James Hawthorne.,46,87
6:39,2393,Foul on Therren Shelton-Szmidt.,46,87
6:39,-1,Cj Herbert made Free Throw.,47,87
6:39,-1,Cj Herbert made Free Throw.,48,87
6:28,2393,Therren Shelton-Szmidt missed Three Point Jumper.,48,87
6:28,2393,James Hawthorne Offensive Rebound.,48,87
6:28,2393,James Hawthorne missed Layup.,48,87
6:28,-1,Pierce Weatherspoon Block.,48,87
6:28,2393,David Simmons Offensive Rebound.,48,87
6:28,2393,David Simmons made Layup.,48,89
6:15,-1,Pierce Weatherspoon Turnover.,48,89
6:11,2393,Davion Thomas Steal.,48,89
6:07,2393,Davion Thomas made Dunk.,48,91
5:38,2393,Foul on Donovan Sims.,48,91
5:38,-1,Tyler Welborn missed Free Throw.,48,91
5:38,-1,Trevecca Nazarene Deadball Team Rebound.,48,91
5:38,-1,Tyler Welborn missed Free Throw.,48,91
5:38,2393,Karl Gamble Defensive Rebound.,48,91
5:27,2393,Therren Shelton-Szmidt made Three Point Jumper. Assisted by David Simmons.,48,94
4:52,-1,Cj Herbert missed Three Point Jumper.,48,94
4:52,2393,Karl Gamble Defensive Rebound.,48,94
4:42,2393,Therren Shelton-Szmidt missed Three Point Jumper.,48,94
4:42,-1,Cj Herbert Defensive Rebound.,48,94
4:42,2393,Foul on Karl Gamble.,48,94
4:42,-1,Cj Herbert missed Free Throw.,48,94
4:42,-1,Trevecca Nazarene Deadball Team Rebound.,48,94
4:42,-1,Cj Herbert made Free Throw.,49,94
4:08,2393,David Simmons missed Three Point Jumper.,49,94
4:08,2393,Therren Shelton-Szmidt Offensive Rebound.,49,94
3:41,2393,David Simmons made Jumper.,49,96
3:35,-1,Dominic Obunaka missed Layup.,49,96
3:35,2393,Donovan Sims Defensive Rebound.,49,96
3:31,-1,Foul on Tyler Welborn.,49,96
3:31,2393,David Simmons missed Free Throw.,49,96
3:31,2393,Middle Tennessee Deadball Team Rebound.,49,96
3:31,2393,David Simmons made Free Throw.,49,97
3:25,-1,Dominic Obunaka Turnover.,49,97
3:06,2393,Davion Thomas made Jumper.,49,99
2:45,-1,Cj Herbert made Layup.,51,99
2:36,-1,Foul on Cj Herbert.,51,99
2:36,2393,David Simmons made Free Throw.,51,100
2:36,2393,David Simmons missed Free Throw.,51,100
2:36,-1,Pierce Weatherspoon Defensive Rebound.,51,100
2:34,2393,Foul on Davion Thomas.,51,100
2:34,-1,Pierce Weatherspoon missed Free Throw.,51,100
2:34,-1,Trevecca Nazarene Deadball Team Rebound.,51,100
2:34,-1,Pierce Weatherspoon missed Free Throw.,51,100
2:34,2393,Davion Thomas Defensive Rebound.,51,100
2:23,2393,Therren Shelton-Szmidt missed Three Point Jumper.,51,100
2:23,2393,Davion Thomas Offensive Rebound.,51,100
2:23,2393,Davion Thomas made Dunk.,51,102
1:57,2393,Foul on Therren Shelton-Szmidt.,51,102
1:46,-1,Pierce Weatherspoon missed Free Throw.,51,102
1:46,-1,Trevecca Nazarene Deadball Team Rebound.,51,102
1:11,-1,Pierce Weatherspoon made Free Throw.,52,102
1:08,2393,Chase Miller missed Jumper.,52,102
1:08,-1,Tyler Welborn Defensive Rebound.,52,102
1:08,-1,Tyler Welborn missed Layup.,52,102
1:08,2393,Donovan Sims Defensive Rebound.,52,102
1:05,2393,Therren Shelton-Szmidt missed Three Point Jumper.,52,102
1:05,2393,Will Slatten Offensive Rebound.,52,102
0:57,2393,Chase Miller missed Three Point Jumper.,52,102
0:57,2393,Therren Shelton-Szmidt Offensive Rebound.,52,102
0:51,2393,Therren Shelton-Szmidt missed Layup.,52,102
0:51,-1,Pierce Weatherspoon Defensive Rebound.,52,102
0:39,-1,Nick Anyang Turnover.,52,102
0:39,2393,Donovan Sims Steal.,52,102
0:39,2393,Davion Thomas made Layup. Assisted by Donovan Sims.,52,104
0:39,-1,Cj Herbert Turnover.,52,104
0:33,2393,Davion Thomas missed Jumper.,52,104
0:33,2393,Will Slatten Offensive Rebound.,52,104
0:33,2393,Will Slatten missed Layup.,52,104
0:33,-1,Nick Anyang Defensive Rebound.,52,104
0:27,-1,Austin Wills missed Jumper.,52,104
0:27,-1,Trevecca Nazarene Offensive Rebound.,52,104
0:13,2393,Edward Simpson missed Three Point Jumper.,52,104
0:13,-1,Nick Anyang Defensive Rebound.,52,104
0:00,2393,End of Game,52,104
