Army,2275,Hofstra,349
18:23,349,Matthew Wilson missed Free Throw.,39,37
18:23,2275,Rokas Gustys Defensive Rebound.,39,37
18:11,2275,Jalen Ray missed Layup.,39,37
18:11,349,Matthew Wilson Block.,39,37
18:09,349,Matthew Wilson Defensive Rebound.,39,37
18:04,349,Thomas Funk Turnover.,39,37
17:46,2275,Justin Wright-Foreman made Jumper.,39,39
17:24,349,Matthew Wilson missed Jumper.,39,39
17:24,2275,Rokas Gustys Defensive Rebound.,39,39
17:22,349,Foul on Jacob Kessler.,39,39
17:08,2275,Justin Wright-Foreman missed Layup.,39,39
17:08,2275,Rokas Gustys Offensive Rebound.,39,39
17:05,2275,Rokas Gustys made Layup.,39,41
16:59,349,Luke Morrison missed Three Point Jumper.,39,41
16:59,2275,Rokas Gustys Defensive Rebound.,39,41
16:47,2275,Jalen Ray made Three Point Jumper.,39,44
16:37,349,Luke Morrison missed Layup.,39,44
16:37,349,Matthew Wilson Offensive Rebound.,39,44
16:34,349,Matthew Wilson made Two Point Tip Shot.,41,44
16:16,2275,Rokas Gustys Turnover.,41,44
15:57,349,Tucker Blackwell made Jumper.,43,44
15:45,349,Foul on Matthew Wilson.,43,44
15:45,2275,Official TV Timeout,43,44
15:45,2275,Joel Angus III made Free Throw.,43,45
15:45,2275,Joel Angus III made Free Throw.,43,46
15:21,349,Tucker Blackwell missed Layup.,43,46
15:21,2275,Hunter Sabety Block.,43,46
15:21,349,Army Offensive Rebound.,43,46
15:18,349,Tucker Blackwell missed Three Point Jumper.,43,46
15:18,349,Tucker Blackwell Offensive Rebound.,43,46
15:07,349,Alex King missed Layup.,43,46
15:07,349,John Miller Offensive Rebound.,43,46
15:04,349,John Miller made Layup.,45,46
14:41,2275,Justin Wright-Foreman missed Three Point Jumper.,45,46
14:41,349,Army Deadball Team Rebound.,45,46
14:24,349,Matthew Wilson made Layup. Assisted by Tucker Blackwell.,47,46
14:04,2275,Matija Radovic missed Three Point Jumper.,47,46
14:04,2275,Hunter Sabety Offensive Rebound.,47,46
14:01,349,Foul on Matthew Wilson.,47,46
13:45,2275,Justin Wright-Foreman missed Jumper.,47,46
13:45,349,Matthew Wilson Defensive Rebound.,47,46
13:35,349,Alex King missed Three Point Jumper.,47,46
13:35,2275,Matija Radovic Defensive Rebound.,47,46
13:24,2275,Matija Radovic Turnover.,47,46
13:06,349,Thomas Funk missed Layup.,47,46
13:06,2275,Joel Angus III Defensive Rebound.,47,46
13:05,349,Foul on Thomas Funk.,47,46
12:44,2275,Desure Buie made Layup.,47,48
12:31,349,Jacob Kessler made Jumper.,49,48
12:14,2275,Rokas Gustys made Layup. Assisted by Joel Angus III.,49,50
12:09,349,Luke Morrison made Three Point Jumper. Assisted by Thomas Funk.,52,50
11:49,2275,Joel Angus III made Layup.,52,52
11:21,349,Thomas Funk missed Layup.,52,52
11:21,2275,Desure Buie Defensive Rebound.,52,52
11:17,2275,Justin Wright-Foreman missed Three Point Jumper.,52,52
11:17,2275,Rokas Gustys Offensive Rebound.,52,52
11:12,2275,Matija Radovic missed Three Point Jumper.,52,52
11:12,349,Thomas Funk Defensive Rebound.,52,52
11:04,349,Luke Morrison missed Three Point Jumper.,52,52
11:04,349,John Emezie Offensive Rebound.,52,52
11:00,349,John Emezie made Layup.,54,52
10:31,2275,Justin Wright-Foreman made Jumper.,54,54
10:17,2275,Foul on Rokas Gustys.,54,54
10:17,2275,Official TV Timeout,54,54
10:14,349,John Miller made Dunk. Assisted by Jordan Fox.,56,54
10:06,2275,Desure Buie Turnover.,56,54
9:51,349,Alex King Turnover.,56,54
9:30,2275,Desure Buie made Three Point Jumper. Assisted by Justin Wright-Foreman.,56,57
9:15,349,Jordan Fox missed Three Point Jumper.,56,57
9:15,349,Alex King Offensive Rebound.,56,57
8:55,349,Thomas Funk made Jumper. Assisted by Jordan Fox.,58,57
8:41,2275,Justin Wright-Foreman missed Jumper.,58,57
8:41,349,Thomas Funk Defensive Rebound.,58,57
8:30,349,John Miller made Layup. Assisted by Alex King.,60,57
8:04,2275,Matija Radovic missed Three Point Jumper.,60,57
8:04,2275,Rokas Gustys Offensive Rebound.,60,57
8:02,349,Foul on Alex King.,60,57
8:01,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Desure Buie.,60,60
7:45,349,Luke Morrison Turnover.,60,60
7:45,349,Foul on Luke Morrison.,60,60
7:45,2275,Official TV Timeout,60,60
7:28,2275,Rokas Gustys missed Layup.,60,60
7:28,349,Jacob Kessler Defensive Rebound.,60,60
7:22,349,John Emezie missed Layup.,60,60
7:22,2275,Matija Radovic Defensive Rebound.,60,60
7:16,2275,Justin Wright-Foreman made Layup. Assisted by Desure Buie.,60,62
6:56,349,Jacob Kessler made Three Point Jumper. Assisted by Thomas Funk.,63,62
6:28,349,Foul on Jacob Kessler.,63,62
6:28,2275,Justin Wright-Foreman missed Free Throw.,63,62
6:28,2275,Hofstra Deadball Team Rebound.,63,62
6:28,2275,Justin Wright-Foreman made Free Throw.,63,63
6:01,349,Matthew Wilson made Jumper.,65,63
5:36,2275,Justin Wright-Foreman made Three Point Jumper. Assisted by Rokas Gustys.,65,66
5:25,349,Matthew Wilson Turnover.,65,66
5:25,349,Foul on Matthew Wilson.,65,66
5:04,2275,Rokas Gustys Turnover.,65,66
5:03,349,Jacob Kessler Steal.,65,66
5:00,349,John Emezie missed Three Point Jumper.,65,66
5:00,2275,Justin Wright-Foreman Defensive Rebound.,65,66
4:52,349,Foul on Alex King.,65,66
4:52,2275,Joel Angus III missed Free Throw.,65,66
4:52,2275,Hofstra Deadball Team Rebound.,65,66
4:52,2275,Joel Angus III made Free Throw.,65,67
4:41,2275,Foul on Justin Wright-Foreman.,65,67
4:27,349,Thomas Funk made Three Point Jumper.,68,67
3:55,2275,Joel Angus III missed Layup.,68,67
3:55,349,Luke Morrison Defensive Rebound.,68,67
3:54,2275,Foul on Joel Angus III.,68,67
3:54,2275,Official TV Timeout,68,67
3:35,349,Thomas Funk missed Jumper.,68,67
3:35,2275,Desure Buie Defensive Rebound.,68,67
3:30,2275,Justin Wright-Foreman made Jumper.,68,69
3:30,349,Foul on Jordan Fox.,68,69
3:30,2275,Justin Wright-Foreman made Free Throw.,68,70
3:17,349,Jordan Fox Turnover.,68,70
3:15,2275,Rokas Gustys Steal.,68,70
3:12,2275,Desure Buie made Three Point Jumper. Assisted by Justin Wright-Foreman.,68,73
3:04,349,Army  Timeout,68,73
2:56,349,Jordan Fox missed Three Point Jumper.,68,73
2:56,2275,Rokas Gustys Defensive Rebound.,68,73
2:34,2275,Desure Buie missed Three Point Jumper.,68,73
2:34,349,Matthew Wilson Defensive Rebound.,68,73
2:21,2275,Foul on Joel Angus III.,68,73
2:16,2275,Foul on Rokas Gustys.,68,73
2:16,349,Matthew Wilson missed Free Throw.,68,73
2:16,349,Army Deadball Team Rebound.,68,73
2:16,349,Matthew Wilson made Free Throw.,69,73
1:56,2275,Justin Wright-Foreman missed Three Point Jumper.,69,73
1:56,349,Jacob Kessler Defensive Rebound.,69,73
1:50,349,Jordan Fox made Layup.,71,73
1:50,2275,Foul on Desure Buie.,71,73
1:50,349,Jordan Fox made Free Throw.,72,73
1:35,2275,Jalen Ray Turnover.,72,73
1:09,2275,Foul on Rokas Gustys.,72,73
1:09,349,Thomas Funk missed Free Throw.,72,73
1:09,2275,Hunter Sabety Defensive Rebound.,72,73
0:41,2275,Justin Wright-Foreman missed Layup.,72,73
0:41,349,Alex King Defensive Rebound.,72,73
0:34,349,Thomas Funk missed Three Point Jumper.,72,73
0:34,2275,Joel Angus III Defensive Rebound.,72,73
0:22,349,Foul on Thomas Funk.,72,73
0:22,2275,Desure Buie made Free Throw.,72,74
0:22,2275,Desure Buie made Free Throw.,72,75
0:22,2275,Hofstra  Timeout,72,75
0:10,2275,Foul on Justin Wright-Foreman.,72,75
0:10,349,Jordan Fox made Free Throw.,73,75
0:10,349,Jordan Fox made Free Throw.,74,75
0:07,349,Foul on Jacob Kessler.,74,75
0:07,2275,Desure Buie made Free Throw.,74,76
0:07,349,Army  Timeout,74,76
0:07,2275,Desure Buie made Free Throw.,74,77
0:03,349,Luke Morrison missed Three Point Jumper.,74,77
0:03,2275,Justin Wright-Foreman Defensive Rebound.,74,77
0:00,2275,End of Game,74,77
