North Carolina Central,82,UIC,2428
19:11,82,Tai Odiase made Free Throw.,22,33
18:57,2428,Reginald Gardner Jr made Three Point Jumper. Assisted by Alston Jones.,25,33
18:43,82,Tarkus Ferguson Turnover.,25,33
18:23,2428,Raasean Davis made Layup.,27,33
18:04,82,Godwin Boahen made Three Point Jumper. Assisted by Jordan Blount.,27,36
17:47,2428,Reginald Gardner Jr made Jumper.,29,36
17:25,82,Tarkus Ferguson Turnover.,29,36
17:24,2428,Raasean Davis Steal.,29,36
17:22,2428,Raasean Davis made Dunk.,31,36
17:08,2428,Foul on Alston Jones.,31,36
17:03,82,Tai Odiase missed Layup.,31,36
17:03,2428,Raasean Davis Block.,31,36
17:03,2428,Brandon Goldsmith Defensive Rebound.,31,36
16:45,2428,Alston Jones missed Jumper.,31,36
16:45,82,Jordan Blount Defensive Rebound.,31,36
16:37,82,Tarkus Ferguson missed Three Point Jumper.,31,36
16:37,2428,Raasean Davis Defensive Rebound.,31,36
16:27,2428,Brandon Goldsmith made Layup. Assisted by Alston Jones.,33,36
16:21,82,Foul on Dikembe Dixson.,33,36
16:21,2428,Brandon Goldsmith made Free Throw.,34,36
16:11,82,Godwin Boahen made Three Point Jumper. Assisted by Marcus Ottey.,34,39
15:45,2428,Brandon Goldsmith missed Jumper.,34,39
15:45,82,Clint Robinson Defensive Rebound.,34,39
15:39,2428,Foul on Alston Jones.,34,39
15:39,82,Official TV Timeout,34,39
15:34,82,Marcus Ottey missed Three Point Jumper.,34,39
15:34,2428,Pablo Rivas Defensive Rebound.,34,39
15:31,82,Foul on Clint Robinson.,34,39
15:15,2428,Brandon Goldsmith Turnover.,34,39
15:05,82,Marcus Ottey missed Three Point Jumper.,34,39
15:05,2428,Brandon Goldsmith Defensive Rebound.,34,39
14:41,2428,Pablo Rivas missed Jumper.,34,39
14:41,82,Clint Robinson Defensive Rebound.,34,39
14:33,82,Dikembe Dixson missed Jumper.,34,39
14:33,2428,Brandon Goldsmith Block.,34,39
14:33,2428,North Carolina Central Defensive Rebound.,34,39
14:22,2428,Brandon Goldsmith missed Jumper.,34,39
14:22,82,Clint Robinson Block.,34,39
14:22,2428,North Carolina Central Offensive Rebound.,34,39
14:18,82,Foul on Godwin Boahen.,34,39
14:11,2428,Pablo Rivas Turnover.,34,39
13:58,82,Michael Diggins Turnover.,34,39
13:58,82,Foul on Michael Diggins.,34,39
13:45,2428,Reginald Gardner Jr Turnover.,34,39
13:44,82,Marcus Ottey Steal.,34,39
13:42,82,Marcus Ottey made Dunk.,34,41
13:36,2428,North Carolina Central  Timeout,34,41
13:08,2428,C.J. Wiggins missed Three Point Jumper.,34,41
13:08,2428,John Guerra Offensive Rebound.,34,41
13:05,82,Foul on Clint Robinson.,34,41
12:43,2428,Raasean Davis made Dunk. Assisted by Brandon Goldsmith.,36,41
12:13,82,Michael Diggins missed Three Point Jumper.,36,41
12:13,2428,Brandon Goldsmith Defensive Rebound.,36,41
11:54,2428,C.J. Wiggins Turnover.,36,41
11:53,82,Official TV Timeout,36,41
11:41,82,Tai Odiase made Jumper. Assisted by Tarkus Ferguson.,36,43
11:15,2428,Raasean Davis missed Jumper.,36,43
11:15,82,Tai Odiase Defensive Rebound.,36,43
11:05,82,Marcus Ottey missed Layup.,36,43
11:05,2428,North Carolina Central Defensive Rebound.,36,43
11:01,82,Foul on Marcus Ottey.,36,43
10:44,2428,C.J. Wiggins made Jumper.,38,43
10:29,82,Jordan Blount missed Layup.,38,43
10:29,2428,Raasean Davis Defensive Rebound.,38,43
10:25,2428,C.J. Wiggins missed Jumper.,38,43
10:25,2428,North Carolina Central Offensive Rebound.,38,43
10:08,2428,C.J. Wiggins Turnover.,38,43
9:51,82,Tai Odiase missed Jumper.,38,43
9:51,82,Dominique Matthews Offensive Rebound.,38,43
9:46,2428,Foul on Reginald Gardner Jr.,38,43
9:46,82,Dominique Matthews made Free Throw.,38,44
9:46,82,Dominique Matthews made Free Throw.,38,45
9:31,2428,Pablo Rivas missed Layup.,38,45
9:31,2428,Raasean Davis Offensive Rebound.,38,45
9:28,2428,Raasean Davis made Jumper.,40,45
9:07,2428,Foul on Reginald Gardner Jr.,40,45
9:05,82,Tai Odiase made Jumper. Assisted by Tarkus Ferguson.,40,47
8:41,2428,Brandon Goldsmith made Three Point Jumper. Assisted by C.J. Wiggins.,43,47
8:18,82,Godwin Boahen made Jumper. Assisted by Jordan Blount.,43,49
7:56,2428,Pablo Rivas Turnover.,43,49
7:56,2428,Foul on Pablo Rivas.,43,49
7:56,82,Official TV Timeout,43,49
7:55,82,Official TV Timeout,43,49
7:40,82,Godwin Boahen made Three Point Jumper. Assisted by Tarkus Ferguson.,43,52
7:13,2428,Raasean Davis missed Jumper.,43,52
7:13,2428,Raasean Davis Offensive Rebound.,43,52
7:07,2428,Raasean Davis missed Layup.,43,52
7:07,2428,Pablo Rivas Offensive Rebound.,43,52
7:03,2428,Pablo Rivas missed Layup.,43,52
7:03,2428,Raasean Davis Offensive Rebound.,43,52
7:01,2428,Raasean Davis missed Layup.,43,52
7:01,82,Tai Odiase Defensive Rebound.,43,52
6:54,82,Dominique Matthews missed Three Point Jumper.,43,52
6:54,82,Jordan Blount Offensive Rebound.,43,52
6:51,82,Jordan Blount missed Layup.,43,52
6:51,82,UIC Offensive Rebound.,43,52
6:46,2428,Foul on Brandon Goldsmith.,43,52
6:46,82,Tai Odiase made Free Throw.,43,53
6:46,82,Tai Odiase made Free Throw.,43,54
6:27,2428,C.J. Wiggins missed Jumper.,43,54
6:27,82,Tai Odiase Defensive Rebound.,43,54
6:22,82,Tarkus Ferguson made Layup. Assisted by Dikembe Dixson.,43,56
6:17,2428,North Carolina Central  Timeout,43,56
5:57,2428,Pablo Rivas missed Three Point Jumper.,43,56
5:57,2428,Raasean Davis Offensive Rebound.,43,56
5:53,2428,Raasean Davis made Layup.,45,56
5:33,82,Tai Odiase missed Jumper.,45,56
5:33,82,UIC Offensive Rebound.,45,56
5:28,82,Jordan Blount Turnover.,45,56
5:28,82,Foul on Jordan Blount.,45,56
5:12,2428,Reginald Gardner Jr Turnover.,45,56
5:12,2428,Foul on Reginald Gardner Jr.,45,56
5:03,82,Tarkus Ferguson made Layup. Assisted by Jordan Blount.,45,58
4:41,82,Foul on Dikembe Dixson.,45,58
4:41,2428,Brandon Goldsmith missed Free Throw.,45,58
4:41,2428,North Carolina Central Deadball Team Rebound.,45,58
4:41,2428,Brandon Goldsmith made Free Throw.,46,58
4:28,82,Dikembe Dixson made Jumper.,46,60
4:28,2428,Foul on Pablo Rivas.,46,60
4:28,82,Dikembe Dixson made Free Throw.,46,61
4:16,82,Foul on Clint Robinson.,46,61
4:16,2428,Alston Jones missed Free Throw.,46,61
4:16,82,Tarkus Ferguson Defensive Rebound.,46,61
4:02,2428,Foul on Alston Jones.,46,61
4:02,82,Tarkus Ferguson made Free Throw.,46,62
4:02,82,Tarkus Ferguson made Free Throw.,46,63
3:51,2428,Raasean Davis missed Jumper.,46,63
3:51,82,Jordan Blount Defensive Rebound.,46,63
3:34,82,Tarkus Ferguson missed Layup.,46,63
3:34,2428,Larry Mcknight Jr Defensive Rebound.,46,63
3:23,2428,Brandon Goldsmith missed Layup.,46,63
3:23,2428,Raasean Davis Offensive Rebound.,46,63
3:21,2428,Raasean Davis made Layup.,48,63
2:59,82,Official TV Timeout,48,63
2:59,2428,Foul on Raasean Davis.,48,63
2:59,82,Official TV Timeout,48,63
2:59,82,Jordan Blount made Free Throw.,48,64
2:59,82,Jordan Blount made Free Throw.,48,65
2:50,2428,Pablo Rivas missed Three Point Jumper.,48,65
2:50,82,Tai Odiase Defensive Rebound.,48,65
2:26,82,Dikembe Dixson missed Three Point Jumper.,48,65
2:26,2428,Brandon Goldsmith Defensive Rebound.,48,65
1:54,82,Foul on Tai Odiase.,48,65
1:54,2428,Raasean Davis made Free Throw.,49,65
1:54,2428,Raasean Davis made Free Throw.,50,65
1:31,82,Tarkus Ferguson Turnover.,50,65
1:28,2428,Larry Mcknight Jr Steal.,50,65
1:24,2428,Larry Mcknight Jr made Three Point Jumper. Assisted by C.J. Wiggins.,53,65
0:49,82,Tai Odiase Turnover.,53,65
0:47,2428,C.J. Wiggins Steal.,53,65
0:40,2428,Larry Mcknight Jr Turnover.,53,65
0:17,82,Godwin Boahen missed Three Point Jumper.,53,65
0:17,2428,North Carolina Central Defensive Rebound.,53,65
0:04,2428,C.J. Wiggins missed Layup.,53,65
0:04,2428,Marius McAllister Offensive Rebound.,53,65
0:02,2428,Marius McAllister made Layup.,55,65
0:00,82,End of Game,55,65
