Indiana State,84,Indiana,282
8:52,84,Devonte Green Steal.,34,19
8:48,282,Foul on Devin Thomas.,34,19
8:48,84,Juwan Morgan made Free Throw.,34,20
8:48,84,Juwan Morgan made Free Throw.,34,21
8:33,84,Foul on De'Ron Davis.,34,21
8:33,282,Brandon Murphy made Free Throw.,35,21
8:33,282,Brandon Murphy made Free Throw.,36,21
8:12,84,Juwan Morgan missed Three Point Jumper.,36,21
8:12,282,Indiana State Defensive Rebound.,36,21
7:46,84,Foul on De'Ron Davis.,36,21
7:46,84,Official TV Timeout,36,21
7:46,282,Qiydar Davis missed Free Throw.,36,21
7:46,84,Robert Johnson Defensive Rebound.,36,21
7:26,84,Juwan Morgan made Layup.,36,23
7:17,282,Qiydar Davis made Layup.,38,23
7:04,84,Josh Newkirk missed Three Point Jumper.,38,23
7:04,282,Qiydar Davis Defensive Rebound.,38,23
6:51,84,Foul on Aljami Durham.,38,23
6:51,282,Devin Thomas made Free Throw.,39,23
6:51,282,Devin Thomas made Free Throw.,40,23
6:40,84,Juwan Morgan missed Jumper.,40,23
6:40,282,Devin Thomas Defensive Rebound.,40,23
6:15,282,Jordan Barnes missed Three Point Jumper.,40,23
6:15,282,Devin Thomas Offensive Rebound.,40,23
6:10,282,Brenton Scott Turnover.,40,23
6:10,84,Josh Newkirk Steal.,40,23
5:56,282,Foul on Qiydar Davis.,40,23
5:54,84,Aljami Durham Turnover.,40,23
5:52,282,Qiydar Davis Steal.,40,23
5:51,282,Qiydar Davis made Layup.,42,23
5:36,84,Robert Johnson missed Layup.,42,23
5:36,282,Bronson Kessinger Defensive Rebound.,42,23
5:19,282,Brenton Scott missed Three Point Jumper.,42,23
5:19,84,Freddie McSwain Jr. Defensive Rebound.,42,23
5:12,84,Aljami Durham missed Three Point Jumper.,42,23
5:12,84,Freddie McSwain Jr. Offensive Rebound.,42,23
5:09,282,Foul on Bronson Kessinger.,42,23
4:57,282,Foul on Bronson Kessinger.,42,23
4:57,84,Freddie McSwain Jr. made Free Throw.,42,24
4:57,84,Freddie McSwain Jr. made Free Throw.,42,25
4:36,282,Devin Thomas made Three Point Jumper. Assisted by Qiydar Davis.,45,25
4:17,84,Robert Johnson Turnover.,45,25
4:17,84,Foul on Robert Johnson.,45,25
3:47,282,Tyreke Key missed Layup.,45,25
3:47,84,Justin Smith Defensive Rebound.,45,25
3:41,84,Robert Johnson missed Three Point Jumper.,45,25
3:41,282,Brenton Scott Defensive Rebound.,45,25
3:36,84,Foul on Curtis Jones.,45,25
3:36,84,Official TV Timeout,45,25
3:36,282,Tyreke Key made Free Throw.,46,25
3:36,282,Tyreke Key made Free Throw.,47,25
3:26,282,Foul on Jordan Barnes.,47,25
3:26,84,Curtis Jones made Free Throw.,47,26
3:26,84,Curtis Jones made Free Throw.,47,27
3:05,282,Brenton Scott made Three Point Jumper. Assisted by Devin Thomas.,50,27
2:52,84,Juwan Morgan made Layup.,50,29
2:26,84,Foul on Devonte Green.,50,29
2:26,282,Brandon Murphy made Free Throw.,51,29
2:26,282,Brandon Murphy made Free Throw.,52,29
2:16,282,Foul on Devin Thomas.,52,29
2:16,84,Juwan Morgan made Free Throw.,52,30
2:16,84,Juwan Morgan missed Free Throw.,52,30
2:16,282,Qiydar Davis Defensive Rebound.,52,30
1:46,282,Demonte Ojinnaka missed Jumper.,52,30
1:46,84,Freddie McSwain Jr. Defensive Rebound.,52,30
1:43,282,Foul on Brandon Murphy.,52,30
1:43,84,Freddie McSwain Jr. missed Free Throw.,52,30
1:43,84,Indiana Deadball Team Rebound.,52,30
1:43,84,Freddie McSwain Jr. made Free Throw.,52,31
1:32,282,Tyreke Key missed Jumper.,52,31
1:32,84,Robert Johnson Defensive Rebound.,52,31
1:13,84,Juwan Morgan missed Layup.,52,31
1:13,282,Brandon Murphy Defensive Rebound.,52,31
1:03,282,Indiana State  Timeout,52,31
0:54,282,Tyreke Key missed Three Point Jumper.,52,31
0:54,282,Brandon Murphy Offensive Rebound.,52,31
0:52,84,Foul on Juwan Morgan.,52,31
0:52,282,Brandon Murphy made Free Throw.,53,31
0:52,282,Brandon Murphy made Free Throw.,54,31
0:29,282,Foul on Tyreke Key.,54,31
0:29,84,Robert Johnson made Free Throw.,54,32
0:29,84,Robert Johnson made Free Throw.,54,33
0:02,282,Brenton Scott Turnover.,54,33
0:01,84,Justin Smith Turnover.,54,33
0:01,282,Jordan Barnes Steal.,54,33
0:00,84,End of 1st half,54,33
19:35,282,Jordan Barnes made Three Point Jumper. Assisted by Brandon Murphy.,57,33
19:12,282,Foul on Devin Thomas.,57,33
19:12,84,Devonte Green made Free Throw.,57,34
19:12,84,Devonte Green made Free Throw.,57,35
18:50,282,Brenton Scott made Jumper.,59,35
18:36,84,Josh Newkirk Turnover.,59,35
18:36,282,Brenton Scott Steal.,59,35
18:07,282,Brenton Scott made Layup.,61,35
17:59,282,Foul on Brandon Murphy.,61,35
17:59,84,De'Ron Davis made Free Throw.,61,36
17:59,84,De'Ron Davis made Free Throw.,61,37
17:35,282,Brenton Scott Turnover.,61,37
17:35,84,Juwan Morgan Steal.,61,37
17:11,84,De'Ron Davis made Layup.,61,39
17:11,282,Foul on Jordan Barnes.,61,39
17:11,84,De'Ron Davis missed Free Throw.,61,39
17:11,282,Emondre Rickman Defensive Rebound.,61,39
16:44,282,Bronson Kessinger made Three Point Jumper. Assisted by Brenton Scott.,64,39
16:28,84,De'Ron Davis Turnover.,64,39
16:28,84,Foul on De'Ron Davis.,64,39
16:14,282,Emondre Rickman Turnover.,64,39
15:53,84,Juwan Morgan Turnover.,64,39
15:52,282,Bronson Kessinger Steal.,64,39
15:44,282,Brenton Scott made Three Point Jumper. Assisted by Tyreke Key.,67,39
15:25,282,Foul on Qiydar Davis.,67,39
15:25,84,Official TV Timeout,67,39
15:25,84,Devonte Green missed Free Throw.,67,39
15:25,84,Indiana Deadball Team Rebound.,67,39
15:25,84,Devonte Green made Free Throw.,67,40
15:04,282,Qiydar Davis Turnover.,67,40
14:52,84,Juwan Morgan Turnover.,67,40
14:31,282,Qiydar Davis made Three Point Jumper.,70,40
14:14,84,Juwan Morgan made Dunk. Assisted by Aljami Durham.,70,42
13:55,282,Tyreke Key Turnover.,70,42
13:54,84,Devonte Green Steal.,70,42
13:50,84,Robert Johnson missed Three Point Jumper.,70,42
13:50,84,Devonte Green Offensive Rebound.,70,42
13:45,84,De'Ron Davis Turnover.,70,42
13:28,282,Demonte Ojinnaka Turnover.,70,42
13:26,84,Devonte Green Steal.,70,42
13:16,84,Devonte Green Turnover.,70,42
13:04,282,Demonte Ojinnaka made Jumper. Assisted by Jordan Barnes.,72,42
12:53,282,Foul on Demonte Ojinnaka.,72,42
12:40,84,Josh Newkirk made Three Point Jumper. Assisted by Aljami Durham.,72,45
12:17,282,Emondre Rickman missed Layup.,72,45
12:17,84,Aljami Durham Defensive Rebound.,72,45
12:10,84,Aljami Durham made Layup.,72,47
12:09,282,Foul on Bronson Kessinger.,72,47
12:09,84,Aljami Durham made Free Throw.,72,48
11:52,282,Emondre Rickman missed Jumper.,72,48
11:52,84,Freddie McSwain Jr. Defensive Rebound.,72,48
11:39,84,Josh Newkirk missed Three Point Jumper.,72,48
11:39,282,Tyreke Key Defensive Rebound.,72,48
11:31,282,Tyreke Key Turnover.,72,48
11:31,84,Official TV Timeout,72,48
11:15,84,Robert Johnson Turnover.,72,48
11:15,84,Foul on Justin Smith.,72,48
10:43,282,Jordan Barnes made Three Point Jumper.,75,48
10:32,84,Josh Newkirk made Jumper.,75,50
10:11,282,Brandon Murphy Turnover.,75,50
10:00,282,Foul on Jordan Barnes.,75,50
10:00,84,Josh Newkirk made Free Throw.,75,51
10:00,84,Josh Newkirk missed Free Throw.,75,51
10:00,282,Devin Thomas Defensive Rebound.,75,51
9:40,282,Tyreke Key missed Layup.,75,51
9:40,84,Juwan Morgan Block.,75,51
9:39,282,Indiana State Offensive Rebound.,75,51
9:31,282,Brenton Scott made Jumper.,77,51
9:22,282,Foul on Qiydar Davis.,77,51
9:22,84,Josh Newkirk made Free Throw.,77,52
9:22,84,Josh Newkirk made Free Throw.,77,53
9:02,282,Brenton Scott made Three Point Jumper.,80,53
8:52,84,Juwan Morgan made Layup. Assisted by De'Ron Davis.,80,55
8:17,282,Indiana State  Turnover.,80,55
8:01,84,De'Ron Davis Turnover.,80,55
8:00,282,Brandon Murphy Steal.,80,55
7:57,282,Brenton Scott made Three Point Jumper. Assisted by Demonte Ojinnaka.,83,55
7:40,84,Juwan Morgan Turnover.,83,55
7:40,84,Official TV Timeout,83,55
7:30,282,Brandon Murphy made Layup.,85,55
7:30,84,Foul on De'Ron Davis.,85,55
7:30,282,Brandon Murphy missed Free Throw.,85,55
7:30,84,Curtis Jones Defensive Rebound.,85,55
7:17,84,Curtis Jones made Three Point Jumper. Assisted by Robert Johnson.,85,58
7:01,282,Bronson Kessinger Turnover.,85,58
6:59,84,Curtis Jones Steal.,85,58
6:55,84,Robert Johnson missed Three Point Jumper.,85,58
6:55,282,Jordan Barnes Defensive Rebound.,85,58
6:49,282,Indiana State  Timeout,85,58
6:49,84,Official TV Timeout,85,58
6:28,84,Foul on Devonte Green.,85,58
6:28,282,Jordan Barnes made Free Throw.,86,58
6:28,282,Jordan Barnes made Free Throw.,87,58
6:12,84,Juwan Morgan missed Dunk.,87,58
6:12,84,Freddie McSwain Jr. Offensive Rebound.,87,58
6:08,84,Aljami Durham missed Jumper.,87,58
6:08,84,Freddie McSwain Jr. Offensive Rebound.,87,58
6:05,282,Foul on Demonte Ojinnaka.,87,58
6:05,84,Freddie McSwain Jr. missed Free Throw.,87,58
6:05,84,Juwan Morgan Offensive Rebound.,87,58
5:47,84,Curtis Jones made Three Point Jumper. Assisted by Juwan Morgan.,87,61
5:38,84,Foul on Robert Johnson.,87,61
5:38,282,Tyreke Key missed Free Throw.,87,61
5:38,282,Indiana State Deadball Team Rebound.,87,61
5:38,282,Tyreke Key made Free Throw.,88,61
5:29,282,Foul on Bronson Kessinger.,88,61
5:29,84,Freddie McSwain Jr. missed Free Throw.,88,61
5:29,84,Indiana Deadball Team Rebound.,88,61
5:29,84,Robert Johnson Turnover.,88,61
5:01,282,Emondre Rickman made Layup. Assisted by Jordan Barnes.,90,61
4:48,84,Freddie McSwain Jr. made Layup. Assisted by Juwan Morgan.,90,63
4:19,282,Bronson Kessinger missed Three Point Jumper.,90,63
4:19,84,Aljami Durham Defensive Rebound.,90,63
4:13,282,Foul on Jordan Barnes.,90,63
4:13,84,Curtis Jones made Free Throw.,90,64
4:13,84,Curtis Jones missed Free Throw.,90,64
4:13,282,Emondre Rickman Defensive Rebound.,90,64
3:47,282,Qiydar Davis Turnover.,90,64
3:47,84,Juwan Morgan Steal.,90,64
3:47,84,Official TV Timeout,90,64
3:32,84,Robert Johnson missed Three Point Jumper.,90,64
3:32,282,Tyreke Key Defensive Rebound.,90,64
3:03,282,Brenton Scott missed Jumper.,90,64
3:03,84,Curtis Jones Defensive Rebound.,90,64
2:50,84,Curtis Jones missed Three Point Jumper.,90,64
2:50,282,Bronson Kessinger Defensive Rebound.,90,64
2:18,282,Clayton Hughes missed Three Point Jumper.,90,64
2:18,84,Freddie McSwain Jr. Defensive Rebound.,90,64
2:10,282,Foul on Emondre Rickman.,90,64
2:10,84,Aljami Durham missed Free Throw.,90,64
2:10,84,Indiana Deadball Team Rebound.,90,64
2:10,84,Aljami Durham made Free Throw.,90,65
1:54,282,Brenton Scott missed Three Point Jumper.,90,65
1:54,84,Zach McRoberts Defensive Rebound.,90,65
1:48,84,Zach McRoberts Turnover.,90,65
1:47,282,Tyreke Key Steal.,90,65
1:39,282,Ethan Claycomb missed Three Point Jumper.,90,65
1:39,84,Freddie McSwain Jr. Defensive Rebound.,90,65
1:27,84,Curtis Jones Turnover.,90,65
1:27,84,Foul on Curtis Jones.,90,65
1:00,282,Clayton Hughes Turnover.,90,65
0:52,282,Foul on Matt Deady.,90,65
0:52,84,Aljami Durham made Free Throw.,90,66
0:52,84,Aljami Durham made Free Throw.,90,67
0:34,282,Demonte Ojinnaka missed Layup.,90,67
0:34,84,Freddie McSwain Jr. Block.,90,67
0:33,84,Zach McRoberts Defensive Rebound.,90,67
0:29,84,Curtis Jones made Layup. Assisted by Zach McRoberts.,90,69
0:01,282,Indiana State  Turnover.,90,69
0:00,84,End of Game,90,69
