Arkansas-Pine Bluff,62,Hawai'i,2029
12:02,2029,Hardy Quamauri made Free Throw.,9,17
12:02,2029,Hardy Quamauri made Free Throw.,10,17
11:47,62,Ido Flaisher made Jumper. Assisted by Jack Purchase.,10,19
11:26,2029,Hardy Quamauri made Jumper.,12,19
11:11,62,Jack Purchase made Jumper. Assisted by Brocke Stepteau.,12,21
10:47,2029,Steen Trent missed Layup.,12,21
10:47,62,Ido Flaisher Block.,12,21
10:46,62,Ido Flaisher Defensive Rebound.,12,21
10:40,62,Ido Flaisher Turnover.,12,21
10:40,62,Official TV Timeout,12,21
10:26,2029,Mcknight Martaveous missed Three Point Jumper.,12,21
10:26,62,Brocke Stepteau Defensive Rebound.,12,21
10:20,62,Leland Green made Jumper.,12,23
10:05,2029,Mcknight Martaveous made Jumper.,14,23
9:51,62,Jack Purchase made Layup. Assisted by Gibson Johnson.,14,25
9:37,62,Foul on Samuta Avea.,14,25
9:25,2029,Mcknight Martaveous Turnover.,14,25
9:14,62,Drew Buggs missed Three Point Jumper.,14,25
9:14,2029,Posey Cameron Defensive Rebound.,14,25
9:08,2029,Mcknight Martaveous made Layup. Assisted by Posey Cameron.,16,25
8:46,62,Jack Purchase missed Three Point Jumper.,16,25
8:46,2029,Mcknight Martaveous Defensive Rebound.,16,25
8:38,2029,Toliver Joe'Randle missed Three Point Jumper.,16,25
8:38,62,Leland Green Defensive Rebound.,16,25
8:25,62,Drew Buggs Turnover.,16,25
8:25,2029,Mcknight Martaveous Steal.,16,25
8:25,62,Foul on Drew Buggs.,16,25
8:24,2029,Mcknight Martaveous made Free Throw.,17,25
8:24,2029,Mcknight Martaveous made Free Throw.,18,25
8:08,2029,Foul on Toliver Joe'Randle.,18,25
8:08,62,Gibson Johnson made Free Throw.,18,26
8:08,62,Gibson Johnson made Free Throw.,18,27
7:56,2029,Mcknight Martaveous made Three Point Jumper. Assisted by Hardy Quamauri.,21,27
7:43,62,Leland Green missed Three Point Jumper.,21,27
7:43,62,Zach Buscher Offensive Rebound.,21,27
7:34,2029,Foul on Tillman David.,21,27
7:34,62,Official TV Timeout,21,27
7:34,62,Leland Green made Free Throw.,21,28
7:34,62,Leland Green made Free Throw.,21,29
7:06,2029,Mcknight Martaveous made Layup.,23,29
6:40,62,Leland Green Turnover.,23,29
6:39,2029,Hardy Quamauri Steal.,23,29
6:34,2029,Mcknight Martaveous missed Three Point Jumper.,23,29
6:34,62,Drew Buggs Defensive Rebound.,23,29
6:23,62,Jack Purchase made Jumper. Assisted by Gibson Johnson.,23,31
6:00,2029,Toliver Joe'Randle made Three Point Jumper. Assisted by Posey Cameron.,26,31
5:41,62,Leland Green made Three Point Jumper. Assisted by Samuta Avea.,26,34
5:24,2029,Toliver Joe'Randle Turnover.,26,34
5:23,62,Gibson Johnson Steal.,26,34
5:22,2029,Foul on Hardy Quamauri.,26,34
5:21,62,Leland Green missed Free Throw.,26,34
5:21,62,Hawai'i Deadball Team Rebound.,26,34
5:21,62,Leland Green missed Free Throw.,26,34
5:21,62,Hawai'i Deadball Team Rebound.,26,34
5:19,62,Jack Purchase missed Three Point Jumper.,26,34
5:19,2029,Toliver Joe'Randle Defensive Rebound.,26,34
5:10,2029,Posey Cameron missed Layup.,26,34
5:10,2029,Arkansas-Pine Bluff Offensive Rebound.,26,34
5:04,2029,Toliver Joe'Randle made Three Point Jumper. Assisted by Posey Cameron.,29,34
4:40,62,Michael Thomas missed Jumper.,29,34
4:40,62,Hawai'i Deadball Team Rebound.,29,34
4:38,2029,Foul on Toliver Joe'Randle.,29,34
4:38,62,Ido Flaisher missed Free Throw.,29,34
4:38,62,Hawai'i Deadball Team Rebound.,29,34
4:38,62,Ido Flaisher made Free Throw.,29,35
4:26,2029,Steen Trent missed Jumper.,29,35
4:26,62,Samuta Avea Defensive Rebound.,29,35
4:07,62,Ido Flaisher Turnover.,29,35
4:05,2029,Toliver Joe'Randle Steal.,29,35
3:59,2029,Toliver Joe'Randle missed Three Point Jumper.,29,35
3:59,62,Drew Buggs Defensive Rebound.,29,35
3:47,62,Samuta Avea missed Three Point Jumper.,29,35
3:47,2029,Mcknight Martaveous Defensive Rebound.,29,35
3:38,2029,Mcknight Martaveous missed Three Point Jumper.,29,35
3:38,2029,Arkansas-Pine Bluff Offensive Rebound.,29,35
3:34,62,Official TV Timeout,29,35
3:22,2029,Mcknight Martaveous Turnover.,29,35
3:12,2029,Foul on Mcdyess Artavious.,29,35
3:12,62,Michael Thomas made Free Throw.,29,36
3:12,62,Michael Thomas made Free Throw.,29,37
2:59,2029,Toliver Joe'Randle missed Three Point Jumper.,29,37
2:59,62,Drew Buggs Defensive Rebound.,29,37
2:48,62,Brandon Thomas missed Three Point Jumper.,29,37
2:48,62,Michael Thomas Offensive Rebound.,29,37
2:44,2029,Foul on Jackson Charles.,29,37
2:44,62,Michael Thomas made Free Throw.,29,38
2:44,62,Michael Thomas made Free Throw.,29,39
2:33,2029,Steen Trent made Jumper.,31,39
2:19,62,Jack Purchase Turnover.,31,39
2:18,2029,Toliver Joe'Randle Steal.,31,39
2:10,2029,Mcdyess Artavious Turnover.,31,39
2:10,2029,Foul on Mcdyess Artavious.,31,39
1:52,2029,Foul on Steen Trent.,31,39
1:52,62,Brocke Stepteau made Free Throw.,31,40
1:52,62,Brocke Stepteau made Free Throw.,31,41
1:31,2029,Jackson Charles missed Jumper.,31,41
1:31,62,Drew Buggs Defensive Rebound.,31,41
1:23,62,Drew Buggs Turnover.,31,41
1:21,2029,Toliver Joe'Randle Steal.,31,41
1:17,2029,Jackson Charles made Jumper.,33,41
1:16,62,Foul on Drew Buggs.,33,41
1:16,2029,Jackson Charles made Free Throw.,34,41
1:11,62,Hawai'i  Timeout,34,41
1:02,62,Leland Green missed Three Point Jumper.,34,41
1:02,2029,Steen Trent Defensive Rebound.,34,41
0:46,62,Foul on Brandon Thomas.,34,41
0:45,2029,Mcknight Martaveous missed Free Throw.,34,41
0:45,62,Gibson Johnson Defensive Rebound.,34,41
0:29,62,Gibson Johnson made Jumper.,34,43
0:29,2029,Foul on Mcdyess Artavious.,34,43
0:29,62,Gibson Johnson made Free Throw.,34,44
0:21,2029,Arkansas-Pine Bluff  Timeout,34,44
0:12,62,Foul on Leland Green.,34,44
0:12,2029,Mcknight Martaveous made Free Throw.,35,44
0:12,2029,Mcknight Martaveous made Free Throw.,36,44
0:04,62,Brandon Thomas made Layup. Assisted by Jack Purchase.,36,46
0:03,2029,Foul on Steen Trent.,36,46
0:03,62,Brandon Thomas missed Free Throw.,36,46
0:03,2029,Steen Trent Defensive Rebound.,36,46
0:00,62,End of 1st half,36,46
19:42,62,Jack Purchase made Jumper. Assisted by Drew Buggs.,36,48
19:13,2029,Mcknight Martaveous missed Three Point Jumper.,36,48
19:13,62,Gibson Johnson Defensive Rebound.,36,48
19:05,62,Michael Thomas made Dunk. Assisted by Jack Purchase.,36,50
18:45,62,Foul on Michael Thomas.,36,50
18:27,2029,Mcknight Martaveous Turnover.,36,50
18:27,2029,Foul on Mcknight Martaveous.,36,50
18:14,62,Gibson Johnson made Layup. Assisted by Jack Purchase.,36,52
17:50,2029,Jackson Charles missed Three Point Jumper.,36,52
17:50,2029,Harper Travon Offensive Rebound.,36,52
17:45,2029,Harper Travon missed Jumper.,36,52
17:45,62,Drew Buggs Defensive Rebound.,36,52
17:39,2029,Foul on Harper Travon.,36,52
17:18,2029,Foul on Harper Travon.,36,52
17:15,62,Jack Purchase missed Three Point Jumper.,36,52
17:15,2029,Mcknight Martaveous Defensive Rebound.,36,52
16:47,2029,Steen Trent missed Jumper.,36,52
16:47,62,Drew Buggs Defensive Rebound.,36,52
16:37,2029,Foul on Tillman David.,36,52
16:36,62,Jack Purchase missed Free Throw.,36,52
16:35,62,Hawai'i Deadball Team Rebound.,36,52
16:34,62,Jack Purchase missed Free Throw.,36,52
16:33,2029,Mcdyess Artavious Defensive Rebound.,36,52
16:04,2029,Arkansas-Pine Bluff  Turnover.,36,52
15:45,62,Leland Green Turnover.,36,52
15:45,62,Official TV Timeout,36,52
15:30,2029,Mcknight Martaveous made Three Point Jumper. Assisted by Hardy Quamauri.,39,52
15:14,62,Drew Buggs missed Jumper.,39,52
15:14,2029,Mcdyess Artavious Block.,39,52
15:12,2029,Hardy Quamauri Defensive Rebound.,39,52
15:06,2029,Hardy Quamauri missed Layup.,39,52
15:06,62,Gibson Johnson Block.,39,52
15:03,2029,Whitfield Dwain Offensive Rebound.,39,52
15:03,62,Foul on Michael Thomas.,39,52
15:03,2029,Whitfield Dwain made Free Throw.,40,52
15:03,2029,Whitfield Dwain missed Free Throw.,40,52
15:03,62,Jack Purchase Defensive Rebound.,40,52
14:52,62,Leland Green Turnover.,40,52
14:50,2029,Mcdyess Artavious Steal.,40,52
14:46,2029,Hardy Quamauri missed Jumper.,40,52
14:46,62,Samuta Avea Defensive Rebound.,40,52
14:27,62,Leland Green Turnover.,40,52
14:25,2029,Mckinney Kennedy Steal.,40,52
14:23,2029,Mcknight Martaveous made Three Point Jumper. Assisted by Mckinney Kennedy.,43,52
14:09,62,Hawai'i  Timeout,43,52
14:03,62,Jack Purchase made Jumper.,43,54
13:46,2029,Mckinney Kennedy missed Jumper.,43,54
13:46,2029,Mcdyess Artavious Offensive Rebound.,43,54
13:43,2029,Mcdyess Artavious made Jumper.,45,54
13:35,62,Samuta Avea Turnover.,45,54
13:35,62,Foul on Samuta Avea.,45,54
13:22,2029,Mckinney Kennedy Turnover.,45,54
13:21,62,Brocke Stepteau Steal.,45,54
13:19,2029,Foul on Mckinney Kennedy.,45,54
13:17,62,Gibson Johnson missed Jumper.,45,54
13:17,2029,Mcdyess Artavious Block.,45,54
13:16,2029,Arkansas-Pine Bluff Defensive Rebound.,45,54
13:02,2029,Mcknight Martaveous missed Three Point Jumper.,45,54
13:02,2029,Whitfield Dwain Offensive Rebound.,45,54
12:35,2029,Mckinney Kennedy missed Three Point Jumper.,45,54
12:35,2029,Arkansas-Pine Bluff Deadball Team Rebound.,45,54
12:33,62,Foul on Brocke Stepteau.,45,54
12:32,2029,Mcdyess Artavious missed Free Throw.,45,54
12:32,2029,Arkansas-Pine Bluff Deadball Team Rebound.,45,54
12:32,2029,Mcdyess Artavious made Free Throw.,46,54
12:20,62,Ido Flaisher Turnover.,46,54
12:19,2029,Mckinney Kennedy Steal.,46,54
12:17,2029,Mcdyess Artavious made Dunk. Assisted by Mckinney Kennedy.,48,54
12:05,2029,Foul on Whitfield Dwain.,48,54
11:59,62,Jack Purchase missed Jumper.,48,54
11:59,2029,Mcknight Martaveous Defensive Rebound.,48,54
11:52,2029,Mckinney Kennedy made Layup.,50,54
11:42,2029,Foul on Whitfield Dwain.,50,54
11:42,62,Official TV Timeout,50,54
11:41,62,Gibson Johnson missed Free Throw.,50,54
11:41,2029,Mcdyess Artavious Defensive Rebound.,50,54
11:14,2029,Mcknight Martaveous missed Jumper.,50,54
11:14,2029,Hardy Quamauri Offensive Rebound.,50,54
11:10,2029,Hardy Quamauri missed Jumper.,50,54
11:10,62,Jack Purchase Defensive Rebound.,50,54
10:53,62,Jack Purchase made Layup.,50,56
10:23,2029,Whitfield Dwain made Three Point Jumper. Assisted by Mckinney Kennedy.,53,56
9:57,62,Jack Purchase made Three Point Jumper. Assisted by Brocke Stepteau.,53,59
9:24,2029,Hardy Quamauri missed Jumper.,53,59
9:24,2029,Hardy Quamauri Offensive Rebound.,53,59
9:18,2029,Hardy Quamauri missed Jumper.,53,59
9:18,62,Jack Purchase Defensive Rebound.,53,59
8:59,62,Brandon Thomas made Three Point Jumper. Assisted by Gibson Johnson.,53,62
8:46,2029,Arkansas-Pine Bluff  Timeout,53,62
8:26,2029,Mckinney Kennedy Turnover.,53,62
8:24,62,Brocke Stepteau Steal.,53,62
8:22,2029,Foul on Mcknight Martaveous.,53,62
8:22,62,Drew Buggs missed Free Throw.,53,62
8:22,62,Hawai'i Deadball Team Rebound.,53,62
8:22,62,Drew Buggs made Free Throw.,53,63
8:01,2029,Jackson Charles Turnover.,53,63
8:01,2029,Foul on Jackson Charles.,53,63
7:41,2029,Foul on Mcdyess Artavious.,53,63
7:41,62,Official TV Timeout,53,63
7:41,62,Gibson Johnson made Free Throw.,53,64
7:41,62,Gibson Johnson made Free Throw.,53,65
7:13,2029,Toliver Joe'Randle made Three Point Jumper.,56,65
6:53,62,Brocke Stepteau made Layup. Assisted by Gibson Johnson.,56,67
6:42,2029,Steen Trent missed Jumper.,56,67
6:42,62,Hawai'i Deadball Team Rebound.,56,67
6:41,2029,Foul on Harper Travon.,56,67
6:23,2029,Foul on Toliver Joe'Randle.,56,67
6:22,62,Michael Thomas made Free Throw.,56,68
6:22,62,Michael Thomas made Free Throw.,56,69
6:04,2029,Whitfield Dwain missed Three Point Jumper.,56,69
6:04,62,Gibson Johnson Defensive Rebound.,56,69
5:51,62,Michael Thomas missed Jumper.,56,69
5:51,2029,Mcdyess Artavious Block.,56,69
5:50,2029,Mcdyess Artavious Defensive Rebound.,56,69
5:47,2029,Posey Cameron missed Three Point Jumper.,56,69
5:47,2029,Toliver Joe'Randle Offensive Rebound.,56,69
5:42,2029,Toliver Joe'Randle made Three Point Jumper.,59,69
5:18,62,Gibson Johnson missed Layup.,59,69
5:18,62,Michael Thomas Offensive Rebound.,59,69
5:15,2029,Foul on Jackson Charles.,59,69
5:15,62,Michael Thomas missed Free Throw.,59,69
5:15,62,Hawai'i Deadball Team Rebound.,59,69
5:15,62,Michael Thomas made Free Throw.,59,70
4:52,2029,Toliver Joe'Randle made Three Point Jumper. Assisted by Robertson Christian.,62,70
4:24,62,Michael Thomas made Jumper. Assisted by Gibson Johnson.,62,72
3:58,62,Foul on Drew Buggs.,62,72
3:58,62,Official TV Timeout,62,72
3:58,2029,Toliver Joe'Randle missed Free Throw.,62,72
3:58,2029,Arkansas-Pine Bluff Deadball Team Rebound.,62,72
3:58,2029,Toliver Joe'Randle made Free Throw.,63,72
3:58,2029,Toliver Joe'Randle made Free Throw.,64,72
3:43,62,Gibson Johnson made Layup. Assisted by Jack Purchase.,64,74
3:25,2029,Robertson Christian missed Jumper.,64,74
3:25,62,Jack Purchase Defensive Rebound.,64,74
3:06,62,Michael Thomas missed Dunk.,64,74
3:06,62,Gibson Johnson Offensive Rebound.,64,74
3:02,62,Drew Buggs missed Three Point Jumper.,64,74
3:02,2029,Arkansas-Pine Bluff Defensive Rebound.,64,74
2:49,2029,Toliver Joe'Randle Turnover.,64,74
2:48,62,Jack Purchase Steal.,64,74
2:36,62,Brocke Stepteau missed Three Point Jumper.,64,74
2:36,62,Gibson Johnson Offensive Rebound.,64,74
2:32,2029,Foul on Mcdyess Artavious.,64,74
2:31,62,Gibson Johnson made Free Throw.,64,75
2:31,62,Gibson Johnson made Free Throw.,64,76
2:23,2029,Mcknight Martaveous made Jumper.,66,76
2:06,2029,Foul on Steen Trent.,66,76
2:06,62,Michael Thomas made Free Throw.,66,77
2:06,62,Michael Thomas missed Free Throw.,66,77
2:06,2029,Jackson Charles Defensive Rebound.,66,77
1:46,2029,Arkansas-Pine Bluff  Timeout,66,77
1:45,2029,Mcknight Martaveous missed Jumper.,66,77
1:45,62,Michael Thomas Defensive Rebound.,66,77
1:22,62,Jack Purchase missed Three Point Jumper.,66,77
1:21,62,Hawai'i Deadball Team Rebound.,66,77
1:20,2029,Foul on Jackson Charles.,66,77
1:20,62,Michael Thomas missed Free Throw.,66,77
1:20,62,Hawai'i Deadball Team Rebound.,66,77
1:20,62,Michael Thomas made Free Throw.,66,78
1:13,62,Foul on Drew Buggs.,66,78
1:13,2029,Mcknight Martaveous made Free Throw.,67,78
1:13,2029,Mcknight Martaveous made Free Throw.,68,78
1:04,62,Michael Thomas made Dunk. Assisted by Jack Purchase.,68,80
0:52,62,Foul on Drew Buggs.,68,80
0:51,2029,Mcknight Martaveous made Free Throw.,69,80
0:51,2029,Mcknight Martaveous made Free Throw.,70,80
0:35,2029,Foul on Mcknight Martaveous.,70,80
0:35,62,Brocke Stepteau made Free Throw.,70,81
0:35,62,Brocke Stepteau made Free Throw.,70,82
0:30,2029,Toliver Joe'Randle missed Three Point Jumper.,70,82
0:30,62,Zach Buscher Defensive Rebound.,70,82
0:25,62,Samuta Avea Turnover.,70,82
0:19,2029,Mcknight Martaveous Turnover.,70,82
0:18,62,Brocke Stepteau Steal.,70,82
0:00,62,End of Game,70,82
