Bob Jones,Error,Furman,231
2:27,231,Matt Rafferty missed Layup.,25,42
2:27,231,Matt Rafferty Offensive Rebound.,25,42
2:22,231,Andrew Brown missed Three Point Jumper.,25,42
2:22,231,Matt Rafferty Offensive Rebound.,25,42
2:16,231,Devin Sibley Turnover.,25,42
1:58,3243,Luc Muhirwa Turnover.,25,42
1:57,231,Matt Rafferty Steal.,25,42
1:53,231,Alex Hunter made Three Point Jumper. Assisted by Devin Sibley.,25,45
1:30,3243,Nate Ellenwood missed Jumper.,25,45
1:30,3243,Jayson Barnhart Offensive Rebound.,25,45
1:28,3243,Jayson Barnhart made Layup.,27,45
1:12,231,Daniel Fowler made Jumper. Assisted by Matt Rafferty.,27,47
0:56,231,Foul on Andrew Brown.,27,47
0:56,3243,Luc Muhirwa made Free Throw.,28,47
0:56,3243,Luc Muhirwa missed Free Throw.,28,47
0:56,231,Matt Rafferty Defensive Rebound.,28,47
0:40,231,Devin Sibley missed Jumper.,28,47
0:40,3243,Bob Jones Defensive Rebound.,28,47
0:34,3243,Jayson Barnhart made Three Point Jumper. Assisted by Quiyante Burroughs.,31,47
0:21,231,Furman  Timeout,31,47
0:06,231,Geoff Beans missed Three Point Jumper.,31,47
0:06,231,Matt Rafferty Offensive Rebound.,31,47
0:00,231,Jordan Lyons missed Jumper.,31,47
0:00,231,Matt Rafferty Offensive Rebound.,31,47
0:00,231,End of 1st half,31,47
19:47,231,Foul on John Davis III.,31,47
19:47,231,Foul on Daniel Fowler.,31,47
19:46,3243,Bob Jones  Turnover.,31,47
19:32,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,31,50
19:06,3243,Nate Ellenwood missed Jumper.,31,50
19:06,231,Devin Sibley Defensive Rebound.,31,50
18:54,231,Devin Sibley made Three Point Jumper. Assisted by Andrew Brown.,31,53
18:25,3243,Chris Gray Turnover.,31,53
18:15,231,Devin Sibley missed Jumper.,31,53
18:15,3243,Nate Ellenwood Defensive Rebound.,31,53
18:08,3243,Justin Matthews missed Layup.,31,53
18:08,231,John Davis III Defensive Rebound.,31,53
17:53,231,Devin Sibley Turnover.,31,53
17:52,3243,Quiyante Burroughs Steal.,31,53
17:48,3243,Justin Matthews Turnover.,31,53
17:47,231,Matt Rafferty Steal.,31,53
17:44,231,Andrew Brown Turnover.,31,53
17:25,231,Foul on Matt Rafferty.,31,53
17:25,3243,Dustin Killough made Free Throw.,32,53
17:25,3243,Dustin Killough made Free Throw.,33,53
17:14,231,Matt Rafferty made Layup. Assisted by John Davis III.,33,55
16:56,3243,Nate Ellenwood Turnover.,33,55
16:56,231,Daniel Fowler Steal.,33,55
16:53,231,Daniel Fowler made Dunk.,33,57
16:29,3243,Quiyante Burroughs missed Jumper.,33,57
16:29,231,Andrew Brown Defensive Rebound.,33,57
16:22,231,Daniel Fowler missed Three Point Jumper.,33,57
16:22,231,Matt Rafferty Offensive Rebound.,33,57
16:11,231,Devin Sibley made Three Point Jumper. Assisted by John Davis III.,33,60
15:49,3243,Dustin Killough Turnover.,33,60
15:48,231,Official TV Timeout,33,60
15:34,231,Jalen Williams Turnover.,33,60
15:34,231,Foul on Jalen Williams.,33,60
15:19,3243,Nate Ellenwood made Three Point Jumper. Assisted by Jayson Barnhart.,36,60
15:07,231,Jordan Lyons Turnover.,36,60
14:49,3243,Justin Matthews made Jumper.,38,60
14:44,3243,Foul on Nate Ellenwood.,38,60
14:27,231,Jordan Lyons Turnover.,38,60
14:27,3243,Dustin Killough Steal.,38,60
14:18,3243,Justin Matthews Turnover.,38,60
13:56,231,Jordan Lyons made Three Point Jumper. Assisted by Geoff Beans.,38,63
13:35,3243,Jayson Barnhart missed Jumper.,38,63
13:35,231,Alex Hunter Defensive Rebound.,38,63
13:16,231,Foul on Jalen Williams.,38,63
13:03,3243,Matt Dehart missed Three Point Jumper.,38,63
13:03,231,Matt Rafferty Defensive Rebound.,38,63
12:49,231,Daniel Fowler made Three Point Jumper. Assisted by Alex Hunter.,38,66
12:24,3243,Jayson Barnhart missed Three Point Jumper.,38,66
12:24,231,Jordan Lyons Defensive Rebound.,38,66
12:09,231,Matt Rafferty Turnover.,38,66
12:07,3243,Quiyante Burroughs Steal.,38,66
11:46,3243,Bob Jones  Timeout,38,66
11:46,231,Official TV Timeout,38,66
11:39,231,Foul on Daniel Fowler.,38,66
11:39,231,Official TV Timeout,38,66
11:39,3243,Luc Muhirwa made Free Throw.,39,66
11:39,3243,Luc Muhirwa missed Free Throw.,39,66
11:39,231,Andrew Brown Defensive Rebound.,39,66
11:22,231,Matt Rafferty missed Jumper.,39,66
11:22,3243,Nate Ellenwood Defensive Rebound.,39,66
11:13,3243,Nate Ellenwood missed Jumper.,39,66
11:13,231,Matt Rafferty Defensive Rebound.,39,66
11:07,231,John Davis III Turnover.,39,66
11:07,231,Foul on John Davis III.,39,66
10:40,3243,Quiyante Burroughs made Layup.,41,66
10:31,231,Andrew Brown missed Three Point Jumper.,41,66
10:31,231,Matt Rafferty Offensive Rebound.,41,66
10:27,231,Matt Rafferty made Layup.,41,68
10:14,3243,Dustin Killough made Three Point Jumper.,44,68
9:58,3243,Foul on Nate Ellenwood.,44,68
9:54,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,44,71
9:34,3243,Quiyante Burroughs missed Three Point Jumper.,44,71
9:34,231,Matt Rafferty Defensive Rebound.,44,71
9:32,3243,Foul on Chris Gray.,44,71
9:23,231,Geoff Beans missed Three Point Jumper.,44,71
9:23,231,Andrew Brown Offensive Rebound.,44,71
9:13,231,Andrew Brown made Layup.,44,73
9:12,3243,Justin Matthews missed Three Point Jumper.,44,73
9:12,231,Devin Sibley Defensive Rebound.,44,73
9:09,231,Devin Sibley made Layup.,44,75
8:48,3243,Cooper George Turnover.,44,75
8:47,231,John Davis III Steal.,44,75
8:44,231,John Davis III made Layup.,44,77
8:24,3243,Justin Matthews missed Three Point Jumper.,44,77
8:24,3243,Nate Ellenwood Offensive Rebound.,44,77
8:20,3243,Nate Ellenwood missed Layup.,44,77
8:20,231,Alex Hunter Defensive Rebound.,44,77
8:11,231,Andrew Brown missed Three Point Jumper.,44,77
8:11,3243,Chris Gray Defensive Rebound.,44,77
7:48,3243,Chris Gray missed Layup.,44,77
7:48,231,Alex Hunter Defensive Rebound.,44,77
7:35,3243,Foul on Quiyante Burroughs.,44,77
7:34,231,Official TV Timeout,44,77
7:34,231,Devin Sibley made Free Throw.,44,78
7:34,231,Devin Sibley made Free Throw.,44,79
7:13,3243,Jayson Barnhart made Layup.,46,79
7:05,231,Geoff Beans missed Three Point Jumper.,46,79
7:05,3243,Bob Jones Defensive Rebound.,46,79
6:33,231,Foul on Jonathan Jean.,46,79
6:33,3243,Robert Horn missed Free Throw.,46,79
6:33,231,Andrew Brown Defensive Rebound.,46,79
6:26,231,Jordan Lyons made Layup.,46,81
6:05,3243,Quiyante Burroughs missed Layup.,46,81
6:05,231,Andrew Brown Defensive Rebound.,46,81
5:59,3243,Foul on Cooper George.,46,81
5:59,231,Andrew Brown made Free Throw.,46,82
5:59,231,Andrew Brown made Free Throw.,46,83
5:45,3243,Jayson Barnhart missed Jumper.,46,83
5:45,231,Jonathan Jean Defensive Rebound.,46,83
5:37,231,Jordan Lyons made Three Point Jumper. Assisted by Andrew Brown.,46,86
5:09,3243,Quiyante Burroughs missed Jumper.,46,86
5:09,231,Geoff Beans Defensive Rebound.,46,86
5:03,231,Jordan Lyons made Three Point Jumper. Assisted by Alex Hunter.,46,89
4:44,3243,Bob Jones  Timeout,46,89
4:37,3243,Dustin Killough Turnover.,46,89
4:16,231,Jordan Lyons made Three Point Jumper.,46,92
3:50,3243,Nate Ellenwood Turnover.,46,92
3:49,231,Geoff Beans Steal.,46,92
3:39,3243,Foul on Nate Ellenwood.,46,92
3:39,231,Official TV Timeout,46,92
3:39,231,Geoff Beans made Free Throw.,46,93
3:39,231,Geoff Beans missed Free Throw.,46,93
3:39,3243,Jayson Barnhart Defensive Rebound.,46,93
3:09,3243,Dustin Killough missed Three Point Jumper.,46,93
3:09,231,Furman Defensive Rebound.,46,93
2:55,231,Brady Schuck Turnover.,46,93
2:55,3243,Chris Gray Steal.,46,93
2:41,3243,Chris Gray missed Jumper.,46,93
2:41,231,Seve Stavroff Defensive Rebound.,46,93
2:33,231,Geoff Beans made Three Point Jumper. Assisted by Jonathan Jean.,46,96
2:17,3243,Dustin Killough missed Jumper.,46,96
2:17,231,Jalen Williams Defensive Rebound.,46,96
2:10,3243,Foul on Justin Matthews.,46,96
2:10,231,Jonathan Jean missed Free Throw.,46,96
2:10,231,Furman Deadball Team Rebound.,46,96
2:10,231,Jonathan Jean made Free Throw.,46,97
1:56,3243,Dustin Killough missed Jumper.,46,97
1:56,231,Jalen Williams Defensive Rebound.,46,97
1:49,231,Seve Stavroff missed Three Point Jumper.,46,97
1:49,3243,Jayson Barnhart Defensive Rebound.,46,97
1:31,3243,Justin Matthews missed Jumper.,46,97
1:31,231,Jalen Williams Defensive Rebound.,46,97
1:22,231,Jonathan Jean made Layup.,46,99
0:59,3243,Jayson Barnhart made Jumper.,48,99
0:41,231,Jalen Williams missed Jumper.,48,99
0:41,3243,Dustin Killough Defensive Rebound.,48,99
0:31,3243,Chris Gray missed Layup.,48,99
0:31,231,Geoff Beans Defensive Rebound.,48,99
0:25,3243,Foul on Jayson Barnhart.,48,99
0:25,231,Jalen Williams made Free Throw.,48,100
0:25,231,Jalen Williams made Free Throw.,48,101
0:20,231,Foul on Geoff Beans.,48,101
0:07,3243,Matt Dehart missed Free Throw.,48,101
0:07,3243,Bob Jones Deadball Team Rebound.,48,101
0:07,3243,Matt Dehart missed Free Throw.,48,101
0:07,231,Geoff Beans Defensive Rebound.,48,101
0:00,231,End of Game,48,101
