Fairleigh Dickinson,2550,Seton Hall,161
10:19,161,Darnell Edge missed Three Point Jumper.,17,22
10:19,161,Mike Holloway Jr. Offensive Rebound.,17,22
10:12,161,Kaleb Bishop missed Layup.,17,22
10:12,2550,Michael Nzei Defensive Rebound.,17,22
10:04,2550,Myles Powell missed Three Point Jumper.,17,22
10:04,161,Mike Holloway Jr. Defensive Rebound.,17,22
9:44,161,Mike Holloway Jr. missed Layup.,17,22
9:44,2550,Michael Nzei Defensive Rebound.,17,22
9:27,2550,Myles Powell made Three Point Jumper. Assisted by Khadeen Carrington.,17,25
9:11,161,Jahlil Jenkins missed Three Point Jumper.,17,25
9:11,2550,Michael Nzei Defensive Rebound.,17,25
9:03,2550,Desi Rodriguez made Three Point Jumper. Assisted by Khadeen Carrington.,17,28
8:58,161,Fairleigh Dickinson  Timeout,17,28
8:45,161,Kaleb Bishop missed Layup.,17,28
8:45,161,Kaleb Bishop Offensive Rebound.,17,28
8:41,161,Kaleb Bishop missed Layup.,17,28
8:41,2550,Ismael Sanogo Defensive Rebound.,17,28
8:36,2550,Myles Cale missed Layup.,17,28
8:36,161,Elyjah Williams Block.,17,28
8:35,2550,Seton Hall Offensive Rebound.,17,28
8:30,2550,Khadeen Carrington missed Jumper.,17,28
8:30,2550,Myles Cale Offensive Rebound.,17,28
8:27,2550,Myles Cale made Layup.,17,30
8:18,161,Elyjah Williams Turnover.,17,30
8:17,2550,Desi Rodriguez Steal.,17,30
8:15,2550,Myles Cale missed Layup.,17,30
8:15,2550,Myles Cale Offensive Rebound.,17,30
8:11,161,Foul on Kaleb Bishop.,17,30
8:11,2550,Ismael Sanogo missed Free Throw.,17,30
8:11,2550,Seton Hall Deadball Team Rebound.,17,30
8:11,2550,Ismael Sanogo made Free Throw.,17,31
8:02,161,Noah Morgan made Three Point Jumper. Assisted by Jahlil Jenkins.,20,31
7:52,2550,Ismael Sanogo missed Three Point Jumper.,20,31
7:52,2550,Sandro Mamukelashvili Offensive Rebound.,20,31
7:37,2550,Sandro Mamukelashvili missed Three Point Jumper.,20,31
7:37,161,Mike Holloway Jr. Defensive Rebound.,20,31
7:20,2550,Official TV Timeout,20,31
7:13,2550,Foul on Myles Cale.,20,31
7:06,161,Malik Miller missed Three Point Jumper.,20,31
7:06,2550,Myles Cale Defensive Rebound.,20,31
6:44,2550,Myles Cale made Three Point Jumper. Assisted by Jordan Walker.,20,34
6:16,161,Jahlil Jenkins missed Three Point Jumper.,20,34
6:16,161,Fairleigh Dickinson Offensive Rebound.,20,34
6:14,2550,Foul on Myles Cale.,20,34
5:59,161,Jahlil Jenkins missed Jumper.,20,34
5:59,2550,Ismael Sanogo Defensive Rebound.,20,34
5:54,2550,Khadeen Carrington made Layup.,20,36
5:47,161,Jahlil Jenkins Turnover.,20,36
5:42,2550,Khadeen Carrington missed Layup.,20,36
5:42,161,Fairleigh Dickinson Defensive Rebound.,20,36
5:23,161,Mike Holloway Jr. made Dunk. Assisted by Darnell Edge.,22,36
5:00,161,Foul on Mike Holloway Jr..,22,36
5:00,2550,Sandro Mamukelashvili made Free Throw.,22,37
5:00,2550,Sandro Mamukelashvili made Free Throw.,22,38
4:44,161,Darnell Edge made Jumper.,24,38
4:24,2550,Khadeen Carrington missed Three Point Jumper.,24,38
4:24,161,Fairleigh Dickinson Defensive Rebound.,24,38
4:23,2550,Foul on Angel Delgado.,24,38
4:11,2550,Foul on Ismael Sanogo.,24,38
4:11,161,Kaleb Bishop made Free Throw.,25,38
4:11,161,Kaleb Bishop made Free Throw.,26,38
3:48,161,Foul on Noah Morgan.,26,38
3:48,2550,Official TV Timeout,26,38
3:48,2550,Myles Powell made Free Throw.,26,39
3:48,2550,Myles Powell made Free Throw.,26,40
3:38,161,Mike Holloway Jr. missed Jumper.,26,40
3:38,2550,Myles Powell Defensive Rebound.,26,40
3:24,2550,Michael Nzei made Layup. Assisted by Eron Gordon.,26,42
3:10,161,Kaleb Bishop Turnover.,26,42
2:52,2550,Angel Delgado made Dunk. Assisted by Myles Powell.,26,44
2:37,2550,Foul on Myles Powell.,26,44
2:37,161,Pat McNamara missed Free Throw.,26,44
2:37,2550,Myles Powell Defensive Rebound.,26,44
2:20,2550,Khadeen Carrington missed Layup.,26,44
2:20,2550,Angel Delgado Offensive Rebound.,26,44
2:07,161,Foul on Nadi Beciri.,26,44
2:07,2550,Michael Nzei made Free Throw.,26,45
2:07,2550,Michael Nzei made Free Throw.,26,46
1:43,161,Elyjah Williams made Layup. Assisted by Darnell Edge.,28,46
1:33,2550,Khadeen Carrington Turnover.,28,46
1:32,161,Elyjah Williams Steal.,28,46
1:24,161,Kaleb Bishop missed Three Point Jumper.,28,46
1:24,2550,Seton Hall Defensive Rebound.,28,46
1:04,2550,Angel Delgado missed Layup.,28,46
1:04,2550,Angel Delgado Offensive Rebound.,28,46
1:00,161,Foul on Nadi Beciri.,28,46
1:00,2550,Angel Delgado missed Free Throw.,28,46
1:00,2550,Seton Hall Deadball Team Rebound.,28,46
1:00,2550,Angel Delgado missed Free Throw.,28,46
1:00,161,Mike Holloway Jr. Defensive Rebound.,28,46
0:49,161,Jahlil Jenkins Turnover.,28,46
0:49,2550,Jordan Walker Steal.,28,46
0:49,161,Foul on Mike Holloway Jr..,28,46
0:49,2550,Jordan Walker missed Free Throw.,28,46
0:49,2550,Seton Hall Deadball Team Rebound.,28,46
0:49,2550,Jordan Walker made Free Throw.,28,47
0:25,161,Mike Holloway Jr. missed Three Point Jumper.,28,47
0:25,2550,Michael Nzei Defensive Rebound.,28,47
0:01,2550,Desi Rodriguez missed Three Point Jumper.,28,47
0:01,2550,Seton Hall Deadball Team Rebound.,28,47
0:00,2550,End of 1st half,28,47
19:36,2550,Desi Rodriguez missed Three Point Jumper.,28,47
19:36,161,Jahlil Jenkins Defensive Rebound.,28,47
19:30,161,Darnell Edge made Layup. Assisted by Jahlil Jenkins.,30,47
19:30,2550,Foul on Michael Nzei.,30,47
19:30,161,Darnell Edge made Free Throw.,31,47
19:10,2550,Desi Rodriguez made Layup. Assisted by Angel Delgado.,31,49
18:38,2550,Foul on Michael Nzei.,31,49
18:34,161,Darnell Edge missed Three Point Jumper.,31,49
18:34,2550,Desi Rodriguez Defensive Rebound.,31,49
18:19,2550,Angel Delgado made Dunk. Assisted by Desi Rodriguez.,31,51
18:01,161,Mike Holloway Jr. made Jumper.,33,51
17:50,2550,Khadeen Carrington missed Three Point Jumper.,33,51
17:50,2550,Michael Nzei Offensive Rebound.,33,51
17:49,161,Foul on Darnell Edge.,33,51
17:40,2550,Myles Powell missed Three Point Jumper.,33,51
17:40,161,Jahlil Jenkins Defensive Rebound.,33,51
17:30,161,Jahlil Jenkins missed Three Point Jumper.,33,51
17:30,2550,Angel Delgado Defensive Rebound.,33,51
17:20,2550,Desi Rodriguez missed Layup.,33,51
17:20,2550,Khadeen Carrington Offensive Rebound.,33,51
17:18,2550,Khadeen Carrington made Layup.,33,53
17:10,161,Darnell Edge made Three Point Jumper. Assisted by Jahlil Jenkins.,36,53
16:39,161,Foul on Nadi Beciri.,36,53
16:39,2550,Desi Rodriguez made Free Throw.,36,54
16:39,2550,Desi Rodriguez made Free Throw.,36,55
16:25,161,Darnell Edge missed Layup.,36,55
16:25,2550,Angel Delgado Defensive Rebound.,36,55
16:10,2550,Angel Delgado missed Jumper.,36,55
16:10,161,Elyjah Williams Defensive Rebound.,36,55
16:00,161,Mike Holloway Jr. made Layup.,38,55
15:36,2550,Desi Rodriguez missed Jumper.,38,55
15:36,161,Elyjah Williams Defensive Rebound.,38,55
15:09,161,Darnell Edge Turnover.,38,55
15:09,2550,Official TV Timeout,38,55
15:04,2550,Myles Powell missed Dunk.,38,55
15:04,161,Kaleb Bishop Defensive Rebound.,38,55
14:36,2550,Foul on Angel Delgado.,38,55
14:36,161,Kaleb Bishop made Free Throw.,39,55
14:36,161,Kaleb Bishop made Free Throw.,40,55
14:26,2550,Angel Delgado made Layup. Assisted by Khadeen Carrington.,40,57
14:08,161,Kaleb Bishop missed Layup.,40,57
14:08,2550,Angel Delgado Defensive Rebound.,40,57
14:02,2550,Myles Cale made Layup. Assisted by Khadeen Carrington.,40,59
13:49,161,Foul on Elyjah Williams.,40,59
13:49,161,Mike Holloway Jr. missed Layup.,40,59
13:49,2550,Seton Hall Deadball Team Rebound.,40,59
13:19,2550,Khadeen Carrington made Layup.,40,61
13:02,161,Kaleb Bishop Turnover.,40,61
13:02,161,Foul on Kaleb Bishop.,40,61
12:49,2550,Ismael Sanogo made Layup. Assisted by Eron Gordon.,40,63
12:32,161,Mike Holloway Jr. Turnover.,40,63
12:14,2550,Sandro Mamukelashvili missed Layup.,40,63
12:14,161,Jahlil Jenkins Defensive Rebound.,40,63
12:08,161,Malik Miller made Three Point Jumper. Assisted by Jahlil Jenkins.,43,63
11:37,2550,Official TV Timeout,43,63
11:31,2550,Eron Gordon made Layup.,43,65
11:06,161,Malik Miller missed Three Point Jumper.,43,65
11:06,161,Fairleigh Dickinson Offensive Rebound.,43,65
10:56,161,Mike Holloway Jr. made Layup. Assisted by Malik Miller.,45,65
10:44,2550,Myles Cale made Layup.,45,67
10:44,161,Foul on Mike Holloway Jr..,45,67
10:44,2550,Myles Cale missed Free Throw.,45,67
10:44,161,Noah Morgan Defensive Rebound.,45,67
10:24,2550,Foul on Ismael Sanogo.,45,67
10:13,161,Noah Morgan missed Jumper.,45,67
10:13,2550,Myles Cale Defensive Rebound.,45,67
10:05,2550,Ismael Sanogo made Layup. Assisted by Myles Cale.,45,69
9:53,161,Kaleb Bishop Turnover.,45,69
9:53,161,Foul on Kaleb Bishop.,45,69
9:44,2550,Jordan Walker made Three Point Jumper. Assisted by Myles Cale.,45,72
9:23,161,Jahlil Jenkins missed Jumper.,45,72
9:23,2550,Sandro Mamukelashvili Defensive Rebound.,45,72
9:16,2550,Eron Gordon Turnover.,45,72
9:15,161,Elyjah Williams Steal.,45,72
9:12,161,Elyjah Williams missed Layup.,45,72
9:12,2550,Sandro Mamukelashvili Block.,45,72
9:10,2550,Eron Gordon Defensive Rebound.,45,72
9:06,2550,Angel Delgado missed Jumper.,45,72
9:06,2550,Jordan Walker Offensive Rebound.,45,72
8:51,2550,Myles Cale made Three Point Jumper. Assisted by Eron Gordon.,45,75
8:30,161,Mike Holloway Jr. Turnover.,45,75
8:29,2550,Myles Cale Steal.,45,75
8:28,2550,Sandro Mamukelashvili Turnover.,45,75
8:27,161,Noah Morgan Steal.,45,75
8:26,161,Noah Morgan made Dunk.,47,75
8:05,2550,Jordan Walker Turnover.,47,75
8:04,161,Darnell Edge Steal.,47,75
8:02,2550,Foul on Myles Cale.,47,75
8:02,161,Darnell Edge made Free Throw.,48,75
8:02,161,Darnell Edge made Free Throw.,49,75
7:44,2550,Myles Cale missed Three Point Jumper.,49,75
7:44,161,Darnell Edge Defensive Rebound.,49,75
7:35,161,Darnell Edge missed Layup.,49,75
7:35,2550,Myles Cale Block.,49,75
7:35,161,Fairleigh Dickinson Offensive Rebound.,49,75
7:35,2550,Official TV Timeout,49,75
7:35,2550,Foul on Myles Powell.,49,75
7:34,161,Noah Morgan made Three Point Jumper. Assisted by Pat McNamara.,52,75
7:14,161,Foul on Malik Miller.,52,75
7:14,2550,Eron Gordon made Free Throw.,52,76
7:14,2550,Eron Gordon missed Free Throw.,52,76
7:14,161,Darnell Edge Defensive Rebound.,52,76
7:00,161,Elyjah Williams missed Layup.,52,76
7:00,2550,Angel Delgado Defensive Rebound.,52,76
6:50,2550,Angel Delgado missed Layup.,52,76
6:50,2550,Angel Delgado Offensive Rebound.,52,76
6:50,161,Foul on Elyjah Williams.,52,76
6:50,2550,Angel Delgado made Free Throw.,52,77
6:50,2550,Angel Delgado made Free Throw.,52,78
6:50,2550,Seton Hall  Timeout,52,78
6:50,2550,Official TV Timeout,52,78
6:24,161,Pat McNamara made Three Point Jumper. Assisted by Jahlil Jenkins.,55,78
6:04,2550,Sandro Mamukelashvili made Three Point Jumper. Assisted by Myles Cale.,55,81
5:38,161,Darnell Edge missed Three Point Jumper.,55,81
5:38,161,Darnell Edge Offensive Rebound.,55,81
5:28,161,Mike Holloway Jr. missed Jumper.,55,81
5:28,2550,Jordan Walker Defensive Rebound.,55,81
5:22,2550,Sandro Mamukelashvili Turnover.,55,81
5:02,161,Mike Holloway Jr. missed Layup.,55,81
5:02,2550,Myles Cale Defensive Rebound.,55,81
4:43,2550,Michael Nzei Turnover.,55,81
4:30,161,Jahlil Jenkins made Layup.,57,81
4:30,2550,Foul on Sandro Mamukelashvili.,57,81
4:30,161,Jahlil Jenkins missed Free Throw.,57,81
4:30,2550,Michael Nzei Defensive Rebound.,57,81
4:08,2550,Eron Gordon made Layup.,57,83
4:08,161,Foul on Dondre Rhoden.,57,83
4:08,2550,Eron Gordon missed Free Throw.,57,83
4:08,161,Dondre Rhoden Defensive Rebound.,57,83
3:57,161,Darnell Edge made Three Point Jumper. Assisted by Dondre Rhoden.,60,83
3:44,2550,Michael Nzei missed Jumper.,60,83
3:44,161,Dondre Rhoden Defensive Rebound.,60,83
3:32,161,Fairleigh Dickinson  Timeout,60,83
3:32,2550,Official TV Timeout,60,83
3:23,161,Nadi Beciri made Layup.,62,83
3:23,2550,Foul on Sandro Mamukelashvili.,62,83
3:23,161,Nadi Beciri made Free Throw.,63,83
2:55,2550,Jordan Walker made Three Point Jumper.,63,86
2:34,2550,Foul on Michael Nzei.,63,86
2:34,161,Nadi Beciri missed Free Throw.,63,86
2:34,161,Fairleigh Dickinson Deadball Team Rebound.,63,86
2:34,161,Nadi Beciri missed Free Throw.,63,86
2:34,2550,Philip Flory Defensive Rebound.,63,86
2:03,2550,Seton Hall  Turnover.,63,86
1:56,2550,Foul on Jordan Walker.,63,86
1:56,161,Noah Morgan made Free Throw.,64,86
1:56,161,Noah Morgan made Free Throw.,65,86
1:30,2550,Jordan Walker Turnover.,65,86
1:13,161,Mike Schroback made Three Point Jumper.,68,86
0:38,2550,Sandro Mamukelashvili missed Layup.,68,86
0:38,161,Dondre Rhoden Block.,68,86
0:35,2550,Sandro Mamukelashvili Offensive Rebound.,68,86
0:34,2550,Sandro Mamukelashvili made Layup.,68,88
0:21,161,Noah Morgan missed Three Point Jumper.,68,88
0:21,161,Dondre Rhoden Offensive Rebound.,68,88
0:17,2550,Foul on Jordan Walker.,68,88
0:17,161,Dondre Rhoden missed Free Throw.,68,88
0:17,161,Fairleigh Dickinson Deadball Team Rebound.,68,88
0:17,161,Dondre Rhoden missed Free Throw.,68,88
0:17,2550,Shavar Reynolds Defensive Rebound.,68,88
0:01,2550,Shavar Reynolds made Jumper. Assisted by Myles Cale.,68,90
0:00,2550,End of Game,68,90
