Summit,Error,Liberty,2335
13:05,-1,Will Smoot Defensive Rebound.,2,19
12:54,-1,Preston Huckaby missed Three Point Jumper.,2,19
12:54,2335,Liberty Defensive Rebound.,2,19
12:42,2335,Keegan McDowell made Layup. Assisted by Myo Baxter-Bell.,2,21
12:21,-1,Donald Miller Turnover.,2,21
12:20,2335,Scottie James Steal.,2,21
12:18,2335,Scottie James made Layup.,2,23
12:00,2335,Foul on Elijah Cuffee.,2,23
12:00,2335,Official TV Timeout,2,23
12:00,-1,Will Smoot made Jumper.,4,23
11:35,-1,Will Smoot missed Three Point Jumper.,4,23
11:35,2335,Liberty Defensive Rebound.,4,23
11:14,-1,Foul on Donald Miller.,4,23
11:14,2335,Georgie Pacheco-Ortiz made Free Throw.,4,24
11:14,2335,Georgie Pacheco-Ortiz made Free Throw.,4,25
10:57,2335,Foul on Georgie Pacheco-Ortiz.,4,25
10:33,-1,Will Smoot made Jumper.,6,25
10:24,2335,Ryan Kemrite missed Three Point Jumper.,6,25
10:24,-1,Clarks Summit Defensive Rebound.,6,25
10:21,2335,Foul on Scottie James.,6,25
10:06,-1,Preston Huckaby made Layup.,8,25
9:47,2335,Lovell Cabbil missed Three Point Jumper.,8,25
9:47,-1,Myron Prescott Defensive Rebound.,8,25
9:34,2335,Foul on Ezra Talbert.,8,25
9:34,-1,Will Smoot made Free Throw.,9,25
9:34,-1,Will Smoot made Free Throw.,10,25
9:16,2335,Myo Baxter-Bell made Layup.,10,27
8:52,-1,John McCloskey missed Three Point Jumper.,10,27
8:52,-1,Reed Plantz Offensive Rebound.,10,27
8:29,-1,Preston Huckaby Turnover.,10,27
8:28,2335,Elijah Cuffee Steal.,10,27
8:26,2335,Elijah Cuffee missed Layup.,10,27
8:26,-1,Preston Huckaby Block.,10,27
8:26,2335,Liberty Offensive Rebound.,10,27
8:25,2335,Ryan Kemrite missed Three Point Jumper.,10,27
8:25,2335,Isaiah Williams Offensive Rebound.,10,27
8:22,-1,Foul on Reed Plantz.,10,27
8:12,-1,Foul on Reed Plantz.,10,27
8:12,2335,Isaiah Williams made Free Throw.,10,28
8:12,2335,Isaiah Williams missed Free Throw.,10,28
8:12,-1,Preston Huckaby Defensive Rebound.,10,28
8:04,-1,John McCloskey Turnover.,10,28
8:02,2335,Keegan McDowell Steal.,10,28
7:56,2335,Keegan McDowell Turnover.,10,28
7:53,-1,Will Smoot Steal.,10,28
7:50,2335,Official TV Timeout,10,28
7:37,2335,Foul on Elijah Cuffee.,10,28
7:37,-1,Preston Huckaby made Free Throw.,11,28
7:37,-1,Preston Huckaby made Free Throw.,12,28
7:27,-1,Foul on Will Smoot.,12,28
7:27,2335,Georgie Pacheco-Ortiz missed Free Throw.,12,28
7:27,2335,Liberty Deadball Team Rebound.,12,28
7:27,2335,Georgie Pacheco-Ortiz made Free Throw.,12,29
7:02,-1,Foul on Preston Huckaby.,12,29
7:02,-1,Preston Huckaby Turnover.,12,29
7:02,2335,Georgie Pacheco-Ortiz made Free Throw.,12,30
7:02,2335,Georgie Pacheco-Ortiz made Free Throw.,12,31
6:43,-1,Preston Huckaby missed Jumper.,12,31
6:43,2335,Lovell Cabbil Defensive Rebound.,12,31
6:26,2335,Keegan McDowell missed Jumper.,12,31
6:26,2335,Ezra Talbert Offensive Rebound.,12,31
6:21,2335,Ezra Talbert made Layup.,12,33
5:52,-1,Will Smoot missed Three Point Jumper.,12,33
5:52,-1,Hudson Spaulding Offensive Rebound.,12,33
5:46,-1,John McCloskey made Three Point Jumper.,15,33
5:46,2335,Liberty  Timeout,15,33
5:25,2335,Foul on Keegan McDowell.,15,33
5:25,2335,Keegan McDowell Turnover.,15,33
5:14,-1,Preston Huckaby Turnover.,15,33
5:13,2335,Keegan McDowell Steal.,15,33
5:09,2335,Isaiah Williams missed Layup.,15,33
5:09,2335,Ezra Talbert Offensive Rebound.,15,33
5:04,2335,Ezra Talbert made Layup.,15,35
4:44,-1,Preston Huckaby missed Layup.,15,35
4:44,-1,Hudson Spaulding Offensive Rebound.,15,35
4:39,-1,Hudson Spaulding made Jumper.,17,35
4:26,2335,Ryan Kemrite missed Three Point Jumper.,17,35
4:26,-1,Myron Prescott Defensive Rebound.,17,35
4:04,-1,Will Smoot Turnover.,17,35
3:40,2335,Keegan McDowell missed Three Point Jumper.,17,35
3:40,2335,Scottie James Offensive Rebound.,17,35
3:40,-1,Foul on Noah Rawlings.,17,35
3:40,2335,Official TV Timeout,17,35
3:39,2335,Scottie James missed Free Throw.,17,35
3:39,2335,Liberty Deadball Team Rebound.,17,35
3:39,2335,Scottie James made Free Throw.,17,36
3:28,-1,Will Smoot Turnover.,17,36
3:26,2335,Scottie James Steal.,17,36
3:21,2335,Keegan McDowell made Three Point Jumper. Assisted by Ryan Kemrite.,17,39
3:05,-1,Myron Prescott Turnover.,17,39
3:04,2335,Ryan Kemrite Steal.,17,39
3:01,2335,Scottie James made Layup. Assisted by Ryan Kemrite.,17,41
3:01,-1,Foul on Will Smoot.,17,41
3:01,2335,Scottie James made Free Throw.,17,42
2:40,-1,Preston Huckaby missed Layup.,17,42
2:40,2335,Brody Hicks Block.,17,42
2:34,2335,Scottie James Defensive Rebound.,17,42
2:26,2335,Lovell Cabbil missed Three Point Jumper.,17,42
2:26,2335,Ryan Kemrite Offensive Rebound.,17,42
2:06,2335,Keegan McDowell made Layup.,17,44
1:52,-1,Preston Huckaby missed Layup.,17,44
1:52,2335,Brody Hicks Block.,17,44
1:48,2335,Brody Hicks Defensive Rebound.,17,44
1:46,2335,Keegan McDowell made Layup. Assisted by Brody Hicks.,17,46
1:37,-1,Clarks Summit  Timeout,17,46
1:18,-1,Noah Rawlings missed Three Point Jumper.,17,46
1:18,2335,Ezra Talbert Defensive Rebound.,17,46
1:05,2335,Keegan McDowell missed Three Point Jumper.,17,46
1:05,-1,Hudson Spaulding Defensive Rebound.,17,46
0:43,-1,Hudson Spaulding missed Jumper.,17,46
0:43,2335,Ezra Talbert Defensive Rebound.,17,46
0:36,2335,Isaiah Williams made Dunk. Assisted by Lovell Cabbil.,17,48
0:24,-1,John McCloskey missed Three Point Jumper.,17,48
0:24,-1,Clarks Summit Offensive Rebound.,17,48
0:23,2335,Foul on Keegan McDowell.,17,48
0:23,-1,Matthew Thomas missed Free Throw.,17,48
0:23,-1,Clarks Summit Deadball Team Rebound.,17,48
0:23,-1,Matthew Thomas made Free Throw.,18,48
0:00,2335,End of 1st half,18,48
19:42,-1,Foul on Donald Miller.,18,48
19:42,2335,Ezra Talbert missed Free Throw.,18,48
19:42,2335,Liberty Deadball Team Rebound.,18,48
19:42,2335,Ezra Talbert missed Free Throw.,18,48
19:42,-1,Reed Plantz Defensive Rebound.,18,48
19:16,-1,Antwan Bradley missed Three Point Jumper.,18,48
19:16,2335,Liberty Defensive Rebound.,18,48
18:56,2335,Myo Baxter-Bell made Layup.,18,50
18:31,-1,Preston Huckaby made Jumper.,20,50
18:06,2335,Myo Baxter-Bell missed Jumper.,20,50
18:06,2335,Ezra Talbert Offensive Rebound.,20,50
18:00,2335,Ezra Talbert made Layup.,20,52
17:39,2335,Foul on Myo Baxter-Bell.,20,52
17:32,2335,Foul on Ryan Kemrite.,20,52
17:17,-1,John McCloskey made Three Point Jumper. Assisted by Antwan Bradley.,23,52
16:57,2335,Ryan Kemrite missed Three Point Jumper.,23,52
16:57,-1,Antwan Bradley Defensive Rebound.,23,52
16:35,-1,Preston Huckaby missed Jumper.,23,52
16:35,2335,Myo Baxter-Bell Defensive Rebound.,23,52
16:12,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by Myo Baxter-Bell.,23,55
15:57,-1,Foul on Preston Huckaby.,23,55
15:57,-1,Preston Huckaby Turnover.,23,55
15:57,2335,Official TV Timeout,23,55
15:40,2335,Lovell Cabbil made Layup. Assisted by Caleb Homesley.,23,57
15:33,-1,Will Smoot missed Layup.,23,57
15:33,2335,Lovell Cabbil Defensive Rebound.,23,57
14:54,2335,Lovell Cabbil made Three Point Jumper. Assisted by Caleb Homesley.,23,60
14:41,-1,Foul on Steven Marvin.,23,60
14:41,-1,Steven Marvin Turnover.,23,60
14:20,-1,Foul on Reed Plantz.,23,60
14:20,2335,Isaiah Williams made Free Throw.,23,61
14:20,2335,Isaiah Williams missed Free Throw.,23,61
14:20,-1,Hudson Spaulding Defensive Rebound.,23,61
14:18,2335,Foul on Scottie James.,23,61
14:11,2335,Foul on Keegan McDowell.,23,61
13:52,-1,Antwan Bradley missed Three Point Jumper.,23,61
13:52,2335,Caleb Homesley Defensive Rebound.,23,61
13:45,2335,Elijah Cuffee missed Layup.,23,61
13:45,2335,Elijah Cuffee Offensive Rebound.,23,61
13:38,2335,Caleb Homesley made Layup.,23,63
13:21,-1,Hudson Spaulding Turnover.,23,63
13:01,2335,Elijah Cuffee missed Three Point Jumper.,23,63
13:01,-1,Donald Miller Defensive Rebound.,23,63
12:33,-1,John McCloskey missed Layup.,23,63
12:33,2335,Scottie James Block.,23,63
12:31,2335,Elijah Cuffee Defensive Rebound.,23,63
12:29,2335,Scottie James Turnover.,23,63
12:12,2335,Foul on Ryan Kemrite.,23,63
12:09,-1,John McCloskey missed Three Point Jumper.,23,63
12:09,2335,Elijah Cuffee Defensive Rebound.,23,63
11:59,-1,Foul on Stephen Berger.,23,63
11:59,2335,Caleb Homesley missed Free Throw.,23,63
11:59,2335,Liberty Deadball Team Rebound.,23,63
11:59,2335,Caleb Homesley made Free Throw.,23,64
11:44,-1,John McCloskey Turnover.,23,64
11:42,2335,Caleb Homesley Steal.,23,64
11:40,2335,Caleb Homesley Turnover.,23,64
11:29,-1,John McCloskey missed Three Point Jumper.,23,64
11:29,2335,Ryan Kemrite Defensive Rebound.,23,64
11:09,2335,Scottie James missed Three Point Jumper.,23,64
11:09,-1,Trice High Defensive Rebound.,23,64
10:37,-1,Clarks Summit  Turnover.,23,64
10:17,2335,Elijah Cuffee made Three Point Jumper. Assisted by Isaiah Williams.,23,67
9:56,-1,Donald Miller made Layup. Assisted by John McCloskey.,25,67
9:43,-1,Foul on Donald Miller.,25,67
9:43,2335,Isaiah Williams made Free Throw.,25,68
9:43,2335,Isaiah Williams made Free Throw.,25,69
9:28,-1,Myron Prescott missed Jumper.,25,69
9:28,2335,Lovell Cabbil Defensive Rebound.,25,69
9:21,2335,Isaiah Williams Turnover.,25,69
9:21,-1,Preston Huckaby Steal.,25,69
9:19,2335,Foul on Ryan Kemrite.,25,69
9:08,2335,Foul on Ryan Kemrite.,25,69
9:08,-1,Preston Huckaby made Free Throw.,26,69
9:08,-1,Preston Huckaby made Free Throw.,27,69
8:53,2335,Myo Baxter-Bell missed Layup.,27,69
8:53,-1,John McCloskey Block.,27,69
8:53,2335,Liberty Offensive Rebound.,27,69
8:42,2335,Myo Baxter-Bell Turnover.,27,69
8:40,-1,Myron Prescott Steal.,27,69
8:33,-1,Preston Huckaby missed Layup.,27,69
8:33,2335,Caleb Homesley Defensive Rebound.,27,69
8:19,-1,Foul on John McCloskey.,27,69
8:19,2335,Myo Baxter-Bell made Free Throw.,27,70
8:11,2335,Foul on Isaiah Williams.,27,70
8:11,-1,Preston Huckaby made Free Throw.,28,70
8:11,-1,Preston Huckaby made Free Throw.,29,70
8:01,-1,Foul on Will Smoot.,29,70
8:01,2335,Keegan McDowell made Free Throw.,29,71
8:01,2335,Keegan McDowell made Free Throw.,29,72
7:35,-1,Myron Prescott missed Three Point Jumper.,29,72
7:35,-1,Brion Elliott Offensive Rebound.,29,72
7:34,2335,Foul on Caleb Homesley.,29,72
7:33,2335,Official TV Timeout,29,72
7:32,-1,Brion Elliott made Free Throw.,30,72
7:32,-1,Brion Elliott missed Free Throw.,30,72
7:32,2335,Myo Baxter-Bell Defensive Rebound.,30,72
7:24,2335,Official TV Timeout,29,72
7:19,2335,Myo Baxter-Bell Turnover.,30,72
7:17,-1,Steven Marvin Steal.,30,72
6:54,-1,Will Smoot made Layup.,32,72
6:42,-1,Foul on Brion Elliott.,32,72
6:42,2335,Elijah Cuffee made Free Throw.,32,73
6:42,2335,Elijah Cuffee made Free Throw.,32,74
6:27,-1,Steven Marvin missed Three Point Jumper.,32,74
6:27,2335,Scottie James Defensive Rebound.,32,74
6:22,-1,Foul on Will Smoot.,32,74
6:22,2335,Scottie James missed Free Throw.,32,74
6:22,2335,Liberty Deadball Team Rebound.,32,74
6:22,2335,Scottie James made Free Throw.,32,75
6:00,-1,Will Smoot Turnover.,32,75
5:51,2335,Elijah Cuffee missed Three Point Jumper.,32,75
5:51,-1,Myron Prescott Defensive Rebound.,32,75
5:32,-1,Myron Prescott made Three Point Jumper.,35,75
5:12,2335,Caleb Homesley Turnover.,35,75
5:10,-1,Brion Elliott Steal.,35,75
5:06,-1,Brion Elliott made Layup. Assisted by Will Smoot.,37,75
4:53,2335,Elijah Cuffee missed Layup.,37,75
4:53,-1,Donald Miller Defensive Rebound.,37,75
4:36,-1,Donald Miller missed Layup.,37,75
4:36,2335,Scottie James Defensive Rebound.,37,75
4:16,-1,Foul on Donald Miller.,37,75
4:16,2335,Isaiah Williams made Free Throw.,37,76
4:16,2335,Isaiah Williams made Free Throw.,37,77
4:16,2335,Isaiah Williams made Free Throw.,37,78
4:06,-1,Antwan Bradley missed Three Point Jumper.,37,78
4:06,-1,Antwan Bradley Offensive Rebound.,37,78
3:51,2335,Foul on Keegan McDowell.,37,78
3:51,2335,Official TV Timeout,37,78
3:51,-1,Antwan Bradley missed Free Throw.,37,78
3:51,-1,Clarks Summit Deadball Team Rebound.,37,78
3:51,-1,Antwan Bradley made Free Throw.,38,78
3:41,2335,Elijah Cuffee Turnover.,38,78
3:28,-1,Will Smoot made Layup.,40,78
3:04,2335,Elijah Cuffee missed Three Point Jumper.,40,78
3:04,-1,Myron Prescott Defensive Rebound.,40,78
2:56,-1,Will Smoot made Layup.,42,78
2:40,-1,Foul on Reed Plantz.,42,78
2:40,2335,Isaiah Williams made Free Throw.,42,79
2:40,2335,Isaiah Williams made Free Throw.,42,80
2:30,-1,Myron Prescott Turnover.,42,80
2:28,2335,Elijah Cuffee Steal.,42,80
2:11,2335,Ezra Talbert missed Three Point Jumper.,42,80
2:11,-1,Trice High Defensive Rebound.,42,80
1:57,-1,Brion Elliott missed Jumper.,42,80
1:57,2335,Zach Farquhar Defensive Rebound.,42,80
1:51,2335,Brody Hicks missed Three Point Jumper.,42,80
1:51,2335,Ezra Talbert Offensive Rebound.,42,80
1:42,2335,Zach Farquhar made Layup.,42,82
1:42,2335,Zach Farquhar missed Free Throw.,42,82
1:42,-1,Steven Doerler Defensive Rebound.,42,82
1:24,-1,Issac Sidman missed Three Point Jumper.,42,82
1:24,2335,Brody Hicks Defensive Rebound.,42,82
1:08,2335,Ezra Talbert made Dunk.,42,84
0:54,-1,Brayam Dominguez Turnover.,42,84
0:52,2335,Elijah Cuffee Steal.,42,84
0:49,2335,Elijah Cuffee made Layup.,42,86
0:49,-1,Foul on Yancy Butler.,42,86
0:49,2335,Liberty  Timeout,42,86
0:49,2335,Elijah Cuffee made Free Throw.,42,87
0:32,-1,Steven Doerler missed Jumper.,42,87
0:32,2335,Elijah Cuffee Defensive Rebound.,42,87
0:00,2335,End of Game,42,87
