Tennessee Wesleyan,Error,Jacksonville State,55
15:54,55,Jason Burnell Offensive Rebound.,4,6
15:49,55,Jason Burnell Turnover.,4,6
15:48,-1,Djimon Wilson Steal.,4,6
15:46,55,Foul on Ashton Spears.,4,6
15:46,-1,Tennessee Wesleyan  Timeout,4,6
15:35,55,Foul on Ashton Spears.,4,6
15:27,-1,Jalen Oliver Turnover.,4,6
15:14,55,Malcolm Drumwright made Three Point Jumper. Assisted by Jason Burnell.,4,9
14:55,-1,Andre Applewhite missed Jumper.,4,9
14:55,55,Jason Burnell Defensive Rebound.,4,9
14:47,55,Norbertas Giga made Layup. Assisted by Tyrik Edwards.,4,11
14:34,-1,Jalen Oliver missed Three Point Jumper.,4,11
14:34,-1,Kenny Dean Offensive Rebound.,4,11
14:29,-1,Kenny Dean missed Layup.,4,11
14:29,55,Jason Burnell Defensive Rebound.,4,11
14:20,-1,Foul on Jalen Oliver.,4,11
14:20,55,Malcolm Drumwright made Free Throw.,4,12
14:20,55,Malcolm Drumwright made Free Throw.,4,13
14:01,-1,Djimon Wilson missed Jumper.,4,13
14:01,55,Jacara Cross Defensive Rebound.,4,13
13:57,-1,Foul on Kenny Dean.,4,13
13:41,55,Marlon Hunter made Layup. Assisted by Jacara Cross.,4,15
13:10,-1,Andre Applewhite missed Three Point Jumper.,4,15
13:10,55,Tyrik Edwards Defensive Rebound.,4,15
13:05,55,Jason Burnell made Layup. Assisted by Tyrik Edwards.,4,17
12:49,-1,Jalen Oliver made Three Point Jumper. Assisted by Kenny Dean.,7,17
12:31,55,Jacara Cross missed Layup.,7,17
12:31,-1,Andre Applewhite Defensive Rebound.,7,17
12:13,55,Foul on Jacara Cross.,7,17
12:13,-1,Jalen Oliver made Free Throw.,8,17
12:13,-1,Jalen Oliver made Free Throw.,9,17
12:02,55,Tyrik Edwards missed Layup.,9,17
12:02,-1,Jalen Oliver Defensive Rebound.,9,17
11:54,-1,Jalen Oliver missed Layup.,9,17
11:54,55,Marlon Hunter Defensive Rebound.,9,17
11:49,55,Marlon Hunter made Layup.,9,19
11:44,-1,Foul on Aundre Reid.,9,19
11:44,55,Jacara Cross Turnover.,9,19
11:44,-1,Tennessee Wesleyan  Timeout,9,19
11:26,-1,Darius Filer missed Jumper.,9,19
11:26,55,Jamall Gregory Offensive Rebound.,9,19
11:10,-1,Jordan Hall missed Three Point Jumper.,9,19
11:10,55,Jamall Gregory Defensive Rebound.,9,19
11:02,55,Marlon Hunter Turnover.,9,19
10:59,-1,Johnson Decembre Steal.,9,19
10:49,-1,Aundre Reid made Jumper.,11,19
10:29,-1,Foul on Kenny Dean.,11,19
10:29,55,Cam Martin missed Free Throw.,11,19
10:29,55,Jacksonville State Deadball Team Rebound.,11,19
10:29,55,Cam Martin missed Free Throw.,11,19
10:29,-1,Jordan Hall Defensive Rebound.,11,19
10:09,55,Foul on Cam Martin.,11,19
9:59,-1,Johnson Decembre missed Jumper.,11,19
9:59,55,Tyrik Edwards Defensive Rebound.,11,19
9:38,-1,Foul on Johnson Decembre.,11,19
9:38,55,Cam Martin missed Free Throw.,11,19
9:38,55,Jacksonville State Deadball Team Rebound.,11,19
9:38,55,Cam Martin missed Free Throw.,11,19
9:38,-1,Andre Applewhite Defensive Rebound.,11,19
9:29,-1,Jordan Hall Turnover.,11,19
9:28,55,Jamall Gregory Steal.,11,19
9:23,55,Jamall Gregory missed Layup.,11,19
9:23,-1,Aundre Reid Defensive Rebound.,11,19
9:10,-1,Andre Applewhite missed Three Point Jumper.,11,19
9:10,55,Cam Martin Defensive Rebound.,11,19
8:57,55,Malcolm Drumwright made Three Point Jumper. Assisted by Tyrik Edwards.,11,22
8:30,-1,Joshua Chairs made Three Point Jumper.,14,22
8:09,55,Jamall Gregory Turnover.,14,22
8:07,-1,Joshua Chairs Steal.,14,22
8:04,-1,Joshua Chairs missed Layup.,14,22
8:04,55,Jason Burnell Defensive Rebound.,14,22
7:59,-1,Foul on Jordan Hall.,14,22
7:58,55,Jacksonville State  Timeout,14,22
7:58,55,Tyrik Edwards missed Free Throw.,14,22
7:58,-1,Tennessee Wesleyan Defensive Rebound.,14,22
7:42,-1,Aundre Reid missed Layup.,14,22
7:42,55,Norbertas Giga Block.,14,22
7:41,55,Norbertas Giga Defensive Rebound.,14,22
7:34,55,Foul on Malcolm Drumwright.,14,22
7:34,55,Malcolm Drumwright Turnover.,14,22
7:14,-1,Aundre Reid missed Three Point Jumper.,14,22
7:14,55,Christian Cunningham Defensive Rebound.,14,22
7:04,55,Marlon Hunter made Layup.,14,24
6:54,55,Foul on Marlon Hunter.,14,24
6:54,-1,Johnson Decembre missed Free Throw.,14,24
6:54,-1,Tennessee Wesleyan Deadball Team Rebound.,14,24
6:54,-1,Johnson Decembre missed Free Throw.,14,24
6:54,55,Norbertas Giga Defensive Rebound.,14,24
6:46,55,Marlon Hunter missed Jumper.,14,24
6:46,-1,Joshua Chairs Defensive Rebound.,14,24
6:38,-1,Joshua Chairs missed Three Point Jumper.,14,24
6:38,55,Marlon Hunter Defensive Rebound.,14,24
6:09,55,Norbertas Giga made Jumper. Assisted by Tyrik Edwards.,14,26
5:49,-1,Aundre Reid missed Jumper.,14,26
5:49,55,Christian Cunningham Defensive Rebound.,14,26
5:41,55,Mohamed Abuarisha missed Three Point Jumper.,14,26
5:41,-1,Joshua Chairs Defensive Rebound.,14,26
5:33,-1,Johnson Decembre missed Three Point Jumper.,14,26
5:33,55,Christian Cunningham Defensive Rebound.,14,26
5:20,55,Christian Cunningham made Layup. Assisted by Tyrik Edwards.,14,28
5:01,-1,Andre Applewhite Turnover.,14,28
4:48,55,Norbertas Giga Turnover.,14,28
4:24,-1,Djimon Wilson missed Three Point Jumper.,14,28
4:24,55,Ashton Spears Defensive Rebound.,14,28
4:06,55,Christian Cunningham made Dunk. Assisted by Ashton Spears.,14,30
3:58,-1,Kenny Dean made Three Point Jumper. Assisted by Jalen Oliver.,17,30
3:44,55,Ashton Spears made Three Point Jumper. Assisted by Maurice Dunlap.,17,33
3:29,-1,Kenny Dean missed Layup.,17,33
3:29,55,Christian Cunningham Block.,17,33
3:29,-1,Tennessee Wesleyan Offensive Rebound.,17,33
3:29,-1,Tennessee Wesleyan  Timeout,17,33
3:04,-1,Tennessee Wesleyan  Timeout,17,33
3:02,-1,Jalen Oliver missed Three Point Jumper.,17,33
3:02,55,Jacksonville State Defensive Rebound.,17,33
2:47,55,Mohamed Abuarisha Turnover.,17,33
2:45,-1,Jalen Oliver Steal.,17,33
2:43,-1,Matt Randolph Turnover.,17,33
2:41,55,Jacara Cross Steal.,17,33
2:40,-1,Foul on Antoine Williams.,17,33
2:40,55,Jacara Cross missed Free Throw.,17,33
2:40,55,Jacksonville State Deadball Team Rebound.,17,33
2:40,55,Jacara Cross made Free Throw.,17,34
2:14,-1,Jalen Oliver missed Jumper.,17,34
2:14,-1,Matt Randolph Offensive Rebound.,17,34
2:10,-1,Matt Randolph missed Jumper.,17,34
2:10,55,Ashton Spears Defensive Rebound.,17,34
2:08,-1,Foul on Djimon Wilson.,17,34
2:08,55,Ashton Spears made Free Throw.,17,35
2:08,55,Ashton Spears made Free Throw.,17,36
1:48,-1,Johnson Decembre made Jumper.,19,36
1:36,55,Mohamed Abuarisha missed Jumper.,19,36
1:36,55,Jason Burnell Offensive Rebound.,19,36
1:32,-1,Foul on Johnson Decembre.,19,36
1:32,55,Jason Burnell made Free Throw.,19,37
1:32,55,Jason Burnell missed Free Throw.,19,37
1:32,-1,Kenny Dean Defensive Rebound.,19,37
1:24,-1,Kenny Dean missed Layup.,19,37
1:24,-1,Tennessee Wesleyan Offensive Rebound.,19,37
1:21,55,Foul on Maurice Dunlap.,19,37
1:21,-1,Johnson Decembre missed Free Throw.,19,37
1:21,55,Cam Martin Defensive Rebound.,19,37
1:05,55,Jason Burnell missed Three Point Jumper.,19,37
1:05,55,Jamall Gregory Offensive Rebound.,19,37
0:54,55,Maurice Dunlap made Three Point Jumper. Assisted by Tyrik Edwards.,19,40
0:32,55,Foul on Cam Martin.,19,40
0:32,-1,Johnson Decembre made Free Throw.,20,40
0:32,-1,Johnson Decembre made Free Throw.,21,40
0:10,-1,Foul on Jalen Oliver.,21,40
0:10,55,Tyrik Edwards made Free Throw.,21,41
0:10,55,Tyrik Edwards missed Free Throw.,21,41
0:10,-1,Andre Applewhite Defensive Rebound.,21,41
0:04,-1,Andre Applewhite missed Three Point Jumper.,21,41
0:04,55,Jason Burnell Block.,21,41
0:02,55,Jamall Gregory Defensive Rebound.,21,41
0:01,55,Jamall Gregory made Three Point Jumper.,21,44
0:00,55,End of 1st half,21,44
19:47,-1,Foul on Djimon Wilson.,21,44
19:45,55,Maurice Dunlap made Free Throw.,21,45
19:45,55,Maurice Dunlap made Free Throw.,21,46
19:45,55,Maurice Dunlap made Free Throw.,21,47
19:17,-1,Jalen Oliver missed Three Point Jumper.,21,47
19:17,55,Christian Cunningham Defensive Rebound.,21,47
19:06,55,Maurice Dunlap made Three Point Jumper. Assisted by Malcolm Drumwright.,21,50
18:46,-1,Djimon Wilson missed Jumper.,21,50
18:46,55,Jamall Gregory Defensive Rebound.,21,50
18:35,55,Jamall Gregory made Three Point Jumper. Assisted by Malcolm Drumwright.,21,53
18:25,-1,Djimon Wilson Turnover.,21,53
18:23,55,Jamall Gregory Steal.,21,53
18:16,55,Jamall Gregory made Layup. Assisted by Maurice Dunlap.,21,55
18:11,-1,Tennessee Wesleyan  Timeout,21,55
18:05,55,Foul on Malcolm Drumwright.,21,55
17:53,-1,Jalen Oliver missed Jumper.,21,55
17:53,55,Jamall Gregory Defensive Rebound.,21,55
17:39,55,Malcolm Drumwright made Three Point Jumper. Assisted by Jamall Gregory.,21,58
17:25,-1,Djimon Wilson missed Three Point Jumper.,21,58
17:25,55,Christian Cunningham Defensive Rebound.,21,58
17:12,55,Jamall Gregory missed Three Point Jumper.,21,58
17:12,55,Christian Cunningham Offensive Rebound.,21,58
17:06,-1,Foul on Djimon Wilson.,21,58
17:03,55,Norbertas Giga missed Three Point Jumper.,21,58
17:03,55,Christian Cunningham Offensive Rebound.,21,58
16:58,55,Norbertas Giga missed Jumper.,21,58
16:58,-1,Kenny Dean Defensive Rebound.,21,58
16:35,-1,Kenny Dean missed Three Point Jumper.,21,58
16:35,55,Malcolm Drumwright Defensive Rebound.,21,58
16:28,55,Maurice Dunlap made Free Throw.,21,59
16:28,55,Maurice Dunlap made Free Throw.,21,60
16:28,55,Maurice Dunlap made Free Throw.,21,61
16:22,-1,Foul on Jordan Hall.,21,61
16:15,-1,Joshua Chairs made Jumper.,23,61
16:12,-1,Technical Foul on Joshua Chairs.,23,61
16:12,55,Ashton Spears missed Free Throw.,23,61
16:12,55,Jacksonville State Deadball Team Rebound.,23,61
16:12,55,Ashton Spears made Free Throw.,23,62
15:43,55,Ashton Spears Turnover.,23,62
15:43,-1,Tennessee Wesleyan  Timeout,23,62
15:24,-1,Kenny Dean missed Three Point Jumper.,23,62
15:24,-1,Johnson Decembre Offensive Rebound.,23,62
15:17,-1,Aundre Reid missed Three Point Jumper.,23,62
15:17,55,Tyrik Edwards Defensive Rebound.,23,62
15:11,55,Jason Burnell made Free Throw.,23,63
15:11,55,Jason Burnell missed Free Throw.,23,63
15:11,-1,Joshua Chairs Defensive Rebound.,23,63
15:10,55,Ashton Spears missed Three Point Jumper.,23,63
15:10,55,Jason Burnell Offensive Rebound.,23,63
15:06,-1,Foul on Joshua Chairs.,23,63
14:56,-1,Johnson Decembre Turnover.,23,63
14:52,55,Jason Burnell Steal.,23,63
14:49,55,Tyrik Edwards made Layup. Assisted by Jason Burnell.,23,65
14:34,-1,Aundre Reid missed Layup.,23,65
14:34,55,Jacara Cross Block.,23,65
14:32,-1,Joshua Chairs Offensive Rebound.,23,65
14:27,55,Foul on Jacara Cross.,23,65
14:13,-1,Johnson Decembre made Three Point Jumper. Assisted by Kenny Dean.,26,65
13:59,55,Jacara Cross missed Layup.,26,65
13:59,-1,Kenny Dean Defensive Rebound.,26,65
13:53,-1,Joshua Chairs missed Three Point Jumper.,26,65
13:53,-1,Aundre Reid Offensive Rebound.,26,65
13:48,-1,Aundre Reid missed Layup.,26,65
13:48,55,Jason Burnell Defensive Rebound.,26,65
13:47,-1,Foul on Kenny Dean.,26,65
13:47,55,Jason Burnell made Free Throw.,26,66
13:47,55,Jason Burnell made Free Throw.,26,67
13:35,-1,Aundre Reid made Three Point Jumper.,29,67
13:18,55,Jacara Cross made Layup. Assisted by Jason Burnell.,29,69
13:10,-1,Jordan Hall missed Three Point Jumper.,29,69
13:10,55,Jason Burnell Defensive Rebound.,29,69
13:02,55,Jacara Cross made Layup. Assisted by Tyrik Edwards.,29,71
12:41,-1,Johnson Decembre missed Layup.,29,71
12:41,55,Jason Burnell Defensive Rebound.,29,71
12:36,55,Jason Burnell Turnover.,29,71
12:35,-1,Joshua Chairs Steal.,29,71
12:30,-1,Johnson Decembre Turnover.,29,71
12:18,55,Marlon Hunter missed Three Point Jumper.,29,71
12:18,-1,Johnson Decembre Defensive Rebound.,29,71
11:51,-1,Kenny Dean Turnover.,29,71
11:50,55,Marlon Hunter Steal.,29,71
11:48,55,Marlon Hunter made Layup.,29,73
11:48,-1,Foul on Joshua Chairs.,29,73
11:48,55,Jacksonville State  Timeout,29,73
11:48,55,Marlon Hunter made Free Throw.,29,74
11:35,-1,Joshua Chairs missed Jumper.,29,74
11:35,55,Ashton Spears Defensive Rebound.,29,74
11:29,55,Cam Martin Turnover.,29,74
11:29,55,Foul on Cam Martin.,29,74
11:14,-1,Johnson Decembre made Jumper.,31,74
11:02,-1,Foul on Johnson Decembre.,31,74
11:02,55,Cam Martin missed Free Throw.,31,74
11:02,55,Jacksonville State Deadball Team Rebound.,31,74
11:02,55,Cam Martin missed Free Throw.,31,74
11:02,55,Marlon Hunter Offensive Rebound.,31,74
11:02,55,Marlon Hunter missed Layup.,31,74
11:02,55,Cam Martin Offensive Rebound.,31,74
10:59,55,Cam Martin made Layup.,31,76
10:38,-1,Kenny Dean Turnover.,31,76
10:29,-1,Foul on Johnson Decembre.,31,76
10:29,55,Cam Martin made Free Throw.,31,77
10:29,55,Cam Martin made Free Throw.,31,78
10:06,-1,Noah Fager missed Layup.,31,78
10:06,55,Cam Martin Defensive Rebound.,31,78
10:01,55,Jason Burnell made Layup.,31,80
9:52,-1,Darius Filer made Three Point Jumper. Assisted by Jalen Oliver.,34,80
9:33,55,Marlon Hunter made Three Point Jumper. Assisted by Ashton Spears.,34,83
9:16,-1,Darius Filer missed Three Point Jumper.,34,83
9:16,55,Ashton Spears Defensive Rebound.,34,83
9:09,55,Jason Burnell made Layup. Assisted by Ashton Spears.,34,85
8:42,-1,Darius Filer Turnover.,34,85
8:29,-1,Foul on Todd Lansden.,34,85
8:29,55,Jamall Gregory made Free Throw.,34,86
8:19,-1,Todd Lansden Turnover.,34,86
8:19,-1,Foul on Todd Lansden.,34,86
8:07,55,Jamall Gregory missed Three Point Jumper.,34,86
8:07,-1,Noah Fager Defensive Rebound.,34,86
7:50,-1,Todd Lansden missed Jumper.,34,86
7:50,55,Cam Martin Defensive Rebound.,34,86
7:41,55,Cam Martin made Three Point Jumper. Assisted by Malcolm Drumwright.,34,89
7:13,-1,Noah Fager missed Jumper.,34,89
7:13,55,Jamall Gregory Defensive Rebound.,34,89
7:00,55,Cam Martin missed Three Point Jumper.,34,89
7:00,-1,Darius Filer Defensive Rebound.,34,89
6:54,-1,Jalen Oliver missed Three Point Jumper.,34,89
6:54,55,Cam Martin Defensive Rebound.,34,89
6:43,55,Mohamed Abuarisha missed Three Point Jumper.,34,89
6:43,-1,Todd Lansden Defensive Rebound.,34,89
6:33,-1,Tennessee Wesleyan  Timeout,34,89
6:32,-1,Todd Lansden missed Jumper.,34,89
6:32,-1,Tennessee Wesleyan Offensive Rebound.,34,89
6:13,-1,Joshua Chairs missed Three Point Jumper.,34,89
6:13,-1,Darius Filer Offensive Rebound.,34,89
5:58,-1,Todd Lansden missed Layup.,34,89
5:58,55,Christian Cunningham Block.,34,89
5:57,-1,Tennessee Wesleyan Offensive Rebound.,34,89
5:47,-1,Joshua Chairs Turnover.,34,89
5:46,55,Jamall Gregory Steal.,34,89
5:41,55,Christian Cunningham missed Layup.,34,89
5:41,-1,Darius Filer Defensive Rebound.,34,89
5:36,55,Foul on Cam Martin.,34,89
5:36,-1,Darius Filer missed Free Throw.,34,89
5:36,-1,Tennessee Wesleyan Deadball Team Rebound.,34,89
5:36,-1,Darius Filer missed Free Throw.,34,89
5:36,55,Christian Cunningham Defensive Rebound.,34,89
5:19,-1,Foul on Darius Filer.,34,89
5:19,55,Jamall Gregory missed Free Throw.,34,89
5:19,55,Jacksonville State Deadball Team Rebound.,34,89
5:19,55,Jamall Gregory made Free Throw.,34,90
4:54,-1,Bryson Baker Turnover.,34,90
4:46,55,Mohamed Abuarisha made Three Point Jumper. Assisted by Jacara Cross.,34,93
4:34,-1,Todd Lansden missed Jumper.,34,93
4:34,-1,Tennessee Wesleyan Offensive Rebound.,34,93
4:02,-1,Darius Filer missed Jumper.,34,93
4:02,55,Jacara Cross Defensive Rebound.,34,93
3:55,55,Maurice Dunlap missed Three Point Jumper.,34,93
3:55,-1,Joshua Chairs Defensive Rebound.,34,93
3:46,-1,Darius Filer missed Three Point Jumper.,34,93
3:46,-1,Todd Lansden Offensive Rebound.,34,93
3:40,-1,Todd Lansden made Jumper.,36,93
3:21,-1,Foul on Todd Lansden.,36,93
3:21,55,Jacksonville State  Timeout,36,93
3:21,55,Jacara Cross missed Free Throw.,36,93
3:21,55,Jacksonville State Deadball Team Rebound.,36,93
3:21,55,Jacara Cross missed Free Throw.,36,93
3:21,-1,Todd Lansden Defensive Rebound.,36,93
3:06,-1,Joshua Chairs missed Layup.,36,93
3:06,-1,Tennessee Wesleyan Offensive Rebound.,36,93
2:57,-1,Bryson Baker made Layup.,38,93
2:40,55,Mohamed Abuarisha missed Jumper.,38,93
2:40,55,Mohamed Abuarisha Offensive Rebound.,38,93
2:32,55,Jacara Cross made Layup. Assisted by Des Curry.,38,95
2:04,-1,Darius Filer missed Jumper.,38,95
2:04,55,Cam Martin Defensive Rebound.,38,95
1:56,55,Cam Martin missed Three Point Jumper.,38,95
1:56,-1,Joshua Chairs Defensive Rebound.,38,95
1:49,-1,Joshua Chairs made Jumper.,40,95
1:28,55,Mohamed Abuarisha made Three Point Jumper. Assisted by Maurice Dunlap.,40,98
1:05,-1,Noah Fager missed Jumper.,40,98
1:05,55,Mohamed Abuarisha Defensive Rebound.,40,98
0:55,55,Cam Martin made Layup. Assisted by Jacara Cross.,40,100
0:46,-1,Darius Filer missed Jumper.,40,100
0:46,55,Maurice Dunlap Defensive Rebound.,40,100
0:34,55,Des Curry missed Three Point Jumper.,40,100
0:34,-1,Todd Lansden Defensive Rebound.,40,100
0:24,-1,Joshua Chairs missed Three Point Jumper.,40,100
0:24,-1,Todd Lansden Offensive Rebound.,40,100
0:17,-1,Noah Fager made Layup. Assisted by Joshua Chairs.,42,100
0:00,55,End of Game,42,100
