Nicholls,292,UT Rio Grande Valley,2447
18:39,292,Nick Dixon made Free Throw.,53,57
18:29,2447,Legend Robertin missed Layup.,53,57
18:29,292,Moe McDonald Defensive Rebound.,53,57
18:21,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Moe McDonald.,53,60
18:13,2447,Kevin Johnson Turnover.,53,60
18:13,292,Xavier McDaniel Jr. Steal.,53,60
18:12,292,Official TV Timeout,53,60
18:06,292,Javon Levi missed Three Point Jumper.,53,60
18:06,292,Xavier McDaniel Jr. Offensive Rebound.,53,60
17:59,292,Xavier McDaniel Jr. Turnover.,53,60
17:50,2447,Kevin Johnson missed Three Point Jumper.,53,60
17:50,2447,Legend Robertin Offensive Rebound.,53,60
17:45,292,Foul on Moe McDonald.,53,60
17:45,2447,Legend Robertin made Free Throw.,54,60
17:45,2447,Legend Robertin made Free Throw.,55,60
17:35,292,Xavier McDaniel Jr. missed Layup.,55,60
17:35,292,Nick Dixon Offensive Rebound.,55,60
17:34,2447,Foul on Lafayette Rutledge.,55,60
17:32,292,Moe McDonald missed Three Point Jumper.,55,60
17:32,2447,Legend Robertin Defensive Rebound.,55,60
17:25,2447,Legend Robertin made Layup. Assisted by Roddy Peters.,57,60
17:13,292,Moe McDonald missed Layup.,57,60
17:13,292,Moe McDonald Offensive Rebound.,57,60
17:07,292,Javon Levi missed Layup.,57,60
17:07,292,Nick Dixon Offensive Rebound.,57,60
17:01,292,Xavier McDaniel Jr. made Three Point Jumper. Assisted by Nick Dixon.,57,63
16:41,292,Foul on Xavier McDaniel Jr..,57,63
16:41,2447,Roddy Peters made Free Throw.,58,63
16:41,2447,Roddy Peters made Free Throw.,59,63
16:35,2447,Foul on Daniel Regis.,59,63
16:35,292,Moe McDonald missed Free Throw.,59,63
16:35,292,UT Rio Grande Valley Deadball Team Rebound.,59,63
16:35,292,Moe McDonald missed Free Throw.,59,63
16:35,2447,Maurice O'Field Defensive Rebound.,59,63
16:29,2447,Roddy Peters made Layup.,61,63
16:19,292,Mike Hoffman missed Three Point Jumper.,61,63
16:19,292,Lesley Varner Jr. Offensive Rebound.,61,63
16:14,292,Lesley Varner Jr. made Layup.,61,65
16:03,2447,Roddy Peters Turnover.,61,65
16:02,292,Mike Hoffman Steal.,61,65
15:59,292,Moe McDonald made Layup. Assisted by Mike Hoffman.,61,67
15:52,2447,Foul on Roddy Peters.,61,67
15:52,2447,Roddy Peters Turnover.,61,67
15:52,292,Official TV Timeout,61,67
15:50,292,Jordan Jackson made Layup. Assisted by Lew Stallworth.,61,69
15:36,292,Foul on Mike Hoffman.,61,69
15:36,2447,Kimani Jackson missed Free Throw.,61,69
15:36,2447,Nicholls Deadball Team Rebound.,61,69
15:36,2447,Kimani Jackson made Free Throw.,62,69
15:16,2447,Foul on Zaquavian Smith.,62,69
15:16,292,Jordan Jackson made Free Throw.,62,70
15:16,292,Jordan Jackson missed Free Throw.,62,70
15:16,2447,Maurice O'Field Defensive Rebound.,62,70
15:05,2447,Kevin Johnson missed Jumper.,62,70
15:05,2447,Kevin Johnson Offensive Rebound.,62,70
15:00,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,65,70
14:49,292,Mike Hoffman missed Three Point Jumper.,65,70
14:49,2447,Maurice O'Field Defensive Rebound.,65,70
14:40,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Kevin Johnson.,68,70
14:26,2447,Foul on Maurice O'Field.,68,70
14:26,292,Jordan Jackson made Free Throw.,68,71
