Jacksonville,5,UAB,294
13:21,294,Damien Sears Defensive Rebound.,11,13
13:15,294,Devin Harris missed Three Point Jumper.,11,13
13:15,5,Zack Bryant Defensive Rebound.,11,13
13:08,5,Zack Bryant made Layup.,11,15
12:39,294,Cody Helgeland missed Layup.,11,15
12:39,5,Jalen Perry Block.,11,15
12:36,5,Lewis Sullivan Defensive Rebound.,11,15
12:32,5,UAB  Timeout,11,15
12:16,5,Lewis Sullivan made Layup. Assisted by Zack Bryant.,11,17
11:58,294,Cody Helgeland made Three Point Jumper.,14,17
11:42,5,Zack Bryant made Layup.,14,19
11:25,294,Tanner Rubio Turnover.,14,19
11:24,5,Lewis Sullivan Steal.,14,19
11:20,5,Zack Bryant made Layup. Assisted by Lewis Sullivan.,14,21
11:04,294,Tanner Rubio made Jumper.,16,21
10:51,5,Deion Lavender Turnover.,16,21
10:51,5,Official TV Timeout,16,21
10:50,294,Jacksonville  Turnover.,16,21
10:49,5,Nick Norton missed Three Point Jumper.,16,21
10:49,294,Devin Harris Defensive Rebound.,16,21
10:37,294,Cody Helgeland missed Layup.,16,21
10:37,5,Makhtar Gueye Defensive Rebound.,16,21
10:29,294,Foul on Tanner Rubio.,16,21
10:29,5,Deion Lavender missed Free Throw.,16,21
10:29,294,Jacksonville Deadball Team Rebound.,16,21
10:29,5,Deion Lavender made Free Throw.,16,22
10:19,294,JD Notae missed Layup.,16,22
10:19,5,Lewis Sullivan Block.,16,22
10:19,294,JD Notae Offensive Rebound.,16,22
10:19,294,JD Notae Turnover.,16,22
10:15,5,Chris Cokley made Dunk. Assisted by Nick Norton.,16,24
10:06,294,Tanner Rubio missed Three Point Jumper.,16,24
10:06,5,Chris Cokley Defensive Rebound.,16,24
9:51,5,Lewis Sullivan Turnover.,16,24
9:30,294,Tanner Rubio Turnover.,16,24
9:30,294,Foul on Tanner Rubio.,16,24
9:13,5,Jalen Perry missed Jumper.,16,24
9:13,294,Lee Richmond Defensive Rebound.,16,24
9:04,294,Cody Helgeland Turnover.,16,24
9:02,5,Lewis Sullivan Steal.,16,24
8:58,5,Lewis Sullivan Turnover.,16,24
8:56,294,Lee Richmond Steal.,16,24
8:37,294,Devin Harris missed Layup.,16,24
8:37,5,Chris Cokley Defensive Rebound.,16,24
8:28,5,Chris Cokley made Layup. Assisted by Nick Norton.,16,26
8:06,294,Radwan Bakkali missed Layup.,16,26
8:06,5,Chris Cokley Defensive Rebound.,16,26
7:58,294,Foul on Lee Richmond.,16,26
7:58,5,Official TV Timeout,16,26
7:35,5,Nick Norton Turnover.,16,26
7:33,294,Devin Harris Steal.,16,26
7:32,294,Devin Harris made Dunk.,18,26
7:10,5,Chris Cokley made Dunk. Assisted by Nick Norton.,18,28
6:51,294,JD Notae missed Three Point Jumper.,18,28
6:51,5,Chris Cokley Defensive Rebound.,18,28
6:39,5,Chris Cokley made Jumper. Assisted by Jalen Perry.,18,30
6:18,5,Foul on Jalen Perry.,18,30
6:18,294,Corey Romich Turnover.,18,30
6:18,294,Foul on Corey Romich.,18,30
5:56,5,William Lee missed Three Point Jumper.,18,30
5:56,294,Cody Helgeland Defensive Rebound.,18,30
5:49,5,Foul on Zack Bryant.,18,30
5:37,294,Cody Helgeland missed Three Point Jumper.,18,30
5:36,5,Chris Cokley Defensive Rebound.,18,30
5:34,294,Foul on Damien Sears.,18,30
5:34,5,Chris Cokley made Free Throw.,18,31
5:34,5,Chris Cokley made Free Throw.,18,32
5:21,294,Damien Sears Turnover.,18,32
5:00,5,William Lee made Jumper. Assisted by Nick Norton.,18,34
5:00,294,Foul on Lee Richmond.,18,34
5:00,5,William Lee made Free Throw.,18,35
4:47,294,Cody Helgeland missed Three Point Jumper.,18,35
4:47,5,Makhtar Gueye Defensive Rebound.,18,35
4:29,5,Nate Darling missed Three Point Jumper.,18,35
4:29,294,Cody Helgeland Defensive Rebound.,18,35
4:22,294,JD Notae made Three Point Jumper. Assisted by Devin Harris.,21,35
3:58,5,Chris Cokley missed Jumper.,21,35
3:58,294,Damien Sears Defensive Rebound.,21,35
3:51,294,Cody Helgeland missed Three Point Jumper.,21,35
3:51,5,Chris Cokley Defensive Rebound.,21,35
3:36,5,Chris Cokley Turnover.,21,35
3:36,5,Official TV Timeout,21,35
3:26,5,Foul on Nate Darling.,21,35
3:11,294,Cody Helgeland missed Three Point Jumper.,21,35
3:11,5,Lewis Sullivan Defensive Rebound.,21,35
3:02,5,Zack Bryant missed Jumper.,21,35
3:02,294,Devin Harris Defensive Rebound.,21,35
2:52,294,JD Notae made Three Point Jumper. Assisted by Damien Sears.,24,35
2:46,294,Jacksonville  Timeout,24,35
2:37,5,Chris Cokley made Jumper.,24,37
1:58,294,JD Notae made Three Point Jumper.,27,37
1:52,5,Chris Cokley made Layup. Assisted by Nate Darling.,27,39
1:32,294,JD Notae missed Layup.,27,39
1:32,5,Jalen Perry Defensive Rebound.,27,39
1:23,5,Nate Darling Turnover.,27,39
1:22,294,Damien Sears Steal.,27,39
1:16,5,Foul on Lewis Sullivan.,27,39
1:16,294,Devin Harris missed Free Throw.,27,39
1:16,294,Jacksonville Deadball Team Rebound.,27,39
1:16,294,Devin Harris missed Free Throw.,27,39
1:16,5,Chris Cokley Defensive Rebound.,27,39
1:08,5,Nick Norton Turnover.,27,39
1:07,294,Damien Sears Steal.,27,39
1:04,5,Foul on Lewis Sullivan.,27,39
1:04,294,Damien Sears missed Free Throw.,27,39
1:04,294,Jacksonville Deadball Team Rebound.,27,39
1:04,294,Damien Sears missed Free Throw.,27,39
1:04,5,William Lee Defensive Rebound.,27,39
1:04,5,William Lee made Layup. Assisted by Chris Cokley.,27,41
1:04,294,Damien Sears Turnover.,27,41
1:04,5,Nick Norton Steal.,27,41
1:03,5,Chris Cokley made Layup.,27,43
0:32,294,Devin Harris missed Jumper.,27,43
0:32,5,William Lee Defensive Rebound.,27,43
0:00,5,End of 1st half,27,43
19:51,5,William Lee made Dunk. Assisted by Chris Cokley.,27,45
19:25,294,Cody Helgeland missed Layup.,27,45
19:25,5,William Lee Defensive Rebound.,27,45
19:14,5,Nate Darling made Layup. Assisted by William Lee.,27,47
18:50,294,JD Notae made Layup.,29,47
18:36,5,Nick Norton missed Three Point Jumper.,29,47
18:36,294,Radwan Bakkali Defensive Rebound.,29,47
18:25,294,Tanner Rubio made Layup.,31,47
18:25,5,Foul on Chris Cokley.,31,47
18:25,294,Tanner Rubio made Free Throw.,32,47
18:13,5,William Lee made Jumper. Assisted by Zack Bryant.,32,49
17:58,294,Radwan Bakkali Turnover.,32,49
17:56,5,Zack Bryant Steal.,32,49
17:53,5,Zack Bryant made Dunk.,32,51
17:30,294,Radwan Bakkali made Jumper. Assisted by JD Notae.,34,51
17:09,5,Nate Darling Turnover.,34,51
16:57,294,Tanner Rubio made Three Point Jumper.,37,51
16:46,5,Chris Cokley missed Layup.,37,51
16:46,5,Chris Cokley Offensive Rebound.,37,51
16:41,5,Chris Cokley made Dunk. Assisted by Nate Darling.,37,53
16:15,294,Cody Helgeland missed Three Point Jumper.,37,53
16:15,294,Radwan Bakkali Offensive Rebound.,37,53
16:09,294,Devin Harris made Layup. Assisted by Radwan Bakkali.,39,53
15:49,5,William Lee made Three Point Jumper. Assisted by Zack Bryant.,39,56
15:42,5,Official TV Timeout,39,56
15:41,294,Tanner Rubio missed Three Point Jumper.,39,56
15:41,5,Jalen Perry Defensive Rebound.,39,56
15:31,5,Chris Cokley made Jumper. Assisted by Zack Bryant.,39,58
15:22,294,Devin Harris made Layup.,41,58
15:22,5,Foul on Jalen Perry.,41,58
15:22,294,Devin Harris made Free Throw.,42,58
15:07,294,Foul on Tanner Rubio.,42,58
15:07,5,Jalen Perry made Free Throw.,42,59
15:07,5,Jalen Perry made Free Throw.,42,60
14:51,5,Foul on Deion Lavender.,42,60
14:51,294,JD Notae made Free Throw.,43,60
14:51,294,JD Notae missed Free Throw.,43,60
14:51,5,Lewis Sullivan Defensive Rebound.,43,60
14:40,5,Deion Lavender Turnover.,43,60
14:31,294,JD Notae missed Layup.,43,60
14:31,5,Deion Lavender Defensive Rebound.,43,60
14:18,5,Jalen Perry missed Three Point Jumper.,43,60
14:18,5,Chris Cokley Offensive Rebound.,43,60
14:09,5,Chris Cokley made Two Point Tip Shot.,43,62
13:59,5,Foul on Lewis Sullivan.,43,62
13:47,294,Tanner Rubio made Layup.,45,62
13:31,5,Lewis Sullivan made Layup. Assisted by Chris Cokley.,45,64
13:13,294,Damien Sears Turnover.,45,64
13:13,294,Foul on Damien Sears.,45,64
12:55,5,Jalen Perry missed Three Point Jumper.,45,64
12:55,294,Tanner Rubio Defensive Rebound.,45,64
12:42,294,JD Notae made Three Point Jumper. Assisted by Devin Harris.,48,64
12:27,5,Zack Bryant Turnover.,48,64
12:26,294,Devin Harris Steal.,48,64
12:23,294,Devin Harris missed Layup.,48,64
12:23,294,Devin Harris Offensive Rebound.,48,64
12:20,294,Devin Harris made Layup.,50,64
12:18,5,UAB  Timeout,50,64
12:03,5,Lewis Sullivan missed Layup.,50,64
12:03,294,Damien Sears Block.,50,64
11:58,294,Jacksonville Defensive Rebound.,50,64
11:44,294,Tanner Rubio missed Three Point Jumper.,50,64
11:44,5,Lewis Sullivan Defensive Rebound.,50,64
11:19,5,Nick Norton made Three Point Jumper. Assisted by Nate Darling.,50,67
11:15,5,Official TV Timeout,50,67
11:15,294,Damien Sears made Free Throw.,51,67
11:15,294,Damien Sears made Free Throw.,52,67
11:09,5,Foul on Makhtar Gueye.,52,67
11:00,5,Jalen Perry Turnover.,52,67
10:45,5,Foul on Jalen Perry.,52,67
10:39,5,Foul on Nick Norton.,52,67
10:34,294,Tanner Rubio missed Free Throw.,52,67
10:34,294,Jacksonville Deadball Team Rebound.,52,67
10:25,294,Foul on Devin Harris.,52,67
10:20,5,Nick Norton missed Jumper.,52,67
10:20,294,Devin Harris Defensive Rebound.,52,67
10:16,294,Devin Harris Turnover.,52,67
10:16,294,Tanner Rubio missed Free Throw.,52,67
10:16,5,UAB Defensive Rebound.,52,67
10:15,5,Jalen Perry made Three Point Jumper. Assisted by Chris Cokley.,52,70
9:55,294,Damien Sears Turnover.,52,70
9:45,5,Zack Bryant made Dunk. Assisted by Nick Norton.,52,72
9:25,294,Cody Helgeland missed Layup.,52,72
9:25,294,Radwan Bakkali Offensive Rebound.,52,72
9:22,294,Radwan Bakkali made Jumper.,54,72
9:09,294,Foul on Tanner Rubio.,54,72
9:09,5,Nick Norton made Free Throw.,54,73
9:09,5,Nick Norton made Free Throw.,54,74
8:57,294,Cody Helgeland missed Three Point Jumper.,54,74
8:57,294,JD Notae Offensive Rebound.,54,74
8:43,294,JD Notae missed Three Point Jumper.,54,74
8:43,294,Cody Helgeland Offensive Rebound.,54,74
8:32,294,JD Notae missed Jumper.,54,74
8:32,5,Lewis Sullivan Defensive Rebound.,54,74
8:29,294,Foul on Cody Helgeland.,54,74
8:12,294,Foul on JD Notae.,54,74
8:12,5,Zack Bryant missed Free Throw.,54,74
8:12,5,UAB Deadball Team Rebound.,54,74
8:12,5,Zack Bryant made Free Throw.,54,75
8:01,294,Corey Romich made Three Point Jumper. Assisted by Devin Harris.,57,75
7:46,5,Makhtar Gueye made Three Point Jumper. Assisted by Zack Bryant.,57,78
7:23,294,Devin Harris missed Jumper.,57,78
7:23,5,UAB Defensive Rebound.,57,78
7:22,5,Zack Bryant missed Free Throw.,57,78
7:22,294,Cody Helgeland Defensive Rebound.,57,78
7:19,294,Foul on Radwan Bakkali.,57,78
7:19,5,Official TV Timeout,57,78
7:09,294,JD Notae missed Three Point Jumper.,57,78
7:09,5,Makhtar Gueye Defensive Rebound.,57,78
6:59,5,Lewis Sullivan Turnover.,57,78
6:48,294,Radwan Bakkali missed Jumper.,57,78
6:48,5,Zack Bryant Defensive Rebound.,57,78
6:33,5,Jalen Perry missed Layup.,57,78
6:33,5,Jalen Perry Offensive Rebound.,57,78
6:28,5,Jalen Perry made Free Throw.,57,79
6:28,294,JD Notae Offensive Rebound.,57,78
6:28,294,Foul on Radwan Bakkali.,57,78
6:28,5,Jalen Perry missed Free Throw.,57,79
6:28,294,Damien Sears Defensive Rebound.,57,79
6:28,5,Foul on Lewis Sullivan.,57,79
6:28,294,Damien Sears missed Free Throw.,57,79
6:28,5,Foul on Makhtar Gueye.,57,79
6:28,294,JD Notae missed Free Throw.,57,79
6:28,5,Chris Cokley Defensive Rebound.,57,79
6:07,5,Nate Darling made Layup.,57,81
5:44,294,JD Notae missed Three Point Jumper.,57,81
5:44,5,Chris Cokley Defensive Rebound.,57,81
5:32,294,Foul on JD Notae.,57,81
5:32,5,UAB  Timeout,57,81
5:32,5,Zack Bryant made Free Throw.,57,82
5:32,5,Zack Bryant made Free Throw.,57,83
5:25,294,Jalyn Hinton Turnover.,57,83
5:22,5,William Lee missed Three Point Jumper.,57,83
5:22,294,Cody Helgeland Defensive Rebound.,57,83
5:08,294,Tanner Rubio missed Layup.,57,83
5:08,5,William Lee Block.,57,83
5:04,294,Jalyn Hinton Offensive Rebound.,57,83
5:02,294,Jalyn Hinton missed Layup.,57,83
5:02,5,William Lee Block.,57,83
4:57,5,Zack Bryant Defensive Rebound.,57,83
4:48,294,Foul on Corey Romich.,57,83
4:44,5,Jalen Perry made Free Throw.,57,84
4:44,5,Jalen Perry made Free Throw.,57,85
4:29,294,Corey Romich made Three Point Jumper. Assisted by Devin Harris.,60,85
4:11,294,Foul on Cody Helgeland.,60,85
4:11,5,Chris Cokley made Free Throw.,60,86
4:11,5,Chris Cokley made Free Throw.,60,87
4:03,294,Devin Harris Turnover.,60,87
4:03,294,Foul on Devin Harris.,60,87
3:48,5,Makhtar Gueye made Jumper. Assisted by Zack Bryant.,60,89
3:36,294,Damien Sears made Dunk. Assisted by Lee Richmond.,62,89
3:31,5,UAB  Timeout,62,89
3:22,5,Deion Lavender Turnover.,62,89
3:20,294,Damien Sears Steal.,62,89
3:16,294,Cody Helgeland missed Three Point Jumper.,62,89
3:16,5,Zack Bryant Defensive Rebound.,62,89
2:58,5,Lewis Sullivan made Layup. Assisted by Zack Bryant.,62,91
2:35,294,Devin Harris made Layup. Assisted by Corey Romich.,64,91
2:35,5,Foul on Makhtar Gueye.,64,91
2:35,294,Devin Harris made Free Throw.,65,91
2:35,5,Makhtar Gueye made Three Point Jumper.,65,94
2:35,294,Damien Sears made Layup. Assisted by Corey Romich.,67,94
2:22,5,Makhtar Gueye Turnover.,67,94
1:24,294,Devin Harris missed Three Point Jumper.,67,94
1:24,5,Lewis Sullivan Defensive Rebound.,67,94
1:17,5,Deion Lavender made Layup.,67,96
1:09,294,Corey Romich missed Three Point Jumper.,67,96
1:09,5,Thomas Smallwood Defensive Rebound.,67,96
0:39,5,Thomas Smallwood missed Three Point Jumper.,67,96
0:39,5,Makhtar Gueye Offensive Rebound.,67,96
0:02,5,UAB  Turnover.,67,96
0:00,5,End of Game,67,96
