Texas A&amp;M,277,West Virginia,245
8:27,277,Wesley Harris made Three Point Jumper. Assisted by Daxter Miles Jr..,13,26
7:59,245,TJ Starks missed Jumper.,13,26
7:59,245,Tyler Davis Offensive Rebound.,13,26
7:56,245,Tyler Davis made Layup.,15,26
7:34,277,Sagaba Konate Turnover.,15,26
7:34,245,TJ Starks Steal.,15,26
7:29,245,Admon Gilder made Layup.,17,26
7:02,277,Wesley Harris Turnover.,17,26
7:02,245,DJ Hogg Steal.,17,26
6:58,245,Tyler Davis Turnover.,17,26
6:58,277,Official TV Timeout,17,26
6:50,277,Lamont West made Three Point Jumper. Assisted by Teddy Allen.,17,29
6:35,245,DJ Hogg made Three Point Jumper. Assisted by Admon Gilder.,20,29
6:02,277,James Bolden missed Jumper.,20,29
6:02,245,DJ Hogg Defensive Rebound.,20,29
5:54,245,Admon Gilder made Three Point Jumper. Assisted by Savion Flagg.,23,29
5:29,277,James Bolden Turnover.,23,29
5:29,245,Duane Wilson Steal.,23,29
5:21,245,Duane Wilson missed Layup.,23,29
5:21,277,Maciej Bender Block.,23,29
5:21,277,Maciej Bender Defensive Rebound.,23,29
5:16,277,Chase Harler made Layup. Assisted by Teddy Allen.,23,31
4:59,245,Tyler Davis made Dunk. Assisted by Admon Gilder.,25,31
4:39,277,James Bolden missed Three Point Jumper.,25,31
4:39,245,Duane Wilson Block.,25,31
4:39,277,James Bolden Offensive Rebound.,25,31
4:32,245,Foul on Duane Wilson.,25,31
4:18,245,Foul on Tonny Trocha-Morelos.,25,31
4:18,277,Sagaba Konate missed Free Throw.,25,31
4:18,277,West Virginia Deadball Team Rebound.,25,31
4:18,277,Sagaba Konate missed Free Throw.,25,31
4:18,245,Tonny Trocha-Morelos Defensive Rebound.,25,31
4:06,245,TJ Starks missed Layup.,25,31
4:06,277,Sagaba Konate Block.,25,31
4:06,277,Daxter Miles Jr. Defensive Rebound.,25,31
4:00,277,Chase Harler missed Three Point Jumper.,25,31
4:00,245,TJ Starks Defensive Rebound.,25,31
3:54,245,TJ Starks missed Layup.,25,31
3:54,277,Chase Harler Block.,25,31
3:50,245,Tyler Davis Offensive Rebound.,25,31
3:50,245,Tyler Davis made Layup.,27,31
3:50,277,Foul on Chase Harler.,27,31
3:50,277,Official TV Timeout,27,31
3:50,245,Tyler Davis made Free Throw.,28,31
3:40,277,Daxter Miles Jr. missed Layup.,28,31
3:40,245,Tyler Davis Defensive Rebound.,28,31
3:21,277,Foul on Lamont West.,28,31
3:21,245,Duane Wilson made Free Throw.,29,31
3:21,245,Duane Wilson made Free Throw.,30,31
3:12,277,Teddy Allen missed Three Point Jumper.,30,31
3:12,277,Sagaba Konate Offensive Rebound.,30,31
3:06,277,Sagaba Konate made Layup.,30,33
2:54,245,TJ Starks made Jumper.,32,33
2:46,277,Teddy Allen missed Three Point Jumper.,32,33
2:46,245,Tyler Davis Defensive Rebound.,32,33
2:32,245,DJ Hogg missed Three Point Jumper.,32,33
2:32,277,Sagaba Konate Defensive Rebound.,32,33
2:19,245,Foul on Duane Wilson.,32,33
2:19,277,Daxter Miles Jr. missed Free Throw.,32,33
2:19,245,DJ Hogg Defensive Rebound.,32,33
2:01,245,TJ Starks made Three Point Jumper. Assisted by DJ Hogg.,35,33
1:43,277,Wesley Harris made Three Point Jumper. Assisted by Jevon Carter.,35,36
1:34,245,DJ Hogg made Layup. Assisted by Admon Gilder.,37,36
1:34,277,Foul on Sagaba Konate.,37,36
1:34,277,Technical Foul on Sagaba Konate.,37,36
1:34,277,Foul on Sagaba Konate.,37,36
1:34,245,Technical Foul on Tyler Davis.,37,36
1:34,245,Foul on Tyler Davis.,37,36
1:34,245,DJ Hogg made Free Throw.,38,36
1:34,245,DJ Hogg made Free Throw.,39,36
1:34,245,DJ Hogg made Free Throw.,40,36
1:34,277,Jevon Carter made Free Throw.,40,37
1:34,277,Jevon Carter made Free Throw.,40,38
1:14,277,Daxter Miles Jr. missed Three Point Jumper.,40,38
1:14,245,Texas A&M Defensive Rebound.,40,38
0:56,277,Foul on Daxter Miles Jr..,40,38
0:56,245,DJ Hogg made Free Throw.,41,38
0:56,245,DJ Hogg made Free Throw.,42,38
0:42,277,Jevon Carter Turnover.,42,38
0:42,245,Admon Gilder Steal.,42,38
0:39,245,DJ Hogg made Three Point Jumper. Assisted by TJ Starks.,45,38
0:19,277,West Virginia  Timeout,45,38
0:03,277,Jevon Carter missed Jumper.,45,38
0:03,277,Lamont West Offensive Rebound.,45,38
0:01,277,Lamont West missed Jumper.,45,38
0:01,277,West Virginia Deadball Team Rebound.,45,38
0:00,277,End of 1st half,45,38
20:00,277,Jump Ball won by West Virginia,45,38
19:49,277,Daxter Miles Jr. missed Three Point Jumper.,45,38
19:49,245,Tyler Davis Defensive Rebound.,45,38
19:29,245,DJ Hogg missed Layup.,45,38
19:29,277,Lamont West Defensive Rebound.,45,38
19:04,277,Maciej Bender missed Three Point Jumper.,45,38
19:04,245,Duane Wilson Defensive Rebound.,45,38
18:54,245,Duane Wilson made Jumper.,47,38
18:28,277,Lamont West missed Three Point Jumper.,47,38
18:28,245,Tonny Trocha-Morelos Defensive Rebound.,47,38
18:19,245,Tyler Davis made Layup. Assisted by Admon Gilder.,49,38
18:15,277,West Virginia  Timeout,49,38
18:00,277,James Bolden missed Three Point Jumper.,49,38
18:00,245,Tyler Davis Defensive Rebound.,49,38
17:48,245,Duane Wilson missed Layup.,49,38
17:48,277,Lamont West Defensive Rebound.,49,38
17:42,277,Jevon Carter missed Three Point Jumper.,49,38
17:42,245,Tonny Trocha-Morelos Defensive Rebound.,49,38
17:36,245,Jump Ball won by Texas A&M,49,38
17:27,245,Duane Wilson missed Three Point Jumper.,49,38
17:27,277,West Virginia Defensive Rebound.,49,38
17:10,277,Sagaba Konate missed Jumper.,49,38
17:10,245,Admon Gilder Defensive Rebound.,49,38
17:01,245,Tonny Trocha-Morelos missed Layup.,49,38
17:01,277,Sagaba Konate Block.,49,38
17:01,277,James Bolden Defensive Rebound.,49,38
16:56,277,James Bolden made Layup.,49,40
16:36,245,Tyler Davis Turnover.,49,40
16:36,277,Jevon Carter Steal.,49,40
16:32,277,Lamont West missed Three Point Jumper.,49,40
16:32,245,Tonny Trocha-Morelos Defensive Rebound.,49,40
16:21,245,Admon Gilder made Layup. Assisted by Duane Wilson.,51,40
16:05,277,James Bolden Turnover.,51,40
16:05,245,Tonny Trocha-Morelos Steal.,51,40
16:01,245,Duane Wilson missed Dunk.,51,40
16:01,245,Tyler Davis Offensive Rebound.,51,40
16:00,245,Tyler Davis made Layup.,53,40
16:00,277,Foul on Jevon Carter.,53,40
16:00,277,Official TV Timeout,53,40
16:00,245,Tyler Davis made Free Throw.,54,40
15:50,245,Foul on DJ Hogg.,54,40
15:40,277,Teddy Allen missed Layup.,54,40
15:40,245,Tyler Davis Defensive Rebound.,54,40
15:33,245,Admon Gilder made Three Point Jumper. Assisted by TJ Starks.,57,40
15:13,245,Foul on Tyler Davis.,57,40
15:09,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,57,43
15:03,245,TJ Starks Turnover.,57,43
15:03,277,James Bolden Steal.,57,43
15:00,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,57,46
14:45,245,Savion Flagg Turnover.,57,46
14:40,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,57,49
14:29,245,DJ Hogg missed Three Point Jumper.,57,49
14:29,245,Admon Gilder Offensive Rebound.,57,49
14:23,245,Savion Flagg made Three Point Jumper. Assisted by Admon Gilder.,60,49
14:02,277,James Bolden Turnover.,60,49
14:02,245,TJ Starks Steal.,60,49
13:59,245,TJ Starks made Layup.,62,49
13:46,277,Chase Harler missed Layup.,62,49
13:46,245,Tyler Davis Defensive Rebound.,62,49
13:39,245,Tyler Davis made Dunk. Assisted by DJ Hogg.,64,49
13:14,277,Jevon Carter made Three Point Jumper. Assisted by Chase Harler.,64,52
12:50,245,Tyler Davis made Dunk. Assisted by Admon Gilder.,66,52
12:50,277,Foul on Maciej Bender.,66,52
12:50,245,Tyler Davis made Free Throw.,67,52
12:45,277,James Bolden made Layup.,67,54
12:19,277,Foul on Daxter Miles Jr..,67,54
12:01,245,TJ Starks missed Jumper.,67,54
12:01,277,James Bolden Block.,67,54
12:01,245,TJ Starks Offensive Rebound.,67,54
11:58,245,TJ Starks missed Jumper.,67,54
11:58,245,Texas A&M Deadball Team Rebound.,67,54
11:58,245,Texas A&M  Turnover.,67,54
11:58,277,Official TV Timeout,67,54
11:34,245,Foul on Savion Flagg.,67,54
11:20,277,Lamont West missed Three Point Jumper.,67,54
11:20,245,Admon Gilder Defensive Rebound.,67,54
11:10,245,Savion Flagg Turnover.,67,54
11:01,245,Foul on Duane Wilson.,67,54
10:57,277,Wesley Harris missed Three Point Jumper.,67,54
10:57,245,Jay Jay Chandler Defensive Rebound.,67,54
10:46,245,Jay Jay Chandler missed Three Point Jumper.,67,54
10:46,277,Maciej Bender Defensive Rebound.,67,54
10:38,277,Wesley Harris missed Three Point Jumper.,67,54
10:33,277,Jevon Carter Offensive Rebound.,67,54
10:26,277,West Virginia  Timeout,67,54
10:24,277,Wesley Harris missed Layup.,67,54
10:24,245,Tonny Trocha-Morelos Block.,67,54
10:24,245,Savion Flagg Defensive Rebound.,67,54
10:19,245,Admon Gilder made Layup.,69,54
10:19,277,Foul on James Bolden.,69,54
10:19,245,Admon Gilder made Free Throw.,70,54
10:00,277,Jevon Carter Turnover.,70,54
9:40,277,Foul on Jevon Carter.,70,54
9:27,245,Duane Wilson made Jumper.,72,54
9:05,277,Jevon Carter missed Jumper.,72,54
9:05,245,Tyler Davis Defensive Rebound.,72,54
8:50,245,Tyler Davis made Layup. Assisted by Duane Wilson.,74,54
8:40,277,James Bolden missed Three Point Jumper.,74,54
8:40,245,Tonny Trocha-Morelos Defensive Rebound.,74,54
8:17,245,Tonny Trocha-Morelos missed Three Point Jumper.,74,54
8:17,277,Maciej Bender Defensive Rebound.,74,54
8:02,277,Wesley Harris missed Jumper.,74,54
8:02,245,Admon Gilder Defensive Rebound.,74,54
7:46,245,Tonny Trocha-Morelos made Layup. Assisted by DJ Hogg.,76,54
7:11,277,Wesley Harris missed Jumper.,76,54
7:11,245,DJ Hogg Defensive Rebound.,76,54
7:00,245,Admon Gilder made Three Point Jumper. Assisted by DJ Hogg.,79,54
6:47,277,West Virginia  Timeout,79,54
6:32,277,Teddy Allen missed Three Point Jumper.,79,54
6:32,245,Tyler Davis Defensive Rebound.,79,54
6:20,277,Foul on Teddy Allen.,79,54
6:12,245,DJ Hogg Turnover.,79,54
6:12,277,Lamont West Steal.,79,54
6:05,245,Foul on Tonny Trocha-Morelos.,79,54
6:05,277,Daxter Miles Jr. made Free Throw.,79,55
6:05,277,Daxter Miles Jr. missed Free Throw.,79,55
6:05,245,Tyler Davis Defensive Rebound.,79,55
6:01,245,Duane Wilson Turnover.,79,55
5:55,277,Lamont West missed Jumper.,79,55
5:55,245,Tonny Trocha-Morelos Block.,79,55
5:55,245,Tonny Trocha-Morelos Defensive Rebound.,79,55
5:48,245,Admon Gilder made Layup. Assisted by Duane Wilson.,81,55
5:35,277,Lamont West missed Three Point Jumper.,81,55
5:35,245,DJ Hogg Defensive Rebound.,81,55
5:25,245,DJ Hogg made Three Point Jumper. Assisted by Admon Gilder.,84,55
5:08,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,84,58
4:47,245,Duane Wilson missed Three Point Jumper.,84,58
4:47,277,Wesley Harris Defensive Rebound.,84,58
4:39,277,James Bolden missed Three Point Jumper.,84,58
4:39,277,Jevon Carter Offensive Rebound.,84,58
4:27,277,James Bolden missed Layup.,84,58
4:27,245,Tyler Davis Block.,84,58
4:27,277,West Virginia Offensive Rebound.,84,58
4:21,277,Wesley Harris missed Three Point Jumper.,84,58
4:21,245,DJ Hogg Defensive Rebound.,84,58
4:11,245,Tyler Davis made Layup. Assisted by DJ Hogg.,86,58
3:58,277,Jevon Carter missed Three Point Jumper.,86,58
3:58,245,Admon Gilder Defensive Rebound.,86,58
3:39,245,Foul on DJ Hogg.,86,58
3:39,245,DJ Hogg Turnover.,86,58
3:39,277,Official TV Timeout,86,58
3:32,277,Jevon Carter made Layup. Assisted by Sagaba Konate.,86,60
3:05,245,Foul on TJ Starks.,86,60
3:05,245,TJ Starks Turnover.,86,60
2:58,277,Jevon Carter missed Jumper.,86,60
2:54,245,Texas A&M Defensive Rebound.,86,60
2:30,245,Tyler Davis made Jumper. Assisted by DJ Hogg.,88,60
2:15,277,Wesley Harris missed Three Point Jumper.,88,60
2:15,245,Admon Gilder Defensive Rebound.,88,60
1:54,245,Admon Gilder missed Three Point Jumper.,88,60
1:54,277,Sagaba Konate Defensive Rebound.,88,60
1:45,245,Foul on DJ Hogg.,88,60
1:45,277,Jevon Carter made Free Throw.,88,61
1:45,277,Jevon Carter made Free Throw.,88,62
1:28,245,Jay Jay Chandler Turnover.,88,62
1:25,277,James Bolden missed Three Point Jumper.,88,62
1:25,245,Jay Jay Chandler Defensive Rebound.,88,62
1:18,245,Jay Jay Chandler missed Layup.,88,62
1:18,277,Sagaba Konate Block.,88,62
1:18,245,Isiah Jasey Offensive Rebound.,88,62
1:13,245,Isiah Jasey missed Layup.,88,62
1:13,277,Sagaba Konate Defensive Rebound.,88,62
1:07,277,James Bolden Turnover.,88,62
1:07,245,Chris Collins Steal.,88,62
0:51,245,Chris Collins missed Three Point Jumper.,88,62
0:51,277,Chase Harler Defensive Rebound.,88,62
0:45,277,Foul on Jevon Carter.,88,62
0:45,277,Jevon Carter Turnover.,88,62
0:18,245,Savion Flagg missed Jumper.,88,62
0:18,277,Logan Routt Defensive Rebound.,88,62
0:04,277,James Bolden missed Three Point Jumper.,88,62
0:04,277,Logan Routt Offensive Rebound.,88,62
0:01,277,Wesley Harris made Three Point Jumper. Assisted by Logan Routt.,88,65
0:00,277,End of Game,88,65
