San Diego Christian,Error,San Diego State,21
0:45,3096,Hayden Frederick missed Jumper.,24,43
0:45,21,Max Montana Defensive Rebound.,24,43
0:36,21,Jordan Schakel made Three Point Jumper. Assisted by Jeremy Hemsley.,24,46
0:04,3096,Kyle Corbett missed Three Point Jumper.,24,46
0:04,21,Jordan Schakel Defensive Rebound.,24,46
0:00,21,End of 1st half,24,46
19:34,3096,Stephen Short missed Layup.,24,46
19:34,21,Matt Mitchell Defensive Rebound.,24,46
19:28,21,Matt Mitchell missed Layup.,24,46
19:28,3096,Nick Crankshaw Block.,24,46
19:28,21,San Diego State Offensive Rebound.,24,46
19:28,21,Foul on Matt Mitchell.,24,46
19:28,21,Matt Mitchell Turnover.,24,46
19:01,3096,Stephen Short made Three Point Jumper. Assisted by Nick Crankshaw.,27,46
18:41,21,Kameron Rooks made Layup. Assisted by Devin Watson.,27,48
18:13,3096,Derek Novsek missed Jumper.,27,48
18:13,21,Kameron Rooks Block.,27,48
18:11,3096,Derek Novsek Offensive Rebound.,27,48
18:08,3096,Nick Crankshaw Turnover.,27,48
17:49,21,Malik Pope made Layup.,27,50
17:19,3096,Stephen Short missed Jumper.,27,50
17:19,21,San Diego State Deadball Team Rebound.,27,50
17:09,21,Trey Kell made Jumper.,27,52
16:48,3096,Derek Novsek Turnover.,27,52
16:48,21,Devin Watson Steal.,27,52
16:45,3096,Foul on Derek Novsek.,27,52
16:35,21,Trey Kell Turnover.,27,52
16:18,3096,Foul on Rovan Halloway.,27,52
16:18,3096,Rovan Halloway Turnover.,27,52
16:05,21,Devin Watson missed Three Point Jumper.,27,52
16:05,21,Malik Pope Offensive Rebound.,27,52
16:03,21,Malik Pope made Two Point Tip Shot.,27,54
15:30,3096,Rovan Halloway missed Layup.,27,54
15:30,21,Malik Pope Block.,27,54
15:28,21,Matt Mitchell Defensive Rebound.,27,54
15:23,21,Matt Mitchell Turnover.,27,54
15:19,3096,Hayden Frederick Steal.,27,54
15:11,3096,Hayden Frederick missed Three Point Jumper.,27,54
15:11,21,Matt Mitchell Defensive Rebound.,27,54
15:02,21,Matt Mitchell missed Three Point Jumper.,27,54
15:02,3096,Rovan Halloway Defensive Rebound.,27,54
14:30,3096,Derek Novsek missed Three Point Jumper.,27,54
14:30,21,Malik Pope Defensive Rebound.,27,54
14:23,21,Malik Pope made Three Point Jumper. Assisted by Trey Kell.,27,57
14:03,3096,Nick Crankshaw made Three Point Jumper. Assisted by Hayden Frederick.,30,57
13:47,3096,Foul on Rovan Halloway.,30,57
13:47,21,Official TV Timeout,30,57
13:47,21,Devin Watson made Free Throw.,30,58
13:47,21,Devin Watson made Free Throw.,30,59
13:27,3096,Hayden Frederick made Three Point Jumper. Assisted by Derek Novsek.,33,59
13:09,21,Trey Kell made Three Point Jumper. Assisted by Jeremy Hemsley.,33,62
12:46,3096,Dominique Watkins missed Jumper.,33,62
12:46,21,Jalen McDaniels Defensive Rebound.,33,62
12:41,21,Jalen McDaniels Turnover.,33,62
12:39,3096,Derek Novsek Steal.,33,62
12:37,3096,Derek Novsek made Layup.,35,62
12:15,21,Max Montana made Three Point Jumper. Assisted by Devin Watson.,35,65
11:42,3096,Hayden Frederick missed Three Point Jumper.,35,65
11:42,3096,Stephen Short Offensive Rebound.,35,65
11:24,3096,Nick Crankshaw missed Three Point Jumper.,35,65
11:24,21,Devin Watson Defensive Rebound.,35,65
11:13,21,Max Montana missed Three Point Jumper.,35,65
11:13,3096,Nick Crankshaw Defensive Rebound.,35,65
10:45,3096,Stephen Short made Layup. Assisted by Nick Crankshaw.,37,65
10:37,21,Jeremy Hemsley made Layup.,37,67
10:06,3096,Stephen Short made Layup. Assisted by Hayden Frederick.,39,67
9:47,21,Max Montana missed Three Point Jumper.,39,67
9:47,3096,Nick Crankshaw Defensive Rebound.,39,67
9:17,3096,Hayden Frederick missed Three Point Jumper.,39,67
9:17,21,Devin Watson Defensive Rebound.,39,67
9:07,21,Trey Kell made Three Point Jumper. Assisted by Jeremy Hemsley.,39,70
8:45,3096,Derek Novsek made Three Point Jumper. Assisted by Hayden Frederick.,42,70
8:28,3096,Foul on Stephen Short.,42,70
8:28,21,Official TV Timeout,42,70
8:21,3096,Foul on Alex Dumas.,42,70
8:21,21,Jeremy Hemsley missed Free Throw.,42,70
8:21,21,San Diego State Deadball Team Rebound.,42,70
8:21,21,Jeremy Hemsley made Free Throw.,42,71
7:55,3096,Derek Novsek made Jumper.,44,71
7:32,21,Jalen McDaniels made Jumper. Assisted by Jeremy Hemsley.,44,73
7:10,3096,Derek Novsek Turnover.,44,73
7:08,21,Jeremy Hemsley Steal.,44,73
7:03,21,Jalen McDaniels missed Three Point Jumper.,44,73
7:03,3096,Derek Novsek Defensive Rebound.,44,73
6:53,3096,Alex Dumas missed Three Point Jumper.,44,73
6:53,21,Jeremy Hemsley Defensive Rebound.,44,73
6:40,21,Jeremy Hemsley made Jumper.,44,75
6:14,3096,Anthony Gonzalez Turnover.,44,75
6:14,21,Jeremy Hemsley Steal.,44,75
6:14,21,Official TV Timeout,44,75
6:02,21,Montaque Gill-Caesar missed Three Point Jumper.,44,75
6:02,3096,Derek Novsek Defensive Rebound.,44,75
5:50,3096,Anthony Gonzalez missed Three Point Jumper.,44,75
5:50,21,Matt Mitchell Defensive Rebound.,44,75
5:40,21,Jordan Schakel missed Three Point Jumper.,44,75
5:40,21,Nolan Narain Offensive Rebound.,44,75
5:35,21,Nolan Narain made Free Throw.,44,78
5:35,3096,Foul on Kyle Corbett.,44,75
5:35,21,Nolan Narain made Layup.,44,77
5:33,3096,Derek Novsek missed Jumper.,44,78
5:33,21,Jordan Schakel Defensive Rebound.,44,78
5:26,21,Matt Mitchell missed Three Point Jumper.,44,78
5:26,21,Nolan Narain Offensive Rebound.,44,78
5:14,21,Nolan Narain Turnover.,44,78
5:11,3096,Nick Crankshaw Steal.,44,78
4:43,3096,Alex Dumas missed Three Point Jumper.,44,78
4:43,21,San Diego State Deadball Team Rebound.,44,78
4:25,3096,Foul on Nick Crankshaw.,44,78
4:25,21,Montaque Gill-Caesar made Free Throw.,44,79
4:25,21,Montaque Gill-Caesar missed Free Throw.,44,79
4:25,3096,Jordan Van Ommering Defensive Rebound.,44,79
4:07,21,Foul on Jordan Schakel.,44,79
3:51,3096,Nick Crankshaw missed Jumper.,44,79
3:51,21,Matt Mitchell Defensive Rebound.,44,79
3:45,21,Jalen McDaniels missed Layup.,44,79
3:45,3096,Nick Crankshaw Defensive Rebound.,44,79
3:36,3096,Derek Novsek missed Three Point Jumper.,44,79
3:36,21,Jordan Schakel Defensive Rebound.,44,79
3:27,3096,Foul on Shawn Stanley.,44,79
3:27,21,Official TV Timeout,44,79
3:27,21,Matt Mitchell made Free Throw.,44,80
3:27,21,Matt Mitchell made Free Throw.,44,81
3:03,21,Foul on Montaque Gill-Caesar.,44,81
2:57,3096,Hayden Frederick Turnover.,44,81
2:51,3096,Foul on Hayden Frederick.,44,81
2:51,21,Matt Mitchell made Free Throw.,44,82
2:51,21,Matt Mitchell made Free Throw.,44,83
2:34,3096,Shawn Stanley missed Three Point Jumper.,44,83
2:34,21,Jalen McDaniels Defensive Rebound.,44,83
2:25,21,Montaque Gill-Caesar made Layup. Assisted by Jalen McDaniels.,44,85
2:14,3096,Derek Novsek missed Three Point Jumper.,44,85
2:14,21,Michael Sohikish Defensive Rebound.,44,85
2:00,21,Montaque Gill-Caesar missed Three Point Jumper.,44,85
2:00,3096,Jordan Van Ommering Defensive Rebound.,44,85
1:50,3096,Hayden Frederick made Three Point Jumper. Assisted by Derek Novsek.,47,85
1:35,21,Jordan Schakel missed Three Point Jumper.,47,85
1:35,3096,Nick Crankshaw Defensive Rebound.,47,85
1:24,3096,Derek Novsek made Layup.,49,85
1:12,3096,Foul on Shawn Stanley.,49,85
1:12,21,Michael Sohikish made Free Throw.,49,86
1:12,21,Michael Sohikish made Free Throw.,49,87
0:55,21,Foul on Michael Sohikish.,49,87
0:49,3096,Alex Dumas missed Three Point Jumper.,49,87
0:49,21,San Diego State Defensive Rebound.,49,87
0:38,21,Michael Sohikish made Layup.,49,89
0:32,3096,Jesus Limon made Three Point Jumper. Assisted by Caeden Williams.,52,89
0:15,21,Jordan Schakel made Jumper.,52,91
0:08,3096,Jesus Limon missed Three Point Jumper.,52,91
0:08,3096,San Diego Christian College Offensive Rebound.,52,91
0:04,3096,Jordan Van Ommering missed Three Point Jumper.,52,91
0:04,3096,San Diego Christian College Offensive Rebound.,52,91
0:04,3096,Jordan Van Ommering missed Three Point Jumper.,52,91
0:03,21,Jalen McDaniels Block.,52,91
0:02,21,Jalen McDaniels Defensive Rebound.,52,91
0:00,21,End of Game,52,91
