Idaho,2440,Nevada,70
3:51,70,Brayon Blake missed Free Throw.,25,32
3:51,70,Idaho Deadball Team Rebound.,25,32
3:51,70,Brayon Blake made Free Throw.,26,32
3:33,2440,Hallice Cooke missed Three Point Jumper.,26,32
3:33,70,Victor Sanders Defensive Rebound.,26,32
3:24,70,Perrion Callandret missed Three Point Jumper.,26,32
3:24,2440,Caleb Martin Defensive Rebound.,26,32
3:07,70,Foul on Perrion Callandret.,26,32
3:07,2440,Caleb Martin made Free Throw.,26,33
3:07,2440,Caleb Martin made Free Throw.,26,34
3:07,2440,Caleb Martin made Free Throw.,26,35
2:57,70,Perrion Callandret missed Jumper.,26,35
2:57,2440,Elijah Foster Defensive Rebound.,26,35
2:49,70,Foul on Trevon Allen.,26,35
2:49,2440,Hallice Cooke made Free Throw.,26,36
2:49,2440,Hallice Cooke made Free Throw.,26,37
2:39,70,Perrion Callandret Turnover.,26,37
2:39,2440,Caleb Martin Steal.,26,37
2:24,70,Foul on Jordan Scott.,26,37
2:24,2440,Elijah Foster made Free Throw.,26,38
2:24,2440,Elijah Foster made Free Throw.,26,39
2:16,70,Victor Sanders made Layup.,28,39
2:04,2440,Caleb Martin made Layup. Assisted by Cody Martin.,28,41
1:33,70,Jordan Scott missed Jumper.,28,41
1:33,2440,Caleb Martin Defensive Rebound.,28,41
1:14,2440,Caleb Martin missed Jumper.,28,41
1:14,70,Trevon Allen Defensive Rebound.,28,41
1:07,70,Perrion Callandret Turnover.,28,41
0:50,2440,Cody Martin missed Three Point Jumper.,28,41
0:50,70,Brayon Blake Defensive Rebound.,28,41
0:35,70,Victor Sanders made Jumper.,30,41
0:04,2440,Caleb Martin made Jumper.,30,43
0:00,2440,End of 1st half,30,43
19:50,2440,Foul on Elijah Foster.,30,43
19:50,70,Arkadiy Mkrtychyan made Free Throw.,31,43
19:50,70,Arkadiy Mkrtychyan made Free Throw.,32,43
19:38,2440,Lindsey Drew made Layup.,32,45
19:38,70,Foul on Nate Sherwood.,32,45
19:38,2440,Lindsey Drew made Free Throw.,32,46
19:17,70,Jordan Scott missed Jumper.,32,46
19:17,2440,Elijah Foster Defensive Rebound.,32,46
19:05,70,Foul on Arkadiy Mkrtychyan.,32,46
18:55,2440,Jordan Caroline made Layup. Assisted by Lindsey Drew.,32,48
18:21,70,Brayon Blake made Layup. Assisted by Nate Sherwood.,34,48
18:06,70,Foul on Jordan Scott.,34,48
18:06,2440,Cody Martin missed Free Throw.,34,48
18:06,2440,Nevada Deadball Team Rebound.,34,48
18:06,2440,Cody Martin missed Free Throw.,34,48
18:06,70,Brayon Blake Defensive Rebound.,34,48
17:57,70,Victor Sanders missed Layup.,34,48
17:57,70,Victor Sanders Offensive Rebound.,34,48
17:55,70,Victor Sanders Turnover.,34,48
17:43,2440,Jordan Caroline missed Jumper.,34,48
17:43,70,Jordan Scott Defensive Rebound.,34,48
17:35,70,Brayon Blake made Three Point Jumper. Assisted by Perrion Callandret.,37,48
17:25,2440,Kendall Stephens made Three Point Jumper. Assisted by Cody Martin.,37,51
16:58,70,Victor Sanders missed Three Point Jumper.,37,51
16:58,2440,Cody Martin Defensive Rebound.,37,51
16:46,2440,Elijah Foster missed Jumper.,37,51
16:46,70,Brayon Blake Defensive Rebound.,37,51
16:36,70,Nate Sherwood missed Jumper.,37,51
16:36,70,Brayon Blake Offensive Rebound.,37,51
16:32,2440,Foul on Kendall Stephens.,37,51
16:24,70,Brayon Blake made Layup. Assisted by Victor Sanders.,39,51
16:07,2440,Caleb Martin missed Three Point Jumper.,39,51
16:07,70,Victor Sanders Defensive Rebound.,39,51
15:59,2440,Foul on Caleb Martin.,39,51
15:59,2440,Official TV Timeout,39,51
15:45,2440,Foul on Darien Williams.,39,51
15:45,70,Victor Sanders made Free Throw.,40,51
15:45,70,Victor Sanders made Free Throw.,41,51
15:38,2440,Caleb Martin missed Jumper.,41,51
15:38,70,Perrion Callandret Block.,41,51
15:36,70,Trevon Allen Defensive Rebound.,41,51
15:28,70,Brayon Blake made Jumper. Assisted by Trevon Allen.,43,51
15:21,70,Foul on Brayon Blake.,43,51
15:09,2440,Kendall Stephens made Jumper. Assisted by Lindsey Drew.,43,53
14:47,70,Victor Sanders missed Jumper.,43,53
14:47,2440,Darien Williams Defensive Rebound.,43,53
14:30,2440,Kendall Stephens missed Three Point Jumper.,43,53
14:30,2440,Nevada Offensive Rebound.,43,53
14:16,70,Foul on Perrion Callandret.,43,53
14:16,2440,Darien Williams made Free Throw.,43,54
14:16,2440,Darien Williams made Free Throw.,43,55
14:06,70,Victor Sanders made Jumper. Assisted by Perrion Callandret.,45,55
13:59,2440,Kendall Stephens missed Three Point Jumper.,45,55
13:59,70,Perrion Callandret Defensive Rebound.,45,55
13:46,70,Nate Sherwood missed Jumper.,45,55
13:46,2440,Caleb Martin Defensive Rebound.,45,55
13:38,2440,Kendall Stephens missed Three Point Jumper.,45,55
13:38,70,Idaho Defensive Rebound.,45,55
13:17,70,Trevon Allen missed Three Point Jumper.,45,55
13:17,2440,Darien Williams Defensive Rebound.,45,55
12:48,2440,Lindsey Drew made Layup.,45,57
12:35,2440,Foul on Lindsey Drew.,45,57
12:31,70,Arkadiy Mkrtychyan made Layup. Assisted by Trevon Allen.,47,57
12:25,2440,Josh Hall missed Layup.,47,57
12:25,70,Nate Sherwood Block.,47,57
12:22,70,Arkadiy Mkrtychyan Defensive Rebound.,47,57
12:18,70,Chad Sherwood made Three Point Jumper. Assisted by Arkadiy Mkrtychyan.,50,57
12:01,2440,Caleb Martin missed Three Point Jumper.,50,57
12:01,70,Idaho Defensive Rebound.,50,57
11:57,2440,Official TV Timeout,50,57
11:42,70,Nate Sherwood made Jumper. Assisted by Arkadiy Mkrtychyan.,52,57
11:21,2440,Caleb Martin missed Jumper.,52,57
11:21,70,Trevon Allen Defensive Rebound.,52,57
11:10,70,Nate Sherwood missed Layup.,52,57
11:10,2440,Cody Martin Block.,52,57
11:09,70,Chad Sherwood Offensive Rebound.,52,57
11:06,70,Chad Sherwood missed Three Point Jumper.,52,57
11:06,2440,Darien Williams Defensive Rebound.,52,57
10:50,2440,Jordan Caroline made Layup. Assisted by Lindsey Drew.,52,59
10:50,70,Foul on Nate Sherwood.,52,59
10:50,2440,Jordan Caroline made Free Throw.,52,60
10:26,70,Brayon Blake made Jumper.,54,60
10:06,2440,Jordan Caroline made Layup. Assisted by Josh Hall.,54,62
10:06,70,Foul on Arkadiy Mkrtychyan.,54,62
10:06,2440,Jordan Caroline made Free Throw.,54,63
9:37,70,Brayon Blake missed Jumper.,54,63
9:37,2440,Darien Williams Defensive Rebound.,54,63
9:17,70,Foul on Jordan Scott.,54,63
9:17,2440,Jordan Caroline missed Free Throw.,54,63
9:17,70,Brayon Blake Defensive Rebound.,54,63
8:57,70,Arkadiy Mkrtychyan missed Layup.,54,63
8:57,2440,Josh Hall Defensive Rebound.,54,63
8:50,2440,Darien Williams Turnover.,54,63
8:50,2440,Foul on Darien Williams.,54,63
8:32,70,Brayon Blake made Three Point Jumper. Assisted by Perrion Callandret.,57,63
8:04,2440,Jordan Caroline missed Three Point Jumper.,57,63
8:04,70,Victor Sanders Defensive Rebound.,57,63
7:52,70,Victor Sanders missed Three Point Jumper.,57,63
7:52,70,Victor Sanders Offensive Rebound.,57,63
7:48,70,Victor Sanders missed Jumper.,57,63
7:48,2440,Lindsey Drew Block.,57,63
7:47,2440,Cody Martin Defensive Rebound.,57,63
7:42,2440,Josh Hall made Layup. Assisted by Cody Martin.,57,65
7:26,2440,Foul on Josh Hall.,57,65
7:26,2440,Official TV Timeout,57,65
7:26,70,Trevon Allen missed Free Throw.,57,65
7:26,2440,Jordan Caroline Defensive Rebound.,57,65
7:04,2440,Cody Martin made Layup.,57,67
7:04,70,Foul on Victor Sanders.,57,67
7:04,2440,Cody Martin made Free Throw.,57,68
6:51,70,Brayon Blake missed Jumper.,57,68
6:51,2440,Caleb Martin Defensive Rebound.,57,68
6:43,2440,Josh Hall missed Three Point Jumper.,57,68
6:43,70,Trevon Allen Defensive Rebound.,57,68
6:38,70,Victor Sanders made Layup. Assisted by Trevon Allen.,59,68
6:07,2440,Lindsey Drew made Layup. Assisted by Jordan Caroline.,59,70
5:52,70,Arkadiy Mkrtychyan missed Layup.,59,70
5:52,2440,Caleb Martin Defensive Rebound.,59,70
5:46,2440,Caleb Martin Turnover.,59,70
5:46,2440,Foul on Caleb Martin.,59,70
5:46,70,Idaho  Timeout,59,70
5:34,70,Brayon Blake Turnover.,59,70
5:34,2440,Caleb Martin Steal.,59,70
5:31,70,Foul on Victor Sanders.,59,70
5:31,2440,Jordan Caroline missed Free Throw.,59,70
5:31,2440,Nevada Deadball Team Rebound.,59,70
5:31,2440,Jordan Caroline made Free Throw.,59,71
5:22,70,Perrion Callandret Turnover.,59,71
5:21,2440,Jordan Caroline Steal.,59,71
5:18,2440,Josh Hall missed Three Point Jumper.,59,71
5:18,70,Victor Sanders Defensive Rebound.,59,71
5:08,70,Trevon Allen missed Three Point Jumper.,59,71
5:08,2440,Josh Hall Defensive Rebound.,59,71
4:42,2440,Lindsey Drew missed Three Point Jumper.,59,71
4:42,70,Nate Sherwood Defensive Rebound.,59,71
4:28,70,Victor Sanders missed Three Point Jumper.,59,71
4:28,2440,Lindsey Drew Defensive Rebound.,59,71
4:00,2440,Caleb Martin made Three Point Jumper.,59,74
3:37,70,Nate Sherwood Turnover.,59,74
3:36,2440,Josh Hall Steal.,59,74
3:34,2440,Cody Martin made Layup. Assisted by Josh Hall.,59,76
3:24,70,Idaho  Timeout,59,76
3:24,2440,Official TV Timeout,59,76
3:22,70,Nate Sherwood made Jumper. Assisted by Jordan Scott.,61,76
3:11,2440,Caleb Martin made Layup. Assisted by Lindsey Drew.,61,78
2:54,70,Nate Sherwood missed Jumper.,61,78
2:54,2440,Lindsey Drew Block.,61,78
2:52,2440,Caleb Martin Defensive Rebound.,61,78
2:47,2440,Cody Martin missed Jumper.,61,78
2:47,70,Nate Sherwood Defensive Rebound.,61,78
2:34,2440,Foul on Caleb Martin.,61,78
2:34,70,Perrion Callandret missed Free Throw.,61,78
2:34,70,Idaho Deadball Team Rebound.,61,78
2:34,70,Perrion Callandret made Free Throw.,62,78
2:19,2440,Cody Martin made Layup. Assisted by Lindsey Drew.,62,80
2:19,70,Foul on Scott Blakney.,62,80
2:19,2440,Cody Martin made Free Throw.,62,81
2:04,70,Nate Sherwood made Layup.,64,81
1:47,2440,Jordan Caroline missed Jumper.,64,81
1:47,2440,Jordan Caroline Offensive Rebound.,64,81
1:43,2440,Jordan Caroline made Layup.,64,83
1:30,70,Geno West missed Three Point Jumper.,64,83
1:30,2440,Jordan Caroline Defensive Rebound.,64,83
1:17,2440,Lindsey Drew made Three Point Jumper. Assisted by Caleb Martin.,64,86
0:53,70,Nate Sherwood missed Jumper.,64,86
0:53,2440,Jordan Caroline Defensive Rebound.,64,86
0:47,2440,Jordan Caroline missed Layup.,64,86
0:47,70,Scott Blakney Defensive Rebound.,64,86
0:41,70,Scott Blakney Turnover.,64,86
0:40,2440,Josh Hall Steal.,64,86
0:39,2440,Josh Hall made Layup.,64,88
0:23,70,Chad Sherwood missed Three Point Jumper.,64,88
0:23,2440,Josh Hall Defensive Rebound.,64,88
0:00,2440,End of Game,64,88
