UMass Lowell,113,Massachusetts,2349
12:05,2349,Josh Gantz missed Layup.,46,47
12:05,113,Rashaan Holloway Block.,46,47
12:05,2349,UMass Lowell Offensive Rebound.,46,47
12:01,2349,Matt Harris Turnover.,46,47
11:42,113,Official TV Timeout,46,47
11:40,113,Unique McLean Turnover.,46,47
11:38,2349,Shawn Jones Steal.,46,47
11:27,2349,Shawn Jones missed Layup.,46,47
11:27,113,C.J. Anderson Block.,46,47
11:23,113,C.J. Anderson Defensive Rebound.,46,47
11:15,113,Luwane Pipkins Turnover.,46,47
11:04,113,Foul on C.J. Anderson.,46,47
11:04,2349,Ryan Jones made Free Throw.,47,47
11:04,2349,Ryan Jones made Free Throw.,48,47
10:42,113,Luwane Pipkins missed Layup.,48,47
10:42,2349,Josh Gantz Defensive Rebound.,48,47
10:36,2349,Shawn Jones made Jumper. Assisted by Josh Gantz.,50,47
10:03,113,Luwane Pipkins missed Layup.,50,47
10:03,2349,Stefan Borovac Defensive Rebound.,50,47
9:46,2349,Stefan Borovac Turnover.,50,47
9:46,113,Rashaan Holloway Steal.,50,47
9:33,113,Rashaan Holloway made Layup. Assisted by Unique McLean.,50,49
9:17,2349,Matt Harris missed Jumper.,50,49
9:17,2349,Connor Bennett Offensive Rebound.,50,49
9:13,2349,Connor Bennett missed Jumper.,50,49
9:13,113,Rashaan Holloway Block.,50,49
9:10,113,Luwane Pipkins Defensive Rebound.,50,49
9:00,113,Rashaan Holloway made Layup. Assisted by Luwane Pipkins.,50,51
8:42,113,Foul on Unique McLean.,50,51
8:42,2349,Shawn Jones missed Free Throw.,50,51
8:42,2349,UMass Lowell Deadball Team Rebound.,50,51
8:42,2349,Shawn Jones made Free Throw.,51,51
8:24,113,Foul on Rashaan Holloway.,51,51
8:24,113,Rashaan Holloway Turnover.,51,51
8:16,113,Foul on Carl Pierre.,51,51
8:16,2349,Matt Harris missed Free Throw.,51,51
8:16,113,Malik Hines Defensive Rebound.,51,51
7:56,113,Carl Pierre made Layup. Assisted by Luwane Pipkins.,51,53
7:41,113,Official TV Timeout,51,53
7:32,2349,Josh Gantz missed Three Point Jumper.,51,53
7:32,113,UMass Defensive Rebound.,51,53
7:08,113,Carl Pierre missed Jumper.,51,53
7:08,2349,Josh Gantz Defensive Rebound.,51,53
6:51,113,Foul on C.J. Anderson.,51,53
6:51,2349,Matt Harris made Free Throw.,52,53
6:51,2349,Matt Harris made Free Throw.,53,53
6:24,113,Rashaan Holloway made Layup. Assisted by Rayshawn Miller.,53,55
6:17,113,Foul on Rashaan Holloway.,53,55
6:17,2349,Obadiah Noel made Free Throw.,54,55
6:17,2349,Obadiah Noel missed Free Throw.,54,55
6:17,113,Malik Hines Defensive Rebound.,54,55
5:57,113,Carl Pierre Turnover.,54,55
5:56,2349,Shawn Jones Steal.,54,55
5:54,2349,Shawn Jones made Layup.,56,55
5:26,113,Rayshawn Miller missed Jumper.,56,55
5:26,2349,Matt Harris Defensive Rebound.,56,55
5:10,2349,Josh Gantz Turnover.,56,55
5:09,113,Chris Baldwin Steal.,56,55
5:06,2349,Foul on Josh Gantz.,56,55
5:06,113,Luwane Pipkins made Free Throw.,56,56
5:06,113,Luwane Pipkins made Free Throw.,56,57
4:59,2349,Shawn Jones missed Layup.,56,57
4:59,113,Chris Baldwin Block.,56,57
4:56,113,Unique McLean Defensive Rebound.,56,57
4:55,2349,Foul on Josh Gantz.,56,57
4:55,113,Unique McLean missed Free Throw.,56,57
4:55,113,UMass Deadball Team Rebound.,56,57
4:55,113,Unique McLean made Free Throw.,56,58
4:41,113,Foul on Unique McLean.,56,58
4:41,2349,Matt Harris made Free Throw.,57,58
4:41,2349,Matt Harris made Free Throw.,58,58
4:16,113,Luwane Pipkins missed Jumper.,58,58
4:16,113,Malik Hines Offensive Rebound.,58,58
4:12,113,Malik Hines made Layup.,58,60
3:54,2349,Connor Bennett missed Jumper.,58,60
3:54,113,Malik Hines Defensive Rebound.,58,60
3:32,113,Malik Hines Turnover.,58,60
3:29,2349,Shawn Jones Steal.,58,60
3:16,2349,Shawn Jones missed Layup.,58,60
3:16,113,Luwane Pipkins Defensive Rebound.,58,60
3:12,2349,Technical Foul on Shawn Jones.,58,60
3:12,2349,Foul on Shawn Jones.,58,60
3:12,113,Official TV Timeout,58,60
3:12,113,Luwane Pipkins made Free Throw.,58,61
3:12,113,Luwane Pipkins missed Free Throw.,58,61
3:12,113,UMass Deadball Team Rebound.,58,61
3:00,113,Rayshawn Miller made Three Point Jumper. Assisted by Luwane Pipkins.,58,64
2:37,2349,Connor Bennett missed Layup.,58,64
2:37,113,Rashaan Holloway Block.,58,64
2:34,113,Luwane Pipkins Defensive Rebound.,58,64
2:31,113,Luwane Pipkins made Layup.,58,66
2:18,113,Foul on Rayshawn Miller.,58,66
2:18,2349,Matt Harris missed Free Throw.,58,66
2:18,2349,UMass Lowell Deadball Team Rebound.,58,66
2:18,2349,Matt Harris made Free Throw.,59,66
1:51,113,Luwane Pipkins Turnover.,59,66
1:49,2349,Connor Bennett Steal.,59,66
1:45,113,Foul on Rayshawn Miller.,59,66
1:45,2349,Obadiah Noel made Free Throw.,60,66
1:45,113,UMass  Timeout,60,66
1:45,2349,Obadiah Noel made Free Throw.,61,66
1:45,2349,Obadiah Noel made Free Throw.,62,66
1:24,113,Rashaan Holloway made Layup. Assisted by C.J. Anderson.,62,68
0:58,2349,Matt Harris made Three Point Jumper. Assisted by Obadiah Noel.,65,68
0:47,113,C.J. Anderson missed Three Point Jumper.,65,68
0:47,113,Malik Hines Offensive Rebound.,65,68
0:38,2349,Foul on Matt Harris.,65,68
0:38,113,Luwane Pipkins missed Free Throw.,65,68
0:38,113,UMass Deadball Team Rebound.,65,68
0:38,113,Luwane Pipkins missed Free Throw.,65,68
0:38,2349,Connor Bennett Defensive Rebound.,65,68
0:31,113,Foul on Luwane Pipkins.,65,68
0:31,2349,Shawn Jones made Free Throw.,66,68
0:31,2349,Shawn Jones made Free Throw.,67,68
0:30,2349,Foul on Obadiah Noel.,67,68
0:30,113,C.J. Anderson made Free Throw.,67,69
0:30,2349,UMass Lowell  Timeout,67,69
0:30,113,C.J. Anderson made Free Throw.,67,70
0:17,2349,Josh Gantz Turnover.,67,70
0:14,113,Luwane Pipkins Steal.,67,70
0:13,113,Unique McLean made Dunk. Assisted by Rayshawn Miller.,67,72
0:09,113,Foul on Luwane Pipkins.,67,72
0:09,2349,Matt Harris made Free Throw.,68,72
0:09,113,UMass  Timeout,68,72
0:09,2349,Matt Harris made Free Throw.,69,72
0:08,2349,Foul on Matt Harris.,69,72
0:08,113,C.J. Anderson made Free Throw.,69,73
0:08,113,C.J. Anderson made Free Throw.,69,74
0:01,2349,Matt Harris missed Three Point Jumper.,69,74
0:01,113,Rayshawn Miller Block.,69,74
0:00,113,Luwane Pipkins Defensive Rebound.,69,74
0:00,113,End of Game,69,74
