Sacramento State,158,Nebraska,16
4:32,158,Jack McVeigh Defensive Rebound.,24,27
4:09,16,Foul on Joshua Patton.,24,27
4:05,158,Jack McVeigh missed Three Point Jumper.,24,27
4:05,158,Jordy Tshimanga Offensive Rebound.,24,27
4:01,158,Jordy Tshimanga missed Jumper.,24,27
4:01,16,Nick Hornsby Block.,24,27
3:59,158,Nebraska Offensive Rebound.,24,27
3:54,158,Anton Gill missed Jumper.,24,27
3:54,158,Jordy Tshimanga Offensive Rebound.,24,27
3:51,158,Jordy Tshimanga missed Jumper.,24,27
3:51,16,Joshua Patton Block.,24,27
3:49,158,Jack McVeigh Offensive Rebound.,24,27
3:47,158,Jack McVeigh made Jumper.,24,29
3:21,16,Jeff Wu Turnover.,24,29
3:20,158,Jordy Tshimanga Steal.,24,29
3:07,158,Jordy Tshimanga missed Jumper.,24,29
3:07,16,Nick Hornsby Defensive Rebound.,24,29
2:59,16,Nick Hornsby made Three Point Jumper. Assisted by Justin Strings.,27,29
2:40,158,Glynn Watson Jr. made Jumper.,27,31
2:32,16,Joshua Patton made Layup. Assisted by Marcus Graves.,29,31
2:19,158,Glynn Watson Jr. missed Jumper.,29,31
2:19,158,Jordy Tshimanga Offensive Rebound.,29,31
2:16,158,Jordy Tshimanga missed Jumper.,29,31
2:16,16,Joshua Patton Defensive Rebound.,29,31
2:01,16,Jeff Wu made Jumper. Assisted by Marcus Graves.,31,31
1:28,158,Glynn Watson Jr. made Jumper.,31,33
1:28,16,Foul on Nick Hornsby.,31,33
1:28,158,Official TV Timeout,31,33
1:28,158,Glynn Watson Jr. made Free Throw.,31,34
0:55,16,Eric Stuteville missed Jumper.,31,34
0:55,158,Ed Morrow Jr Defensive Rebound.,31,34
0:53,158,Evan Taylor made Layup.,31,36
0:26,16,Eric Stuteville made Jumper. Assisted by Justin Strings.,33,36
0:02,158,Tai Webster missed Jumper.,33,36
0:02,16,Marcus Graves Defensive Rebound.,33,36
0:00,158,End of 1st half,33,36
19:50,16,Justin Strings missed Jumper.,33,36
19:50,158,Michael Jacobson Block.,33,36
19:48,158,Glynn Watson Jr. Defensive Rebound.,33,36
19:44,158,Jack McVeigh made Three Point Jumper. Assisted by Glynn Watson Jr..,33,39
19:10,16,Jeff Wu missed Three Point Jumper.,33,39
19:10,158,Michael Jacobson Defensive Rebound.,33,39
19:08,16,Foul on Nick Hornsby.,33,39
18:43,16,Foul on Jeff Wu.,33,39
18:39,158,Ed Morrow Jr missed Jumper.,33,39
18:39,16,Nick Hornsby Defensive Rebound.,33,39
18:33,16,Justin Strings missed Jumper.,33,39
18:33,158,Jack McVeigh Defensive Rebound.,33,39
18:26,158,Tai Webster made Jumper.,33,41
18:16,16,Sacramento St  Timeout,33,41
17:56,16,Eric Stuteville made Dunk. Assisted by Marcus Graves.,35,41
17:39,158,Ed Morrow Jr made Dunk. Assisted by Glynn Watson Jr..,35,43
17:31,16,Justin Strings missed Three Point Jumper.,35,43
17:31,158,Tai Webster Defensive Rebound.,35,43
17:22,158,Tai Webster made Layup.,35,45
17:05,158,Foul on Glynn Watson Jr..,35,45
17:01,16,Foul on Eric Stuteville.,35,45
17:01,16,Eric Stuteville Turnover.,35,45
16:45,158,Ed Morrow Jr missed Jumper.,35,45
16:45,16,Eric Stuteville Defensive Rebound.,35,45
16:12,16,Justin Strings made Jumper.,37,45
16:01,16,Foul on Marcus Graves.,37,45
15:52,158,Ed Morrow Jr made Layup.,37,47
15:34,16,Justin Strings missed Three Point Jumper.,37,47
15:34,16,Nick Hornsby Offensive Rebound.,37,47
15:28,158,Official TV Timeout,37,47
15:08,16,Trevis Jackson Turnover.,37,47
14:58,16,Foul on Matt Battaglia.,37,47
14:50,158,Tai Webster made Layup.,37,49
14:24,16,Justin Strings made Three Point Jumper. Assisted by Trevis Jackson.,40,49
13:59,158,Jack McVeigh made Three Point Jumper.,40,52
13:47,16,Sacramento St  Timeout,40,52
13:25,16,Marcus Graves made Jumper.,42,52
13:14,158,Glynn Watson Jr. made Layup. Assisted by Ed Morrow Jr.,42,54
13:03,16,Foul on Joshua Patton.,42,54
13:03,16,Joshua Patton Turnover.,42,54
12:51,158,Ed Morrow Jr made Jumper. Assisted by Tai Webster.,42,56
12:36,16,Chibueze Jacobs made Layup. Assisted by Marcus Graves.,44,56
12:23,158,Tai Webster made Jumper.,44,58
11:56,16,Justin Strings missed Three Point Jumper.,44,58
11:56,158,Michael Jacobson Defensive Rebound.,44,58
11:51,16,Technical Foul on Sacramento St.,44,58
11:51,158,Official TV Timeout,44,58
11:51,158,Jack McVeigh missed Free Throw.,44,58
11:51,158,Nebraska Deadball Team Rebound.,44,58
11:51,158,Jack McVeigh made Free Throw.,44,59
11:37,158,Michael Jacobson Turnover.,44,59
11:24,158,Foul on Anton Gill.,44,59
11:24,16,Grant Dressler missed Free Throw.,44,59
11:24,16,Sacramento St Deadball Team Rebound.,44,59
11:24,16,Grant Dressler missed Free Throw.,44,59
11:24,158,Jack McVeigh Defensive Rebound.,44,59
11:17,16,Foul on Marcus Graves.,44,59
11:17,158,Tai Webster made Free Throw.,44,60
11:17,158,Tai Webster missed Free Throw.,44,60
11:17,16,Grant Dressler Defensive Rebound.,44,60
10:52,16,Justin Strings missed Jumper.,44,60
10:52,158,Isaiah Roby Defensive Rebound.,44,60
10:43,16,Foul on Chibueze Jacobs.,44,60
10:43,158,Isaiah Roby made Free Throw.,44,61
10:43,158,Isaiah Roby made Free Throw.,44,62
10:31,16,Justin Strings missed Three Point Jumper.,44,62
10:31,158,Anton Gill Defensive Rebound.,44,62
10:06,158,Foul on Anton Gill.,44,62
10:06,158,Anton Gill Turnover.,44,62
9:52,16,Justin Strings missed Jumper.,44,62
9:52,158,Nebraska Defensive Rebound.,44,62
9:34,158,Glynn Watson Jr. missed Jumper.,44,62
9:34,16,Justin Strings Defensive Rebound.,44,62
9:21,16,Jiday Ugbaja Turnover.,44,62
9:19,158,Glynn Watson Jr. Steal.,44,62
9:13,158,Isaiah Roby Turnover.,44,62
9:13,16,Nick Hornsby Steal.,44,62
9:08,16,Nick Hornsby made Layup.,46,62
9:08,158,Foul on Glynn Watson Jr..,46,62
9:08,16,Nick Hornsby missed Free Throw.,46,62
9:08,158,Jeriah Horne Defensive Rebound.,46,62
9:04,158,Isaiah Roby Turnover.,46,62
8:54,158,Foul on Isaiah Roby.,46,62
8:54,16,Grant Dressler made Free Throw.,47,62
8:54,16,Grant Dressler missed Free Throw.,47,62
8:54,158,Jeriah Horne Defensive Rebound.,47,62
8:43,158,Anton Gill missed Jumper.,47,62
8:43,16,Nick Hornsby Defensive Rebound.,47,62
8:24,16,Jeff Wu missed Jumper.,47,62
8:24,158,Tai Webster Defensive Rebound.,47,62
8:20,158,Tai Webster missed Three Point Jumper.,47,62
8:20,16,Nick Hornsby Defensive Rebound.,47,62
8:09,158,Foul on Ed Morrow Jr.,47,62
8:09,16,Nick Hornsby made Free Throw.,48,62
8:09,16,Nick Hornsby made Free Throw.,49,62
7:54,158,Glynn Watson Jr. made Layup.,49,64
7:30,16,Grant Dressler missed Three Point Jumper.,49,64
7:30,158,Anton Gill Defensive Rebound.,49,64
7:03,158,Glynn Watson Jr. missed Three Point Jumper.,49,64
7:03,158,Anton Gill Offensive Rebound.,49,64
6:45,158,Jeriah Horne missed Jumper.,49,64
6:45,158,Ed Morrow Jr Offensive Rebound.,49,64
6:42,158,Ed Morrow Jr missed Layup.,49,64
6:42,16,Jiday Ugbaja Defensive Rebound.,49,64
6:39,158,Foul on Anton Gill.,49,64
6:39,16,Jiday Ugbaja made Free Throw.,50,64
6:39,16,Jiday Ugbaja made Free Throw.,51,64
6:32,16,Foul on Jiday Ugbaja.,51,64
6:32,158,Evan Taylor missed Free Throw.,51,64
6:32,158,Nebraska Deadball Team Rebound.,51,64
6:32,158,Evan Taylor made Free Throw.,51,65
6:17,16,Justin Strings missed Jumper.,51,65
6:17,158,Ed Morrow Jr Block.,51,65
6:15,16,Sacramento St Offensive Rebound.,51,65
6:02,16,Justin Strings missed Three Point Jumper.,51,65
6:02,158,Michael Jacobson Defensive Rebound.,51,65
5:51,158,Michael Jacobson Turnover.,51,65
5:43,158,Foul on Evan Taylor.,51,65
5:43,16,Justin Strings made Free Throw.,52,65
5:43,16,Justin Strings made Free Throw.,53,65
5:21,158,Jack McVeigh Turnover.,53,65
5:20,16,Justin Strings Steal.,53,65
5:12,16,Justin Strings missed Jumper.,53,65
5:12,158,Jack McVeigh Defensive Rebound.,53,65
5:03,158,Ed Morrow Jr made Dunk. Assisted by Michael Jacobson.,53,67
5:03,16,Foul on Nick Hornsby.,53,67
5:03,158,Ed Morrow Jr made Free Throw.,53,68
4:56,16,Justin Strings missed Three Point Jumper.,53,68
4:56,158,Ed Morrow Jr Defensive Rebound.,53,68
4:35,16,Foul on Chibueze Jacobs.,53,68
4:35,158,Tai Webster made Free Throw.,53,69
4:35,158,Tai Webster made Free Throw.,53,70
4:27,16,Marcus Graves made Layup.,55,70
4:02,158,Tai Webster made Layup.,55,72
3:53,16,Jeff Wu missed Three Point Jumper.,55,72
3:53,158,Glynn Watson Jr. Defensive Rebound.,55,72
3:29,158,Jack McVeigh missed Three Point Jumper.,55,72
3:29,158,Ed Morrow Jr Offensive Rebound.,55,72
3:06,16,Foul on Chibueze Jacobs.,55,72
3:06,158,Tai Webster made Free Throw.,55,73
3:06,158,Tai Webster made Free Throw.,55,74
2:45,16,Jiday Ugbaja made Jumper. Assisted by Jeff Wu.,57,74
2:30,158,Tai Webster made Three Point Jumper. Assisted by Glynn Watson Jr..,57,77
2:19,16,Marcus Graves Turnover.,57,77
2:03,158,Ed Morrow Jr missed Jumper.,57,77
2:03,16,Nick Hornsby Defensive Rebound.,57,77
2:03,158,Foul on Ed Morrow Jr.,57,77
2:03,16,Nick Hornsby missed Free Throw.,57,77
2:03,158,Ed Morrow Jr Defensive Rebound.,57,77
1:52,16,Foul on Jiday Ugbaja.,57,77
1:52,158,Glynn Watson Jr. made Free Throw.,57,78
1:52,158,Glynn Watson Jr. made Free Throw.,57,79
1:37,158,Foul on Anton Gill.,57,79
1:37,16,Marcus Graves missed Free Throw.,57,79
1:37,16,Sacramento St Deadball Team Rebound.,57,79
1:37,16,Marcus Graves missed Free Throw.,57,79
1:37,158,Jordy Tshimanga Defensive Rebound.,57,79
1:13,158,Jeriah Horne made Jumper.,57,81
0:55,16,Nick Hornsby missed Three Point Jumper.,57,81
0:55,158,Jeriah Horne Defensive Rebound.,57,81
0:53,16,Foul on Marcus Graves.,57,81
0:53,158,Evan Taylor made Free Throw.,57,82
0:53,158,Evan Taylor made Free Throw.,57,83
0:42,16,Matt Battaglia made Three Point Jumper. Assisted by Trevis Jackson.,60,83
0:17,158,Jordy Tshimanga missed Jumper.,60,83
0:17,16,Grant Dressler Defensive Rebound.,60,83
0:02,158,Foul on Jordy Tshimanga.,60,83
0:02,16,Nick Hornsby made Free Throw.,61,83
0:02,16,Nick Hornsby missed Free Throw.,61,83
0:02,158,Jack McVeigh Defensive Rebound.,61,83
0:00,158,End of Game,61,83
