Omaha,30,USC,2437
7:35,2437,Tra-Deon Hollins Defensive Rebound.,53,56
7:32,30,Foul on Elijah Stewart.,53,56
7:32,2437,Marcus Tyus missed Free Throw.,53,56
7:32,2437,Omaha Deadball Team Rebound.,53,56
7:32,2437,Marcus Tyus made Free Throw.,54,56
7:15,30,Chimezie Metu made Layup. Assisted by Jordan McLaughlin.,54,58
7:01,2437,Marcus Tyus made Three Point Jumper.,57,58
6:38,30,Chimezie Metu missed Layup.,57,58
6:38,2437,Tre'Shawn Thurman Defensive Rebound.,57,58
6:07,2437,Zach Jackson missed Layup.,57,58
6:06,30,Nick Rakocevic Block.,57,58
6:05,2437,Omaha Deadball Team Rebound.,57,58
6:05,2437,Omaha  Turnover.,57,58
5:55,30,Chimezie Metu missed Layup.,57,58
5:55,30,Nick Rakocevic Offensive Rebound.,57,58
5:53,30,Nick Rakocevic missed Jumper.,57,58
5:53,30,Elijah Stewart Offensive Rebound.,57,58
5:51,30,Elijah Stewart made Two Point Tip Shot.,57,60
5:43,2437,Tra-Deon Hollins missed Layup.,57,60
5:43,2437,Daniel Meyer Offensive Rebound.,57,60
5:41,2437,Daniel Meyer made Two Point Tip Shot.,59,60
5:21,30,Shaqquan Aaron made Jumper. Assisted by Elijah Stewart.,59,62
5:06,30,Foul on Elijah Stewart.,59,62
4:58,2437,Tre'Shawn Thurman missed Three Point Jumper.,59,62
4:58,30,Elijah Stewart Defensive Rebound.,59,62
4:42,30,Shaqquan Aaron missed Jumper.,59,62
4:42,30,Nick Rakocevic Offensive Rebound.,59,62
4:41,2437,Foul on Tra-Deon Hollins.,59,62
4:41,30,Nick Rakocevic made Free Throw.,59,63
4:41,30,Nick Rakocevic made Free Throw.,59,64
4:32,2437,Tre'Shawn Thurman missed Layup.,59,64
4:32,30,Elijah Stewart Block.,59,64
4:30,30,De'Anthony Melton Defensive Rebound.,59,64
4:24,30,Jordan McLaughlin made Three Point Jumper. Assisted by De'Anthony Melton.,59,67
4:22,2437,Omaha  Timeout,59,67
4:22,30,Official TV Timeout,59,67
4:15,2437,Tra-Deon Hollins Turnover.,59,67
3:51,30,Shaqquan Aaron missed Jumper.,59,67
3:51,30,USC Offensive Rebound.,59,67
3:25,30,Elijah Stewart missed Three Point Jumper.,59,67
3:25,2437,Omaha Defensive Rebound.,59,67
3:11,2437,Tra-Deon Hollins missed Three Point Jumper.,59,67
3:11,30,De'Anthony Melton Defensive Rebound.,59,67
3:02,30,De'Anthony Melton made Layup.,59,69
2:54,30,Foul on Elijah Stewart.,59,69
2:54,2437,Tre'Shawn Thurman made Free Throw.,60,69
2:54,2437,Tre'Shawn Thurman made Free Throw.,61,69
2:51,30,USC  Timeout,61,69
2:34,30,Jordan McLaughlin Turnover.,61,69
2:23,2437,Marcus Tyus made Layup.,63,69
1:46,30,Elijah Stewart missed Three Point Jumper.,63,69
1:46,30,Chimezie Metu Offensive Rebound.,63,69
1:44,2437,Foul on Tra-Deon Hollins.,63,69
1:44,30,Chimezie Metu made Free Throw.,63,70
1:44,30,Chimezie Metu made Free Throw.,63,71
1:35,2437,Marcus Tyus made Three Point Jumper. Assisted by Tra-Deon Hollins.,66,71
1:26,30,Elijah Stewart made Dunk. Assisted by De'Anthony Melton.,66,73
1:12,2437,Marcus Tyus made Layup.,68,73
1:05,2437,Foul on Tre'Shawn Thurman.,68,73
1:05,30,De'Anthony Melton made Free Throw.,68,74
1:05,30,De'Anthony Melton made Free Throw.,68,75
0:59,30,Foul on Jordan McLaughlin.,68,75
0:59,2437,Marcus Tyus made Free Throw.,69,75
0:59,2437,Marcus Tyus missed Free Throw.,69,75
0:59,2437,Omaha Deadball Team Rebound.,69,75
0:59,2437,Marcus Tyus made Free Throw.,70,75
0:59,2437,Foul on Marcus Tyus.,70,75
0:59,30,De'Anthony Melton made Free Throw.,70,76
0:59,30,De'Anthony Melton made Free Throw.,70,77
0:59,30,USC  Timeout,70,77
0:43,2437,Tra-Deon Hollins Turnover.,70,77
0:39,2437,Foul on Mitchell Hahn.,70,77
0:39,30,Jonah Mathews made Free Throw.,70,78
0:39,30,Jonah Mathews missed Free Throw.,70,78
0:39,2437,Tre'Shawn Thurman Defensive Rebound.,70,78
0:31,2437,Tra-Deon Hollins missed Layup.,70,78
0:31,30,Chimezie Metu Block.,70,78
0:29,30,Elijah Stewart Defensive Rebound.,70,78
0:26,2437,Foul on Marcus Tyus.,70,78
0:26,30,Elijah Stewart made Free Throw.,70,79
0:26,30,Elijah Stewart made Free Throw.,70,80
0:13,2437,Zach Jackson missed Three Point Jumper.,70,80
0:13,2437,Omaha Deadball Team Rebound.,70,80
0:12,30,Foul on Elijah Stewart.,70,80
0:12,2437,Tre'Shawn Thurman made Free Throw.,71,80
0:12,2437,Tre'Shawn Thurman made Free Throw.,72,80
0:06,30,Chimezie Metu made Dunk.,72,82
0:01,2437,Tra-Deon Hollins missed Jumper.,72,82
0:01,30,De'Anthony Melton Defensive Rebound.,72,82
0:00,30,End of Game,72,82
