UT San Antonio,204,Oregon State,2636
11:32,204,Keondre Dew missed Free Throw.,7,9
11:32,204,Oregon St Deadball Team Rebound.,7,9
11:32,204,Keondre Dew missed Free Throw.,7,9
11:32,2636,Jeff Beverly Defensive Rebound.,7,9
11:15,2636,Lucas O'Brien made Layup. Assisted by Jeff Beverly.,9,9
11:04,204,Ronnie Stacy missed Layup.,9,9
11:04,204,Gligorije Rakocevic Offensive Rebound.,9,9
11:02,204,Gligorije Rakocevic made Layup.,9,11
10:46,2636,Jeff Beverly made Three Point Jumper. Assisted by Gino Littles.,12,11
10:35,204,Jaquori McLaughlin missed Three Point Jumper.,12,11
10:35,204,Oregon St Offensive Rebound.,12,11
10:35,2636,Foul on Lucas O'Brien.,12,11
10:34,204,Tanner Sanders Turnover.,12,11
10:34,2636,Gino Littles Steal.,12,11
10:34,204,Foul on Jaquori McLaughlin.,12,11
10:34,2636,Gino Littles made Free Throw.,13,11
10:34,2636,Gino Littles missed Free Throw.,13,11
10:34,204,Cheikh N'Diaye Defensive Rebound.,13,11
10:26,2636,Foul on Jeff Beverly.,13,11
10:26,204,Drew Eubanks made Free Throw.,13,12
10:26,204,Drew Eubanks made Free Throw.,13,13
10:05,2636,J.R. Harris made Three Point Jumper. Assisted by Gino Littles.,16,13
9:37,204,Ronnie Stacy Turnover.,16,13
9:36,2636,J.R. Harris Steal.,16,13
9:27,2636,J.R. Harris made Layup.,18,13
9:15,2636,Foul on Austin Karrer.,18,13
9:15,204,Jaquori McLaughlin made Free Throw.,18,14
9:15,204,Jaquori McLaughlin missed Free Throw.,18,14
9:15,2636,Austin Karrer Defensive Rebound.,18,14
8:55,2636,Giovanni De Nicolao Turnover.,18,14
8:54,204,Jaquori McLaughlin Steal.,18,14
8:54,2636,Foul on Giovanni De Nicolao.,18,14
8:33,204,Jaquori McLaughlin missed Jumper.,18,14
8:33,2636,Giovanni De Nicolao Defensive Rebound.,18,14
8:06,2636,Gino Littles made Layup.,20,14
7:49,204,Foul on Ronnie Stacy.,20,14
7:49,204,Ronnie Stacy Turnover.,20,14
7:49,204,Official TV Timeout,20,14
7:38,2636,Giovanni De Nicolao Turnover.,20,14
7:36,204,Tanner Sanders Steal.,20,14
7:30,204,Tres Tinkle missed Jumper.,20,14
7:30,2636,Giovanni De Nicolao Defensive Rebound.,20,14
7:25,2636,Gino Littles missed Layup.,20,14
7:25,204,Jaquori McLaughlin Block.,20,14
7:22,2636,Terrell Scruggs Defensive Rebound.,20,14
7:00,204,Tres Tinkle made Layup. Assisted by Drew Eubanks.,20,16
6:59,2636,George Willborn III Turnover.,20,16
6:53,204,Drew Eubanks missed Jumper.,20,16
6:53,2636,Gino Littles Defensive Rebound.,20,16
6:35,2636,George Willborn III missed Three Point Jumper.,20,16
6:35,204,Tres Tinkle Defensive Rebound.,20,16
6:14,2636,Foul on George Willborn III.,20,16
6:14,204,Tres Tinkle made Free Throw.,20,17
6:14,204,Tres Tinkle made Free Throw.,20,18
5:48,2636,Giovanni De Nicolao Turnover.,20,18
5:47,204,Jaquori McLaughlin Steal.,20,18
5:43,204,Jaquori McLaughlin Turnover.,20,18
5:42,2636,George Willborn III Steal.,20,18
5:40,2636,Foul on Jeff Beverly.,20,18
5:40,2636,Jeff Beverly Turnover.,20,18
5:27,2636,Foul on George Willborn III.,20,18
5:27,204,Tres Tinkle made Free Throw.,20,19
5:27,204,Tres Tinkle made Free Throw.,20,20
5:04,2636,George Willborn III made Three Point Jumper. Assisted by Giovanni De Nicolao.,23,20
4:37,204,Foul on Matt Dahlen.,23,20
4:37,204,Matt Dahlen Turnover.,23,20
4:13,204,Foul on Drew Eubanks.,23,20
4:13,2636,Lucas O'Brien made Free Throw.,24,20
4:13,2636,Lucas O'Brien made Free Throw.,25,20
3:59,204,Daine Muller made Three Point Jumper. Assisted by Tres Tinkle.,25,23
3:40,2636,James Ringholt made Three Point Jumper. Assisted by Gino Littles.,28,23
3:12,204,Tres Tinkle missed Layup.,28,23
3:12,2636,Lucas O'Brien Block.,28,23
3:12,204,Oregon St Offensive Rebound.,28,23
3:12,204,Official TV Timeout,28,23
3:04,204,Drew Eubanks missed Jumper.,28,23
3:04,2636,UT San Antonio Defensive Rebound.,28,23
2:55,2636,George Willborn III missed Layup.,28,23
2:55,2636,Lucas O'Brien Offensive Rebound.,28,23
2:51,2636,Lucas O'Brien made Two Point Tip Shot.,30,23
2:35,204,Tres Tinkle made Jumper. Assisted by Drew Eubanks.,30,25
2:16,2636,Giovanni De Nicolao Turnover.,30,25
2:06,204,Foul on Drew Eubanks.,30,25
2:06,204,Drew Eubanks Turnover.,30,25
1:47,2636,Austin Karrer made Three Point Jumper. Assisted by Gino Littles.,33,25
1:30,204,Tres Tinkle missed Three Point Jumper.,33,25
1:30,2636,UT San Antonio Defensive Rebound.,33,25
1:09,2636,Giovanni De Nicolao missed Layup.,33,25
1:09,2636,Lucas O'Brien Offensive Rebound.,33,25
1:07,2636,Lucas O'Brien missed Two Point Tip Shot.,33,25
1:07,2636,Lucas O'Brien Offensive Rebound.,33,25
1:07,204,Foul on Keondre Dew.,33,25
1:07,2636,Lucas O'Brien made Free Throw.,34,25
1:07,2636,Lucas O'Brien made Free Throw.,35,25
0:51,204,Tres Tinkle missed Layup.,35,25
0:51,204,Tres Tinkle Offensive Rebound.,35,25
0:50,2636,Foul on Lucas O'Brien.,35,25
0:50,204,Tres Tinkle missed Free Throw.,35,25
0:50,204,Oregon St Deadball Team Rebound.,35,25
0:50,204,Tres Tinkle made Free Throw.,35,26
0:43,2636,UT San Antonio  Timeout,35,26
0:35,2636,Giovanni De Nicolao missed Layup.,35,26
0:35,204,Keondre Dew Defensive Rebound.,35,26
0:06,204,Jaquori McLaughlin made Layup.,35,28
0:06,2636,Foul on Giovanni De Nicolao.,35,28
0:06,204,Jaquori McLaughlin made Free Throw.,35,29
0:06,204,Oregon St  Timeout,35,29
0:05,204,Foul on Matt Dahlen.,35,29
0:05,2636,Giovanni De Nicolao made Free Throw.,36,29
0:05,2636,Giovanni De Nicolao made Free Throw.,37,29
0:00,204,End of 1st half,37,29
19:47,204,Tres Tinkle missed Jumper.,37,29
19:47,204,Drew Eubanks Offensive Rebound.,37,29
19:43,204,Drew Eubanks made Two Point Tip Shot.,37,31
19:26,2636,George Willborn III made Layup.,39,31
19:26,204,Foul on Cheikh N'Diaye.,39,31
19:26,2636,George Willborn III missed Free Throw.,39,31
19:26,204,Cheikh N'Diaye Defensive Rebound.,39,31
19:06,204,Drew Eubanks made Layup.,39,33
18:49,2636,Jeff Beverly missed Three Point Jumper.,39,33
18:49,204,Tres Tinkle Defensive Rebound.,39,33
18:42,2636,Foul on Jeff Beverly.,39,33
18:39,2636,Foul on Giovanni De Nicolao.,39,33
18:33,2636,Foul on George Willborn III.,39,33
18:33,204,Ronnie Stacy made Free Throw.,39,34
18:33,204,Ronnie Stacy made Free Throw.,39,35
18:19,2636,Giovanni De Nicolao missed Three Point Jumper.,39,35
18:19,204,Tres Tinkle Defensive Rebound.,39,35
18:11,2636,Foul on James Ringholt.,39,35
17:57,204,Cheikh N'Diaye Turnover.,39,35
17:54,2636,George Willborn III Steal.,39,35
17:52,2636,Byron Frohnen missed Layup.,39,35
17:52,204,Drew Eubanks Block.,39,35
17:50,204,Tres Tinkle Defensive Rebound.,39,35
17:47,204,Foul on Jaquori McLaughlin.,39,35
17:47,204,Jaquori McLaughlin Turnover.,39,35
17:26,2636,Giovanni De Nicolao missed Layup.,39,35
17:26,204,Cheikh N'Diaye Defensive Rebound.,39,35
17:14,2636,Foul on Giovanni De Nicolao.,39,35
17:10,204,Jaquori McLaughlin made Layup.,39,37
16:52,2636,Byron Frohnen missed Layup.,39,37
16:52,2636,Nick Allen Offensive Rebound.,39,37
16:45,2636,James Ringholt missed Three Point Jumper.,39,37
16:45,204,Tres Tinkle Defensive Rebound.,39,37
16:33,204,Tres Tinkle made Three Point Jumper. Assisted by Jaquori McLaughlin.,39,40
16:18,204,Foul on Jaquori McLaughlin.,39,40
16:18,2636,George Willborn III made Free Throw.,40,40
16:18,2636,George Willborn III made Free Throw.,41,40
16:03,204,Drew Eubanks made Jumper. Assisted by Tres Tinkle.,41,42
16:02,2636,Foul on James Ringholt.,41,42
16:02,204,Drew Eubanks made Free Throw.,41,43
15:51,204,Foul on Drew Eubanks.,41,43
15:51,204,Official TV Timeout,41,43
15:41,2636,Lucas O'Brien made Jumper.,43,43
15:22,204,Matt Dahlen made Layup. Assisted by Ronnie Stacy.,43,45
15:02,204,Foul on Matt Dahlen.,43,45
15:01,2636,Nick Allen missed Three Point Jumper.,43,45
15:01,204,Oregon St Defensive Rebound.,43,45
14:41,204,Keondre Dew missed Layup.,43,45
14:41,2636,Lucas O'Brien Defensive Rebound.,43,45
14:33,204,Foul on Ronnie Stacy.,43,45
14:33,2636,Gino Littles made Free Throw.,44,45
14:33,2636,Gino Littles made Free Throw.,45,45
14:17,204,Keondre Dew missed Layup.,45,45
14:17,204,Keondre Dew Offensive Rebound.,45,45
14:15,204,Keondre Dew made Two Point Tip Shot.,45,47
14:00,2636,George Willborn III missed Jumper.,45,47
14:00,204,Matt Dahlen Defensive Rebound.,45,47
13:46,2636,Foul on Lucas O'Brien.,45,47
13:46,204,Tres Tinkle made Free Throw.,45,48
13:46,204,Tres Tinkle missed Free Throw.,45,48
13:46,2636,Byron Frohnen Defensive Rebound.,45,48
13:36,2636,Byron Frohnen missed Layup.,45,48
13:36,204,Tres Tinkle Block.,45,48
13:31,2636,Gino Littles Offensive Rebound.,45,48
13:16,204,Foul on Keondre Dew.,45,48
13:16,2636,Jeff Beverly made Free Throw.,46,48
13:16,2636,Jeff Beverly made Free Throw.,47,48
13:00,204,Tres Tinkle missed Three Point Jumper.,47,48
13:00,2636,Byron Frohnen Defensive Rebound.,47,48
12:43,2636,Nick Allen Turnover.,47,48
12:41,204,Tres Tinkle Steal.,47,48
12:37,204,Tres Tinkle made Layup.,47,50
12:19,2636,Jeff Beverly missed Layup.,47,50
12:19,204,Matt Dahlen Block.,47,50
12:18,204,Tres Tinkle Defensive Rebound.,47,50
12:17,2636,Foul on Byron Frohnen.,47,50
12:17,204,Tres Tinkle made Free Throw.,47,51
12:17,204,Tres Tinkle made Free Throw.,47,52
12:10,204,Foul on Tres Tinkle.,47,52
12:10,2636,Byron Frohnen missed Free Throw.,47,52
12:10,204,Keondre Dew Defensive Rebound.,47,52
11:54,2636,Foul on Nick Allen.,47,52
11:54,204,Official TV Timeout,47,52
11:54,204,Kendal Manuel missed Free Throw.,47,52
11:54,204,Oregon St Deadball Team Rebound.,47,52
11:54,204,Kendal Manuel made Free Throw.,47,53
11:43,2636,Jeff Beverly made Layup.,49,53
11:43,204,Foul on Keondre Dew.,49,53
11:43,2636,Jeff Beverly made Free Throw.,50,53
11:15,204,Keondre Dew missed Jumper.,50,53
11:15,2636,Byron Frohnen Defensive Rebound.,50,53
10:50,2636,Jeff Beverly missed Jumper.,50,53
10:50,204,Oregon St Defensive Rebound.,50,53
10:31,204,Daine Muller made Three Point Jumper. Assisted by Keondre Dew.,50,56
10:13,2636,Jeff Beverly missed Layup.,50,56
10:13,2636,Gino Littles Offensive Rebound.,50,56
10:08,2636,Nick Allen missed Jumper.,50,56
10:08,204,Keondre Dew Block.,50,56
10:05,204,Tres Tinkle Defensive Rebound.,50,56
9:44,204,Drew Eubanks missed Jumper.,50,56
9:44,2636,Byron Frohnen Defensive Rebound.,50,56
9:15,2636,Gino Littles missed Jumper.,50,56
9:15,204,Drew Eubanks Defensive Rebound.,50,56
9:07,204,Keondre Dew missed Layup.,50,56
9:07,2636,Gino Littles Defensive Rebound.,50,56
8:57,2636,Austin Karrer missed Three Point Jumper.,50,56
8:57,204,Tres Tinkle Defensive Rebound.,50,56
8:33,204,Tres Tinkle made Jumper. Assisted by Daine Muller.,50,58
8:24,2636,UT San Antonio  Timeout,50,58
8:24,204,Official TV Timeout,50,58
8:10,2636,Jeff Beverly missed Jumper.,50,58
8:10,204,Keondre Dew Defensive Rebound.,50,58
7:50,204,Kendal Manuel made Three Point Jumper. Assisted by Keondre Dew.,50,61
7:33,2636,Giovanni De Nicolao made Layup.,52,61
7:33,204,Official TV Timeout,52,61
7:19,2636,Foul on Jeff Beverly.,52,61
7:19,204,Tres Tinkle missed Free Throw.,52,61
7:19,204,Oregon St Deadball Team Rebound.,52,61
7:19,204,Tres Tinkle missed Free Throw.,52,61
7:19,2636,George Willborn III Defensive Rebound.,52,61
6:55,2636,Giovanni De Nicolao missed Layup.,52,61
6:55,2636,Byron Frohnen Offensive Rebound.,52,61
6:52,2636,Byron Frohnen made Layup.,54,61
6:28,204,Tres Tinkle missed Jumper.,54,61
6:28,2636,UT San Antonio Defensive Rebound.,54,61
6:28,204,Foul on Drew Eubanks.,54,61
6:28,2636,George Willborn III missed Free Throw.,54,61
6:28,2636,UT San Antonio Deadball Team Rebound.,54,61
6:28,2636,George Willborn III made Free Throw.,55,61
6:03,204,Tres Tinkle missed Jumper.,55,61
6:03,2636,Nick Allen Defensive Rebound.,55,61
5:50,2636,Lucas O'Brien missed Jumper.,55,61
5:50,204,Tres Tinkle Defensive Rebound.,55,61
5:29,204,Jaquori McLaughlin missed Layup.,55,61
5:29,2636,Lucas O'Brien Defensive Rebound.,55,61
5:21,2636,George Willborn III missed Layup.,55,61
5:21,204,Cheikh N'Diaye Block.,55,61
5:19,2636,Lucas O'Brien Offensive Rebound.,55,61
5:16,2636,Lucas O'Brien missed Layup.,55,61
5:16,2636,Nick Allen Offensive Rebound.,55,61
5:13,2636,Nick Allen made Layup.,57,61
4:49,204,Cheikh N'Diaye missed Layup.,57,61
4:49,204,Cheikh N'Diaye Offensive Rebound.,57,61
4:46,2636,Foul on Nick Allen.,57,61
4:46,204,Cheikh N'Diaye missed Free Throw.,57,61
4:46,204,Oregon St Deadball Team Rebound.,57,61
4:46,204,Cheikh N'Diaye missed Free Throw.,57,61
4:46,2636,Nick Allen Defensive Rebound.,57,61
4:38,2636,Giovanni De Nicolao made Layup.,59,61
4:02,2636,Foul on Lucas O'Brien.,59,61
4:02,204,Tres Tinkle made Free Throw.,59,62
4:02,204,Tres Tinkle missed Free Throw.,59,62
4:02,204,Oregon St Deadball Team Rebound.,59,62
4:02,204,Tres Tinkle made Free Throw.,59,63
3:37,2636,Giovanni De Nicolao missed Three Point Jumper.,59,63
3:37,2636,Jeff Beverly Offensive Rebound.,59,63
3:30,2636,Giovanni De Nicolao made Three Point Jumper. Assisted by Jeff Beverly.,62,63
3:09,204,Jaquori McLaughlin made Three Point Jumper. Assisted by Keondre Dew.,62,66
3:07,204,Oregon St  Timeout,62,66
3:07,204,Official TV Timeout,62,66
2:56,2636,Jeff Beverly missed Three Point Jumper.,62,66
2:56,204,Jaquori McLaughlin Defensive Rebound.,62,66
2:27,204,Tres Tinkle missed Three Point Jumper.,62,66
2:27,2636,UT San Antonio Defensive Rebound.,62,66
2:25,204,Foul on Keondre Dew.,62,66
2:25,2636,Byron Frohnen made Free Throw.,63,66
2:25,2636,Byron Frohnen missed Free Throw.,63,66
2:25,204,Keondre Dew Defensive Rebound.,63,66
2:00,204,Jaquori McLaughlin Turnover.,63,66
1:59,2636,George Willborn III Steal.,63,66
1:45,2636,Giovanni De Nicolao Turnover.,63,66
1:45,204,Keondre Dew Steal.,63,66
1:44,2636,Foul on Jeff Beverly.,63,66
1:44,204,Keondre Dew missed Free Throw.,63,66
1:44,204,Oregon St Deadball Team Rebound.,63,66
1:44,204,Keondre Dew made Free Throw.,63,67
1:24,2636,Gino Littles missed Layup.,63,67
1:24,204,Tres Tinkle Block.,63,67
1:23,204,Matt Dahlen Defensive Rebound.,63,67
1:22,204,Matt Dahlen Turnover.,63,67
1:21,2636,Gino Littles Steal.,63,67
1:21,2636,Gino Littles Turnover.,63,67
0:59,204,Jaquori McLaughlin made Layup.,63,69
0:59,2636,Foul on Byron Frohnen.,63,69
0:59,204,Jaquori McLaughlin missed Free Throw.,63,69
0:59,2636,Nick Allen Defensive Rebound.,63,69
0:31,2636,Byron Frohnen missed Three Point Jumper.,63,69
0:31,204,Matt Dahlen Defensive Rebound.,63,69
0:27,2636,Foul on George Willborn III.,63,69
0:27,204,Matt Dahlen missed Free Throw.,63,69
0:27,204,Oregon St Deadball Team Rebound.,63,69
0:27,2636,UT San Antonio  Timeout,63,69
0:27,204,Matt Dahlen made Free Throw.,63,70
0:19,204,Foul on Matt Dahlen.,63,70
0:19,2636,George Willborn III missed Free Throw.,63,70
0:19,2636,UT San Antonio Deadball Team Rebound.,63,70
0:19,2636,George Willborn III made Free Throw.,64,70
0:18,2636,Foul on Gino Littles.,64,70
0:18,204,Jaquori McLaughlin made Free Throw.,64,71
0:18,204,Jaquori McLaughlin made Free Throw.,64,72
0:13,2636,UT San Antonio  Timeout,64,72
0:07,2636,Giovanni De Nicolao missed Three Point Jumper.,64,72
0:07,204,Drew Eubanks Defensive Rebound.,64,72
0:00,204,End of Game,64,72
