Mercer,57,Florida,2382
13:39,57,Kevarrius Hayes Turnover.,6,6
13:03,2382,Foul on Stephon Jelks.,6,6
13:03,2382,Stephon Jelks Turnover.,6,6
13:02,57,KeVaughn Allen missed Three Point Jumper.,6,6
13:02,57,John Egbunu Offensive Rebound.,6,6
12:56,57,John Egbunu missed Jumper.,6,6
12:56,57,Florida Offensive Rebound.,6,6
12:52,2382,Foul on Cory Kilby.,6,6
12:41,57,Chris Chiozza made Three Point Jumper. Assisted by KeVaughn Allen.,6,9
12:12,2382,Jordan Strawberry missed Jumper.,6,9
12:12,2382,Andrew Fishler Offensive Rebound.,6,9
11:48,2382,Andrew Fishler missed Jumper.,6,9
11:47,2382,Stephon Jelks Block.,6,9
11:46,57,KeVaughn Allen Defensive Rebound.,6,9
11:32,57,Canyon Barry missed Layup.,6,9
11:32,57,John Egbunu Offensive Rebound.,6,9
11:29,57,John Egbunu made Jumper.,6,11
11:08,57,Foul on Chris Chiozza.,6,11
11:08,57,Official TV Timeout,6,11
11:08,2382,Andrew Fishler made Free Throw.,7,11
11:08,2382,Andrew Fishler missed Free Throw.,7,11
11:08,2382,Cory Kilby Offensive Rebound.,7,11
10:54,2382,Demetre Rivers Turnover.,7,11
10:40,57,Chris Chiozza missed Three Point Jumper.,7,11
10:40,2382,Cory Kilby Defensive Rebound.,7,11
10:25,57,Foul on John Egbunu.,7,11
10:25,2382,JJ N'Ganga missed Free Throw.,7,11
10:25,2382,Mercer Deadball Team Rebound.,7,11
10:25,2382,JJ N'Ganga made Free Throw.,8,11
10:07,2382,Foul on JJ N'Ganga.,8,11
10:06,57,John Egbunu Turnover.,8,11
10:00,57,Foul on Chris Chiozza.,8,11
9:37,2382,Ria'n Holland missed Three Point Jumper.,8,11
9:37,57,John Egbunu Defensive Rebound.,8,11
9:29,2382,Foul on Demetre Rivers.,8,11
9:19,2382,Foul on Desmond Ringer.,8,11
9:16,57,KeVaughn Allen made Three Point Jumper. Assisted by Keith Stone.,8,14
8:50,2382,Demetre Rivers missed Three Point Jumper.,8,14
8:50,57,Keith Stone Defensive Rebound.,8,14
8:41,57,KeVaughn Allen missed Three Point Jumper.,8,14
8:41,57,Devin Robinson Offensive Rebound.,8,14
8:38,2382,Foul on Stephon Jelks.,8,14
8:37,57,Devin Robinson made Free Throw.,8,15
8:37,57,Devin Robinson made Free Throw.,8,16
8:08,2382,Ria'n Holland made Jumper.,10,16
7:34,57,Kasey Hill missed Three Point Jumper.,10,16
7:34,2382,Desmond Ringer Defensive Rebound.,10,16
7:17,57,Official TV Timeout,10,16
7:08,2382,Jordan Strawberry Turnover.,10,16
7:07,57,Devin Robinson Steal.,10,16
7:05,2382,Foul on Jordan Strawberry.,10,16
7:05,57,Kasey Hill made Free Throw.,10,17
7:05,57,Kasey Hill made Free Throw.,10,18
6:48,2382,Demetre Rivers missed Jumper.,10,18
6:48,57,Canyon Barry Defensive Rebound.,10,18
6:25,57,Devin Robinson missed Jumper.,10,18
6:25,57,Justin Leon Offensive Rebound.,10,18
6:21,57,Justin Leon Turnover.,10,18
6:10,57,Foul on Kasey Hill.,10,18
5:56,2382,Ria'n Holland Turnover.,10,18
5:56,2382,Foul on Ria'n Holland.,10,18
5:41,57,KeVaughn Allen Turnover.,10,18
5:40,2382,Ria'n Holland Steal.,10,18
5:37,2382,Ria'n Holland made Layup.,12,18
5:22,2382,Foul on Demetre Rivers.,12,18
5:22,57,Justin Leon made Free Throw.,12,19
5:22,57,Justin Leon made Free Throw.,12,20
5:22,2382,Ria'n Holland missed Three Point Jumper.,12,20
5:22,57,KeVaughn Allen Defensive Rebound.,12,20
5:22,57,Justin Leon missed Three Point Jumper.,12,20
5:22,57,John Egbunu Offensive Rebound.,12,20
5:06,57,Devin Robinson Turnover.,12,20
5:04,2382,Cory Kilby Steal.,12,20
4:17,2382,Jordan Strawberry Turnover.,12,20
4:15,57,Devin Robinson Steal.,12,20
4:09,57,Canyon Barry missed Jumper.,12,20
4:09,2382,Ryan Johnson Defensive Rebound.,12,20
3:48,57,Foul on John Egbunu.,12,20
3:48,57,Official TV Timeout,12,20
3:44,2382,Ria'n Holland missed Jumper.,12,20
3:44,57,Kevarrius Hayes Defensive Rebound.,12,20
3:35,57,Devin Robinson made Three Point Jumper.,12,23
3:14,2382,JJ N'Ganga missed Jumper.,12,23
3:14,57,Kevarrius Hayes Block.,12,23
3:12,57,Devin Robinson Defensive Rebound.,12,23
3:01,57,KeVaughn Allen made Layup.,12,25
3:01,2382,Foul on Ria'n Holland.,12,25
3:01,57,KeVaughn Allen made Free Throw.,12,26
2:42,2382,Desmond Ringer made Layup. Assisted by Jordan Strawberry.,14,26
2:32,57,Keith Stone missed Jumper.,14,26
2:32,2382,Desmond Ringer Block.,14,26
2:30,2382,Desmond Ringer Defensive Rebound.,14,26
2:20,2382,Desmond Ringer Turnover.,14,26
2:20,2382,Foul on Desmond Ringer.,14,26
2:05,57,KeVaughn Allen missed Three Point Jumper.,14,26
2:05,2382,Stephon Jelks Defensive Rebound.,14,26
1:43,2382,Stephon Jelks missed Three Point Jumper.,14,26
1:43,57,Devin Robinson Defensive Rebound.,14,26
1:34,57,Canyon Barry made Three Point Jumper. Assisted by Keith Stone.,14,29
1:14,2382,Jordan Strawberry Turnover.,14,29
1:14,57,KeVaughn Allen Steal.,14,29
1:03,57,Kevarrius Hayes missed Jumper.,14,29
1:03,57,Canyon Barry Offensive Rebound.,14,29
0:58,2382,Foul on Ross Cummings.,14,29
0:58,57,Canyon Barry made Free Throw.,14,30
0:58,57,Canyon Barry made Free Throw.,14,31
0:50,2382,Demetre Rivers Turnover.,14,31
0:45,57,KeVaughn Allen missed Layup.,14,31
0:45,57,Kevarrius Hayes Offensive Rebound.,14,31
0:41,57,Kevarrius Hayes missed Two Point Tip Shot.,14,31
0:41,57,Devin Robinson Offensive Rebound.,14,31
0:37,57,Devin Robinson made Layup.,14,33
0:36,2382,Foul on Cory Kilby.,14,33
0:36,57,Devin Robinson made Free Throw.,14,34
0:32,2382,Rashad Lewis Turnover.,14,34
0:32,2382,Mercer  Timeout,14,34
0:06,57,KeVaughn Allen missed Three Point Jumper.,14,34
0:06,57,Devin Robinson Offensive Rebound.,14,34
0:04,57,Devin Robinson missed Jumper.,14,34
0:03,57,Florida Offensive Rebound.,14,34
0:01,57,Florida  Timeout,14,34
0:01,57,Kevarrius Hayes made Layup. Assisted by KeVaughn Allen.,14,36
0:00,57,End of 1st half,14,34
19:40,57,Justin Leon missed Three Point Jumper.,14,36
19:40,2382,Ria'n Holland Defensive Rebound.,14,36
19:13,2382,Ria'n Holland missed Jumper.,14,36
19:13,57,John Egbunu Defensive Rebound.,14,36
18:50,57,Justin Leon missed Jumper.,14,36
18:50,57,Justin Leon Offensive Rebound.,14,36
18:46,57,Justin Leon missed Jumper.,14,36
18:46,57,Justin Leon Offensive Rebound.,14,36
18:43,57,Justin Leon made Layup.,14,38
18:20,2382,Demetre Rivers missed Three Point Jumper.,14,38
18:20,2382,Mercer Offensive Rebound.,14,38
18:19,57,Foul on John Egbunu.,14,38
18:19,57,Foul on KeVaughn Allen.,14,38
18:11,2382,Ria'n Holland made Three Point Jumper.,17,38
18:11,57,KeVaughn Allen missed Three Point Jumper.,17,38
18:11,57,Devin Robinson Offensive Rebound.,17,38
18:04,57,Kevarrius Hayes missed Jumper.,17,38
18:04,57,KeVaughn Allen Offensive Rebound.,17,38
17:59,57,KeVaughn Allen made Three Point Jumper.,17,41
17:24,2382,Foul on Ria'n Holland.,17,41
17:15,57,KeVaughn Allen missed Jumper.,17,41
17:15,2382,Jordan Strawberry Defensive Rebound.,17,41
16:56,2382,Demetre Rivers made Jumper.,19,41
16:38,2382,Foul on Demetre Rivers.,19,41
16:37,2382,Foul on Desmond Ringer.,19,41
16:37,57,KeVaughn Allen made Free Throw.,19,42
16:37,57,KeVaughn Allen made Free Throw.,19,43
16:23,2382,Ria'n Holland made Three Point Jumper.,22,43
16:07,2382,Foul on Demetre Rivers.,22,43
16:04,57,John Egbunu made Jumper. Assisted by Justin Leon.,22,45
15:51,57,Official TV Timeout,22,45
15:39,2382,Ryan Johnson made Three Point Jumper. Assisted by Ria'n Holland.,25,45
15:18,57,Devin Robinson Turnover.,25,45
15:18,57,Foul on Devin Robinson.,25,45
15:07,2382,Ria'n Holland missed Layup.,25,45
15:07,57,Kasey Hill Defensive Rebound.,25,45
14:57,57,Kasey Hill Turnover.,25,45
14:55,2382,JJ N'Ganga Steal.,25,45
14:46,2382,Ryan Johnson missed Three Point Jumper.,25,45
14:46,57,Florida Defensive Rebound.,25,45
14:45,2382,Foul on JJ N'Ganga.,25,45
14:33,57,Kasey Hill made Jumper.,25,47
14:18,2382,Ria'n Holland made Three Point Jumper. Assisted by Ryan Johnson.,28,47
13:54,57,Keith Stone missed Jumper.,28,47
13:54,57,Florida Offensive Rebound.,28,47
13:54,2382,Foul on JJ N'Ganga.,28,47
13:50,57,Keith Stone Turnover.,28,47
13:49,2382,Darius Roy Steal.,28,47
13:30,57,Foul on Chris Chiozza.,28,47
13:30,2382,Darius Roy missed Free Throw.,28,47
13:30,2382,Mercer Deadball Team Rebound.,28,47
13:30,2382,Darius Roy missed Free Throw.,28,47
13:30,57,Keith Stone Defensive Rebound.,28,47
13:09,57,Canyon Barry missed Layup.,28,47
13:09,2382,Desmond Ringer Block.,28,47
13:08,2382,Darius Roy Defensive Rebound.,28,47
13:03,2382,Cory Kilby Turnover.,28,47
12:47,57,John Egbunu missed Jumper.,28,47
12:47,2382,Ryan Johnson Defensive Rebound.,28,47
12:41,2382,Desmond Ringer Turnover.,28,47
12:41,2382,Foul on Desmond Ringer.,28,47
12:12,57,Keith Stone missed Three Point Jumper.,28,47
12:12,57,Keith Stone Offensive Rebound.,28,47
12:06,2382,Foul on Demetre Rivers.,28,47
12:06,57,Keith Stone made Free Throw.,28,48
12:06,57,Keith Stone made Free Throw.,28,49
11:55,2382,Ria'n Holland missed Three Point Jumper.,28,49
11:55,57,Devin Robinson Defensive Rebound.,28,49
11:41,57,Devin Robinson missed Three Point Jumper.,28,49
11:41,2382,Ross Cummings Defensive Rebound.,28,49
11:39,57,Foul on Kevarrius Hayes.,28,49
11:39,57,Official TV Timeout,28,49
11:22,2382,Andrew Fishler made Jumper. Assisted by Ross Cummings.,30,49
11:22,57,Foul on Kevarrius Hayes.,30,49
11:22,2382,Andrew Fishler made Free Throw.,31,49
11:04,57,Chris Chiozza missed Jumper.,31,49
11:04,2382,Andrew Fishler Block.,31,49
11:02,2382,Ria'n Holland Defensive Rebound.,31,49
10:56,2382,Stephon Jelks made Three Point Jumper. Assisted by Ross Cummings.,34,49
10:47,57,Florida  Timeout,34,49
10:42,2382,Foul on Darius Roy.,34,49
10:42,57,Kasey Hill made Free Throw.,34,50
10:42,57,Kasey Hill made Free Throw.,34,51
10:34,2382,Ross Cummings Turnover.,34,51
10:32,2382,Foul on Ross Cummings.,34,51
10:32,57,KeVaughn Allen made Free Throw.,34,52
10:32,57,KeVaughn Allen made Free Throw.,34,53
10:26,2382,Andrew Fishler missed Jumper.,34,53
10:26,2382,Darius Roy Offensive Rebound.,34,53
10:22,2382,Ria'n Holland made Three Point Jumper. Assisted by Darius Roy.,37,53
10:13,57,Kevarrius Hayes made Layup.,37,55
10:09,2382,Foul on Andrew Fishler.,37,55
9:56,57,Kevarrius Hayes missed Free Throw.,37,55
9:55,57,Florida Deadball Team Rebound.,37,55
9:37,2382,Darius Roy missed Jumper.,37,55
9:37,57,KeVaughn Allen Block.,37,55
9:34,57,Kasey Hill Defensive Rebound.,37,55
9:25,2382,Darius Roy missed Jumper.,37,55
9:24,57,KeVaughn Allen Block.,37,55
9:23,57,Justin Leon Defensive Rebound.,37,55
9:17,2382,Foul on Ria'n Holland.,37,55
9:15,2382,Ria'n Holland Turnover.,37,55
9:06,57,Justin Leon made Layup. Assisted by KeVaughn Allen.,37,57
8:51,2382,Ross Cummings missed Jumper.,37,57
8:51,2382,Ross Cummings Offensive Rebound.,37,57
8:50,2382,Mercer  Timeout,37,57
8:30,57,Foul on Kevarrius Hayes.,37,57
8:30,2382,Desmond Ringer missed Free Throw.,37,57
8:30,2382,Darius Roy Offensive Rebound.,37,57
8:22,2382,Ryan Johnson missed Jumper.,37,57
8:22,57,John Egbunu Defensive Rebound.,37,57
8:10,57,KeVaughn Allen Turnover.,37,57
8:08,2382,Darius Roy Steal.,37,57
8:07,2382,Darius Roy missed Layup.,37,57
8:07,2382,Ross Cummings Offensive Rebound.,37,57
8:02,2382,Ross Cummings made Layup.,39,57
7:47,2382,Foul on Desmond Ringer.,39,57
7:47,57,Official TV Timeout,39,57
7:47,57,John Egbunu made Free Throw.,39,58
7:47,57,John Egbunu made Free Throw.,39,59
7:29,2382,Ryan Johnson missed Jumper.,39,59
7:29,57,John Egbunu Block.,39,59
7:26,2382,Jordan Strawberry Offensive Rebound.,39,59
7:24,2382,Jordan Strawberry missed Jumper.,39,59
7:24,57,Devin Robinson Defensive Rebound.,39,59
7:17,57,Justin Leon made Three Point Jumper. Assisted by Devin Robinson.,39,62
6:51,2382,Jordan Strawberry Turnover.,39,62
6:49,57,John Egbunu Steal.,39,62
6:46,57,Devin Robinson made Dunk. Assisted by Kasey Hill.,39,64
6:37,2382,Mercer  Timeout,39,64
6:27,57,Foul on Devin Robinson.,39,64
6:27,2382,Jordan Strawberry missed Free Throw.,39,64
6:27,2382,Jordan Strawberry Offensive Rebound.,39,64
6:25,57,Foul on Justin Leon.,39,64
6:25,2382,Jordan Strawberry made Free Throw.,40,64
6:25,2382,Jordan Strawberry made Free Throw.,41,64
6:14,57,Kasey Hill Turnover.,41,64
5:59,2382,Cory Kilby made Jumper.,43,64
5:33,57,Kasey Hill missed Jumper.,43,64
5:33,2382,Ryan Johnson Defensive Rebound.,43,64
5:16,2382,Ria'n Holland missed Three Point Jumper.,43,64
5:16,57,Devin Robinson Defensive Rebound.,43,64
5:09,57,Justin Leon made Three Point Jumper. Assisted by Chris Chiozza.,43,67
4:48,2382,JJ N'Ganga missed Layup.,43,67
4:48,57,Justin Leon Defensive Rebound.,43,67
4:31,57,Kasey Hill missed Three Point Jumper.,43,67
4:31,2382,Ryan Johnson Defensive Rebound.,43,67
4:05,2382,Ryan Johnson made Jumper.,45,67
3:49,57,Justin Leon made Three Point Jumper. Assisted by Kasey Hill.,45,70
3:39,2382,Ria'n Holland made Three Point Jumper.,48,70
3:15,57,Devin Robinson missed Three Point Jumper.,48,70
3:15,2382,Ryan Johnson Defensive Rebound.,48,70
2:59,2382,Cory Kilby missed Three Point Jumper.,48,70
2:59,2382,Ryan Johnson Offensive Rebound.,48,70
2:56,2382,Ryan Johnson made Layup.,50,70
2:41,57,Official TV Timeout,50,70
2:33,2382,Foul on Andrew Fishler.,50,70
2:33,57,Chris Chiozza missed Free Throw.,50,70
2:33,57,Florida Deadball Team Rebound.,50,70
2:33,57,Chris Chiozza made Free Throw.,50,71
2:20,57,Foul on Gorjok Gak.,50,71
2:20,2382,Andrew Fishler missed Free Throw.,50,71
2:20,2382,Mercer Deadball Team Rebound.,50,71
2:20,2382,Andrew Fishler made Free Throw.,51,71
2:11,57,KeVaughn Allen Turnover.,51,71
2:05,2382,Ross Cummings missed Jumper.,51,71
2:05,57,Canyon Barry Defensive Rebound.,51,71
1:53,57,Eric Hester missed Three Point Jumper.,51,71
1:53,2382,Darius Roy Defensive Rebound.,51,71
1:43,57,Foul on Keith Stone.,51,71
1:43,2382,Darius Roy made Free Throw.,52,71
1:43,2382,Darius Roy made Free Throw.,53,71
1:37,2382,Foul on Rashad Lewis.,53,71
1:37,57,Eric Hester made Free Throw.,53,72
1:37,57,Eric Hester missed Free Throw.,53,72
1:37,2382,Darius Roy Defensive Rebound.,53,72
1:24,2382,Rashad Lewis missed Jumper.,53,72
1:24,57,Florida Defensive Rebound.,53,72
1:23,57,Schuyler Rimmer Turnover.,53,72
1:23,2382,Rashad Lewis Steal.,53,72
1:23,2382,Rashad Lewis missed Jumper.,53,72
1:23,57,Chris Chiozza Defensive Rebound.,53,72
1:16,57,Chris Chiozza missed Jumper.,53,72
1:16,57,Gorjok Gak Offensive Rebound.,53,72
1:04,2382,Foul on JJ N'Ganga.,53,72
1:04,57,Gorjok Gak made Free Throw.,53,73
1:03,57,Gorjok Gak missed Free Throw.,53,73
1:03,2382,Cory Kilby Defensive Rebound.,53,73
0:48,2382,Cory Kilby missed Three Point Jumper.,53,73
0:48,57,Gorjok Gak Defensive Rebound.,53,73
0:37,57,Schuyler Rimmer made Layup. Assisted by Chris Chiozza.,53,75
0:37,2382,Foul on Rashad Lewis.,53,75
0:37,57,Schuyler Rimmer made Free Throw.,53,76
0:26,57,Foul on Schuyler Rimmer.,53,76
0:26,2382,Rashad Lewis made Free Throw.,54,76
0:26,2382,Rashad Lewis missed Free Throw.,54,76
0:26,57,Canyon Barry Defensive Rebound.,54,76
0:00,57,End of Game,54,78
