Portland State,2239,CS Fullerton,2502
1:20,2239,Tre Coggins Defensive Rebound.,39,40
1:16,2239,CS Fullerton  Timeout,39,40
0:57,2239,Foul on Jackson Rowe.,39,40
0:57,2239,Jackson Rowe Turnover.,39,40
0:42,2502,Bryce Canda missed Three Point Jumper.,39,40
0:42,2239,Tre Coggins Defensive Rebound.,39,40
0:33,2239,Tre Coggins made Three Point Jumper. Assisted by Austen Awosika.,39,43
0:03,2502,Calaen Robinson missed Layup.,39,43
0:03,2502,Traylin Farris Offensive Rebound.,39,43
0:00,2502,Traylin Farris made Jumper.,41,43
0:00,2239,End of 1st half,39,43
19:41,2239,Jackson Rowe made Layup. Assisted by Kyle Allman.,41,45
19:22,2502,Zach Gengler made Jumper.,43,45
18:53,2239,Tre Coggins made Three Point Jumper. Assisted by Lionheart Leslie.,43,48
18:39,2239,Foul on Tre Coggins.,43,48
18:33,2502,De'Sean Parsons made Layup. Assisted by Calaen Robinson.,45,48
18:17,2239,Kyle Allman made Layup. Assisted by Darcy Malone.,45,50
17:49,2502,De'Sean Parsons missed Jumper.,45,50
17:49,2239,Darcy Malone Defensive Rebound.,45,50
17:43,2239,Tre Coggins missed Three Point Jumper.,45,50
17:43,2502,De'Sean Parsons Defensive Rebound.,45,50
17:34,2502,De'Sean Parsons made Layup. Assisted by Braxton Tucker.,47,50
17:12,2239,Jackson Rowe Turnover.,47,50
16:59,2239,Foul on Davon Clare.,47,50
16:59,2502,De'Sean Parsons made Free Throw.,48,50
16:59,2502,De'Sean Parsons made Free Throw.,49,50
16:49,2239,Tre Coggins missed Three Point Jumper.,49,50
16:49,2502,Braxton Tucker Defensive Rebound.,49,50
16:38,2239,Foul on Lionheart Leslie.,49,50
16:38,2502,Calaen Robinson made Free Throw.,50,50
16:38,2502,Calaen Robinson made Free Throw.,51,50
16:21,2239,Kyle Allman made Layup. Assisted by Austen Awosika.,51,52
15:48,2502,Calaen Robinson Turnover.,51,52
15:46,2239,Davon Clare Steal.,51,52
15:45,2502,Foul on Calaen Robinson.,51,52
15:45,2239,Official TV Timeout,51,52
15:45,2239,Austen Awosika missed Free Throw.,51,52
15:45,2239,CS Fullerton Deadball Team Rebound.,51,52
15:45,2239,Austen Awosika made Free Throw.,51,53
15:18,2502,Zach Gengler made Layup. Assisted by Calaen Robinson.,53,53
14:56,2239,Kyle Allman missed Three Point Jumper.,53,53
14:56,2502,Bryce Canda Defensive Rebound.,53,53
14:34,2502,Braxton Tucker missed Jumper.,53,53
14:34,2239,Davon Clare Defensive Rebound.,53,53
14:24,2239,Tre Coggins missed Three Point Jumper.,53,53
14:24,2239,Jackson Rowe Offensive Rebound.,53,53
14:00,2239,Jackson Rowe made Layup. Assisted by Austen Awosika.,53,55
13:44,2502,Calaen Robinson made Three Point Jumper. Assisted by De'Sean Parsons.,56,55
13:25,2239,Foul on Davon Clare.,56,55
13:25,2239,Davon Clare Turnover.,56,55
13:11,2502,Bryce Canda missed Layup.,56,55
13:11,2239,Tre Coggins Defensive Rebound.,56,55
13:03,2239,Tre Coggins made Layup.,56,57
12:44,2502,Khari Holloway missed Three Point Jumper.,56,57
12:44,2239,Austen Awosika Defensive Rebound.,56,57
12:44,2502,Foul on Braxton Tucker.,56,57
12:16,2239,Tre Coggins made Three Point Jumper. Assisted by Jamal Smith.,56,60
12:02,2502,Bryce Canda made Three Point Jumper. Assisted by Khari Holloway.,59,60
12:02,2239,Foul on Jamal Smith.,59,60
12:02,2502,Bryce Canda missed Free Throw.,59,60
12:02,2239,CS Fullerton Defensive Rebound.,59,60
11:47,2239,Official TV Timeout,59,60
11:40,2239,Tre Coggins missed Three Point Jumper.,59,60
11:40,2239,Lionheart Leslie Offensive Rebound.,59,60
11:20,2239,Dwight Ramos missed Jumper.,59,60
11:20,2239,Lionheart Leslie Offensive Rebound.,59,60
11:02,2239,Dwight Ramos missed Three Point Jumper.,59,60
11:02,2502,Calaen Robinson Defensive Rebound.,59,60
10:48,2502,Calaen Robinson missed Three Point Jumper.,59,60
10:48,2239,Tre Coggins Defensive Rebound.,59,60
10:46,2239,Lionheart Leslie Turnover.,59,60
10:46,2502,Calaen Robinson Steal.,59,60
10:40,2502,Khari Holloway Turnover.,59,60
10:24,2239,Lionheart Leslie missed Three Point Jumper.,59,60
10:24,2502,Braxton Tucker Defensive Rebound.,59,60
10:06,2502,Braxton Tucker made Jumper.,61,60
9:52,2239,Jackson Rowe made Layup. Assisted by Lionheart Leslie.,61,62
9:18,2502,Khari Holloway made Jumper.,63,62
8:55,2239,Davon Clare missed Layup.,63,62
8:55,2502,De'Sean Parsons Block.,63,62
8:52,2502,Deontae North Defensive Rebound.,63,62
8:45,2502,Traylin Farris made Layup. Assisted by Calaen Robinson.,65,62
8:39,2239,CS Fullerton  Timeout,65,62
8:34,2239,Dwight Ramos missed Jumper.,65,62
8:34,2502,Traylin Farris Defensive Rebound.,65,62
8:20,2502,De'Sean Parsons Turnover.,65,62
8:03,2239,Kyle Allman made Layup.,65,64
7:41,2239,Foul on Lionheart Leslie.,65,64
7:41,2239,Official TV Timeout,65,64
7:41,2502,Traylin Farris missed Free Throw.,65,64
7:41,2502,Portland St Deadball Team Rebound.,65,64
7:41,2502,Traylin Farris made Free Throw.,66,64
7:14,2239,Kyle Allman Turnover.,66,64
7:13,2502,Traylin Farris Steal.,66,64
7:09,2502,De'Sean Parsons Turnover.,66,64
7:00,2502,Foul on Calaen Robinson.,66,64
6:47,2239,Davon Clare missed Layup.,66,64
6:47,2239,Jackson Rowe Offensive Rebound.,66,64
6:44,2239,Davon Clare Turnover.,66,64
6:24,2502,Braxton Tucker missed Jumper.,66,64
6:24,2239,Davon Clare Defensive Rebound.,66,64
6:23,2239,Kyle Allman made Layup.,66,66
6:15,2502,Khari Holloway missed Layup.,66,66
6:15,2239,Davon Clare Block.,66,66
6:11,2239,Davon Clare Defensive Rebound.,66,66
6:10,2239,Austen Awosika Turnover.,66,66
6:10,2502,Deontae North Steal.,66,66
5:59,2239,Foul on Austen Awosika.,66,66
5:59,2502,Khari Holloway made Free Throw.,67,66
5:59,2502,Khari Holloway made Free Throw.,68,66
5:37,2502,Foul on Traylin Farris.,68,66
5:37,2239,Jackson Rowe made Free Throw.,68,67
5:37,2239,Jackson Rowe missed Free Throw.,68,67
5:37,2502,Braxton Tucker Defensive Rebound.,68,67
5:22,2502,Deontae North missed Three Point Jumper.,68,67
5:22,2239,CS Fullerton Defensive Rebound.,68,67
5:19,2502,Foul on Traylin Farris.,68,67
5:03,2239,Jackson Rowe Turnover.,68,67
5:01,2502,Braxton Tucker Steal.,68,67
4:54,2502,Braxton Tucker made Layup. Assisted by Zach Gengler.,70,67
4:36,2502,Foul on Traylin Farris.,70,67
4:26,2239,Tre Coggins made Three Point Jumper. Assisted by Davon Clare.,70,70
4:06,2502,Zach Gengler made Layup.,72,70
3:50,2239,Tre Coggins missed Jumper.,72,70
3:50,2239,Jackson Rowe Offensive Rebound.,72,70
3:40,2239,Lionheart Leslie Turnover.,72,70
3:40,2239,Official TV Timeout,72,70
3:20,2502,Khari Holloway missed Three Point Jumper.,72,70
3:20,2239,Lionheart Leslie Defensive Rebound.,72,70
2:59,2239,Lionheart Leslie Turnover.,72,70
2:57,2502,De'Sean Parsons Steal.,72,70
2:55,2502,De'Sean Parsons made Dunk.,74,70
2:39,2502,Foul on Khari Holloway.,74,70
2:39,2239,Kyle Allman made Free Throw.,74,71
2:39,2239,Kyle Allman made Free Throw.,74,72
2:12,2502,Braxton Tucker missed Jumper.,74,72
2:12,2502,De'Sean Parsons Offensive Rebound.,74,72
2:09,2502,De'Sean Parsons made Layup.,76,72
1:57,2239,Kyle Allman missed Jumper.,76,72
1:57,2239,Jackson Rowe Offensive Rebound.,76,72
1:50,2239,Jackson Rowe Turnover.,76,72
1:49,2502,Braxton Tucker Steal.,76,72
1:38,2239,Foul on Jackson Rowe.,76,72
1:38,2502,Calaen Robinson made Free Throw.,77,72
1:38,2502,Calaen Robinson made Free Throw.,78,72
1:23,2239,Davon Clare missed Three Point Jumper.,78,72
1:23,2502,De'Sean Parsons Defensive Rebound.,78,72
1:16,2502,Braxton Tucker made Layup. Assisted by De'Sean Parsons.,80,72
1:06,2239,CS Fullerton  Timeout,80,72
0:57,2239,Lionheart Leslie made Layup.,80,74
0:54,2239,Foul on Lionheart Leslie.,80,74
0:54,2502,Zach Gengler missed Free Throw.,80,74
0:54,2239,Davon Clare Defensive Rebound.,80,74
0:47,2239,Tre Coggins made Three Point Jumper. Assisted by Jackson Rowe.,80,77
0:45,2239,CS Fullerton  Timeout,80,77
0:43,2502,Calaen Robinson Turnover.,80,77
0:38,2239,Kyle Allman Turnover.,80,77
0:38,2502,Traylin Farris Turnover.,80,77
0:38,2239,Austen Awosika Steal.,80,77
0:28,2239,Tre Coggins missed Three Point Jumper.,80,77
0:28,2502,Traylin Farris Defensive Rebound.,80,77
0:23,2239,Foul on Jackson Rowe.,80,77
0:23,2502,Bryce Canda missed Free Throw.,80,77
0:23,2502,Portland St Deadball Team Rebound.,80,77
0:23,2502,Bryce Canda missed Free Throw.,80,77
0:23,2239,Jackson Rowe Defensive Rebound.,80,77
0:16,2502,Foul on Zach Gengler.,80,77
0:16,2239,Tre Coggins made Free Throw.,80,78
0:16,2239,Tre Coggins made Free Throw.,80,79
0:16,2239,Tre Coggins made Free Throw.,80,80
0:12,2502,Portland St  Timeout,80,80
0:04,2502,Calaen Robinson missed Layup.,80,80
0:04,2239,Kyle Allman Defensive Rebound.,80,80
0:00,2239,End of 2nd half,80,80
4:49,2239,Tre Coggins missed Three Point Jumper.,80,80
4:49,2502,Calaen Robinson Defensive Rebound.,80,80
4:37,2502,De'Sean Parsons Turnover.,80,80
4:10,2239,Tre Coggins made Three Point Jumper. Assisted by Jamal Smith.,80,83
4:01,2239,Foul on Jamal Smith.,80,83
4:01,2502,Calaen Robinson made Free Throw.,81,83
4:01,2502,Calaen Robinson made Free Throw.,82,83
3:33,2239,Tre Coggins made Three Point Jumper. Assisted by Jamal Smith.,82,86
3:16,2502,De'Sean Parsons missed Jumper.,82,86
3:16,2239,Davon Clare Block.,82,86
3:14,2239,Davon Clare Defensive Rebound.,82,86
2:55,2239,Davon Clare missed Layup.,82,86
2:55,2502,Calaen Robinson Defensive Rebound.,82,86
2:50,2502,Khari Holloway made Layup.,84,86
2:15,2239,Jackson Rowe Turnover.,84,86
2:00,2502,Braxton Tucker made Three Point Jumper. Assisted by Calaen Robinson.,87,86
1:47,2239,CS Fullerton  Timeout,87,86
1:32,2239,Jamal Smith missed Three Point Jumper.,87,86
1:32,2502,Bryce Canda Defensive Rebound.,87,86
1:20,2502,Portland St  Timeout,87,86
1:03,2502,Calaen Robinson missed Three Point Jumper.,87,86
1:03,2239,Tre Coggins Defensive Rebound.,87,86
0:49,2239,Jackson Rowe made Layup. Assisted by Kyle Allman.,87,88
0:39,2502,Foul on Calaen Robinson.,87,88
0:39,2502,Calaen Robinson Turnover.,87,88
0:21,2239,Tre Coggins made Layup.,87,90
0:16,2502,Portland St  Timeout,87,90
0:10,2502,Bryce Canda made Three Point Jumper.,90,90
0:04,2239,Tre Coggins missed Layup.,90,90
0:04,2502,Traylin Farris Block.,90,90
0:01,2502,Traylin Farris Defensive Rebound.,90,90
0:00,2239,End of 1st overtime,90,90
4:37,2502,Zach Gengler made Jumper. Assisted by Khari Holloway.,92,90
4:13,2239,Tre Coggins missed Three Point Jumper.,92,90
4:13,2239,Darcy Malone Offensive Rebound.,92,90
4:09,2502,Foul on Braxton Tucker.,92,90
4:09,2239,Darcy Malone missed Free Throw.,92,90
4:09,2239,CS Fullerton Deadball Team Rebound.,92,90
4:09,2239,Darcy Malone made Free Throw.,92,91
3:42,2502,Khari Holloway missed Layup.,92,91
3:42,2502,Traylin Farris Offensive Rebound.,92,91
3:40,2502,Traylin Farris made Layup.,94,91
3:40,2239,Foul on Jackson Rowe.,94,91
3:40,2502,Traylin Farris missed Free Throw.,94,91
3:40,2239,Kyle Allman Defensive Rebound.,94,91
3:20,2239,Jamal Smith made Three Point Jumper. Assisted by Austen Awosika.,94,94
2:59,2502,Braxton Tucker missed Layup.,94,94
2:59,2239,Jamal Smith Defensive Rebound.,94,94
2:37,2239,Kyle Allman made Jumper. Assisted by Jamal Smith.,94,96
2:19,2239,Foul on Kyle Allman.,94,96
2:19,2502,Zach Gengler made Free Throw.,95,96
2:19,2502,Zach Gengler made Free Throw.,96,96
2:19,2502,Portland St  Timeout,96,96
1:58,2239,Kyle Allman missed Layup.,96,96
1:58,2239,Jackson Rowe Offensive Rebound.,96,96
1:56,2502,Foul on Bryce Canda.,96,96
1:56,2239,Jackson Rowe made Free Throw.,96,97
1:56,2239,Jackson Rowe made Free Throw.,96,98
1:45,2239,Foul on Kyle Allman.,96,98
1:45,2502,Bryce Canda made Free Throw.,97,98
1:45,2502,Bryce Canda made Free Throw.,98,98
1:31,2239,Jackson Rowe Turnover.,98,98
1:30,2502,Zach Gengler Steal.,98,98
1:13,2502,Foul on Bryce Canda.,98,98
1:13,2502,Bryce Canda Turnover.,98,98
1:03,2239,Tre Coggins made Three Point Jumper. Assisted by Davon Clare.,98,101
0:41,2502,Zach Gengler missed Jumper.,98,101
0:41,2239,Jamal Smith Defensive Rebound.,98,101
0:32,2502,Foul on Braxton Tucker.,98,101
0:32,2239,Kyle Allman made Free Throw.,98,102
0:32,2239,Kyle Allman made Free Throw.,98,103
0:32,2239,CS Fullerton  Timeout,98,103
0:23,2502,Khari Holloway missed Jumper.,98,103
0:23,2239,CS Fullerton Defensive Rebound.,98,103
0:14,2502,Foul on Zach Gengler.,98,103
0:14,2239,Kyle Allman made Free Throw.,98,104
0:14,2239,Kyle Allman made Free Throw.,98,105
0:08,2502,Khari Holloway made Jumper.,100,105
0:07,2502,Foul on Khari Holloway.,100,105
0:07,2239,Jamal Smith missed Free Throw.,100,105
0:07,2239,CS Fullerton Deadball Team Rebound.,100,105
0:07,2239,Jamal Smith made Free Throw.,100,106
0:00,2239,End of Game,100,106
