Texas State,62,Hawai'i,326
6:50,326,Immanuel King Offensive Rebound.,19,13
6:47,326,Immanuel King made Jumper.,21,13
6:36,62,Gibson Johnson made Layup. Assisted by Jack Purchase.,21,15
6:10,326,Nedeljko Prijovic missed Jumper.,21,15
6:10,62,Noah Allen Defensive Rebound.,21,15
6:00,62,Noah Allen missed Jumper.,21,15
5:58,326,Ojai Black Defensive Rebound.,21,15
5:55,62,Foul on Noah Allen.,21,15
5:34,62,Foul on Matthew Owies.,21,15
5:34,326,Nijal Pearson missed Free Throw.,21,15
5:34,326,Texas State Deadball Team Rebound.,21,15
5:34,326,Nijal Pearson missed Free Throw.,21,15
5:34,62,Noah Allen Defensive Rebound.,21,15
5:24,62,Noah Allen made Layup. Assisted by Jack Purchase.,21,17
5:11,62,Foul on Ido Flaisher.,21,17
5:11,326,Bobby Conley missed Free Throw.,21,17
5:11,326,Texas State Deadball Team Rebound.,21,17
5:11,326,Bobby Conley made Free Throw.,22,17
4:54,62,Gibson Johnson made Jumper.,22,19
4:54,326,Foul on Maxwell Starwood.,22,19
4:54,62,Gibson Johnson missed Free Throw.,22,19
4:54,326,Maxwell Starwood Defensive Rebound.,22,19
4:40,326,Maxwell Starwood missed Jumper.,22,19
4:40,326,Kavin Gilder-Tilbury Offensive Rebound.,22,19
4:36,62,Foul on Gibson Johnson.,22,19
4:36,326,Kavin Gilder-Tilbury made Free Throw.,23,19
4:36,326,Kavin Gilder-Tilbury made Free Throw.,24,19
4:24,62,Matthew Owies missed Three Point Jumper.,24,19
4:24,62,Jack Purchase Offensive Rebound.,24,19
4:20,62,Jack Purchase Turnover.,24,19
4:18,326,Ojai Black Steal.,24,19
4:16,326,Ojai Black made Layup.,26,19
3:56,62,Jack Purchase made Three Point Jumper. Assisted by Noah Allen.,26,22
3:28,326,Kavin Gilder-Tilbury made Three Point Jumper. Assisted by Ojai Black.,29,22
3:16,62,Jack Purchase Turnover.,29,22
3:14,326,Kavin Gilder-Tilbury Steal.,29,22
3:12,326,Kavin Gilder-Tilbury made Three Point Jumper. Assisted by Ojai Black.,32,22
3:00,326,Foul on Bobby Conley.,32,22
3:00,62,Official TV Timeout,32,22
3:00,62,Sheriff Drammeh made Free Throw.,32,23
3:00,62,Sheriff Drammeh made Free Throw.,32,24
2:42,62,Foul on Zigmars Raimo.,32,24
2:42,326,Nijal Pearson made Free Throw.,33,24
2:42,326,Nijal Pearson made Free Throw.,34,24
2:34,62,Jack Purchase missed Three Point Jumper.,34,24
2:34,326,Bobby Conley Defensive Rebound.,34,24
2:10,326,Immanuel King Turnover.,34,24
1:50,62,Matthew Owies missed Three Point Jumper.,34,24
1:50,326,Nijal Pearson Defensive Rebound.,34,24
1:23,326,Kavin Gilder-Tilbury missed Three Point Jumper.,34,24
1:23,62,Hawai'i Deadball Team Rebound.,34,24
1:20,326,Foul on Immanuel King.,34,24
1:20,62,Zigmars Raimo missed Free Throw.,34,24
1:20,326,Kavin Gilder-Tilbury Defensive Rebound.,34,24
0:59,326,Nijal Pearson made Layup.,36,24
0:41,62,Sheriff Drammeh Turnover.,36,24
0:37,326,Bobby Conley made Layup.,38,24
0:36,326,Texas State  Timeout,38,24
0:07,62,Noah Allen missed Layup.,38,24
0:07,62,Zigmars Raimo Offensive Rebound.,38,24
0:03,326,Foul on Immanuel King.,38,24
0:03,62,Zigmars Raimo made Free Throw.,38,25
0:03,62,Zigmars Raimo made Free Throw.,38,26
0:00,326,Ojai Black Turnover.,38,26
0:00,62,End of 1st half,38,26
19:44,326,Kavin Gilder-Tilbury missed Jumper.,38,26
19:44,62,Leland Green Defensive Rebound.,38,26
19:37,62,Leland Green made Layup.,38,28
19:07,326,Kavin Gilder-Tilbury made Layup.,40,28
18:50,326,Foul on Maljhum McCrea.,40,28
18:50,62,Leland Green made Free Throw.,40,29
18:50,62,Leland Green made Free Throw.,40,30
18:24,326,Ojai Black missed Jumper.,40,30
18:24,62,Leland Green Defensive Rebound.,40,30
18:12,62,Gibson Johnson missed Layup.,40,30
18:12,326,Ojai Black Block.,40,30
18:11,326,Ojai Black Defensive Rebound.,40,30
18:10,326,Ojai Black Turnover.,40,30
18:07,62,Gibson Johnson made Jumper.,40,32
17:51,326,Bobby Conley made Jumper.,42,32
17:38,326,Foul on Immanuel King.,42,32
17:29,62,Noah Allen made Layup. Assisted by Jack Purchase.,42,34
17:10,326,Maxwell Starwood made Jumper. Assisted by Ojai Black.,44,34
16:58,62,Noah Allen made Three Point Jumper. Assisted by Sheriff Drammeh.,44,37
16:23,326,Bobby Conley missed Jumper.,44,37
16:23,62,Jack Purchase Defensive Rebound.,44,37
16:10,326,Foul on Kavin Gilder-Tilbury.,44,37
16:10,62,Gibson Johnson made Free Throw.,44,38
16:10,62,Gibson Johnson missed Free Throw.,44,38
16:10,326,Maljhum McCrea Defensive Rebound.,44,38
15:43,326,Nijal Pearson missed Three Point Jumper.,44,38
15:43,62,Gibson Johnson Defensive Rebound.,44,38
15:26,62,Sheriff Drammeh made Layup. Assisted by Gibson Johnson.,44,40
15:00,326,Maljhum McCrea made Jumper.,46,40
14:42,62,Gibson Johnson missed Three Point Jumper.,46,40
14:42,326,Texas State Defensive Rebound.,46,40
14:37,62,Official TV Timeout,46,40
14:18,326,Marlin Davis made Three Point Jumper. Assisted by Kavin Gilder-Tilbury.,49,40
13:50,62,Sheriff Drammeh missed Jumper.,49,40
13:50,326,Maljhum McCrea Defensive Rebound.,49,40
13:26,62,Foul on Leland Green.,49,40
13:25,326,Kavin Gilder-Tilbury missed Jumper.,49,40
13:25,62,Sheriff Drammeh Defensive Rebound.,49,40
13:15,326,Foul on Maljhum McCrea.,49,40
13:15,62,Sheriff Drammeh made Free Throw.,49,41
13:15,62,Sheriff Drammeh made Free Throw.,49,42
12:57,326,Marlin Davis Turnover.,49,42
12:55,62,Jack Purchase Steal.,49,42
12:41,62,Brocke Stepteau made Three Point Jumper. Assisted by Sheriff Drammeh.,49,45
12:20,326,Marlin Davis missed Three Point Jumper.,49,45
12:20,62,Gibson Johnson Defensive Rebound.,49,45
12:07,62,Sheriff Drammeh Turnover.,49,45
12:06,326,Immanuel King Steal.,49,45
11:48,326,Nijal Pearson made Layup.,51,45
11:31,62,Sheriff Drammeh made Three Point Jumper. Assisted by Jack Purchase.,51,48
11:11,326,Bobby Conley missed Three Point Jumper.,51,48
11:11,326,Bobby Conley Offensive Rebound.,51,48
10:55,326,Immanuel King made Jumper.,53,48
10:35,62,Sheriff Drammeh Turnover.,53,48
10:34,326,Bobby Conley Steal.,53,48
10:32,326,Bobby Conley made Layup.,55,48
10:09,62,Official TV Timeout,55,48
10:08,62,Noah Allen made Jumper. Assisted by Sheriff Drammeh.,55,50
9:45,326,Tyler Blount Turnover.,55,50
9:29,326,Foul on Nijal Pearson.,55,50
9:15,62,Ido Flaisher made Layup. Assisted by Sheriff Drammeh.,55,52
9:14,326,Foul on Immanuel King.,55,52
9:14,62,Ido Flaisher made Free Throw.,55,53
9:06,326,Ojai Black missed Jumper.,55,53
9:06,62,Brocke Stepteau Defensive Rebound.,55,53
8:50,62,Ido Flaisher made Layup.,55,55
8:29,62,Foul on Ido Flaisher.,55,55
8:29,326,Nedeljko Prijovic missed Free Throw.,55,55
8:29,326,Texas State Deadball Team Rebound.,55,55
8:29,326,Nedeljko Prijovic missed Free Throw.,55,55
8:29,62,Ido Flaisher Defensive Rebound.,55,55
8:14,62,Jack Purchase missed Three Point Jumper.,55,55
8:14,326,Maljhum McCrea Defensive Rebound.,55,55
8:01,62,Foul on Ido Flaisher.,55,55
8:01,326,Maljhum McCrea missed Free Throw.,55,55
8:01,326,Texas State Deadball Team Rebound.,55,55
8:01,326,Maljhum McCrea made Free Throw.,56,55
7:35,62,Hawai'i  Timeout,56,55
7:29,62,Hawai'i  Turnover.,56,55
7:21,326,Nijal Pearson made Layup.,58,55
6:49,62,Jack Purchase made Three Point Jumper. Assisted by Noah Allen.,58,58
6:25,326,Ojai Black made Layup. Assisted by Nijal Pearson.,60,58
6:10,62,Noah Allen missed Three Point Jumper.,60,58
6:10,326,Nijal Pearson Defensive Rebound.,60,58
5:47,326,Kavin Gilder-Tilbury made Three Point Jumper. Assisted by Nijal Pearson.,63,58
5:32,326,Foul on Nijal Pearson.,63,58
5:32,62,Noah Allen missed Free Throw.,63,58
5:32,326,Kavin Gilder-Tilbury Defensive Rebound.,63,58
5:15,326,Kavin Gilder-Tilbury Turnover.,63,58
5:15,326,Foul on Kavin Gilder-Tilbury.,63,58
5:07,62,Gibson Johnson missed Layup.,63,58
5:07,326,Maljhum McCrea Block.,63,58
5:07,62,Hawai'i Offensive Rebound.,63,58
4:54,326,Foul on Maljhum McCrea.,63,58
4:54,62,Gibson Johnson made Free Throw.,63,59
4:54,62,Gibson Johnson made Free Throw.,63,60
4:36,326,Ojai Black missed Jumper.,63,60
4:36,62,Hawai'i Defensive Rebound.,63,60
4:18,62,Leland Green made Three Point Jumper. Assisted by Gibson Johnson.,63,63
3:56,326,Immanuel King Turnover.,63,63
3:55,62,Official TV Timeout,63,63
3:43,326,Foul on Nijal Pearson.,63,63
3:43,62,Sheriff Drammeh made Free Throw.,63,64
3:43,62,Sheriff Drammeh made Free Throw.,63,65
3:30,62,Foul on Leland Green.,63,65
3:30,326,Texas State  Turnover.,63,65
3:04,62,Jack Purchase missed Three Point Jumper.,63,65
3:04,326,Bobby Conley Defensive Rebound.,63,65
2:44,62,Foul on Noah Allen.,63,65
2:33,326,Bobby Conley missed Jumper.,63,65
2:33,62,Sheriff Drammeh Defensive Rebound.,63,65
2:12,62,Sheriff Drammeh missed Jumper.,63,65
2:12,62,Noah Allen Offensive Rebound.,63,65
2:09,62,Noah Allen Turnover.,63,65
2:09,326,Texas State  Timeout,63,65
2:00,326,Kavin Gilder-Tilbury missed Three Point Jumper.,63,65
2:00,62,Sheriff Drammeh Defensive Rebound.,63,65
1:43,326,Foul on Kavin Gilder-Tilbury.,63,65
1:43,62,Jack Purchase made Free Throw.,63,66
1:43,62,Jack Purchase made Free Throw.,63,67
1:33,62,Foul on Sheriff Drammeh.,63,67
1:33,326,Ojai Black missed Free Throw.,63,67
1:33,326,Texas State Deadball Team Rebound.,63,67
1:33,326,Ojai Black made Free Throw.,64,67
1:33,326,Texas State  Timeout,64,67
1:04,62,Gibson Johnson made Layup. Assisted by Noah Allen.,64,69
0:46,326,Kavin Gilder-Tilbury missed Three Point Jumper.,64,69
0:46,62,Gibson Johnson Defensive Rebound.,64,69
0:35,326,Foul on Bobby Conley.,64,69
0:35,62,Jack Purchase made Free Throw.,64,70
0:35,62,Jack Purchase made Free Throw.,64,71
0:24,326,Immanuel King made Dunk. Assisted by Bobby Conley.,66,71
0:24,326,Texas State  Timeout,66,71
0:17,326,Foul on Kavin Gilder-Tilbury.,66,71
0:17,62,Sheriff Drammeh missed Free Throw.,66,71
0:17,62,Hawai'i Deadball Team Rebound.,66,71
0:17,62,Sheriff Drammeh made Free Throw.,66,72
0:12,62,Foul on Leland Green.,66,72
0:12,326,Nijal Pearson made Free Throw.,67,72
0:12,326,Nijal Pearson made Free Throw.,68,72
0:08,326,Foul on Ojai Black.,68,72
0:08,62,Sheriff Drammeh made Free Throw.,68,73
0:08,62,Sheriff Drammeh made Free Throw.,68,74
0:05,326,Ojai Black missed Three Point Jumper.,68,74
0:05,62,Jack Purchase Defensive Rebound.,68,74
0:00,62,End of Game,68,74
