Mt. St. Mary's,2083,Bucknell,116
12:25,116,Khalid Nwandu Turnover.,46,49
12:16,2083,Zach Thomas Turnover.,46,49
12:15,116,Chris Wray Steal.,46,49
12:12,116,Elijah Long made Layup.,48,49
12:05,2083,Kimbal Mackenzie Turnover.,48,49
12:04,116,Chris Wray Steal.,48,49
12:02,116,Elijah Long missed Layup.,48,49
12:02,2083,Zach Thomas Block.,48,49
12:01,116,Khalid Nwandu Offensive Rebound.,48,49
11:49,116,Elijah Long missed Jumper.,48,49
11:49,116,Chris Wray Offensive Rebound.,48,49
11:35,2083,Foul on Nate Jones.,48,49
11:35,2083,Official TV Timeout,48,49
11:35,116,Khalid Nwandu made Free Throw.,49,49
11:35,116,Khalid Nwandu made Free Throw.,50,49
11:18,116,Foul on Charles Glover.,50,49
11:18,2083,Zach Thomas missed Free Throw.,50,49
11:18,2083,Bucknell Deadball Team Rebound.,50,49
11:18,2083,Zach Thomas made Free Throw.,50,50
10:57,116,Will Miller missed Jumper.,50,50
10:57,2083,Zach Thomas Block.,50,50
10:55,2083,Kimbal Mackenzie Defensive Rebound.,50,50
10:31,2083,Nana Foulland missed Jumper.,50,50
10:31,116,Chris Wray Defensive Rebound.,50,50
10:19,116,Charles Glover Turnover.,50,50
10:18,2083,Zach Thomas Turnover.,50,50
10:17,116,Chris Wray Steal.,50,50
10:11,116,Charles Glover missed Layup.,50,50
10:11,2083,Stephen Brown Defensive Rebound.,50,50
10:05,116,Foul on Charles Glover.,50,50
10:05,2083,Zach Thomas made Free Throw.,50,51
10:05,2083,Zach Thomas made Free Throw.,50,52
9:59,116,Elijah Long Turnover.,50,52
9:57,2083,Zach Thomas Steal.,50,52
9:56,2083,Zach Thomas made Dunk.,50,54
9:44,116,Mt. St. Mary's  Timeout,50,54
9:33,116,Junior Robinson made Jumper.,52,54
9:23,2083,Nate Jones missed Layup.,52,54
9:23,2083,Zach Thomas Offensive Rebound.,52,54
9:12,2083,Zach Thomas missed Layup.,52,54
9:12,2083,Nate Jones Offensive Rebound.,52,54
9:05,2083,Zach Thomas missed Two Point Tip Shot.,52,54
9:05,116,Chris Wray Defensive Rebound.,52,54
9:03,116,Miles Wilson made Layup.,54,54
8:56,116,Foul on Chris Wray.,54,54
8:56,2083,Zach Thomas made Free Throw.,54,55
8:56,2083,Zach Thomas made Free Throw.,54,56
8:30,116,Chris Wray missed Layup.,54,56
8:30,2083,Nana Foulland Defensive Rebound.,54,56
8:23,2083,Stephen Brown made Layup.,54,58
8:01,116,Elijah Long Turnover.,54,58
8:00,2083,Nana Foulland Steal.,54,58
7:55,2083,Zach Thomas missed Layup.,54,58
7:55,116,Miles Wilson Block.,54,58
7:54,116,Will Miller Defensive Rebound.,54,58
7:42,116,Will Miller missed Three Point Jumper.,54,58
7:42,2083,Nana Foulland Defensive Rebound.,54,58
7:24,2083,Foul on Nana Foulland.,54,58
7:24,2083,Nana Foulland Turnover.,54,58
7:24,2083,Official TV Timeout,54,58
7:17,116,Miles Wilson Turnover.,54,58
7:01,2083,Zach Thomas made Dunk. Assisted by Nana Foulland.,54,60
6:41,2083,Foul on Zach Thomas.,54,60
6:41,116,Miles Wilson made Free Throw.,55,60
6:41,116,Miles Wilson made Free Throw.,56,60
6:29,116,Foul on Mawdo Sallah.,56,60
6:29,2083,Stephen Brown missed Free Throw.,56,60
6:29,2083,Bucknell Deadball Team Rebound.,56,60
6:29,2083,Stephen Brown made Free Throw.,56,61
6:05,116,Junior Robinson missed Jumper.,56,61
6:05,2083,Zach Thomas Block.,56,61
6:04,116,Mt. St. Mary's Deadball Team Rebound.,56,61
6:04,2083,Foul on Zach Thomas.,56,61
6:04,116,Miles Wilson missed Free Throw.,56,61
6:04,116,Mt. St. Mary's Deadball Team Rebound.,56,61
6:04,116,Miles Wilson made Free Throw.,57,61
6:02,116,Foul on Khalid Nwandu.,57,61
6:02,2083,Stephen Brown made Free Throw.,57,62
6:02,2083,Stephen Brown missed Free Throw.,57,62
6:02,116,Will Miller Defensive Rebound.,57,62
5:37,116,Junior Robinson Turnover.,57,62
5:37,2083,Kimbal Mackenzie Steal.,57,62
5:37,116,Foul on Junior Robinson.,57,62
5:37,2083,Kimbal Mackenzie made Free Throw.,57,63
5:37,2083,Kimbal Mackenzie made Free Throw.,57,64
5:25,116,Junior Robinson missed Three Point Jumper.,57,64
5:25,2083,Zach Thomas Defensive Rebound.,57,64
5:15,2083,Stephen Brown made Layup.,57,66
5:07,2083,Foul on Kimbal Mackenzie.,57,66
5:07,116,Elijah Long made Free Throw.,58,66
5:07,116,Elijah Long made Free Throw.,59,66
5:01,2083,Stephen Brown missed Layup.,59,66
5:01,116,Khalid Nwandu Defensive Rebound.,59,66
4:53,116,Elijah Long missed Layup.,59,66
4:53,2083,Nana Foulland Block.,59,66
4:52,116,Mt. St. Mary's Offensive Rebound.,59,66
4:44,116,Elijah Long Turnover.,59,66
4:17,2083,Stephen Brown made Jumper.,59,68
4:03,116,Khalid Nwandu missed Layup.,59,68
4:03,2083,Stephen Brown Defensive Rebound.,59,68
3:59,2083,Kimbal Mackenzie made Layup. Assisted by Stephen Brown.,59,70
3:51,116,Mt. St. Mary's  Timeout,59,70
3:30,116,Will Miller missed Three Point Jumper.,59,70
3:30,2083,Stephen Brown Defensive Rebound.,59,70
3:08,2083,Nana Foulland Turnover.,59,70
2:50,116,Miles Wilson missed Three Point Jumper.,59,70
2:50,2083,Zach Thomas Defensive Rebound.,59,70
2:37,2083,Matt O'Reilly made Three Point Jumper. Assisted by Zach Thomas.,59,73
2:19,116,Foul on Elijah Long.,59,73
2:19,116,Elijah Long Turnover.,59,73
2:13,2083,Kimbal Mackenzie made Three Point Jumper. Assisted by Zach Thomas.,59,76
1:50,116,Miles Wilson made Three Point Jumper.,62,76
1:21,2083,Stephen Brown Turnover.,62,76
1:20,116,Khalid Nwandu Steal.,62,76
1:16,116,Miles Wilson missed Dunk.,62,76
1:16,2083,Kimbal Mackenzie Defensive Rebound.,62,76
1:10,116,Foul on Miles Wilson.,62,76
1:10,2083,Kimbal Mackenzie made Free Throw.,62,77
1:10,2083,Kimbal Mackenzie made Free Throw.,62,78
1:04,116,Will Miller missed Three Point Jumper.,62,78
1:04,2083,Nana Foulland Defensive Rebound.,62,78
0:43,2083,Matt O'Reilly made Three Point Jumper. Assisted by Kimbal Mackenzie.,62,81
0:15,116,Junior Robinson made Three Point Jumper.,65,81
0:00,2083,End of Game,65,81
