Wofford,324,Coastal Carolina,2747
5:13,2747,Nathan Hoover made Three Point Jumper. Assisted by Matthew Pegram.,26,23
4:48,324,Jaylan Robertson made Jumper.,26,25
4:29,2747,Eric Garcia made Three Point Jumper. Assisted by Nathan Hoover.,29,25
4:06,324,Demario Beck missed Jumper.,29,25
4:06,2747,Nathan Hoover Defensive Rebound.,29,25
3:56,2747,Nathan Hoover made Three Point Jumper. Assisted by Ryan Sawvell.,32,25
3:52,324,Coastal Carolina  Timeout,32,25
3:37,2747,Foul on Derrick Brooks.,32,25
3:37,324,Jaylan Robertson made Free Throw.,32,26
3:37,324,Jaylan Robertson missed Free Throw.,32,26
3:37,324,Jaylen Shaw Offensive Rebound.,32,26
3:25,324,Joseph Williams-Powell made Jumper.,32,28
3:09,2747,Fletcher Magee missed Three Point Jumper.,32,28
3:09,324,Demario Beck Defensive Rebound.,32,28
3:00,324,Joseph Williams-Powell made Three Point Jumper.,32,31
2:30,2747,Ryan Sawvell missed Three Point Jumper.,32,31
2:30,324,Artur Labinowicz Defensive Rebound.,32,31
2:30,324,Joseph Williams-Powell made Jumper.,32,33
2:25,2747,Cameron Jackson missed Jumper.,32,33
2:25,324,Artur Labinowicz Defensive Rebound.,32,33
2:04,324,Joseph Williams-Powell Turnover.,32,33
2:02,2747,Cameron Jackson Steal.,32,33
1:25,2747,Fletcher Magee missed Three Point Jumper.,32,33
1:25,2747,Ryan Sawvell Offensive Rebound.,32,33
1:19,2747,Jaylen Allen missed Three Point Jumper.,32,33
1:19,324,Josh Coleman Defensive Rebound.,32,33
1:06,324,Jaylen Shaw missed Three Point Jumper.,32,33
1:06,2747,Jaylen Allen Defensive Rebound.,32,33
0:52,2747,Eric Garcia made Jumper.,34,33
0:33,324,Jaylan Robertson made Three Point Jumper. Assisted by Demario Beck.,34,36
0:01,2747,Fletcher Magee missed Three Point Jumper.,34,36
0:01,2747,Cameron Jackson Offensive Rebound.,34,36
0:00,324,End of 1st half,34,36
19:51,2747,Eric Garcia made Three Point Jumper. Assisted by Jaylen Allen.,37,36
19:29,324,Elijah Wilson Turnover.,37,36
19:28,2747,Cameron Jackson Steal.,37,36
19:25,2747,Eric Garcia made Layup. Assisted by Cameron Jackson.,39,36
19:16,324,Jaylen Shaw Turnover.,39,36
19:01,2747,Fletcher Magee Turnover.,39,36
18:47,2747,Foul on Cameron Jackson.,39,36
18:44,324,Demario Beck Turnover.,39,36
18:23,2747,Fletcher Magee Turnover.,39,36
18:12,324,Jaylen Shaw missed Three Point Jumper.,39,36
18:12,2747,Ryan Sawvell Defensive Rebound.,39,36
17:44,2747,Fletcher Magee made Three Point Jumper.,42,36
17:29,324,Elijah Wilson missed Three Point Jumper.,42,36
17:29,324,Demario Beck Offensive Rebound.,42,36
17:14,2747,Foul on Matthew Pegram.,42,36
17:14,324,Artur Labinowicz made Free Throw.,42,37
17:14,324,Artur Labinowicz missed Free Throw.,42,37
17:14,324,Joseph Williams-Powell Offensive Rebound.,42,37
17:12,324,Joseph Williams-Powell made Layup.,42,39
16:46,2747,Eric Garcia made Jumper.,44,39
16:41,324,Jaylen Shaw made Jumper.,44,41
16:35,2747,Fletcher Magee missed Three Point Jumper.,44,41
16:35,324,Jaylen Shaw Defensive Rebound.,44,41
16:31,2747,Foul on Jaylen Allen.,44,41
16:31,324,Jaylen Shaw missed Free Throw.,44,41
16:31,324,Coastal Carolina Deadball Team Rebound.,44,41
16:31,324,Jaylen Shaw made Free Throw.,44,42
16:10,2747,Jaylen Allen missed Jumper.,44,42
16:10,324,Joseph Williams-Powell Defensive Rebound.,44,42
15:53,324,Josh Coleman made Layup. Assisted by Artur Labinowicz.,44,44
15:18,324,Foul on Artur Labinowicz.,44,44
15:17,2747,Wofford  Timeout,44,44
15:16,2747,Fletcher Magee made Free Throw.,45,44
15:02,2747,Fletcher Magee made Free Throw.,46,44
15:01,324,Artur Labinowicz made Three Point Jumper. Assisted by Elijah Wilson.,46,47
14:39,2747,Ryan Sawvell missed Layup.,46,47
14:39,324,Amidou Bamba Block.,46,47
14:36,324,Amidou Bamba Defensive Rebound.,46,47
14:11,324,Elijah Wilson made Jumper.,46,49
13:43,2747,Cameron Jackson made Layup.,48,49
13:21,324,Jaylan Robertson missed Jumper.,48,49
13:21,324,Jaylan Robertson Offensive Rebound.,48,49
13:20,2747,Foul on Cameron Jackson.,48,49
13:20,324,Jaylan Robertson missed Free Throw.,48,49
13:20,324,Coastal Carolina Deadball Team Rebound.,48,49
13:20,324,Jaylan Robertson made Free Throw.,48,50
13:18,2747,Eric Garcia made Layup.,50,50
13:01,2747,Ryan Sawvell missed Three Point Jumper.,50,50
13:01,2747,Ryan Sawvell Defensive Rebound.,50,50
13:00,324,Foul on Joseph Williams-Powell.,50,50
12:44,2747,Eric Garcia made Jumper. Assisted by Fletcher Magee.,52,50
12:30,324,Jaylen Shaw missed Jumper.,52,50
12:30,2747,Matthew Pegram Defensive Rebound.,52,50
12:19,324,Foul on Colton Ray-St Cyr.,52,50
12:18,2747,Fletcher Magee made Jumper.,54,50
12:09,324,Amidou Bamba Turnover.,54,50
12:06,2747,Jaylen Allen Steal.,54,50
12:03,2747,Eric Garcia missed Three Point Jumper.,54,50
12:03,324,Joseph Williams-Powell Defensive Rebound.,54,50
11:34,2747,Foul on Eric Garcia.,54,50
11:34,324,Coastal Carolina  Timeout,54,50
11:20,324,Josh Coleman made Jumper. Assisted by Elijah Wilson.,54,52
11:06,2747,Matthew Pegram made Jumper. Assisted by Fletcher Magee.,56,52
10:52,324,Josh Coleman missed Jumper.,56,52
10:52,324,Demario Beck Offensive Rebound.,56,52
10:46,324,Colton Ray-St Cyr missed Jumper.,56,52
10:46,324,Demario Beck Offensive Rebound.,56,52
10:46,2747,Foul on Jaylen Allen.,56,52
10:45,324,Coastal Carolina  Turnover.,56,52
10:25,324,Foul on Josh Coleman.,56,52
10:20,2747,Matthew Pegram made Jumper. Assisted by Derrick Brooks.,58,52
10:01,324,Demario Beck made Layup. Assisted by Jaylen Shaw.,58,54
9:30,2747,Jaylen Allen missed Three Point Jumper.,58,54
9:30,324,Demario Beck Defensive Rebound.,58,54
9:27,324,Demario Beck Turnover.,58,54
9:25,2747,Derrick Brooks Steal.,58,54
9:11,2747,Matthew Pegram Turnover.,58,54
9:11,2747,Foul on Matthew Pegram.,58,54
8:54,324,Jaylan Robertson missed Layup.,58,54
8:54,324,Josh Coleman Offensive Rebound.,58,54
8:50,324,Josh Coleman made Layup.,58,56
8:39,324,Foul on Jaylen Shaw.,58,56
8:24,2747,Fletcher Magee missed Jumper.,58,56
8:24,324,Demario Beck Defensive Rebound.,58,56
8:05,2747,Foul on Jaylen Allen.,58,56
8:05,324,Jaylen Shaw made Free Throw.,58,57
8:05,324,Jaylen Shaw made Free Throw.,58,58
7:48,324,Foul on Jaylan Robertson.,58,58
7:48,2747,Wofford  Timeout,58,58
7:45,2747,Eric Garcia made Three Point Jumper. Assisted by Fletcher Magee.,61,58
7:24,324,Jaylen Shaw missed Three Point Jumper.,61,58
7:24,2747,Cameron Jackson Defensive Rebound.,61,58
7:06,2747,Cameron Jackson missed Layup.,61,58
7:06,2747,Cameron Jackson Offensive Rebound.,61,58
7:03,2747,Cameron Jackson missed Layup.,61,58
7:03,324,Demario Beck Defensive Rebound.,61,58
6:52,324,Demario Beck missed Three Point Jumper.,61,58
6:52,2747,Fletcher Magee Defensive Rebound.,61,58
6:33,2747,Cameron Jackson Turnover.,61,58
6:33,2747,Foul on Cameron Jackson.,61,58
6:20,324,Artur Labinowicz Turnover.,61,58
6:13,2747,Eric Garcia Turnover.,61,58
6:13,324,Jaylan Robertson Steal.,61,58
5:51,324,Demario Beck made Three Point Jumper. Assisted by Jaylan Robertson.,61,61
5:28,2747,Eric Garcia Turnover.,61,61
5:12,324,Elijah Wilson missed Three Point Jumper.,61,61
5:12,324,Joseph Williams-Powell Offensive Rebound.,61,61
5:08,324,Joseph Williams-Powell missed Jumper.,61,61
5:08,2747,Jaylen Allen Defensive Rebound.,61,61
5:02,324,Foul on Joseph Williams-Powell.,61,61
5:02,2747,Ryan Sawvell missed Free Throw.,61,61
5:02,2747,Wofford Deadball Team Rebound.,61,61
5:02,2747,Ryan Sawvell made Free Throw.,62,61
4:46,324,Jaylan Robertson Turnover.,62,61
4:46,2747,Eric Garcia Steal.,62,61
4:46,2747,Wofford  Timeout,62,61
4:30,2747,Fletcher Magee made Three Point Jumper. Assisted by Eric Garcia.,65,61
4:11,324,Jaylan Robertson made Layup.,65,63
3:54,2747,Fletcher Magee missed Jumper.,65,63
3:54,2747,Jaylen Allen Offensive Rebound.,65,63
3:48,2747,Fletcher Magee made Three Point Jumper. Assisted by Jaylen Allen.,68,63
3:36,324,Coastal Carolina  Timeout,68,63
3:27,2747,Foul on Jaylen Allen.,68,63
3:27,324,Jaylen Shaw made Free Throw.,68,64
3:27,324,Jaylen Shaw made Free Throw.,68,65
3:12,324,Foul on Joseph Williams-Powell.,68,65
3:12,2747,Eric Garcia made Free Throw.,69,65
3:12,2747,Eric Garcia made Free Throw.,70,65
2:48,324,Jaylen Shaw made Layup.,70,67
2:23,2747,Ryan Sawvell missed Jumper.,70,67
2:23,324,Elijah Wilson Defensive Rebound.,70,67
2:11,324,Elijah Wilson missed Layup.,70,67
2:11,2747,Fletcher Magee Defensive Rebound.,70,67
1:44,2747,Fletcher Magee made Three Point Jumper.,73,67
1:32,324,Coastal Carolina  Timeout,73,67
1:30,324,Joseph Williams-Powell missed Three Point Jumper.,73,67
1:30,324,Artur Labinowicz Offensive Rebound.,73,67
1:22,2747,Foul on Nathan Hoover.,73,67
1:22,324,Artur Labinowicz made Free Throw.,73,68
1:22,324,Artur Labinowicz missed Free Throw.,73,68
1:22,2747,Fletcher Magee Defensive Rebound.,73,68
0:54,2747,Fletcher Magee missed Three Point Jumper.,73,68
0:54,324,Jaylen Shaw Defensive Rebound.,73,68
0:44,324,Jaylen Shaw made Jumper.,73,70
0:44,324,Coastal Carolina  Timeout,73,70
0:17,2747,Ryan Sawvell made Layup. Assisted by Cameron Jackson.,75,70
0:15,2747,Wofford  Timeout,75,70
0:08,324,Jaylen Shaw missed Three Point Jumper.,75,70
0:08,324,Artur Labinowicz Offensive Rebound.,75,70
0:06,2747,Foul on Nathan Hoover.,75,70
0:06,324,Artur Labinowicz made Free Throw.,75,71
0:06,324,Artur Labinowicz missed Free Throw.,75,71
0:06,2747,Cameron Jackson Defensive Rebound.,75,71
0:06,324,Foul on Joseph Williams-Powell.,75,71
0:06,2747,Cameron Jackson missed Free Throw.,75,71
0:06,324,Demario Beck Defensive Rebound.,75,71
0:01,324,Artur Labinowicz made Three Point Jumper.,75,74
0:00,324,End of Game,75,74
