Eastern Kentucky,2450,Norfolk State,2198
11:34,2198,DeAndre Dishman Defensive Rebound.,5,11
11:23,2198,DeAndre Dishman made Layup.,7,11
11:23,2450,Foul on Jordan Butler.,7,11
11:23,2450,Official TV Timeout,7,11
11:23,2198,DeAndre Dishman made Free Throw.,8,11
11:16,2450,Dan Robinson made Layup. Assisted by Kerwin Okoro.,8,13
11:02,2198,Asante Gist made Jumper.,10,13
10:32,2450,Zaynah Robinson Turnover.,10,13
10:30,2198,Isaac McGlone Steal.,10,13
10:23,2198,Asante Gist missed Layup.,10,13
10:23,2450,Jordan Butler Defensive Rebound.,10,13
10:08,2450,Jordan Butler made Dunk. Assisted by Zaynah Robinson.,10,15
9:47,2198,Asante Gist Turnover.,10,15
9:24,2450,Stavian Allen made Jumper.,10,17
9:10,2198,Marlon Adams missed Layup.,10,17
9:10,2450,Stavian Allen Block.,10,17
9:09,2198,Marlon Adams Offensive Rebound.,10,17
9:07,2198,Dillon Avare made Three Point Jumper. Assisted by Marlon Adams.,13,17
8:52,2450,Stavian Allen Turnover.,13,17
8:38,2198,Dillon Avare Turnover.,13,17
8:25,2198,Foul on Marlon Adams.,13,17
8:22,2450,Kyle Williams missed Three Point Jumper.,13,17
8:22,2450,Jordan Butler Offensive Rebound.,13,17
8:19,2450,Jordan Butler missed Layup.,13,17
8:19,2198,Nick Mayo Block.,13,17
8:17,2198,Isaac McGlone Defensive Rebound.,13,17
8:16,2198,Eastern Kentucky  Timeout,13,17
8:16,2450,Official TV Timeout,13,17
8:07,2198,Eastern Kentucky  Timeout,13,17
7:59,2198,Asante Gist missed Layup.,13,17
7:59,2198,Marlon Adams Offensive Rebound.,13,17
7:57,2198,Marlon Adams missed Layup.,13,17
7:57,2450,Carrington Ward Defensive Rebound.,13,17
7:50,2450,Jonathan Wade missed Jumper.,13,17
7:50,2198,Eastern Kentucky Defensive Rebound.,13,17
7:30,2198,Asante Gist missed Layup.,13,17
7:30,2450,Kyle Williams Defensive Rebound.,13,17
7:24,2450,Kyle Williams missed Layup.,13,17
7:24,2198,Nick Mayo Defensive Rebound.,13,17
7:11,2198,Asante Gist missed Three Point Jumper.,13,17
7:11,2450,Stavian Allen Defensive Rebound.,13,17
7:01,2198,Foul on Marlon Adams.,13,17
7:01,2450,Dan Robinson missed Free Throw.,13,17
7:01,2198,Dillon Avare Defensive Rebound.,13,17
7:00,2450,Foul on Stavian Allen.,13,17
6:43,2198,Dillon Avare missed Three Point Jumper.,13,17
6:43,2198,Nick Mayo Offensive Rebound.,13,17
6:33,2198,Asante Gist made Three Point Jumper. Assisted by Nick Mayo.,16,17
6:12,2450,Kyle Williams missed Layup.,16,17
6:12,2198,Nick Mayo Defensive Rebound.,16,17
5:50,2198,Isaac McGlone Turnover.,16,17
5:49,2450,Kyle Williams Steal.,16,17
5:47,2450,Jonathan Wade made Layup. Assisted by Kyle Williams.,16,19
5:26,2198,Nick Mayo made Layup. Assisted by Marlon Adams.,18,19
5:16,2450,Jordan Butler missed Jumper.,18,19
5:16,2198,Nick Mayo Defensive Rebound.,18,19
5:15,2450,Foul on Dan Robinson.,18,19
4:59,2198,Isaac McGlone made Three Point Jumper. Assisted by Dillon Avare.,21,19
4:38,2198,Foul on Marlon Adams.,21,19
4:38,2450,Jordan Butler made Free Throw.,21,20
4:38,2450,Jordan Butler made Free Throw.,21,21
4:21,2198,Asante Gist made Jumper.,23,21
4:08,2198,Foul on Dillon Avare.,23,21
4:08,2450,Kyle Williams made Free Throw.,23,22
4:08,2450,Kyle Williams made Free Throw.,23,23
4:08,2450,Norfolk St  Timeout,23,23
4:08,2450,Official TV Timeout,23,23
3:39,2198,Isaac McGlone missed Three Point Jumper.,23,23
3:39,2450,Dan Robinson Defensive Rebound.,23,23
3:28,2450,Zaynah Robinson missed Jumper.,23,23
3:28,2198,Zach Charles Defensive Rebound.,23,23
3:18,2450,Foul on Dan Robinson.,23,23
3:18,2198,Nick Mayo missed Free Throw.,23,23
3:18,2198,Eastern Kentucky Deadball Team Rebound.,23,23
3:18,2198,Nick Mayo made Free Throw.,24,23
3:00,2450,Jonathan Wade missed Three Point Jumper.,24,23
3:00,2198,Zach Charles Defensive Rebound.,24,23
2:41,2198,Isaac McGlone missed Three Point Jumper.,24,23
2:41,2450,Jordan Butler Defensive Rebound.,24,23
2:17,2450,Stavian Allen Turnover.,24,23
2:17,2198,Zach Charles Steal.,24,23
2:00,2198,Zach Charles missed Jumper.,24,23
2:00,2450,Carrington Ward Defensive Rebound.,24,23
1:48,2450,Kerwin Okoro missed Three Point Jumper.,24,23
1:48,2198,Isaac McGlone Defensive Rebound.,24,23
1:40,2450,Foul on Jonathan Wade.,24,23
1:40,2198,Asante Gist made Free Throw.,25,23
1:40,2198,Asante Gist missed Free Throw.,25,23
1:40,2450,Kerwin Okoro Defensive Rebound.,25,23
1:39,2198,Foul on Parker Chitty.,25,23
1:39,2450,Kerwin Okoro made Free Throw.,25,24
1:39,2450,Kerwin Okoro made Free Throw.,25,25
1:09,2198,Zach Charles Turnover.,25,25
0:49,2450,Kyle Williams missed Three Point Jumper.,25,25
0:49,2198,Asante Gist Defensive Rebound.,25,25
0:29,2198,Asante Gist missed Three Point Jumper.,25,25
0:29,2450,Kyle Williams Defensive Rebound.,25,25
0:02,2450,Jordan Butler Turnover.,25,25
0:02,2198,Isaac McGlone Steal.,25,25
0:00,2450,End of 1st half,25,25
19:44,2450,Kyle Williams missed Jumper.,25,25
19:44,2198,Isaac McGlone Defensive Rebound.,25,25
19:29,2198,Nick Mayo missed Layup.,25,25
19:29,2450,Dan Robinson Block.,25,25
19:27,2198,Eastern Kentucky Offensive Rebound.,25,25
19:12,2198,Marlon Adams Turnover.,25,25
18:59,2198,Foul on Nick Mayo.,25,25
18:59,2450,Jonathan Wade missed Free Throw.,25,25
18:59,2450,Norfolk St Deadball Team Rebound.,25,25
18:59,2450,Jonathan Wade made Free Throw.,25,26
18:40,2198,Asante Gist made Jumper.,27,26
18:23,2450,Carrington Ward made Jumper.,27,28
17:57,2198,Nick Mayo missed Jumper.,27,28
17:57,2450,Norfolk St Deadball Team Rebound.,27,28
17:57,2198,Foul on Zach Charles.,27,28
17:32,2450,Kyle Williams made Three Point Jumper. Assisted by Carrington Ward.,27,31
17:14,2450,Foul on Kyle Williams.,27,31
17:14,2198,Asante Gist made Free Throw.,28,31
17:14,2198,Asante Gist made Free Throw.,29,31
16:50,2450,Jonathan Wade missed Layup.,29,31
16:50,2450,Jonathan Wade Offensive Rebound.,29,31
16:48,2198,Foul on Zach Charles.,29,31
16:48,2450,Jonathan Wade made Free Throw.,29,32
16:48,2450,Jonathan Wade made Free Throw.,29,33
16:35,2198,Nick Mayo missed Dunk.,29,33
16:35,2198,Isaac McGlone Offensive Rebound.,29,33
16:23,2198,Nick Mayo made Jumper.,31,33
16:12,2450,Jonathan Wade Turnover.,31,33
16:11,2198,Isaac McGlone Steal.,31,33
16:04,2198,Marlon Adams made Layup. Assisted by Asante Gist.,33,33
15:48,2450,Kyle Williams made Three Point Jumper. Assisted by Carrington Ward.,33,36
15:28,2450,Foul on Jonathan Wade.,33,36
15:28,2450,Official TV Timeout,33,36
15:28,2198,Asante Gist made Free Throw.,34,36
15:28,2198,Asante Gist made Free Throw.,35,36
15:00,2198,Foul on Isaac McGlone.,35,36
15:00,2450,Carrington Ward made Free Throw.,35,37
15:00,2450,Carrington Ward made Free Throw.,35,38
15:00,2450,Carrington Ward made Free Throw.,35,39
14:48,2198,Marlon Adams missed Layup.,35,39
14:48,2450,Dan Robinson Block.,35,39
14:48,2198,Eastern Kentucky Offensive Rebound.,35,39
14:46,2198,DeAndre Dishman missed Layup.,35,39
14:46,2450,Dan Robinson Block.,35,39
14:45,2450,Carrington Ward Defensive Rebound.,35,39
14:39,2450,Carrington Ward missed Layup.,35,39
14:39,2198,Nick Mayo Block.,35,39
14:38,2198,Dillon Avare Defensive Rebound.,35,39
14:34,2450,Foul on Jordan Butler.,35,39
14:34,2198,DeAndre Dishman missed Free Throw.,35,39
14:34,2198,Eastern Kentucky Deadball Team Rebound.,35,39
14:34,2198,DeAndre Dishman made Free Throw.,36,39
14:12,2450,Kyle Williams made Layup. Assisted by Dan Robinson.,36,41
13:46,2198,Nick Mayo made Jumper.,38,41
13:28,2198,Foul on Nick Mayo.,38,41
13:28,2450,Jordan Butler missed Free Throw.,38,41
13:28,2450,Norfolk St Deadball Team Rebound.,38,41
13:28,2450,Jordan Butler made Free Throw.,38,42
13:04,2198,Marlon Adams Turnover.,38,42
12:37,2450,Alex Brown missed Three Point Jumper.,38,42
12:37,2450,Norfolk St Deadball Team Rebound.,38,42
12:34,2198,Foul on Isaac McGlone.,38,42
12:29,2450,Jonathan Wade Turnover.,38,42
12:29,2198,Dillon Avare Steal.,38,42
12:29,2450,Foul on Jonathan Wade.,38,42
12:16,2198,Isaac McGlone made Three Point Jumper. Assisted by Asante Gist.,41,42
11:51,2198,Foul on Isaac McGlone.,41,42
11:51,2450,Official TV Timeout,41,42
11:51,2450,Jordan Butler made Free Throw.,41,43
11:51,2450,Jordan Butler made Free Throw.,41,44
11:26,2450,Foul on Alex Brown.,41,44
11:11,2198,Asante Gist made Jumper.,43,44
10:48,2198,Foul on Marlon Adams.,43,44
10:48,2450,Alex Brown missed Free Throw.,43,44
10:48,2198,Isaac McGlone Defensive Rebound.,43,44
10:34,2198,DeAndre Dishman made Layup. Assisted by Asante Gist.,45,44
10:11,2198,Foul on Dillon Avare.,45,44
10:11,2450,Jordan Butler made Free Throw.,45,45
10:11,2450,Jordan Butler made Free Throw.,45,46
9:56,2450,Foul on Dan Robinson.,45,46
9:56,2198,DeAndre Dishman made Free Throw.,46,46
9:56,2198,DeAndre Dishman made Free Throw.,47,46
9:35,2450,Dan Robinson made Layup. Assisted by Kyle Williams.,47,48
9:35,2198,Foul on Zach Charles.,47,48
9:35,2450,Dan Robinson made Free Throw.,47,49
9:20,2198,Dillon Avare made Three Point Jumper. Assisted by Asante Gist.,50,49
8:57,2198,Foul on Parker Chitty.,50,49
8:57,2450,Kyle Williams made Free Throw.,50,50
8:57,2450,Kyle Williams made Free Throw.,50,51
8:40,2198,Isaac McGlone made Layup.,52,51
8:33,2198,Foul on Zach Charles.,52,51
8:33,2450,Carrington Ward made Free Throw.,52,52
8:33,2450,Carrington Ward missed Free Throw.,52,52
8:33,2198,DeAndre Dishman Defensive Rebound.,52,52
8:20,2198,Isaac McGlone made Three Point Jumper.,55,52
7:59,2450,Stavian Allen made Three Point Jumper. Assisted by Jonathan Wade.,55,55
7:57,2450,Norfolk St  Timeout,55,55
7:57,2450,Official TV Timeout,55,55
7:44,2198,DeAndre Dishman made Layup. Assisted by Asante Gist.,57,55
7:44,2450,Foul on Stavian Allen.,57,55
7:44,2450,Official TV Timeout,57,55
7:44,2198,DeAndre Dishman missed Free Throw.,57,55
7:44,2450,Jordan Butler Defensive Rebound.,57,55
7:17,2450,Kyle Williams missed Jumper.,57,55
7:17,2450,Kyle Williams Offensive Rebound.,57,55
7:13,2450,Jonathan Wade made Three Point Jumper. Assisted by Kyle Williams.,57,58
6:49,2198,Nick Mayo Turnover.,57,58
6:49,2450,Jonathan Wade Steal.,57,58
6:31,2450,Jonathan Wade made Jumper.,57,60
6:04,2198,Asante Gist missed Jumper.,57,60
6:04,2450,Jonathan Wade Defensive Rebound.,57,60
5:41,2450,Jonathan Wade made Jumper.,57,62
5:16,2450,Foul on Carrington Ward.,57,62
5:16,2198,Isaac McGlone made Free Throw.,58,62
5:16,2198,Isaac McGlone made Free Throw.,59,62
4:55,2450,Carrington Ward made Jumper.,59,64
4:33,2198,Nick Mayo made Layup.,61,64
4:33,2450,Foul on Dan Robinson.,61,64
4:33,2198,Nick Mayo missed Free Throw.,61,64
4:33,2450,Jonathan Wade Defensive Rebound.,61,64
4:17,2450,Jonathan Wade made Layup.,61,66
3:53,2198,Nick Mayo made Jumper.,63,66
3:28,2450,Jonathan Wade Turnover.,63,66
3:25,2198,Dillon Avare missed Layup.,63,66
3:25,2450,Carrington Ward Block.,63,66
3:24,2450,Kyle Williams Defensive Rebound.,63,66
3:03,2450,Kyle Williams missed Jumper.,63,66
3:03,2198,Isaac McGlone Defensive Rebound.,63,66
2:48,2198,Asante Gist missed Three Point Jumper.,63,66
2:48,2450,Norfolk St Defensive Rebound.,63,66
2:47,2450,Official TV Timeout,63,66
2:36,2198,Foul on Dillon Avare.,63,66
2:36,2450,Carrington Ward made Free Throw.,63,67
2:36,2450,Carrington Ward made Free Throw.,63,68
2:28,2450,Foul on Carrington Ward.,63,68
2:28,2198,Isaac McGlone made Free Throw.,64,68
2:28,2198,Isaac McGlone made Free Throw.,65,68
2:06,2450,Jonathan Wade missed Jumper.,65,68
2:06,2198,Asante Gist Defensive Rebound.,65,68
1:59,2198,Asante Gist Turnover.,65,68
1:55,2450,Carrington Ward Steal.,65,68
1:51,2198,Foul on Isaac McGlone.,65,68
1:51,2450,Jonathan Wade made Free Throw.,65,69
1:51,2450,Jonathan Wade made Free Throw.,65,70
1:51,2450,Jonathan Wade made Free Throw.,65,71
1:42,2198,Asante Gist made Layup.,67,71
1:41,2198,Eastern Kentucky  Timeout,67,71
1:31,2198,Foul on Nick Mayo.,67,71
1:31,2450,Jonathan Wade made Free Throw.,67,72
1:31,2450,Jonathan Wade missed Free Throw.,67,72
1:31,2198,DeAndre Dishman Defensive Rebound.,67,72
1:17,2198,Asante Gist made Three Point Jumper. Assisted by Isaac McGlone.,70,72
0:52,2450,Jonathan Wade missed Layup.,70,72
0:52,2198,Zach Charles Block.,70,72
0:51,2450,Jonathan Wade Offensive Rebound.,70,72
0:49,2450,Jonathan Wade missed Layup.,70,72
0:49,2198,Asante Gist Defensive Rebound.,70,72
0:44,2198,DeAndre Dishman made Dunk. Assisted by Asante Gist.,72,72
0:39,2450,Norfolk St  Timeout,72,72
0:19,2450,Jonathan Wade missed Jumper.,72,72
0:19,2198,Zach Charles Defensive Rebound.,72,72
0:11,2198,Eastern Kentucky  Timeout,72,72
0:04,2198,Asante Gist missed Layup.,72,72
0:04,2450,Jonathan Wade Defensive Rebound.,72,72
0:00,2450,Jonathan Wade missed Three Point Jumper.,72,72
0:00,2450,Norfolk St Deadball Team Rebound.,72,72
0:00,2450,End of 2nd half,72,72
4:42,2198,Dillon Avare made Three Point Jumper. Assisted by DeAndre Dishman.,75,72
4:22,2450,Kyle Williams missed Jumper.,75,72
4:22,2450,Jonathan Wade Offensive Rebound.,75,72
4:19,2198,Foul on DeAndre Dishman.,75,72
4:19,2450,Jonathan Wade made Free Throw.,75,73
4:19,2450,Jonathan Wade made Free Throw.,75,74
4:03,2198,Dillon Avare missed Three Point Jumper.,75,74
4:03,2450,Jordan Butler Defensive Rebound.,75,74
3:51,2450,Carrington Ward missed Three Point Jumper.,75,74
3:51,2450,Jonathan Wade Offensive Rebound.,75,74
3:33,2198,Foul on Zach Charles.,75,74
3:33,2450,Jonathan Wade missed Free Throw.,75,74
3:33,2450,Norfolk St Deadball Team Rebound.,75,74
3:33,2450,Jonathan Wade made Free Throw.,75,75
3:14,2198,Isaac McGlone made Three Point Jumper. Assisted by Dillon Avare.,78,75
2:42,2450,Jonathan Wade missed Jumper.,78,75
2:42,2198,DeAndre Dishman Defensive Rebound.,78,75
2:19,2450,Foul on Dan Robinson.,78,75
2:19,2198,Asante Gist missed Free Throw.,78,75
2:19,2198,Eastern Kentucky Deadball Team Rebound.,78,75
2:19,2198,Asante Gist made Free Throw.,79,75
1:52,2450,Kyle Williams made Three Point Jumper.,79,78
1:50,2450,Norfolk St  Timeout,79,78
1:36,2198,Asante Gist Turnover.,79,78
1:35,2450,Stavian Allen Steal.,79,78
1:25,2450,Jonathan Wade made Three Point Jumper. Assisted by Carrington Ward.,79,81
1:23,2198,Foul on Isaac McGlone.,79,81
1:23,2450,Jonathan Wade made Free Throw.,79,82
1:07,2198,Asante Gist missed Three Point Jumper.,79,82
1:07,2450,Carrington Ward Defensive Rebound.,79,82
1:00,2198,Foul on Parker Chitty.,79,82
1:00,2450,Jonathan Wade missed Free Throw.,79,82
1:00,2450,Norfolk St Deadball Team Rebound.,79,82
1:00,2450,Jonathan Wade missed Free Throw.,79,82
1:00,2198,DeAndre Dishman Defensive Rebound.,79,82
0:51,2450,Foul on Jonathan Wade.,79,82
0:51,2198,Asante Gist missed Free Throw.,79,82
0:51,2198,Eastern Kentucky Deadball Team Rebound.,79,82
0:51,2198,Asante Gist made Free Throw.,80,82
0:24,2450,Kyle Williams made Three Point Jumper. Assisted by Jonathan Wade.,80,85
0:10,2198,Dillon Avare missed Three Point Jumper.,80,85
0:10,2198,DeAndre Dishman Offensive Rebound.,80,85
0:08,2198,DeAndre Dishman missed Two Point Tip Shot.,80,85
0:07,2450,Stavian Allen Defensive Rebound.,80,85
0:06,2198,Foul on DeAndre Dishman.,80,85
0:06,2450,Jordan Butler made Free Throw.,80,86
0:06,2450,Jordan Butler made Free Throw.,80,87
0:03,2198,Asante Gist missed Three Point Jumper.,80,87
