Belmont,270,Milwaukee,2057
12:41,270,Jeremiah Bell missed Layup.,10,10
12:41,2057,Belmont Defensive Rebound.,10,10
12:41,270,Foul on Bryce Nze.,10,10
12:25,2057,Austin Luke Turnover.,10,10
12:24,270,Cody Wichmann Steal.,10,10
12:20,270,Jeremiah Bell made Layup. Assisted by Cody Wichmann.,10,12
12:03,2057,Evan Bradds made Layup. Assisted by Austin Luke.,12,12
11:41,270,Jeremiah Bell made Layup.,12,14
11:16,2057,Nick Smith missed Three Point Jumper.,12,14
11:16,270,Brock Stull Defensive Rebound.,12,14
11:04,270,Jeremy Johnson missed Three Point Jumper.,12,14
11:04,2057,Evan Bradds Defensive Rebound.,12,14
10:57,2057,Burton Sampson missed Three Point Jumper.,12,14
10:57,2057,Evan Bradds Offensive Rebound.,12,14
10:50,2057,Nick Smith made Three Point Jumper. Assisted by Michael Benkert.,15,14
10:30,270,Bryce Barnes made Layup. Assisted by Cody Wichmann.,15,16
10:11,2057,Evan Bradds Turnover.,15,16
10:10,270,Jeremy Johnson Steal.,15,16
9:57,270,Jeremy Johnson made Layup.,15,18
9:39,2057,Michael Benkert missed Three Point Jumper.,15,18
9:39,2057,Nick Smith Offensive Rebound.,15,18
9:30,2057,Nick Smith missed Three Point Jumper.,15,18
9:30,270,Cody Wichmann Defensive Rebound.,15,18
9:21,270,Brock Stull made Three Point Jumper.,15,21
9:09,270,Official TV Timeout,15,21
8:57,2057,Austin Luke missed Three Point Jumper.,15,21
8:57,2057,Amanze Egekeze Offensive Rebound.,15,21
8:51,2057,Amanze Egekeze Turnover.,15,21
8:37,2057,Foul on Evan Bradds.,15,21
8:23,270,Jeremiah Bell made Jumper.,15,23
8:04,2057,Dylan Windler missed Three Point Jumper.,15,23
8:04,2057,Evan Bradds Offensive Rebound.,15,23
7:48,2057,Evan Bradds missed Jumper.,15,23
7:48,270,Cody Wichmann Defensive Rebound.,15,23
7:35,270,Cameron Harvey missed Layup.,15,23
7:35,2057,Taylor Barnette Defensive Rebound.,15,23
7:16,270,Official TV Timeout,15,23
7:07,2057,Evan Bradds missed Layup.,15,23
7:07,2057,Dylan Windler Offensive Rebound.,15,23
7:04,2057,Dylan Windler made Dunk.,17,23
6:42,270,August Haas made Layup.,17,25
6:29,270,Foul on Brock Stull.,17,25
6:29,2057,Taylor Barnette missed Three Point Jumper.,17,25
6:29,270,Cody Wichmann Defensive Rebound.,17,25
6:19,270,Brock Stull missed Layup.,17,25
6:19,2057,Amanze Egekeze Block.,17,25
6:18,2057,Taylor Barnette Defensive Rebound.,17,25
6:09,2057,Taylor Barnette made Three Point Jumper. Assisted by Austin Luke.,20,25
5:33,270,August Haas missed Layup.,20,25
5:33,2057,Dylan Windler Block.,20,25
5:32,2057,Austin Luke Defensive Rebound.,20,25
5:26,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,23,25
5:23,270,Milwaukee  Timeout,23,25
5:01,270,Cody Wichmann missed Three Point Jumper.,23,25
5:01,2057,Austin Luke Defensive Rebound.,23,25
4:43,2057,Taylor Barnette made Three Point Jumper. Assisted by Evan Bradds.,26,25
4:10,270,Jeremy Johnson Turnover.,26,25
4:09,2057,Austin Luke Steal.,26,25
4:06,2057,Taylor Barnette made Layup. Assisted by Austin Luke.,28,25
3:42,270,Jeremy Johnson missed Layup.,28,25
3:42,2057,Amanze Egekeze Defensive Rebound.,28,25
3:30,2057,Evan Bradds made Layup.,30,25
3:17,270,Jeremy Johnson missed Layup.,30,25
3:17,2057,Austin Luke Defensive Rebound.,30,25
3:09,2057,Dylan Windler Turnover.,30,25
3:09,270,Official TV Timeout,30,25
2:44,270,Jeremiah Bell missed Jumper.,30,25
2:44,2057,Amanze Egekeze Defensive Rebound.,30,25
2:23,2057,Amanze Egekeze missed Jumper.,30,25
2:23,270,Brock Stull Defensive Rebound.,30,25
1:56,270,August Haas made Three Point Jumper. Assisted by Jeremiah Bell.,30,28
1:48,2057,Michael Benkert missed Three Point Jumper.,30,28
1:48,270,Cameron Harvey Defensive Rebound.,30,28
1:32,270,Brock Stull missed Jumper.,30,28
1:32,270,Dan Studer Offensive Rebound.,30,28
1:09,270,Dan Studer missed Jumper.,30,28
1:09,2057,Amanze Egekeze Defensive Rebound.,30,28
0:49,2057,Foul on Amanze Egekeze.,30,28
0:49,2057,Amanze Egekeze Turnover.,30,28
0:24,270,Brock Stull missed Jumper.,30,28
0:24,2057,Austin Luke Defensive Rebound.,30,28
0:06,2057,Dylan Windler missed Three Point Jumper.,30,28
0:06,270,Jeremiah Bell Defensive Rebound.,30,28
0:00,270,End of 1st half,30,28
19:40,270,Cameron Harvey missed Jumper.,30,28
19:40,2057,Dylan Windler Defensive Rebound.,30,28
19:26,2057,Evan Bradds Turnover.,30,28
18:58,270,Brock Stull Turnover.,30,28
18:46,270,Foul on August Haas.,30,28
18:46,2057,Evan Bradds made Layup. Assisted by Austin Luke.,32,28
18:26,270,Cody Wichmann Turnover.,32,28
18:14,2057,Evan Bradds made Layup. Assisted by Austin Luke.,34,28
17:53,270,Brock Stull missed Three Point Jumper.,34,28
17:53,2057,Evan Bradds Defensive Rebound.,34,28
17:25,2057,Taylor Barnette missed Three Point Jumper.,34,28
17:25,270,Brock Stull Defensive Rebound.,34,28
17:14,270,Brock Stull Turnover.,34,28
17:11,2057,Taylor Barnette Steal.,34,28
17:01,270,Foul on Cody Wichmann.,34,28
17:01,2057,Amanze Egekeze missed Free Throw.,34,28
17:01,2057,Belmont Deadball Team Rebound.,34,28
17:01,2057,Amanze Egekeze made Free Throw.,35,28
16:44,270,Bryce Nze made Layup.,35,30
16:21,2057,Dylan Windler missed Three Point Jumper.,35,30
16:21,2057,Tyler Hadden Offensive Rebound.,35,30
16:18,270,Foul on Cody Wichmann.,35,30
16:11,2057,Amanze Egekeze made Three Point Jumper. Assisted by Austin Luke.,38,30
15:41,270,Bryce Nze Turnover.,38,30
15:41,270,Official TV Timeout,38,30
15:24,2057,Taylor Barnette missed Three Point Jumper.,38,30
15:24,270,Jeremiah Bell Defensive Rebound.,38,30
15:17,270,Jeremiah Bell missed Layup.,38,30
15:17,2057,Dylan Windler Defensive Rebound.,38,30
15:11,2057,Nick Smith missed Three Point Jumper.,38,30
15:11,2057,Evan Bradds Offensive Rebound.,38,30
14:47,2057,Evan Bradds made Layup. Assisted by Nick Smith.,40,30
14:29,270,Foul on Bryce Nze.,40,30
14:29,270,Bryce Nze Turnover.,40,30
14:21,2057,Dylan Windler missed Dunk.,40,30
14:21,270,Jeremiah Bell Defensive Rebound.,40,30
14:19,2057,Foul on Evan Bradds.,40,30
13:57,270,Bryce Barnes made Layup.,40,32
13:40,2057,Nick Smith missed Three Point Jumper.,40,32
13:40,2057,Evan Bradds Offensive Rebound.,40,32
13:33,2057,Taylor Barnette missed Three Point Jumper.,40,32
13:33,270,Dan Studer Defensive Rebound.,40,32
13:31,2057,Foul on Evan Bradds.,40,32
13:13,270,Cody Wichmann missed Three Point Jumper.,40,32
13:13,2057,Amanze Egekeze Defensive Rebound.,40,32
12:49,270,Foul on Dan Studer.,40,32
12:46,2057,Amanze Egekeze missed Layup.,40,32
12:46,270,Brock Stull Defensive Rebound.,40,32
12:35,270,Bryce Barnes made Layup.,40,34
12:16,2057,Austin Luke missed Jumper.,40,34
12:16,270,Bryce Barnes Defensive Rebound.,40,34
12:09,270,Brock Stull missed Three Point Jumper.,40,34
12:09,270,Bryce Barnes Offensive Rebound.,40,34
11:56,270,Bryce Barnes missed Layup.,40,34
11:56,2057,Amanze Egekeze Defensive Rebound.,40,34
11:34,270,Foul on Dan Studer.,40,34
11:34,270,Official TV Timeout,40,34
11:34,2057,Amanze Egekeze missed Free Throw.,40,34
11:34,2057,Belmont Deadball Team Rebound.,40,34
11:34,2057,Amanze Egekeze made Free Throw.,41,34
11:19,270,Jeremy Johnson made Layup. Assisted by Jeremiah Bell.,41,36
10:52,2057,Kevin McClain missed Three Point Jumper.,41,36
10:52,270,Milwaukee Defensive Rebound.,41,36
10:38,270,Jeremy Johnson made Layup. Assisted by Jeremiah Bell.,41,38
10:31,2057,Belmont  Timeout,41,38
10:17,2057,Amanze Egekeze made Layup. Assisted by Evan Bradds.,43,38
10:16,270,Foul on Bryce Nze.,43,38
10:16,2057,Amanze Egekeze made Free Throw.,44,38
9:49,270,Jeremy Johnson made Jumper.,44,40
9:29,2057,Evan Bradds made Layup.,46,40
9:12,270,Brock Stull made Jumper.,46,42
8:45,2057,Evan Bradds missed Layup.,46,42
8:45,270,Jeremiah Bell Defensive Rebound.,46,42
8:33,270,Dan Studer missed Layup.,46,42
8:33,2057,Amanze Egekeze Block.,46,42
8:31,270,Milwaukee Offensive Rebound.,46,42
8:25,270,Dan Studer missed Layup.,46,42
8:25,270,Dan Studer Offensive Rebound.,46,42
8:21,270,Dan Studer missed Layup.,46,42
8:21,2057,Amanze Egekeze Defensive Rebound.,46,42
8:09,2057,Dylan Windler made Three Point Jumper. Assisted by Austin Luke.,49,42
7:58,270,Cody Wichmann missed Three Point Jumper.,49,42
7:58,2057,Amanze Egekeze Defensive Rebound.,49,42
7:47,2057,Taylor Barnette missed Three Point Jumper.,49,42
7:47,2057,Amanze Egekeze Offensive Rebound.,49,42
7:40,2057,Evan Bradds made Layup. Assisted by Austin Luke.,51,42
7:19,270,Cody Wichmann missed Jumper.,51,42
7:19,2057,Amanze Egekeze Block.,51,42
7:18,2057,Amanze Egekeze Defensive Rebound.,51,42
7:13,2057,Taylor Barnette missed Three Point Jumper.,51,42
7:13,270,Jeremy Johnson Defensive Rebound.,51,42
7:01,270,Jeremiah Bell missed Layup.,51,42
7:01,270,Dan Studer Offensive Rebound.,51,42
6:44,270,Bryce Barnes made Layup.,51,44
6:23,2057,Evan Bradds Turnover.,51,44
6:21,270,Bryce Barnes Steal.,51,44
6:18,270,Bryce Barnes missed Layup.,51,44
6:18,2057,Belmont Defensive Rebound.,51,44
5:57,2057,Austin Luke missed Three Point Jumper.,51,44
5:57,270,Bryce Nze Defensive Rebound.,51,44
5:48,270,Bryce Barnes Turnover.,51,44
5:47,2057,Austin Luke Steal.,51,44
5:25,2057,Evan Bradds made Layup.,53,44
4:57,270,Bryce Barnes missed Three Point Jumper.,53,44
4:57,270,Jeremy Johnson Offensive Rebound.,53,44
4:38,270,Cody Wichmann made Three Point Jumper. Assisted by Brock Stull.,53,47
4:15,2057,Nick Smith made Three Point Jumper. Assisted by Austin Luke.,56,47
3:59,270,Cody Wichmann missed Three Point Jumper.,56,47
3:59,270,Bryce Nze Offensive Rebound.,56,47
3:47,270,Jeremy Johnson missed Layup.,56,47
3:47,2057,Evan Bradds Defensive Rebound.,56,47
3:17,2057,Nick Smith missed Three Point Jumper.,56,47
3:17,270,Bryce Nze Defensive Rebound.,56,47
3:01,270,Bryce Nze Turnover.,56,47
3:01,2057,Austin Luke Steal.,56,47
2:59,2057,Austin Luke made Layup.,58,47
2:52,270,Official TV Timeout,58,47
2:40,270,Jeremiah Bell made Jumper.,58,49
2:21,2057,Belmont  Timeout,58,49
2:14,2057,Evan Bradds missed Layup.,58,49
2:13,270,Bryce Nze Block.,58,49
2:12,270,Bryce Nze Defensive Rebound.,58,49
2:03,270,Cody Wichmann missed Three Point Jumper.,58,49
2:03,270,Bryce Nze Offensive Rebound.,58,49
2:00,270,Bryce Nze made Layup.,58,51
1:45,2057,Dylan Windler missed Three Point Jumper.,58,51
1:45,270,Bryce Nze Defensive Rebound.,58,51
1:32,270,Jeremiah Bell missed Three Point Jumper.,58,51
1:32,2057,Amanze Egekeze Defensive Rebound.,58,51
1:05,2057,Dylan Windler missed Three Point Jumper.,58,51
1:05,270,Cody Wichmann Defensive Rebound.,58,51
0:56,270,Brock Stull made Three Point Jumper. Assisted by Jeremiah Bell.,58,54
0:41,2057,Austin Luke made Free Throw.,60,54
0:41,2057,Austin Luke made Free Throw.,59,54
0:41,270,Foul on August Haas.,59,54
0:36,2057,Foul on Taylor Barnette.,60,54
0:36,270,Milwaukee  Timeout,60,54
0:28,2057,Foul on Amanze Egekeze.,60,54
0:21,270,Jeremiah Bell made Layup.,60,56
0:18,270,Foul on August Haas.,60,56
0:18,2057,Taylor Barnette made Free Throw.,61,56
0:18,2057,Taylor Barnette made Free Throw.,62,56
0:10,270,Jeremiah Bell missed Layup.,62,56
0:10,270,Bryce Nze Offensive Rebound.,62,56
0:06,270,Cody Wichmann missed Three Point Jumper.,62,56
0:06,2057,Evan Bradds Defensive Rebound.,62,56
0:00,270,End of Game,62,56
