Florida Memorial,Error,Jacksonville,294
1:56,-1,Kody Williams Steal.,34,26
1:56,294,Foul on Devin Harris.,34,26
1:56,-1,Kody Williams missed Free Throw.,34,26
1:56,294,Andris Misters Defensive Rebound.,34,26
1:38,-1,Foul on Travis Mitchell.,34,26
1:26,-1,Foul on Davon Williams.,34,26
1:21,-1,Foul on Roody Romain.,34,26
1:21,294,Tanner Rubio missed Free Throw.,34,26
1:21,294,Jacksonville Deadball Team Rebound.,34,26
1:21,294,Tanner Rubio made Free Throw.,34,27
1:06,-1,Kody Williams made Layup.,36,27
0:57,294,Darius Dawkins made Three Point Jumper. Assisted by Antwon Clayton.,36,30
0:35,-1,Kody Williams missed Layup.,36,30
0:35,294,Omar El Manasterly Defensive Rebound.,36,30
0:14,294,Tanner Rubio made Layup.,36,32
0:03,-1,Charlie Nedd-Araujo missed Three Point Jumper.,36,32
0:03,-1,Aaron Bryant Offensive Rebound.,36,32
0:00,294,End of 1st half,36,32
19:47,294,Devin Harris missed Jumper.,36,32
19:47,-1,Roody Romain Block.,36,32
19:47,-1,Roody Romain Defensive Rebound.,36,32
19:16,-1,Aaron Bryant missed Three Point Jumper.,36,32
19:16,-1,Roody Romain Offensive Rebound.,36,32
18:58,-1,Jaelyn Johnson-Coston missed Layup.,36,32
18:58,294,Cody Helgeland Block.,36,32
18:58,-1,Florida Memorial Offensive Rebound.,36,32
18:57,-1,Kody Williams Turnover.,36,32
18:38,-1,Foul on Roody Romain.,36,32
18:38,294,Omar El Manasterly made Free Throw.,36,33
18:38,294,Omar El Manasterly missed Free Throw.,36,33
18:38,-1,Aaron Bryant Defensive Rebound.,36,33
18:29,-1,Jaelyn Johnson-Coston missed Three Point Jumper.,36,33
18:29,294,Devin Harris Defensive Rebound.,36,33
18:20,294,Darien Fernandez made Layup.,36,35
18:20,-1,Foul on Jaelyn Johnson-Coston.,36,35
18:20,294,Darien Fernandez missed Free Throw.,36,35
18:20,-1,Charlie Nedd-Araujo Defensive Rebound.,36,35
18:10,294,Foul on Andris Misters.,36,35
17:57,-1,Roody Romain missed Layup.,36,35
17:57,294,Devin Harris Defensive Rebound.,36,35
17:47,294,Cody Helgeland Turnover.,36,35
17:47,294,Foul on Cody Helgeland.,36,35
17:40,-1,Charlie Nedd-Araujo missed Three Point Jumper.,36,35
17:40,-1,Kody Williams Offensive Rebound.,36,35
17:06,-1,Aaron Bryant missed Layup.,36,35
17:06,294,Omar El Manasterly Block.,36,35
17:06,294,Andris Misters Defensive Rebound.,36,35
17:06,-1,Florida Memorial  Timeout,36,35
16:44,294,Devin Harris missed Layup.,36,35
16:44,-1,Davon Williams Defensive Rebound.,36,35
16:15,-1,Kody Williams missed Jumper.,36,35
16:15,294,Omar El Manasterly Defensive Rebound.,36,35
16:09,294,Andris Misters made Layup. Assisted by Darien Fernandez.,36,37
15:57,-1,Aaron Bryant missed Three Point Jumper.,36,37
15:57,294,Jacksonville Defensive Rebound.,36,37
15:55,294,Jacksonville  Timeout,36,37
15:52,-1,Foul on Jaelyn Johnson-Coston.,36,37
15:33,294,Darius Dawkins missed Three Point Jumper.,36,37
15:33,-1,Charlie Nedd-Araujo Defensive Rebound.,36,37
15:09,-1,Andre Braziel missed Three Point Jumper.,36,37
15:09,-1,Evens Jacques Offensive Rebound.,36,37
14:55,-1,Charlie Nedd-Araujo made Three Point Jumper. Assisted by Kody Williams.,39,37
14:40,-1,Foul on Evens Jacques.,39,37
14:27,294,Demontrez Austin made Dunk. Assisted by Antwon Clayton.,39,39
14:10,-1,Charlie Nedd-Araujo missed Three Point Jumper.,39,39
14:10,-1,Andre Braziel Offensive Rebound.,39,39
13:50,-1,Charlie Nedd-Araujo missed Three Point Jumper.,39,39
13:50,-1,Davon Williams Offensive Rebound.,39,39
13:48,294,Foul on Darius Dawkins.,39,39
13:42,-1,Kody Williams made Layup.,41,39
13:32,-1,Foul on Andre Braziel.,41,39
13:23,294,Darien Fernandez missed Jumper.,41,39
13:23,294,Demontrez Austin Offensive Rebound.,41,39
13:19,294,Darius Dawkins made Three Point Jumper. Assisted by Demontrez Austin.,41,42
12:56,-1,Charlie Nedd-Araujo missed Jumper.,41,42
12:56,294,Antwon Clayton Defensive Rebound.,41,42
12:44,294,Demontrez Austin missed Dunk.,41,42
12:44,-1,Davon Williams Block.,41,42
12:41,-1,Charlie Nedd-Araujo Defensive Rebound.,41,42
12:38,-1,Kody Williams made Three Point Jumper.,44,42
12:10,294,Devin Harris Turnover.,44,42
12:04,-1,Charlie Nedd-Araujo made Three Point Jumper. Assisted by Kody Williams.,47,42
11:40,-1,Foul on Davon Williams.,47,42
11:40,294,Jacksonville  Timeout,47,42
11:40,294,Devin Harris made Free Throw.,47,43
11:40,294,Devin Harris made Free Throw.,47,44
11:35,-1,Travis Mitchell Turnover.,47,44
11:34,294,Devin Harris Steal.,47,44
11:33,294,Devin Harris made Layup.,47,46
11:29,-1,Florida Memorial  Timeout,47,46
11:27,-1,Kody Williams missed Layup.,47,46
11:27,294,Darien Fernandez Defensive Rebound.,47,46
11:21,-1,Foul on Charlie Nedd-Araujo.,47,46
11:21,294,Darien Fernandez made Free Throw.,47,47
11:21,294,Darien Fernandez made Free Throw.,47,48
11:00,294,Foul on Darien Fernandez.,47,48
10:53,-1,Charlie Nedd-Araujo missed Three Point Jumper.,47,48
10:53,294,Cody Helgeland Defensive Rebound.,47,48
10:35,294,Darien Fernandez missed Three Point Jumper.,47,48
10:35,-1,Davon Williams Defensive Rebound.,47,48
10:08,-1,Aaron Bryant missed Layup.,47,48
10:08,294,Devin Harris Defensive Rebound.,47,48
10:01,294,Devin Harris missed Jumper.,47,48
10:01,294,Darius Dawkins Offensive Rebound.,47,48
9:52,294,Cody Helgeland missed Three Point Jumper.,47,48
9:52,-1,Davon Williams Defensive Rebound.,47,48
9:39,-1,Charlie Nedd-Araujo made Three Point Jumper. Assisted by Evens Jacques.,50,48
9:18,294,Darius Dawkins made Three Point Jumper. Assisted by Darien Fernandez.,50,51
8:58,-1,Kody Williams missed Three Point Jumper.,50,51
8:58,294,Darius Dawkins Defensive Rebound.,50,51
8:50,294,Demontrez Austin made Dunk. Assisted by Devin Harris.,50,53
8:32,-1,Evens Jacques missed Three Point Jumper.,50,53
8:32,294,Darien Fernandez Defensive Rebound.,50,53
8:27,-1,Foul on Aaron Bryant.,50,53
8:27,294,Darien Fernandez made Free Throw.,50,54
8:27,294,Darien Fernandez made Free Throw.,50,55
8:03,-1,Roody Romain missed Jumper.,50,55
8:03,294,Devin Harris Defensive Rebound.,50,55
7:36,294,Cody Helgeland made Three Point Jumper. Assisted by Tanner Rubio.,50,58
7:28,-1,Andre Braziel missed Layup.,50,58
7:28,294,Antwon Clayton Block.,50,58
7:26,-1,Roody Romain Offensive Rebound.,50,58
7:26,294,Foul on Antwon Clayton.,50,58
7:26,-1,Florida Memorial  Timeout,50,58
7:23,-1,Davon Williams missed Jumper.,50,58
7:23,294,Cody Helgeland Defensive Rebound.,50,58
7:16,-1,Foul on Davon Williams.,50,58
7:16,294,Cody Helgeland made Free Throw.,50,59
7:16,294,Cody Helgeland missed Free Throw.,50,59
7:16,294,Antwon Clayton Offensive Rebound.,50,59
7:16,-1,Foul on Roody Romain.,50,59
7:16,294,Antwon Clayton made Free Throw.,50,60
7:16,294,Antwon Clayton missed Free Throw.,50,60
7:16,-1,Kody Williams Defensive Rebound.,50,60
7:03,-1,Aaron Bryant missed Layup.,50,60
7:03,294,Jacksonville Deadball Team Rebound.,50,60
6:56,-1,Foul on Roody Romain.,50,60
6:56,294,Devin Harris made Free Throw.,50,61
6:56,294,Devin Harris made Free Throw.,50,62
6:43,294,Foul on Darius Dawkins.,50,62
6:41,-1,Andre Braziel Turnover.,50,62
6:40,294,Cody Helgeland Steal.,50,62
6:38,294,Devin Harris Turnover.,50,62
6:27,294,Foul on Darius Dawkins.,50,62
6:27,-1,Kody Williams missed Free Throw.,50,62
6:27,294,Antwon Clayton Defensive Rebound.,50,62
5:59,294,Tanner Rubio missed Three Point Jumper.,50,62
5:59,-1,Roody Romain Defensive Rebound.,50,62
5:49,-1,Jaelyn Johnson-Coston made Layup. Assisted by Kody Williams.,52,62
5:27,294,Cody Helgeland Turnover.,52,62
5:27,294,Foul on Cody Helgeland.,52,62
5:12,-1,Charlie Nedd-Araujo made Three Point Jumper.,55,62
5:12,294,Foul on Devin Harris.,55,62
5:12,-1,Charlie Nedd-Araujo made Free Throw.,56,62
4:57,294,Devin Harris made Jumper.,56,64
4:38,-1,Kody Williams missed Layup.,56,64
4:38,294,Antwon Clayton Block.,56,64
4:38,-1,Florida Memorial Offensive Rebound.,56,64
4:36,-1,Andre Braziel made Three Point Jumper. Assisted by Kody Williams.,59,64
4:20,294,Cody Helgeland made Jumper.,59,66
4:20,-1,Foul on Jaelyn Johnson-Coston.,59,66
4:20,294,Cody Helgeland made Free Throw.,59,67
4:05,-1,Charlie Nedd-Araujo missed Three Point Jumper.,59,67
4:05,294,Antwon Clayton Defensive Rebound.,59,67
3:43,294,Tanner Rubio missed Three Point Jumper.,59,67
3:43,294,Demontrez Austin Offensive Rebound.,59,67
3:23,294,Demontrez Austin made Dunk. Assisted by Devin Harris.,59,69
3:17,-1,Florida Memorial  Timeout,59,69
2:48,-1,Kody Williams Turnover.,59,69
2:48,-1,Foul on Kody Williams.,59,69
2:45,-1,Foul on Andre Braziel.,59,69
2:45,294,Tanner Rubio made Free Throw.,59,70
2:45,294,Tanner Rubio made Free Throw.,59,71
2:35,-1,Andre Braziel missed Three Point Jumper.,59,71
2:35,294,Cody Helgeland Defensive Rebound.,59,71
2:21,294,Demontrez Austin made Layup. Assisted by Cody Helgeland.,59,73
2:07,294,Foul on Antwon Clayton.,59,73
2:07,-1,Aaron Bryant made Free Throw.,60,73
2:07,-1,Aaron Bryant made Free Throw.,61,73
1:37,-1,Foul on Travis Mitchell.,61,73
1:37,294,Demontrez Austin made Free Throw.,61,74
1:37,294,Demontrez Austin made Free Throw.,61,75
1:30,-1,Kody Williams Turnover.,61,75
1:28,294,Tanner Rubio Steal.,61,75
1:06,294,Antwon Clayton missed Layup.,61,75
1:06,294,Demontrez Austin Offensive Rebound.,61,75
1:03,294,Demontrez Austin made Dunk.,61,77
0:54,294,Foul on Devin Harris.,61,77
0:54,-1,Aaron Bryant made Free Throw.,62,77
0:54,-1,Aaron Bryant made Free Throw.,63,77
0:51,-1,Foul on Andre Braziel.,63,77
0:51,294,Devin Harris made Free Throw.,63,78
0:51,294,Devin Harris made Free Throw.,63,79
0:44,-1,Aaron Bryant missed Jumper.,63,79
0:44,294,Demontrez Austin Defensive Rebound.,63,79
0:26,-1,Foul on Andre Braziel.,63,79
0:26,294,Tanner Rubio made Free Throw.,63,80
0:26,294,Tanner Rubio made Free Throw.,63,81
0:22,-1,Charlie Nedd-Araujo missed Three Point Jumper.,63,81
0:22,294,Jacksonville Defensive Rebound.,63,81
0:00,294,End of Game,63,81
