Lake Erie,Error,Cleveland State,325
10:58,325,Jamarcus Hairston made Three Point Jumper. Assisted by Kasheem Thomas.,11,24
10:56,-1,Lake Erie College  Timeout,11,24
10:34,-1,Nick Wells missed Three Point Jumper.,11,24
10:34,325,Rob Edwards Defensive Rebound.,11,24
10:27,325,Rob Edwards missed Layup.,11,24
10:27,-1,Gabe Kynard Defensive Rebound.,11,24
10:13,-1,Gabe Kynard missed Layup.,11,24
10:13,325,Bobby Word Defensive Rebound.,11,24
9:50,325,Jamarcus Hairston missed Three Point Jumper.,11,24
9:50,-1,Ryan Middendorf Defensive Rebound.,11,24
9:40,-1,Brogan Scott Turnover.,11,24
9:22,-1,Foul on Jordan Humphrey.,11,24
9:22,325,Bobby Word made Free Throw.,11,25
9:22,325,Bobby Word made Free Throw.,11,26
9:11,325,Foul on Demonte Flannigan.,11,26
8:58,-1,Nick Wells made Three Point Jumper. Assisted by Ennis Thomas.,14,26
8:45,325,Demonte Flannigan made Layup.,14,28
8:18,-1,Sean Howard Turnover.,14,28
8:17,325,Anthony Wright Steal.,14,28
8:12,325,Anthony Wright Turnover.,14,28
8:12,-1,Sean Howard Steal.,14,28
8:07,-1,Gabe Kynard made Layup.,16,28
7:52,-1,Foul on Nick Wells.,16,28
7:46,325,Bobby Word missed Three Point Jumper.,16,28
7:46,325,Cleveland St Offensive Rebound.,16,28
7:31,325,Kenny Carpenter missed Jumper.,16,28
7:31,325,Terrell Hales Offensive Rebound.,16,28
7:27,325,Terrell Hales made Layup.,16,30
7:00,-1,Brogan Scott missed Three Point Jumper.,16,30
7:00,325,Kenny Carpenter Defensive Rebound.,16,30
6:51,325,Kenny Carpenter made Layup.,16,32
6:15,-1,Lake Erie College  Turnover.,16,32
5:56,325,Jibri Blount Turnover.,16,32
5:33,-1,Gabe Kynard made Jumper.,18,32
5:22,325,Rob Edwards missed Three Point Jumper.,18,32
5:22,-1,Sean Howard Defensive Rebound.,18,32
5:08,-1,Mitch Loomis Turnover.,18,32
4:53,325,Rob Edwards Turnover.,18,32
4:39,-1,Ennis Thomas missed Three Point Jumper.,18,32
4:39,325,Kasheem Thomas Defensive Rebound.,18,32
4:29,325,Bobby Word made Three Point Jumper. Assisted by Demonte Flannigan.,18,35
4:11,-1,Sean Howard made Three Point Jumper. Assisted by Gabe Kynard.,21,35
3:48,325,Demonte Flannigan made Jumper.,21,37
3:40,325,Foul on Jibri Blount.,21,37
3:25,-1,Sean Howard missed Three Point Jumper.,21,37
3:25,325,Cleveland St Defensive Rebound.,21,37
3:08,325,Demonte Flannigan Turnover.,21,37
2:49,-1,Mitch Loomis made Jumper.,23,37
2:34,325,Rob Edwards missed Jumper.,23,37
2:34,-1,Mitch Loomis Defensive Rebound.,23,37
2:16,-1,Sean Howard missed Layup.,23,37
2:16,325,Bobby Word Defensive Rebound.,23,37
2:05,325,Bobby Word missed Three Point Jumper.,23,37
2:05,-1,Brogan Scott Defensive Rebound.,23,37
1:55,-1,Gabe Kynard made Three Point Jumper. Assisted by Erron James.,26,37
1:32,325,Foul on Rob Edwards.,26,37
1:32,325,Rob Edwards Turnover.,26,37
1:16,-1,Gabe Kynard Turnover.,26,37
0:52,325,Kasheem Thomas missed Layup.,26,37
0:52,-1,Mitch Loomis Block.,26,37
0:50,-1,Mitch Loomis Defensive Rebound.,26,37
0:48,325,Foul on Jibri Blount.,26,37
0:27,-1,Mitch Loomis missed Jumper.,26,37
0:27,-1,Brogan Scott Offensive Rebound.,26,37
0:21,-1,Brogan Scott made Layup.,28,37
0:18,325,Cleveland St  Timeout,28,37
0:03,325,Demonte Flannigan made Layup.,28,39
0:00,325,End of 1st half,28,39
19:44,-1,Gabe Kynard missed Three Point Jumper.,28,39
19:44,325,Derek Sloan Defensive Rebound.,28,39
19:23,325,Rob Edwards missed Jumper.,28,39
19:23,-1,Lake Erie College Defensive Rebound.,28,39
18:56,325,Foul on Derek Sloan.,28,39
18:46,-1,Foul on Gabe Kynard.,28,39
18:46,-1,Gabe Kynard Turnover.,28,39
18:19,325,Demonte Flannigan made Jumper.,28,41
18:05,-1,Nick Wells missed Three Point Jumper.,28,41
18:05,325,Kasheem Thomas Defensive Rebound.,28,41
17:56,325,Bobby Word missed Layup.,28,41
17:56,-1,Gabe Kynard Defensive Rebound.,28,41
17:48,-1,Nick Wells made Jumper. Assisted by Gabe Kynard.,30,41
17:39,-1,Foul on Jordan Humphrey.,30,41
17:39,325,Rob Edwards made Free Throw.,30,42
17:39,325,Rob Edwards missed Free Throw.,30,42
17:39,325,Bobby Word Offensive Rebound.,30,42
17:25,325,Kasheem Thomas missed Three Point Jumper.,30,42
17:25,-1,Ryan Middendorf Defensive Rebound.,30,42
17:08,-1,Sean Howard made Three Point Jumper. Assisted by Nick Wells.,33,42
16:58,325,Rob Edwards made Three Point Jumper. Assisted by Kasheem Thomas.,33,45
16:37,-1,Sean Howard made Three Point Jumper.,36,45
16:15,325,Kasheem Thomas made Jumper.,36,47
15:55,-1,Foul on Sean Howard.,36,47
15:55,-1,Sean Howard Turnover.,36,47
15:55,325,Official TV Timeout,36,47
15:28,325,Rob Edwards missed Three Point Jumper.,36,47
15:28,-1,Ryan Middendorf Defensive Rebound.,36,47
15:05,-1,Brogan Scott made Three Point Jumper. Assisted by Sean Howard.,39,47
14:55,325,Rob Edwards missed Layup.,39,47
14:55,-1,Gabe Kynard Defensive Rebound.,39,47
14:47,-1,Sean Howard missed Jumper.,39,47
14:47,325,Kasheem Thomas Defensive Rebound.,39,47
14:41,325,Rob Edwards missed Three Point Jumper.,39,47
14:41,-1,Brogan Scott Defensive Rebound.,39,47
14:16,-1,Ryan Middendorf missed Three Point Jumper.,39,47
14:16,325,Rob Edwards Defensive Rebound.,39,47
14:00,325,Foul on Demonte Flannigan.,39,47
14:00,325,Demonte Flannigan Turnover.,39,47
13:41,-1,Mitch Loomis made Layup.,41,47
13:28,-1,Foul on Mitch Loomis.,41,47
13:28,-1,Foul on Nick Wells.,41,47
13:26,325,Rob Edwards made Three Point Jumper. Assisted by Terrell Hales.,41,50
13:04,-1,Mitch Loomis missed Three Point Jumper.,41,50
13:04,325,Kenny Carpenter Defensive Rebound.,41,50
12:48,-1,Foul on Ryan Middendorf.,41,50
12:36,325,Derek Sloan Turnover.,41,50
12:12,325,Foul on Kenny Carpenter.,41,50
12:05,325,Foul on Terrell Hales.,41,50
11:50,-1,Ryan Middendorf Turnover.,41,50
11:48,325,Jibri Blount Steal.,41,50
11:45,-1,Foul on David Dunnigan.,41,50
11:45,325,Official TV Timeout,41,50
11:45,325,Rob Edwards made Free Throw.,41,51
11:45,325,Rob Edwards made Free Throw.,41,52
11:34,-1,Ennis Thomas Turnover.,41,52
11:33,325,Terrell Hales Steal.,41,52
11:30,325,Rob Edwards missed Layup.,41,52
11:30,-1,Ryan Middendorf Defensive Rebound.,41,52
11:02,-1,Brogan Scott missed Three Point Jumper.,41,52
11:02,325,Cleveland St Defensive Rebound.,41,52
10:48,325,Kenny Carpenter made Layup.,41,54
10:26,-1,Sean Howard missed Three Point Jumper.,41,54
10:26,325,Jamarcus Hairston Defensive Rebound.,41,54
10:17,325,Kenny Carpenter Turnover.,41,54
10:16,-1,Mitch Loomis Steal.,41,54
10:13,-1,Sean Howard missed Layup.,41,54
10:13,-1,Ennis Thomas Offensive Rebound.,41,54
10:09,-1,Mitch Loomis made Two Point Tip Shot.,43,54
9:47,325,Jibri Blount made Dunk. Assisted by Rob Edwards.,43,56
9:24,-1,Mitch Loomis made Layup. Assisted by Ennis Thomas.,45,56
9:08,325,Kenny Carpenter made Jumper.,45,58
9:05,-1,Lake Erie College  Timeout,45,58
8:42,325,Foul on Jibri Blount.,45,58
8:42,-1,Brogan Scott made Free Throw.,46,58
8:42,-1,Brogan Scott made Free Throw.,47,58
8:26,325,Bobby Word missed Layup.,47,58
8:26,-1,Mitch Loomis Block.,47,58
8:24,-1,Brogan Scott Defensive Rebound.,47,58
8:13,-1,Foul on Gabe Kynard.,47,58
8:13,-1,Gabe Kynard Turnover.,47,58
7:57,325,Terrell Hales Turnover.,47,58
7:57,-1,Jordan Humphrey Steal.,47,58
7:57,325,Foul on Demonte Flannigan.,47,58
7:57,325,Official TV Timeout,47,58
7:32,-1,Brogan Scott Turnover.,47,58
7:31,325,Kasheem Thomas Steal.,47,58
7:27,325,Bobby Word missed Layup.,47,58
7:27,325,Jibri Blount Offensive Rebound.,47,58
7:26,-1,Foul on Brogan Scott.,47,58
7:26,325,Jibri Blount made Free Throw.,47,59
7:26,325,Jibri Blount made Free Throw.,47,60
7:05,-1,Sean Howard missed Layup.,47,60
7:05,325,Demonte Flannigan Block.,47,60
7:03,325,Bobby Word Defensive Rebound.,47,60
6:59,325,Kasheem Thomas missed Three Point Jumper.,47,60
6:59,325,Rob Edwards Offensive Rebound.,47,60
6:56,325,Rob Edwards made Layup.,47,62
6:38,-1,Nick Wells made Three Point Jumper. Assisted by Jordan Humphrey.,50,62
6:05,-1,Foul on Sean Howard.,50,62
6:05,325,Kasheem Thomas made Free Throw.,50,63
6:05,325,Kasheem Thomas made Free Throw.,50,64
5:48,-1,Erron James missed Three Point Jumper.,50,64
5:48,325,Demonte Flannigan Defensive Rebound.,50,64
5:24,325,Rob Edwards made Layup.,50,66
5:22,-1,Foul on Nick Wells.,50,66
5:22,325,Rob Edwards made Free Throw.,50,67
5:10,-1,Brogan Scott made Layup. Assisted by Jordan Humphrey.,52,67
5:01,325,Foul on Demonte Flannigan.,52,67
5:01,325,Demonte Flannigan Turnover.,52,67
4:44,-1,Nick Wells missed Three Point Jumper.,52,67
4:44,325,Kasheem Thomas Defensive Rebound.,52,67
4:35,325,Bobby Word missed Three Point Jumper.,52,67
4:35,325,Derek Sloan Offensive Rebound.,52,67
4:12,325,Kasheem Thomas made Layup.,52,69
3:59,-1,Sean Howard missed Layup.,52,69
3:59,325,Derek Sloan Block.,52,69
3:59,325,Cleveland St Defensive Rebound.,52,69
3:43,325,Jibri Blount missed Jumper.,52,69
3:43,325,Rob Edwards Offensive Rebound.,52,69
3:30,325,Kasheem Thomas missed Three Point Jumper.,52,69
3:30,325,Terrell Hales Offensive Rebound.,52,69
3:12,325,Jibri Blount made Jumper.,52,71
2:57,-1,Gabe Kynard Turnover.,52,71
2:55,325,Rob Edwards Steal.,52,71
2:53,325,Rob Edwards missed Dunk.,52,71
2:53,-1,Gabe Kynard Defensive Rebound.,52,71
2:46,-1,Gabe Kynard missed Three Point Jumper.,52,71
2:46,-1,Jordan Humphrey Offensive Rebound.,52,71
2:42,-1,Jordan Humphrey made Layup.,54,71
2:42,325,Foul on Derek Sloan.,54,71
2:42,325,Official TV Timeout,54,71
2:42,-1,Jordan Humphrey made Free Throw.,55,71
2:22,325,Terrell Hales missed Layup.,55,71
2:22,-1,Nick Wells Defensive Rebound.,55,71
2:14,-1,Sean Howard missed Three Point Jumper.,55,71
2:14,325,Terrell Hales Defensive Rebound.,55,71
1:57,325,Rob Edwards made Jumper.,55,73
1:57,-1,Foul on Jordan Humphrey.,55,73
1:57,325,Rob Edwards made Free Throw.,55,74
1:35,-1,Jordan Humphrey missed Layup.,55,74
1:35,325,Anthony Wright Defensive Rebound.,55,74
1:27,325,Anthony Wright Turnover.,55,74
1:15,-1,Gabe Kynard made Layup. Assisted by Nick Wells.,57,74
1:15,325,Foul on Kenny Carpenter.,57,74
1:15,-1,Gabe Kynard made Free Throw.,58,74
1:01,325,Tim Hasbargen missed Three Point Jumper.,58,74
1:01,325,Daniel Levitt Offensive Rebound.,58,74
0:57,325,Anthony Wright made Three Point Jumper. Assisted by Daniel Levitt.,58,77
0:44,-1,Mitch Loomis made Jumper. Assisted by Kyle Hagey.,60,77
0:19,325,Kenny Carpenter missed Layup.,60,77
0:19,325,Anthony Wright Offensive Rebound.,60,77
0:11,325,Jamarcus Hairston made Layup.,60,79
0:03,-1,Kyle Hagey missed Jumper.,60,79
0:03,-1,Mitch Loomis Offensive Rebound.,60,79
0:02,-1,Mitch Loomis missed Two Point Tip Shot.,60,79
0:02,-1,David Dunnigan Offensive Rebound.,60,79
0:01,-1,David Dunnigan made Two Point Tip Shot.,62,79
0:00,325,End of Game,60,79
